* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 30, 2025 4:37:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Twilight grey 869
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 125.615 -153.6134
20.600000 125.630 -154.3759
20.900000 125.638 -155.0582
21.200001 125.645 -155.7278
21.400000 125.651 -156.1710
21.799999 125.666 -157.0540
22.000000 125.675 -157.4944
22.400000 125.692 -158.3691
22.700001 125.703 -159.0118
23.000000 125.710 -159.6346
23.299999 125.714 -160.2327
23.600000 125.716 -160.8053
24.000000 125.718 -161.5346
24.299999 125.721 -162.0657
24.700001 125.730 -162.7687
25.000000 125.740 -163.3027
25.400000 125.755 -164.0309
25.799999 125.770 -164.7722
26.200001 125.779 -165.5071
26.500000 125.782 -166.0397
26.900000 125.781 -166.7148
27.200001 125.778 -167.1969
27.600000 125.774 -167.8219
28.000000 125.770 -168.4483
28.500000 125.764 -169.2461
29.000000 125.755 -170.0334
29.500000 125.745 -170.7690
30.000000 125.740 -171.4478
30.400000 125.739 -171.9763
30.700001 125.739 -172.3793
31.100000 125.738 -172.9330
31.500000 125.732 -173.4985
32.000000 125.719 -174.2017
32.500000 125.705 -174.8885
33.000000 125.692 -175.5616
33.500000 125.679 -176.2200
34.000000 125.664 -176.8506
34.500000 125.648 -177.4494
35.000000 125.633 -178.0338
35.500000 125.615 -178.6242
36.000000 125.595 -179.2161
36.500000 125.574 -179.7890
37.000000 125.553 179.6639
37.500000 125.536 179.1270
38.200001 125.510 178.3760
38.700001 125.487 177.8604
39.500000 125.453 177.0801
40.000000 125.437 176.5720
40.599998 125.415 175.9187
41.200001 125.383 175.2802
41.799999 125.347 174.7164
42.500000 125.311 174.1146
43.099998 125.283 173.5768
43.700001 125.252 173.0198
44.400002 125.215 172.3812
45.000000 125.187 171.8399
45.500000 125.162 171.3915
46.200001 125.124 170.8004
46.799999 125.090 170.3390
47.500000 125.052 169.8030
48.200001 125.013 169.2373
48.700001 124.985 168.8282
49.400002 124.947 168.2593
50.000000 124.914 167.7745
50.799999 124.863 167.1756
51.500000 124.819 166.7104
52.200001 124.781 166.2275
53.000000 124.733 165.6290
53.799999 124.679 165.0854
54.500000 124.634 164.6617
55.200001 124.590 164.2161
56.000000 124.534 163.6682
57.000000 124.463 163.0039
58.000000 124.399 162.4035
59.000000 124.335 161.8103
60.000000 124.262 161.1960
60.799999 124.208 160.7528
61.500000 124.170 160.3623
62.200001 124.125 159.9323
63.000000 124.051 159.4807
64.000000 123.959 159.0341
65.000000 123.893 158.5219
66.000000 123.827 157.9859
67.000000 123.751 157.5197
68.000000 123.670 157.0237
69.000000 123.586 156.5094
70.000000 123.502 156.0730
71.000000 123.417 155.6509
72.000000 123.328 155.2258
73.000000 123.245 154.8656
74.000000 123.156 154.4771
75.000000 123.035 153.9986
76.199997 122.873 153.5187
77.500000 122.745 153.1958
78.800003 122.594 152.9663
80.000000 122.444 153.0390
81.199997 122.292 153.1455
82.500000 122.158 153.9507
83.800003 122.123 154.9138
85.000000 122.132 155.3993
86.199997 122.228 155.7361
87.500000 122.378 155.5103
88.500000 122.424 155.1771
90.000000 122.434 153.3421
91.199997 122.303 152.2530
92.500000 122.218 151.5582
93.800003 122.075 150.8484
95.000000 121.960 150.3553
96.199997 121.816 150.0592
97.500000 121.633 149.7930
98.800003 121.467 149.7837
100.000000 121.321 150.0078
101.500000 121.134 151.0772
103.000000 121.083 152.0504
104.400002 121.217 152.8624
106.000000 121.357 152.2252
107.500000 121.373 150.8820
109.000000 121.208 150.0594
110.599998 121.230 149.2862
112.000000 121.097 149.2015
113.800003 120.956 148.6202
115.000000 120.882 148.3487
117.199997 120.727 148.0583
118.000000 120.680 147.8814
120.599998 120.433 147.7357
122.000000 120.333 147.2693
124.099998 120.157 147.4461
125.000000 120.099 147.5802
126.500000 120.001 147.7321
128.000000 119.890 147.9312
131.500000 119.771 147.9691
132.000000 119.758 147.9589
134.000000 119.612 147.5946
136.000000 119.487 148.2672
138.000000 119.400 147.7354
140.000000 119.337 147.3666
143.000000 119.090 147.6288
145.000000 118.972 147.9362
147.500000 118.811 148.5930
150.000000 118.693 148.7624
152.500000 118.232 148.5706
155.000000 118.434 148.8019
157.500000 118.269 149.2943
160.000000 118.131 149.5551
162.500000 118.028 149.7676
165.000000 117.869 149.8009
167.500000 117.779 150.4354
170.000000 117.671 150.8643
172.500000 117.609 151.2377
175.000000 117.494 151.6815
177.500000 117.360 152.0057
180.000000 117.109 153.3033
182.500000 117.014 153.3660
185.000000 116.991 152.9965
187.500000 116.972 154.1799
190.000000 116.867 154.6305
192.500000 116.793 154.5257
195.000000 116.705 155.4540
197.500000 116.523 156.0705
200.000000 116.574 156.2800
203.000000 116.399 156.2189
206.000000 116.285 157.2961
209.000000 116.233 159.1889
212.000000 116.135 159.5204
214.000000 116.075 160.1518
218.000000 116.020 161.0389
220.000000 116.049 162.4009
224.000000 116.021 163.4449
227.000000 115.975 164.0648
230.000000 116.001 164.5526
233.000000 115.958 164.9308
236.000000 115.927 165.0608
240.000000 115.868 165.4811
243.000000 115.823 166.1093
247.000000 115.773 166.8635
250.000000 115.747 167.2692
254.000000 115.673 167.9982
258.000000 115.636 168.7603
262.000000 115.591 169.4621
265.000000 115.585 169.9318
269.000000 115.552 170.9915
272.000000 115.542 171.3320
276.000000 115.490 171.9200
280.000000 115.487 172.8312
285.000000 115.446 173.8076
290.000000 115.479 174.7606
295.000000 115.478 175.5032
300.000000 115.443 176.2688
304.000000 115.718 178.8317
307.000000 115.521 177.0031
311.000000 115.503 177.4050
315.000000 115.483 177.9506
320.000000 115.485 178.7025
325.000000 115.513 179.2834
330.000000 115.517 -179.8706
335.000000 115.503 -179.3480
340.000000 115.476 -178.6266
345.000000 115.531 -178.0027
350.000000 115.545 -177.5275
355.000000 115.543 -176.9536
360.000000 115.532 -176.3733
365.000000 115.565 -175.8300
370.000000 115.553 -175.3321
375.000000 115.586 -174.6706
382.000000 115.599 -174.0013
387.000000 115.611 -173.5968
395.000000 115.635 -172.7507
400.000000 115.648 -172.3395
406.000000 115.705 -171.7228
412.000000 115.702 -171.1629
418.000000 115.717 -170.5032
425.000000 115.750 -170.1193
431.000000 115.769 -169.4678
437.000000 115.783 -168.8438
444.000000 115.817 -168.3621
450.000000 115.825 -167.9525
455.000000 115.842 -167.5521
462.000000 115.856 -167.0511
468.000000 115.897 -166.4997
475.000000 115.909 -166.0652
482.000000 115.924 -165.5074
487.000000 115.945 -165.1351
494.000000 115.963 -164.5854
500.000000 115.999 -164.2187
508.000000 116.022 -163.5295
515.000000 116.037 -163.0296
522.000000 116.074 -162.5901
530.000000 116.099 -162.0215
538.000000 116.123 -161.4241
545.000000 116.139 -161.0871
552.000000 116.170 -160.6319
560.000000 116.214 -159.8100
570.000000 116.238 -159.0747
580.000000 116.235 -158.3429
590.000000 116.291 -157.6898
600.000000 116.335 -156.9143
608.000000 116.350 -156.5001
615.000000 116.383 -156.0997
622.000000 116.426 -155.4857
630.000000 116.486 -154.8367
640.000000 116.517 -154.1632
650.000000 116.557 -153.3305
660.000000 116.595 -152.7707
670.000000 116.639 -152.0904
680.000000 116.695 -151.3710
690.000000 116.757 -150.3695
700.000000 116.844 -149.6958
710.000000 116.901 -148.8607
720.000000 116.962 -148.0937
730.000000 117.074 -147.5261
740.000000 117.146 -146.7090
750.000000 117.275 -145.9758
762.000000 117.394 -145.5358
775.000000 117.510 -144.6870
788.000000 117.650 -144.0161
800.000000 117.782 -143.6440
812.000000 117.887 -143.3014
825.000000 118.036 -142.7730
838.000000 118.117 -142.3257
850.000000 118.219 -142.0228
862.000000 118.320 -141.7176
875.000000 118.462 -141.2741
885.000000 118.495 -140.9456
900.000000 118.608 -140.5257
912.000000 118.692 -140.2199
925.000000 118.789 -139.8446
938.000000 118.896 -139.4019
950.000000 118.990 -138.9430
962.000000 119.082 -138.6160
975.000000 119.189 -138.2757
988.000000 119.300 -137.8453
1000.000000 119.349 -137.4843
1015.000000 119.533 -136.9879
1030.000000 119.659 -136.8147
1044.000000 119.793 -136.5038
1060.000000 119.936 -136.2492
1075.000000 120.067 -135.9440
1090.000000 120.201 -135.9133
1106.000000 120.345 -135.6735
1120.000000 120.490 -135.4095
1138.000000 120.627 -135.3817
1150.000000 120.722 -135.2707
1172.000000 120.908 -135.2098
1180.000000 120.967 -135.2639
1206.000000 121.182 -135.2286
1220.000000 121.279 -135.4004
1241.000000 121.432 -135.3629
1250.000000 121.495 -135.4214
1265.000000 121.624 -135.4764
1280.000000 121.706 -135.5461
1315.000000 121.936 -135.7030
1320.000000 121.971 -135.8001
1340.000000 122.088 -135.9096
1360.000000 122.217 -136.0560
1380.000000 122.345 -136.2836
1400.000000 122.437 -136.3419
1430.000000 122.615 -136.6293
1450.000000 122.716 -136.8267
1475.000000 122.854 -137.0415
1500.000000 122.975 -137.1328
1525.000000 123.099 -137.3263
1550.000000 123.228 -137.5854
1575.000000 123.336 -137.7263
1600.000000 123.467 -138.0653
1625.000000 123.589 -138.4458
1650.000000 123.719 -138.5510
1675.000000 123.837 -138.7444
1700.000000 123.961 -138.9869
1725.000000 124.068 -139.3402
1750.000000 124.187 -139.6861
1775.000000 124.315 -139.9585
1800.000000 124.432 -140.2866
1825.000000 124.539 -140.7269
1850.000000 124.667 -141.0557
1875.000000 124.789 -141.5906
1900.000000 124.875 -141.8792
1925.000000 124.990 -142.2997
1950.000000 125.094 -142.7641
1975.000000 125.206 -143.3037
2000.000000 125.276 -143.7220
2030.000000 125.434 -144.5301
2060.000000 125.549 -145.2567
2090.000000 125.645 -145.9510
2120.000000 125.766 -146.7483
2140.000000 125.833 -147.2173
2180.000000 125.962 -148.3053
2200.000000 126.019 -148.8189
2240.000000 126.120 -150.0282
2270.000000 126.207 -150.9321
2300.000000 126.263 -151.8241
2330.000000 126.336 -152.7269
2360.000000 126.398 -153.7033
2400.000000 126.452 -154.9706
2430.000000 126.491 -155.9406
2470.000000 126.527 -157.1809
2500.000000 126.542 -158.1604
2540.000000 126.573 -159.3554
2580.000000 126.575 -160.5603
2620.000000 126.565 -161.7664
2650.000000 126.551 -162.6824
2690.000000 126.537 -163.7675
2720.000000 126.513 -164.6313
2760.000000 126.472 -165.7523
2800.000000 126.414 -166.7651
2850.000000 126.363 -168.0029
2900.000000 126.297 -169.1621
2950.000000 126.207 -170.1890
3000.000000 126.114 -171.1005
3040.000000 126.049 -171.8549
3070.000000 126.000 -172.4395
3110.000000 125.925 -173.0929
3150.000000 125.872 -173.7482
3200.000000 125.755 -174.4660
3250.000000 125.673 -175.1016
3300.000000 125.600 -175.7507
3350.000000 125.511 -176.3445
3400.000000 125.419 -176.8939
3450.000000 125.352 -177.3734
3500.000000 125.269 -177.9313
3550.000000 125.188 -178.4400
3600.000000 125.123 -178.8563
3650.000000 125.036 -179.3887
3700.000000 124.969 -179.7901
3750.000000 124.917 179.7672
3820.000000 124.794 179.0978
3870.000000 124.721 178.5525
3950.000000 124.614 177.9824
4000.000000 124.493 177.5687
4060.000000 124.442 177.1053
4120.000000 124.348 176.5147
4180.000000 124.238 176.1473
4250.000000 124.113 175.5303
4310.000000 123.994 175.1199
4370.000000 123.855 174.6990
4440.000000 123.688 174.3283
4500.000000 123.562 174.1428
4550.000000 123.441 174.0326
4620.000000 123.263 173.7852
4680.000000 123.110 173.8616
4750.000000 122.934 173.9146
4820.000000 122.729 174.3042
4870.000000 122.594 174.5681
4940.000000 122.423 175.0951
5000.000000 122.315 176.1142
5080.000000 122.130 177.2289
5150.000000 122.032 178.4695
5220.000000 121.995 179.7930
5300.000000 122.015 -178.4959
5380.000000 122.119 -176.9025
5450.000000 122.326 -175.7565
5520.000000 122.573 -175.2020
5600.000000 122.913 -175.3313
5700.000000 123.343 -177.4212
5800.000000 123.566 178.9812
