* Measurement data measured by REW V5.31.1
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 7, 2024 7:24:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R INTUAURA SplendorII Jul 7
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 148.837 -124.2433
20.600000 148.891 -125.1354
20.900000 148.938 -125.9480
21.200001 148.982 -126.7639
21.400000 149.012 -127.3105
21.799999 149.069 -128.4014
22.000000 149.098 -128.9397
22.400000 149.154 -129.9872
22.700001 149.195 -130.7410
23.000000 149.236 -131.4681
23.299999 149.275 -132.1755
23.600000 149.313 -132.8700
24.000000 149.359 -133.7844
24.299999 149.391 -134.4639
24.700001 149.431 -135.3598
25.000000 149.459 -136.0223
25.400000 149.496 -136.8923
25.799999 149.533 -137.7464
26.200001 149.568 -138.5819
26.500000 149.593 -139.1928
26.900000 149.624 -139.9828
27.200001 149.645 -140.5573
27.600000 149.671 -141.3047
28.000000 149.696 -142.0399
28.500000 149.724 -142.9514
29.000000 149.749 -143.8513
29.500000 149.773 -144.7304
30.000000 149.797 -145.5859
30.400000 149.816 -146.2563
30.700001 149.829 -146.7516
31.100000 149.844 -147.3998
31.500000 149.858 -148.0312
32.000000 149.873 -148.7978
32.500000 149.888 -149.5497
33.000000 149.902 -150.2974
33.500000 149.916 -151.0388
34.000000 149.928 -151.7617
34.500000 149.939 -152.4587
35.000000 149.950 -153.1336
35.500000 149.959 -153.7929
36.000000 149.965 -154.4384
36.500000 149.969 -155.0704
37.000000 149.973 -155.6939
37.500000 149.975 -156.3147
38.200001 149.979 -157.1743
38.700001 149.980 -157.7705
39.500000 149.983 -158.6875
40.000000 149.984 -159.2449
40.599998 149.984 -159.9025
41.200001 149.984 -160.5502
41.799999 149.985 -161.1954
42.500000 149.983 -161.9412
43.099998 149.977 -162.5512
43.700001 149.972 -163.1269
44.400002 149.967 -163.7854
45.000000 149.963 -164.3620
45.500000 149.958 -164.8461
46.200001 149.950 -165.5093
46.799999 149.942 -166.0539
47.500000 149.932 -166.6618
48.200001 149.921 -167.2561
48.700001 149.913 -167.6830
49.400002 149.900 -168.2776
50.000000 149.889 -168.7649
50.799999 149.879 -169.3863
51.500000 149.869 -169.9257
52.200001 149.854 -170.4527
53.000000 149.833 -171.0352
53.799999 149.816 -171.6330
54.500000 149.803 -172.1711
55.200001 149.790 -172.6952
56.000000 149.772 -173.2476
57.000000 149.748 -173.8793
58.000000 149.726 -174.5509
59.000000 149.700 -175.2188
60.000000 149.676 -175.7969
60.799999 149.659 -176.2574
61.500000 149.641 -176.6707
62.200001 149.622 -177.0857
63.000000 149.600 -177.5606
64.000000 149.573 -178.1275
65.000000 149.547 -178.6590
66.000000 149.519 -179.2003
67.000000 149.488 -179.7315
68.000000 149.460 179.7518
69.000000 149.430 179.2378
70.000000 149.401 178.7659
71.000000 149.374 178.2761
72.000000 149.342 177.8055
73.000000 149.314 177.3553
74.000000 149.284 176.8983
75.000000 149.254 176.4666
76.199997 149.217 175.9512
77.500000 149.176 175.4354
78.800003 149.136 174.9210
80.000000 149.098 174.4340
81.199997 149.058 173.9878
82.500000 149.019 173.4958
83.800003 148.977 173.0258
85.000000 148.943 172.5906
86.199997 148.903 172.1804
87.500000 148.862 171.7478
88.500000 148.828 171.4113
90.000000 148.781 170.9559
91.199997 148.742 170.5845
92.500000 148.699 170.1874
93.800003 148.658 169.8036
95.000000 148.618 169.4849
96.199997 148.578 169.1330
97.500000 148.537 168.7704
98.800003 148.500 168.4470
100.000000 148.457 168.1375
101.500000 148.409 167.7056
103.000000 148.359 167.3811
104.400002 148.311 167.0522
106.000000 148.262 166.6674
107.500000 148.214 166.3825
109.000000 148.163 166.0397
110.599998 148.111 165.6846
112.000000 148.065 165.4102
113.800003 148.010 165.0671
115.000000 147.972 164.8342
117.199997 147.903 164.4370
118.000000 147.878 164.2975
120.599998 147.797 163.8492
122.000000 147.755 163.6184
124.099998 147.687 163.3119
125.000000 147.657 163.1657
126.500000 147.610 162.9599
128.000000 147.562 162.7100
131.500000 147.456 162.2418
132.000000 147.440 162.1796
134.000000 147.380 161.9419
136.000000 147.318 161.6847
138.000000 147.256 161.4394
140.000000 147.202 161.2625
143.000000 147.107 160.9317
145.000000 147.046 160.7759
147.500000 146.987 160.5244
150.000000 146.903 160.3380
152.500000 146.822 160.0962
155.000000 146.757 159.8615
157.500000 146.693 159.6931
160.000000 146.623 159.5363
162.500000 146.555 159.3829
165.000000 146.485 159.2104
167.500000 146.418 159.1246
170.000000 146.350 158.9511
172.500000 146.282 158.8710
175.000000 146.224 158.7351
177.500000 146.148 158.6932
180.000000 146.089 158.5188
182.500000 146.028 158.5488
185.000000 145.959 158.4059
187.500000 145.903 158.3653
190.000000 145.834 158.3221
192.500000 145.777 158.2595
195.000000 145.716 158.2395
197.500000 145.653 158.1808
200.000000 145.596 158.1668
203.000000 145.526 158.1508
206.000000 145.456 158.1295
209.000000 145.388 158.1307
212.000000 145.321 158.1334
214.000000 145.276 158.1409
218.000000 145.187 158.1588
220.000000 145.144 158.1926
224.000000 145.059 158.2335
227.000000 144.995 158.2537
230.000000 144.932 158.2968
233.000000 144.873 158.3739
236.000000 144.812 158.4344
240.000000 144.732 158.5165
243.000000 144.671 158.6004
247.000000 144.597 158.6752
250.000000 144.540 158.8170
254.000000 144.462 158.9819
258.000000 144.379 159.0491
262.000000 144.321 159.1024
265.000000 144.258 159.3094
269.000000 144.198 159.4064
272.000000 144.140 159.4683
276.000000 144.070 159.7745
280.000000 144.008 159.9305
285.000000 143.923 160.0044
290.000000 143.835 160.1319
295.000000 143.751 160.2045
300.000000 143.635 160.6453
304.000000 143.653 160.9884
307.000000 143.601 161.1861
311.000000 143.530 161.4190
315.000000 143.467 161.5962
320.000000 143.403 161.8425
325.000000 143.333 162.1328
330.000000 143.266 162.4109
335.000000 143.200 162.6984
340.000000 143.137 162.9922
345.000000 143.076 163.2935
350.000000 143.011 163.6020
355.000000 142.951 163.8969
360.000000 142.894 164.2034
365.000000 142.834 164.5252
370.000000 142.778 164.8496
375.000000 142.722 165.1635
382.000000 142.648 165.6201
387.000000 142.595 165.9743
395.000000 142.518 166.4912
400.000000 142.467 166.8228
406.000000 142.410 167.2256
412.000000 142.354 167.6550
418.000000 142.300 168.0966
425.000000 142.239 168.5449
431.000000 142.186 169.0419
437.000000 142.129 169.3861
444.000000 142.088 169.8452
450.000000 142.032 170.2548
455.000000 141.991 170.6744
462.000000 141.942 171.2014
468.000000 141.902 171.6479
475.000000 141.854 172.1727
482.000000 141.805 172.6767
487.000000 141.771 172.9998
494.000000 141.726 173.5655
500.000000 141.692 173.9952
508.000000 141.641 174.5854
515.000000 141.599 175.1475
522.000000 141.559 175.6483
530.000000 141.520 176.2521
538.000000 141.482 176.8740
545.000000 141.443 177.3953
552.000000 141.419 177.9427
560.000000 141.377 178.5648
570.000000 141.339 179.3137
580.000000 141.291 -179.8956
590.000000 141.260 -179.0837
600.000000 141.225 -178.3349
608.000000 141.196 -177.7129
615.000000 141.179 -177.1733
622.000000 141.156 -176.6288
630.000000 141.133 -175.9805
640.000000 141.111 -175.2421
650.000000 141.097 -174.3872
660.000000 141.071 -173.6128
670.000000 141.053 -172.8289
680.000000 141.045 -172.0628
690.000000 141.039 -171.4306
700.000000 141.022 -170.4034
710.000000 141.023 -169.6353
720.000000 141.012 -168.8164
730.000000 141.010 -168.0029
740.000000 141.014 -167.2434
750.000000 141.022 -166.3463
762.000000 141.032 -165.4126
775.000000 141.041 -164.3298
788.000000 141.065 -163.3024
800.000000 141.087 -162.3720
812.000000 141.117 -161.3725
825.000000 141.146 -160.3343
838.000000 141.203 -159.2927
850.000000 141.247 -158.3657
862.000000 141.299 -157.4364
875.000000 141.368 -156.4576
885.000000 141.426 -155.7608
900.000000 141.524 -154.8718
912.000000 141.590 -154.3429
925.000000 141.609 -153.7175
938.000000 141.636 -152.7978
950.000000 141.688 -151.8644
962.000000 141.758 -151.0107
975.000000 141.837 -150.1231
988.000000 141.921 -149.2998
1000.000000 142.006 -148.6522
1015.000000 142.111 -147.7965
1030.000000 142.209 -147.0282
1044.000000 142.303 -146.2914
1060.000000 142.412 -145.5270
1075.000000 142.516 -144.7980
1090.000000 142.622 -144.1131
1106.000000 142.740 -143.4639
1120.000000 142.838 -142.8735
1138.000000 142.969 -142.2143
1150.000000 143.051 -141.7883
1172.000000 143.212 -141.0163
1180.000000 143.267 -140.7507
1206.000000 143.443 -139.9695
1220.000000 143.539 -139.5602
1241.000000 143.669 -138.9740
1250.000000 143.732 -138.7432
1265.000000 143.826 -138.3398
1280.000000 143.925 -137.9745
1315.000000 144.138 -137.0955
1320.000000 144.167 -136.9898
1340.000000 144.290 -136.5168
1360.000000 144.409 -136.0478
1380.000000 144.520 -135.6357
1400.000000 144.640 -135.1297
1430.000000 144.814 -134.4572
1450.000000 144.928 -134.0307
1475.000000 145.069 -133.4730
1500.000000 145.207 -132.8991
1525.000000 145.355 -132.3322
1550.000000 145.501 -131.7863
1575.000000 145.646 -131.2138
1600.000000 145.794 -130.6288
1625.000000 145.938 -130.0664
1650.000000 146.089 -129.4441
1675.000000 146.240 -128.8210
1700.000000 146.395 -128.1474
1725.000000 146.553 -127.4368
1750.000000 146.726 -126.6304
1775.000000 146.906 -125.7196
1800.000000 147.114 -124.7107
1825.000000 147.359 -123.5889
1850.000000 147.666 -122.4050
1875.000000 148.046 -121.4585
1900.000000 148.501 -120.9228
1925.000000 148.986 -121.2047
1950.000000 149.431 -122.2670
1975.000000 149.786 -123.8269
2000.000000 150.054 -125.4888
2030.000000 150.287 -127.3359
2060.000000 150.479 -128.8780
2090.000000 150.656 -130.2173
2120.000000 150.829 -131.4319
2140.000000 150.946 -132.1991
2180.000000 151.180 -133.7416
2200.000000 151.297 -134.5491
2240.000000 151.530 -136.2059
2270.000000 151.696 -137.5577
2300.000000 151.853 -138.9621
2330.000000 152.002 -140.4603
2360.000000 152.138 -142.0518
2400.000000 152.297 -144.2672
2430.000000 152.394 -146.0131
2470.000000 152.496 -148.3999
2500.000000 152.549 -150.2208
2540.000000 152.590 -152.6736
2580.000000 152.595 -155.0941
2620.000000 152.567 -157.4747
2650.000000 152.526 -159.1752
2690.000000 152.450 -161.3679
2720.000000 152.373 -162.9077
2760.000000 152.256 -164.8249
2800.000000 152.118 -166.5879
2850.000000 151.931 -168.5455
2900.000000 151.727 -170.2441
2950.000000 151.518 -171.6728
3000.000000 151.308 -172.8721
3040.000000 151.140 -173.6452
3070.000000 151.016 -174.1315
3110.000000 150.855 -174.6816
3150.000000 150.702 -175.1319
3200.000000 150.522 -175.5438
3250.000000 150.353 -175.7971
3300.000000 150.201 -175.9330
3350.000000 150.064 -175.9666
3400.000000 149.943 -175.9186
3450.000000 149.837 -175.7865
3500.000000 149.747 -175.5953
3550.000000 149.675 -175.3528
3600.000000 149.619 -175.0780
3650.000000 149.581 -174.7682
3700.000000 149.557 -174.4666
3750.000000 149.548 -174.1228
3820.000000 149.566 -173.6997
3870.000000 149.602 -173.4254
3950.000000 149.686 -173.0710
4000.000000 149.763 -172.8928
4060.000000 149.866 -172.8021
4120.000000 149.996 -172.8231
4180.000000 150.146 -172.9996
4250.000000 150.336 -173.4053
4310.000000 150.521 -173.9932
4370.000000 150.713 -174.8326
4440.000000 150.943 -176.1571
4500.000000 151.138 -177.6092
4550.000000 151.294 -179.0797
4620.000000 151.488 178.4550
4680.000000 151.623 175.9556
4750.000000 151.726 172.6279
4820.000000 151.751 168.9320
4870.000000 151.711 166.1217
4940.000000 151.566 162.0818
5000.000000 151.359 158.6379
5080.000000 150.962 154.3253
5150.000000 150.517 150.9297
5220.000000 149.989 148.0292
5300.000000 149.315 145.4257
5380.000000 148.582 143.6086
5450.000000 147.916 142.6014
5520.000000 147.225 142.1718
5600.000000 146.432 142.3722
5700.000000 145.426 143.6382
