* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.130
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 28, 2023 10:14:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: OH10 n.450 Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	95.686	-96.4886
1.015000	95.598	-97.9501
1.030000	95.508	-99.4160
1.044000	95.420	-100.7886
1.060000	95.318	-102.3628
1.075000	95.218	-103.8445
1.090000	95.115	-105.3322
1.106000	95.002	-106.9236
1.120000	94.903	-108.3055
1.138000	94.774	-110.0666
1.150000	94.687	-111.2327
1.172000	94.527	-113.3586
1.180000	94.468	-114.1290
1.206000	94.271	-116.6288
1.220000	94.163	-117.9754
1.241000	93.997	-120.0015
1.250000	93.924	-120.8735
1.265000	93.800	-122.3335
1.280000	93.673	-123.8039
1.315000	93.361	-127.2891
1.320000	93.315	-127.7944
1.340000	93.125	-129.8380
1.360000	92.927	-131.9213
1.380000	92.719	-134.0499
1.400000	92.503	-136.2295
1.430000	92.158	-139.6068
1.450000	91.914	-141.9385
1.475000	91.590	-144.9307
1.500000	91.229	-147.8314
1.525000	90.834	-150.6364
1.550000	90.410	-153.3914
1.575000	89.964	-156.1422
1.600000	89.501	-158.9345
1.625000	89.029	-161.8139
1.650000	88.553	-164.8264
1.675000	88.079	-168.0175
1.700000	87.615	-171.4332
1.725000	87.165	-175.1189
1.750000	86.738	-179.1206
1.775000	86.338	176.5160
1.800000	85.971	171.7452
1.825000	85.646	166.5214
1.850000	85.350	160.7209
1.875000	85.054	154.1934
1.900000	84.759	147.0383
1.925000	84.471	139.3647
1.950000	84.195	131.2817
1.975000	83.935	122.8985
2.000000	83.698	114.3242
2.030000	83.448	103.9362
2.060000	83.246	93.6186
2.090000	83.100	83.5599
2.120000	83.018	73.9486
2.140000	83.004	67.8826
2.180000	83.082	56.8221
2.200000	83.181	51.9368
2.240000	83.542	43.0258
2.270000	83.948	36.8860
2.300000	84.448	31.1669
2.330000	85.020	25.8282
2.360000	85.646	20.8296
2.400000	86.528	14.6237
2.430000	87.199	10.2612
2.470000	88.067	4.7571
2.500000	88.673	0.8109
2.540000	89.382	-4.2850
2.580000	89.944	-9.2337
2.620000	90.434	-13.7298
2.650000	90.769	-16.7922
2.690000	91.178	-20.5250
2.720000	91.459	-23.1045
2.760000	91.804	-26.3126
2.800000	92.119	-29.3280
2.850000	92.479	-32.9450
2.900000	92.811	-36.5349
2.950000	93.122	-40.2150
3.000000	93.392	-43.7809
3.040000	93.577	-46.5118
3.070000	93.700	-48.4929
3.110000	93.844	-51.0499
3.150000	93.969	-53.5155
3.200000	94.102	-56.4784
3.250000	94.215	-59.3198
3.300000	94.312	-62.0513
3.350000	94.385	-64.6813
3.400000	94.429	-67.2013
3.450000	94.448	-69.5984
3.500000	94.446	-71.8595
3.550000	94.428	-73.9717
3.600000	94.399	-75.9221
3.650000	94.362	-77.6976
3.700000	94.315	-79.2972
3.750000	94.242	-80.7406
3.820000	94.113	-82.4961
3.870000	94.011	-83.5573
3.950000	93.854	-84.9139
4.000000	93.771	-85.5445
4.060000	93.694	-86.0541
4.120000	93.615	-86.2084
4.180000	93.541	-86.0780
4.250000	93.474	-85.6887
4.310000	93.445	-85.2570
4.370000	93.454	-84.8318
