* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 4, 2025 2:15:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R infiter variety dot pro 1174
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.240 33.8463
20.600000 133.274 33.0291
20.900000 133.285 32.1745
21.200001 133.269 31.2267
21.400000 133.243 30.5660
21.799999 133.165 29.2350
22.000000 133.120 28.5925
22.400000 133.042 27.3879
22.700001 133.009 26.5384
23.000000 133.008 25.6952
23.299999 133.030 24.8315
23.600000 133.063 23.9574
24.000000 133.103 22.8421
24.299999 133.117 22.1185
24.700001 133.114 21.3632
25.000000 133.100 20.9244
25.400000 133.076 20.3791
25.799999 133.046 19.6933
26.200001 133.000 18.7828
26.500000 132.950 18.0075
26.900000 132.874 16.9910
27.200001 132.824 16.3259
27.600000 132.790 15.5827
28.000000 132.799 14.8835
28.500000 132.837 13.8657
29.000000 132.838 12.7288
29.500000 132.779 11.7859
30.000000 132.707 11.2564
30.400000 132.683 11.0146
30.700001 132.692 10.8033
31.100000 132.723 10.3471
31.500000 132.750 9.6835
32.000000 132.745 8.7271
32.500000 132.695 7.8542
33.000000 132.628 7.1338
33.500000 132.570 6.4398
34.000000 132.530 5.5930
34.500000 132.496 4.5364
35.000000 132.451 3.4009
35.500000 132.391 2.4364
36.000000 132.334 1.7956
36.500000 132.296 1.4027
37.000000 132.267 1.0634
37.500000 132.223 0.7096
38.200001 132.146 0.2972
38.700001 132.122 -0.0366
39.500000 132.146 -1.1958
40.000000 132.150 -2.1869
40.599998 132.135 -3.1658
41.200001 132.140 -3.8299
41.799999 132.143 -4.4974
42.500000 132.067 -5.2711
43.099998 131.950 -5.5850
43.700001 131.859 -5.7186
44.400002 131.795 -6.1341
45.000000 131.737 -6.6660
45.500000 131.697 -7.0361
46.200001 131.687 -7.4912
46.799999 131.716 -7.9713
47.500000 131.766 -8.5799
48.200001 131.824 -9.1949
48.700001 131.855 -9.6768
49.400002 131.861 -10.3964
50.000000 131.832 -11.0417
50.799999 131.747 -11.9328
51.500000 131.643 -12.5249
52.200001 131.556 -12.8620
53.000000 131.481 -13.3089
53.799999 131.386 -13.9938
54.500000 131.301 -14.7069
55.200001 131.236 -15.5521
56.000000 131.183 -16.4937
57.000000 131.167 -17.2232
58.000000 131.198 -17.6179
59.000000 131.213 -17.9755
60.000000 131.166 -18.3919
60.799999 131.106 -18.7731
61.500000 131.043 -19.2650
62.200001 130.948 -19.8072
63.000000 130.816 -20.2841
64.000000 130.674 -20.9843
65.000000 130.574 -22.0557
66.000000 130.540 -23.1564
67.000000 130.534 -23.7036
68.000000 130.549 -23.7477
69.000000 130.531 -23.9087
70.000000 130.490 -24.0689
71.000000 130.448 -24.4311
72.000000 130.347 -24.8959
73.000000 130.216 -25.4035
74.000000 130.076 -25.9659
75.000000 129.961 -26.4700
76.199997 129.841 -27.2278
77.500000 129.747 -27.7819
78.800003 129.681 -27.9480
80.000000 129.607 -27.7664
81.199997 129.562 -28.0078
82.500000 129.493 -28.3843
83.800003 129.442 -28.5459
85.000000 129.396 -28.9875
86.199997 129.310 -29.3357
87.500000 129.158 -29.7862
88.500000 129.030 -30.2493
90.000000 128.932 -31.1268
91.199997 128.853 -31.5166
92.500000 128.828 -31.4604
93.800003 128.829 -31.4677
95.000000 128.782 -31.2598
96.199997 128.737 -31.0921
97.500000 128.671 -31.1699
98.800003 128.579 -31.2778
100.000000 128.476 -31.4391
101.500000 128.308 -31.7834
103.000000 128.169 -32.1639
104.400002 128.077 -32.5732
106.000000 128.021 -32.7832
107.500000 127.951 -32.9577
109.000000 127.892 -32.7795
110.599998 127.817 -32.6133
112.000000 127.739 -32.8625
113.800003 127.634 -32.6345
115.000000 127.544 -32.3639
117.199997 127.348 -32.3259
118.000000 127.283 -32.3938
120.599998 127.163 -32.6600
122.000000 127.151 -32.5480
124.099998 127.113 -32.1812
125.000000 127.098 -32.1349
126.500000 127.094 -31.8683
128.000000 127.040 -31.4953
131.500000 126.942 -31.2279
132.000000 126.930 -31.1711
134.000000 126.876 -30.7473
136.000000 126.850 -30.2168
138.000000 126.868 -30.0279
140.000000 126.887 -29.7533
143.000000 126.848 -29.5152
145.000000 126.778 -29.6222
147.500000 126.699 -30.3092
150.000000 126.623 -30.6054
152.500000 126.532 -31.0051
155.000000 126.478 -31.1217
157.500000 126.413 -31.0765
160.000000 126.339 -30.9179
162.500000 126.242 -30.7977
165.000000 126.134 -30.8245
167.500000 126.021 -31.0063
170.000000 125.924 -31.2742
172.500000 125.828 -31.2331
175.000000 125.743 -30.7658
177.500000 125.628 -30.4503
180.000000 125.557 -29.9612
182.500000 125.493 -29.4619
185.000000 125.447 -29.0378
187.500000 125.439 -28.8937
190.000000 125.428 -28.6473
192.500000 125.407 -28.5852
195.000000 125.433 -28.6627
197.500000 125.448 -28.7440
200.000000 125.432 -28.8390
203.000000 125.397 -28.7424
206.000000 125.296 -28.5168
209.000000 125.208 -28.2267
212.000000 125.091 -28.0301
214.000000 125.022 -27.8229
218.000000 124.862 -27.4548
220.000000 124.807 -27.3354
224.000000 124.740 -26.9567
227.000000 124.692 -26.9413
230.000000 124.683 -26.8517
233.000000 124.640 -26.7378
236.000000 124.619 -26.7921
240.000000 124.600 -26.5450
243.000000 124.544 -26.3160
247.000000 124.477 -25.7378
250.000000 124.431 -25.4672
254.000000 124.374 -25.0458
258.000000 124.252 -24.5638
262.000000 124.140 -24.3635
265.000000 124.088 -24.0642
269.000000 124.031 -23.6093
272.000000 123.997 -23.2120
276.000000 123.944 -22.9394
280.000000 123.917 -22.5695
285.000000 123.910 -22.2479
290.000000 123.881 -22.1560
295.000000 123.864 -21.9447
300.000000 123.814 -21.4151
304.000000 123.729 -20.9346
307.000000 123.652 -20.5068
311.000000 123.558 -20.0152
315.000000 123.500 -19.3376
320.000000 123.410 -18.8119
325.000000 123.329 -18.5044
330.000000 123.314 -18.1980
335.000000 123.312 -17.9136
340.000000 123.338 -17.5759
345.000000 123.332 -17.4054
350.000000 123.332 -17.0201
355.000000 123.289 -16.4286
360.000000 123.231 -16.0143
365.000000 123.182 -15.5531
370.000000 123.123 -14.9412
375.000000 123.068 -14.4227
382.000000 122.971 -13.9929
387.000000 122.949 -13.6043
395.000000 122.925 -12.9710
400.000000 122.934 -12.5767
406.000000 122.919 -12.1859
412.000000 122.920 -11.8716
418.000000 122.904 -11.4462
425.000000 122.872 -10.8539
431.000000 122.853 -10.2732
437.000000 122.826 -9.7996
444.000000 122.787 -9.2889
450.000000 122.749 -8.9131
455.000000 122.723 -8.5481
462.000000 122.673 -8.0281
468.000000 122.636 -7.5135
475.000000 122.590 -6.7978
482.000000 122.567 -6.2038
487.000000 122.596 -5.9349
494.000000 122.606 -5.5029
500.000000 122.616 -5.1982
508.000000 122.645 -4.7759
515.000000 122.668 -4.1954
522.000000 122.649 -3.6244
530.000000 122.625 -2.8508
538.000000 122.599 -2.2516
545.000000 122.569 -1.8356
552.000000 122.524 -1.4298
560.000000 122.478 -1.2011
570.000000 122.441 -0.7091
580.000000 122.436 -0.0973
590.000000 122.449 0.6959
600.000000 122.488 1.5077
608.000000 122.508 2.0594
615.000000 122.511 2.5264
622.000000 122.524 2.9753
630.000000 122.509 3.6124
640.000000 122.494 4.1376
650.000000 122.472 4.8694
660.000000 122.441 5.5500
670.000000 122.420 6.3250
680.000000 122.423 6.8398
690.000000 122.452 7.4665
700.000000 122.470 8.0721
710.000000 122.496 8.6922
720.000000 122.525 9.3699
730.000000 122.558 9.9049
740.000000 122.586 10.5971
750.000000 122.621 11.2270
762.000000 122.636 12.0297
775.000000 122.657 12.8442
788.000000 122.662 13.6266
800.000000 122.705 14.4720
812.000000 122.719 15.1392
825.000000 122.767 15.9765
838.000000 122.826 16.8498
850.000000 122.896 17.4395
862.000000 122.953 18.1216
875.000000 123.035 18.8525
885.000000 123.092 19.3516
900.000000 123.163 20.1783
912.000000 123.216 20.8156
925.000000 123.247 21.4712
938.000000 123.268 22.2909
950.000000 123.326 22.8276
962.000000 123.388 23.4472
975.000000 123.483 23.9569
988.000000 123.606 24.5090
1000.000000 123.711 25.0870
1015.000000 123.864 25.3835
1030.000000 123.981 25.8569
1044.000000 124.087 26.3390
1060.000000 124.189 26.8002
1075.000000 124.291 27.2438
1090.000000 124.389 27.6235
1106.000000 124.502 27.9731
1120.000000 124.580 28.1240
1138.000000 124.687 28.4658
1150.000000 124.756 28.7509
1172.000000 124.890 29.0678
1180.000000 124.948 29.1316
1206.000000 125.147 29.3188
1220.000000 125.242 29.4347
1241.000000 125.395 29.5359
1250.000000 125.441 29.5958
1265.000000 125.528 29.6397
1280.000000 125.585 29.7360
1315.000000 125.704 29.9010
1320.000000 125.718 29.9226
1340.000000 125.779 30.1454
1360.000000 125.873 30.1781
1380.000000 125.957 30.1037
1400.000000 126.079 30.2879
1430.000000 126.239 30.2393
1450.000000 126.339 30.2424
1475.000000 126.437 30.3869
1500.000000 126.518 30.4021
1525.000000 126.625 30.4404
1550.000000 126.709 30.4515
1575.000000 126.775 30.4483
1600.000000 126.848 30.5352
1625.000000 126.924 30.5642
1650.000000 127.017 30.5044
1675.000000 127.122 30.4751
1700.000000 127.254 30.4776
1725.000000 127.372 30.2702
1750.000000 127.484 30.2447
1775.000000 127.566 30.1284
1800.000000 127.639 29.9992
1825.000000 127.715 29.9404
1850.000000 127.771 29.8274
1875.000000 127.847 29.6659
1900.000000 127.944 29.4465
1925.000000 128.037 29.1851
1950.000000 128.146 29.0217
1975.000000 128.248 28.7036
2000.000000 128.345 28.3216
2030.000000 128.431 28.1505
2060.000000 128.519 27.7479
2090.000000 128.610 27.2871
2120.000000 128.695 26.9200
2140.000000 128.739 26.6313
2180.000000 128.830 25.9667
2200.000000 128.875 25.6882
2240.000000 128.952 25.0310
2270.000000 129.000 24.4893
2300.000000 129.038 24.0525
2330.000000 129.078 23.6206
2360.000000 129.116 23.1051
2400.000000 129.196 22.3888
2430.000000 129.240 21.8519
2470.000000 129.285 21.2258
2500.000000 129.332 20.8154
2540.000000 129.426 20.0101
2580.000000 129.524 19.2689
2620.000000 129.592 18.4825
2650.000000 129.632 17.7695
2690.000000 129.643 16.9286
2720.000000 129.648 16.1853
2760.000000 129.627 15.1285
2800.000000 129.575 14.0739
2850.000000 129.506 12.8988
2900.000000 129.364 12.0551
2950.000000 129.205 11.6948
3000.000000 129.128 11.6033
3040.000000 129.085 11.4698
3070.000000 129.086 11.5461
3110.000000 129.094 11.6821
3150.000000 129.124 11.6284
3200.000000 129.164 11.5102
3250.000000 129.175 11.4358
3300.000000 129.155 11.3801
3350.000000 129.137 11.3018
3400.000000 129.155 11.1124
3450.000000 129.177 10.9119
3500.000000 129.261 10.7546
3550.000000 129.391 10.2384
3600.000000 129.525 9.8273
3650.000000 129.588 9.4013
3700.000000 129.660 8.7974
3750.000000 129.705 8.1136
3820.000000 129.736 7.2750
3870.000000 129.761 6.5570
3950.000000 129.830 5.2608
4000.000000 129.869 4.5728
4060.000000 129.931 3.4754
4120.000000 129.909 2.5586
4180.000000 129.904 1.9125
4250.000000 129.956 0.0645
4310.000000 129.892 -1.5763
4370.000000 129.859 -3.1736
4440.000000 129.805 -4.9749
4500.000000 129.758 -6.6032
4550.000000 129.687 -7.9017
4620.000000 129.550 -9.5085
4680.000000 129.369 -10.7863
4750.000000 129.108 -11.9656
4820.000000 128.844 -12.8624
4870.000000 128.642 -13.2895
4940.000000 128.328 -13.5997
5000.000000 128.055 -13.5852
5080.000000 127.758 -13.4297
5150.000000 127.499 -12.8561
5220.000000 127.242 -12.2580
5300.000000 127.003 -11.1117
5380.000000 126.761 -9.8541
5450.000000 126.609 -8.6793
5520.000000 126.513 -7.3165
5600.000000 126.394 -5.6155
5700.000000 126.297 -3.5305
5800.000000 126.230 -1.1673
5900.000000 126.239 0.8315
