* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 4:16:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L JAY NEW COLLAB off 1096
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.479 5.1455
20.600000 128.468 4.6771
20.900000 128.451 4.2572
21.200001 128.436 3.8324
21.400000 128.428 3.5391
21.799999 128.416 2.9252
22.000000 128.411 2.6082
22.400000 128.401 1.9752
22.700001 128.392 1.5289
23.000000 128.382 1.1315
23.299999 128.374 0.7881
23.600000 128.369 0.4849
24.000000 128.370 0.0993
24.299999 128.373 -0.2169
24.700001 128.373 -0.7072
25.000000 128.364 -1.1205
25.400000 128.340 -1.6920
25.799999 128.303 -2.2275
26.200001 128.265 -2.6964
26.500000 128.242 -3.0148
26.900000 128.220 -3.4271
27.200001 128.209 -3.7465
27.600000 128.195 -4.1900
28.000000 128.178 -4.6322
28.500000 128.153 -5.1467
29.000000 128.126 -5.6212
29.500000 128.101 -6.0929
30.000000 128.074 -6.5797
30.400000 128.050 -6.9674
30.700001 128.033 -7.2502
31.100000 128.013 -7.6190
31.500000 127.995 -7.9876
32.000000 127.972 -8.4548
32.500000 127.945 -8.9111
33.000000 127.915 -9.3349
33.500000 127.887 -9.7369
34.000000 127.861 -10.1494
34.500000 127.834 -10.5813
35.000000 127.804 -11.0081
35.500000 127.774 -11.4057
36.000000 127.746 -11.7811
36.500000 127.720 -12.1555
37.000000 127.692 -12.5359
37.500000 127.663 -12.9130
38.200001 127.619 -13.4275
38.700001 127.587 -13.7927
39.500000 127.535 -14.3741
40.000000 127.501 -14.7246
40.599998 127.463 -15.1230
41.200001 127.428 -15.4945
41.799999 127.397 -15.8521
42.500000 127.359 -16.2840
43.099998 127.318 -16.6669
43.700001 127.272 -17.0377
44.400002 127.221 -17.4748
45.000000 127.183 -17.8884
45.500000 127.148 -18.2296
46.200001 127.099 -18.6118
46.799999 127.065 -18.8630
47.500000 127.032 -19.2060
48.200001 126.986 -19.6296
48.700001 126.945 -19.9206
49.400002 126.892 -20.2747
50.000000 126.855 -20.5666
50.799999 126.808 -20.9645
51.500000 126.761 -21.2964
52.200001 126.708 -21.6039
53.000000 126.648 -21.9284
53.799999 126.596 -22.2798
54.500000 126.551 -22.6319
55.200001 126.500 -22.9297
56.000000 126.449 -23.1664
57.000000 126.396 -23.5793
58.000000 126.314 -24.0894
59.000000 126.233 -24.4546
60.000000 126.175 -24.8363
60.799999 126.126 -25.1609
61.500000 126.078 -25.4222
62.200001 126.026 -25.6652
63.000000 125.965 -25.9276
64.000000 125.890 -26.2524
65.000000 125.819 -26.5711
66.000000 125.752 -26.8724
67.000000 125.682 -27.1411
68.000000 125.605 -27.4239
69.000000 125.522 -27.6960
70.000000 125.460 -27.9960
71.000000 125.393 -28.3980
72.000000 125.317 -28.5638
73.000000 125.267 -28.6983
74.000000 125.192 -28.9950
75.000000 125.105 -29.1918
76.199997 125.028 -29.4598
77.500000 124.939 -29.7177
78.800003 124.840 -29.9060
80.000000 124.752 -30.1994
81.199997 124.668 -30.4082
82.500000 124.592 -30.5649
83.800003 124.492 -30.8305
85.000000 124.405 -30.9607
86.199997 124.330 -31.1027
87.500000 124.230 -31.2161
88.500000 124.166 -31.3698
90.000000 124.048 -31.5510
91.199997 123.977 -31.6004
92.500000 123.876 -31.7460
93.800003 123.801 -31.8167
95.000000 123.718 -31.8984
96.199997 123.647 -31.9281
97.500000 123.547 -32.0342
98.800003 123.461 -31.9895
100.000000 123.381 -32.2554
101.500000 123.290 -32.0535
103.000000 123.162 -32.2445
104.400002 123.103 -32.4014
106.000000 123.037 -32.0639
107.500000 122.901 -31.7371
109.000000 122.785 -32.0811
110.599998 122.724 -32.1199
112.000000 122.656 -31.9440
113.800003 122.545 -31.6987
115.000000 122.464 -31.8123
117.199997 122.346 -31.6673
118.000000 122.301 -31.6971
120.599998 122.173 -31.4742
122.000000 122.074 -31.3535
124.099998 121.949 -31.1284
125.000000 121.906 -30.9763
126.500000 121.837 -30.8396
128.000000 121.745 -30.6487
131.500000 121.559 -30.2945
132.000000 121.529 -30.2894
134.000000 121.413 -29.8896
136.000000 121.315 -29.5848
138.000000 121.223 -29.2178
140.000000 121.119 -28.7926
143.000000 120.983 -28.3437
145.000000 120.902 -27.9350
147.500000 120.797 -27.4744
150.000000 120.694 -26.9889
152.500000 120.603 -26.4011
155.000000 120.507 -25.8623
157.500000 120.404 -25.4042
160.000000 120.330 -25.0175
162.500000 120.258 -24.5056
165.000000 120.186 -23.9195
167.500000 120.113 -22.9950
170.000000 120.024 -22.6795
172.500000 119.970 -22.2196
175.000000 119.920 -21.6955
177.500000 119.877 -21.0913
180.000000 119.808 -20.4219
182.500000 119.725 -20.0230
185.000000 119.740 -19.5712
187.500000 119.699 -18.7803
190.000000 119.638 -18.0490
192.500000 119.580 -17.7458
195.000000 119.544 -17.2428
197.500000 119.534 -16.7721
200.000000 119.508 -15.9816
203.000000 119.463 -15.4336
206.000000 119.439 -14.9228
209.000000 119.419 -14.2384
212.000000 119.397 -13.6712
214.000000 119.376 -13.2762
218.000000 119.355 -12.5069
220.000000 119.349 -12.1321
224.000000 119.344 -11.4089
227.000000 119.344 -10.9525
230.000000 119.326 -10.4421
233.000000 119.324 -9.8988
236.000000 119.336 -9.4357
240.000000 119.329 -8.7859
243.000000 119.321 -8.3152
247.000000 119.347 -7.6545
250.000000 119.349 -7.1997
254.000000 119.366 -6.6729
258.000000 119.369 -6.2550
262.000000 119.376 -5.6730
265.000000 119.395 -5.2116
269.000000 119.418 -4.7563
272.000000 119.424 -4.4333
276.000000 119.434 -3.9269
280.000000 119.467 -3.5145
285.000000 119.486 -2.9911
290.000000 119.492 -2.6011
295.000000 119.538 -2.0748
300.000000 119.563 -1.5527
304.000000 119.575 -1.2304
307.000000 119.619 -1.0466
311.000000 119.603 -0.6722
315.000000 119.628 -0.4728
320.000000 119.640 -0.0418
325.000000 119.673 0.3571
330.000000 119.711 0.6281
335.000000 119.734 0.9741
340.000000 119.747 1.1849
345.000000 119.775 1.5527
350.000000 119.792 1.7716
355.000000 119.853 2.1487
360.000000 119.865 2.1772
365.000000 119.881 2.5569
370.000000 119.893 2.5165
375.000000 119.941 2.8656
382.000000 119.930 3.0168
387.000000 119.972 3.2810
395.000000 120.006 3.6496
400.000000 119.998 3.5675
406.000000 119.992 3.7742
412.000000 120.041 4.0626
418.000000 120.041 4.4439
425.000000 120.028 4.5759
431.000000 120.045 4.8261
437.000000 120.043 5.1383
444.000000 120.073 5.3154
450.000000 120.044 5.4877
455.000000 120.050 5.6986
462.000000 120.081 5.9673
468.000000 120.085 6.1205
475.000000 120.089 6.3128
482.000000 120.089 6.6368
487.000000 120.079 6.8114
494.000000 120.104 7.0431
500.000000 120.099 7.1968
508.000000 120.099 7.4474
515.000000 120.107 7.8291
522.000000 120.112 8.0034
530.000000 120.130 8.3189
538.000000 120.102 8.6208
545.000000 120.116 8.9210
552.000000 120.094 9.1194
560.000000 120.115 9.3636
570.000000 120.117 9.8150
580.000000 120.103 10.2523
590.000000 120.133 10.5871
600.000000 120.153 11.0517
608.000000 120.142 11.3553
615.000000 120.150 11.5991
622.000000 120.149 11.9711
630.000000 120.183 12.3745
640.000000 120.170 12.6500
650.000000 120.192 13.0946
660.000000 120.198 13.4841
670.000000 120.221 13.9514
680.000000 120.212 14.3668
690.000000 120.235 14.7877
700.000000 120.251 15.2170
710.000000 120.257 15.6480
720.000000 120.294 16.0521
730.000000 120.315 16.6336
740.000000 120.342 16.9682
750.000000 120.370 17.3307
762.000000 120.403 17.8088
775.000000 120.455 18.3888
788.000000 120.461 18.8976
800.000000 120.512 19.3639
812.000000 120.551 19.7606
825.000000 120.579 20.2576
838.000000 120.639 20.5329
850.000000 120.637 20.9498
862.000000 120.653 21.4149
875.000000 120.683 21.7905
885.000000 120.675 22.4269
900.000000 120.714 23.2808
912.000000 120.773 23.9514
925.000000 120.812 24.6786
938.000000 120.914 25.4517
950.000000 120.957 25.9256
962.000000 121.043 26.6136
975.000000 121.137 27.2127
988.000000 121.240 27.6471
1000.000000 121.369 28.1617
1015.000000 121.454 28.7071
1030.000000 121.587 29.0398
1044.000000 121.691 29.4633
1060.000000 121.833 29.8120
1075.000000 121.952 30.0196
1090.000000 122.075 30.1528
1106.000000 122.206 30.2682
1120.000000 122.307 30.3672
1138.000000 122.448 30.5424
1150.000000 122.535 30.4352
1172.000000 122.692 30.4814
1180.000000 122.739 30.4418
1206.000000 122.908 30.2385
1220.000000 122.994 30.2049
1241.000000 123.097 29.9468
1250.000000 123.164 29.9654
1265.000000 123.227 29.8531
1280.000000 123.299 29.6746
1315.000000 123.461 29.2964
1320.000000 123.476 29.2651
1340.000000 123.556 29.1789
1360.000000 123.627 28.8720
1380.000000 123.698 28.6243
1400.000000 123.765 28.4105
1430.000000 123.860 28.2513
1450.000000 123.904 27.9569
1475.000000 123.971 27.8605
1500.000000 124.033 27.6148
1525.000000 124.096 27.5085
1550.000000 124.146 27.3342
1575.000000 124.215 27.2391
1600.000000 124.270 27.1338
1625.000000 124.326 26.9484
1650.000000 124.378 26.8721
1675.000000 124.434 26.7648
1700.000000 124.482 26.6839
1725.000000 124.544 26.6686
1750.000000 124.597 26.6179
1775.000000 124.669 26.4821
1800.000000 124.716 26.4629
1825.000000 124.774 26.4413
1850.000000 124.833 26.2153
1875.000000 124.908 26.0875
1900.000000 124.959 26.1889
1925.000000 125.020 26.1026
1950.000000 125.091 26.0127
1975.000000 125.155 25.8687
2000.000000 125.260 25.5757
2030.000000 125.297 25.6467
2060.000000 125.391 25.5420
2090.000000 125.472 25.3180
2120.000000 125.564 25.1478
2140.000000 125.611 24.9120
2180.000000 125.735 24.6508
2200.000000 125.800 24.4070
2240.000000 125.910 24.0175
2270.000000 126.006 23.6759
2300.000000 126.091 23.2190
2330.000000 126.183 22.9129
2360.000000 126.264 22.4761
2400.000000 126.371 21.8372
2430.000000 126.440 21.3904
2470.000000 126.539 20.7128
2500.000000 126.620 20.1897
2540.000000 126.725 19.4630
2580.000000 126.813 18.6819
2620.000000 126.911 17.8522
2650.000000 126.979 17.2107
2690.000000 127.065 16.2973
2720.000000 127.116 15.5533
2760.000000 127.193 14.5604
2800.000000 127.257 13.5341
2850.000000 127.327 12.2077
2900.000000 127.371 10.8260
2950.000000 127.406 9.4102
3000.000000 127.447 7.9690
3040.000000 127.436 6.9044
3070.000000 127.436 5.9863
3110.000000 127.432 4.8866
3150.000000 127.432 3.8095
3200.000000 127.399 2.4123
3250.000000 127.377 1.0460
3300.000000 127.331 -0.3630
3350.000000 127.278 -1.7562
3400.000000 127.207 -3.1406
3450.000000 127.124 -4.3525
3500.000000 127.053 -5.5355
3550.000000 126.955 -6.7551
3600.000000 126.866 -7.8097
3650.000000 126.769 -8.9506
3700.000000 126.675 -9.9825
3750.000000 126.569 -11.0402
3820.000000 126.405 -12.5067
3870.000000 126.275 -13.4735
3950.000000 126.070 -14.9565
4000.000000 125.974 -15.9331
4060.000000 125.765 -16.9855
4120.000000 125.574 -18.0348
4180.000000 125.374 -18.9786
4250.000000 125.115 -19.9917
4310.000000 124.893 -20.5733
4370.000000 124.642 -21.1723
4440.000000 124.380 -21.6453
4500.000000 124.142 -21.8867
4550.000000 123.975 -22.1273
4620.000000 123.729 -22.1878
4680.000000 123.547 -22.1811
4750.000000 123.335 -22.2660
4820.000000 123.133 -22.3767
4870.000000 122.998 -22.2255
4940.000000 122.799 -22.1980
5000.000000 122.643 -22.1030
5080.000000 122.445 -22.0395
5150.000000 122.270 -22.1386
5220.000000 122.098 -22.0402
5300.000000 121.932 -22.0838
5380.000000 121.725 -22.3744
5450.000000 121.557 -22.0963
5520.000000 121.396 -22.2006
5600.000000 121.198 -22.1820
5700.000000 120.920 -22.0543
5800.000000 120.574 -22.1536
