* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 15, 2024 11:32:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 61T Jul 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 147.663 174.6630
20.600000 147.643 174.0993
20.900000 147.617 173.5950
21.200001 147.592 173.0938
21.400000 147.577 172.7581
21.799999 147.549 172.0835
22.000000 147.537 171.7469
22.400000 147.513 171.0838
22.700001 147.495 170.6020
23.000000 147.475 170.1362
23.299999 147.455 169.6841
23.600000 147.434 169.2419
24.000000 147.404 168.6617
24.299999 147.381 168.2305
24.700001 147.350 167.6599
25.000000 147.327 167.2360
25.400000 147.297 166.6776
25.799999 147.268 166.1299
26.200001 147.239 165.5957
26.500000 147.216 165.2039
26.900000 147.187 164.6896
27.200001 147.165 164.3057
27.600000 147.135 163.7936
28.000000 147.102 163.2870
28.500000 147.060 162.6827
29.000000 147.017 162.1208
29.500000 146.978 161.5725
30.000000 146.938 160.9993
30.400000 146.902 160.5279
30.700001 146.873 160.1828
31.100000 146.837 159.7494
31.500000 146.807 159.3368
32.000000 146.778 158.8089
32.500000 146.744 158.2579
33.000000 146.694 157.7587
33.500000 146.639 157.3642
34.000000 146.600 156.9661
34.500000 146.575 156.3606
35.000000 146.538 155.5094
35.500000 146.471 154.6532
36.000000 146.390 154.0984
36.500000 146.335 153.9046
37.000000 146.323 153.8310
37.500000 146.328 153.6189
38.200001 146.296 153.0442
38.700001 146.239 152.5976
39.500000 146.146 151.9491
40.000000 146.102 151.5358
40.599998 146.058 151.0405
41.200001 146.015 150.5867
41.799999 145.970 150.1565
42.500000 145.908 149.6486
43.099998 145.853 149.2126
43.700001 145.803 148.7720
44.400002 145.751 148.2539
45.000000 145.704 147.8345
45.500000 145.665 147.5079
46.200001 145.608 147.0575
46.799999 145.557 146.6660
47.500000 145.499 146.2130
48.200001 145.445 145.7588
48.700001 145.406 145.4341
49.400002 145.350 144.9968
50.000000 145.303 144.6385
50.799999 145.242 144.1589
51.500000 145.187 143.7420
52.200001 145.130 143.3450
53.000000 145.068 142.8950
53.799999 145.007 142.4310
54.500000 144.954 142.0553
55.200001 144.903 141.7250
56.000000 144.847 141.3367
57.000000 144.768 140.8118
58.000000 144.691 140.3121
59.000000 144.619 139.7979
60.000000 144.543 139.3408
60.799999 144.486 138.9796
61.500000 144.436 138.6588
62.200001 144.388 138.3615
63.000000 144.336 137.9996
64.000000 144.256 137.5470
65.000000 144.183 137.1913
66.000000 144.122 136.7595
67.000000 144.051 136.3372
68.000000 143.982 135.9266
69.000000 143.911 135.4964
70.000000 143.847 135.1345
71.000000 143.784 134.7767
72.000000 143.713 134.4397
73.000000 143.647 134.0802
74.000000 143.580 133.7210
75.000000 143.517 133.3990
76.199997 143.444 132.9496
77.500000 143.361 132.5406
78.800003 143.288 132.1557
80.000000 143.212 131.7886
81.199997 143.141 131.4024
82.500000 143.059 131.0037
83.800003 142.987 130.6231
85.000000 142.917 130.2690
86.199997 142.830 129.9775
87.500000 142.769 129.6261
88.500000 142.711 129.3229
90.000000 142.647 128.9821
91.199997 142.571 128.3976
92.500000 142.501 128.2368
93.800003 142.435 128.0237
95.000000 142.371 127.7409
96.199997 142.307 127.4101
97.500000 142.240 127.1458
98.800003 142.169 126.8167
100.000000 142.119 126.5326
101.500000 142.039 126.2590
103.000000 141.979 125.7735
104.400002 141.901 125.5125
106.000000 141.829 125.2708
107.500000 141.763 124.9463
109.000000 141.692 124.6498
110.599998 141.624 124.4095
112.000000 141.562 124.0874
113.800003 141.477 123.7415
115.000000 141.430 123.5213
117.199997 141.335 123.0903
118.000000 141.300 122.9553
120.599998 141.203 122.5122
122.000000 141.144 122.2664
124.099998 141.058 121.9041
125.000000 141.028 121.7359
126.500000 140.974 121.5069
128.000000 140.920 121.2643
131.500000 140.788 120.7141
132.000000 140.770 120.6361
134.000000 140.705 120.3221
136.000000 140.630 120.0444
138.000000 140.561 119.7053
140.000000 140.503 119.4141
143.000000 140.404 118.9792
145.000000 140.344 118.7164
147.500000 140.267 118.3776
150.000000 140.190 118.0083
152.500000 140.118 117.6582
155.000000 140.048 117.3249
157.500000 139.981 117.0178
160.000000 139.913 116.6754
162.500000 139.846 116.3612
165.000000 139.780 116.0357
167.500000 139.714 115.7412
170.000000 139.660 115.3946
172.500000 139.600 115.0846
175.000000 139.549 114.8144
177.500000 139.479 114.4798
180.000000 139.429 114.1808
182.500000 139.394 113.9121
185.000000 139.313 113.6943
187.500000 139.262 113.3828
190.000000 139.238 113.0558
192.500000 139.171 112.5602
195.000000 139.131 112.5027
197.500000 139.061 112.3504
200.000000 139.061 111.9647
203.000000 138.990 111.4314
206.000000 138.911 111.1727
209.000000 138.850 111.2324
212.000000 138.872 110.7115
214.000000 138.809 110.2183
218.000000 138.750 109.9378
220.000000 138.710 109.5049
224.000000 138.598 109.3559
227.000000 138.633 109.4260
230.000000 138.606 108.7048
233.000000 138.549 108.2581
236.000000 138.490 108.0476
240.000000 138.443 107.5989
243.000000 138.412 107.3078
247.000000 138.366 106.8809
250.000000 138.329 106.6346
254.000000 138.286 106.1540
258.000000 138.244 105.7704
262.000000 138.207 105.3636
265.000000 138.177 105.0774
269.000000 138.137 104.6517
272.000000 138.109 104.3535
276.000000 138.083 103.9997
280.000000 138.049 103.5443
285.000000 138.002 103.0276
290.000000 137.954 102.5138
295.000000 137.913 102.0330
300.000000 137.867 101.5674
304.000000 137.850 101.2099
307.000000 137.835 100.9404
311.000000 137.810 100.5100
315.000000 137.795 100.1323
320.000000 137.759 99.6895
325.000000 137.721 99.2290
330.000000 137.698 98.7674
335.000000 137.662 98.3657
340.000000 137.642 97.8398
345.000000 137.615 97.4659
350.000000 137.596 97.0237
355.000000 137.567 96.5387
360.000000 137.547 96.0986
365.000000 137.521 95.6889
370.000000 137.513 95.2494
375.000000 137.490 94.8813
382.000000 137.464 94.2552
387.000000 137.438 93.8052
395.000000 137.422 93.1473
400.000000 137.408 92.8070
406.000000 137.387 92.2627
412.000000 137.373 91.8030
418.000000 137.356 91.3076
425.000000 137.334 90.7482
431.000000 137.323 90.2652
437.000000 137.316 89.7845
444.000000 137.299 89.2371
450.000000 137.288 88.8185
455.000000 137.272 88.4457
462.000000 137.256 87.9186
468.000000 137.244 87.4859
475.000000 137.237 86.9671
482.000000 137.215 86.4985
487.000000 137.209 86.1405
494.000000 137.192 85.7090
500.000000 137.180 85.2934
508.000000 137.163 84.8052
515.000000 137.151 84.3797
522.000000 137.137 83.9776
530.000000 137.120 83.5333
538.000000 137.112 83.0805
545.000000 137.102 82.7880
552.000000 137.099 82.3751
560.000000 137.088 81.9812
570.000000 137.084 81.5027
580.000000 137.076 81.0345
590.000000 137.076 80.5517
600.000000 137.073 80.1242
608.000000 137.074 79.8146
615.000000 137.071 79.5150
622.000000 137.075 79.2392
630.000000 137.072 78.8918
640.000000 137.073 78.5650
650.000000 137.078 78.1990
660.000000 137.090 77.8019
670.000000 137.092 77.4965
680.000000 137.104 77.1678
690.000000 137.108 76.9033
700.000000 137.117 76.6334
710.000000 137.127 76.2912
720.000000 137.140 76.0733
730.000000 137.156 75.8301
740.000000 137.169 75.5568
750.000000 137.191 75.3418
762.000000 137.209 75.1144
775.000000 137.232 74.8706
788.000000 137.271 74.6483
800.000000 137.296 74.4820
812.000000 137.328 74.2922
825.000000 137.367 74.0910
838.000000 137.403 73.8934
850.000000 137.453 73.7243
862.000000 137.495 73.6249
875.000000 137.548 73.4829
885.000000 137.581 73.3442
900.000000 137.649 73.1921
912.000000 137.707 73.0608
925.000000 137.769 72.8693
938.000000 137.833 72.7876
950.000000 137.894 72.6161
962.000000 137.960 72.4739
975.000000 138.025 72.3146
988.000000 138.103 72.1393
1000.000000 138.172 72.1513
1015.000000 138.254 71.7754
1030.000000 138.343 71.5540
1044.000000 138.422 71.3037
1060.000000 138.518 71.0937
1075.000000 138.607 70.8552
1090.000000 138.703 70.6211
1106.000000 138.805 70.3394
1120.000000 138.898 70.1353
1138.000000 139.028 69.7912
1150.000000 139.101 69.5212
1172.000000 139.255 69.0375
1180.000000 139.308 68.8623
1206.000000 139.493 68.1245
1220.000000 139.584 67.7184
1241.000000 139.710 67.0827
1250.000000 139.766 66.7873
1265.000000 139.859 66.2548
1280.000000 139.946 65.8061
1315.000000 140.129 64.5799
1320.000000 140.147 64.4565
1340.000000 140.246 63.7988
1360.000000 140.337 63.1040
1380.000000 140.430 62.4565
1400.000000 140.510 61.7945
1430.000000 140.633 60.8871
1450.000000 140.708 60.2797
1475.000000 140.800 59.5523
1500.000000 140.893 58.8543
1525.000000 140.984 58.1656
1550.000000 141.067 57.4421
1575.000000 141.157 56.7862
1600.000000 141.243 56.1456
1625.000000 141.323 55.4838
1650.000000 141.412 54.8328
1675.000000 141.500 54.2383
1700.000000 141.586 53.6303
1725.000000 141.670 52.9918
1750.000000 141.756 52.4059
1775.000000 141.847 51.7932
1800.000000 141.932 51.1219
1825.000000 142.024 50.5256
1850.000000 142.107 49.8887
1875.000000 142.195 49.2547
1900.000000 142.280 48.6018
1925.000000 142.372 47.9499
1950.000000 142.456 47.2653
1975.000000 142.545 46.5651
2000.000000 142.631 45.7499
2030.000000 142.733 45.0065
2060.000000 142.831 44.1307
2090.000000 142.930 43.2166
2120.000000 143.029 42.2836
2140.000000 143.087 41.6321
2180.000000 143.202 40.3494
2200.000000 143.261 39.6450
2240.000000 143.371 38.2763
2270.000000 143.439 37.2134
2300.000000 143.514 36.1436
2330.000000 143.579 35.0362
2360.000000 143.636 33.9391
2400.000000 143.707 32.4746
2430.000000 143.748 31.3301
2470.000000 143.793 29.8127
2500.000000 143.821 28.6411
2540.000000 143.844 27.1575
2580.000000 143.862 25.6456
2620.000000 143.867 24.1573
2650.000000 143.862 23.0822
2690.000000 143.851 21.5920
2720.000000 143.831 20.5671
2760.000000 143.800 19.1783
2800.000000 143.760 17.8590
2850.000000 143.701 16.2560
2900.000000 143.635 14.7269
2950.000000 143.553 13.2550
3000.000000 143.473 12.0361
3040.000000 143.399 10.8876
3070.000000 143.345 10.1314
3110.000000 143.267 9.2043
3150.000000 143.193 8.2779
3200.000000 143.094 7.2082
3250.000000 142.995 6.1470
3300.000000 142.900 5.1677
3350.000000 142.800 4.2188
3400.000000 142.697 3.2917
3450.000000 142.590 2.4120
3500.000000 142.479 1.5207
3550.000000 142.356 0.6855
3600.000000 142.224 -0.1353
3650.000000 142.074 -0.8581
3700.000000 141.907 -1.5886
3750.000000 141.719 -2.0868
3820.000000 141.420 -2.3034
3870.000000 141.204 -1.9891
3950.000000 140.939 -0.6301
4000.000000 140.856 0.5792
4060.000000 140.914 2.1615
4120.000000 141.076 3.0859
4180.000000 141.269 3.2243
4250.000000 141.483 2.6327
4310.000000 141.610 1.6180
4370.000000 141.691 0.4367
4440.000000 141.713 -1.1044
4500.000000 141.678 -2.3320
4550.000000 141.628 -3.3427
4620.000000 141.512 -4.4984
4680.000000 141.387 -5.3849
4750.000000 141.219 -6.1451
4820.000000 141.051 -6.6284
4870.000000 140.935 -6.8203
4940.000000 140.793 -6.8724
5000.000000 140.677 -6.8305
5080.000000 140.575 -6.6799
5150.000000 140.499 -6.6060
5220.000000 140.439 -6.5984
5300.000000 140.376 -6.8209
5380.000000 140.291 -7.1259
5450.000000 140.198 -7.4727
5520.000000 140.052 -7.7382
5600.000000 139.894 -7.9275
5700.000000 139.638 -7.8332
5800.000000 139.383 -7.4346
5900.000000 139.128 -6.5806
6000.000000 138.898 -5.2244
6080.000000 138.745 -4.1564
6150.000000 138.632 -2.8467
6220.000000 138.558 -1.6044
6300.000000 138.485 -0.1680
6400.000000 138.440 1.8436
6500.000000 138.430 3.8397
6600.000000 138.489 5.8243
6700.000000 138.591 7.8206
6800.000000 138.743 9.6736
6900.000000 138.942 11.3254
7000.000000 139.194 12.8246
