* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 18, 2024 12:56:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L KADENZ foam c 312
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 123.458 -150.7429
20.600000 123.487 -151.3983
20.900000 123.508 -151.9567
21.200001 123.525 -152.4769
21.400000 123.535 -152.8040
21.799999 123.554 -153.4202
22.000000 123.564 -153.7169
22.400000 123.583 -154.3078
22.700001 123.596 -154.7654
23.000000 123.606 -155.2457
23.299999 123.613 -155.7473
23.600000 123.617 -156.2632
24.000000 123.620 -156.9556
24.299999 123.622 -157.4636
24.700001 123.628 -158.1102
25.000000 123.637 -158.5637
25.400000 123.653 -159.1196
25.799999 123.673 -159.6197
26.200001 123.692 -160.0754
26.500000 123.705 -160.4015
26.900000 123.716 -160.8340
27.200001 123.721 -161.1665
27.600000 123.721 -161.6256
28.000000 123.718 -162.1002
28.500000 123.719 -162.7106
29.000000 123.728 -163.3401
29.500000 123.741 -163.9779
30.000000 123.749 -164.5815
30.400000 123.748 -165.0074
30.700001 123.745 -165.2885
31.100000 123.740 -165.6294
31.500000 123.738 -165.9650
32.000000 123.738 -166.4271
32.500000 123.742 -166.9521
33.000000 123.747 -167.5038
33.500000 123.753 -168.0312
34.000000 123.759 -168.5010
34.500000 123.765 -168.9103
35.000000 123.767 -169.2775
35.500000 123.762 -169.6321
36.000000 123.750 -169.9953
36.500000 123.729 -170.3615
37.000000 123.703 -170.6974
37.500000 123.681 -170.9748
38.200001 123.672 -171.3059
38.700001 123.680 -171.5909
39.500000 123.686 -172.2574
40.000000 123.678 -172.7784
40.599998 123.662 -173.4501
41.200001 123.655 -174.1185
41.799999 123.656 -174.6730
42.500000 123.663 -175.0165
43.099998 123.667 -175.1245
43.700001 123.646 -175.3021
44.400002 123.577 -175.7064
45.000000 123.519 -176.1447
45.500000 123.511 -176.5793
46.200001 123.552 -177.2834
46.799999 123.580 -177.7069
47.500000 123.585 -177.7204
48.200001 123.579 -177.6986
48.700001 123.551 -177.9798
49.400002 123.475 -178.5903
50.000000 123.437 -178.9630
50.799999 123.468 -179.3586
51.500000 123.476 -179.7369
52.200001 123.422 -179.8729
53.000000 123.365 -179.9400
53.799999 123.337 179.5875
54.500000 123.313 179.1006
55.200001 123.300 178.7569
56.000000 123.283 178.3912
57.000000 123.241 178.0403
58.000000 123.237 177.6429
59.000000 123.214 177.1680
60.000000 123.175 177.0314
60.799999 123.158 176.8498
61.500000 123.131 176.5314
62.200001 123.096 176.2046
63.000000 123.064 175.8922
64.000000 123.037 175.5681
65.000000 123.015 175.3025
66.000000 122.991 174.9237
67.000000 122.953 174.5810
68.000000 122.927 174.3791
69.000000 122.896 174.1154
70.000000 122.863 173.8157
71.000000 122.841 173.5213
72.000000 122.812 173.2791
73.000000 122.771 173.0453
74.000000 122.739 172.8010
75.000000 122.722 172.5200
76.199997 122.676 172.2578
77.500000 122.626 172.0161
78.800003 122.592 171.7661
80.000000 122.559 171.5001
81.199997 122.515 171.2148
82.500000 122.478 170.9690
83.800003 122.431 170.8144
85.000000 122.393 170.6069
86.199997 122.370 170.3954
87.500000 122.336 170.2396
88.500000 122.308 170.0311
90.000000 122.253 169.7417
91.199997 122.224 169.6314
92.500000 122.181 169.3681
93.800003 122.133 169.1989
95.000000 122.098 169.0235
96.199997 122.052 168.8165
97.500000 122.024 168.6964
98.800003 121.979 168.5028
100.000000 121.949 168.4388
101.500000 121.910 168.2852
103.000000 121.869 168.1759
104.400002 121.808 168.0281
106.000000 121.783 167.8662
107.500000 121.714 167.6496
109.000000 121.689 167.5686
110.599998 121.653 167.4498
112.000000 121.600 167.4062
113.800003 121.548 167.2917
115.000000 121.515 167.1388
117.199997 121.470 167.0816
118.000000 121.457 166.9647
120.599998 121.373 166.8830
122.000000 121.352 166.6839
124.099998 121.277 166.7539
125.000000 121.249 166.6177
126.500000 121.215 166.5581
128.000000 121.189 166.5861
131.500000 121.094 166.4483
132.000000 121.083 166.4371
134.000000 121.039 166.3410
136.000000 120.992 166.3353
138.000000 120.913 166.3306
140.000000 120.889 166.2392
143.000000 120.820 166.2526
145.000000 120.774 166.2787
147.500000 120.702 166.1520
150.000000 120.658 166.0981
152.500000 120.604 166.2273
155.000000 120.552 166.1411
157.500000 120.507 166.2849
160.000000 120.447 166.2991
162.500000 120.397 166.2451
165.000000 120.348 166.2297
167.500000 120.290 166.3257
170.000000 120.236 166.3538
172.500000 120.203 166.4257
175.000000 120.145 166.4629
177.500000 120.112 166.5720
180.000000 120.056 166.6764
182.500000 120.012 166.7383
185.000000 119.967 166.8219
187.500000 119.936 166.8943
190.000000 119.890 167.0429
192.500000 119.855 166.9286
195.000000 119.820 167.1261
197.500000 119.777 167.2088
200.000000 119.719 167.2723
203.000000 119.681 167.4802
206.000000 119.641 167.6299
209.000000 119.594 167.6940
212.000000 119.561 167.7968
214.000000 119.520 167.8771
218.000000 119.473 168.1102
220.000000 119.447 168.1719
224.000000 119.398 168.3327
227.000000 119.351 168.4869
230.000000 119.313 168.6825
233.000000 119.287 168.8524
236.000000 119.238 168.9858
240.000000 119.195 169.0875
243.000000 119.165 169.2660
247.000000 119.126 169.4439
250.000000 119.066 169.6538
254.000000 119.039 169.8684
258.000000 119.007 170.0453
262.000000 118.963 170.2964
265.000000 118.937 170.5095
269.000000 118.915 170.7116
272.000000 118.863 170.9809
276.000000 118.833 171.0334
280.000000 118.787 171.3694
285.000000 118.755 171.6317
290.000000 118.715 171.8597
295.000000 118.663 172.1592
300.000000 118.639 172.4710
304.000000 118.598 172.6285
307.000000 118.576 172.8678
311.000000 118.551 173.0560
315.000000 118.512 173.4038
320.000000 118.495 173.6385
325.000000 118.460 173.9364
330.000000 118.418 174.2770
335.000000 118.404 174.4519
340.000000 118.362 174.8721
345.000000 118.328 175.1371
350.000000 118.294 175.4755
355.000000 118.273 175.7240
360.000000 118.245 175.9370
365.000000 118.227 176.2210
370.000000 118.199 176.5529
375.000000 118.171 176.6769
382.000000 118.152 177.1788
387.000000 118.135 177.5536
395.000000 118.093 178.0207
400.000000 118.100 178.3536
406.000000 118.054 178.5609
412.000000 118.019 178.9290
418.000000 117.998 179.1871
425.000000 117.983 179.7214
431.000000 117.967 179.9777
437.000000 117.945 -179.6766
444.000000 117.927 -179.1792
450.000000 117.904 -178.9449
455.000000 117.895 -178.6475
462.000000 117.884 -178.2771
468.000000 117.859 -177.9122
475.000000 117.839 -177.4122
482.000000 117.837 -177.0877
487.000000 117.826 -176.8032
494.000000 117.802 -176.4891
500.000000 117.776 -176.0039
508.000000 117.792 -175.6207
515.000000 117.748 -175.2896
522.000000 117.756 -174.7423
530.000000 117.748 -174.4321
538.000000 117.727 -173.9362
545.000000 117.719 -173.5420
552.000000 117.713 -173.2511
560.000000 117.685 -172.6537
570.000000 117.697 -171.9807
580.000000 117.690 -171.5950
590.000000 117.667 -170.9456
600.000000 117.680 -170.5066
608.000000 117.674 -169.9737
615.000000 117.665 -169.5345
622.000000 117.667 -169.1152
630.000000 117.673 -168.6617
640.000000 117.672 -168.0472
650.000000 117.682 -167.4597
660.000000 117.678 -166.8662
670.000000 117.673 -166.2706
680.000000 117.719 -165.7444
690.000000 117.714 -165.0481
700.000000 117.694 -164.6184
710.000000 117.737 -163.9915
720.000000 117.737 -163.3490
730.000000 117.736 -162.7303
740.000000 117.768 -162.2134
750.000000 117.775 -161.6390
762.000000 117.824 -160.9036
775.000000 117.863 -160.1586
788.000000 117.912 -159.2563
800.000000 117.955 -158.5961
812.000000 117.972 -157.9045
825.000000 118.028 -157.0962
838.000000 118.100 -156.2952
850.000000 118.151 -155.6743
862.000000 118.186 -154.9751
875.000000 118.282 -154.1043
885.000000 118.309 -153.7679
900.000000 118.402 -152.9442
912.000000 118.485 -152.3079
925.000000 118.577 -151.6122
938.000000 118.652 -151.0709
950.000000 118.745 -150.4977
962.000000 118.821 -149.9506
975.000000 118.935 -149.5140
988.000000 119.035 -148.9809
1000.000000 119.111 -148.8598
1015.000000 119.237 -148.0853
1030.000000 119.330 -147.4688
1044.000000 119.451 -147.1538
1060.000000 119.580 -146.7649
1075.000000 119.704 -146.2898
1090.000000 119.824 -146.0015
1106.000000 119.951 -145.6802
1120.000000 120.046 -145.5653
1138.000000 120.190 -145.2113
1150.000000 120.261 -145.0628
1172.000000 120.448 -144.8748
1180.000000 120.482 -144.8115
1206.000000 120.664 -144.5986
1220.000000 120.775 -144.4202
1241.000000 120.889 -144.3454
1250.000000 120.939 -144.2644
1265.000000 121.043 -144.2608
1280.000000 121.131 -144.1863
1315.000000 121.344 -144.0344
1320.000000 121.386 -144.1208
1340.000000 121.489 -144.0235
1360.000000 121.613 -144.0712
1380.000000 121.716 -143.9289
1400.000000 121.824 -143.9012
1430.000000 121.994 -143.8360
1450.000000 122.076 -143.8693
1475.000000 122.229 -143.8479
1500.000000 122.348 -143.8596
1525.000000 122.494 -143.9849
1550.000000 122.610 -143.9567
1575.000000 122.730 -144.0740
1600.000000 122.861 -143.9852
1625.000000 123.008 -144.2159
1650.000000 123.147 -144.2794
1675.000000 123.264 -144.5196
1700.000000 123.386 -144.5725
1725.000000 123.512 -144.6519
1750.000000 123.635 -144.8683
1775.000000 123.770 -145.1145
1800.000000 123.887 -145.2615
1825.000000 124.021 -145.4665
1850.000000 124.144 -145.7853
1875.000000 124.251 -145.9005
1900.000000 124.397 -146.3974
1925.000000 124.512 -146.6502
1950.000000 124.645 -147.0471
1975.000000 124.782 -147.4021
2000.000000 124.924 -147.6491
2030.000000 125.049 -148.3502
2060.000000 125.186 -148.9373
2090.000000 125.336 -149.5230
2120.000000 125.473 -150.1635
2140.000000 125.570 -150.6372
2180.000000 125.743 -151.6914
2200.000000 125.841 -152.1637
2240.000000 125.992 -153.2624
2270.000000 126.125 -154.1571
2300.000000 126.232 -155.0791
2330.000000 126.342 -155.9294
2360.000000 126.452 -157.0132
2400.000000 126.573 -158.2991
2430.000000 126.657 -159.3767
2470.000000 126.770 -160.7867
2500.000000 126.834 -161.8653
2540.000000 126.916 -163.3792
2580.000000 126.961 -164.9503
2620.000000 127.023 -166.4326
2650.000000 127.050 -167.5651
2690.000000 127.078 -169.0275
2720.000000 127.095 -170.2195
2760.000000 127.098 -171.6730
2800.000000 127.091 -173.1042
2850.000000 127.061 -174.8589
2900.000000 127.028 -176.5780
2950.000000 126.978 -178.2262
3000.000000 126.894 -179.8648
3040.000000 126.841 178.9961
3070.000000 126.801 178.0959
3110.000000 126.730 177.0075
3150.000000 126.659 175.8792
3200.000000 126.566 174.6852
3250.000000 126.466 173.4883
3300.000000 126.359 172.2330
3350.000000 126.260 171.1467
3400.000000 126.146 170.0434
3450.000000 126.022 169.0618
3500.000000 125.919 168.0985
3550.000000 125.805 167.1458
3600.000000 125.683 166.3123
3650.000000 125.571 165.5172
3700.000000 125.464 164.6964
3750.000000 125.355 163.8821
3820.000000 125.193 162.9024
3870.000000 125.062 162.1610
3950.000000 124.884 161.1190
4000.000000 124.778 160.3350
4060.000000 124.620 159.6360
4120.000000 124.446 158.8886
4180.000000 124.313 158.1459
4250.000000 124.135 157.3638
4310.000000 123.961 156.6165
4370.000000 123.809 156.0320
4440.000000 123.601 155.6068
4500.000000 123.425 155.0184
4550.000000 123.317 154.4913
4620.000000 123.109 154.0812
4680.000000 122.923 153.4319
4750.000000 122.676 153.2423
4820.000000 122.435 152.8460
4870.000000 122.278 152.6334
4940.000000 122.031 152.6089
5000.000000 121.833 152.3245
5080.000000 121.573 152.5951
5150.000000 121.332 152.7283
5220.000000 121.105 152.7908
5300.000000 120.814 153.3635
5380.000000 120.580 153.8250
5450.000000 120.331 154.3001
5520.000000 120.130 155.0001
5600.000000 119.873 155.5947
5700.000000 119.552 156.8474
5800.000000 119.284 158.0120
5900.000000 119.059 159.7440
