* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 5:30:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L kbear 07 1001
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 132.771 30.9101
20.600000 132.753 30.1456
20.900000 132.732 29.3954
21.200001 132.706 28.5765
21.400000 132.685 28.0056
21.799999 132.635 26.8521
22.000000 132.610 26.2935
22.400000 132.565 25.2467
22.700001 132.543 24.5146
23.000000 132.535 23.7990
23.299999 132.537 23.0723
23.600000 132.545 22.3252
24.000000 132.559 21.3054
24.299999 132.567 20.5433
24.700001 132.575 19.5531
25.000000 132.578 18.8303
25.400000 132.577 17.8760
25.799999 132.568 16.9134
26.200001 132.545 15.9493
26.500000 132.517 15.2490
26.900000 132.472 14.3830
27.200001 132.437 13.8022
27.600000 132.399 13.1144
28.000000 132.378 12.4764
28.500000 132.370 11.6395
29.000000 132.360 10.6867
29.500000 132.325 9.6768
30.000000 132.267 8.7548
30.400000 132.221 8.1331
30.700001 132.197 7.7162
31.100000 132.182 7.1639
31.500000 132.180 6.5702
32.000000 132.172 5.7890
32.500000 132.141 5.0743
33.000000 132.090 4.4801
33.500000 132.029 3.9047
34.000000 131.961 3.2051
34.500000 131.888 2.3823
35.000000 131.824 1.5604
35.500000 131.794 0.8127
36.000000 131.799 0.0738
36.500000 131.809 -0.7166
37.000000 131.787 -1.4705
37.500000 131.730 -2.0350
38.200001 131.653 -2.5086
38.700001 131.633 -2.8655
39.500000 131.625 -3.7903
40.000000 131.603 -4.4448
40.599998 131.555 -5.1396
41.200001 131.495 -5.8024
41.799999 131.425 -6.5780
42.500000 131.324 -7.5992
43.099998 131.237 -8.3957
43.700001 131.171 -9.0504
44.400002 131.120 -9.7120
45.000000 131.079 -10.1948
45.500000 131.045 -10.4804
46.200001 131.008 -10.7509
46.799999 130.982 -11.0243
47.500000 130.923 -11.4453
48.200001 130.843 -11.8906
48.700001 130.790 -12.2557
49.400002 130.727 -12.8668
50.000000 130.684 -13.3644
50.799999 130.646 -13.9384
51.500000 130.596 -14.4934
52.200001 130.500 -14.9572
53.000000 130.398 -15.2149
53.799999 130.357 -15.5745
54.500000 130.325 -16.1025
55.200001 130.272 -16.6380
56.000000 130.201 -17.2311
57.000000 130.127 -17.9535
58.000000 130.113 -18.6028
59.000000 130.088 -19.2459
60.000000 130.001 -19.5435
60.799999 129.936 -19.7434
61.500000 129.877 -20.0512
62.200001 129.819 -20.3106
63.000000 129.775 -20.5635
64.000000 129.715 -21.0853
65.000000 129.625 -21.5862
66.000000 129.563 -21.8524
67.000000 129.569 -22.2102
68.000000 129.494 -22.8056
69.000000 129.400 -22.5042
70.000000 129.379 -22.7091
71.000000 129.229 -22.8044
72.000000 129.216 -22.9207
73.000000 129.101 -23.8840
74.000000 129.026 -23.6129
75.000000 129.017 -24.1860
76.199997 128.896 -24.1146
77.500000 128.886 -25.1229
78.800003 128.755 -24.6261
80.000000 128.748 -25.4893
81.199997 128.556 -25.4042
82.500000 128.590 -25.8992
83.800003 128.368 -25.8744
85.000000 128.414 -25.7701
86.199997 128.288 -26.3957
87.500000 128.232 -25.6151
88.500000 128.220 -26.1483
90.000000 128.027 -26.0241
91.199997 128.071 -25.7976
92.500000 127.966 -26.6242
93.800003 127.850 -26.1562
95.000000 127.868 -26.4943
96.199997 127.730 -27.1635
97.500000 127.643 -26.8419
98.800003 127.675 -26.9404
100.000000 127.593 -27.5055
101.500000 127.462 -26.9350
103.000000 127.502 -26.8391
104.400002 127.390 -27.3636
106.000000 127.248 -26.7718
107.500000 127.204 -26.5483
109.000000 127.134 -26.9972
110.599998 126.995 -26.8668
112.000000 126.950 -26.3896
113.800003 126.949 -26.5194
115.000000 126.880 -26.6349
117.199997 126.722 -26.3686
118.000000 126.712 -26.1490
120.599998 126.691 -26.2580
122.000000 126.640 -26.6193
124.099998 126.500 -26.5755
125.000000 126.452 -26.4286
126.500000 126.413 -26.0317
128.000000 126.405 -25.8777
131.500000 126.379 -25.9139
132.000000 126.366 -25.9130
134.000000 126.289 -25.8576
136.000000 126.206 -25.5589
138.000000 126.131 -25.1222
140.000000 126.084 -24.7910
143.000000 125.999 -24.6284
145.000000 125.954 -24.5376
147.500000 125.901 -24.4789
150.000000 125.849 -24.3469
152.500000 125.792 -24.0073
155.000000 125.723 -23.6958
157.500000 125.649 -23.5408
160.000000 125.577 -23.3738
162.500000 125.524 -23.4062
165.000000 125.532 -23.1105
167.500000 125.502 -22.6921
170.000000 125.449 -22.2421
172.500000 125.380 -22.1022
175.000000 125.310 -22.3630
177.500000 125.341 -22.3358
180.000000 125.329 -21.7262
182.500000 125.220 -21.4624
185.000000 125.216 -21.7438
187.500000 125.258 -21.1492
190.000000 125.139 -20.7747
192.500000 125.162 -20.9031
195.000000 125.149 -20.2116
197.500000 125.043 -20.3452
200.000000 125.098 -20.0353
203.000000 124.973 -19.9759
206.000000 125.003 -19.4489
209.000000 124.931 -19.7386
212.000000 124.848 -18.8231
214.000000 124.850 -19.1909
218.000000 124.792 -18.7592
220.000000 124.831 -18.1344
224.000000 124.811 -17.9651
227.000000 124.785 -18.1185
230.000000 124.731 -17.9248
233.000000 124.715 -17.6731
236.000000 124.746 -17.5561
240.000000 124.692 -17.2369
243.000000 124.667 -17.0964
247.000000 124.617 -16.6756
250.000000 124.568 -16.3574
254.000000 124.507 -15.9643
258.000000 124.458 -15.6800
262.000000 124.405 -15.5014
265.000000 124.371 -15.3323
269.000000 124.355 -15.0833
272.000000 124.351 -14.9043
276.000000 124.334 -14.8131
280.000000 124.317 -14.4216
285.000000 124.286 -14.1182
290.000000 124.259 -13.9019
295.000000 124.216 -13.4359
300.000000 124.174 -13.0682
304.000000 124.163 -12.8582
307.000000 124.124 -12.6542
311.000000 124.107 -12.4059
315.000000 124.091 -12.2693
320.000000 124.063 -11.7569
325.000000 124.023 -11.4538
330.000000 124.014 -11.2500
335.000000 124.002 -10.8577
340.000000 123.976 -10.5933
345.000000 123.976 -10.3408
350.000000 123.979 -10.2080
355.000000 123.952 -9.8629
360.000000 123.939 -9.7126
365.000000 123.910 -9.4405
370.000000 123.868 -9.0979
375.000000 123.841 -8.7201
382.000000 123.777 -8.3107
387.000000 123.732 -7.9917
395.000000 123.716 -7.6716
400.000000 123.706 -7.4834
406.000000 123.696 -7.1654
412.000000 123.662 -6.9249
418.000000 123.668 -6.6245
425.000000 123.618 -6.1201
431.000000 123.601 -5.7893
437.000000 123.558 -5.4376
444.000000 123.528 -5.1972
450.000000 123.506 -4.8501
455.000000 123.489 -4.5407
462.000000 123.460 -4.1023
468.000000 123.447 -3.8199
475.000000 123.439 -3.4313
482.000000 123.429 -3.1077
487.000000 123.419 -2.8280
494.000000 123.416 -2.5161
500.000000 123.395 -2.0731
508.000000 123.385 -1.6480
515.000000 123.365 -1.1620
522.000000 123.352 -0.8302
530.000000 123.316 -0.4049
538.000000 123.316 0.0068
545.000000 123.297 0.3783
552.000000 123.264 0.6902
560.000000 123.263 1.2675
570.000000 123.223 1.8056
580.000000 123.204 2.3701
590.000000 123.177 2.9614
600.000000 123.124 3.5722
608.000000 123.097 4.1622
615.000000 123.085 4.7027
622.000000 123.042 5.0609
630.000000 123.042 5.6182
640.000000 123.005 6.2954
650.000000 123.016 6.9542
660.000000 123.019 7.5998
670.000000 123.030 8.1951
680.000000 123.044 8.8750
690.000000 123.070 9.4358
700.000000 123.084 9.9843
710.000000 123.100 10.5695
720.000000 123.107 11.1973
730.000000 123.109 11.8470
740.000000 123.122 12.4410
750.000000 123.151 13.0757
762.000000 123.176 13.7924
775.000000 123.208 14.4943
788.000000 123.250 15.2611
800.000000 123.275 16.0131
812.000000 123.299 16.8661
825.000000 123.337 17.5827
838.000000 123.381 18.3100
850.000000 123.405 19.0402
862.000000 123.460 19.8305
875.000000 123.518 20.6160
885.000000 123.580 21.1086
900.000000 123.677 21.8959
912.000000 123.741 22.5354
925.000000 123.839 23.1605
938.000000 123.927 23.7620
950.000000 123.983 24.4364
962.000000 124.060 25.1174
975.000000 124.136 25.5888
988.000000 124.210 26.0566
1000.000000 124.270 26.4915
1015.000000 124.385 27.1613
1030.000000 124.476 27.6840
1044.000000 124.562 28.0676
1060.000000 124.662 28.7403
1075.000000 124.775 29.1083
1090.000000 124.878 29.4388
1106.000000 125.001 29.7649
1120.000000 125.109 29.9813
1138.000000 125.231 30.2193
1150.000000 125.321 30.4724
1172.000000 125.454 30.7872
1180.000000 125.513 30.8325
1206.000000 125.666 31.1351
1220.000000 125.749 31.2397
1241.000000 125.860 31.3097
1250.000000 125.908 31.3497
1265.000000 125.985 31.4907
1280.000000 126.057 31.6092
1315.000000 126.218 31.6163
1320.000000 126.256 31.7036
1340.000000 126.352 31.7414
1360.000000 126.446 31.8083
1380.000000 126.517 31.8621
1400.000000 126.624 31.8991
1430.000000 126.762 31.8474
1450.000000 126.858 31.8872
1475.000000 126.945 31.9257
1500.000000 127.052 31.9584
1525.000000 127.152 31.9628
1550.000000 127.243 31.9917
1575.000000 127.345 31.9540
1600.000000 127.449 31.9754
1625.000000 127.565 31.8173
1650.000000 127.650 31.8534
1675.000000 127.744 31.8293
1700.000000 127.823 31.7234
1725.000000 127.897 31.5915
1750.000000 127.980 31.5920
1775.000000 128.072 31.4059
1800.000000 128.166 31.3139
1825.000000 128.274 31.1151
1850.000000 128.369 30.9782
1875.000000 128.451 30.8172
1900.000000 128.548 30.5597
1925.000000 128.635 30.4138
1950.000000 128.711 30.1339
1975.000000 128.776 29.9666
2000.000000 128.846 29.7326
2030.000000 128.943 29.2994
2060.000000 129.027 28.8964
2090.000000 129.112 28.3730
2120.000000 129.176 27.9946
2140.000000 129.219 27.6983
2180.000000 129.323 27.0292
2200.000000 129.367 26.6727
2240.000000 129.457 26.0721
2270.000000 129.530 25.5554
2300.000000 129.596 25.0433
2330.000000 129.628 24.4810
2360.000000 129.653 24.0754
2400.000000 129.679 23.4359
2430.000000 129.737 22.8936
2470.000000 129.802 22.1136
2500.000000 129.822 21.6645
2540.000000 129.848 21.0688
2580.000000 129.873 20.2482
2620.000000 129.918 19.4358
2650.000000 129.944 18.8266
2690.000000 129.972 17.9212
2720.000000 129.991 17.1460
2760.000000 130.009 16.1207
2800.000000 129.986 15.0605
2850.000000 129.906 14.0684
2900.000000 129.792 13.4081
2950.000000 129.694 13.1006
3000.000000 129.636 13.1168
3040.000000 129.567 13.1062
3070.000000 129.556 13.1438
3110.000000 129.548 13.0627
3150.000000 129.561 12.9843
3200.000000 129.587 12.8940
3250.000000 129.608 12.7588
3300.000000 129.605 12.7513
3350.000000 129.631 12.7220
3400.000000 129.697 12.5864
3450.000000 129.754 12.4575
3500.000000 129.819 12.2162
3550.000000 129.897 11.8300
3600.000000 129.990 11.3372
3650.000000 130.075 10.8140
3700.000000 130.156 10.1204
3750.000000 130.226 9.3664
3820.000000 130.305 8.1176
3870.000000 130.331 7.2725
3950.000000 130.335 5.7257
4000.000000 130.314 4.8090
4060.000000 130.246 4.1949
4120.000000 130.299 4.7172
4180.000000 130.551 3.0214
4250.000000 130.537 0.4148
4310.000000 130.485 -1.1345
4370.000000 130.415 -2.6834
4440.000000 130.323 -4.4449
4500.000000 130.223 -5.9099
4550.000000 130.116 -7.0506
4620.000000 129.952 -8.7773
4680.000000 129.761 -10.1002
4750.000000 129.512 -11.5130
4820.000000 129.224 -12.6242
4870.000000 129.022 -13.3348
4940.000000 128.703 -13.8591
5000.000000 128.451 -14.0542
5080.000000 128.072 -14.0642
5150.000000 127.746 -13.7654
5220.000000 127.474 -13.1933
5300.000000 127.183 -12.3046
5380.000000 126.914 -11.1727
5450.000000 126.684 -10.0093
5520.000000 126.502 -8.5740
5600.000000 126.356 -7.1954
5700.000000 126.208 -5.0822
5800.000000 126.113 -3.0669
5900.000000 126.081 -1.1376
