* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\KBear Pecker Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 7:40:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\KBear Pecker Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: KBear Pecker Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	67.988	-63.3422
1.015000	67.812	-64.2302
1.030000	67.629	-65.1078
1.044000	67.451	-65.9168
1.060000	67.239	-66.8286
1.075000	67.032	-67.6702
1.090000	66.815	-68.4981
1.106000	66.575	-69.3892
1.120000	66.357	-70.3040
1.138000	66.067	-71.6735
1.150000	65.868	-72.6887
1.172000	65.491	-74.7157
1.180000	65.350	-75.4941
1.206000	64.879	-78.1169
1.220000	64.618	-79.5563
1.241000	64.215	-81.6976
1.250000	64.039	-82.5946
1.265000	63.741	-84.0430
1.280000	63.437	-85.4120
1.315000	62.708	-88.1628
1.320000	62.602	-88.4920
1.340000	62.171	-89.6138
1.360000	61.733	-90.3807
1.380000	61.287	-90.7356
1.400000	60.834	-90.6216
1.430000	60.142	-89.4466
1.450000	59.674	-87.9106
1.475000	59.072	-85.0078
1.500000	58.376	-80.6951
1.525000	57.589	-75.0864
1.550000	56.732	-68.3915
1.575000	55.829	-60.8199
1.600000	54.903	-52.5816
1.625000	53.976	-43.8862
1.650000	53.072	-34.9434
1.675000	52.214	-25.9630
1.700000	51.424	-17.1547
1.725000	50.725	-8.7282
1.750000	50.140	-0.8934
1.775000	49.693	6.1402
1.800000	49.406	12.1628
1.825000	49.301	16.9646
1.850000	49.406	20.5541
1.875000	49.727	23.3842
1.900000	50.235	25.5429
1.925000	50.902	27.0988
1.950000	51.701	28.1204
1.975000	52.603	28.6762
2.000000	53.579	28.8348
2.030000	54.811	28.5972
2.060000	56.060	28.0046
2.090000	57.280	27.1755
2.120000	58.420	26.2283
2.140000	59.112	25.5897
2.180000	60.269	24.4532
2.200000	60.705	24.0227
2.240000	61.407	22.9271
2.270000	61.839	21.7641
2.300000	62.200	20.3553
2.330000	62.501	18.7428
2.360000	62.749	16.9687
2.400000	63.017	14.4246
2.430000	63.182	12.4371
2.470000	63.373	9.7614
2.500000	63.507	7.7897
2.540000	63.689	5.2879
2.580000	63.891	2.9918
2.620000	64.065	0.7052
2.650000	64.172	-1.0322
2.690000	64.286	-3.3672
2.720000	64.353	-5.1243
2.760000	64.420	-7.4634
2.800000	64.465	-9.7849
2.850000	64.498	-12.6400
2.900000	64.513	-15.4167
2.950000	64.516	-18.0990
3.000000	64.488	-20.7676
3.040000	64.444	-22.8895
3.070000	64.400	-24.4623
3.110000	64.328	-26.5209
3.150000	64.244	-28.5200
3.200000	64.124	-30.9095
3.250000	63.994	-33.1466
3.300000	63.858	-35.1986
3.350000	63.701	-37.1194
3.400000	63.517	-38.9430
3.450000	63.317	-40.6416
3.500000	63.109	-42.1871
3.550000	62.904	-43.5516
3.600000	62.710	-44.7072
3.650000	62.538	-45.6258
3.700000	62.383	-46.2648
3.750000	62.221	-46.6054
3.820000	62.001	-46.6872
3.870000	61.863	-46.5419
3.950000	61.707	-46.1169
4.000000	61.665	-45.8210
4.060000	61.688	-45.4651
4.120000	61.783	-44.8654
4.180000	61.937	-44.1058
4.250000	62.173	-43.2024
4.310000	62.410	-42.5721
4.370000	62.667	-42.2210
4.440000	62.992	-42.2712
4.500000	63.320	-42.5740
4.550000	63.618	-42.9797
