* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 3:30:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L KE FLEX 1594
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.786 33.0416
20.600000 93.783 32.0750
20.900000 93.764 31.2602
21.200001 93.746 30.5709
21.400000 93.744 30.1654
21.799999 93.765 29.3801
22.000000 93.785 28.9401
22.400000 93.827 27.8571
22.700001 93.839 26.8674
23.000000 93.821 25.8038
23.299999 93.774 24.7825
23.600000 93.712 23.8870
24.000000 93.638 22.9450
24.299999 93.609 22.3838
24.700001 93.617 21.7037
25.000000 93.650 21.1678
25.400000 93.710 20.3841
25.799999 93.767 19.5405
26.200001 93.808 18.6429
26.500000 93.821 17.9204
26.900000 93.808 16.8947
27.200001 93.770 16.1291
27.600000 93.687 15.2361
28.000000 93.593 14.6271
28.500000 93.512 14.2624
29.000000 93.500 13.9876
29.500000 93.519 13.4307
30.000000 93.508 12.5525
30.400000 93.467 11.7678
30.700001 93.427 11.1950
31.100000 93.384 10.4615
31.500000 93.364 9.7288
32.000000 93.367 8.7867
32.500000 93.376 7.8815
33.000000 93.365 7.1193
33.500000 93.323 6.5290
34.000000 93.258 6.0399
34.500000 93.196 5.5018
35.000000 93.162 4.7428
35.500000 93.157 3.6699
36.000000 93.158 2.3987
36.500000 93.141 1.1975
37.000000 93.098 0.2996
37.500000 93.042 -0.2786
38.200001 92.960 -0.8616
38.700001 92.906 -1.3185
39.500000 92.844 -2.1689
40.000000 92.833 -2.6967
40.599998 92.847 -3.3011
41.200001 92.871 -3.9356
41.799999 92.872 -4.6142
42.500000 92.826 -5.3559
43.099998 92.761 -5.9513
43.700001 92.673 -6.6252
44.400002 92.543 -7.4100
45.000000 92.456 -7.8948
45.500000 92.439 -8.2698
46.200001 92.463 -8.9830
46.799999 92.461 -9.5567
47.500000 92.447 -9.8997
48.200001 92.446 -10.4373
48.700001 92.416 -11.1157
49.400002 92.321 -11.9136
50.000000 92.269 -12.1901
50.799999 92.254 -12.7246
51.500000 92.165 -13.4250
52.200001 92.061 -13.7685
53.000000 92.091 -14.3864
53.799999 92.128 -15.7096
54.500000 92.052 -16.2417
55.200001 91.981 -15.8899
56.000000 91.957 -15.8722
57.000000 91.851 -17.2167
58.000000 91.714 -18.3245
59.000000 91.680 -18.7177
60.000000 91.634 -19.2978
60.799999 91.533 -19.8532
61.500000 91.467 -20.0926
62.200001 91.468 -20.2514
63.000000 91.459 -20.6950
64.000000 91.279 -21.2658
65.000000 91.071 -21.5926
66.000000 90.995 -22.3400
67.000000 90.987 -23.0455
68.000000 90.998 -23.3807
69.000000 90.994 -23.6982
70.000000 90.951 -24.0000
71.000000 90.868 -24.1527
72.000000 90.774 -24.4837
73.000000 90.696 -25.0910
74.000000 90.640 -25.8004
75.000000 90.559 -26.3532
76.199997 90.502 -26.6581
77.500000 90.469 -27.0484
78.800003 90.345 -27.2863
80.000000 90.253 -27.9315
81.199997 90.202 -28.2151
82.500000 90.193 -28.2508
83.800003 90.109 -28.6113
85.000000 90.063 -28.6098
86.199997 89.986 -28.7095
87.500000 89.839 -29.3037
88.500000 89.755 -29.9417
90.000000 89.686 -30.4569
91.199997 89.573 -30.8026
92.500000 89.486 -30.9365
93.800003 89.411 -31.2857
95.000000 89.372 -31.1677
96.199997 89.311 -31.2220
97.500000 89.212 -30.9137
98.800003 89.125 -31.0193
100.000000 89.053 -31.0418
101.500000 88.939 -31.1941
103.000000 88.902 -31.6066
104.400002 88.806 -32.1591
106.000000 88.698 -32.1267
107.500000 88.607 -32.4128
109.000000 88.544 -32.9480
110.599998 88.473 -33.2479
112.000000 88.435 -33.1383
113.800003 88.362 -32.7814
115.000000 88.305 -32.8532
117.199997 88.208 -32.6225
118.000000 88.149 -32.5599
120.599998 88.023 -32.6556
122.000000 87.922 -32.8939
124.099998 87.846 -32.7775
125.000000 87.832 -32.8172
126.500000 87.766 -33.1289
128.000000 87.733 -33.2314
131.500000 87.591 -33.2834
132.000000 87.566 -33.2841
134.000000 87.491 -33.2229
136.000000 87.399 -33.0728
138.000000 87.293 -32.9068
140.000000 87.189 -32.3992
143.000000 87.046 -32.3350
145.000000 87.004 -31.9315
147.500000 86.867 -32.1628
150.000000 86.739 -32.0162
152.500000 86.682 -31.8543
155.000000 86.573 -32.0127
157.500000 86.480 -31.8105
160.000000 86.429 -31.5502
162.500000 86.389 -31.1277
165.000000 86.308 -30.7393
167.500000 86.210 -30.5378
170.000000 86.150 -30.3998
172.500000 86.076 -30.4512
175.000000 86.024 -30.2171
177.500000 85.963 -30.0912
180.000000 85.892 -29.6957
182.500000 85.815 -29.4946
185.000000 85.764 -29.0963
187.500000 85.689 -28.5435
190.000000 85.602 -28.3997
192.500000 85.574 -28.0852
195.000000 85.498 -27.6907
197.500000 85.445 -27.5555
200.000000 85.416 -27.4636
203.000000 85.391 -27.3635
206.000000 85.360 -27.0353
209.000000 85.305 -26.6507
212.000000 85.251 -26.4251
214.000000 85.246 -26.1300
218.000000 85.214 -25.4448
220.000000 85.166 -25.4033
224.000000 85.117 -25.1824
227.000000 85.077 -24.8559
230.000000 85.003 -24.5046
233.000000 84.961 -24.3464
236.000000 84.934 -23.8512
240.000000 84.857 -23.5055
243.000000 84.796 -23.0473
247.000000 84.730 -22.5702
250.000000 84.667 -22.2972
254.000000 84.611 -21.9651
258.000000 84.574 -21.5929
262.000000 84.534 -21.2138
265.000000 84.513 -20.9200
269.000000 84.458 -20.5535
272.000000 84.423 -20.2984
276.000000 84.387 -20.0140
280.000000 84.334 -19.4607
285.000000 84.297 -19.0056
290.000000 84.245 -18.4928
295.000000 84.202 -17.9642
300.000000 84.164 -17.7016
304.000000 84.127 -17.2389
307.000000 84.117 -16.8341
311.000000 84.088 -16.6260
315.000000 84.075 -16.3855
320.000000 84.019 -15.9495
325.000000 83.979 -15.3694
330.000000 83.955 -15.0978
335.000000 83.904 -14.5413
340.000000 83.873 -14.1395
345.000000 83.804 -13.7143
350.000000 83.791 -13.2527
355.000000 83.777 -12.7952
360.000000 83.737 -12.4216
365.000000 83.733 -12.0923
370.000000 83.707 -11.6660
375.000000 83.697 -11.3008
382.000000 83.717 -10.7623
387.000000 83.691 -10.4219
395.000000 83.664 -9.8746
400.000000 83.649 -9.5297
406.000000 83.626 -8.9329
412.000000 83.608 -8.5155
418.000000 83.585 -8.1041
425.000000 83.546 -7.7280
431.000000 83.515 -7.2470
437.000000 83.498 -6.7944
444.000000 83.465 -6.1653
450.000000 83.414 -5.7493
455.000000 83.403 -5.3916
462.000000 83.391 -4.8832
468.000000 83.416 -4.5567
475.000000 83.415 -4.0908
482.000000 83.437 -3.6861
487.000000 83.438 -3.4616
494.000000 83.434 -3.0160
500.000000 83.446 -2.6797
508.000000 83.426 -2.0069
515.000000 83.389 -1.4598
522.000000 83.399 -1.1032
530.000000 83.378 -0.6017
538.000000 83.359 -0.1099
545.000000 83.361 0.1953
552.000000 83.328 0.6810
560.000000 83.299 1.2390
570.000000 83.276 1.9892
580.000000 83.224 2.6814
590.000000 83.196 3.3634
600.000000 83.188 4.0160
608.000000 83.195 4.4514
615.000000 83.208 5.0326
622.000000 83.219 5.5297
630.000000 83.223 6.0638
640.000000 83.247 6.7969
650.000000 83.245 7.4914
660.000000 83.265 8.0922
670.000000 83.291 8.7074
680.000000 83.286 9.2729
690.000000 83.334 9.9043
700.000000 83.345 10.6247
710.000000 83.358 11.1997
720.000000 83.382 11.7421
730.000000 83.386 12.3103
740.000000 83.405 13.0700
750.000000 83.400 13.7512
762.000000 83.444 14.4136
775.000000 83.485 15.1339
788.000000 83.525 15.9226
800.000000 83.573 16.7378
812.000000 83.607 17.4491
825.000000 83.642 18.1640
838.000000 83.710 18.9950
850.000000 83.780 19.7389
862.000000 83.827 20.3530
875.000000 83.916 21.0706
885.000000 83.988 21.5747
900.000000 84.068 22.3453
912.000000 84.120 22.9301
925.000000 84.192 23.7333
938.000000 84.249 24.3186
950.000000 84.314 24.9517
962.000000 84.399 25.4294
975.000000 84.490 25.9634
988.000000 84.580 26.4826
1000.000000 84.660 27.2175
1015.000000 84.776 27.3810
1030.000000 84.878 27.9542
1044.000000 84.989 28.4155
1060.000000 85.111 28.8589
1075.000000 85.234 29.1989
1090.000000 85.360 29.5334
1106.000000 85.485 29.8495
1120.000000 85.594 30.0576
1138.000000 85.742 30.3735
1150.000000 85.822 30.4111
1172.000000 85.939 30.7159
1180.000000 85.977 30.8254
1206.000000 86.101 31.0924
1220.000000 86.168 31.1115
1241.000000 86.268 31.3356
1250.000000 86.313 31.3820
1265.000000 86.405 31.4436
1280.000000 86.501 31.4303
1315.000000 86.696 31.5500
1320.000000 86.714 31.5405
1340.000000 86.819 31.5328
1360.000000 86.910 31.6264
1380.000000 86.987 31.6597
1400.000000 87.067 31.7067
1430.000000 87.178 31.7810
1450.000000 87.250 31.8349
1475.000000 87.345 31.9050
1500.000000 87.452 31.9884
1525.000000 87.563 32.2252
1550.000000 87.669 32.3349
1575.000000 87.811 32.4079
1600.000000 87.914 32.4889
1625.000000 88.039 32.4064
1650.000000 88.139 32.0895
1675.000000 88.247 31.9451
1700.000000 88.317 31.8184
1725.000000 88.411 31.6349
1750.000000 88.510 31.4352
1775.000000 88.622 31.2069
1800.000000 88.719 30.9936
1825.000000 88.807 30.8028
1850.000000 88.875 30.6800
1875.000000 88.969 30.4069
1900.000000 89.038 30.0622
1925.000000 89.109 29.8781
1950.000000 89.189 29.6838
1975.000000 89.258 29.2822
2000.000000 89.297 28.9527
2030.000000 89.392 28.6920
2060.000000 89.477 28.2349
2090.000000 89.557 27.7988
2120.000000 89.611 27.3536
2140.000000 89.634 27.0493
2180.000000 89.673 26.4092
2200.000000 89.691 26.1114
2240.000000 89.728 25.5652
2270.000000 89.783 25.0240
2300.000000 89.850 24.4776
2330.000000 89.921 23.9911
2360.000000 89.985 23.5348
2400.000000 90.065 22.8733
2430.000000 90.105 22.5320
2470.000000 90.157 21.8260
2500.000000 90.170 21.4654
2540.000000 90.178 20.9149
2580.000000 90.225 20.1930
2620.000000 90.252 19.3068
2650.000000 90.235 18.8247
2690.000000 90.216 18.2272
2720.000000 90.204 17.5203
2760.000000 90.163 16.8540
2800.000000 90.114 16.3862
2850.000000 90.040 16.0714
2900.000000 89.988 16.2404
2950.000000 90.028 16.5229
3000.000000 90.101 16.6033
3040.000000 90.149 16.2976
3070.000000 90.176 16.1662
3110.000000 90.225 15.8239
3150.000000 90.286 15.5490
3200.000000 90.385 15.3677
3250.000000 90.486 15.0400
3300.000000 90.572 14.8986
3350.000000 90.653 14.5574
3400.000000 90.730 14.2534
3450.000000 90.821 13.8070
3500.000000 90.888 13.3059
3550.000000 90.948 12.8524
3600.000000 91.040 12.1686
3650.000000 91.142 11.2202
3700.000000 91.232 10.2665
3750.000000 91.310 8.8338
3820.000000 91.298 6.9470
3870.000000 91.277 5.3209
3950.000000 91.210 2.9176
4000.000000 91.118 1.4300
4060.000000 91.005 0.4111
4120.000000 90.952 0.9215
4180.000000 91.166 -0.8774
4250.000000 91.131 -3.1554
4310.000000 91.090 -4.5238
4370.000000 91.028 -5.7334
4440.000000 90.902 -7.3828
4500.000000 90.789 -8.8426
4550.000000 90.662 -10.0919
4620.000000 90.398 -11.5118
4680.000000 90.156 -12.5786
4750.000000 89.875 -13.9289
4820.000000 89.595 -14.7689
4870.000000 89.389 -15.3529
4940.000000 89.110 -15.8083
5000.000000 88.849 -15.9159
5080.000000 88.552 -15.7893
5150.000000 88.219 -15.4064
5220.000000 87.909 -14.5634
5300.000000 87.633 -13.7497
5380.000000 87.370 -12.5769
5450.000000 87.154 -11.4945
5520.000000 86.974 -10.1405
5600.000000 86.780 -8.6405
5700.000000 86.645 -6.6470
5800.000000 86.510 -4.7433
5900.000000 86.430 -2.8568
