* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 31, 2024 11:32:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L KLEAN 346
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 123.512 -148.5227
20.600000 123.535 -149.3225
20.900000 123.554 -150.0433
21.200001 123.573 -150.7724
21.400000 123.585 -151.2684
21.799999 123.608 -152.2782
22.000000 123.618 -152.7848
22.400000 123.635 -153.7798
22.700001 123.645 -154.4964
23.000000 123.656 -155.1836
23.299999 123.666 -155.8483
23.600000 123.677 -156.4982
24.000000 123.690 -157.3501
24.299999 123.698 -157.9773
24.700001 123.705 -158.7910
25.000000 123.708 -159.3810
25.400000 123.713 -160.1449
25.799999 123.717 -160.8959
26.200001 123.720 -161.6430
26.500000 123.720 -162.1985
26.900000 123.717 -162.9243
27.200001 123.714 -163.4539
27.600000 123.711 -164.1446
28.000000 123.709 -164.8317
28.500000 123.706 -165.6990
29.000000 123.698 -166.5572
29.500000 123.686 -167.3691
30.000000 123.675 -168.1216
30.400000 123.670 -168.6982
30.700001 123.666 -169.1283
31.100000 123.662 -169.7078
31.500000 123.655 -170.2934
32.000000 123.641 -171.0212
32.500000 123.623 -171.7255
33.000000 123.602 -172.3914
33.500000 123.582 -173.0191
34.000000 123.566 -173.6311
34.500000 123.552 -174.2553
35.000000 123.534 -174.8913
35.500000 123.511 -175.5075
36.000000 123.488 -176.0849
36.500000 123.469 -176.6483
37.000000 123.453 -177.2338
37.500000 123.431 -177.8285
38.200001 123.392 -178.5786
38.700001 123.369 -179.0483
39.500000 123.340 -179.8489
40.000000 123.314 179.6075
40.599998 123.274 179.0073
41.200001 123.240 178.4841
41.799999 123.217 177.9349
42.500000 123.184 177.2248
43.099998 123.142 176.6835
43.700001 123.105 176.2450
44.400002 123.076 175.7247
45.000000 123.049 175.2017
45.500000 123.018 174.7645
46.200001 122.971 174.2220
46.799999 122.937 173.7917
47.500000 122.902 173.2566
48.200001 122.861 172.7044
48.700001 122.828 172.3391
49.400002 122.780 171.8882
50.000000 122.742 171.5267
50.799999 122.693 171.0225
51.500000 122.649 170.5612
52.200001 122.609 170.0976
53.000000 122.567 169.5627
53.799999 122.520 169.0687
54.500000 122.476 168.7017
55.200001 122.437 168.3227
56.000000 122.389 167.8122
57.000000 122.316 167.2531
58.000000 122.261 166.8451
59.000000 122.213 166.3002
60.000000 122.144 165.7121
60.799999 122.087 165.3578
61.500000 122.044 165.1040
62.200001 122.003 164.8495
63.000000 121.955 164.5259
64.000000 121.893 164.1025
65.000000 121.838 163.6887
66.000000 121.781 163.2463
67.000000 121.714 162.8520
68.000000 121.652 162.5354
69.000000 121.594 162.1989
70.000000 121.534 161.8235
71.000000 121.473 161.4692
72.000000 121.414 161.1676
73.000000 121.360 160.8868
74.000000 121.308 160.5866
75.000000 121.253 160.3198
76.199997 121.184 159.9170
77.500000 121.091 159.5080
78.800003 121.036 159.3036
80.000000 120.959 158.9675
81.199997 120.881 158.7039
82.500000 120.827 158.3967
83.800003 120.758 158.2197
85.000000 120.690 157.9231
86.199997 120.620 157.6422
87.500000 120.545 157.3950
88.500000 120.489 157.2689
90.000000 120.417 156.9297
91.199997 120.337 156.8105
92.500000 120.285 156.5789
93.800003 120.210 156.4173
95.000000 120.154 156.3282
96.199997 120.086 156.1528
97.500000 120.025 155.8978
98.800003 119.962 155.7049
100.000000 119.903 155.5449
101.500000 119.828 155.4114
103.000000 119.760 155.2837
104.400002 119.686 155.1515
106.000000 119.618 154.9693
107.500000 119.551 154.8289
109.000000 119.478 154.8273
110.599998 119.391 154.5266
112.000000 119.339 154.4695
113.800003 119.261 154.4825
115.000000 119.205 154.4566
117.199997 119.116 154.2417
118.000000 119.079 154.2013
120.599998 118.982 154.1399
122.000000 118.904 154.0771
124.099998 118.831 154.0693
125.000000 118.790 154.0496
126.500000 118.722 153.8293
128.000000 118.680 153.9246
131.500000 118.530 153.7886
132.000000 118.509 153.8706
134.000000 118.436 153.8606
136.000000 118.380 153.8331
138.000000 118.299 153.8869
140.000000 118.217 153.8046
143.000000 118.106 153.8571
145.000000 118.039 153.8921
147.500000 117.965 153.8920
150.000000 117.875 154.0016
152.500000 117.791 154.0067
155.000000 117.741 153.9602
157.500000 117.630 154.1907
160.000000 117.572 154.1901
162.500000 117.506 154.3189
165.000000 117.421 154.4831
167.500000 117.351 154.5463
170.000000 117.268 154.6545
172.500000 117.196 154.6173
175.000000 117.139 154.9405
177.500000 117.066 154.9524
180.000000 117.004 155.0630
182.500000 116.930 155.2497
185.000000 116.882 155.3237
187.500000 116.807 155.5176
190.000000 116.752 155.5913
192.500000 116.695 155.7913
195.000000 116.628 156.0110
197.500000 116.576 156.0571
200.000000 116.513 156.1313
203.000000 116.446 156.4504
206.000000 116.384 156.5311
209.000000 116.320 156.5774
212.000000 116.257 156.9734
214.000000 116.218 157.0864
218.000000 116.139 157.2803
220.000000 116.089 157.5280
224.000000 116.010 157.7860
227.000000 115.991 157.9691
230.000000 115.934 158.2467
233.000000 115.881 158.3427
236.000000 115.810 158.6231
240.000000 115.745 159.0027
243.000000 115.693 159.1712
247.000000 115.640 159.4171
250.000000 115.570 159.6825
254.000000 115.526 159.9555
258.000000 115.482 160.2563
262.000000 115.398 160.5571
265.000000 115.378 160.6563
269.000000 115.303 161.1223
272.000000 115.259 161.2777
276.000000 115.213 161.6149
280.000000 115.189 162.0426
285.000000 115.117 162.2894
290.000000 115.071 162.5197
295.000000 114.987 163.0420
300.000000 114.916 163.4206
304.000000 114.913 163.7324
307.000000 114.844 163.9313
311.000000 114.818 164.3031
315.000000 114.795 164.5536
320.000000 114.733 164.8445
325.000000 114.695 165.2546
330.000000 114.629 165.7742
335.000000 114.576 166.1516
340.000000 114.547 166.3975
345.000000 114.518 166.6254
350.000000 114.480 167.1422
355.000000 114.435 167.5399
360.000000 114.410 167.9297
365.000000 114.354 168.0583
370.000000 114.323 168.7232
375.000000 114.303 169.0682
382.000000 114.229 169.5284
387.000000 114.229 169.7988
395.000000 114.155 170.3696
400.000000 114.141 170.7826
406.000000 114.108 171.2860
412.000000 114.061 171.7176
418.000000 114.033 172.0612
425.000000 114.019 172.5132
431.000000 113.966 172.7918
437.000000 113.972 173.6008
444.000000 113.915 173.6923
450.000000 113.904 174.3596
455.000000 113.889 174.7331
462.000000 113.839 175.0533
468.000000 113.810 175.5098
475.000000 113.777 175.9368
482.000000 113.789 176.3620
487.000000 113.743 176.6553
494.000000 113.725 177.2599
500.000000 113.735 177.5565
508.000000 113.686 178.3057
515.000000 113.665 178.7574
522.000000 113.648 179.2450
530.000000 113.620 179.7605
538.000000 113.582 -179.8734
545.000000 113.616 -179.3669
552.000000 113.589 -178.8541
560.000000 113.584 -178.3621
570.000000 113.573 -177.7094
580.000000 113.538 -176.9442
590.000000 113.501 -176.2422
600.000000 113.534 -175.7579
608.000000 113.523 -175.0484
615.000000 113.531 -174.8000
622.000000 113.528 -174.1212
630.000000 113.513 -173.5391
640.000000 113.492 -172.9241
650.000000 113.504 -172.6283
660.000000 113.510 -171.7686
670.000000 113.505 -171.2176
680.000000 113.499 -170.4462
690.000000 113.525 -169.8526
700.000000 113.514 -169.2128
710.000000 113.510 -168.5783
720.000000 113.546 -167.7906
730.000000 113.552 -167.3275
740.000000 113.612 -166.6919
750.000000 113.600 -166.1065
762.000000 113.638 -165.1805
775.000000 113.635 -164.4560
788.000000 113.673 -163.7115
800.000000 113.719 -162.7386
812.000000 113.758 -162.1088
825.000000 113.801 -161.2668
838.000000 113.862 -160.4215
850.000000 113.889 -159.8105
862.000000 113.972 -158.7547
875.000000 114.020 -158.4317
885.000000 114.087 -157.5561
900.000000 114.176 -156.8574
912.000000 114.242 -156.3353
925.000000 114.303 -155.4642
938.000000 114.399 -154.9154
950.000000 114.457 -154.3584
962.000000 114.590 -153.8919
975.000000 114.648 -153.1719
988.000000 114.754 -152.6394
1000.000000 114.842 -152.7198
1015.000000 114.946 -151.5633
1030.000000 115.087 -151.0808
1044.000000 115.197 -150.7327
1060.000000 115.289 -150.3004
1075.000000 115.405 -149.9305
1090.000000 115.496 -149.4231
1106.000000 115.660 -149.0132
1120.000000 115.736 -148.9021
1138.000000 115.880 -148.6356
1150.000000 115.967 -148.3254
1172.000000 116.114 -148.1659
1180.000000 116.159 -147.9720
1206.000000 116.370 -147.7506
1220.000000 116.460 -147.6801
1241.000000 116.561 -147.5566
1250.000000 116.612 -147.3439
1265.000000 116.713 -147.3087
1280.000000 116.794 -147.1857
1315.000000 117.042 -147.0887
1320.000000 117.060 -147.2238
1340.000000 117.202 -147.3524
1360.000000 117.310 -147.3294
1380.000000 117.371 -147.5205
1400.000000 117.487 -147.4595
1430.000000 117.616 -147.4319
1450.000000 117.747 -147.3660
1475.000000 117.832 -147.6192
1500.000000 117.943 -147.7572
1525.000000 118.011 -147.7619
1550.000000 118.118 -147.6962
1575.000000 118.262 -147.7458
1600.000000 118.360 -147.8557
1625.000000 118.470 -148.0822
1650.000000 118.555 -147.9982
1675.000000 118.649 -148.0906
1700.000000 118.750 -148.3500
1725.000000 118.864 -148.3114
1750.000000 118.957 -148.4385
1775.000000 119.061 -148.7573
1800.000000 119.189 -148.7983
1825.000000 119.277 -149.0829
1850.000000 119.363 -149.1985
1875.000000 119.472 -149.4173
1900.000000 119.569 -149.5812
1925.000000 119.686 -150.0475
1950.000000 119.754 -150.1950
1975.000000 119.838 -150.6044
2000.000000 119.948 -150.5238
2030.000000 120.056 -151.2722
2060.000000 120.156 -151.6401
2090.000000 120.266 -152.1646
2120.000000 120.367 -152.6165
2140.000000 120.437 -152.8705
2180.000000 120.572 -153.6794
2200.000000 120.608 -153.9890
2240.000000 120.751 -154.7797
2270.000000 120.816 -155.3621
2300.000000 120.887 -155.9393
2330.000000 120.964 -156.5842
2360.000000 121.051 -157.2089
2400.000000 121.131 -158.1300
2430.000000 121.186 -158.7639
2470.000000 121.254 -159.7699
2500.000000 121.310 -160.3685
2540.000000 121.343 -161.3495
2580.000000 121.402 -162.3091
2620.000000 121.425 -163.2255
2650.000000 121.462 -163.8414
2690.000000 121.468 -164.7798
2720.000000 121.490 -165.3704
2760.000000 121.491 -166.2720
2800.000000 121.509 -167.1215
2850.000000 121.510 -168.0256
2900.000000 121.493 -169.0931
2950.000000 121.493 -170.0026
3000.000000 121.449 -171.0079
3040.000000 121.463 -171.4233
3070.000000 121.454 -171.9938
3110.000000 121.440 -172.7598
3150.000000 121.415 -173.4059
3200.000000 121.407 -174.0797
3250.000000 121.360 -174.8032
3300.000000 121.331 -175.3591
3350.000000 121.296 -176.0566
3400.000000 121.261 -176.6796
3450.000000 121.249 -177.2267
3500.000000 121.228 -177.8537
3550.000000 121.202 -178.2746
3600.000000 121.197 -178.8002
3650.000000 121.186 -179.3998
3700.000000 121.169 -179.7629
3750.000000 121.128 179.6356
3820.000000 121.137 178.8655
3870.000000 121.129 178.2043
3950.000000 121.117 177.3462
4000.000000 121.168 176.7451
4060.000000 121.111 176.2002
4120.000000 121.085 175.2355
4180.000000 121.097 174.6158
4250.000000 121.074 173.6172
4310.000000 121.062 172.6017
4370.000000 121.023 171.7294
4440.000000 120.977 170.6045
4500.000000 120.968 169.4934
4550.000000 120.876 168.6533
4620.000000 120.811 167.5721
4680.000000 120.736 166.5864
4750.000000 120.633 165.2589
4820.000000 120.484 164.1144
4870.000000 120.369 163.2877
4940.000000 120.235 161.9149
5000.000000 120.092 160.7178
5080.000000 119.890 159.9832
5150.000000 119.641 159.2023
5220.000000 119.412 158.6080
5300.000000 119.160 157.6003
5380.000000 118.887 157.0842
5450.000000 118.616 156.6639
5520.000000 118.371 156.7811
5600.000000 118.040 156.5686
5700.000000 117.665 156.4238
5800.000000 117.310 156.9470
5900.000000 116.973 157.6363
6000.000000 116.522 157.9156
6080.000000 116.330 158.8488
