* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 5:41:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L kbear kt02 1004
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.427 34.6245
20.600000 133.461 33.6487
20.900000 133.466 32.6985
21.200001 133.452 31.8127
21.400000 133.441 31.2838
21.799999 133.427 30.3300
22.000000 133.428 29.8663
22.400000 133.444 28.8611
22.700001 133.456 28.0069
23.000000 133.455 27.1048
23.299999 133.442 26.2380
23.600000 133.424 25.4623
24.000000 133.411 24.5873
24.299999 133.419 23.9874
24.700001 133.450 23.1398
25.000000 133.472 22.4221
25.400000 133.479 21.3961
25.799999 133.448 20.4292
26.200001 133.389 19.6322
26.500000 133.343 19.1379
26.900000 133.291 18.5312
27.200001 133.263 18.0454
27.600000 133.237 17.3147
28.000000 133.216 16.5313
28.500000 133.201 15.6038
29.000000 133.206 14.7902
29.500000 133.228 13.9945
30.000000 133.242 13.0818
30.400000 133.227 12.2575
30.700001 133.195 11.6253
31.100000 133.132 10.8500
31.500000 133.063 10.2160
32.000000 133.002 9.5908
32.500000 132.991 8.9160
33.000000 133.002 7.9375
33.500000 132.983 6.7097
34.000000 132.917 5.6085
34.500000 132.848 4.9749
35.000000 132.838 4.7526
35.500000 132.897 4.5334
36.000000 132.971 4.0020
36.500000 132.999 3.1891
37.000000 132.965 2.3180
37.500000 132.903 1.5266
38.200001 132.849 0.4979
38.700001 132.854 -0.2640
39.500000 132.886 -1.4326
40.000000 132.878 -1.9762
40.599998 132.826 -2.3428
41.200001 132.749 -2.5216
41.799999 132.676 -2.8278
42.500000 132.593 -3.6486
43.099998 132.505 -4.6496
43.700001 132.405 -5.6330
44.400002 132.317 -6.5396
45.000000 132.303 -7.1606
45.500000 132.328 -7.6822
46.200001 132.362 -8.4243
46.799999 132.337 -8.8535
47.500000 132.256 -8.9117
48.200001 132.182 -8.8978
48.700001 132.139 -9.1973
49.400002 132.058 -10.0276
50.000000 131.976 -10.6765
50.799999 131.929 -11.2135
51.500000 131.944 -11.8566
52.200001 131.928 -12.7604
53.000000 131.873 -13.6723
53.799999 131.835 -14.5809
54.500000 131.771 -15.3945
55.200001 131.689 -15.7296
56.000000 131.668 -15.8110
57.000000 131.631 -16.6652
58.000000 131.495 -17.2443
59.000000 131.491 -17.6505
60.000000 131.442 -18.5200
60.799999 131.339 -18.7384
61.500000 131.293 -18.9147
62.200001 131.269 -19.4638
63.000000 131.224 -20.1155
64.000000 131.164 -20.4927
65.000000 131.047 -20.9249
66.000000 130.897 -21.4311
67.000000 130.833 -22.1768
68.000000 130.785 -22.6878
69.000000 130.762 -22.6986
70.000000 130.713 -23.0664
71.000000 130.626 -23.6027
72.000000 130.574 -24.2405
73.000000 130.510 -24.8489
74.000000 130.438 -25.1741
75.000000 130.398 -25.5256
76.199997 130.321 -26.1575
77.500000 130.217 -26.5072
78.800003 130.126 -27.2218
80.000000 130.025 -27.6316
81.199997 129.923 -27.8474
82.500000 129.852 -27.9405
83.800003 129.768 -28.0469
85.000000 129.677 -28.0498
86.199997 129.563 -28.5970
87.500000 129.469 -28.6465
88.500000 129.436 -28.8577
90.000000 129.314 -29.3982
91.199997 129.259 -29.7336
92.500000 129.207 -30.1750
93.800003 129.160 -30.8419
95.000000 129.100 -31.0431
96.199997 129.022 -31.1857
97.500000 128.948 -31.5921
98.800003 128.873 -31.9194
100.000000 128.794 -31.7932
101.500000 128.666 -31.8634
103.000000 128.571 -31.9244
104.400002 128.502 -31.9397
106.000000 128.410 -31.8671
107.500000 128.317 -31.9439
109.000000 128.186 -32.2258
110.599998 128.083 -32.4905
112.000000 128.015 -32.5830
113.800003 127.901 -32.7898
115.000000 127.812 -33.0021
117.199997 127.724 -33.1891
118.000000 127.679 -33.2462
120.599998 127.595 -33.2336
122.000000 127.545 -32.9243
124.099998 127.425 -32.8228
125.000000 127.385 -32.9001
126.500000 127.304 -32.9630
128.000000 127.229 -33.1000
131.500000 127.080 -33.7166
132.000000 127.054 -33.6886
134.000000 126.988 -33.5927
136.000000 126.914 -33.2060
138.000000 126.835 -33.0649
140.000000 126.762 -32.7804
143.000000 126.651 -32.7690
145.000000 126.589 -32.5441
147.500000 126.502 -32.6916
150.000000 126.442 -32.6956
152.500000 126.362 -32.7736
155.000000 126.314 -32.6369
157.500000 126.225 -32.5999
160.000000 126.170 -32.2320
162.500000 126.073 -31.8866
165.000000 125.959 -31.6275
167.500000 125.853 -31.2243
170.000000 125.770 -31.1956
172.500000 125.664 -30.9381
175.000000 125.603 -30.7679
177.500000 125.541 -30.5831
180.000000 125.459 -30.4163
182.500000 125.395 -30.1464
185.000000 125.334 -29.9533
187.500000 125.306 -29.7054
190.000000 125.247 -29.3741
192.500000 125.182 -29.3068
195.000000 125.153 -29.1023
197.500000 125.087 -28.7250
200.000000 125.043 -28.5960
203.000000 124.967 -28.4255
206.000000 124.898 -28.1769
209.000000 124.789 -27.7686
212.000000 124.729 -27.4117
214.000000 124.659 -27.0605
218.000000 124.521 -26.5028
220.000000 124.461 -26.1572
224.000000 124.376 -25.6618
227.000000 124.334 -25.3796
230.000000 124.283 -25.1394
233.000000 124.246 -24.9665
236.000000 124.235 -24.5641
240.000000 124.194 -24.4164
243.000000 124.215 -24.1248
247.000000 124.180 -23.7283
250.000000 124.128 -23.4229
254.000000 124.112 -22.8870
258.000000 124.033 -22.4799
262.000000 124.008 -22.0079
265.000000 123.959 -21.6449
269.000000 123.941 -21.2303
272.000000 123.903 -20.9534
276.000000 123.835 -20.4683
280.000000 123.833 -20.1511
285.000000 123.818 -19.8559
290.000000 123.789 -19.3514
295.000000 123.737 -18.9576
300.000000 123.667 -18.5032
304.000000 123.612 -18.1077
307.000000 123.568 -17.8357
311.000000 123.502 -17.1765
315.000000 123.447 -16.7973
320.000000 123.396 -16.2832
325.000000 123.344 -15.8221
330.000000 123.354 -15.5580
335.000000 123.345 -15.4004
340.000000 123.354 -15.1545
345.000000 123.346 -14.8572
350.000000 123.331 -14.3799
355.000000 123.302 -13.8260
360.000000 123.260 -13.4595
365.000000 123.216 -12.9449
370.000000 123.141 -12.5323
375.000000 123.126 -12.1933
382.000000 123.084 -11.7832
387.000000 123.061 -11.3455
395.000000 123.030 -10.7736
400.000000 123.044 -10.4182
406.000000 123.030 -9.9731
412.000000 123.017 -9.5692
418.000000 123.003 -9.1993
425.000000 122.988 -8.7452
431.000000 122.979 -8.2064
437.000000 122.955 -7.7582
444.000000 122.926 -7.3206
450.000000 122.918 -7.0361
455.000000 122.882 -6.6495
462.000000 122.845 -6.1483
468.000000 122.817 -5.6631
475.000000 122.772 -5.2598
482.000000 122.726 -4.7186
487.000000 122.700 -4.2557
494.000000 122.690 -3.7728
500.000000 122.679 -3.4826
508.000000 122.687 -2.9401
515.000000 122.689 -2.5296
522.000000 122.694 -2.2174
530.000000 122.716 -1.6003
538.000000 122.724 -1.1398
545.000000 122.719 -0.7181
552.000000 122.713 -0.3296
560.000000 122.709 0.1621
570.000000 122.675 0.9037
580.000000 122.656 1.6317
590.000000 122.612 2.2306
600.000000 122.585 2.8170
608.000000 122.574 3.4742
615.000000 122.578 3.8859
622.000000 122.592 4.4028
630.000000 122.597 4.9236
640.000000 122.594 5.5562
650.000000 122.623 6.3732
660.000000 122.627 7.0130
670.000000 122.636 7.6184
680.000000 122.643 8.1984
690.000000 122.622 8.8845
700.000000 122.616 9.6142
710.000000 122.593 10.3160
720.000000 122.625 10.9859
730.000000 122.628 11.5479
740.000000 122.634 12.0440
750.000000 122.696 12.8528
762.000000 122.746 13.5700
775.000000 122.805 14.3154
788.000000 122.863 14.9272
800.000000 122.934 15.7338
812.000000 122.955 16.5546
825.000000 122.997 17.2624
838.000000 123.015 18.0880
850.000000 123.034 18.9634
862.000000 123.076 19.5868
875.000000 123.130 20.3620
885.000000 123.198 20.8622
900.000000 123.318 21.6875
912.000000 123.410 22.2446
925.000000 123.511 22.8903
938.000000 123.623 23.5550
950.000000 123.695 24.0846
962.000000 123.802 24.6588
975.000000 123.884 25.2192
988.000000 123.978 25.6989
1000.000000 124.050 26.0576
1015.000000 124.176 26.7340
1030.000000 124.297 27.2647
1044.000000 124.402 27.6216
1060.000000 124.521 28.0134
1075.000000 124.639 28.4724
1090.000000 124.749 28.6778
1106.000000 124.856 29.0075
1120.000000 124.944 29.3249
1138.000000 125.049 29.5619
1150.000000 125.130 29.8371
1172.000000 125.269 29.9180
1180.000000 125.311 29.9999
1206.000000 125.488 30.2683
1220.000000 125.571 30.3354
1241.000000 125.705 30.4305
1250.000000 125.760 30.4451
1265.000000 125.852 30.4803
1280.000000 125.918 30.5476
1315.000000 126.073 30.6234
1320.000000 126.087 30.6384
1340.000000 126.179 30.6693
1360.000000 126.249 30.7136
1380.000000 126.326 30.7025
1400.000000 126.404 30.7352
1430.000000 126.535 30.7952
1450.000000 126.637 30.8343
1475.000000 126.766 30.7833
1500.000000 126.881 30.7763
1525.000000 126.972 30.8315
1550.000000 127.091 30.8570
1575.000000 127.168 30.8061
1600.000000 127.287 30.8346
1625.000000 127.365 30.7550
1650.000000 127.444 30.6964
1675.000000 127.506 30.7086
1700.000000 127.557 30.5556
1725.000000 127.582 30.6481
1750.000000 127.642 30.6053
1775.000000 127.703 30.4285
1800.000000 127.821 30.2878
1825.000000 127.912 30.2031
1850.000000 128.044 29.9964
1875.000000 128.181 29.8070
1900.000000 128.303 29.6070
1925.000000 128.435 29.3362
1950.000000 128.549 29.1743
1975.000000 128.659 28.8246
2000.000000 128.716 28.5681
2030.000000 128.807 28.2579
2060.000000 128.897 27.8771
2090.000000 128.981 27.4272
2120.000000 129.066 26.9090
2140.000000 129.113 26.5847
2180.000000 129.178 26.0831
2200.000000 129.207 25.7920
2240.000000 129.313 25.0717
2270.000000 129.380 24.5887
2300.000000 129.458 23.9785
2330.000000 129.523 23.5190
2360.000000 129.596 23.0531
2400.000000 129.691 22.3615
2430.000000 129.746 21.8243
2470.000000 129.800 21.1832
2500.000000 129.833 20.6971
2540.000000 129.852 19.9040
2580.000000 129.888 19.2259
2620.000000 129.936 18.4584
2650.000000 129.964 17.7483
2690.000000 130.013 16.7985
2720.000000 130.033 16.0132
2760.000000 130.034 14.9851
2800.000000 130.014 13.9222
2850.000000 129.949 12.7129
2900.000000 129.853 11.7537
2950.000000 129.743 11.1988
3000.000000 129.622 11.0093
3040.000000 129.532 10.7152
3070.000000 129.480 10.7173
3110.000000 129.399 10.8403
3150.000000 129.341 10.9597
3200.000000 129.343 11.0891
3250.000000 129.353 11.2467
3300.000000 129.384 11.3865
3350.000000 129.454 11.5014
3400.000000 129.501 11.5141
3450.000000 129.581 11.4585
3500.000000 129.667 11.2765
3550.000000 129.769 10.9122
3600.000000 129.852 10.6393
3650.000000 129.942 10.0746
3700.000000 130.018 9.4276
3750.000000 130.077 8.7512
3820.000000 130.161 7.5600
3870.000000 130.205 6.6448
3950.000000 130.245 5.3442
4000.000000 130.281 4.4343
4060.000000 130.251 3.8283
4120.000000 130.288 4.2505
4180.000000 130.581 2.7195
4250.000000 130.614 0.0863
4310.000000 130.579 -1.5632
4370.000000 130.552 -3.2010
4440.000000 130.472 -5.1162
4500.000000 130.372 -6.7216
4550.000000 130.277 -8.0749
4620.000000 130.114 -10.0293
4680.000000 129.910 -11.3484
4750.000000 129.663 -12.9628
4820.000000 129.393 -13.9540
4870.000000 129.201 -14.7557
4940.000000 128.905 -15.2375
5000.000000 128.640 -15.5521
5080.000000 128.270 -15.5302
5150.000000 127.973 -15.2405
5220.000000 127.675 -14.7515
5300.000000 127.374 -13.8377
5380.000000 127.134 -12.6524
5450.000000 126.950 -11.4765
5520.000000 126.774 -10.1244
5600.000000 126.599 -8.5077
5700.000000 126.463 -6.3488
5800.000000 126.339 -4.1126
5900.000000 126.283 -2.0558
