* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 26, 2024 9:20:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L KZ CASTOR BASS ALL OFF Mar 26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 136.893 -128.3575
20.600000 136.961 -128.8988
20.900000 137.025 -129.3615
21.200001 137.093 -129.8159
21.400000 137.141 -130.1244
21.799999 137.240 -130.7568
22.000000 137.290 -131.0775
22.400000 137.385 -131.7114
22.700001 137.453 -132.1687
23.000000 137.518 -132.6098
23.299999 137.581 -133.0475
23.600000 137.644 -133.4953
24.000000 137.725 -134.1226
24.299999 137.784 -134.6140
24.700001 137.860 -135.2773
25.000000 137.917 -135.7622
25.400000 137.994 -136.3738
25.799999 138.073 -136.9410
26.200001 138.152 -137.4718
26.500000 138.209 -137.8544
26.900000 138.280 -138.3560
27.200001 138.329 -138.7374
27.600000 138.389 -139.2686
28.000000 138.442 -139.8345
28.500000 138.499 -140.5663
29.000000 138.552 -141.2516
29.500000 138.612 -141.8381
30.000000 138.689 -142.3667
30.400000 138.758 -142.8168
30.700001 138.809 -143.1931
31.100000 138.865 -143.7330
31.500000 138.906 -144.2708
32.000000 138.947 -144.8715
32.500000 138.995 -145.3991
33.000000 139.061 -145.9472
33.500000 139.135 -146.5724
34.000000 139.200 -147.2187
34.500000 139.255 -147.7904
35.000000 139.309 -148.2808
35.500000 139.367 -148.7813
36.000000 139.420 -149.3602
36.500000 139.459 -149.9767
37.000000 139.488 -150.5356
37.500000 139.522 -151.0116
38.200001 139.591 -151.6704
38.700001 139.642 -152.2060
39.500000 139.702 -153.0680
40.000000 139.736 -153.5575
40.599998 139.785 -154.1569
41.200001 139.835 -154.8317
41.799999 139.875 -155.5232
42.500000 139.915 -156.2325
43.099998 139.953 -156.7628
43.700001 139.996 -157.2942
44.400002 140.043 -157.9560
45.000000 140.079 -158.5452
45.500000 140.108 -159.0303
46.200001 140.153 -159.6805
46.799999 140.196 -160.2330
47.500000 140.242 -160.9304
48.200001 140.264 -161.6278
48.700001 140.273 -162.0549
49.400002 140.301 -162.5973
50.000000 140.339 -163.1420
50.799999 140.369 -163.8940
51.500000 140.383 -164.3553
52.200001 140.415 -164.8531
53.000000 140.434 -165.7962
53.799999 140.412 -166.6649
54.500000 140.428 -167.0729
55.200001 140.496 -167.5060
56.000000 140.551 -168.2258
57.000000 140.554 -169.0413
58.000000 140.569 -169.8241
59.000000 140.594 -170.6731
60.000000 140.610 -171.4672
60.799999 140.615 -172.0581
61.500000 140.625 -172.5558
62.200001 140.640 -173.0949
63.000000 140.646 -173.7353
64.000000 140.649 -174.4463
65.000000 140.665 -175.2040
66.000000 140.666 -175.9568
67.000000 140.667 -176.5678
68.000000 140.676 -177.2896
69.000000 140.676 -178.0139
70.000000 140.684 -178.6794
71.000000 140.680 -179.3809
72.000000 140.669 179.9593
73.000000 140.667 179.2878
74.000000 140.659 178.5821
75.000000 140.645 177.9367
76.199997 140.642 177.1805
77.500000 140.624 176.3082
78.800003 140.601 175.5576
80.000000 140.591 174.8051
81.199997 140.571 174.0537
82.500000 140.543 173.2959
83.800003 140.523 172.5206
85.000000 140.497 171.7949
86.199997 140.471 171.1454
87.500000 140.448 170.3849
88.500000 140.422 169.7947
90.000000 140.387 169.0072
91.199997 140.361 168.3617
92.500000 140.325 167.6596
93.800003 140.283 166.9729
95.000000 140.248 166.3629
96.199997 140.213 165.7429
97.500000 140.173 165.0782
98.800003 140.131 164.4212
100.000000 140.094 163.8619
101.500000 140.043 163.1133
103.000000 139.992 162.4059
104.400002 139.945 161.7585
106.000000 139.886 161.0278
107.500000 139.840 160.4032
109.000000 139.767 159.6812
110.599998 139.710 159.0276
112.000000 139.651 158.4852
113.800003 139.578 157.5923
115.000000 139.516 157.2734
117.199997 139.439 156.2990
118.000000 139.432 156.1034
120.599998 139.273 155.5298
122.000000 139.237 154.3792
124.099998 139.148 153.8516
125.000000 139.086 153.5015
126.500000 139.026 152.8920
128.000000 138.959 152.4592
131.500000 138.793 151.2808
132.000000 138.765 151.0550
134.000000 138.684 150.5294
136.000000 138.559 149.9557
138.000000 138.462 149.3369
140.000000 138.364 148.7718
143.000000 138.217 147.9637
145.000000 138.115 147.4022
147.500000 137.987 146.7399
150.000000 137.855 146.1570
152.500000 137.716 145.5467
155.000000 137.591 145.0845
157.500000 137.461 144.5634
160.000000 137.304 144.0790
162.500000 137.207 143.5208
165.000000 137.049 143.1511
167.500000 136.900 142.7706
170.000000 136.766 142.2874
172.500000 136.626 141.9500
175.000000 136.490 141.6476
177.500000 136.348 141.3568
180.000000 136.211 140.9919
182.500000 136.060 140.7517
185.000000 135.932 140.5760
187.500000 135.796 140.2493
190.000000 135.667 139.8099
192.500000 135.500 140.3053
195.000000 135.381 139.7969
197.500000 135.242 139.5607
200.000000 135.079 139.4053
203.000000 134.916 139.4339
206.000000 134.728 139.4468
209.000000 134.617 139.8555
212.000000 134.469 139.3500
214.000000 134.346 139.5783
218.000000 134.153 139.5851
220.000000 134.045 139.6359
224.000000 133.778 139.9026
227.000000 133.598 139.7203
230.000000 133.499 139.6688
233.000000 133.375 140.1476
236.000000 133.192 140.4647
240.000000 132.992 140.7717
243.000000 132.843 141.0471
247.000000 132.662 141.3180
250.000000 132.525 141.6853
254.000000 132.359 142.1169
258.000000 132.193 142.6685
262.000000 132.003 143.2236
265.000000 131.874 143.7097
269.000000 131.707 144.2732
272.000000 131.591 144.7565
276.000000 131.429 145.3907
280.000000 131.282 146.1974
285.000000 131.107 147.0630
290.000000 130.939 148.0318
295.000000 130.790 148.8849
300.000000 130.644 149.8878
304.000000 130.517 150.6772
307.000000 130.449 151.3520
311.000000 130.331 152.1270
315.000000 130.269 152.9734
320.000000 130.132 153.9965
325.000000 130.031 155.1011
330.000000 129.937 156.1309
335.000000 129.859 157.0932
340.000000 129.758 158.1287
345.000000 129.662 158.8612
350.000000 129.599 160.4595
355.000000 129.592 161.1744
360.000000 129.540 162.0784
365.000000 129.497 163.1453
370.000000 129.409 163.9664
375.000000 129.438 164.9008
382.000000 129.349 166.1885
387.000000 129.324 167.1934
395.000000 129.306 168.5610
400.000000 129.306 169.5140
406.000000 129.289 170.3000
412.000000 129.272 171.3022
418.000000 129.262 172.2654
425.000000 129.268 173.2314
431.000000 129.275 174.0965
437.000000 129.278 174.9279
444.000000 129.279 175.8719
450.000000 129.293 176.6899
455.000000 129.294 177.1666
462.000000 129.302 178.2350
468.000000 129.324 178.8503
475.000000 129.335 179.6323
482.000000 129.367 -179.5186
487.000000 129.378 -178.9900
494.000000 129.384 -178.2546
500.000000 129.404 -177.7043
508.000000 129.429 -176.9507
515.000000 129.444 -176.2162
522.000000 129.454 -175.5247
530.000000 129.486 -174.8663
538.000000 129.521 -174.1297
545.000000 129.526 -173.4514
552.000000 129.551 -172.9393
560.000000 129.576 -172.2180
570.000000 129.598 -171.4283
580.000000 129.629 -170.5690
590.000000 129.656 -169.8943
600.000000 129.694 -169.0637
608.000000 129.732 -168.5152
615.000000 129.734 -168.0933
622.000000 129.766 -167.4545
630.000000 129.760 -166.8433
640.000000 129.813 -166.2282
650.000000 129.845 -165.4804
660.000000 129.832 -164.7397
670.000000 129.880 -163.9359
680.000000 129.905 -163.3533
690.000000 129.949 -162.5625
700.000000 129.964 -161.9772
710.000000 130.000 -161.2917
720.000000 130.033 -160.6104
730.000000 130.071 -159.7831
740.000000 130.121 -158.9810
750.000000 130.178 -158.4931
762.000000 130.223 -157.7325
775.000000 130.270 -156.8450
788.000000 130.347 -155.9953
800.000000 130.385 -155.3091
812.000000 130.437 -154.6292
825.000000 130.490 -153.7302
838.000000 130.537 -152.8916
850.000000 130.594 -152.0892
862.000000 130.680 -151.2651
875.000000 130.750 -150.4065
885.000000 130.810 -149.8203
900.000000 130.889 -148.9142
912.000000 130.975 -148.1917
925.000000 131.067 -147.4382
938.000000 131.144 -146.6295
950.000000 131.236 -146.0407
962.000000 131.346 -145.6035
975.000000 131.424 -144.6555
988.000000 131.506 -143.7675
1000.000000 131.616 -143.2778
1015.000000 131.767 -142.2690
1030.000000 131.946 -141.4067
1044.000000 132.111 -141.0301
1060.000000 132.278 -140.7637
1075.000000 132.423 -140.3235
1090.000000 132.547 -140.1225
1106.000000 132.671 -139.8349
1120.000000 132.801 -139.4858
1138.000000 132.955 -139.2245
1150.000000 133.060 -139.0044
1172.000000 133.215 -138.7563
1180.000000 133.273 -138.6252
1206.000000 133.467 -138.3819
1220.000000 133.571 -138.1606
1241.000000 133.717 -137.9478
1250.000000 133.793 -137.9143
1265.000000 133.877 -137.8451
1280.000000 133.966 -137.6717
1315.000000 134.185 -137.5601
1320.000000 134.215 -137.5134
1340.000000 134.330 -137.2969
1360.000000 134.448 -137.2570
1380.000000 134.558 -137.0945
1400.000000 134.660 -136.9427
1430.000000 134.820 -136.7841
1450.000000 134.930 -136.6794
1475.000000 135.060 -136.4753
1500.000000 135.181 -136.2515
1525.000000 135.318 -136.0466
1550.000000 135.440 -135.9976
1575.000000 135.580 -135.8255
1600.000000 135.706 -135.6692
1625.000000 135.842 -135.4979
1650.000000 135.971 -135.3351
1675.000000 136.102 -135.2004
1700.000000 136.255 -135.0382
1725.000000 136.393 -134.8519
1750.000000 136.531 -134.7952
1775.000000 136.678 -134.7443
1800.000000 136.842 -134.6653
1825.000000 136.982 -134.5988
1850.000000 137.135 -134.5961
1875.000000 137.295 -134.5663
1900.000000 137.449 -134.6217
1925.000000 137.609 -134.6998
1950.000000 137.774 -134.7915
1975.000000 137.930 -134.8778
2000.000000 138.107 -135.0181
2030.000000 138.305 -135.3764
2060.000000 138.513 -135.6649
2090.000000 138.712 -136.0745
2120.000000 138.916 -136.5678
2140.000000 139.048 -136.9167
2180.000000 139.319 -137.7098
2200.000000 139.453 -138.1454
2240.000000 139.722 -139.1451
2270.000000 139.910 -139.9790
2300.000000 140.104 -140.9317
2330.000000 140.293 -141.9556
2360.000000 140.460 -143.0838
2400.000000 140.688 -144.6036
2430.000000 140.829 -145.9203
2470.000000 141.015 -147.7019
2500.000000 141.142 -149.1403
2540.000000 141.279 -151.1230
2580.000000 141.395 -153.1377
2620.000000 141.475 -155.2277
2650.000000 141.523 -156.8095
2690.000000 141.554 -158.9037
2720.000000 141.559 -160.4203
2760.000000 141.546 -162.4724
2800.000000 141.496 -164.3940
2850.000000 141.418 -166.7318
2900.000000 141.301 -168.8785
2950.000000 141.155 -170.8627
3000.000000 140.985 -172.5992
3040.000000 140.858 -173.8380
3070.000000 140.754 -174.7014
3110.000000 140.605 -175.7736
3150.000000 140.447 -176.6983
3200.000000 140.261 -177.7116
3250.000000 140.068 -178.5583
3300.000000 139.875 -179.2385
3350.000000 139.699 -179.7633
3400.000000 139.524 179.7861
3450.000000 139.358 179.5005
3500.000000 139.203 179.2632
3550.000000 139.054 179.1161
3600.000000 138.915 179.0168
3650.000000 138.784 179.0306
3700.000000 138.672 179.1389
3750.000000 138.566 179.2259
3820.000000 138.423 179.4193
3870.000000 138.346 179.6213
3950.000000 138.233 179.9659
4000.000000 138.193 -179.8625
4060.000000 138.119 -179.4548
4120.000000 138.088 -179.1546
4180.000000 138.064 -178.8882
4250.000000 138.046 -178.6075
4310.000000 138.048 -178.4005
4370.000000 138.044 -178.1927
4440.000000 138.078 -177.9531
4500.000000 138.109 -177.9644
4550.000000 138.131 -177.8686
4620.000000 138.186 -178.0103
4680.000000 138.235 -178.1467
4750.000000 138.290 -178.4044
4820.000000 138.347 -178.8497
4870.000000 138.380 -179.1325
4940.000000 138.436 -179.7232
5000.000000 138.447 179.5958
5080.000000 138.491 178.7328
5150.000000 138.486 177.7949
5220.000000 138.466 176.7814
5300.000000 138.412 175.6224
5380.000000 138.336 174.4664
5450.000000 138.233 173.3784
5520.000000 138.118 172.3891
5600.000000 137.940 171.3709
