* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\KZ EDXS Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 7:46:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\KZ EDXS Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: KZ EDXS Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	66.951	125.4428
1.015000	66.791	124.5709
1.030000	66.625	123.6902
1.044000	66.466	122.8598
1.060000	66.279	121.8999
1.075000	66.097	120.9888
1.090000	65.910	120.0663
1.106000	65.704	119.0772
1.120000	65.522	118.2530
1.138000	65.287	117.2531
1.150000	65.129	116.6177
1.172000	64.836	115.5017
1.180000	64.728	115.1075
1.206000	64.371	113.8498
1.220000	64.173	113.1764
1.241000	63.870	112.1536
1.250000	63.737	111.7057
1.265000	63.511	110.9402
1.280000	63.280	110.1436
1.315000	62.713	108.1190
1.320000	62.629	107.8064
1.340000	62.283	106.4854
1.360000	61.922	105.0372
1.380000	61.546	103.4425
1.400000	61.152	101.6821
1.430000	60.525	98.6887
1.450000	60.082	96.4297
1.475000	59.492	93.2852
1.500000	58.802	89.8484
1.525000	58.017	86.1520
1.550000	57.158	82.2123
1.575000	56.245	78.0456
1.600000	55.298	73.6683
1.625000	54.339	69.0964
1.650000	53.387	64.3464
1.675000	52.463	59.4345
1.700000	51.588	54.3769
1.725000	50.781	49.1900
1.750000	50.064	43.8901
1.775000	49.457	38.4934
1.800000	48.981	33.0161
1.825000	48.655	27.4745
1.850000	48.494	21.7248
1.875000	48.485	15.4459
1.900000	48.609	8.7232
1.925000	48.847	1.6591
1.950000	49.182	-5.6438
1.975000	49.595	-13.0830
2.000000	50.069	-20.5560
2.030000	50.692	-29.4239
2.060000	51.345	-38.0157
2.090000	51.997	-46.1543
2.120000	52.616	-53.6626
2.140000	52.995	-58.2305
2.180000	53.632	-66.0796
2.200000	53.870	-69.2574
2.240000	54.283	-74.3227
2.270000	54.571	-77.1853
2.300000	54.840	-79.3501
2.330000	55.092	-80.9112
2.360000	55.327	-81.9629
2.400000	55.615	-82.7356
2.430000	55.812	-82.9650
2.470000	56.052	-82.9832
2.500000	56.215	-82.9034
2.540000	56.412	-82.8512
2.580000	56.580	-82.9914
2.620000	56.690	-82.8428
2.650000	56.737	-82.4827
2.690000	56.764	-81.7153
2.720000	56.768	-80.9547
2.760000	56.763	-79.7381
2.800000	56.762	-78.3408
2.850000	56.789	-76.4245
2.900000	56.879	-74.4205
2.950000	57.057	-72.3814
3.000000	57.293	-69.9381
3.040000	57.512	-67.7190
3.070000	57.692	-65.9578
3.110000	57.950	-63.5503
3.150000	58.227	-61.1551
3.200000	58.593	-58.3114
3.250000	58.976	-55.7939
3.300000	59.370	-53.7717
3.350000	59.797	-52.1725
3.400000	60.264	-50.8471
3.450000	60.758	-49.7683
3.500000	61.262	-48.9090
3.550000	61.761	-48.2420
3.600000	62.241	-47.7402
3.650000	62.687	-47.3764
3.700000	63.095	-47.1769
3.750000	63.487	-47.2289
3.820000	64.010	-47.6360
3.870000	64.362	-48.0954
3.950000	64.888	-48.9801
4.000000	65.191	-49.5461
4.060000	65.527	-50.1909
4.120000	65.830	-50.9353
4.180000	66.104	-51.7659
4.250000	66.392	-52.7870
4.310000	66.617	-53.6583
4.370000	66.827	-54.4810
4.440000	67.052	-55.3580
4.500000	67.219	-56.0983
4.550000	67.342	-56.7020
4.620000	67.498	-57.5106
4.680000	67.621	-58.1545
4.750000	67.760	-58.8283
4.820000	67.891	-59.4061
4.870000	67.974	-59.7677
4.940000	68.081	-60.2137
5.000000	68.169	-60.5500
5.080000	68.287	-60.9491
5.150000	68.398	-61.2633
5.220000	68.512	-61.5062
5.300000	68.641	-61.7155
5.380000	68.775	-61.8998
5.450000	68.897	-62.0801
5.520000	69.025	-62.3063
5.600000	69.182	-62.5710
5.700000	69.386	-62.9250
5.800000	69.594	-63.3589
5.900000	69.800	-63.9255
6.000000	70.009	-64.6120
6.080000	70.177	-65.2331
6.150000	70.320	-65.8229
6.220000	70.456	-66.4508
6.300000	70.605	-67.2276
6.400000	70.782	-68.2920
6.500000	70.949	-69.4158
6.600000	71.103	-70.5518
6.700000	71.243	-71.7154
6.800000	71.369	-72.9107
6.900000	71.487	-74.0978
7.000000	71.597	-75.2425
7.100000	71.697	-76.3647
7.200000	71.789	-77.4617
7.300000	71.880	-78.5214
7.400000	71.971	-79.5330
7.500000	72.059	-80.5009
7.620000	72.166	-81.6233
7.750000	72.288	-82.8095
7.880000	72.416	-83.9492
8.000000	72.539	-84.9881
8.120000	72.667	-86.0419
8.250000	72.813	-87.1866
8.380000	72.961	-88.3441
8.500000	73.096	-89.4368
8.620000	73.233	-90.5504
8.750000	73.378	-91.7650
8.850000	73.486	-92.6990
9.000000	73.644	-94.1108
9.120000	73.765	-95.2261
9.250000	73.891	-96.4042
9.380000	74.011	-97.5602
9.500000	74.118	-98.5943
9.620000	74.224	-99.5887
9.750000	74.335	-100.6270
9.880000	74.437	-101.6270
