* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 28, 2024 12:33:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R PLUTUS BEAST Jan 28
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 143.542 -134.9238
20.600000 143.594 -135.7421
20.900000 143.637 -136.4799
21.200001 143.677 -137.2099
21.400000 143.704 -137.6940
21.799999 143.760 -138.6554
22.000000 143.789 -139.1312
22.400000 143.848 -140.0673
22.700001 143.892 -140.7516
23.000000 143.935 -141.4190
23.299999 143.975 -142.0720
23.600000 144.013 -142.7153
24.000000 144.058 -143.5677
24.299999 144.089 -144.2094
24.700001 144.124 -145.0698
25.000000 144.148 -145.7138
25.400000 144.177 -146.5576
25.799999 144.204 -147.3683
26.200001 144.233 -148.1391
26.500000 144.257 -148.6961
26.900000 144.291 -149.4238
27.200001 144.317 -149.9679
27.600000 144.348 -150.6953
28.000000 144.373 -151.4162
28.500000 144.397 -152.2839
29.000000 144.418 -153.1021
29.500000 144.441 -153.8928
30.000000 144.465 -154.6920
30.400000 144.482 -155.3444
30.700001 144.492 -155.8336
31.100000 144.502 -156.4698
31.500000 144.510 -157.0775
32.000000 144.521 -157.8033
32.500000 144.537 -158.5215
33.000000 144.552 -159.2556
33.500000 144.562 -159.9939
34.000000 144.564 -160.6993
34.500000 144.563 -161.3487
35.000000 144.564 -161.9577
35.500000 144.569 -162.5686
36.000000 144.575 -163.2082
36.500000 144.578 -163.8637
37.000000 144.576 -164.4969
37.500000 144.573 -165.0847
38.200001 144.572 -165.8577
38.700001 144.573 -166.4136
39.500000 144.567 -167.3303
40.000000 144.559 -167.8956
40.599998 144.547 -168.5435
41.200001 144.538 -169.1540
41.799999 144.532 -169.7380
42.500000 144.524 -170.4125
43.099998 144.510 -170.9919
43.700001 144.489 -171.5461
44.400002 144.463 -172.1505
45.000000 144.448 -172.6790
45.500000 144.437 -173.1472
46.200001 144.419 -173.7886
46.799999 144.406 -174.2754
47.500000 144.398 -174.8314
48.200001 144.381 -175.4412
48.700001 144.358 -175.8694
49.400002 144.324 -176.3951
50.000000 144.307 -176.8259
50.799999 144.292 -177.4684
51.500000 144.268 -178.0251
52.200001 144.238 -178.4829
53.000000 144.208 -178.9450
53.799999 144.176 -179.4545
54.500000 144.143 -179.9128
55.200001 144.113 179.6620
56.000000 144.091 179.1606
57.000000 144.052 178.4855
58.000000 143.997 177.9286
59.000000 143.959 177.3892
60.000000 143.926 176.7647
60.799999 143.890 176.3377
61.500000 143.859 176.0357
62.200001 143.830 175.7209
63.000000 143.792 175.3070
64.000000 143.744 174.8199
65.000000 143.707 174.3757
66.000000 143.664 173.9003
67.000000 143.608 173.4687
68.000000 143.563 173.0897
69.000000 143.527 172.6396
70.000000 143.481 172.2115
71.000000 143.442 171.8471
72.000000 143.397 171.4299
73.000000 143.341 171.0883
74.000000 143.297 170.7784
75.000000 143.256 170.4420
76.199997 143.201 170.0675
77.500000 143.140 169.6549
78.800003 143.079 169.2271
80.000000 143.026 168.8742
81.199997 142.973 168.5410
82.500000 142.919 168.1956
83.800003 142.859 167.8821
85.000000 142.807 167.6525
86.199997 142.753 167.2906
87.500000 142.691 167.0268
88.500000 142.656 166.7831
90.000000 142.578 166.4933
91.199997 142.530 166.2324
92.500000 142.471 165.9682
93.800003 142.419 165.7020
95.000000 142.364 165.5161
96.199997 142.316 165.3196
97.500000 142.260 165.0807
98.800003 142.207 164.9160
100.000000 142.157 164.7518
101.500000 142.088 164.5252
103.000000 142.034 164.3017
104.400002 141.981 164.1299
106.000000 141.911 163.9530
107.500000 141.850 163.7581
109.000000 141.795 163.6599
110.599998 141.726 163.4760
112.000000 141.675 163.2768
113.800003 141.605 163.2080
115.000000 141.554 163.0707
117.199997 141.478 162.9991
118.000000 141.445 162.9891
120.599998 141.392 162.7433
122.000000 141.332 162.4980
124.099998 141.226 162.3582
125.000000 141.174 162.3026
126.500000 141.128 162.4276
128.000000 141.051 162.4417
131.500000 141.001 162.6235
132.000000 141.001 162.4692
134.000000 140.920 162.3864
136.000000 140.814 162.2105
138.000000 140.776 162.0222
140.000000 140.690 162.0182
143.000000 140.611 161.8533
145.000000 140.545 162.0628
147.500000 140.457 162.0550
150.000000 140.389 161.8387
152.500000 140.304 162.0233
155.000000 140.244 162.0880
157.500000 140.193 162.2050
160.000000 140.109 162.0964
162.500000 140.054 162.1946
165.000000 139.969 162.2268
167.500000 139.920 162.3748
170.000000 139.854 162.4043
172.500000 139.788 162.5336
175.000000 139.733 162.5978
177.500000 139.679 162.6912
180.000000 139.623 162.7858
182.500000 139.579 162.8771
185.000000 139.538 162.6997
187.500000 139.419 162.6267
190.000000 139.349 163.0583
192.500000 139.312 163.3394
195.000000 139.254 163.4729
197.500000 139.203 163.5976
200.000000 139.164 163.7593
203.000000 139.106 163.9509
206.000000 139.046 164.1302
209.000000 138.985 164.2549
212.000000 138.943 164.5013
214.000000 138.886 164.6141
218.000000 138.833 164.8559
220.000000 138.797 165.1089
224.000000 138.725 165.2022
227.000000 138.684 165.4570
230.000000 138.615 165.6582
233.000000 138.587 165.9579
236.000000 138.549 166.0914
240.000000 138.465 166.4243
243.000000 138.444 166.6943
247.000000 138.386 166.8698
250.000000 138.347 167.2015
254.000000 138.314 167.4907
258.000000 138.263 167.6888
262.000000 138.201 168.0449
265.000000 138.144 168.2884
269.000000 138.086 168.5228
272.000000 138.062 168.6881
276.000000 138.020 169.0706
280.000000 137.982 169.3893
285.000000 137.926 169.6987
290.000000 137.859 170.1483
295.000000 137.813 170.5040
300.000000 137.771 170.8542
304.000000 137.734 171.1813
307.000000 137.711 171.4263
311.000000 137.670 171.7251
315.000000 137.638 172.0573
320.000000 137.593 172.4552
325.000000 137.551 172.8010
330.000000 137.525 173.2003
335.000000 137.485 173.6252
340.000000 137.439 173.9167
345.000000 137.410 174.3453
350.000000 137.373 174.7446
355.000000 137.345 175.1847
360.000000 137.304 175.5121
365.000000 137.269 175.9003
370.000000 137.260 176.2713
375.000000 137.229 176.6840
382.000000 137.192 177.2238
387.000000 137.156 177.6035
395.000000 137.117 178.2362
400.000000 137.099 178.6180
406.000000 137.078 179.0887
412.000000 137.045 179.5396
418.000000 137.012 -179.9651
425.000000 136.988 -179.4830
431.000000 136.974 -179.0230
437.000000 136.947 -178.5784
444.000000 136.929 -178.0234
450.000000 136.900 -177.5990
455.000000 136.885 -177.2328
462.000000 136.871 -176.6585
468.000000 136.847 -176.2267
475.000000 136.835 -175.7018
482.000000 136.814 -175.1568
487.000000 136.806 -174.8091
494.000000 136.784 -174.2428
500.000000 136.772 -173.7923
508.000000 136.761 -173.2439
515.000000 136.749 -172.6420
522.000000 136.741 -172.1160
530.000000 136.722 -171.5257
538.000000 136.718 -170.9145
545.000000 136.714 -170.4115
552.000000 136.707 -169.9015
560.000000 136.695 -169.1367
570.000000 136.692 -168.5506
580.000000 136.679 -167.6935
590.000000 136.674 -166.9551
600.000000 136.680 -166.1842
608.000000 136.677 -165.4935
615.000000 136.671 -164.9161
622.000000 136.685 -164.3929
630.000000 136.683 -163.7884
640.000000 136.694 -162.8930
650.000000 136.712 -162.0551
660.000000 136.730 -161.2738
670.000000 136.731 -160.4599
680.000000 136.750 -159.5130
690.000000 136.792 -158.6941
700.000000 136.818 -157.8293
710.000000 136.852 -156.9464
720.000000 136.902 -156.0733
730.000000 136.940 -155.2225
740.000000 136.990 -154.3378
750.000000 137.055 -153.4986
762.000000 137.140 -152.5168
775.000000 137.226 -151.4854
788.000000 137.317 -150.5143
800.000000 137.418 -149.6142
812.000000 137.517 -148.8244
825.000000 137.619 -147.9914
838.000000 137.743 -147.1568
850.000000 137.835 -146.4449
862.000000 137.937 -145.7329
875.000000 138.052 -145.0003
885.000000 138.135 -144.4339
900.000000 138.270 -143.5942
912.000000 138.387 -142.9798
925.000000 138.510 -142.3384
938.000000 138.626 -141.7027
950.000000 138.744 -141.1151
962.000000 138.870 -140.5685
975.000000 138.996 -140.0410
988.000000 139.128 -139.5129
1000.000000 139.256 -139.0605
1015.000000 139.409 -138.5729
1030.000000 139.557 -138.0970
1044.000000 139.709 -137.6606
1060.000000 139.873 -137.2296
1075.000000 140.029 -136.9208
1090.000000 140.179 -136.5291
1106.000000 140.336 -136.2405
1120.000000 140.481 -135.9700
1138.000000 140.660 -135.6862
1150.000000 140.777 -135.4859
1172.000000 140.989 -135.1692
1180.000000 141.065 -135.0666
1206.000000 141.311 -134.7748
1220.000000 141.443 -134.6530
1241.000000 141.637 -134.4584
1250.000000 141.719 -134.3610
1265.000000 141.863 -134.2551
1280.000000 141.996 -134.1277
1315.000000 142.321 -133.9199
1320.000000 142.368 -133.8811
1340.000000 142.548 -133.7766
1360.000000 142.743 -133.7023
1380.000000 142.932 -133.6536
1400.000000 143.124 -133.5985
1430.000000 143.413 -133.6145
1450.000000 143.607 -133.6281
1475.000000 143.860 -133.7162
1500.000000 144.112 -133.8583
1525.000000 144.372 -134.0892
1550.000000 144.632 -134.3437
1575.000000 144.897 -134.7124
1600.000000 145.168 -135.1582
1625.000000 145.439 -135.6835
1650.000000 145.709 -136.3291
1675.000000 145.983 -137.0608
1700.000000 146.254 -137.9201
1725.000000 146.523 -138.8800
1750.000000 146.783 -139.9997
1775.000000 147.043 -141.2122
1800.000000 147.288 -142.5251
1825.000000 147.522 -143.9701
1850.000000 147.746 -145.5424
1875.000000 147.957 -147.2126
1900.000000 148.150 -148.9976
1925.000000 148.323 -150.8719
1950.000000 148.477 -152.8201
1975.000000 148.608 -154.8401
2000.000000 148.717 -156.9297
2030.000000 148.812 -159.4579
2060.000000 148.871 -162.0002
2090.000000 148.897 -164.5126
2120.000000 148.887 -166.9727
2140.000000 148.862 -168.5626
2180.000000 148.776 -171.5810
2200.000000 148.715 -172.9910
2240.000000 148.569 -175.6284
2270.000000 148.437 -177.4064
2300.000000 148.297 -179.0468
2330.000000 148.145 179.4831
2360.000000 147.991 178.1180
2400.000000 147.767 176.6884
2430.000000 147.577 175.6116
2470.000000 147.391 174.7406
2500.000000 147.250 174.0415
2540.000000 147.065 173.2426
2580.000000 146.894 172.6139
2620.000000 146.729 172.1418
2650.000000 146.622 171.8547
2690.000000 146.487 171.5432
2720.000000 146.395 171.3590
2760.000000 146.290 171.1437
2800.000000 146.199 171.0090
2850.000000 146.103 170.8841
2900.000000 146.034 170.7452
2950.000000 145.986 170.6511
3000.000000 145.961 170.5096
3040.000000 145.950 170.3929
3070.000000 145.950 170.2648
3110.000000 145.967 170.0845
3150.000000 145.993 169.8333
3200.000000 146.032 169.4557
3250.000000 146.088 168.9450
3300.000000 146.152 168.3233
3350.000000 146.226 167.5491
3400.000000 146.303 166.6134
3450.000000 146.377 165.5174
3500.000000 146.446 164.1958
3550.000000 146.503 162.7412
3600.000000 146.539 161.0903
3650.000000 146.552 159.2960
3700.000000 146.532 157.3873
3750.000000 146.490 155.4094
3820.000000 146.348 152.4230
3870.000000 146.191 150.3398
3950.000000 145.856 147.2099
4000.000000 145.590 145.5218
4060.000000 145.233 143.7869
4120.000000 144.839 142.4259
4180.000000 144.422 141.5334
4250.000000 143.924 141.1548
4310.000000 143.510 141.3088
4370.000000 143.129 141.9635
4440.000000 142.734 143.2731
4500.000000 142.475 144.7920
4550.000000 142.316 146.2871
4620.000000 142.207 148.4198
4680.000000 142.226 150.1667
4750.000000 142.389 151.7439
4820.000000 142.653 152.2209
4870.000000 142.871 151.8473
4940.000000 143.113 150.0507
5000.000000 143.207 147.6776
5080.000000 143.104 143.8685
5150.000000 142.800 140.7559
5220.000000 142.345 138.3743
5300.000000 141.712 136.6638
5380.000000 141.059 136.1536
5450.000000 140.505 136.5035
5520.000000 139.984 137.4449
5600.000000 139.438 139.1211
5700.000000 138.862 141.6459
5800.000000 138.363 144.5008
5900.000000 137.947 147.8259
6000.000000 137.618 151.1339
