* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 10, 2024 2:19:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L kinera ignite 261
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 121.212 -134.4143
20.600000 121.259 -135.3826
20.900000 121.298 -136.2531
21.200001 121.336 -137.1123
21.400000 121.361 -137.6810
21.799999 121.413 -138.8072
22.000000 121.439 -139.3626
22.400000 121.491 -140.4516
22.700001 121.529 -141.2462
23.000000 121.565 -142.0222
23.299999 121.598 -142.7830
23.600000 121.628 -143.5312
24.000000 121.662 -144.5095
24.299999 121.683 -145.2257
24.700001 121.709 -146.1523
25.000000 121.728 -146.8256
25.400000 121.754 -147.7005
25.799999 121.782 -148.5620
26.200001 121.809 -149.4185
26.500000 121.827 -150.0560
26.900000 121.848 -150.8918
27.200001 121.862 -151.5034
27.600000 121.879 -152.2989
28.000000 121.896 -153.0804
28.500000 121.916 -154.0503
29.000000 121.931 -155.0031
29.500000 121.942 -155.9120
30.000000 121.951 -156.7690
30.400000 121.958 -157.4362
30.700001 121.964 -157.9381
31.100000 121.968 -158.6142
31.500000 121.969 -159.2873
32.000000 121.966 -160.0978
32.500000 121.964 -160.8664
33.000000 121.968 -161.6200
33.500000 121.972 -162.3813
34.000000 121.972 -163.1345
34.500000 121.967 -163.8470
35.000000 121.961 -164.5165
35.500000 121.958 -165.1736
36.000000 121.953 -165.8381
36.500000 121.945 -166.4967
37.000000 121.935 -167.1296
37.500000 121.925 -167.7433
38.200001 121.910 -168.6051
38.700001 121.895 -169.2164
39.500000 121.868 -170.1315
40.000000 121.855 -170.6688
40.599998 121.842 -171.3054
41.200001 121.829 -171.9375
41.799999 121.811 -172.5587
42.500000 121.785 -173.2740
43.099998 121.758 -173.8777
43.700001 121.733 -174.4618
44.400002 121.709 -175.1211
45.000000 121.691 -175.6761
45.500000 121.675 -176.1263
46.200001 121.646 -176.7232
46.799999 121.618 -177.2057
47.500000 121.587 -177.7663
48.200001 121.556 -178.3494
48.700001 121.533 -178.7628
49.400002 121.499 -179.2894
50.000000 121.474 -179.6979
50.799999 121.443 179.7364
51.500000 121.408 179.2250
52.200001 121.368 178.7622
53.000000 121.334 178.2397
53.799999 121.300 177.6443
54.500000 121.260 177.1470
55.200001 121.219 176.7427
56.000000 121.179 176.3419
57.000000 121.140 175.7903
58.000000 121.096 175.1435
59.000000 121.042 174.5719
60.000000 120.996 174.1154
60.799999 120.960 173.7332
61.500000 120.924 173.3889
62.200001 120.886 173.0561
63.000000 120.845 172.6694
64.000000 120.788 172.1699
65.000000 120.730 171.7662
66.000000 120.690 171.3768
67.000000 120.641 170.9344
68.000000 120.587 170.6002
69.000000 120.547 170.2201
70.000000 120.499 169.8086
71.000000 120.440 169.4897
72.000000 120.384 169.1969
73.000000 120.338 168.8224
74.000000 120.287 168.4701
75.000000 120.234 168.2456
76.199997 120.179 167.9043
77.500000 120.123 167.4320
78.800003 120.060 167.2322
80.000000 119.998 166.8911
81.199997 119.928 166.5481
82.500000 119.883 166.2808
83.800003 119.823 166.0760
85.000000 119.757 165.7771
86.199997 119.703 165.5692
87.500000 119.657 165.3249
88.500000 119.601 165.2047
90.000000 119.527 164.9348
91.199997 119.467 164.7106
92.500000 119.399 164.4866
93.800003 119.349 164.0580
95.000000 119.337 163.9251
96.199997 119.268 164.0677
97.500000 119.171 163.8387
98.800003 119.146 163.3380
100.000000 119.107 163.4200
101.500000 119.005 163.3587
103.000000 118.967 163.0088
104.400002 118.931 162.9868
106.000000 118.839 162.9156
107.500000 118.779 162.7598
109.000000 118.713 162.6068
110.599998 118.658 162.5966
112.000000 118.613 162.4353
113.800003 118.557 162.3109
115.000000 118.503 162.2858
117.199997 118.423 162.2043
118.000000 118.395 162.1939
120.599998 118.298 162.1542
122.000000 118.232 162.1187
124.099998 118.181 161.9466
125.000000 118.147 161.9267
126.500000 118.089 161.9396
128.000000 118.052 162.0606
131.500000 117.944 161.8025
132.000000 117.932 161.7701
134.000000 117.849 161.9210
136.000000 117.789 161.9510
138.000000 117.721 161.9028
140.000000 117.668 161.8646
143.000000 117.587 161.9754
145.000000 117.516 161.9923
147.500000 117.438 162.1201
150.000000 117.381 162.1394
152.500000 117.312 162.1306
155.000000 117.246 162.2100
157.500000 117.198 162.3713
160.000000 117.128 162.4346
162.500000 117.075 162.5867
165.000000 116.995 162.6655
167.500000 116.944 162.6787
170.000000 116.878 162.9033
172.500000 116.826 162.9585
175.000000 116.752 163.1359
177.500000 116.728 163.1786
180.000000 116.679 163.5482
182.500000 116.604 163.5970
185.000000 116.564 163.7375
187.500000 116.516 163.8494
190.000000 116.483 164.0882
192.500000 116.442 164.2091
195.000000 116.369 164.6467
197.500000 116.354 164.5115
200.000000 116.251 164.5761
203.000000 116.206 164.9584
206.000000 116.186 164.9532
209.000000 116.127 165.2611
212.000000 116.062 165.5241
214.000000 116.043 165.5748
218.000000 115.991 165.9200
220.000000 115.951 166.0789
224.000000 115.892 166.4475
227.000000 115.859 166.6460
230.000000 115.841 166.7732
233.000000 115.776 167.0464
236.000000 115.731 167.4063
240.000000 115.691 167.5282
243.000000 115.660 167.9238
247.000000 115.605 168.0679
250.000000 115.567 168.3581
254.000000 115.513 168.6076
258.000000 115.498 168.9688
262.000000 115.447 169.3718
265.000000 115.404 169.4694
269.000000 115.358 169.7211
272.000000 115.321 170.0467
276.000000 115.328 170.5478
280.000000 115.267 170.8219
285.000000 115.220 171.1273
290.000000 115.177 171.4703
295.000000 115.137 171.8812
300.000000 115.093 172.4556
304.000000 115.074 172.4960
307.000000 115.033 172.7292
311.000000 115.008 173.0584
315.000000 114.979 173.3530
320.000000 114.968 173.7436
325.000000 114.952 174.2796
330.000000 114.911 174.7290
335.000000 114.852 174.9475
340.000000 114.837 175.1629
345.000000 114.809 175.5472
350.000000 114.798 176.0624
355.000000 114.765 176.5485
360.000000 114.723 176.7662
365.000000 114.682 177.2797
370.000000 114.693 177.7438
375.000000 114.673 177.8562
382.000000 114.642 178.4971
387.000000 114.617 178.9255
395.000000 114.600 179.5504
400.000000 114.590 179.8602
406.000000 114.567 -179.7674
412.000000 114.542 -179.2638
418.000000 114.538 -178.6601
425.000000 114.504 -178.3901
431.000000 114.499 -177.9142
437.000000 114.476 -177.5396
444.000000 114.473 -176.9778
450.000000 114.452 -176.6018
455.000000 114.456 -176.3039
462.000000 114.420 -175.8399
468.000000 114.428 -175.3072
475.000000 114.413 -174.8108
482.000000 114.411 -174.3590
487.000000 114.395 -174.0387
494.000000 114.405 -173.4019
500.000000 114.372 -172.9993
508.000000 114.355 -172.3217
515.000000 114.361 -171.9013
522.000000 114.386 -171.5881
530.000000 114.367 -171.1245
538.000000 114.366 -170.5150
545.000000 114.385 -170.0339
552.000000 114.336 -169.4105
560.000000 114.360 -169.0203
570.000000 114.370 -168.3164
580.000000 114.374 -167.5167
590.000000 114.370 -166.7319
600.000000 114.373 -166.1241
608.000000 114.376 -165.7616
615.000000 114.386 -165.4415
622.000000 114.387 -164.7979
630.000000 114.422 -164.2942
640.000000 114.417 -163.4548
650.000000 114.449 -162.9314
660.000000 114.468 -162.2335
670.000000 114.483 -161.5433
680.000000 114.524 -160.8679
690.000000 114.496 -160.3610
700.000000 114.525 -159.5500
710.000000 114.546 -158.8602
720.000000 114.604 -158.2433
730.000000 114.606 -157.5526
740.000000 114.643 -156.7478
750.000000 114.696 -156.2135
762.000000 114.714 -155.3552
775.000000 114.790 -154.5521
788.000000 114.851 -153.7198
800.000000 114.901 -153.0748
812.000000 114.950 -152.0333
825.000000 115.010 -151.2623
838.000000 115.078 -150.3768
850.000000 115.129 -149.6452
862.000000 115.214 -148.9737
875.000000 115.305 -148.2215
885.000000 115.373 -147.4936
900.000000 115.463 -146.8185
912.000000 115.561 -146.0728
925.000000 115.648 -145.4753
938.000000 115.765 -144.7608
950.000000 115.841 -144.0142
962.000000 115.929 -143.5345
975.000000 116.019 -142.8612
988.000000 116.156 -142.4887
1000.000000 116.204 -141.5598
1015.000000 116.374 -141.4979
1030.000000 116.565 -140.7761
1044.000000 116.651 -140.2760
1060.000000 116.771 -139.5910
1075.000000 116.918 -139.2268
1090.000000 117.019 -138.8448
1106.000000 117.170 -138.5968
1120.000000 117.268 -138.0859
1138.000000 117.425 -137.7078
1150.000000 117.512 -137.3288
1172.000000 117.679 -136.8731
1180.000000 117.728 -136.5747
1206.000000 117.923 -135.7741
1220.000000 118.055 -135.2385
1241.000000 118.308 -134.3402
1250.000000 118.436 -134.2460
1265.000000 118.641 -134.3715
1280.000000 118.797 -134.5407
1315.000000 119.051 -134.6842
1320.000000 119.074 -134.6462
1340.000000 119.213 -134.4816
1360.000000 119.388 -134.4024
1380.000000 119.603 -134.2210
1400.000000 119.770 -134.1116
1430.000000 120.016 -134.1704
1450.000000 120.244 -134.2770
1475.000000 120.453 -134.9048
1500.000000 120.688 -135.1530
1525.000000 120.836 -135.8258
1550.000000 121.000 -136.4649
1575.000000 121.175 -136.8810
1600.000000 121.326 -137.2938
1625.000000 121.470 -137.9513
1650.000000 121.606 -138.3183
1675.000000 121.745 -138.7632
1700.000000 121.888 -139.1856
1725.000000 122.044 -139.6707
1750.000000 122.168 -140.2672
1775.000000 122.301 -140.7439
1800.000000 122.445 -141.2641
1825.000000 122.565 -141.8744
1850.000000 122.704 -142.5513
1875.000000 122.795 -143.1514
1900.000000 122.949 -143.8104
1925.000000 123.051 -144.4883
1950.000000 123.173 -145.3097
1975.000000 123.268 -146.1050
2000.000000 123.348 -147.0493
2030.000000 123.479 -147.8049
2060.000000 123.578 -148.8230
2090.000000 123.676 -149.9262
2120.000000 123.766 -150.9054
2140.000000 123.802 -151.6358
2180.000000 123.880 -153.0006
2200.000000 123.914 -153.8000
2240.000000 123.978 -155.1150
2270.000000 124.004 -156.1523
2300.000000 124.024 -157.1411
2330.000000 124.049 -158.0821
2360.000000 124.060 -158.9746
2400.000000 124.058 -160.1874
2430.000000 124.063 -161.0622
2470.000000 124.041 -162.1461
2500.000000 124.039 -162.9542
2540.000000 124.019 -163.7912
2580.000000 123.971 -164.6833
2620.000000 123.958 -165.5858
2650.000000 123.958 -166.2295
2690.000000 123.934 -166.8975
2720.000000 123.929 -167.3776
2760.000000 123.889 -168.1115
2800.000000 123.885 -168.7469
2850.000000 123.855 -169.5550
2900.000000 123.858 -170.2760
2950.000000 123.852 -170.9943
3000.000000 123.846 -171.9321
3040.000000 123.862 -172.4165
3070.000000 123.884 -172.9422
3110.000000 123.886 -173.5288
3150.000000 123.914 -174.4061
3200.000000 123.921 -175.2656
3250.000000 123.947 -176.2738
3300.000000 123.972 -177.5609
3350.000000 123.981 -178.7392
3400.000000 123.962 179.8386
3450.000000 123.956 178.5716
3500.000000 123.922 176.9424
3550.000000 123.850 175.4294
3600.000000 123.738 173.8294
3650.000000 123.618 172.1897
3700.000000 123.467 170.5712
3750.000000 123.285 168.9706
3820.000000 122.948 167.3210
3870.000000 122.670 166.1213
3950.000000 122.216 165.0564
4000.000000 121.870 164.5098
4060.000000 121.483 164.8231
4120.000000 121.109 165.3816
4180.000000 120.781 166.4867
4250.000000 120.439 168.4081
4310.000000 120.258 170.6315
4370.000000 120.176 173.0388
4440.000000 120.241 175.8484
4500.000000 120.499 177.8069
4550.000000 120.767 179.0908
4620.000000 121.271 179.1852
4680.000000 121.725 178.0665
4750.000000 122.106 174.9184
4820.000000 122.267 170.8375
4870.000000 122.217 167.3825
4940.000000 121.916 163.0208
5000.000000 121.487 160.2578
5080.000000 120.772 157.6800
5150.000000 120.121 156.5762
5220.000000 119.468 156.5318
5300.000000 118.778 157.4018
5380.000000 118.119 158.9316
5450.000000 117.653 161.3848
5520.000000 117.224 163.8747
5600.000000 117.048 166.8395
5700.000000 116.641 168.6760
5800.000000 116.208 172.1286
5900.000000 115.878 175.8497
