* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Kiwi Ears Cadenza Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 6:23:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Kiwi Ears Cadenza Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Kiwi Ears Cadenza Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	67.053	-67.8571
1.015000	66.875	-68.8014
1.030000	66.688	-69.7325
1.044000	66.507	-70.5887
1.060000	66.291	-71.5508
1.075000	66.078	-72.4358
1.090000	65.856	-73.3034
1.106000	65.608	-74.2329
1.120000	65.377	-75.1819
1.138000	65.064	-76.5967
1.150000	64.845	-77.6425
1.172000	64.425	-79.7256
1.180000	64.266	-80.5241
1.206000	63.734	-83.2102
1.220000	63.437	-84.6816
1.241000	62.981	-86.8673
1.250000	62.783	-87.7818
1.265000	62.448	-89.2565
1.280000	62.109	-90.6482
1.315000	61.311	-93.4351
1.320000	61.197	-93.7673
1.340000	60.740	-94.8946
1.360000	60.285	-95.6562
1.380000	59.835	-95.9939
1.400000	59.393	-95.8496
1.430000	58.750	-94.6018
1.450000	58.337	-92.9976
1.475000	57.836	-89.9800
1.500000	57.289	-85.4777
1.525000	56.694	-79.6079
1.550000	56.066	-72.5961
1.575000	55.420	-64.6675
1.600000	54.771	-56.0475
1.625000	54.135	-46.9614
1.650000	53.527	-37.6346
1.675000	52.961	-28.2923
1.700000	52.454	-19.1599
1.725000	52.021	-10.4627
1.750000	51.676	-2.4261
1.775000	51.435	4.7246
1.800000	51.313	10.7641
1.825000	51.326	15.4671
1.850000	51.496	18.8238
1.875000	51.837	21.2832
1.900000	52.328	22.9520
1.925000	52.947	23.9180
1.950000	53.669	24.2691
1.975000	54.474	24.0929
2.000000	55.338	23.4774
2.030000	56.420	22.2825
2.060000	57.516	20.7330
2.090000	58.586	18.9806
2.120000	59.591	17.1771
2.140000	60.205	16.0213
2.180000	61.249	14.0236
2.200000	61.655	13.2685
2.240000	62.328	11.6752
2.270000	62.755	10.2347
2.300000	63.124	8.6179
2.330000	63.441	6.8554
2.360000	63.716	4.9778
2.400000	64.029	2.3481
2.430000	64.233	0.3209
2.470000	64.480	-2.3971
2.500000	64.657	-4.4072
2.540000	64.894	-6.9913
2.580000	65.146	-9.4221
2.620000	65.373	-11.8461
2.650000	65.522	-13.6801
2.690000	65.697	-16.1365
2.720000	65.811	-17.9803
2.760000	65.944	-20.4305
2.800000	66.059	-22.8598
2.850000	66.182	-25.8476
2.900000	66.291	-28.7583
2.950000	66.389	-31.5766
3.000000	66.463	-34.3645
3.040000	66.504	-36.5722
3.070000	66.525	-38.2072
3.110000	66.542	-40.3503
3.150000	66.548	-42.4405
3.200000	66.543	-44.9612
3.250000	66.529	-47.3586
3.300000	66.509	-49.6104
3.350000	66.474	-51.7506
3.400000	66.420	-53.8024
3.450000	66.351	-55.7487
3.500000	66.275	-57.5727
3.550000	66.196	-59.2574
3.600000	66.120	-60.7860
3.650000	66.052	-62.1415
3.700000	65.991	-63.3049
3.750000	65.920	-64.2757
3.820000	65.819	-65.3558
3.870000	65.753	-65.9608
3.950000	65.681	-66.7068
4.000000	65.666	-67.0717
4.060000	65.687	-67.4090
4.120000	65.741	-67.4971
4.180000	65.822	-67.4004
4.250000	65.950	-67.1836
4.310000	66.087	-67.0196
4.370000	66.246	-66.9781
4.440000	66.467	-67.1378
4.500000	66.697	-67.3235
4.550000	66.909	-67.5193
