* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Kiwi Ears Dolce Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 6:14:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Kiwi Ears Dolce Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Kiwi Ears Dolce Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	63.751	126.2711
1.015000	63.594	125.3863
1.030000	63.432	124.4892
1.044000	63.276	123.6398
1.060000	63.093	122.6539
1.075000	62.916	121.7139
1.090000	62.734	120.7576
1.106000	62.533	119.7269
1.120000	62.354	118.8605
1.138000	62.118	117.7989
1.150000	61.958	117.1178
1.172000	61.657	115.9100
1.180000	61.546	115.4800
1.206000	61.176	114.0981
1.220000	60.972	113.3535
1.241000	60.659	112.2191
1.250000	60.522	111.7221
1.265000	60.290	110.8729
1.280000	60.055	109.9911
1.315000	59.488	107.7642
1.320000	59.405	107.4225
1.340000	59.068	105.9855
1.360000	58.723	104.4226
1.380000	58.371	102.7156
1.400000	58.009	100.8462
1.430000	57.452	97.6982
1.450000	57.070	95.3436
1.475000	56.575	92.0814
1.500000	56.014	88.4627
1.525000	55.389	84.5203
1.550000	54.715	80.2897
1.575000	54.007	75.8062
1.600000	53.279	71.1051
1.625000	52.546	66.2217
1.650000	51.824	61.1914
1.675000	51.125	56.0494
1.700000	50.467	50.8312
1.725000	49.863	45.5721
1.750000	49.327	40.3073
1.775000	48.875	35.0723
1.800000	48.522	29.9023
1.825000	48.282	24.8327
1.850000	48.167	19.7608
1.875000	48.165	14.4083
1.900000	48.265	8.8255
1.925000	48.453	3.0771
1.950000	48.716	-2.7724
1.975000	49.040	-8.6581
2.000000	49.411	-14.5156
2.030000	49.901	-21.4160
2.060000	50.418	-28.0708
2.090000	50.938	-34.3682
2.120000	51.439	-40.1966
2.140000	51.751	-43.7663
2.180000	52.290	-49.9989
2.200000	52.504	-52.5963
2.240000	52.893	-56.8383
2.270000	53.176	-59.3070
2.300000	53.451	-61.2441
2.330000	53.718	-62.7210
2.360000	53.977	-63.8095
2.400000	54.309	-64.7799
2.430000	54.548	-65.2399
2.470000	54.852	-65.6318
2.500000	55.069	-65.8526
2.540000	55.344	-66.1853
2.580000	55.599	-66.6572
2.620000	55.821	-66.8788
2.650000	55.968	-66.8389
2.690000	56.144	-66.5554
2.720000	56.266	-66.2003
2.760000	56.420	-65.5813
2.800000	56.573	-64.8467
2.850000	56.775	-63.8504
2.900000	57.004	-62.8681
2.950000	57.271	-61.9704
3.000000	57.563	-60.9161
3.040000	57.808	-59.9554
3.070000	57.997	-59.1924
3.110000	58.256	-58.1504
3.150000	58.522	-57.1165
3.200000	58.859	-55.8961
3.250000	59.201	-54.8280
3.300000	59.543	-53.9891
3.350000	59.896	-53.3387
3.400000	60.263	-52.8080
3.450000	60.638	-52.3911
3.500000	61.014	-52.0821
3.550000	61.385	-51.8752
3.600000	61.744	-51.7644
3.650000	62.085	-51.7438
3.700000	62.407	-51.8286
3.750000	62.719	-52.0527
3.820000	63.140	-52.5543
3.870000	63.427	-53.0109
3.950000	63.859	-53.8389
4.000000	64.111	-54.3763
4.060000	64.393	-55.0190
4.120000	64.652	-55.7378
4.180000	64.890	-56.5192
4.250000	65.146	-57.4703
4.310000	65.348	-58.2848
4.370000	65.537	-59.0670
4.440000	65.741	-59.9248
4.500000	65.895	-60.6573
4.550000	66.011	-61.2606
4.620000	66.160	-62.0797
4.680000	66.279	-62.7448
4.750000	66.411	-63.4602
4.820000	66.535	-64.1021
4.870000	66.615	-64.5239
4.940000	66.718	-65.0687
5.000000	66.802	-65.4980
5.080000	66.913	-66.0243
5.150000	67.014	-66.4464
5.220000	67.113	-66.8079
5.300000	67.226	-67.1609
5.380000	67.339	-67.4831
5.450000	67.441	-67.7668
5.520000	67.549	-68.0710
5.600000	67.678	-68.4057
5.700000	67.845	-68.8199
