* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Kiwi Ears Quartet s.10 Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 8:04:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Kiwi Ears Quartet s.10 Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Kiwi Ears Quartet s.10 Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.594	48.1904
1.015000	62.649	46.4375
1.030000	62.704	44.6976
1.044000	62.756	43.0857
1.060000	62.814	41.2584
1.075000	62.868	39.5602
1.090000	62.922	37.8769
1.106000	62.979	36.0977
1.120000	63.030	34.5522
1.138000	63.096	32.5795
1.150000	63.140	31.2735
1.172000	63.222	28.8982
1.180000	63.252	28.0406
1.206000	63.350	25.2761
1.220000	63.404	23.8020
1.241000	63.484	21.6099
1.250000	63.518	20.6774
1.265000	63.575	19.1328
1.280000	63.633	17.6000
1.315000	63.765	14.0697
1.320000	63.784	13.5707
1.340000	63.858	11.5880
1.360000	63.931	9.6268
1.380000	64.004	7.6871
1.400000	64.075	5.7692
1.430000	64.178	2.9333
1.450000	64.245	1.0702
1.475000	64.325	-1.2276
1.500000	64.405	-3.4905
1.525000	64.483	-5.7190
1.550000	64.560	-7.9132
1.575000	64.636	-10.0734
1.600000	64.710	-12.1999
1.625000	64.783	-14.2929
1.650000	64.854	-16.3528
1.675000	64.923	-18.3799
1.700000	64.990	-20.3743
1.725000	65.055	-22.3365
1.750000	65.117	-24.2666
1.775000	65.176	-26.1649
1.800000	65.233	-28.0318
1.825000	65.287	-29.8675
1.850000	65.338	-31.6721
1.875000	65.387	-33.4452
1.900000	65.433	-35.1866
1.925000	65.476	-36.8962
1.950000	65.517	-38.5738
1.975000	65.556	-40.2192
2.000000	65.592	-41.8322
2.030000	65.633	-43.7249
2.060000	65.671	-45.5704
2.090000	65.706	-47.3685
2.120000	65.739	-49.1188
2.140000	65.759	-50.2590
2.180000	65.796	-52.4749
2.200000	65.813	-53.5505
2.240000	65.842	-55.6380
2.270000	65.858	-57.1483
2.300000	65.871	-58.6111
2.330000	65.880	-60.0264
2.360000	65.887	-61.3940
2.400000	65.893	-63.1433
2.430000	65.897	-64.3995
2.470000	65.901	-66.0000
2.500000	65.904	-67.1444
2.540000	65.909	-68.5956
2.580000	65.917	-69.9592
2.620000	65.921	-71.2200
2.650000	65.922	-72.1001
2.690000	65.920	-73.1932
2.720000	65.919	-73.9572
2.760000	65.919	-74.9085
2.800000	65.921	-75.7904
2.850000	65.932	-76.8082
2.900000	65.955	-77.7473
2.950000	65.992	-78.6145
3.000000	66.038	-79.3428
3.040000	66.080	-79.8322
