* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 14, 2024 3:49:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R SINGOLO Mar 14
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 143.802 -154.0657
20.600000 143.815 -154.8708
20.900000 143.823 -155.5910
21.200001 143.831 -156.3075
21.400000 143.838 -156.7877
21.799999 143.852 -157.7521
22.000000 143.859 -158.2325
22.400000 143.871 -159.1762
22.700001 143.879 -159.8591
23.000000 143.885 -160.5172
23.299999 143.890 -161.1553
23.600000 143.894 -161.7809
24.000000 143.896 -162.6062
24.299999 143.896 -163.2215
24.700001 143.893 -164.0316
25.000000 143.889 -164.6240
25.400000 143.885 -165.3870
25.799999 143.884 -166.1236
26.200001 143.885 -166.8486
26.500000 143.887 -167.3932
26.900000 143.885 -168.1224
27.200001 143.881 -168.6649
27.600000 143.870 -169.3688
28.000000 143.856 -170.0385
28.500000 143.840 -170.8329
29.000000 143.828 -171.6111
29.500000 143.819 -172.3978
30.000000 143.806 -173.1839
30.400000 143.791 -173.7927
30.700001 143.778 -174.2312
31.100000 143.761 -174.7943
31.500000 143.743 -175.3438
32.000000 143.720 -176.0283
32.500000 143.696 -176.7151
33.000000 143.671 -177.3938
33.500000 143.648 -178.0556
34.000000 143.627 -178.7021
34.500000 143.607 -179.3395
35.000000 143.586 -179.9670
35.500000 143.562 179.4251
36.000000 143.535 178.8471
36.500000 143.508 178.2959
37.000000 143.481 177.7536
37.500000 143.454 177.2058
38.200001 143.411 176.4507
38.700001 143.379 175.9490
39.500000 143.337 175.1762
40.000000 143.314 174.6558
40.599998 143.278 174.0060
41.200001 143.233 173.4233
41.799999 143.193 172.9340
42.500000 143.160 172.3607
43.099998 143.131 171.7925
43.700001 143.090 171.2140
44.400002 143.037 170.6068
45.000000 142.996 170.1281
45.500000 142.965 169.7303
46.200001 142.921 169.1713
46.799999 142.881 168.6982
47.500000 142.835 168.1531
48.200001 142.790 167.6093
48.700001 142.757 167.2211
49.400002 142.707 166.7057
50.000000 142.662 166.3244
50.799999 142.609 165.8581
51.500000 142.565 165.3957
52.200001 142.514 164.9029
53.000000 142.457 164.3816
53.799999 142.405 163.8754
54.500000 142.357 163.4429
55.200001 142.307 163.0502
56.000000 142.252 162.6133
57.000000 142.183 162.0397
58.000000 142.111 161.4752
59.000000 142.040 160.9659
60.000000 141.972 160.4682
60.799999 141.914 160.0745
61.500000 141.864 159.7696
62.200001 141.819 159.4579
63.000000 141.763 159.0741
64.000000 141.690 158.6319
65.000000 141.623 158.1809
66.000000 141.553 157.7606
67.000000 141.485 157.3726
68.000000 141.412 156.9780
69.000000 141.342 156.5927
70.000000 141.276 156.2135
71.000000 141.210 155.8864
72.000000 141.142 155.5404
73.000000 141.070 155.2042
74.000000 141.003 154.8802
75.000000 140.937 154.5832
76.199997 140.856 154.2141
77.500000 140.763 153.8344
78.800003 140.682 153.4678
80.000000 140.597 153.1637
81.199997 140.519 152.8768
82.500000 140.433 152.5458
83.800003 140.349 152.2240
85.000000 140.267 151.9600
86.199997 140.191 151.6939
87.500000 140.103 151.4124
88.500000 140.039 151.2269
90.000000 139.945 150.9390
91.199997 139.869 150.7098
92.500000 139.785 150.4856
93.800003 139.700 150.2804
95.000000 139.624 150.0782
96.199997 139.550 149.9087
97.500000 139.471 149.7156
98.800003 139.388 149.5421
100.000000 139.318 149.3963
101.500000 139.225 149.2330
103.000000 139.132 149.0142
104.400002 139.049 148.9108
106.000000 138.949 148.7048
107.500000 138.862 148.5942
109.000000 138.770 148.4594
110.599998 138.677 148.3304
112.000000 138.600 148.2543
113.800003 138.491 148.1485
115.000000 138.429 148.0762
117.199997 138.301 147.9818
118.000000 138.254 147.9675
120.599998 138.102 147.8052
122.000000 138.038 147.8157
124.099998 137.919 147.7889
125.000000 137.867 147.7344
126.500000 137.786 147.7458
128.000000 137.711 147.6996
131.500000 137.520 147.7200
132.000000 137.493 147.7322
134.000000 137.387 147.7794
136.000000 137.281 147.8004
138.000000 137.180 147.8749
140.000000 137.082 147.9724
143.000000 136.927 148.0558
145.000000 136.836 148.1727
147.500000 136.713 148.2657
150.000000 136.592 148.4805
152.500000 136.468 148.6267
155.000000 136.350 148.8439
157.500000 136.239 149.0456
160.000000 136.121 149.2882
162.500000 136.017 149.5325
165.000000 135.904 149.8130
167.500000 135.805 150.0827
170.000000 135.700 150.3621
172.500000 135.595 150.6656
175.000000 135.497 151.0022
177.500000 135.394 151.2938
180.000000 135.293 151.6886
182.500000 135.203 152.0219
185.000000 135.102 152.4183
187.500000 135.015 152.7928
190.000000 134.927 153.1868
192.500000 134.842 153.6303
195.000000 134.760 154.0468
197.500000 134.677 154.5018
200.000000 134.599 154.9452
203.000000 134.515 155.5017
206.000000 134.423 156.0636
209.000000 134.342 156.7372
212.000000 134.265 157.3307
214.000000 134.218 157.7240
218.000000 134.117 158.5890
220.000000 134.078 158.9438
224.000000 133.993 159.8545
227.000000 133.941 160.4838
230.000000 133.886 161.1469
233.000000 133.844 161.8357
236.000000 133.798 162.5290
240.000000 133.744 163.3792
243.000000 133.708 164.0062
247.000000 133.671 164.9307
250.000000 133.648 165.5096
254.000000 133.625 166.3895
258.000000 133.613 167.2435
262.000000 133.606 168.1025
265.000000 133.602 168.6414
269.000000 133.603 169.4480
272.000000 133.607 170.1103
276.000000 133.618 170.7870
280.000000 133.637 171.5315
285.000000 133.665 172.3355
290.000000 133.704 173.1342
295.000000 133.747 173.8857
300.000000 133.786 174.5524
304.000000 133.830 175.0808
307.000000 133.854 175.4105
311.000000 133.908 175.8961
315.000000 133.945 176.2560
320.000000 133.990 176.7570
325.000000 134.051 177.1606
330.000000 134.106 177.5179
335.000000 134.155 177.8738
340.000000 134.212 178.1311
345.000000 134.263 178.3542
350.000000 134.315 178.5706
355.000000 134.354 178.7386
360.000000 134.393 178.8983
365.000000 134.433 179.0102
370.000000 134.468 179.1071
375.000000 134.497 179.2057
382.000000 134.539 179.2854
387.000000 134.563 179.3480
395.000000 134.595 179.4084
400.000000 134.617 179.3898
406.000000 134.629 179.4103
412.000000 134.642 179.4722
418.000000 134.651 179.4769
425.000000 134.658 179.4560
431.000000 134.659 179.5481
437.000000 134.656 179.5243
444.000000 134.657 179.5173
450.000000 134.647 179.5969
455.000000 134.638 179.6135
462.000000 134.627 179.6826
468.000000 134.614 179.6912
475.000000 134.601 179.7879
482.000000 134.581 179.8480
487.000000 134.557 179.9533
494.000000 134.544 -179.9550
500.000000 134.522 -179.8898
508.000000 134.501 -179.7525
515.000000 134.471 -179.5990
522.000000 134.448 -179.3968
530.000000 134.419 -179.2765
538.000000 134.391 -179.0594
545.000000 134.364 -178.8636
552.000000 134.342 -178.6940
560.000000 134.317 -178.4863
570.000000 134.269 -178.1169
580.000000 134.240 -177.7864
590.000000 134.209 -177.4572
600.000000 134.166 -177.0735
608.000000 134.145 -176.7566
615.000000 134.120 -176.4863
622.000000 134.101 -176.2414
630.000000 134.067 -175.8757
640.000000 134.053 -175.4168
650.000000 134.017 -174.9672
660.000000 133.992 -174.5245
670.000000 133.972 -174.0077
680.000000 133.935 -173.5827
690.000000 133.930 -173.0986
700.000000 133.914 -172.5607
710.000000 133.904 -172.0977
720.000000 133.876 -171.5426
730.000000 133.875 -171.0830
740.000000 133.868 -170.5181
750.000000 133.862 -170.0157
762.000000 133.859 -169.3355
775.000000 133.859 -168.6140
788.000000 133.861 -167.8938
800.000000 133.875 -167.2848
812.000000 133.890 -166.6063
825.000000 133.904 -165.8397
838.000000 133.928 -165.1734
850.000000 133.952 -164.5237
862.000000 133.988 -163.8410
875.000000 134.022 -163.1300
885.000000 134.053 -162.6182
900.000000 134.105 -161.8873
912.000000 134.155 -161.2214
925.000000 134.205 -160.6196
938.000000 134.258 -159.9972
950.000000 134.309 -159.3863
962.000000 134.372 -158.9597
975.000000 134.444 -158.3971
988.000000 134.501 -157.8941
1000.000000 134.562 -157.4470
1015.000000 134.608 -156.8269
1030.000000 134.676 -155.9099
1044.000000 134.800 -155.1992
1060.000000 134.970 -154.7277
1075.000000 135.096 -154.4769
1090.000000 135.192 -154.2788
1106.000000 135.301 -154.0430
1120.000000 135.373 -153.8630
1138.000000 135.480 -153.6631
1150.000000 135.553 -153.5270
1172.000000 135.674 -153.3034
1180.000000 135.718 -153.2196
1206.000000 135.860 -152.9921
1220.000000 135.929 -152.9296
1241.000000 136.021 -152.7549
1250.000000 136.069 -152.7290
1265.000000 136.138 -152.6588
1280.000000 136.205 -152.6511
1315.000000 136.347 -152.5275
1320.000000 136.367 -152.4877
1340.000000 136.449 -152.4438
1360.000000 136.522 -152.4039
1380.000000 136.599 -152.3276
1400.000000 136.666 -152.2858
1430.000000 136.770 -152.2274
1450.000000 136.836 -152.1824
1475.000000 136.918 -152.1376
1500.000000 136.994 -152.0629
1525.000000 137.073 -151.9678
1550.000000 137.148 -151.9406
1575.000000 137.222 -151.8293
1600.000000 137.296 -151.7643
1625.000000 137.369 -151.6360
1650.000000 137.444 -151.6225
1675.000000 137.528 -151.5593
1700.000000 137.598 -151.5061
1725.000000 137.677 -151.4152
1750.000000 137.753 -151.3405
1775.000000 137.826 -151.3067
1800.000000 137.903 -151.2489
1825.000000 137.987 -151.2210
1850.000000 138.071 -151.1544
1875.000000 138.150 -151.1407
1900.000000 138.222 -151.1385
1925.000000 138.310 -151.1462
1950.000000 138.392 -151.1577
1975.000000 138.475 -151.1540
2000.000000 138.564 -151.2142
2030.000000 138.660 -151.2439
2060.000000 138.764 -151.3504
2090.000000 138.857 -151.4686
2120.000000 138.973 -151.5564
2140.000000 139.035 -151.6265
2180.000000 139.176 -151.8202
2200.000000 139.244 -151.9528
2240.000000 139.380 -152.2300
2270.000000 139.490 -152.4519
2300.000000 139.590 -152.6646
2330.000000 139.696 -152.9418
2360.000000 139.797 -153.2650
2400.000000 139.934 -153.6845
2430.000000 140.041 -154.0387
2470.000000 140.177 -154.5643
2500.000000 140.275 -154.9621
2540.000000 140.405 -155.5784
2580.000000 140.536 -156.1821
2620.000000 140.662 -156.8776
2650.000000 140.753 -157.4153
2690.000000 140.878 -158.1825
2720.000000 140.961 -158.7924
2760.000000 141.078 -159.5891
2800.000000 141.186 -160.4627
2850.000000 141.321 -161.6103
2900.000000 141.440 -162.8312
2950.000000 141.556 -164.0892
3000.000000 141.651 -165.4855
3040.000000 141.725 -166.5267
3070.000000 141.778 -167.3888
3110.000000 141.843 -168.5513
3150.000000 141.900 -169.7413
3200.000000 141.958 -171.2469
3250.000000 142.000 -172.7737
3300.000000 142.037 -174.3435
3350.000000 142.052 -175.9300
3400.000000 142.055 -177.5683
3450.000000 142.047 -179.1594
3500.000000 142.020 179.2610
3550.000000 141.985 177.6535
3600.000000 141.939 176.0109
3650.000000 141.865 174.4630
3700.000000 141.795 172.9481
3750.000000 141.704 171.4684
3820.000000 141.558 169.4291
3870.000000 141.438 168.0267
3950.000000 141.227 165.8743
4000.000000 141.094 164.6980
4060.000000 140.900 163.1958
4120.000000 140.702 161.8283
4180.000000 140.505 160.6021
4250.000000 140.255 159.2905
4310.000000 140.032 158.2262
4370.000000 139.800 157.2812
4440.000000 139.524 156.2817
4500.000000 139.286 155.5656
4550.000000 139.081 154.9648
4620.000000 138.783 154.2867
4680.000000 138.535 153.8423
4750.000000 138.248 153.4281
4820.000000 137.946 153.1317
4870.000000 137.738 152.9427
4940.000000 137.446 152.8375
5000.000000 137.191 152.7536
5080.000000 136.854 152.8717
5150.000000 136.573 153.1097
5220.000000 136.281 153.3273
5300.000000 135.948 153.8214
5380.000000 135.643 154.3740
5450.000000 135.366 155.0363
5520.000000 135.112 155.7322
5600.000000 134.778 156.6452
5700.000000 134.402 158.1052
5800.000000 134.035 159.9676
5900.000000 133.873 162.1438
6000.000000 133.657 163.0255
6080.000000 133.406 163.8547
