* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 12:25:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L FINAL TYPE E 1036
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 136.937 36.2929
20.600000 136.894 35.7299
20.900000 136.831 35.1923
21.200001 136.771 34.6620
21.400000 136.746 34.2972
21.799999 136.740 33.4697
22.000000 136.761 32.9705
22.400000 136.839 31.7467
22.700001 136.909 30.6546
23.000000 136.966 29.4882
23.299999 136.998 28.3464
23.600000 137.000 27.3103
24.000000 136.964 26.1804
24.299999 136.921 25.5280
24.700001 136.862 24.8429
25.000000 136.826 24.3823
25.400000 136.791 23.7463
25.799999 136.768 23.0619
26.200001 136.752 22.3826
26.500000 136.749 21.9089
26.900000 136.761 21.3108
27.200001 136.783 20.8310
27.600000 136.819 20.0562
28.000000 136.844 19.0723
28.500000 136.834 17.6365
29.000000 136.775 16.2253
29.500000 136.693 15.0358
30.000000 136.615 14.0895
30.400000 136.558 13.4544
30.700001 136.516 13.0295
31.100000 136.458 12.5187
31.500000 136.402 12.0455
32.000000 136.343 11.4195
32.500000 136.307 10.6468
33.000000 136.297 9.7042
33.500000 136.316 8.6811
34.000000 136.359 7.7153
34.500000 136.407 6.9383
35.000000 136.434 6.4503
35.500000 136.421 6.2700
36.000000 136.367 6.2575
36.500000 136.278 6.1762
37.000000 136.169 5.8484
37.500000 136.070 5.2602
38.200001 136.016 4.1011
38.700001 136.040 3.0953
39.500000 136.059 1.5935
40.000000 136.023 0.9895
40.599998 135.974 0.3825
41.200001 135.952 -0.7628
41.799999 135.925 -2.4991
42.500000 135.889 -4.1933
43.099998 135.912 -4.6759
43.700001 135.977 -4.6270
44.400002 135.992 -4.4930
45.000000 135.920 -4.3953
45.500000 135.847 -4.3949
46.200001 135.772 -4.6999
46.799999 135.730 -5.1247
47.500000 135.702 -5.6242
48.200001 135.680 -6.5048
48.700001 135.640 -7.5155
49.400002 135.562 -9.1131
50.000000 135.533 -10.2400
50.799999 135.552 -11.1241
51.500000 135.526 -11.1683
52.200001 135.441 -10.6435
53.000000 135.358 -10.3065
53.799999 135.325 -11.0767
54.500000 135.314 -12.2062
55.200001 135.305 -13.0516
56.000000 135.284 -13.5587
57.000000 135.249 -14.1540
58.000000 135.233 -15.0491
59.000000 135.162 -15.2750
60.000000 135.119 -14.9917
60.799999 135.081 -16.0257
61.500000 134.994 -17.2664
62.200001 134.967 -17.9178
63.000000 134.999 -18.5138
64.000000 134.831 -19.0866
65.000000 134.703 -19.0192
66.000000 134.730 -20.0686
67.000000 134.685 -20.3131
68.000000 134.652 -20.3313
69.000000 134.438 -20.7320
70.000000 134.331 -20.4935
71.000000 134.276 -21.2127
72.000000 134.077 -21.5085
73.000000 134.023 -21.8309
74.000000 133.979 -22.7960
75.000000 133.938 -23.1130
76.199997 133.883 -23.7755
77.500000 133.786 -23.9816
78.800003 133.813 -24.1554
80.000000 133.728 -24.4850
81.199997 133.625 -25.2385
82.500000 133.541 -25.8945
83.800003 133.493 -26.1930
85.000000 133.390 -26.6266
86.199997 133.330 -27.3122
87.500000 133.276 -27.7400
88.500000 133.228 -27.7700
90.000000 133.095 -27.8278
91.199997 132.967 -28.2180
92.500000 132.895 -27.5612
93.800003 132.915 -27.7579
95.000000 132.759 -27.9485
96.199997 132.728 -28.4877
97.500000 132.606 -28.5780
98.800003 132.639 -28.8676
100.000000 132.512 -29.5067
101.500000 132.449 -29.5882
103.000000 132.355 -30.5348
104.400002 132.300 -30.6869
106.000000 132.229 -30.8511
107.500000 132.119 -31.0815
109.000000 132.183 -30.8615
110.599998 132.070 -30.6519
112.000000 132.010 -30.6760
113.800003 131.884 -30.8446
115.000000 131.848 -31.1431
117.199997 131.720 -31.3081
118.000000 131.696 -31.1947
120.599998 131.510 -31.0579
122.000000 131.515 -31.6686
124.099998 131.341 -31.6168
125.000000 131.307 -31.6321
126.500000 131.284 -31.6816
128.000000 131.255 -31.5946
131.500000 131.057 -31.2819
132.000000 131.052 -31.1141
134.000000 130.990 -31.4001
136.000000 130.864 -31.5212
138.000000 130.840 -31.6577
140.000000 130.794 -31.5500
143.000000 130.691 -31.5271
145.000000 130.609 -31.4095
147.500000 130.542 -31.5564
150.000000 130.489 -31.5243
152.500000 130.381 -31.5253
155.000000 130.282 -31.5801
157.500000 130.077 -31.1962
160.000000 129.997 -30.3326
162.500000 129.891 -30.1631
165.000000 129.769 -30.0436
167.500000 129.714 -29.4688
170.000000 129.649 -29.7826
172.500000 129.576 -29.8559
175.000000 129.439 -29.9957
177.500000 129.382 -30.0539
180.000000 129.327 -30.0468
182.500000 129.315 -29.2348
185.000000 129.295 -28.9986
187.500000 129.212 -28.1218
190.000000 129.106 -27.8712
192.500000 128.974 -27.8683
195.000000 128.882 -27.5778
197.500000 128.894 -27.6258
200.000000 128.880 -27.5083
203.000000 128.827 -27.2686
206.000000 128.778 -26.8426
209.000000 128.764 -26.9316
212.000000 128.684 -26.2160
214.000000 128.653 -26.1585
218.000000 128.619 -26.0980
220.000000 128.551 -25.8281
224.000000 128.506 -25.4656
227.000000 128.411 -24.7654
230.000000 128.328 -24.6273
233.000000 128.244 -24.3076
236.000000 128.209 -23.7467
240.000000 128.149 -23.3498
243.000000 128.108 -23.2335
247.000000 128.039 -22.4728
250.000000 128.018 -22.5933
254.000000 128.040 -22.5415
258.000000 128.005 -21.9951
262.000000 127.960 -21.7486
265.000000 127.913 -21.5201
269.000000 127.848 -21.0134
272.000000 127.777 -20.5706
276.000000 127.698 -19.9072
280.000000 127.666 -19.3842
285.000000 127.601 -19.0564
290.000000 127.558 -18.5812
295.000000 127.549 -18.1806
300.000000 127.638 -17.9540
304.000000 127.650 -17.8388
307.000000 127.638 -17.8748
311.000000 127.610 -17.6637
315.000000 127.591 -17.2284
320.000000 127.517 -16.5359
325.000000 127.453 -16.1887
330.000000 127.360 -15.4011
335.000000 127.221 -14.9161
340.000000 127.118 -14.4119
345.000000 127.079 -14.1137
350.000000 127.082 -13.6753
355.000000 127.108 -13.3128
360.000000 127.056 -13.1664
365.000000 127.103 -12.9855
370.000000 127.156 -12.7122
375.000000 127.201 -12.3046
382.000000 127.170 -11.9427
387.000000 127.136 -11.5594
395.000000 127.031 -10.9718
400.000000 126.980 -10.3629
406.000000 126.888 -9.7050
412.000000 126.798 -8.9946
418.000000 126.756 -8.5350
425.000000 126.757 -8.3789
431.000000 126.807 -7.8221
437.000000 126.855 -7.6193
444.000000 126.921 -7.6011
450.000000 126.939 -7.1718
455.000000 126.950 -6.9096
462.000000 126.948 -6.2906
468.000000 126.919 -5.7118
475.000000 126.880 -5.2120
482.000000 126.814 -4.7496
487.000000 126.786 -4.4682
494.000000 126.753 -4.0952
500.000000 126.723 -3.5630
508.000000 126.671 -2.9867
515.000000 126.666 -2.6173
522.000000 126.652 -2.0748
530.000000 126.655 -1.7052
538.000000 126.651 -1.3148
545.000000 126.653 -0.7075
552.000000 126.659 -0.3453
560.000000 126.640 0.1980
570.000000 126.630 0.8645
580.000000 126.638 1.5081
590.000000 126.647 2.2050
600.000000 126.653 2.7399
608.000000 126.635 3.1576
615.000000 126.623 3.6079
622.000000 126.625 4.2647
630.000000 126.622 4.7852
640.000000 126.597 5.6177
650.000000 126.628 6.3346
660.000000 126.662 6.8239
670.000000 126.682 7.4529
680.000000 126.683 8.1460
690.000000 126.706 8.9474
700.000000 126.714 9.5744
710.000000 126.701 10.2033
720.000000 126.719 10.7829
730.000000 126.755 11.5064
740.000000 126.767 12.1523
750.000000 126.814 12.7963
762.000000 126.881 13.4085
775.000000 126.930 14.2274
788.000000 126.978 14.9894
800.000000 127.027 15.8762
812.000000 127.053 16.6242
825.000000 127.084 17.3277
838.000000 127.128 18.1432
850.000000 127.161 18.9833
862.000000 127.192 19.7121
875.000000 127.242 20.4464
885.000000 127.295 21.0228
900.000000 127.396 21.9214
912.000000 127.476 22.4274
925.000000 127.571 23.1893
938.000000 127.669 23.7972
950.000000 127.747 24.3585
962.000000 127.839 24.9430
975.000000 127.933 25.5191
988.000000 128.039 26.1125
1000.000000 128.141 26.5131
1015.000000 128.267 27.0187
1030.000000 128.385 27.4909
1044.000000 128.484 27.9064
1060.000000 128.586 28.4840
1075.000000 128.682 28.8317
1090.000000 128.782 29.1956
1106.000000 128.893 29.4612
1120.000000 128.996 29.6933
1138.000000 129.139 30.0261
1150.000000 129.246 30.1552
1172.000000 129.418 30.2859
1180.000000 129.487 30.3417
1206.000000 129.710 30.5672
1220.000000 129.812 30.5726
1241.000000 129.952 30.6045
1250.000000 130.026 30.7241
1265.000000 130.120 30.6429
1280.000000 130.184 30.6189
1315.000000 130.383 30.7013
1320.000000 130.395 30.7214
1340.000000 130.475 30.5470
1360.000000 130.567 30.6343
1380.000000 130.631 30.6366
1400.000000 130.700 30.4175
1430.000000 130.794 30.4581
1450.000000 130.849 30.4446
1475.000000 130.923 30.2562
1500.000000 131.003 30.2791
1525.000000 131.118 30.2959
1550.000000 131.237 30.0367
1575.000000 131.372 29.9732
1600.000000 131.491 30.0123
1625.000000 131.625 29.6571
1650.000000 131.709 29.6205
1675.000000 131.784 29.5572
1700.000000 131.796 29.4472
1725.000000 131.856 29.3567
1750.000000 131.927 29.2997
1775.000000 132.007 29.1134
1800.000000 132.106 28.9531
1825.000000 132.225 28.7903
1850.000000 132.332 28.4781
1875.000000 132.459 28.2157
1900.000000 132.577 28.0290
1925.000000 132.674 27.6457
1950.000000 132.771 27.3635
1975.000000 132.850 27.1561
2000.000000 132.973 26.8094
2030.000000 133.047 26.1404
2060.000000 133.117 25.9542
2090.000000 133.160 25.4590
2120.000000 133.225 24.7634
2140.000000 133.233 24.5954
2180.000000 133.268 24.0565
2200.000000 133.318 23.5976
2240.000000 133.393 22.8695
2270.000000 133.444 22.4760
2300.000000 133.488 22.0258
2330.000000 133.568 21.3207
2360.000000 133.601 20.8533
2400.000000 133.628 20.3940
2430.000000 133.662 19.8654
2470.000000 133.743 19.1476
2500.000000 133.805 18.6454
2540.000000 133.900 17.9000
2580.000000 134.006 16.9358
2620.000000 134.072 16.0402
2650.000000 134.100 15.3199
2690.000000 134.112 14.1902
2720.000000 134.115 13.3287
2760.000000 134.104 12.0600
2800.000000 134.100 10.8983
2850.000000 134.039 9.5093
2900.000000 133.961 8.5254
2950.000000 133.859 7.7700
3000.000000 133.753 7.3368
3040.000000 133.680 7.0411
3070.000000 133.628 6.9774
3110.000000 133.586 6.8825
3150.000000 133.556 6.7226
3200.000000 133.531 6.7373
3250.000000 133.532 6.6895
3300.000000 133.580 6.5844
3350.000000 133.598 6.4914
3400.000000 133.646 6.4405
3450.000000 133.714 6.0544
3500.000000 133.796 5.7412
3550.000000 133.914 5.2346
3600.000000 134.011 4.5118
3650.000000 134.081 3.9375
3700.000000 134.153 2.9891
3750.000000 134.229 2.0409
3820.000000 134.287 0.5883
3870.000000 134.319 -0.5457
3950.000000 134.347 -2.3888
4000.000000 134.341 -3.4310
4060.000000 134.275 -4.6126
4120.000000 134.280 -4.9677
4180.000000 134.546 -6.8062
4250.000000 134.579 -9.9520
4310.000000 134.500 -12.1544
4370.000000 134.374 -14.1086
4440.000000 134.217 -16.5610
4500.000000 134.080 -18.5614
4550.000000 133.939 -20.3314
4620.000000 133.590 -22.3150
4680.000000 133.206 -23.8985
4750.000000 132.802 -25.5469
4820.000000 132.400 -26.8005
4870.000000 132.117 -27.5896
4940.000000 131.712 -28.0997
5000.000000 131.390 -28.6183
5080.000000 130.914 -28.3996
5150.000000 130.520 -28.2023
5220.000000 130.163 -27.6471
5300.000000 129.793 -26.7547
5380.000000 129.481 -25.7010
5450.000000 129.209 -24.6592
5520.000000 128.928 -23.2731
5600.000000 128.609 -21.8952
5700.000000 128.279 -19.7151
5800.000000 128.028 -17.6759
