* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 12:25:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R FINAL TYPE E 1035
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 137.408 35.6400
20.600000 137.399 34.8082
20.900000 137.392 34.1264
21.200001 137.390 33.4625
21.400000 137.390 33.0111
21.799999 137.387 32.0938
22.000000 137.381 31.6373
22.400000 137.361 30.7584
22.700001 137.342 30.1329
23.000000 137.324 29.5160
23.299999 137.306 28.8839
23.600000 137.285 28.2357
24.000000 137.249 27.3803
24.299999 137.216 26.7890
24.700001 137.175 26.0946
25.000000 137.152 25.6133
25.400000 137.135 24.9361
25.799999 137.126 24.1363
26.200001 137.114 23.2301
26.500000 137.105 22.5395
26.900000 137.102 21.6665
27.200001 137.113 21.0486
27.600000 137.146 20.2264
28.000000 137.179 19.3626
28.500000 137.182 18.2941
29.000000 137.136 17.4077
29.500000 137.078 16.6808
30.000000 137.047 15.8260
30.400000 137.038 14.9278
30.700001 137.031 14.1839
31.100000 137.023 13.2715
31.500000 137.023 12.5733
32.000000 137.044 11.9512
32.500000 137.062 11.3399
33.000000 137.026 10.6118
33.500000 136.937 9.9077
34.000000 136.865 9.2929
34.500000 136.866 8.5513
35.000000 136.917 7.5415
35.500000 136.951 6.5402
36.000000 136.941 5.9662
36.500000 136.915 5.8252
37.000000 136.891 5.6293
37.500000 136.842 4.9772
38.200001 136.701 3.5651
38.700001 136.603 2.7061
39.500000 136.564 1.8266
40.000000 136.575 1.3975
40.599998 136.564 0.9459
41.200001 136.532 0.4283
41.799999 136.500 -0.4107
42.500000 136.463 -1.6513
43.099998 136.449 -2.4477
43.700001 136.469 -2.9257
44.400002 136.478 -3.4288
45.000000 136.422 -3.8912
45.500000 136.349 -4.2511
46.200001 136.267 -4.8588
46.799999 136.222 -5.5493
47.500000 136.178 -6.2287
48.200001 136.162 -6.6384
48.700001 136.161 -6.9832
49.400002 136.128 -7.6970
50.000000 136.064 -8.3098
50.799999 136.005 -8.9790
51.500000 136.000 -9.6647
52.200001 135.988 -10.4151
53.000000 135.939 -11.0792
53.799999 135.860 -11.5830
54.500000 135.777 -11.9846
55.200001 135.710 -12.4019
56.000000 135.669 -12.9958
57.000000 135.629 -13.7488
58.000000 135.565 -14.4086
59.000000 135.478 -14.9673
60.000000 135.443 -15.5517
60.799999 135.414 -16.1479
61.500000 135.359 -16.4884
62.200001 135.297 -16.6506
63.000000 135.217 -16.8521
64.000000 135.112 -17.1861
65.000000 135.046 -17.7166
66.000000 135.017 -18.4300
67.000000 134.989 -19.2733
68.000000 134.911 -19.9250
69.000000 134.870 -20.3976
70.000000 134.850 -21.2082
71.000000 134.756 -21.7792
72.000000 134.646 -21.7880
73.000000 134.575 -21.9916
74.000000 134.503 -22.5448
75.000000 134.436 -22.9575
76.199997 134.381 -23.3680
77.500000 134.350 -23.9931
78.800003 134.302 -24.4651
80.000000 134.223 -24.5610
81.199997 134.111 -24.8458
82.500000 134.008 -25.2993
83.800003 133.939 -25.6804
85.000000 133.853 -26.3370
86.199997 133.788 -26.9488
87.500000 133.731 -27.3164
88.500000 133.677 -27.4584
90.000000 133.593 -28.3224
91.199997 133.569 -28.5679
92.500000 133.498 -28.2461
93.800003 133.364 -28.1421
95.000000 133.271 -28.7588
96.199997 133.252 -29.0913
97.500000 133.170 -29.1570
98.800003 133.059 -29.3483
100.000000 133.025 -29.7072
101.500000 132.990 -29.9525
103.000000 132.898 -30.3597
104.400002 132.850 -30.8131
106.000000 132.749 -31.0102
107.500000 132.628 -31.3589
109.000000 132.566 -31.6964
110.599998 132.463 -31.6616
112.000000 132.397 -31.7581
113.800003 132.285 -31.7971
115.000000 132.204 -31.7555
117.199997 132.080 -31.5089
118.000000 132.029 -31.6957
120.599998 131.905 -31.8122
122.000000 131.841 -31.8347
124.099998 131.746 -32.2637
125.000000 131.719 -32.4176
126.500000 131.661 -32.5961
128.000000 131.617 -32.8571
131.500000 131.588 -33.0448
132.000000 131.567 -33.0344
134.000000 131.530 -33.0422
136.000000 131.464 -33.0131
138.000000 131.388 -33.2659
140.000000 131.327 -33.1906
143.000000 131.194 -33.2318
145.000000 131.118 -33.2325
147.500000 130.957 -32.8569
150.000000 130.863 -33.0615
152.500000 130.764 -32.8414
155.000000 130.680 -32.6458
157.500000 130.526 -32.4641
160.000000 130.430 -32.2934
162.500000 130.345 -32.2544
165.000000 130.256 -32.4258
167.500000 130.188 -32.4626
170.000000 130.106 -32.3121
172.500000 130.022 -32.3035
175.000000 129.913 -31.9008
177.500000 129.867 -31.6138
180.000000 129.812 -31.3921
182.500000 129.710 -31.2454
185.000000 129.646 -31.1331
187.500000 129.574 -30.9625
190.000000 129.524 -30.8150
192.500000 129.448 -30.8105
195.000000 129.369 -30.5848
197.500000 129.329 -30.5279
200.000000 129.300 -30.3893
203.000000 129.199 -29.9510
206.000000 129.115 -29.6225
209.000000 129.002 -29.4116
212.000000 128.901 -29.2020
214.000000 128.872 -28.9087
218.000000 128.794 -28.4534
220.000000 128.759 -28.3317
224.000000 128.669 -27.8657
227.000000 128.645 -27.8299
230.000000 128.628 -27.7772
233.000000 128.582 -27.5984
236.000000 128.550 -27.4100
240.000000 128.454 -27.3270
243.000000 128.357 -26.8971
247.000000 128.312 -26.0861
250.000000 128.173 -25.6960
254.000000 128.098 -24.7997
258.000000 128.033 -24.5706
262.000000 127.970 -24.1817
265.000000 127.974 -24.1867
269.000000 127.964 -24.1881
272.000000 127.953 -24.2052
276.000000 127.931 -23.7601
280.000000 127.984 -23.1923
285.000000 127.858 -22.7522
290.000000 127.857 -22.1047
295.000000 127.724 -21.6443
300.000000 127.725 -20.9625
304.000000 127.683 -20.6329
307.000000 127.615 -20.5567
311.000000 127.591 -20.2119
315.000000 127.551 -19.8991
320.000000 127.507 -19.5977
325.000000 127.454 -19.1032
330.000000 127.365 -18.7503
335.000000 127.295 -18.1584
340.000000 127.205 -17.5524
345.000000 127.176 -17.2252
350.000000 127.160 -16.8398
355.000000 127.127 -16.4371
360.000000 127.118 -16.1653
365.000000 127.131 -15.8359
370.000000 127.105 -15.4146
375.000000 127.068 -15.1395
382.000000 126.999 -14.5246
387.000000 126.965 -13.9543
395.000000 126.918 -13.1307
400.000000 126.882 -12.6258
406.000000 126.864 -12.3067
412.000000 126.887 -12.0151
418.000000 126.912 -11.7060
425.000000 126.919 -11.2275
431.000000 126.916 -10.8118
437.000000 126.867 -10.3581
444.000000 126.814 -9.7278
450.000000 126.764 -9.1115
455.000000 126.719 -8.7709
462.000000 126.645 -8.1981
468.000000 126.614 -7.7884
475.000000 126.593 -7.1583
482.000000 126.579 -6.7983
487.000000 126.590 -6.4388
494.000000 126.588 -6.0842
500.000000 126.581 -5.7927
508.000000 126.567 -5.0854
515.000000 126.545 -4.4068
522.000000 126.529 -3.8331
530.000000 126.502 -3.2203
538.000000 126.495 -2.6537
545.000000 126.499 -2.1903
552.000000 126.528 -1.8963
560.000000 126.501 -1.5249
570.000000 126.471 -1.2015
580.000000 126.438 -0.6510
590.000000 126.384 0.1375
600.000000 126.350 1.0919
608.000000 126.332 1.6948
615.000000 126.334 2.3553
622.000000 126.356 2.9010
630.000000 126.377 3.2402
640.000000 126.435 3.9730
650.000000 126.483 4.5864
660.000000 126.524 5.1613
670.000000 126.568 5.8773
680.000000 126.581 6.4009
690.000000 126.568 7.1080
700.000000 126.574 7.9254
710.000000 126.539 8.5438
720.000000 126.529 9.2932
730.000000 126.501 9.9450
740.000000 126.506 10.5865
750.000000 126.524 11.3322
762.000000 126.531 12.0572
775.000000 126.584 12.9512
788.000000 126.618 13.7848
800.000000 126.680 14.4958
812.000000 126.735 15.2646
825.000000 126.778 16.0771
838.000000 126.820 16.9277
850.000000 126.844 17.7518
862.000000 126.879 18.5344
875.000000 126.927 19.3176
885.000000 126.984 19.9561
900.000000 127.087 20.7689
912.000000 127.170 21.4039
925.000000 127.264 22.1116
938.000000 127.369 22.7321
950.000000 127.454 23.3898
962.000000 127.556 23.9954
975.000000 127.650 24.6045
988.000000 127.779 25.1746
1000.000000 127.896 25.5792
1015.000000 128.020 26.1137
1030.000000 128.147 26.5714
1044.000000 128.241 27.0881
1060.000000 128.336 27.5795
1075.000000 128.421 27.9638
1090.000000 128.501 28.4430
1106.000000 128.614 28.6990
1120.000000 128.722 28.9933
1138.000000 128.878 29.2725
1150.000000 128.987 29.3257
1172.000000 129.190 29.5671
1180.000000 129.258 29.6073
1206.000000 129.454 29.7251
1220.000000 129.515 29.8643
1241.000000 129.644 30.0345
1250.000000 129.674 30.0635
1265.000000 129.737 29.9964
1280.000000 129.826 30.0337
1315.000000 129.994 30.0618
1320.000000 130.025 30.0990
1340.000000 130.153 30.1150
1360.000000 130.265 30.0541
1380.000000 130.375 29.9516
1400.000000 130.495 30.0516
1430.000000 130.640 29.8845
1450.000000 130.730 29.8447
1475.000000 130.819 29.8417
1500.000000 130.891 29.8033
1525.000000 130.984 29.7731
1550.000000 131.075 29.6821
1575.000000 131.189 29.5918
1600.000000 131.270 29.5002
1625.000000 131.376 29.4480
1650.000000 131.483 29.3812
1675.000000 131.592 29.1999
1700.000000 131.684 29.1223
1725.000000 131.780 28.9825
1750.000000 131.869 28.7878
1775.000000 131.948 28.6498
1800.000000 132.013 28.4997
1825.000000 132.073 28.2964
1850.000000 132.139 28.1336
1875.000000 132.232 27.9101
1900.000000 132.303 27.5737
1925.000000 132.403 27.3706
1950.000000 132.478 27.0944
1975.000000 132.579 26.7603
2000.000000 132.687 26.4033
2030.000000 132.794 26.0098
2060.000000 132.893 25.5985
2090.000000 132.981 25.0923
2120.000000 133.044 24.6313
2140.000000 133.078 24.3219
2180.000000 133.144 23.6672
2200.000000 133.179 23.2763
2240.000000 133.258 22.6532
2270.000000 133.329 22.1064
2300.000000 133.416 21.4227
2330.000000 133.499 20.9041
2360.000000 133.581 20.4447
2400.000000 133.688 19.5434
2430.000000 133.759 18.9882
2470.000000 133.831 18.2291
2500.000000 133.885 17.6073
2540.000000 133.926 16.7999
2580.000000 133.958 16.0296
2620.000000 134.005 15.0343
2650.000000 134.041 14.2979
2690.000000 134.067 13.3172
2720.000000 134.049 12.5035
2760.000000 134.049 11.3632
2800.000000 134.016 10.1294
2850.000000 133.933 8.9526
2900.000000 133.849 7.8154
2950.000000 133.768 6.9515
3000.000000 133.648 6.4478
3040.000000 133.550 6.1664
3070.000000 133.493 6.0013
3110.000000 133.436 5.7533
3150.000000 133.404 5.5668
3200.000000 133.368 5.4337
3250.000000 133.340 5.3322
3300.000000 133.331 5.2379
3350.000000 133.355 5.0416
3400.000000 133.395 4.8224
3450.000000 133.427 4.6349
3500.000000 133.488 4.3041
3550.000000 133.548 3.8640
3600.000000 133.581 3.4470
3650.000000 133.623 2.9243
3700.000000 133.662 2.2356
3750.000000 133.698 1.5456
3820.000000 133.765 0.3989
3870.000000 133.806 -0.4588
3950.000000 133.870 -2.0753
4000.000000 133.902 -2.9203
4060.000000 133.924 -4.2920
4120.000000 133.935 -5.6672
4180.000000 133.909 -6.7697
4250.000000 134.009 -8.5049
4310.000000 133.985 -10.5993
4370.000000 133.886 -12.4788
4440.000000 133.728 -14.6702
4500.000000 133.569 -16.4770
4550.000000 133.401 -17.9925
4620.000000 133.152 -19.9247
4680.000000 132.907 -21.4276
4750.000000 132.595 -22.8440
4820.000000 132.272 -24.1364
4870.000000 132.033 -24.7822
4940.000000 131.677 -25.3554
5000.000000 131.374 -25.7638
5080.000000 130.946 -25.7884
5150.000000 130.555 -25.5111
5220.000000 130.191 -25.0447
5300.000000 129.789 -24.2286
5380.000000 129.333 -22.9605
5450.000000 128.950 -21.8656
5520.000000 128.653 -20.6376
5600.000000 128.389 -18.9748
5700.000000 128.084 -16.8184
5800.000000 127.820 -14.6290
