* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 5, 2024 10:40:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EJ07M KL GUY Mar 5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 142.578 -155.2842
20.600000 142.602 -155.9384
20.900000 142.619 -156.5261
21.200001 142.635 -157.1110
21.400000 142.646 -157.5021
21.799999 142.669 -158.2853
22.000000 142.681 -158.6746
22.400000 142.703 -159.4394
22.700001 142.718 -159.9944
23.000000 142.732 -160.5307
23.299999 142.744 -161.0503
23.600000 142.754 -161.5569
24.000000 142.766 -162.2183
24.299999 142.773 -162.7085
24.700001 142.782 -163.3575
25.000000 142.788 -163.8412
25.400000 142.796 -164.4791
25.799999 142.803 -165.1020
26.200001 142.808 -165.7018
26.500000 142.812 -166.1347
26.900000 142.815 -166.6933
27.200001 142.817 -167.1044
27.600000 142.818 -167.6500
28.000000 142.815 -168.1949
28.500000 142.809 -168.8645
29.000000 142.800 -169.5041
29.500000 142.795 -170.1132
30.000000 142.792 -170.7074
30.400000 142.790 -171.1787
30.700001 142.787 -171.5280
31.100000 142.780 -171.9833
31.500000 142.771 -172.4261
32.000000 142.759 -172.9711
32.500000 142.745 -173.5185
33.000000 142.729 -174.0627
33.500000 142.712 -174.5823
34.000000 142.696 -175.0630
34.500000 142.682 -175.5137
35.000000 142.668 -175.9525
35.500000 142.652 -176.3880
36.000000 142.633 -176.8163
36.500000 142.613 -177.2362
37.000000 142.594 -177.6544
37.500000 142.576 -178.0740
38.200001 142.549 -178.6456
38.700001 142.530 -179.0274
39.500000 142.498 -179.6013
40.000000 142.477 -179.9538
40.599998 142.451 179.6216
41.200001 142.426 179.1979
41.799999 142.400 178.7826
42.500000 142.369 178.3286
43.099998 142.342 177.9751
43.700001 142.316 177.6345
44.400002 142.284 177.2234
45.000000 142.253 176.8662
45.500000 142.229 176.5840
46.200001 142.199 176.2163
46.799999 142.177 175.9089
47.500000 142.146 175.5558
48.200001 142.110 175.2285
48.700001 142.084 175.0017
49.400002 142.052 174.6585
50.000000 142.024 174.3567
50.799999 141.986 174.0338
51.500000 141.957 173.7919
52.200001 141.923 173.4821
53.000000 141.870 173.1282
53.799999 141.842 172.8530
54.500000 141.842 172.5028
55.200001 141.818 172.0878
56.000000 141.752 171.8653
57.000000 141.692 171.7869
58.000000 141.647 171.4360
59.000000 141.601 171.1165
60.000000 141.563 170.8352
60.799999 141.524 170.6174
61.500000 141.491 170.4435
62.200001 141.462 170.2516
63.000000 141.426 170.0430
64.000000 141.378 169.8232
65.000000 141.333 169.5971
66.000000 141.296 169.3663
67.000000 141.254 169.1316
68.000000 141.207 168.9560
69.000000 141.165 168.7544
70.000000 141.123 168.5735
71.000000 141.089 168.4038
72.000000 141.041 168.1868
73.000000 140.994 168.0624
74.000000 140.964 167.9097
75.000000 140.925 167.7367
76.199997 140.874 167.6204
77.500000 140.826 167.3972
78.800003 140.769 167.2700
80.000000 140.732 167.1874
81.199997 140.689 167.0126
82.500000 140.641 166.8174
83.800003 140.583 166.7297
85.000000 140.545 166.6950
86.199997 140.509 166.5939
87.500000 140.464 166.4481
88.500000 140.428 166.3563
90.000000 140.376 166.2784
91.199997 140.337 166.2108
92.500000 140.294 166.0963
93.800003 140.254 166.0306
95.000000 140.217 165.9721
96.199997 140.177 165.9279
97.500000 140.136 165.8748
98.800003 140.096 165.8157
100.000000 140.060 165.7728
101.500000 140.017 165.7066
103.000000 139.978 165.6687
104.400002 139.935 165.6342
106.000000 139.893 165.6028
107.500000 139.853 165.5858
109.000000 139.807 165.5773
110.599998 139.765 165.5535
112.000000 139.733 165.5557
113.800003 139.682 165.5346
115.000000 139.654 165.5167
117.199997 139.597 165.5359
118.000000 139.574 165.5286
120.599998 139.520 165.5078
122.000000 139.489 165.5184
124.099998 139.442 165.5654
125.000000 139.419 165.5810
126.500000 139.385 165.6069
128.000000 139.354 165.5848
131.500000 139.276 165.6622
132.000000 139.265 165.6530
134.000000 139.223 165.7134
136.000000 139.185 165.7713
138.000000 139.140 165.7982
140.000000 139.109 165.8474
143.000000 139.049 165.9159
145.000000 139.016 165.9658
147.500000 138.975 166.0606
150.000000 138.926 166.1337
152.500000 138.882 166.1962
155.000000 138.849 166.2728
157.500000 138.810 166.3489
160.000000 138.768 166.4357
162.500000 138.727 166.5521
165.000000 138.694 166.5755
167.500000 138.656 166.7342
170.000000 138.625 166.8089
172.500000 138.583 166.9104
175.000000 138.552 167.0003
177.500000 138.522 167.1271
180.000000 138.487 167.2099
182.500000 138.453 167.3278
185.000000 138.428 167.3995
187.500000 138.393 167.4971
190.000000 138.365 167.6122
192.500000 138.339 167.7109
195.000000 138.308 167.8243
197.500000 138.279 167.9241
200.000000 138.253 168.0355
203.000000 138.219 168.1512
206.000000 138.191 168.3279
209.000000 138.159 168.4082
212.000000 138.129 168.5445
214.000000 138.109 168.6259
218.000000 138.077 168.8093
220.000000 138.056 168.9062
224.000000 138.014 169.0940
227.000000 137.994 169.1717
230.000000 137.965 169.3123
233.000000 137.941 169.4480
236.000000 137.914 169.5577
240.000000 137.893 169.7992
243.000000 137.855 169.8883
247.000000 137.832 170.0648
250.000000 137.808 170.1851
254.000000 137.776 170.3581
258.000000 137.745 170.5228
262.000000 137.722 170.6933
265.000000 137.698 170.8456
269.000000 137.673 171.0113
272.000000 137.660 171.1270
276.000000 137.625 171.2608
280.000000 137.602 171.4424
285.000000 137.574 171.6574
290.000000 137.542 171.8803
295.000000 137.512 172.0964
300.000000 137.483 172.3120
304.000000 137.461 172.4734
307.000000 137.446 172.5915
311.000000 137.420 172.7756
315.000000 137.400 172.9318
320.000000 137.377 173.1628
325.000000 137.352 173.3455
330.000000 137.323 173.5533
335.000000 137.301 173.7404
340.000000 137.276 173.9342
345.000000 137.250 174.1364
350.000000 137.230 174.3415
355.000000 137.211 174.5563
360.000000 137.188 174.7738
365.000000 137.163 174.9539
370.000000 137.142 175.1732
375.000000 137.122 175.3984
382.000000 137.094 175.6490
387.000000 137.081 175.8421
395.000000 137.045 176.1830
400.000000 137.021 176.4114
406.000000 136.998 176.6120
412.000000 136.977 176.8495
418.000000 136.955 177.1068
425.000000 136.931 177.3897
431.000000 136.906 177.6521
437.000000 136.890 177.8730
444.000000 136.862 178.1583
450.000000 136.841 178.3736
455.000000 136.826 178.6106
462.000000 136.801 178.8886
468.000000 136.779 179.1156
475.000000 136.758 179.4214
482.000000 136.736 179.6852
487.000000 136.722 179.9155
494.000000 136.699 -179.7826
500.000000 136.684 -179.5381
508.000000 136.662 -179.1831
515.000000 136.635 -178.9442
522.000000 136.616 -178.6233
530.000000 136.593 -178.2978
538.000000 136.570 -177.8968
545.000000 136.545 -177.6423
552.000000 136.528 -177.3335
560.000000 136.503 -176.9485
570.000000 136.479 -176.5058
580.000000 136.454 -176.0340
590.000000 136.425 -175.5946
600.000000 136.408 -175.1413
608.000000 136.388 -174.7370
615.000000 136.369 -174.3938
622.000000 136.357 -174.0943
630.000000 136.339 -173.6701
640.000000 136.320 -173.1496
650.000000 136.293 -172.6461
660.000000 136.270 -172.1316
670.000000 136.247 -171.6740
680.000000 136.221 -171.1402
690.000000 136.192 -170.6646
700.000000 136.122 -170.0092
710.000000 136.121 -169.0766
720.000000 136.115 -168.2282
730.000000 136.152 -167.3719
740.000000 136.190 -166.7757
750.000000 136.207 -166.3469
762.000000 136.220 -165.6864
775.000000 136.241 -164.9139
788.000000 136.251 -164.1669
800.000000 136.267 -163.4082
812.000000 136.290 -162.6763
825.000000 136.320 -161.8869
838.000000 136.356 -161.0978
850.000000 136.397 -160.3333
862.000000 136.442 -159.5978
875.000000 136.490 -158.8302
885.000000 136.531 -158.2175
900.000000 136.599 -157.3086
912.000000 136.662 -156.6560
925.000000 136.738 -155.8996
938.000000 136.805 -155.2212
950.000000 136.886 -154.5719
962.000000 136.960 -153.9585
975.000000 137.056 -153.3412
988.000000 137.144 -152.7547
1000.000000 137.236 -152.2176
1015.000000 137.346 -151.6245
1030.000000 137.458 -151.0797
1044.000000 137.566 -150.5641
1060.000000 137.688 -150.0645
1075.000000 137.812 -149.7065
1090.000000 137.932 -149.3265
1106.000000 138.047 -148.9800
1120.000000 138.164 -148.7315
1138.000000 138.301 -148.4296
1150.000000 138.391 -148.3019
1172.000000 138.551 -147.9861
1180.000000 138.609 -147.9521
1206.000000 138.787 -147.7775
1220.000000 138.878 -147.7184
1241.000000 139.010 -147.6180
1250.000000 139.069 -147.6204
1265.000000 139.152 -147.5631
1280.000000 139.241 -147.5446
1315.000000 139.436 -147.5178
1320.000000 139.463 -147.5167
1340.000000 139.561 -147.5103
1360.000000 139.659 -147.5877
1380.000000 139.758 -147.5836
1400.000000 139.848 -147.5824
1430.000000 139.984 -147.6110
1450.000000 140.065 -147.6306
1475.000000 140.168 -147.5858
1500.000000 140.277 -147.6623
1525.000000 140.377 -147.6588
1550.000000 140.476 -147.6659
1575.000000 140.578 -147.6923
1600.000000 140.680 -147.6680
1625.000000 140.782 -147.7171
1650.000000 140.885 -147.6909
1675.000000 140.985 -147.7339
1700.000000 141.088 -147.7358
1725.000000 141.192 -147.8336
1750.000000 141.302 -147.8689
1775.000000 141.407 -147.8975
1800.000000 141.522 -147.9824
1825.000000 141.629 -148.0707
1850.000000 141.742 -148.1736
1875.000000 141.856 -148.3557
1900.000000 141.969 -148.4973
1925.000000 142.085 -148.6883
1950.000000 142.206 -148.8750
1975.000000 142.327 -149.1371
2000.000000 142.445 -149.3952
2030.000000 142.580 -149.7882
2060.000000 142.723 -150.2090
2090.000000 142.872 -150.6607
2120.000000 143.008 -151.2035
2140.000000 143.103 -151.5752
2180.000000 143.287 -152.4248
2200.000000 143.375 -152.8873
2240.000000 143.552 -153.8710
2270.000000 143.678 -154.6642
2300.000000 143.790 -155.5126
2330.000000 143.908 -156.4313
2360.000000 144.013 -157.4060
2400.000000 144.144 -158.7469
2430.000000 144.227 -159.8098
2470.000000 144.324 -161.2758
2500.000000 144.385 -162.4064
2540.000000 144.451 -163.9382
2580.000000 144.505 -165.5072
2620.000000 144.529 -167.0580
2650.000000 144.543 -168.2388
2690.000000 144.540 -169.7886
2720.000000 144.525 -170.9424
2760.000000 144.493 -172.3990
2800.000000 144.444 -173.8603
2850.000000 144.359 -175.5604
2900.000000 144.263 -177.1488
2950.000000 144.145 -178.6396
3000.000000 144.018 -179.9520
3040.000000 143.908 179.0798
3070.000000 143.821 178.4103
3110.000000 143.708 177.5985
3150.000000 143.589 176.9094
3200.000000 143.449 176.0779
3250.000000 143.308 175.3964
3300.000000 143.170 174.7932
3350.000000 143.041 174.2998
3400.000000 142.912 173.8943
3450.000000 142.792 173.5853
3500.000000 142.682 173.3257
3550.000000 142.570 173.1285
3600.000000 142.480 172.9727
3650.000000 142.394 172.8916
3700.000000 142.321 172.8632
3750.000000 142.256 172.9054
3820.000000 142.186 172.9336
3870.000000 142.153 173.0407
3950.000000 142.122 173.1973
4000.000000 142.130 173.3026
4060.000000 142.152 173.4048
4120.000000 142.206 173.4954
4180.000000 142.281 173.4031
4250.000000 142.404 173.2049
4310.000000 142.522 172.8362
4370.000000 142.668 172.2476
4440.000000 142.848 171.2961
4500.000000 143.000 170.1449
4550.000000 143.133 168.9997
4620.000000 143.297 166.9957
4680.000000 143.419 164.9371
4750.000000 143.511 162.1796
4820.000000 143.534 159.0788
4870.000000 143.503 156.6991
4940.000000 143.379 153.2209
5000.000000 143.192 150.2106
5080.000000 142.820 146.4821
5150.000000 142.393 143.6615
5220.000000 141.916 141.4276
5300.000000 141.326 139.5526
5380.000000 140.741 138.2748
5450.000000 140.230 137.5805
5520.000000 139.723 137.2817
5600.000000 139.149 137.3152
5700.000000 138.486 137.8273
5800.000000 137.854 138.8344
5900.000000 137.256 140.2577
6000.000000 136.717 142.0301
6080.000000 136.328 143.6788
