* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 1:39:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L letshuoer orange silicone fo 1075
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.572 32.8808
20.600000 133.613 32.1364
20.900000 133.649 31.3995
21.200001 133.672 30.6108
21.400000 133.680 30.0753
21.799999 133.682 29.0086
22.000000 133.680 28.4833
22.400000 133.679 27.4352
22.700001 133.681 26.6283
23.000000 133.681 25.7994
23.299999 133.675 24.9829
23.600000 133.661 24.2264
24.000000 133.632 23.3778
24.299999 133.612 22.8737
24.700001 133.596 22.3200
25.000000 133.594 21.9178
25.400000 133.598 21.3105
25.799999 133.601 20.5822
26.200001 133.600 19.7475
26.500000 133.597 19.0646
26.900000 133.592 18.0812
27.200001 133.585 17.2932
27.600000 133.564 16.2098
28.000000 133.524 15.1830
28.500000 133.454 14.1454
29.000000 133.391 13.4258
29.500000 133.359 12.8365
30.000000 133.351 12.1133
30.400000 133.344 11.3819
30.700001 133.333 10.7807
31.100000 133.311 9.9906
31.500000 133.286 9.2773
32.000000 133.263 8.5266
32.500000 133.250 7.8893
33.000000 133.240 7.2678
33.500000 133.220 6.5646
34.000000 133.179 5.7322
34.500000 133.117 4.8272
35.000000 133.054 3.9573
35.500000 133.013 3.1736
36.000000 133.002 2.4294
36.500000 132.999 1.6887
37.000000 132.980 1.0037
37.500000 132.942 0.4270
38.200001 132.884 -0.3534
38.700001 132.846 -1.0598
39.500000 132.777 -2.2877
40.000000 132.749 -2.8747
40.599998 132.755 -3.4182
41.200001 132.776 -4.0124
41.799999 132.758 -4.6461
42.500000 132.681 -5.2046
43.099998 132.614 -5.6032
43.700001 132.560 -6.2007
44.400002 132.495 -7.1764
45.000000 132.436 -8.0228
45.500000 132.393 -8.6239
46.200001 132.337 -9.2963
46.799999 132.279 -9.7396
47.500000 132.202 -10.2050
48.200001 132.137 -10.8014
48.700001 132.106 -11.3332
49.400002 132.093 -12.0942
50.000000 132.097 -12.6482
50.799999 132.078 -13.1928
51.500000 132.011 -13.5249
52.200001 131.919 -13.8774
53.000000 131.822 -14.4789
53.799999 131.747 -15.1292
54.500000 131.704 -15.5443
55.200001 131.674 -15.8976
56.000000 131.640 -16.4634
57.000000 131.574 -17.3803
58.000000 131.511 -18.0820
59.000000 131.482 -18.7663
60.000000 131.435 -19.5947
60.799999 131.392 -20.1014
61.500000 131.352 -20.4261
62.200001 131.294 -20.6701
63.000000 131.211 -20.9348
64.000000 131.119 -21.4846
65.000000 131.059 -22.1715
66.000000 131.028 -22.7533
67.000000 130.991 -23.2537
68.000000 130.927 -23.6097
69.000000 130.876 -23.8532
70.000000 130.820 -24.2238
71.000000 130.742 -24.5480
72.000000 130.666 -25.0149
73.000000 130.583 -25.5294
74.000000 130.540 -25.9511
75.000000 130.495 -26.2982
76.199997 130.390 -26.6168
77.500000 130.282 -27.2354
78.800003 130.245 -28.0720
80.000000 130.204 -28.2357
81.199997 130.093 -28.4542
82.500000 129.966 -28.6397
83.800003 129.878 -28.9490
85.000000 129.775 -29.3259
86.199997 129.666 -29.4448
87.500000 129.669 -29.8545
88.500000 129.571 -30.0880
90.000000 129.499 -30.3044
91.199997 129.365 -30.5195
92.500000 129.344 -30.7592
93.800003 129.210 -31.2697
95.000000 129.161 -31.2651
96.199997 129.063 -31.8243
97.500000 128.977 -31.7133
98.800003 128.910 -32.2211
100.000000 128.794 -32.2733
101.500000 128.776 -32.4389
103.000000 128.653 -32.4448
104.400002 128.594 -32.4448
106.000000 128.469 -32.8378
107.500000 128.405 -32.4921
109.000000 128.250 -32.9835
110.599998 128.132 -32.8264
112.000000 128.104 -33.1538
113.800003 127.966 -33.4097
115.000000 127.964 -33.2123
117.199997 127.845 -33.5301
118.000000 127.793 -33.4360
120.599998 127.741 -33.4188
122.000000 127.622 -33.6998
124.099998 127.536 -33.5401
125.000000 127.534 -33.6664
126.500000 127.460 -34.0961
128.000000 127.331 -33.9024
131.500000 127.265 -33.9518
132.000000 127.231 -34.0142
134.000000 127.086 -33.8103
136.000000 127.009 -33.3694
138.000000 126.901 -33.3567
140.000000 126.753 -33.4820
143.000000 126.566 -32.9790
145.000000 126.528 -32.7082
147.500000 126.428 -32.8965
150.000000 126.300 -32.9751
152.500000 126.160 -32.8496
155.000000 126.044 -32.4643
157.500000 125.981 -32.3593
160.000000 125.917 -32.1110
162.500000 125.831 -32.0175
165.000000 125.769 -31.8405
167.500000 125.698 -31.4290
170.000000 125.594 -31.2721
172.500000 125.523 -31.0023
175.000000 125.466 -30.8517
177.500000 125.430 -30.6932
180.000000 125.387 -30.2940
182.500000 125.340 -30.1131
185.000000 125.282 -29.9341
187.500000 125.230 -29.9416
190.000000 125.189 -29.8111
192.500000 125.154 -29.7729
195.000000 125.133 -29.4978
197.500000 125.056 -28.9673
200.000000 124.935 -28.5904
203.000000 124.862 -28.3316
206.000000 124.809 -27.8630
209.000000 124.671 -27.2250
212.000000 124.616 -27.0837
214.000000 124.602 -26.7537
218.000000 124.475 -26.4276
220.000000 124.464 -26.3958
224.000000 124.427 -25.9533
227.000000 124.424 -25.8164
230.000000 124.414 -25.3863
233.000000 124.442 -25.3583
236.000000 124.395 -25.2713
240.000000 124.279 -24.5101
243.000000 124.250 -24.1998
247.000000 124.211 -23.9785
250.000000 124.100 -23.4983
254.000000 124.009 -22.8499
258.000000 123.950 -22.2411
262.000000 123.830 -22.0436
265.000000 123.778 -21.6580
269.000000 123.751 -21.1978
272.000000 123.738 -21.0055
276.000000 123.738 -20.3708
280.000000 123.729 -20.2105
285.000000 123.651 -20.2060
290.000000 123.631 -19.4948
295.000000 123.639 -19.0472
300.000000 123.535 -18.4041
304.000000 123.532 -18.0808
307.000000 123.504 -17.5207
311.000000 123.471 -17.2720
315.000000 123.417 -16.9506
320.000000 123.400 -16.4265
325.000000 123.414 -16.3420
330.000000 123.366 -15.8227
335.000000 123.352 -15.2584
340.000000 123.329 -15.0124
345.000000 123.277 -14.6601
350.000000 123.233 -14.1261
355.000000 123.173 -13.6908
360.000000 123.120 -13.2607
365.000000 123.070 -12.9025
370.000000 123.032 -12.3527
375.000000 122.987 -12.0234
382.000000 122.945 -11.3891
387.000000 122.946 -11.0731
395.000000 122.919 -10.4780
400.000000 122.919 -10.1677
406.000000 122.944 -9.8632
412.000000 122.938 -9.3843
418.000000 122.875 -8.9354
425.000000 122.785 -8.3567
431.000000 122.761 -7.7169
437.000000 122.705 -7.3270
444.000000 122.662 -6.6473
450.000000 122.606 -6.2596
455.000000 122.632 -5.9738
462.000000 122.647 -5.6090
468.000000 122.672 -5.0812
475.000000 122.701 -4.7091
482.000000 122.705 -4.3879
487.000000 122.718 -4.2135
494.000000 122.722 -3.6191
500.000000 122.668 -3.1640
508.000000 122.651 -2.5440
515.000000 122.580 -1.9549
522.000000 122.551 -1.4848
530.000000 122.502 -1.0273
538.000000 122.488 -0.4522
545.000000 122.501 0.0961
552.000000 122.500 0.6075
560.000000 122.508 1.1068
570.000000 122.551 1.7093
580.000000 122.606 2.2269
590.000000 122.626 2.8015
600.000000 122.675 3.4157
608.000000 122.662 4.0076
615.000000 122.677 4.3581
622.000000 122.682 4.9167
630.000000 122.666 5.4844
640.000000 122.669 6.2226
650.000000 122.666 6.8675
660.000000 122.680 7.7442
670.000000 122.658 8.5288
680.000000 122.673 8.9287
690.000000 122.718 9.6611
700.000000 122.753 10.1848
710.000000 122.780 10.6981
720.000000 122.809 11.3677
730.000000 122.849 11.9825
740.000000 122.876 12.5669
750.000000 122.905 13.1391
762.000000 122.930 13.9077
775.000000 122.963 14.6392
788.000000 122.986 15.5175
800.000000 123.028 16.2366
812.000000 123.051 16.8207
825.000000 123.108 17.6543
838.000000 123.167 18.3407
850.000000 123.239 19.0873
862.000000 123.312 19.7257
875.000000 123.394 20.3036
885.000000 123.444 20.8294
900.000000 123.532 21.6283
912.000000 123.616 22.3068
925.000000 123.693 22.7695
938.000000 123.761 23.3955
950.000000 123.821 23.9570
962.000000 123.897 24.4969
975.000000 123.975 24.9861
988.000000 124.038 25.4977
1000.000000 124.134 25.8580
1015.000000 124.192 26.5048
1030.000000 124.289 26.8874
1044.000000 124.369 27.2467
1060.000000 124.467 27.6525
1075.000000 124.583 28.0909
1090.000000 124.690 28.4560
1106.000000 124.819 28.5392
1120.000000 124.931 28.7703
1138.000000 125.054 29.0985
1150.000000 125.107 29.3144
1172.000000 125.238 29.5846
1180.000000 125.286 29.6536
1206.000000 125.439 29.8060
1220.000000 125.524 30.0028
1241.000000 125.655 30.0403
1250.000000 125.716 30.0635
1265.000000 125.816 30.1844
1280.000000 125.909 30.3803
1315.000000 126.124 30.3861
1320.000000 126.167 30.3720
1340.000000 126.288 30.4797
1360.000000 126.399 30.5091
1380.000000 126.503 30.5185
1400.000000 126.583 30.5795
1430.000000 126.700 30.6968
1450.000000 126.764 30.7358
1475.000000 126.871 30.7550
1500.000000 126.979 30.7650
1525.000000 127.091 30.8162
1550.000000 127.199 30.7999
1575.000000 127.306 30.8696
1600.000000 127.414 30.7721
1625.000000 127.511 30.8227
1650.000000 127.615 30.7686
1675.000000 127.685 30.7111
1700.000000 127.745 30.7283
1725.000000 127.796 30.7471
1750.000000 127.861 30.6360
1775.000000 127.942 30.5015
1800.000000 128.011 30.3333
1825.000000 128.078 30.2468
1850.000000 128.149 30.1146
1875.000000 128.235 29.8971
1900.000000 128.323 29.8008
1925.000000 128.420 29.5133
1950.000000 128.508 29.2986
1975.000000 128.609 29.0432
2000.000000 128.710 28.7031
2030.000000 128.798 28.4412
2060.000000 128.876 28.0895
2090.000000 128.929 27.7551
2120.000000 128.999 27.3472
2140.000000 129.037 27.0579
2180.000000 129.136 26.4595
2200.000000 129.184 26.1473
2240.000000 129.280 25.5463
2270.000000 129.362 25.0808
2300.000000 129.450 24.5621
2330.000000 129.527 24.0384
2360.000000 129.582 23.6442
2400.000000 129.629 23.0518
2430.000000 129.690 22.5189
2470.000000 129.774 21.8337
2500.000000 129.823 21.2698
2540.000000 129.854 20.6412
2580.000000 129.906 19.9519
2620.000000 129.963 19.1569
2650.000000 130.018 18.4171
2690.000000 130.026 17.4236
2720.000000 130.018 16.7045
2760.000000 129.967 15.7437
2800.000000 129.923 14.5787
2850.000000 129.869 13.4631
2900.000000 129.792 12.5774
2950.000000 129.722 11.9415
3000.000000 129.667 11.5424
3040.000000 129.585 11.4249
3070.000000 129.558 11.3499
3110.000000 129.523 11.2979
3150.000000 129.491 11.3631
3200.000000 129.496 11.3186
3250.000000 129.521 11.5074
3300.000000 129.558 11.4483
3350.000000 129.629 11.5030
3400.000000 129.664 11.4884
3450.000000 129.683 11.3259
3500.000000 129.727 11.3111
3550.000000 129.835 10.7925
3600.000000 129.906 10.4686
3650.000000 129.937 9.9837
3700.000000 130.031 9.2481
3750.000000 130.124 8.3769
3820.000000 130.304 7.7553
3870.000000 130.481 6.0944
3950.000000 130.456 5.3456
4000.000000 130.440 4.6766
4060.000000 130.459 4.0841
4120.000000 130.484 4.6199
4180.000000 130.759 2.8637
4250.000000 130.786 0.4524
4310.000000 130.751 -1.2214
4370.000000 130.737 -2.6994
4440.000000 130.698 -4.5738
4500.000000 130.633 -6.1294
4550.000000 130.542 -7.4320
4620.000000 130.348 -9.1160
4680.000000 130.145 -10.3584
4750.000000 129.897 -11.7468
4820.000000 129.616 -12.8448
4870.000000 129.388 -13.3559
4940.000000 129.075 -13.8432
5000.000000 128.806 -14.0017
5080.000000 128.476 -13.9377
5150.000000 128.208 -13.5179
5220.000000 127.955 -13.0254
5300.000000 127.663 -11.9906
5380.000000 127.435 -10.9082
5450.000000 127.264 -9.7074
5520.000000 127.140 -8.3633
5600.000000 127.031 -6.7792
5700.000000 126.952 -4.8638
5800.000000 126.900 -2.7927
5900.000000 126.915 -1.0081
