* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 28, 2025 10:53:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L LTD 543
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.430 14.3010
20.600000 83.436 13.8640
20.900000 83.437 13.4724
21.200001 83.438 13.0729
21.400000 83.438 12.7990
21.799999 83.441 12.2400
22.000000 83.442 11.9610
22.400000 83.446 11.4198
22.700001 83.451 11.0363
23.000000 83.456 10.6714
23.299999 83.463 10.3178
23.600000 83.470 9.9688
24.000000 83.478 9.5041
24.299999 83.481 9.1564
24.700001 83.482 8.6985
25.000000 83.481 8.3616
25.400000 83.479 7.9199
25.799999 83.477 7.4841
26.200001 83.475 7.0562
26.500000 83.474 6.7444
26.900000 83.474 6.3434
27.200001 83.475 6.0510
27.600000 83.478 5.6627
28.000000 83.481 5.2670
28.500000 83.479 4.7692
29.000000 83.469 4.3009
29.500000 83.456 3.8822
30.000000 83.446 3.4880
30.400000 83.441 3.1607
30.700001 83.440 2.9010
31.100000 83.439 2.5421
31.500000 83.439 2.1805
32.000000 83.441 1.7334
32.500000 83.443 1.2873
33.000000 83.438 0.8537
33.500000 83.423 0.4708
34.000000 83.404 0.1583
34.500000 83.391 -0.1312
35.000000 83.386 -0.4698
35.500000 83.379 -0.8718
36.000000 83.367 -1.2710
36.500000 83.355 -1.6092
37.000000 83.352 -1.9112
37.500000 83.351 -2.2452
38.200001 83.333 -2.7691
38.700001 83.307 -3.0920
39.500000 83.281 -3.4953
40.000000 83.282 -3.8015
40.599998 83.279 -4.2640
41.200001 83.262 -4.6959
41.799999 83.243 -5.0212
42.500000 83.232 -5.3916
43.099998 83.220 -5.7816
43.700001 83.195 -6.1456
44.400002 83.170 -6.4697
45.000000 83.161 -6.7558
45.500000 83.153 -7.0497
46.200001 83.131 -7.4752
46.799999 83.110 -7.7909
47.500000 83.090 -8.1467
48.200001 83.065 -8.5103
48.700001 83.044 -8.7420
49.400002 83.019 -9.0363
50.000000 83.005 -9.3204
50.799999 82.986 -9.7334
51.500000 82.968 -10.0618
52.200001 82.953 -10.3926
53.000000 82.926 -10.7831
53.799999 82.895 -11.0968
54.500000 82.879 -11.3665
55.200001 82.862 -11.7124
56.000000 82.830 -12.1016
57.000000 82.795 -12.4852
58.000000 82.767 -12.9292
59.000000 82.720 -13.3924
60.000000 82.670 -13.7319
60.799999 82.650 -13.9810
61.500000 82.636 -14.2805
62.200001 82.610 -14.5801
63.000000 82.580 -14.8396
64.000000 82.547 -15.2230
65.000000 82.494 -15.4936
66.000000 82.471 -15.7236
67.000000 82.443 -16.1794
68.000000 82.409 -16.4802
69.000000 82.383 -16.8325
70.000000 82.327 -17.2053
71.000000 82.282 -17.4661
72.000000 82.247 -17.8062
73.000000 82.186 -18.1678
74.000000 82.145 -18.5376
75.000000 82.092 -18.8473
76.199997 82.059 -18.7279
77.500000 81.985 -19.3897
78.800003 82.027 -19.9949
80.000000 81.913 -20.3540
81.199997 81.944 -18.9555
82.500000 81.851 -21.0081
83.800003 81.692 -20.9133
85.000000 81.747 -21.2765
86.199997 81.705 -21.2392
87.500000 81.626 -21.7309
88.500000 81.575 -21.8038
90.000000 81.504 -22.3057
91.199997 81.467 -22.4028
92.500000 81.427 -22.8095
93.800003 81.357 -23.0542
95.000000 81.298 -23.2602
96.199997 81.274 -23.3049
97.500000 81.207 -23.6367
98.800003 81.149 -23.8566
100.000000 81.113 -24.0702
101.500000 81.055 -24.0810
103.000000 80.957 -24.5100
104.400002 80.924 -24.6674
106.000000 80.848 -24.8581
107.500000 80.801 -25.0102
109.000000 80.726 -25.2176
110.599998 80.659 -25.4055
112.000000 80.608 -25.5500
113.800003 80.543 -25.6189
115.000000 80.499 -25.9432
117.199997 80.393 -25.8889
118.000000 80.386 -26.0651
120.599998 80.220 -26.2028
122.000000 80.191 -26.2678
124.099998 80.105 -26.4471
125.000000 80.051 -26.3039
126.500000 80.022 -26.9821
128.000000 80.026 -26.4912
131.500000 79.805 -27.2085
132.000000 79.740 -26.6601
134.000000 79.746 -27.7101
136.000000 79.802 -26.6065
138.000000 79.529 -26.6196
140.000000 79.581 -27.1334
143.000000 79.439 -26.6450
145.000000 79.308 -27.2845
147.500000 79.340 -26.9804
150.000000 79.210 -27.1077
152.500000 79.130 -26.9269
155.000000 78.963 -26.4685
157.500000 79.000 -25.6832
160.000000 79.010 -26.2317
162.500000 78.778 -23.4341
165.000000 78.577 -27.3141
167.500000 78.666 -25.9380
170.000000 78.601 -26.3278
172.500000 78.480 -26.2864
175.000000 78.471 -26.1157
177.500000 78.439 -25.8569
180.000000 78.323 -25.7367
182.500000 78.267 -25.5532
185.000000 78.199 -25.2681
187.500000 78.132 -25.1110
190.000000 78.061 -25.2996
192.500000 78.070 -24.8168
195.000000 77.871 -24.9535
197.500000 77.860 -24.0086
200.000000 77.798 -25.1358
203.000000 77.634 -24.7065
206.000000 77.744 -23.4474
209.000000 77.755 -23.7367
212.000000 77.711 -23.7660
214.000000 77.666 -23.5024
218.000000 77.560 -23.1589
220.000000 77.533 -23.0853
224.000000 77.511 -22.5696
227.000000 77.431 -22.7816
230.000000 77.414 -22.4162
233.000000 77.370 -22.0447
236.000000 77.386 -22.0798
240.000000 77.394 -22.1065
243.000000 77.167 -22.2042
247.000000 77.136 -21.3789
250.000000 77.163 -20.8246
254.000000 77.185 -20.7698
258.000000 77.099 -20.4004
262.000000 77.084 -19.9244
265.000000 76.927 -19.9707
269.000000 76.906 -20.0072
272.000000 76.854 -20.1088
276.000000 77.008 -19.5728
280.000000 76.860 -19.3878
285.000000 76.905 -19.0613
290.000000 76.809 -19.0981
295.000000 76.751 -18.4227
300.000000 76.764 -18.0173
304.000000 76.744 -18.0072
307.000000 76.766 -18.0277
311.000000 76.723 -17.8151
315.000000 76.686 -17.5336
320.000000 76.669 -17.2607
325.000000 76.612 -17.2788
330.000000 76.591 -16.7456
335.000000 76.599 -16.7039
340.000000 76.531 -16.3899
345.000000 76.549 -16.1082
350.000000 76.505 -16.0460
355.000000 76.494 -15.8077
360.000000 76.380 -16.0476
365.000000 76.447 -15.8044
370.000000 76.389 -15.2167
375.000000 76.401 -15.6111
382.000000 76.381 -14.9881
387.000000 76.320 -15.0432
395.000000 76.290 -14.8632
400.000000 76.232 -14.8237
406.000000 76.178 -13.9602
412.000000 76.234 -13.6511
418.000000 76.268 -14.0235
425.000000 76.059 -14.8666
431.000000 76.078 -14.4309
437.000000 76.116 -14.2450
444.000000 75.977 -14.3198
450.000000 76.072 -13.7241
455.000000 75.944 -12.2733
462.000000 76.054 -12.9095
468.000000 76.005 -12.5913
475.000000 76.052 -13.3890
482.000000 75.893 -12.3405
487.000000 75.725 -11.6884
494.000000 75.779 -12.0486
500.000000 75.965 -11.0272
508.000000 75.921 -10.9570
515.000000 75.707 -10.4929
522.000000 75.685 -10.9005
530.000000 75.683 -10.6244
538.000000 75.635 -9.9557
545.000000 75.583 -9.8693
552.000000 75.639 -9.9041
560.000000 75.602 -9.1474
570.000000 75.561 -8.4648
580.000000 75.508 -8.3704
590.000000 75.508 -7.9462
600.000000 75.501 -7.8435
608.000000 75.459 -7.3074
615.000000 75.460 -7.3380
622.000000 75.393 -7.0184
630.000000 75.360 -6.6368
640.000000 75.414 -6.4068
650.000000 75.387 -6.0241
660.000000 75.328 -5.9907
670.000000 75.316 -5.2532
680.000000 75.250 -5.3326
690.000000 75.229 -4.6551
700.000000 75.240 -3.9651
710.000000 75.148 -3.7210
720.000000 75.184 -2.9939
730.000000 75.038 -2.6770
740.000000 75.120 -1.8393
750.000000 75.165 -1.2925
762.000000 74.926 -0.8282
775.000000 75.030 -0.1379
788.000000 75.010 0.9198
800.000000 74.993 1.8848
812.000000 75.025 2.9363
825.000000 74.995 3.7889
838.000000 75.094 4.2122
850.000000 75.145 5.1098
862.000000 75.309 6.2781
875.000000 75.395 7.1761
885.000000 75.464 8.0175
900.000000 75.667 8.8564
912.000000 75.719 9.1873
925.000000 75.829 9.1711
938.000000 75.962 8.9336
950.000000 76.037 9.3496
962.000000 76.163 9.6599
975.000000 76.219 9.2178
988.000000 76.262 9.6363
1000.000000 76.368 8.7418
1015.000000 76.393 9.9508
1030.000000 76.464 9.7782
1044.000000 76.522 10.4109
1060.000000 76.621 10.5526
1075.000000 76.700 10.4138
1090.000000 76.773 10.8424
1106.000000 76.844 10.6024
1120.000000 76.909 10.8615
1138.000000 77.008 10.9193
1150.000000 77.037 11.0260
1172.000000 77.164 10.8041
1180.000000 77.203 11.0466
1206.000000 77.297 11.1226
1220.000000 77.348 10.9068
1241.000000 77.436 11.2489
1250.000000 77.497 11.1473
1265.000000 77.527 11.0509
1280.000000 77.584 11.0204
1315.000000 77.712 11.0822
1320.000000 77.740 10.9633
1340.000000 77.793 11.0659
1360.000000 77.873 11.0855
1380.000000 77.943 10.9687
1400.000000 77.995 10.9673
1430.000000 78.084 11.0021
1450.000000 78.176 11.1020
1475.000000 78.233 11.0339
1500.000000 78.330 11.1019
1525.000000 78.415 11.2228
1550.000000 78.493 11.2893
1575.000000 78.569 11.3211
1600.000000 78.647 11.2558
1625.000000 78.750 11.3592
1650.000000 78.837 11.4456
1675.000000 78.953 11.4907
1700.000000 79.043 11.4378
1725.000000 79.136 11.5725
1750.000000 79.238 11.5627
1775.000000 79.328 11.4558
1800.000000 79.438 11.6000
1825.000000 79.535 11.3752
1850.000000 79.643 11.3065
1875.000000 79.770 11.3338
1900.000000 79.881 11.0453
1925.000000 79.992 11.0899
1950.000000 80.101 10.8322
1975.000000 80.215 10.7475
2000.000000 80.332 10.0829
2030.000000 80.466 10.2465
2060.000000 80.586 9.9743
2090.000000 80.742 9.4841
2120.000000 80.890 9.1305
2140.000000 80.978 8.8604
2180.000000 81.149 8.0401
2200.000000 81.252 7.7206
2240.000000 81.399 7.0650
2270.000000 81.541 6.3549
2300.000000 81.649 5.8485
2330.000000 81.764 5.0680
2360.000000 81.884 4.3103
2400.000000 82.020 3.4012
2430.000000 82.129 2.5825
2470.000000 82.256 1.4344
2500.000000 82.345 0.7200
2540.000000 82.436 -0.4452
2580.000000 82.547 -1.6902
2620.000000 82.614 -2.7951
2650.000000 82.661 -3.7968
2690.000000 82.719 -4.9558
2720.000000 82.761 -5.8797
2760.000000 82.781 -6.9400
2800.000000 82.845 -8.2127
2850.000000 82.842 -9.6707
2900.000000 82.838 -11.0883
2950.000000 82.832 -12.3856
3000.000000 82.825 -13.8866
3040.000000 82.781 -14.6433
3070.000000 82.772 -15.2015
3110.000000 82.750 -16.3380
3150.000000 82.696 -17.1321
3200.000000 82.647 -18.2905
3250.000000 82.595 -19.2063
3300.000000 82.533 -20.1664
3350.000000 82.493 -21.0623
3400.000000 82.452 -22.1512
3450.000000 82.415 -22.9516
3500.000000 82.341 -23.9763
3550.000000 82.274 -25.1053
3600.000000 82.206 -26.0998
3650.000000 82.121 -27.4363
3700.000000 82.019 -28.6549
3750.000000 81.842 -29.8742
3820.000000 81.592 -31.8266
3870.000000 81.342 -32.8189
3950.000000 80.845 -34.4340
4000.000000 80.507 -35.1675
4060.000000 80.092 -34.2222
4120.000000 79.691 -33.2020
4180.000000 79.362 -31.8405
4250.000000 79.126 -29.5834
4310.000000 78.928 -28.0265
4370.000000 78.826 -26.2511
4440.000000 78.781 -24.7375
4500.000000 78.772 -23.3638
4550.000000 78.746 -22.3982
4620.000000 78.713 -20.9618
4680.000000 78.735 -19.8564
4750.000000 78.747 -18.9301
4820.000000 78.727 -17.5322
4870.000000 78.756 -16.9522
4940.000000 78.825 -15.8479
5000.000000 78.953 -15.0160
5080.000000 78.999 -14.4969
5150.000000 79.118 -13.6868
5220.000000 79.192 -13.1273
5300.000000 79.298 -12.9803
5380.000000 79.448 -12.6866
5450.000000 79.556 -12.6137
5520.000000 79.703 -12.9152
