* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 16, 2024 10:37:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L CADENZA 4 Mar 16
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 140.439 -160.1397
20.600000 140.441 -160.7271
20.900000 140.442 -161.2540
21.200001 140.444 -161.8056
21.400000 140.446 -162.1938
21.799999 140.448 -163.0040
22.000000 140.447 -163.4131
22.400000 140.440 -164.2034
22.700001 140.432 -164.7518
23.000000 140.425 -165.2590
23.299999 140.420 -165.7384
23.600000 140.417 -166.2067
24.000000 140.415 -166.8362
24.299999 140.413 -167.3202
24.700001 140.408 -167.9748
25.000000 140.403 -168.4595
25.400000 140.396 -169.0780
25.799999 140.391 -169.6521
26.200001 140.390 -170.1890
26.500000 140.390 -170.5840
26.900000 140.391 -171.1243
27.200001 140.388 -171.5500
27.600000 140.376 -172.1397
28.000000 140.355 -172.7256
28.500000 140.321 -173.4029
29.000000 140.294 -174.0061
29.500000 140.278 -174.5713
30.000000 140.266 -175.1268
30.400000 140.254 -175.5554
30.700001 140.243 -175.8602
31.100000 140.228 -176.2507
31.500000 140.213 -176.6446
32.000000 140.195 -177.1761
32.500000 140.175 -177.7479
33.000000 140.152 -178.3120
33.500000 140.128 -178.8308
34.000000 140.106 -179.3068
34.500000 140.083 -179.7634
35.000000 140.054 179.7845
35.500000 140.022 179.3340
36.000000 139.989 178.8906
36.500000 139.959 178.4677
37.000000 139.936 178.0734
37.500000 139.922 177.6886
38.200001 139.905 177.0980
38.700001 139.883 176.6358
39.500000 139.827 175.9506
40.000000 139.793 175.5909
40.599998 139.763 175.1888
41.200001 139.741 174.7764
41.799999 139.718 174.3513
42.500000 139.684 173.8461
43.099998 139.646 173.4280
43.700001 139.603 173.0706
44.400002 139.560 172.7161
45.000000 139.531 172.3745
45.500000 139.505 172.0325
46.200001 139.458 171.5480
46.799999 139.419 171.2155
47.500000 139.389 170.8919
48.200001 139.362 170.5162
48.700001 139.328 170.2155
49.400002 139.263 169.8550
50.000000 139.216 169.6237
50.799999 139.190 169.2475
51.500000 139.169 168.8246
52.200001 139.129 168.5207
53.000000 139.081 168.3024
53.799999 139.030 167.9330
54.500000 138.975 167.5641
55.200001 138.936 167.2736
56.000000 138.904 166.9124
57.000000 138.826 166.5534
58.000000 138.766 166.3306
59.000000 138.721 165.7907
60.000000 138.644 165.4210
60.799999 138.596 165.2836
61.500000 138.559 165.0505
62.200001 138.513 164.7317
63.000000 138.457 164.4506
64.000000 138.412 164.2874
65.000000 138.366 164.0338
66.000000 138.284 163.7736
67.000000 138.225 163.5222
68.000000 138.174 163.1502
69.000000 138.116 162.9536
70.000000 138.062 162.7498
71.000000 137.990 162.5342
72.000000 137.935 162.3397
73.000000 137.883 162.1226
74.000000 137.828 161.9682
75.000000 137.765 161.7573
76.199997 137.682 161.5308
77.500000 137.606 161.3743
78.800003 137.542 161.2030
80.000000 137.471 160.9820
81.199997 137.412 160.8538
82.500000 137.335 160.7354
83.800003 137.261 160.5621
85.000000 137.190 160.3882
86.199997 137.119 160.3043
87.500000 137.055 160.3297
88.500000 137.010 160.2001
90.000000 136.915 160.0545
91.199997 136.857 159.9955
92.500000 136.796 159.9749
93.800003 136.735 159.9453
95.000000 136.670 159.9006
96.199997 136.614 159.8922
97.500000 136.547 159.8242
98.800003 136.472 159.8893
100.000000 136.417 159.8920
101.500000 136.347 159.8210
103.000000 136.273 159.9039
104.400002 136.211 159.9154
106.000000 136.136 159.9229
107.500000 136.073 159.9983
109.000000 135.997 160.0061
110.599998 135.933 160.1358
112.000000 135.861 160.1667
113.800003 135.792 160.2846
115.000000 135.743 160.3601
117.199997 135.655 160.4759
118.000000 135.631 160.5071
120.599998 135.532 160.6346
122.000000 135.474 160.8618
124.099998 135.381 161.0180
125.000000 135.352 161.0905
126.500000 135.299 161.2375
128.000000 135.253 161.4203
131.500000 135.133 161.8341
132.000000 135.119 161.8665
134.000000 135.051 162.0394
136.000000 134.982 162.2471
138.000000 134.934 162.5449
140.000000 134.853 162.7513
143.000000 134.775 163.1983
145.000000 134.721 163.3746
147.500000 134.662 163.6568
150.000000 134.602 163.9811
152.500000 134.537 164.2564
155.000000 134.486 164.6511
157.500000 134.426 165.0266
160.000000 134.381 165.3330
162.500000 134.313 165.7266
165.000000 134.292 166.0784
167.500000 134.229 166.3433
170.000000 134.188 166.7196
172.500000 134.150 167.1506
175.000000 134.108 167.4647
177.500000 134.068 167.7379
180.000000 134.043 168.0880
182.500000 134.002 168.4807
185.000000 133.969 168.7525
187.500000 133.937 169.1718
190.000000 133.910 169.5003
192.500000 133.889 169.8482
195.000000 133.858 170.1132
197.500000 133.853 170.4905
200.000000 133.827 170.7589
203.000000 133.794 171.2134
206.000000 133.777 171.5293
209.000000 133.756 172.0132
212.000000 133.737 172.3297
214.000000 133.729 172.5460
218.000000 133.705 173.0248
220.000000 133.692 173.2549
224.000000 133.674 173.8381
227.000000 133.668 174.0583
230.000000 133.651 174.4083
233.000000 133.641 174.7567
236.000000 133.639 175.0387
240.000000 133.634 175.4434
243.000000 133.635 175.7459
247.000000 133.608 176.1560
250.000000 133.612 176.4417
254.000000 133.589 176.8405
258.000000 133.593 177.2853
262.000000 133.591 177.6333
265.000000 133.592 177.8524
269.000000 133.588 178.2125
272.000000 133.596 178.4912
276.000000 133.589 178.7936
280.000000 133.602 179.1454
285.000000 133.597 179.5472
290.000000 133.605 179.9092
295.000000 133.599 -179.7366
300.000000 133.609 -179.3981
304.000000 133.609 -179.0633
307.000000 133.601 -178.8876
311.000000 133.621 -178.5694
315.000000 133.618 -178.2779
320.000000 133.613 -177.9905
325.000000 133.627 -177.6630
330.000000 133.629 -177.4203
335.000000 133.637 -177.0834
340.000000 133.648 -176.7359
345.000000 133.647 -176.4298
350.000000 133.651 -176.1856
355.000000 133.668 -175.9234
360.000000 133.672 -175.5671
365.000000 133.667 -175.3632
370.000000 133.688 -175.0783
375.000000 133.677 -174.9294
382.000000 133.696 -174.4978
387.000000 133.697 -174.2674
395.000000 133.708 -173.8171
400.000000 133.704 -173.5824
406.000000 133.714 -173.3356
412.000000 133.722 -173.0298
418.000000 133.733 -172.8177
425.000000 133.733 -172.4505
431.000000 133.736 -172.1716
437.000000 133.742 -171.8530
444.000000 133.747 -171.6087
450.000000 133.759 -171.4289
455.000000 133.767 -171.1585
462.000000 133.765 -170.8187
468.000000 133.775 -170.5369
475.000000 133.773 -170.2993
482.000000 133.769 -170.0195
487.000000 133.774 -169.7012
494.000000 133.781 -169.4336
500.000000 133.778 -169.2237
508.000000 133.789 -168.8513
515.000000 133.788 -168.5831
522.000000 133.791 -168.2573
530.000000 133.791 -167.9092
538.000000 133.795 -167.5880
545.000000 133.809 -167.3075
552.000000 133.808 -166.9788
560.000000 133.808 -166.6537
570.000000 133.820 -166.1204
580.000000 133.827 -165.7369
590.000000 133.827 -165.2490
600.000000 133.825 -164.8585
608.000000 133.840 -164.4833
615.000000 133.842 -164.2044
622.000000 133.847 -163.8503
630.000000 133.850 -163.5380
640.000000 133.864 -163.0149
650.000000 133.861 -162.5479
660.000000 133.880 -162.0361
670.000000 133.886 -161.5559
680.000000 133.900 -161.1075
690.000000 133.911 -160.6327
700.000000 133.908 -160.1460
710.000000 133.933 -159.6014
720.000000 133.953 -159.1317
730.000000 133.971 -158.6290
740.000000 133.984 -158.0774
750.000000 134.003 -157.5092
762.000000 134.034 -156.9189
775.000000 134.066 -156.1771
788.000000 134.100 -155.5205
800.000000 134.145 -154.8570
812.000000 134.187 -154.1914
825.000000 134.232 -153.5103
838.000000 134.267 -152.8112
850.000000 134.331 -152.1166
862.000000 134.389 -151.5141
875.000000 134.446 -150.8463
885.000000 134.499 -150.3372
900.000000 134.585 -149.5837
912.000000 134.654 -148.9956
925.000000 134.733 -148.3171
938.000000 134.818 -147.7267
950.000000 134.903 -147.1827
962.000000 134.986 -146.7410
975.000000 135.082 -146.2186
988.000000 135.173 -145.8117
1000.000000 135.270 -145.1785
1015.000000 135.386 -144.7907
1030.000000 135.498 -144.3569
1044.000000 135.610 -143.9623
1060.000000 135.733 -143.5952
1075.000000 135.864 -143.2752
1090.000000 135.978 -142.9734
1106.000000 136.114 -142.7959
1120.000000 136.222 -142.5781
1138.000000 136.346 -142.4048
1150.000000 136.442 -142.2809
1172.000000 136.596 -142.1806
1180.000000 136.645 -142.1351
1206.000000 136.817 -142.0892
1220.000000 136.913 -142.1196
1241.000000 137.034 -142.0723
1250.000000 137.083 -142.1341
1265.000000 137.165 -142.1491
1280.000000 137.248 -142.1452
1315.000000 137.423 -142.2537
1320.000000 137.446 -142.2975
1340.000000 137.536 -142.3072
1360.000000 137.629 -142.3511
1380.000000 137.704 -142.4502
1400.000000 137.783 -142.4389
1430.000000 137.903 -142.5021
1450.000000 137.982 -142.4460
1475.000000 138.075 -142.5131
1500.000000 138.159 -142.4876
1525.000000 138.250 -142.4583
1550.000000 138.336 -142.4615
1575.000000 138.423 -142.4131
1600.000000 138.504 -142.3348
1625.000000 138.599 -142.2530
1650.000000 138.689 -142.2204
1675.000000 138.787 -142.1247
1700.000000 138.877 -142.0761
1725.000000 138.972 -141.9854
1750.000000 139.078 -141.9149
1775.000000 139.175 -141.9020
1800.000000 139.286 -141.8632
1825.000000 139.394 -141.8200
1850.000000 139.508 -141.7764
1875.000000 139.622 -141.7933
1900.000000 139.742 -141.7885
1925.000000 139.866 -141.8549
1950.000000 139.988 -141.9284
1975.000000 140.114 -142.0228
2000.000000 140.246 -142.0810
2030.000000 140.399 -142.3927
2060.000000 140.562 -142.6229
2090.000000 140.733 -142.9368
2120.000000 140.900 -143.3170
2140.000000 141.007 -143.6300
2180.000000 141.230 -144.3736
2200.000000 141.344 -144.7454
2240.000000 141.557 -145.7048
2270.000000 141.719 -146.4296
2300.000000 141.874 -147.2515
2330.000000 142.020 -148.2213
2360.000000 142.154 -149.2146
2400.000000 142.321 -150.6501
2430.000000 142.437 -151.7991
2470.000000 142.561 -153.3703
2500.000000 142.635 -154.6038
2540.000000 142.719 -156.2076
2580.000000 142.772 -157.8187
2620.000000 142.811 -159.3705
2650.000000 142.826 -160.4851
2690.000000 142.831 -161.8774
2720.000000 142.828 -162.9039
2760.000000 142.809 -164.2030
2800.000000 142.791 -165.3351
2850.000000 142.760 -166.7350
2900.000000 142.725 -167.9879
2950.000000 142.687 -169.2069
3000.000000 142.667 -170.3268
3040.000000 142.624 -171.2587
3070.000000 142.608 -171.9184
3110.000000 142.582 -172.8084
3150.000000 142.552 -173.6752
3200.000000 142.520 -174.7398
3250.000000 142.482 -175.8475
3300.000000 142.450 -176.9250
3350.000000 142.411 -178.0503
3400.000000 142.366 -179.1476
3450.000000 142.321 179.7795
3500.000000 142.276 178.6585
3550.000000 142.235 177.4940
3600.000000 142.174 176.2745
3650.000000 142.105 175.0964
3700.000000 142.044 173.9362
3750.000000 141.966 172.7389
3820.000000 141.844 171.0919
3870.000000 141.754 169.8575
3950.000000 141.583 167.9142
4000.000000 141.447 166.6757
4060.000000 141.281 165.3420
4120.000000 141.086 164.1202
4180.000000 140.875 162.9678
4250.000000 140.593 161.8581
4310.000000 140.330 161.2323
4370.000000 140.072 160.9178
4440.000000 139.795 160.9416
4500.000000 139.584 161.2416
4550.000000 139.457 161.5033
4620.000000 139.334 162.0677
4680.000000 139.265 162.4323
4750.000000 139.233 162.7130
4820.000000 139.214 162.6076
4870.000000 139.205 162.3859
4940.000000 139.175 161.9766
5000.000000 139.162 161.4755
5080.000000 139.080 160.7114
5150.000000 138.986 160.0228
5220.000000 138.885 159.3836
5300.000000 138.729 158.7137
5380.000000 138.558 158.0721
5450.000000 138.393 157.6606
5520.000000 138.225 157.2766
5600.000000 138.017 156.9831
5700.000000 137.750 156.8999
5800.000000 137.464 156.9629
5900.000000 137.191 157.2970
