* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 2, 2024 4:55:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L S12 Feb 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 138.985 -141.3899
20.600000 139.017 -142.2245
20.900000 139.040 -143.0068
21.200001 139.061 -143.7972
21.400000 139.076 -144.3245
21.799999 139.109 -145.3742
22.000000 139.128 -145.8931
22.400000 139.167 -146.9098
22.700001 139.194 -147.6374
23.000000 139.215 -148.3099
23.299999 139.231 -148.9042
23.600000 139.245 -149.4146
24.000000 139.267 -149.9935
24.299999 139.292 -150.4117
24.700001 139.334 -151.0468
25.000000 139.366 -151.6299
25.400000 139.398 -152.5459
25.799999 139.410 -153.5263
26.200001 139.406 -154.4449
26.500000 139.402 -155.0501
26.900000 139.403 -155.7554
27.200001 139.412 -156.2459
27.600000 139.429 -156.8960
28.000000 139.445 -157.5527
28.500000 139.458 -158.3450
29.000000 139.472 -159.0958
29.500000 139.492 -159.8733
30.000000 139.506 -160.7150
30.400000 139.506 -161.3800
30.700001 139.501 -161.8332
31.100000 139.493 -162.3616
31.500000 139.491 -162.8398
32.000000 139.493 -163.4511
32.500000 139.492 -164.0935
33.000000 139.485 -164.6969
33.500000 139.487 -165.2563
34.000000 139.500 -165.8893
34.500000 139.503 -166.6644
35.000000 139.475 -167.4603
35.500000 139.428 -168.0793
36.000000 139.398 -168.5090
36.500000 139.401 -168.9454
37.000000 139.416 -169.5472
37.500000 139.414 -170.2356
38.200001 139.385 -171.0067
38.700001 139.378 -171.4053
39.500000 139.389 -172.1836
40.000000 139.381 -172.7888
40.599998 139.349 -173.4622
41.200001 139.316 -174.0115
41.799999 139.296 -174.5303
42.500000 139.278 -175.1596
43.099998 139.262 -175.6667
43.700001 139.250 -176.1319
44.400002 139.244 -176.6981
45.000000 139.237 -177.2738
45.500000 139.220 -177.7994
46.200001 139.173 -178.4418
46.799999 139.132 -178.7878
47.500000 139.108 -179.1134
48.200001 139.092 -179.5976
48.700001 139.076 179.9955
49.400002 139.066 179.4489
50.000000 139.079 178.9199
50.799999 139.073 178.1240
51.500000 139.020 177.6487
52.200001 138.962 177.3857
53.000000 138.913 176.9719
53.799999 138.868 176.4774
54.500000 138.847 176.1244
55.200001 138.829 175.7617
56.000000 138.786 175.3406
57.000000 138.735 174.8280
58.000000 138.713 174.1707
59.000000 138.679 173.5765
60.000000 138.624 173.0776
60.799999 138.578 172.6516
61.500000 138.549 172.2500
62.200001 138.527 171.8675
63.000000 138.500 171.5209
64.000000 138.458 171.1617
65.000000 138.407 170.7244
66.000000 138.358 170.2157
67.000000 138.317 169.7217
68.000000 138.276 169.3198
69.000000 138.235 168.9738
70.000000 138.189 168.5637
71.000000 138.136 168.1703
72.000000 138.089 167.8789
73.000000 138.043 167.5743
74.000000 137.988 167.1930
75.000000 137.939 166.8209
76.199997 137.897 166.4390
77.500000 137.841 166.0601
78.800003 137.776 165.6541
80.000000 137.721 165.2842
81.199997 137.669 164.9936
82.500000 137.622 164.5911
83.800003 137.548 164.2138
85.000000 137.513 163.9073
86.199997 137.449 163.6222
87.500000 137.396 163.2240
88.500000 137.328 163.1694
90.000000 137.325 162.9574
91.199997 137.222 162.4300
92.500000 137.167 162.1559
93.800003 137.109 161.9490
95.000000 137.070 161.7217
96.199997 136.998 161.4557
97.500000 136.946 161.3109
98.800003 136.889 161.0538
100.000000 136.848 160.8683
101.500000 136.763 160.6014
103.000000 136.705 160.3389
104.400002 136.648 160.1381
106.000000 136.583 159.9308
107.500000 136.525 159.6753
109.000000 136.471 159.4746
110.599998 136.396 159.3658
112.000000 136.322 159.0668
113.800003 136.276 158.9956
115.000000 136.220 158.9049
117.199997 136.139 158.6084
118.000000 136.103 158.5229
120.599998 136.016 158.5386
122.000000 135.978 157.9599
124.099998 135.810 158.2699
125.000000 135.836 158.4081
126.500000 135.836 157.7951
128.000000 135.608 157.5140
131.500000 135.505 157.5383
132.000000 135.521 158.0813
134.000000 135.501 156.9204
136.000000 135.449 157.2175
138.000000 135.392 157.5614
140.000000 135.282 157.4486
143.000000 135.190 157.1348
145.000000 135.134 157.0836
147.500000 135.042 157.1032
150.000000 134.951 157.0658
152.500000 134.885 156.8592
155.000000 134.804 157.0665
157.500000 134.721 156.9789
160.000000 134.639 156.9648
162.500000 134.569 156.9701
165.000000 134.507 156.9995
167.500000 134.430 156.9852
170.000000 134.362 157.1175
172.500000 134.289 157.0998
175.000000 134.225 157.1688
177.500000 134.161 157.2729
180.000000 134.071 157.2922
182.500000 134.016 157.3774
185.000000 133.957 157.4172
187.500000 133.881 157.5156
190.000000 133.834 157.5537
192.500000 133.769 157.6059
195.000000 133.695 157.8044
197.500000 133.631 157.8498
200.000000 133.578 157.9717
203.000000 133.506 158.1396
206.000000 133.447 158.2424
209.000000 133.375 158.4229
212.000000 133.313 158.5869
214.000000 133.256 158.6525
218.000000 133.178 158.8116
220.000000 133.131 158.9697
224.000000 133.060 159.1703
227.000000 133.016 159.3403
230.000000 132.940 159.6015
233.000000 132.884 159.7597
236.000000 132.837 159.9146
240.000000 132.745 160.1382
243.000000 132.692 160.3216
247.000000 132.633 160.5158
250.000000 132.577 160.8875
254.000000 132.517 161.0589
258.000000 132.431 161.2461
262.000000 132.377 161.6503
265.000000 132.326 161.7888
269.000000 132.263 162.1174
272.000000 132.221 162.1715
276.000000 132.158 162.5125
280.000000 132.102 162.8437
285.000000 132.040 163.2310
290.000000 131.970 163.6212
295.000000 131.893 164.0024
300.000000 131.840 164.3379
304.000000 131.790 164.6049
307.000000 131.751 164.9116
311.000000 131.704 165.1483
315.000000 131.666 165.3854
320.000000 131.600 165.8627
325.000000 131.543 166.2469
330.000000 131.492 166.5329
335.000000 131.445 166.9555
340.000000 131.409 167.3839
345.000000 131.354 167.8519
350.000000 131.307 168.1861
355.000000 131.242 168.5463
360.000000 131.206 168.8215
365.000000 131.176 169.3071
370.000000 131.132 169.7101
375.000000 131.080 170.0709
382.000000 131.036 170.6303
387.000000 130.986 171.0453
395.000000 130.933 171.6431
400.000000 130.899 172.0780
406.000000 130.848 172.4962
412.000000 130.821 172.9548
418.000000 130.789 173.4442
425.000000 130.753 174.0129
431.000000 130.707 174.4742
437.000000 130.666 174.9651
444.000000 130.650 175.4755
450.000000 130.604 175.9827
455.000000 130.586 176.3155
462.000000 130.553 176.8513
468.000000 130.528 177.3426
475.000000 130.491 177.8581
482.000000 130.475 178.4491
487.000000 130.442 178.7816
494.000000 130.426 179.3070
500.000000 130.402 179.8694
508.000000 130.383 -179.5751
515.000000 130.356 -179.0578
522.000000 130.325 -178.5652
530.000000 130.312 -177.8527
538.000000 130.292 -177.3246
545.000000 130.277 -176.8225
552.000000 130.257 -176.2470
560.000000 130.244 -175.7305
570.000000 130.221 -174.9049
580.000000 130.202 -174.1380
590.000000 130.194 -173.4890
600.000000 130.191 -172.6780
608.000000 130.191 -172.0896
615.000000 130.171 -171.5882
622.000000 130.166 -170.9925
630.000000 130.177 -170.3237
640.000000 130.165 -169.6581
650.000000 130.170 -168.9456
660.000000 130.182 -168.1023
670.000000 130.186 -167.4463
680.000000 130.191 -166.7414
690.000000 130.194 -165.9724
700.000000 130.201 -165.2325
710.000000 130.214 -164.5508
720.000000 130.239 -163.7968
730.000000 130.257 -163.0597
740.000000 130.289 -162.2666
750.000000 130.306 -161.5409
762.000000 130.342 -160.6660
775.000000 130.384 -159.6672
788.000000 130.429 -158.8189
800.000000 130.484 -157.9446
812.000000 130.516 -157.0874
825.000000 130.578 -156.2281
838.000000 130.631 -155.4153
850.000000 130.702 -154.5529
862.000000 130.774 -153.8404
875.000000 130.837 -153.0473
885.000000 130.885 -152.3637
900.000000 130.988 -151.5308
912.000000 131.055 -150.7612
925.000000 131.147 -150.1495
938.000000 131.217 -149.4153
950.000000 131.299 -148.8258
962.000000 131.368 -148.2047
975.000000 131.449 -147.5338
988.000000 131.541 -146.8595
1000.000000 131.630 -146.4468
1015.000000 131.733 -145.4971
1030.000000 131.849 -144.8817
1044.000000 131.952 -144.2077
1060.000000 132.067 -143.5285
1075.000000 132.207 -142.9633
1090.000000 132.333 -142.4586
1106.000000 132.459 -141.8329
1120.000000 132.578 -141.4645
1138.000000 132.728 -140.9119
1150.000000 132.822 -140.5444
1172.000000 132.998 -140.0657
1180.000000 133.072 -139.8425
1206.000000 133.269 -139.2439
1220.000000 133.375 -139.0576
1241.000000 133.552 -138.6240
1250.000000 133.619 -138.4732
1265.000000 133.740 -138.1797
1280.000000 133.858 -137.9779
1315.000000 134.129 -137.3909
1320.000000 134.172 -137.2994
1340.000000 134.338 -137.1386
1360.000000 134.501 -136.8986
1380.000000 134.668 -136.7557
1400.000000 134.848 -136.6319
1430.000000 135.121 -136.6157
1450.000000 135.297 -136.7994
1475.000000 135.532 -137.1231
1500.000000 135.744 -137.9275
1525.000000 135.884 -138.8793
1550.000000 135.963 -139.9281
1575.000000 135.975 -140.7537
1600.000000 135.959 -141.3246
1625.000000 135.878 -141.3682
1650.000000 135.821 -140.9310
1675.000000 135.816 -139.9307
1700.000000 135.862 -138.8621
1725.000000 135.980 -137.7142
1750.000000 136.147 -136.7535
1775.000000 136.339 -135.9656
1800.000000 136.566 -135.2561
1825.000000 136.794 -134.8484
1850.000000 137.025 -134.5650
1875.000000 137.269 -134.3465
1900.000000 137.512 -134.2870
1925.000000 137.750 -134.3681
1950.000000 137.971 -134.5380
1975.000000 138.215 -134.7526
2000.000000 138.441 -135.0172
2030.000000 138.710 -135.3613
2060.000000 139.005 -135.5451
2090.000000 139.363 -135.8573
2120.000000 139.781 -136.7531
2140.000000 140.046 -137.8509
2180.000000 140.467 -140.5107
2200.000000 140.633 -141.9708
2240.000000 140.901 -144.7746
2270.000000 141.067 -146.7772
2300.000000 141.207 -148.8616
2330.000000 141.331 -150.9498
2360.000000 141.429 -153.0822
2400.000000 141.529 -155.8863
2430.000000 141.576 -158.0450
2470.000000 141.599 -160.8886
2500.000000 141.597 -162.9776
2540.000000 141.551 -165.7952
2580.000000 141.459 -168.5005
2620.000000 141.341 -171.1151
2650.000000 141.214 -173.0016
2690.000000 141.015 -175.3433
2720.000000 140.845 -176.8573
2760.000000 140.614 -178.7383
2800.000000 140.388 179.4284
2850.000000 140.059 176.8480
2900.000000 139.546 174.0615
2950.000000 138.744 172.9367
3000.000000 138.015 174.9886
3040.000000 137.706 177.6903
3070.000000 137.633 179.6325
3110.000000 137.667 -178.2455
3150.000000 137.820 -176.9921
3200.000000 137.985 -176.8810
3250.000000 138.037 -177.6344
3300.000000 137.971 -178.2347
3350.000000 137.899 -178.4752
3400.000000 137.814 -178.5755
3450.000000 137.752 -178.8132
3500.000000 137.673 -178.8589
3550.000000 137.619 -179.1643
3600.000000 137.511 -179.3869
3650.000000 137.398 -179.6416
3700.000000 137.228 -179.6949
3750.000000 137.057 -179.1756
3820.000000 136.889 -177.6858
3870.000000 136.886 -176.5809
3950.000000 137.009 -175.3276
4000.000000 137.127 -174.9908
4060.000000 137.253 -175.0357
4120.000000 137.394 -175.7964
4180.000000 137.462 -177.3968
4250.000000 137.297 -179.9437
4310.000000 136.871 179.2921
4370.000000 136.474 -179.4587
4440.000000 136.331 -177.6770
4500.000000 136.195 -176.5829
4550.000000 136.087 -175.1281
4620.000000 136.126 -172.7518
4680.000000 136.244 -171.5023
4750.000000 136.366 -170.5575
4820.000000 136.458 -169.7193
4870.000000 136.545 -168.7714
4940.000000 136.717 -167.8785
5000.000000 136.913 -167.3444
5080.000000 137.131 -167.1384
5150.000000 137.350 -167.2460
5220.000000 137.553 -167.7740
5300.000000 137.775 -168.9047
5380.000000 137.887 -171.2884
5450.000000 137.712 -173.5625
5520.000000 137.215 -174.2987
5600.000000 136.864 -171.0567
5700.000000 137.136 -167.7011
5800.000000 137.552 -166.8226
