* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 6, 2025 9:56:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L MARTILO AZLA 722
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.032 8.9376
20.600000 90.049 8.1565
20.900000 90.051 7.4608
21.200001 90.041 6.7757
21.400000 90.029 6.3220
21.799999 89.999 5.4165
22.000000 89.983 4.9615
22.400000 89.953 4.0400
22.700001 89.937 3.3359
23.000000 89.925 2.6220
23.299999 89.916 1.9050
23.600000 89.909 1.1941
24.000000 89.898 0.2711
24.299999 89.885 -0.3920
24.700001 89.860 -1.2312
25.000000 89.836 -1.8299
25.400000 89.801 -2.6007
25.799999 89.766 -3.3653
26.200001 89.734 -4.1489
26.500000 89.713 -4.7551
26.900000 89.688 -5.5801
27.200001 89.670 -6.1951
27.600000 89.645 -6.9840
28.000000 89.619 -7.7151
28.500000 89.583 -8.5444
29.000000 89.543 -9.3152
29.500000 89.498 -10.0746
30.000000 89.450 -10.8587
30.400000 89.411 -11.5132
30.700001 89.383 -12.0177
31.100000 89.348 -12.6959
31.500000 89.314 -13.3601
32.000000 89.274 -14.1373
32.500000 89.237 -14.8413
33.000000 89.198 -15.4962
33.500000 89.155 -16.1432
34.000000 89.102 -16.8103
34.500000 89.043 -17.5015
35.000000 88.982 -18.2112
35.500000 88.926 -18.9305
36.000000 88.875 -19.6396
36.500000 88.828 -20.3092
37.000000 88.783 -20.9185
37.500000 88.736 -21.4752
38.200001 88.665 -22.2211
38.700001 88.609 -22.7629
39.500000 88.521 -23.6736
40.000000 88.468 -24.2690
40.599998 88.405 -24.9833
41.200001 88.340 -25.6525
41.799999 88.272 -26.2661
42.500000 88.195 -26.9604
43.099998 88.128 -27.5715
43.700001 88.059 -28.1829
44.400002 87.979 -28.8660
45.000000 87.910 -29.4194
45.500000 87.852 -29.8675
46.200001 87.772 -30.5014
46.799999 87.705 -31.0657
47.500000 87.627 -31.7168
48.200001 87.548 -32.3125
48.700001 87.490 -32.7070
49.400002 87.404 -33.2494
50.000000 87.328 -33.7263
50.799999 87.230 -34.3947
51.500000 87.146 -34.9745
52.200001 87.062 -35.4801
53.000000 86.966 -35.9943
53.799999 86.864 -36.5496
54.500000 86.770 -37.0566
55.200001 86.682 -37.5522
56.000000 86.584 -38.1014
57.000000 86.452 -38.7018
58.000000 86.326 -39.3555
59.000000 86.191 -40.0035
60.000000 86.066 -40.4383
60.799999 85.954 -40.8809
61.500000 85.830 -41.2491
62.200001 85.722 -41.4852
63.000000 85.640 -41.8124
64.000000 85.518 -42.3150
65.000000 85.376 -42.6047
66.000000 85.250 -43.0449
67.000000 85.118 -43.2648
68.000000 85.030 -43.2730
69.000000 84.896 -43.7180
70.000000 84.704 -44.1511
71.000000 84.563 -44.4035
72.000000 84.435 -44.5598
73.000000 84.284 -44.6739
74.000000 84.130 -44.8481
75.000000 84.022 -45.0006
76.199997 83.723 -44.5555
77.500000 83.457 -42.1893
78.800003 83.357 -42.6668
80.000000 83.216 -41.6165
81.199997 83.312 -40.0338
82.500000 83.402 -39.1437
83.800003 83.628 -39.2628
85.000000 83.731 -39.5235
86.199997 83.840 -41.2429
87.500000 83.743 -43.1334
88.500000 83.727 -43.9118
90.000000 83.497 -44.6461
91.199997 83.418 -45.4947
92.500000 83.141 -46.3391
93.800003 82.988 -47.3412
95.000000 82.826 -46.8907
96.199997 82.746 -46.3123
97.500000 82.507 -46.1834
98.800003 82.511 -44.4983
100.000000 82.665 -44.2816
101.500000 82.639 -44.7631
103.000000 82.697 -45.1995
104.400002 82.644 -46.3171
106.000000 82.471 -48.4991
107.500000 82.343 -48.1065
109.000000 82.261 -48.4976
110.599998 81.916 -49.5477
112.000000 81.817 -49.7833
113.800003 81.598 -49.8868
115.000000 81.533 -50.0014
117.199997 81.307 -50.0753
118.000000 81.214 -50.6520
120.599998 81.320 -50.3195
122.000000 80.830 -49.9863
124.099998 80.687 -50.7826
125.000000 80.597 -50.5133
126.500000 80.436 -50.6550
128.000000 80.318 -50.8409
131.500000 80.006 -50.5845
132.000000 79.954 -50.5503
134.000000 79.786 -50.3356
136.000000 79.629 -50.1817
138.000000 79.441 -49.8653
140.000000 79.245 -49.6679
143.000000 79.020 -49.1093
145.000000 78.883 -48.8212
147.500000 78.685 -48.4195
150.000000 78.485 -47.7331
152.500000 78.312 -47.4061
155.000000 78.132 -46.8587
157.500000 77.957 -46.2533
160.000000 77.774 -45.5182
162.500000 77.570 -44.6698
165.000000 77.412 -43.8212
167.500000 77.215 -42.4982
170.000000 77.075 -40.9056
172.500000 77.035 -39.2429
175.000000 77.297 -36.9641
177.500000 77.299 -36.8889
180.000000 77.421 -36.6589
182.500000 77.376 -37.9646
185.000000 77.296 -38.4641
187.500000 77.123 -38.2616
190.000000 77.030 -38.2610
192.500000 76.896 -37.7275
195.000000 76.779 -37.3139
197.500000 76.660 -36.7328
200.000000 76.513 -36.2319
203.000000 76.426 -35.6431
206.000000 76.337 -34.9471
209.000000 76.270 -34.2200
212.000000 76.176 -33.7074
214.000000 76.081 -33.1703
218.000000 76.002 -32.0341
220.000000 75.977 -31.8687
224.000000 75.884 -30.7757
227.000000 75.811 -30.0943
230.000000 75.762 -29.4863
233.000000 75.721 -28.8328
236.000000 75.666 -28.1692
240.000000 75.587 -27.3713
243.000000 75.564 -26.5848
247.000000 75.483 -25.6690
250.000000 75.470 -25.3246
254.000000 75.412 -24.5543
258.000000 75.380 -23.5194
262.000000 75.330 -22.9477
265.000000 75.326 -22.3473
269.000000 75.303 -21.6995
272.000000 75.294 -21.1716
276.000000 75.277 -20.5233
280.000000 75.284 -19.7674
285.000000 75.223 -18.9301
290.000000 75.172 -17.9454
295.000000 75.173 -17.3890
300.000000 75.225 -16.5368
304.000000 75.159 -16.2562
307.000000 75.168 -15.8056
311.000000 75.166 -15.2688
315.000000 75.160 -14.7060
320.000000 75.151 -14.1484
325.000000 75.159 -13.5877
330.000000 75.170 -12.8436
335.000000 75.157 -12.4048
340.000000 75.143 -11.7333
345.000000 75.137 -11.3078
350.000000 75.162 -10.8682
355.000000 75.146 -10.2801
360.000000 75.152 -9.8075
365.000000 75.140 -9.4153
370.000000 75.160 -8.8742
375.000000 75.169 -8.6563
382.000000 75.205 -7.9102
387.000000 75.189 -7.8443
395.000000 75.188 -7.0517
400.000000 75.165 -6.6521
406.000000 75.162 -6.3006
412.000000 75.181 -5.6232
418.000000 75.170 -5.3873
425.000000 75.160 -4.7727
431.000000 75.173 -4.5636
437.000000 75.178 -4.3404
444.000000 75.172 -3.7951
450.000000 75.144 -3.4764
455.000000 75.157 -3.1658
462.000000 75.147 -2.5437
468.000000 75.154 -2.3334
475.000000 75.153 -1.9688
482.000000 75.134 -1.6972
487.000000 75.082 -1.3528
494.000000 75.104 -1.0118
500.000000 75.073 -0.5043
508.000000 75.062 -0.0506
515.000000 75.034 0.5017
522.000000 75.027 0.9489
530.000000 75.014 1.7232
538.000000 75.033 2.2873
545.000000 75.018 2.5068
552.000000 75.013 3.0742
560.000000 75.034 3.6991
570.000000 75.029 4.6869
580.000000 75.057 5.0402
590.000000 75.076 5.4621
600.000000 75.080 6.1961
608.000000 75.057 6.6904
615.000000 75.080 7.0651
622.000000 75.117 7.2302
630.000000 75.117 7.9887
640.000000 75.117 8.4158
650.000000 75.114 9.0474
660.000000 75.129 9.5288
670.000000 75.195 9.9466
680.000000 75.120 10.4268
690.000000 75.146 10.6589
700.000000 75.136 11.4390
710.000000 75.148 11.9112
720.000000 75.172 12.6982
730.000000 75.179 13.2750
740.000000 75.208 13.6350
750.000000 75.183 14.2044
762.000000 75.208 15.0862
775.000000 75.189 15.8570
788.000000 75.249 16.8227
800.000000 75.249 17.4725
812.000000 75.323 18.1899
825.000000 75.332 19.1581
838.000000 75.383 19.8940
850.000000 75.443 21.0885
862.000000 75.512 21.8139
875.000000 75.612 22.6508
885.000000 75.685 23.1092
900.000000 75.849 24.0725
912.000000 75.938 24.4233
925.000000 76.051 24.9043
938.000000 76.135 24.9588
950.000000 76.231 25.4391
962.000000 76.302 25.6154
975.000000 76.363 25.7356
988.000000 76.443 26.0133
1000.000000 76.468 25.4572
1015.000000 76.594 26.5908
1030.000000 76.662 26.8447
1044.000000 76.728 27.0610
1060.000000 76.822 27.5559
1075.000000 76.900 27.6847
1090.000000 76.912 27.9342
1106.000000 77.039 28.0457
1120.000000 77.076 28.0931
1138.000000 77.171 28.4844
1150.000000 77.229 28.4973
1172.000000 77.296 28.6364
1180.000000 77.351 28.7978
1206.000000 77.428 29.0328
1220.000000 77.475 29.0859
1241.000000 77.507 29.2780
1250.000000 77.569 29.2754
1265.000000 77.594 29.4172
1280.000000 77.618 29.4174
1315.000000 77.714 29.8989
1320.000000 77.740 29.8313
1340.000000 77.769 30.0845
1360.000000 77.797 30.2553
1380.000000 77.843 30.4823
1400.000000 77.868 30.5678
1430.000000 77.942 30.9048
1450.000000 77.954 31.3748
1475.000000 78.002 31.3870
1500.000000 78.051 31.8599
1525.000000 78.105 32.1070
1550.000000 78.131 32.6729
1575.000000 78.179 33.0644
1600.000000 78.241 33.3186
1625.000000 78.271 33.6662
1650.000000 78.330 34.2344
1675.000000 78.373 34.7999
1700.000000 78.431 35.0337
1725.000000 78.474 35.5512
1750.000000 78.544 35.7757
1775.000000 78.606 36.3139
1800.000000 78.661 36.7335
1825.000000 78.713 37.2389
1850.000000 78.791 37.6957
1875.000000 78.850 38.1345
1900.000000 78.927 38.5764
1925.000000 79.012 38.9880
1950.000000 79.052 39.3487
1975.000000 79.160 39.6708
2000.000000 79.142 40.0637
2030.000000 79.317 40.5709
2060.000000 79.429 41.1030
2090.000000 79.498 41.6019
2120.000000 79.593 42.0003
2140.000000 79.647 42.1779
2180.000000 79.743 43.0547
2200.000000 79.794 43.5019
2240.000000 79.875 44.7110
2270.000000 79.989 45.9576
2300.000000 80.140 47.4339
2330.000000 80.415 49.2013
2360.000000 80.784 50.2679
2400.000000 81.329 50.4106
2430.000000 81.678 49.9000
2470.000000 82.000 48.9322
2500.000000 82.251 48.6539
2540.000000 82.611 47.8008
2580.000000 82.936 46.6953
2620.000000 83.190 45.3559
2650.000000 83.373 44.2241
2690.000000 83.568 42.9542
2720.000000 83.722 41.8873
2760.000000 83.911 40.6985
2800.000000 84.095 39.5295
2850.000000 84.342 37.8686
2900.000000 84.571 35.9468
2950.000000 84.804 33.8665
3000.000000 84.938 31.2334
3040.000000 85.064 29.2860
3070.000000 85.112 27.7338
3110.000000 85.146 25.6589
3150.000000 85.154 23.7162
3200.000000 85.155 21.1275
3250.000000 85.079 18.7935
3300.000000 84.985 16.4781
3350.000000 84.850 14.2627
3400.000000 84.658 12.3980
3450.000000 84.444 10.8660
3500.000000 84.233 9.5410
3550.000000 84.045 8.7135
3600.000000 83.872 7.9488
3650.000000 83.702 7.2363
3700.000000 83.545 6.4353
3750.000000 83.393 5.9213
3820.000000 83.175 5.3570
3870.000000 83.026 4.8148
3950.000000 82.794 4.4267
4000.000000 82.673 4.3189
4060.000000 82.499 3.8344
4120.000000 82.324 3.7485
4180.000000 82.183 3.9955
4250.000000 81.974 4.1920
4310.000000 81.871 4.4541
4370.000000 81.764 4.8458
4440.000000 81.682 5.3548
4500.000000 81.609 5.5526
4550.000000 81.554 5.8228
4620.000000 81.519 6.1300
4680.000000 81.439 6.5609
4750.000000 81.422 6.9130
4820.000000 81.389 7.1631
4870.000000 81.376 7.6111
4940.000000 81.394 7.6454
5000.000000 81.372 7.8957
5080.000000 81.416 8.2845
5150.000000 81.445 8.7002
5220.000000 81.461 8.7955
5300.000000 81.535 8.5319
5380.000000 81.562 8.7338
5450.000000 81.613 8.4175
5520.000000 81.649 8.2896
5600.000000 81.666 8.1761
5700.000000 81.719 7.9717
5800.000000 81.797 7.8603
