* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 18, 2025 7:20:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L meta 584
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 122.773 9.8253
20.600000 122.767 9.2326
20.900000 122.755 8.6899
21.200001 122.743 8.1367
21.400000 122.736 7.7620
21.799999 122.722 7.0095
22.000000 122.716 6.6392
22.400000 122.706 5.9270
22.700001 122.701 5.4224
23.000000 122.696 4.9394
23.299999 122.691 4.4698
23.600000 122.685 4.0081
24.000000 122.672 3.4013
24.299999 122.659 2.9540
24.700001 122.640 2.3683
25.000000 122.624 1.9334
25.400000 122.604 1.3522
25.799999 122.584 0.7687
26.200001 122.562 0.1953
26.500000 122.545 -0.2181
26.900000 122.523 -0.7434
27.200001 122.508 -1.1248
27.600000 122.489 -1.6319
28.000000 122.471 -2.1479
28.500000 122.446 -2.7942
29.000000 122.420 -3.4155
29.500000 122.395 -4.0131
30.000000 122.369 -4.6070
30.400000 122.344 -5.0743
30.700001 122.323 -5.4075
31.100000 122.292 -5.8204
31.500000 122.265 -6.2131
32.000000 122.235 -6.7284
32.500000 122.203 -7.2961
33.000000 122.162 -7.8531
33.500000 122.121 -8.3241
34.000000 122.092 -8.7370
34.500000 122.071 -9.2007
35.000000 122.037 -9.7401
35.500000 121.980 -10.2311
36.000000 121.918 -10.5577
36.500000 121.880 -10.8006
37.000000 121.869 -11.1868
37.500000 121.856 -11.8010
38.200001 121.791 -12.6706
38.700001 121.735 -13.0257
39.500000 121.697 -13.4417
40.000000 121.673 -13.8774
40.599998 121.604 -14.4176
41.200001 121.529 -14.7387
41.799999 121.493 -15.0669
42.500000 121.454 -15.7340
43.099998 121.387 -16.2095
43.700001 121.335 -16.4512
44.400002 121.301 -16.9120
45.000000 121.229 -17.4804
45.500000 121.146 -17.7271
46.200001 121.084 -17.8010
46.799999 121.069 -18.1204
47.500000 121.001 -18.5791
48.200001 120.940 -18.6170
48.700001 120.947 -18.7322
49.400002 120.947 -19.4162
50.000000 120.892 -19.9660
50.799999 120.849 -20.3613
51.500000 120.816 -21.0396
52.200001 120.691 -21.5781
53.000000 120.581 -21.4215
53.799999 120.574 -21.6427
54.500000 120.510 -22.1622
55.200001 120.428 -22.3175
56.000000 120.386 -22.5745
57.000000 120.292 -23.3068
58.000000 120.186 -23.7166
59.000000 120.093 -23.9335
60.000000 120.015 -24.0879
60.799999 119.940 -24.5431
61.500000 119.853 -24.9225
62.200001 119.791 -25.1151
63.000000 119.760 -25.2795
64.000000 119.718 -25.5591
65.000000 119.618 -25.9338
66.000000 119.492 -26.1298
67.000000 119.410 -26.2364
68.000000 119.343 -26.4668
69.000000 119.258 -26.8199
70.000000 119.145 -27.1077
71.000000 119.058 -27.1684
72.000000 118.993 -27.3999
73.000000 118.895 -27.6577
74.000000 118.814 -27.7467
75.000000 118.741 -27.8830
76.199997 118.636 -27.9294
77.500000 118.512 -28.0803
78.800003 118.417 -28.1852
80.000000 118.326 -28.4424
81.199997 118.216 -28.2957
82.500000 118.121 -28.3925
83.800003 117.995 -28.5339
85.000000 117.908 -28.4272
86.199997 117.843 -28.4231
87.500000 117.721 -28.4725
88.500000 117.658 -28.4803
90.000000 117.549 -28.5032
91.199997 117.462 -28.2918
92.500000 117.349 -28.2137
93.800003 117.266 -28.2781
95.000000 117.180 -28.0684
96.199997 117.101 -27.9840
97.500000 117.002 -27.8041
98.800003 116.911 -27.7551
100.000000 116.821 -27.6475
101.500000 116.724 -27.4977
103.000000 116.618 -27.1389
104.400002 116.548 -26.9904
106.000000 116.449 -26.7559
107.500000 116.331 -26.6585
109.000000 116.245 -26.3909
110.599998 116.159 -26.0650
112.000000 116.077 -25.8167
113.800003 116.014 -25.4009
115.000000 115.959 -25.1644
117.199997 115.828 -24.7627
118.000000 115.763 -24.5432
120.599998 115.635 -24.3752
122.000000 115.613 -23.7305
124.099998 115.498 -22.9465
125.000000 115.460 -22.7501
126.500000 115.370 -22.5186
128.000000 115.338 -22.2543
131.500000 115.226 -21.1055
132.000000 115.182 -20.9708
134.000000 115.102 -20.9368
136.000000 115.111 -20.3180
138.000000 114.982 -19.6001
140.000000 114.986 -19.1821
143.000000 114.867 -18.4520
145.000000 114.839 -17.7215
147.500000 114.772 -17.2826
150.000000 114.722 -16.5417
152.500000 114.703 -15.8698
155.000000 114.634 -15.2965
157.500000 114.600 -14.6971
160.000000 114.590 -14.0957
162.500000 114.546 -13.5245
165.000000 114.543 -12.8844
167.500000 114.504 -12.4384
170.000000 114.504 -11.7196
172.500000 114.479 -11.2132
175.000000 114.482 -10.6559
177.500000 114.449 -10.1702
180.000000 114.479 -9.7375
182.500000 114.454 -9.0441
185.000000 114.478 -8.4200
187.500000 114.453 -8.4230
190.000000 114.445 -7.9712
192.500000 114.474 -7.5783
195.000000 114.468 -7.1185
197.500000 114.493 -6.6756
200.000000 114.479 -6.4395
203.000000 114.505 -5.6784
206.000000 114.517 -5.3374
209.000000 114.540 -4.9551
212.000000 114.541 -4.7042
214.000000 114.573 -4.3240
218.000000 114.581 -4.0506
220.000000 114.596 -3.6388
224.000000 114.626 -3.2613
227.000000 114.642 -2.7991
230.000000 114.640 -2.5379
233.000000 114.690 -2.4815
236.000000 114.714 -2.1328
240.000000 114.793 -1.9257
243.000000 114.740 -1.5596
247.000000 114.754 -1.2823
250.000000 114.785 -0.9874
254.000000 114.801 -0.9512
258.000000 114.838 -0.4586
262.000000 114.824 -0.3488
265.000000 114.838 -0.1970
269.000000 114.870 -0.0268
272.000000 114.920 0.2708
276.000000 114.926 0.5631
280.000000 114.941 0.4090
285.000000 114.944 0.7398
290.000000 114.926 0.6491
295.000000 114.982 1.3503
300.000000 115.007 1.5053
304.000000 115.014 1.5768
307.000000 115.046 1.8644
311.000000 115.057 1.7016
315.000000 115.061 1.9780
320.000000 115.057 2.1168
325.000000 115.098 2.1296
330.000000 115.101 2.4219
335.000000 115.118 2.5744
340.000000 115.111 2.5553
345.000000 115.153 2.6411
350.000000 115.159 2.6470
355.000000 115.142 2.8652
360.000000 115.136 2.8605
365.000000 115.149 2.8659
370.000000 115.162 2.9631
375.000000 115.140 3.1781
382.000000 115.145 3.1962
387.000000 115.166 3.1534
395.000000 115.154 3.4250
400.000000 115.162 3.3858
406.000000 115.140 3.5110
412.000000 115.119 3.6973
418.000000 115.105 3.6545
425.000000 115.090 3.9401
431.000000 115.092 4.1094
437.000000 115.069 4.2763
444.000000 115.055 4.3680
450.000000 115.030 4.4200
455.000000 115.021 4.7131
462.000000 115.022 4.8523
468.000000 115.029 5.1536
475.000000 114.979 5.1719
482.000000 114.972 5.3103
487.000000 114.947 5.5404
494.000000 114.958 5.6691
500.000000 114.943 5.7559
508.000000 114.942 6.0802
515.000000 114.942 6.1961
522.000000 114.935 6.4461
530.000000 114.900 6.3901
538.000000 114.859 6.5721
545.000000 114.846 6.8102
552.000000 114.834 7.0374
560.000000 114.793 7.3221
570.000000 114.769 7.7421
580.000000 114.733 8.0629
590.000000 114.712 8.1497
600.000000 114.687 8.5579
608.000000 114.657 8.6197
615.000000 114.641 8.9411
622.000000 114.610 9.2225
630.000000 114.582 9.3860
640.000000 114.563 9.8773
650.000000 114.555 10.1554
660.000000 114.520 10.5742
670.000000 114.476 10.9092
680.000000 114.414 11.4049
690.000000 114.408 11.7701
700.000000 114.402 12.1702
710.000000 114.363 12.6647
720.000000 114.322 13.0482
730.000000 114.316 13.4089
740.000000 114.277 14.0073
750.000000 114.198 14.3137
762.000000 114.204 14.9928
775.000000 114.171 15.7391
788.000000 114.136 16.5695
800.000000 114.119 17.3405
812.000000 114.139 17.8544
825.000000 114.141 18.7550
838.000000 114.110 19.5525
850.000000 114.131 20.1888
862.000000 114.141 20.8601
875.000000 114.133 21.5601
885.000000 114.190 22.0525
900.000000 114.185 22.6749
912.000000 114.111 22.9628
925.000000 114.218 24.0221
938.000000 114.259 24.8800
950.000000 114.282 25.3844
962.000000 114.307 26.0556
975.000000 114.342 26.6282
988.000000 114.389 27.2375
1000.000000 114.518 27.9503
1015.000000 114.473 28.3442
1030.000000 114.521 29.1618
1044.000000 114.565 29.5327
1060.000000 114.593 29.9815
1075.000000 114.690 30.6392
1090.000000 114.691 31.0284
1106.000000 114.761 31.6069
1120.000000 114.832 31.6924
1138.000000 114.874 32.3512
1150.000000 114.918 32.8754
1172.000000 114.963 33.4219
1180.000000 114.979 33.5208
1206.000000 115.003 34.1253
1220.000000 115.080 34.5234
1241.000000 115.119 34.7670
1250.000000 115.107 34.9549
1265.000000 115.115 35.3142
1280.000000 115.141 35.7659
1315.000000 115.202 36.6682
1320.000000 115.192 36.7367
1340.000000 115.252 37.2357
1360.000000 115.273 37.7332
1380.000000 115.279 38.3004
1400.000000 115.304 38.6580
1430.000000 115.355 39.5453
1450.000000 115.362 40.0659
1475.000000 115.395 40.6217
1500.000000 115.439 41.3199
1525.000000 115.462 42.4674
1550.000000 115.466 42.7988
1575.000000 115.495 43.8300
1600.000000 115.537 44.5317
1625.000000 115.590 45.4899
1650.000000 115.632 46.0496
1675.000000 115.670 47.0895
1700.000000 115.745 48.0032
1725.000000 115.810 48.8003
1750.000000 115.856 49.6629
1775.000000 115.926 50.7182
1800.000000 115.984 51.4053
1825.000000 116.086 52.1613
1850.000000 116.173 53.1308
1875.000000 116.246 54.0186
1900.000000 116.375 54.8261
1925.000000 116.454 55.5786
1950.000000 116.594 56.5093
1975.000000 116.671 57.1987
2000.000000 116.879 57.5317
2030.000000 116.968 58.8352
2060.000000 117.122 59.5251
2090.000000 117.314 60.4016
2120.000000 117.524 61.0396
2140.000000 117.619 61.6882
2180.000000 117.862 62.4152
2200.000000 118.009 62.7528
2240.000000 118.264 63.2460
2270.000000 118.487 63.7684
2300.000000 118.728 63.9345
2330.000000 118.931 64.1067
2360.000000 119.182 64.0833
2400.000000 119.480 64.0887
2430.000000 119.702 63.7492
2470.000000 120.023 63.4323
2500.000000 120.239 62.9348
2540.000000 120.519 61.8564
2580.000000 120.810 60.7680
2620.000000 121.059 59.5238
2650.000000 121.233 58.1944
2690.000000 121.442 56.6946
2720.000000 121.554 55.1231
2760.000000 121.702 53.1507
2800.000000 121.801 51.1520
2850.000000 121.861 48.5669
2900.000000 121.846 45.9094
2950.000000 121.770 43.5040
3000.000000 121.672 41.4518
3040.000000 121.502 39.7622
3070.000000 121.370 38.7485
3110.000000 121.235 37.3976
3150.000000 121.057 36.4304
3200.000000 120.801 35.4101
3250.000000 120.564 34.5937
3300.000000 120.333 34.0648
3350.000000 120.106 33.9321
3400.000000 119.883 33.6312
3450.000000 119.719 33.7928
3500.000000 119.564 33.8938
3550.000000 119.396 34.2915
3600.000000 119.285 34.6035
3650.000000 119.190 34.8602
3700.000000 119.099 35.2084
3750.000000 119.059 35.4869
3820.000000 118.974 35.6888
3870.000000 118.958 35.6231
3950.000000 118.949 35.6336
4000.000000 118.938 34.8807
4060.000000 118.924 34.7600
4120.000000 118.892 34.0939
4180.000000 118.795 33.0521
4250.000000 118.679 31.6061
4310.000000 118.477 30.3548
4370.000000 118.253 29.5190
4440.000000 117.886 29.3273
4500.000000 117.590 29.2892
4550.000000 117.419 29.5205
4620.000000 117.152 30.7571
4680.000000 117.046 31.7549
4750.000000 116.999 32.6409
4820.000000 117.049 33.2163
4870.000000 117.053 32.9352
4940.000000 117.093 32.3313
5000.000000 117.059 31.9695
5080.000000 117.054 30.3053
5150.000000 116.897 28.6998
5220.000000 116.734 27.6328
5300.000000 116.465 25.9904
5380.000000 116.083 24.6055
5450.000000 115.823 24.0213
5520.000000 115.493 23.8385
5600.000000 115.094 23.5974
5700.000000 114.583 23.2705
5800.000000 114.197 24.6306
5900.000000 113.840 25.6585
6000.000000 113.712 27.3749
6080.000000 113.481 28.5818
6150.000000 113.262 29.6835
