* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 31, 2024 1:31:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R TSMR MIRAI 001 122
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.409 -174.6712
20.600000 82.414 -175.6762
20.900000 82.413 -176.5668
21.200001 82.412 -177.4413
21.400000 82.413 -178.0230
21.799999 82.417 -179.1904
22.000000 82.420 -179.7774
22.400000 82.425 179.0464
22.700001 82.428 178.1707
23.000000 82.428 177.3090
23.299999 82.427 176.4657
23.600000 82.425 175.6422
24.000000 82.423 174.5726
24.299999 82.421 173.7865
24.700001 82.421 172.7512
25.000000 82.420 171.9794
25.400000 82.417 170.9547
25.799999 82.409 169.9399
26.200001 82.396 168.9431
26.500000 82.385 168.2098
26.900000 82.370 167.2474
27.200001 82.359 166.5309
27.600000 82.346 165.5748
28.000000 82.334 164.6182
28.500000 82.318 163.4413
29.000000 82.299 162.3138
29.500000 82.280 161.2384
30.000000 82.261 160.1855
30.400000 82.244 159.3384
30.700001 82.230 158.6979
31.100000 82.209 157.8439
31.500000 82.187 156.9987
32.000000 82.160 155.9601
32.500000 82.135 154.9341
33.000000 82.109 153.9151
33.500000 82.080 152.9126
34.000000 82.048 151.9388
34.500000 82.017 150.9894
35.000000 81.988 150.0463
35.500000 81.960 149.0981
36.000000 81.934 148.1522
36.500000 81.907 147.2227
37.000000 81.879 146.3153
37.500000 81.851 145.4260
38.200001 81.806 144.2085
38.700001 81.770 143.3599
39.500000 81.712 142.0171
40.000000 81.678 141.1696
40.599998 81.637 140.1502
41.200001 81.595 139.1571
41.799999 81.553 138.2024
42.500000 81.503 137.1143
43.099998 81.459 136.1811
43.700001 81.413 135.2471
44.400002 81.360 134.1653
45.000000 81.315 133.2473
45.500000 81.278 132.4923
46.200001 81.222 131.4644
46.799999 81.174 130.6154
47.500000 81.122 129.6358
48.200001 81.072 128.6360
48.700001 81.032 127.9180
49.400002 80.972 126.9430
50.000000 80.923 126.1381
50.799999 80.865 125.0602
51.500000 80.814 124.1008
52.200001 80.758 123.1759
53.000000 80.690 122.1874
53.799999 80.630 121.1892
54.500000 80.577 120.2649
55.200001 80.518 119.3684
56.000000 80.449 118.4542
57.000000 80.369 117.3165
58.000000 80.283 116.0607
59.000000 80.200 114.8508
60.000000 80.126 113.7302
60.799999 80.060 112.8739
61.500000 80.001 112.1215
62.200001 79.942 111.3444
63.000000 79.878 110.4532
64.000000 79.799 109.3707
65.000000 79.713 108.3280
66.000000 79.628 107.3350
67.000000 79.549 106.3202
68.000000 79.466 105.3169
69.000000 79.383 104.3614
70.000000 79.302 103.4018
71.000000 79.217 102.4324
72.000000 79.131 101.5145
73.000000 79.058 100.6250
74.000000 78.984 99.6970
75.000000 78.904 98.8399
76.199997 78.808 97.7742
77.500000 78.699 96.6731
78.800003 78.604 95.6099
80.000000 78.510 94.6530
81.199997 78.418 93.6587
82.500000 78.318 92.6180
83.800003 78.213 91.6521
85.000000 78.131 90.7593
86.199997 78.036 89.8312
87.500000 77.934 88.9826
88.500000 77.863 88.2172
90.000000 77.752 87.1511
91.199997 77.663 86.3621
92.500000 77.572 85.4830
93.800003 77.482 84.6145
95.000000 77.401 83.8528
96.199997 77.295 83.0383
97.500000 77.218 82.2522
98.800003 77.126 81.4443
100.000000 77.042 80.8510
101.500000 76.942 79.9332
103.000000 76.846 79.0439
104.400002 76.740 78.2962
106.000000 76.642 77.4481
107.500000 76.548 76.5870
109.000000 76.450 75.8744
110.599998 76.359 75.0220
112.000000 76.270 74.3496
113.800003 76.153 73.4906
115.000000 76.074 72.8738
117.199997 75.938 71.8703
118.000000 75.892 71.5464
120.599998 75.732 70.3771
122.000000 75.661 69.7866
124.099998 75.532 68.9543
125.000000 75.489 68.5255
126.500000 75.408 67.9694
128.000000 75.332 67.4546
131.500000 75.135 66.0244
132.000000 75.108 65.8712
134.000000 75.020 65.2715
136.000000 74.905 64.4863
138.000000 74.805 63.8563
140.000000 74.730 63.2271
143.000000 74.575 62.3040
145.000000 74.472 61.7052
147.500000 74.359 60.9844
150.000000 74.250 60.2896
152.500000 74.140 59.5763
155.000000 74.046 58.9690
157.500000 73.934 58.3249
160.000000 73.840 57.8219
162.500000 73.734 57.2466
165.000000 73.642 56.7091
167.500000 73.547 56.1826
170.000000 73.456 55.6874
172.500000 73.375 55.1544
175.000000 73.270 54.5942
177.500000 73.199 54.2196
180.000000 73.118 53.8553
182.500000 73.037 53.4271
185.000000 72.962 53.0488
187.500000 72.891 52.8264
190.000000 72.800 52.4129
192.500000 72.729 51.9412
195.000000 72.685 51.6591
197.500000 72.599 51.3726
200.000000 72.534 51.0349
203.000000 72.458 50.6551
206.000000 72.379 50.3700
209.000000 72.339 50.0580
212.000000 72.252 49.6640
214.000000 72.228 49.6299
218.000000 72.111 49.1068
220.000000 72.099 49.0534
224.000000 71.991 48.7126
227.000000 71.944 48.5782
230.000000 71.885 48.3389
233.000000 71.830 48.1612
236.000000 71.790 47.9623
240.000000 71.717 47.6319
243.000000 71.672 47.6114
247.000000 71.634 47.3693
250.000000 71.603 47.2174
254.000000 71.541 47.1146
258.000000 71.481 46.9598
262.000000 71.437 46.8531
265.000000 71.406 46.5737
269.000000 71.372 46.5490
272.000000 71.332 46.5385
276.000000 71.282 46.3437
280.000000 71.266 46.4398
285.000000 71.214 46.2069
290.000000 71.183 46.1199
295.000000 71.169 46.2675
300.000000 71.102 46.0394
304.000000 71.080 46.0071
307.000000 71.082 45.9724
311.000000 71.053 45.9893
315.000000 71.050 46.0379
320.000000 70.999 46.0912
325.000000 71.020 46.0375
330.000000 70.989 46.1644
335.000000 70.991 46.3304
340.000000 70.973 46.0914
345.000000 70.969 46.0070
350.000000 70.963 46.1318
355.000000 70.977 46.2352
360.000000 70.972 46.2216
365.000000 70.977 46.3672
370.000000 70.975 46.4857
375.000000 70.970 46.5577
382.000000 70.998 46.6156
387.000000 71.013 46.5418
395.000000 71.007 46.7964
400.000000 71.015 46.8308
406.000000 71.032 46.8678
412.000000 71.053 47.1055
418.000000 71.075 47.1985
425.000000 71.111 47.3212
431.000000 71.108 47.2314
437.000000 71.135 47.4820
444.000000 71.200 47.6977
450.000000 71.185 47.5548
455.000000 71.216 47.7632
462.000000 71.273 47.7142
468.000000 71.292 47.9729
475.000000 71.332 48.1080
482.000000 71.353 48.2459
487.000000 71.380 48.1712
494.000000 71.420 48.3410
500.000000 71.458 48.4684
508.000000 71.492 48.5892
515.000000 71.529 48.6790
522.000000 71.570 48.9741
530.000000 71.603 48.9868
538.000000 71.666 49.1817
545.000000 71.703 49.1477
552.000000 71.739 49.3709
560.000000 71.789 49.5519
570.000000 71.866 49.6211
580.000000 71.943 49.9410
590.000000 72.005 49.9963
600.000000 72.053 50.0833
608.000000 72.108 50.3285
615.000000 72.138 50.4110
622.000000 72.175 50.6426
630.000000 72.246 50.7448
640.000000 72.290 50.7385
650.000000 72.363 50.9848
660.000000 72.421 51.1028
670.000000 72.503 51.2387
680.000000 72.536 51.4509
690.000000 72.617 51.6455
700.000000 72.690 51.7224
710.000000 72.770 51.8134
720.000000 72.835 52.1125
730.000000 72.894 52.2298
740.000000 72.955 52.2977
750.000000 73.051 52.4929
762.000000 73.120 52.7722
775.000000 73.218 52.8900
788.000000 73.325 53.3616
800.000000 73.401 53.3308
812.000000 73.477 53.6085
825.000000 73.602 53.6582
838.000000 73.708 53.9126
850.000000 73.779 54.1140
862.000000 73.886 54.3360
875.000000 74.011 54.5672
885.000000 74.070 54.6444
900.000000 74.193 54.6331
912.000000 74.291 54.9681
925.000000 74.411 54.9996
938.000000 74.530 55.1450
950.000000 74.629 55.2575
962.000000 74.732 55.0771
975.000000 74.854 55.1997
988.000000 74.974 55.2120
1000.000000 74.997 55.2218
1015.000000 75.234 55.0291
1030.000000 75.346 55.0093
1044.000000 75.459 54.8770
1060.000000 75.587 54.6869
1075.000000 75.728 54.5249
1090.000000 75.837 54.3237
1106.000000 75.950 54.1339
1120.000000 76.057 53.8181
1138.000000 76.227 53.5440
1150.000000 76.312 53.3143
1172.000000 76.426 52.8250
1180.000000 76.471 52.5554
1206.000000 76.639 52.0914
1220.000000 76.732 51.7228
1241.000000 76.828 51.2682
1250.000000 76.881 51.0650
1265.000000 76.931 50.7609
1280.000000 76.999 50.3174
1315.000000 77.172 49.5918
1320.000000 77.177 49.4891
1340.000000 77.255 49.1568
1360.000000 77.323 48.7701
1380.000000 77.386 48.4066
1400.000000 77.459 48.0125
1430.000000 77.534 47.5227
1450.000000 77.584 47.1476
1475.000000 77.652 46.9634
1500.000000 77.698 46.5139
1525.000000 77.786 46.3786
1550.000000 77.833 46.0441
1575.000000 77.914 45.8999
1600.000000 77.954 45.5872
1625.000000 78.020 45.4749
1650.000000 78.067 45.2863
1675.000000 78.121 45.1324
1700.000000 78.189 45.0196
1725.000000 78.256 44.8918
1750.000000 78.303 44.8528
1775.000000 78.385 44.7624
1800.000000 78.429 44.6860
1825.000000 78.494 44.7010
1850.000000 78.555 44.5582
1875.000000 78.634 44.4882
1900.000000 78.712 44.5448
1925.000000 78.778 44.4829
1950.000000 78.859 44.4878
1975.000000 78.900 44.4512
2000.000000 78.980 44.8486
2030.000000 79.075 44.6563
2060.000000 79.161 44.9449
2090.000000 79.285 45.1844
2120.000000 79.396 45.4508
2140.000000 79.486 45.6503
2180.000000 79.717 46.2002
2200.000000 79.859 46.4312
2240.000000 80.183 46.7041
2270.000000 80.458 46.7273
2300.000000 80.741 46.4435
2330.000000 81.033 45.7933
2360.000000 81.318 44.9925
2400.000000 81.670 43.5624
2430.000000 81.920 42.1316
2470.000000 82.215 40.1414
2500.000000 82.419 38.5429
2540.000000 82.658 36.0379
2580.000000 82.848 33.2879
2620.000000 82.964 30.4502
2650.000000 83.001 28.2765
2690.000000 82.980 25.4257
2720.000000 82.922 23.5559
2760.000000 82.797 21.2693
2800.000000 82.652 19.3688
2850.000000 82.482 17.7382
2900.000000 82.334 16.3917
2950.000000 82.208 15.3329
3000.000000 82.119 14.2287
3040.000000 82.059 13.2983
3070.000000 82.020 12.6351
3110.000000 81.956 11.7428
3150.000000 81.879 10.9361
3200.000000 81.782 9.7958
3250.000000 81.695 8.8486
3300.000000 81.596 7.7665
3350.000000 81.473 7.0704
3400.000000 81.369 6.3367
3450.000000 81.255 5.4666
3500.000000 81.170 4.7429
3550.000000 81.046 4.0976
3600.000000 80.922 3.5695
3650.000000 80.809 2.9058
3700.000000 80.685 2.5043
3750.000000 80.577 2.2113
3820.000000 80.429 1.7208
3870.000000 80.306 1.6230
3950.000000 80.157 1.3639
4000.000000 80.002 0.8315
4060.000000 79.967 1.3327
4120.000000 79.889 1.4133
4180.000000 79.801 1.4581
4250.000000 79.724 1.6564
4310.000000 79.686 1.6906
4370.000000 79.646 1.8492
4440.000000 79.592 1.9987
4500.000000 79.590 1.9195
4550.000000 79.561 2.0371
4620.000000 79.545 2.1860
4680.000000 79.542 2.0651
4750.000000 79.572 1.9438
4820.000000 79.565 2.0446
4870.000000 79.592 1.9045
4940.000000 79.582 1.6993
5000.000000 79.584 1.2014
5080.000000 79.597 1.1937
5150.000000 79.593 0.8310
5220.000000 79.593 0.4633
5300.000000 79.578 0.1236
5380.000000 79.543 -0.2880
5450.000000 79.559 -0.7384
5520.000000 79.511 -1.1957
5600.000000 79.447 -1.6700
5700.000000 79.428 -2.3266
5800.000000 79.337 -2.9175
5900.000000 79.249 -3.4475
6000.000000 79.192 -4.3818
6080.000000 79.055 -4.7369
6150.000000 78.999 -4.9714
6220.000000 78.898 -5.4149
6300.000000 78.741 -5.9708
6400.000000 78.537 -6.3899
6500.000000 78.318 -6.4427
6600.000000 78.100 -6.5982
6700.000000 77.916 -5.8761
6800.000000 77.748 -5.3578
6900.000000 77.558 -4.9043
7000.000000 77.444 -4.1096
