* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 31, 2024 1:49:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 110 131
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.788 -160.9132
20.600000 128.804 -161.8265
20.900000 128.815 -162.6667
21.200001 128.825 -163.5159
21.400000 128.832 -164.0861
21.799999 128.849 -165.2266
22.000000 128.857 -165.7908
22.400000 128.876 -166.8941
22.700001 128.888 -167.6940
23.000000 128.899 -168.4698
23.299999 128.906 -169.2261
23.600000 128.911 -169.9679
24.000000 128.912 -170.9427
24.299999 128.911 -171.6677
24.700001 128.909 -172.6295
25.000000 128.909 -173.3474
25.400000 128.913 -174.2989
25.799999 128.920 -175.2412
26.200001 128.928 -176.1692
26.500000 128.933 -176.8517
26.900000 128.936 -177.7378
27.200001 128.934 -178.3810
27.600000 128.928 -179.2090
28.000000 128.918 179.9907
28.500000 128.906 179.0091
29.000000 128.896 178.0262
29.500000 128.887 177.0387
30.000000 128.875 176.0632
30.400000 128.865 175.3008
30.700001 128.856 174.7393
31.100000 128.844 173.9989
31.500000 128.831 173.2649
32.000000 128.813 172.3610
32.500000 128.795 171.4841
33.000000 128.780 170.6346
33.500000 128.766 169.7963
34.000000 128.751 168.9545
34.500000 128.731 168.1123
35.000000 128.707 167.2810
35.500000 128.683 166.4635
36.000000 128.660 165.6545
36.500000 128.637 164.8552
37.000000 128.614 164.0760
37.500000 128.591 163.3227
38.200001 128.560 162.2968
38.700001 128.537 161.5711
39.500000 128.500 160.4163
40.000000 128.475 159.6966
40.599998 128.444 158.8354
41.200001 128.408 157.9919
41.799999 128.373 157.1766
42.500000 128.336 156.2407
43.099998 128.306 155.4362
43.700001 128.273 154.6507
44.400002 128.233 153.7762
45.000000 128.200 153.0377
45.500000 128.172 152.4132
46.200001 128.130 151.5396
46.799999 128.095 150.8106
47.500000 128.055 149.9777
48.200001 128.014 149.1533
48.700001 127.984 148.5710
49.400002 127.942 147.7585
50.000000 127.906 147.0604
50.799999 127.856 146.1600
51.500000 127.812 145.4229
52.200001 127.770 144.6856
53.000000 127.717 143.7976
53.799999 127.658 142.9404
54.500000 127.613 142.2500
55.200001 127.577 141.5408
56.000000 127.528 140.6912
57.000000 127.458 139.7137
58.000000 127.400 138.7403
59.000000 127.332 137.7423
60.000000 127.266 136.8311
60.799999 127.218 136.0632
61.500000 127.169 135.4100
62.200001 127.121 134.8260
63.000000 127.076 134.1504
64.000000 127.012 133.2435
65.000000 126.944 132.3724
66.000000 126.876 131.5132
67.000000 126.808 130.6853
68.000000 126.746 129.8202
69.000000 126.678 129.0015
70.000000 126.616 128.2472
71.000000 126.552 127.4387
72.000000 126.483 126.6558
73.000000 126.419 125.9233
74.000000 126.358 125.1828
75.000000 126.290 124.4061
76.199997 126.210 123.5202
77.500000 126.127 122.6087
78.800003 126.048 121.6974
80.000000 125.970 120.7787
81.199997 125.893 119.9643
82.500000 125.806 119.1080
83.800003 125.724 118.3160
85.000000 125.658 117.4885
86.199997 125.584 116.6892
87.500000 125.495 115.8778
88.500000 125.435 115.2903
90.000000 125.342 114.3658
91.199997 125.272 113.6627
92.500000 125.195 112.8506
93.800003 125.112 112.0909
95.000000 125.034 111.4067
96.199997 124.965 110.6965
97.500000 124.893 109.9879
98.800003 124.813 109.2642
100.000000 124.737 108.6348
101.500000 124.655 107.8501
103.000000 124.562 107.0162
104.400002 124.481 106.3074
106.000000 124.383 105.5066
107.500000 124.301 104.7020
109.000000 124.216 103.9936
110.599998 124.131 103.2180
112.000000 124.053 102.5407
113.800003 123.945 101.7235
115.000000 123.881 101.1679
117.199997 123.761 100.1723
118.000000 123.710 99.8320
120.599998 123.568 98.6478
122.000000 123.502 98.0455
124.099998 123.391 97.1565
125.000000 123.348 96.7842
126.500000 123.255 96.1940
128.000000 123.192 95.5296
131.500000 123.002 94.1830
132.000000 122.979 94.0019
134.000000 122.892 93.1716
136.000000 122.785 92.4549
138.000000 122.685 91.7858
140.000000 122.599 90.9757
143.000000 122.426 90.0072
145.000000 122.351 89.1190
147.500000 122.235 88.4196
150.000000 122.121 87.4826
152.500000 122.002 86.7047
155.000000 121.888 85.9017
157.500000 121.775 85.1755
160.000000 121.672 84.4212
162.500000 121.571 83.6122
165.000000 121.449 83.0724
167.500000 121.353 82.0837
170.000000 121.232 81.5556
172.500000 121.143 80.8466
175.000000 121.050 80.0940
177.500000 120.955 79.4808
180.000000 120.845 78.9567
182.500000 120.745 78.1951
185.000000 120.657 77.5823
187.500000 120.565 77.0035
190.000000 120.461 76.4178
192.500000 120.371 75.8828
195.000000 120.288 75.4153
197.500000 120.188 74.8019
200.000000 120.102 74.2053
203.000000 120.005 73.6140
206.000000 119.905 72.8986
209.000000 119.799 72.4539
212.000000 119.721 71.7838
214.000000 119.649 71.3204
218.000000 119.509 70.6203
220.000000 119.460 70.2714
224.000000 119.321 69.6546
227.000000 119.239 69.0524
230.000000 119.141 68.6081
233.000000 119.072 68.0394
236.000000 118.973 67.6858
240.000000 118.868 67.0315
243.000000 118.788 66.5295
247.000000 118.693 65.9989
250.000000 118.607 65.5844
254.000000 118.499 64.8516
258.000000 118.399 64.3987
262.000000 118.312 64.0218
265.000000 118.238 63.5574
269.000000 118.133 63.1844
272.000000 118.077 62.7406
276.000000 117.973 62.4616
280.000000 117.886 61.9933
285.000000 117.783 61.4289
290.000000 117.676 60.9603
295.000000 117.582 60.4305
300.000000 117.480 60.0481
304.000000 117.426 59.6425
307.000000 117.381 59.3753
311.000000 117.295 59.0935
315.000000 117.218 58.8105
320.000000 117.153 58.5396
325.000000 117.055 58.1058
330.000000 116.987 57.7133
335.000000 116.902 57.4849
340.000000 116.844 57.0910
345.000000 116.776 56.9622
350.000000 116.680 56.5707
355.000000 116.639 56.3958
360.000000 116.564 56.1036
365.000000 116.516 55.8980
370.000000 116.438 55.6571
375.000000 116.412 55.4724
382.000000 116.350 55.2522
387.000000 116.282 55.0911
395.000000 116.210 54.7494
400.000000 116.164 54.8124
406.000000 116.132 54.4930
412.000000 116.067 54.3401
418.000000 116.038 54.2223
425.000000 115.971 54.0488
431.000000 115.927 53.9575
437.000000 115.909 53.7684
444.000000 115.844 53.6174
450.000000 115.827 53.5877
455.000000 115.804 53.5151
462.000000 115.791 53.5735
468.000000 115.738 53.3727
475.000000 115.711 53.3867
482.000000 115.702 53.2838
487.000000 115.658 53.3020
494.000000 115.645 53.3133
500.000000 115.640 53.1404
508.000000 115.627 53.1403
515.000000 115.611 53.2716
522.000000 115.590 53.0370
530.000000 115.572 53.1487
538.000000 115.568 53.1595
545.000000 115.567 53.0256
552.000000 115.562 53.1418
560.000000 115.583 53.3223
570.000000 115.582 53.2195
580.000000 115.572 53.2887
590.000000 115.554 53.3823
600.000000 115.567 53.4046
608.000000 115.591 53.3834
615.000000 115.593 53.4006
622.000000 115.605 53.4131
630.000000 115.591 53.4169
640.000000 115.644 53.6408
650.000000 115.670 53.7139
660.000000 115.683 53.7295
670.000000 115.708 53.9001
680.000000 115.696 53.8445
690.000000 115.765 54.0984
700.000000 115.795 54.2906
710.000000 115.809 54.1796
720.000000 115.855 54.4331
730.000000 115.909 54.4972
740.000000 115.927 54.5349
750.000000 116.002 54.7504
762.000000 116.012 55.0025
775.000000 116.081 55.1731
788.000000 116.147 55.2546
800.000000 116.199 55.4072
812.000000 116.236 55.5386
825.000000 116.314 55.7639
838.000000 116.385 55.7871
850.000000 116.468 56.1146
862.000000 116.537 56.1410
875.000000 116.618 56.3385
885.000000 116.665 56.4180
900.000000 116.761 56.4144
912.000000 116.852 56.5687
925.000000 116.961 56.7297
938.000000 117.043 56.6633
950.000000 117.108 56.7611
962.000000 117.211 56.9293
975.000000 117.311 57.0018
988.000000 117.429 56.8716
1000.000000 117.533 57.4247
1015.000000 117.598 56.7392
1030.000000 117.683 56.6768
1044.000000 117.802 56.5887
1060.000000 117.911 56.3262
1075.000000 118.018 56.1713
1090.000000 118.129 56.0187
1106.000000 118.239 55.5667
1120.000000 118.313 55.5464
1138.000000 118.432 55.2031
1150.000000 118.500 54.8678
1172.000000 118.641 54.3450
1180.000000 118.662 54.3519
1206.000000 118.794 53.8423
1220.000000 118.883 53.4055
1241.000000 118.963 52.9778
1250.000000 119.003 52.7881
1265.000000 119.067 52.5925
1280.000000 119.118 52.1909
1315.000000 119.239 51.5120
1320.000000 119.250 51.4249
1340.000000 119.317 50.8987
1360.000000 119.382 50.6481
1380.000000 119.442 50.2701
1400.000000 119.504 50.1483
1430.000000 119.573 49.6783
1450.000000 119.636 49.3674
1475.000000 119.684 49.0450
1500.000000 119.714 48.7697
1525.000000 119.751 48.4872
1550.000000 119.804 48.2963
1575.000000 119.875 48.1088
1600.000000 119.928 47.9973
1625.000000 119.976 47.8932
1650.000000 120.030 47.7845
1675.000000 120.071 47.5742
1700.000000 120.137 47.6165
1725.000000 120.175 47.4644
1750.000000 120.254 47.4584
1775.000000 120.312 47.4982
1800.000000 120.380 47.4243
1825.000000 120.451 47.5469
1850.000000 120.520 47.5376
1875.000000 120.593 47.5437
1900.000000 120.688 47.5761
1925.000000 120.745 47.7645
1950.000000 120.835 47.8901
1975.000000 120.885 47.8479
2000.000000 120.981 47.8475
2030.000000 121.101 48.3345
2060.000000 121.249 48.4449
2090.000000 121.379 48.6101
2120.000000 121.540 48.9378
2140.000000 121.636 48.9361
2180.000000 121.891 49.1515
2200.000000 122.035 49.1733
2240.000000 122.351 49.0129
2270.000000 122.577 48.8575
2300.000000 122.818 48.4284
2330.000000 123.067 47.7975
2360.000000 123.305 47.0351
2400.000000 123.620 45.8594
2430.000000 123.852 44.8900
2470.000000 124.140 43.3398
2500.000000 124.357 41.9766
2540.000000 124.609 39.9751
2580.000000 124.853 37.7437
2620.000000 125.056 35.0577
2650.000000 125.167 33.0749
2690.000000 125.263 30.1634
2720.000000 125.283 28.0122
2760.000000 125.239 25.2357
2800.000000 125.145 22.6686
2850.000000 124.964 20.1122
2900.000000 124.763 18.1198
2950.000000 124.596 16.7330
3000.000000 124.465 15.4288
3040.000000 124.334 14.4336
3070.000000 124.269 13.7267
3110.000000 124.187 12.9053
3150.000000 124.100 12.0791
3200.000000 123.991 10.9521
3250.000000 123.887 9.8642
3300.000000 123.771 8.9683
3350.000000 123.628 7.9961
3400.000000 123.482 7.2488
3450.000000 123.370 6.6268
3500.000000 123.242 6.0673
3550.000000 123.091 5.4163
3600.000000 122.939 4.9221
3650.000000 122.817 4.5946
3700.000000 122.695 4.3779
3750.000000 122.571 4.1969
3820.000000 122.417 4.1333
3870.000000 122.301 4.1318
3950.000000 122.155 4.0493
4000.000000 122.099 4.1580
4060.000000 122.020 4.3841
4120.000000 121.933 4.5276
4180.000000 121.899 4.8042
4250.000000 121.828 5.0441
4310.000000 121.841 5.2109
4370.000000 121.802 5.4723
4440.000000 121.816 5.6866
4500.000000 121.825 5.9412
4550.000000 121.826 6.0919
4620.000000 121.859 6.3526
4680.000000 121.894 6.3244
4750.000000 121.933 6.4943
4820.000000 121.998 6.3304
4870.000000 122.039 6.1909
4940.000000 122.092 6.0710
5000.000000 122.137 5.9886
5080.000000 122.185 5.5209
5150.000000 122.227 5.2008
5220.000000 122.283 4.6715
5300.000000 122.326 4.2227
5380.000000 122.334 3.4939
5450.000000 122.382 2.8788
5520.000000 122.386 2.1694
5600.000000 122.386 1.6758
5700.000000 122.372 0.6912
5800.000000 122.389 -0.1757
5900.000000 122.346 -0.9825
6000.000000 122.267 -2.0791
6080.000000 122.266 -2.7468
6150.000000 122.224 -3.4038
6220.000000 122.161 -4.1566
6300.000000 122.086 -5.0170
6400.000000 121.945 -6.3085
6500.000000 121.801 -7.2504
6600.000000 121.597 -8.3621
6700.000000 121.408 -8.9033
6800.000000 121.166 -9.3004
6900.000000 120.956 -9.4734
7000.000000 120.790 -9.4977
