* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 18, 2025 2:52:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MK10 black
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 126.322 -155.6028
20.600000 126.333 -156.2255
20.900000 126.340 -156.7935
21.200001 126.346 -157.3719
21.400000 126.350 -157.7639
21.799999 126.358 -158.5532
22.000000 126.362 -158.9434
22.400000 126.370 -159.6996
22.700001 126.377 -160.2401
23.000000 126.384 -160.7599
23.299999 126.390 -161.2662
23.600000 126.396 -161.7639
24.000000 126.401 -162.4167
24.299999 126.402 -162.8951
24.700001 126.402 -163.5124
25.000000 126.402 -163.9601
25.400000 126.404 -164.5434
25.799999 126.406 -165.1234
26.200001 126.407 -165.7048
26.500000 126.406 -166.1368
26.900000 126.401 -166.6964
27.200001 126.395 -167.0986
27.600000 126.389 -167.6139
28.000000 126.386 -168.1205
28.500000 126.386 -168.7660
29.000000 126.384 -169.4240
29.500000 126.377 -170.0591
30.000000 126.368 -170.6397
30.400000 126.361 -171.0728
30.700001 126.357 -171.3939
31.100000 126.350 -171.8333
31.500000 126.342 -172.2850
32.000000 126.325 -172.8382
32.500000 126.307 -173.3456
33.000000 126.295 -173.8200
33.500000 126.287 -174.3069
34.000000 126.277 -174.8205
34.500000 126.262 -175.3180
35.000000 126.246 -175.7651
35.500000 126.240 -176.1969
36.000000 126.236 -176.6764
36.500000 126.223 -177.1947
37.000000 126.193 -177.6562
37.500000 126.159 -177.9947
38.200001 126.135 -178.3925
38.700001 126.132 -178.7838
39.500000 126.113 -179.5843
40.000000 126.091 179.9600
40.599998 126.069 179.5062
41.200001 126.055 179.0656
41.799999 126.035 178.6075
42.500000 126.003 178.1094
43.099998 125.979 177.7091
43.700001 125.960 177.2874
44.400002 125.936 176.7906
45.000000 125.914 176.4061
45.500000 125.895 176.1061
46.200001 125.867 175.6724
46.799999 125.839 175.2780
47.500000 125.805 174.8209
48.200001 125.775 174.3876
48.700001 125.757 174.0928
49.400002 125.731 173.6996
50.000000 125.707 173.3809
50.799999 125.673 172.9663
51.500000 125.643 172.5972
52.200001 125.614 172.2332
53.000000 125.584 171.8312
53.799999 125.552 171.4224
54.500000 125.516 171.0755
55.200001 125.478 170.7577
56.000000 125.442 170.3912
57.000000 125.407 169.8994
58.000000 125.367 169.4268
59.000000 125.315 169.0085
60.000000 125.267 168.6188
60.799999 125.236 168.2762
61.500000 125.209 167.9802
62.200001 125.182 167.7019
63.000000 125.147 167.3864
64.000000 125.096 167.0388
65.000000 125.052 166.7061
66.000000 125.005 166.3160
67.000000 124.955 165.9830
68.000000 124.914 165.6497
69.000000 124.867 165.3199
70.000000 124.822 165.0143
71.000000 124.776 164.6852
72.000000 124.730 164.4118
73.000000 124.691 164.0980
74.000000 124.641 163.7560
75.000000 124.592 163.4923
76.199997 124.539 163.1785
77.500000 124.478 162.8229
78.800003 124.422 162.5191
80.000000 124.366 162.2463
81.199997 124.309 161.9620
82.500000 124.251 161.6588
83.800003 124.190 161.3985
85.000000 124.135 161.1116
86.199997 124.079 160.8453
87.500000 124.029 160.5915
88.500000 123.983 160.3969
90.000000 123.919 160.1849
91.199997 123.864 159.8671
92.500000 123.813 159.6867
93.800003 123.743 159.5520
95.000000 123.707 159.3088
96.199997 123.648 159.0379
97.500000 123.596 158.9977
98.800003 123.526 158.7603
100.000000 123.473 158.6066
101.500000 123.418 158.3610
103.000000 123.358 158.2797
104.400002 123.271 158.0641
106.000000 123.243 157.8350
107.500000 123.156 158.3322
109.000000 123.090 157.3541
110.599998 122.952 157.5659
112.000000 122.944 157.0325
113.800003 122.930 157.1696
115.000000 122.840 157.5437
117.199997 122.795 156.8792
118.000000 122.755 156.8505
120.599998 122.592 157.2106
122.000000 122.699 157.7519
124.099998 122.636 156.1599
125.000000 122.574 155.8311
126.500000 122.352 155.1170
128.000000 122.263 156.1668
131.500000 122.229 154.9855
132.000000 122.121 155.2924
134.000000 122.101 156.1826
136.000000 122.172 155.4531
138.000000 122.101 155.8781
140.000000 121.916 155.8688
143.000000 121.905 156.0032
145.000000 121.756 156.0428
147.500000 121.709 155.8535
150.000000 121.593 155.8393
152.500000 121.524 155.7998
155.000000 121.442 155.8887
157.500000 121.345 155.8519
160.000000 121.286 155.9034
162.500000 121.191 155.9976
165.000000 121.126 156.0928
167.500000 121.030 156.0688
170.000000 120.957 156.1973
172.500000 120.874 156.3683
175.000000 120.802 156.4760
177.500000 120.716 156.7213
180.000000 120.708 156.7730
182.500000 120.599 157.0142
185.000000 120.561 157.1607
187.500000 120.456 157.0136
190.000000 120.391 157.2067
192.500000 120.332 157.1945
195.000000 120.236 157.5047
197.500000 120.182 157.7578
200.000000 120.124 158.0694
203.000000 120.086 158.5414
206.000000 120.018 158.8767
209.000000 120.010 158.9771
212.000000 120.005 159.1909
214.000000 119.959 159.2700
218.000000 119.885 159.2572
220.000000 119.838 159.3141
224.000000 119.760 159.4568
227.000000 119.678 159.5546
230.000000 119.635 159.8255
233.000000 119.574 159.9384
236.000000 119.519 160.1339
240.000000 119.448 160.4198
243.000000 119.384 160.4485
247.000000 119.341 160.7654
250.000000 119.230 160.8934
254.000000 119.165 161.6255
258.000000 119.125 161.4146
262.000000 119.005 161.6469
265.000000 118.959 162.3820
269.000000 118.910 162.7717
272.000000 118.910 163.0621
276.000000 118.874 163.3489
280.000000 118.799 163.3950
285.000000 118.731 163.7896
290.000000 118.664 164.1722
295.000000 118.600 164.6630
300.000000 118.527 164.9602
304.000000 118.496 165.4244
307.000000 118.450 165.5771
311.000000 118.386 166.0049
315.000000 118.361 166.2332
320.000000 118.292 166.5805
325.000000 118.236 167.0087
330.000000 118.181 167.3875
335.000000 118.136 167.8919
340.000000 118.086 168.2519
345.000000 118.038 168.6906
350.000000 117.979 169.0811
355.000000 117.935 169.5722
360.000000 117.879 169.9337
365.000000 117.820 170.4333
370.000000 117.786 170.7234
375.000000 117.760 171.2081
382.000000 117.692 171.7697
387.000000 117.651 172.3914
395.000000 117.579 172.9283
400.000000 117.547 173.4411
406.000000 117.523 173.9233
412.000000 117.475 174.4468
418.000000 117.439 174.9725
425.000000 117.382 175.6639
431.000000 117.358 176.1168
437.000000 117.327 176.5005
444.000000 117.282 177.1631
450.000000 117.268 177.6693
455.000000 117.245 178.1894
462.000000 117.182 178.5444
468.000000 117.150 179.1575
475.000000 117.136 -179.9314
482.000000 117.149 -179.4086
487.000000 117.069 -178.8918
494.000000 117.053 -178.2711
500.000000 117.035 -177.9200
508.000000 117.012 -177.3351
515.000000 117.007 -176.7387
522.000000 116.963 -176.1169
530.000000 116.958 -175.3028
538.000000 116.920 -174.7558
545.000000 116.945 -173.9708
552.000000 116.909 -173.5732
560.000000 116.915 -172.7675
570.000000 116.888 -171.8001
580.000000 116.857 -170.9743
590.000000 116.834 -170.2820
600.000000 116.884 -169.2895
608.000000 116.804 -168.6193
615.000000 116.885 -167.9065
622.000000 116.869 -167.4937
630.000000 116.838 -166.8990
640.000000 116.884 -165.8917
650.000000 116.842 -165.1284
660.000000 116.891 -164.2442
670.000000 116.883 -163.3997
680.000000 116.907 -162.6021
690.000000 116.911 -161.6795
700.000000 116.949 -161.1255
710.000000 117.017 -159.9843
720.000000 116.996 -159.1385
730.000000 117.103 -158.2699
740.000000 117.094 -157.8004
750.000000 117.107 -157.1255
762.000000 117.152 -156.0271
775.000000 117.260 -154.7894
788.000000 117.353 -153.8138
800.000000 117.457 -152.8312
812.000000 117.516 -152.1208
825.000000 117.620 -151.7246
838.000000 117.705 -150.9549
850.000000 117.821 -150.4044
862.000000 117.905 -150.2540
875.000000 117.906 -150.6231
885.000000 117.786 -150.7498
900.000000 117.586 -149.4691
912.000000 117.582 -148.1224
925.000000 117.562 -146.1437
938.000000 117.651 -144.2700
950.000000 117.791 -143.1119
962.000000 117.946 -142.0015
975.000000 118.090 -141.2082
988.000000 118.208 -140.2591
1000.000000 118.396 -139.3235
1015.000000 118.495 -138.7365
1030.000000 118.655 -138.0139
1044.000000 118.808 -137.3062
1060.000000 118.962 -136.4139
1075.000000 119.103 -135.8416
1090.000000 119.268 -135.3947
1106.000000 119.432 -134.8069
1120.000000 119.565 -134.2203
1138.000000 119.734 -133.8087
1150.000000 119.846 -133.4796
1172.000000 120.042 -132.8712
1180.000000 120.102 -132.6111
1206.000000 120.328 -131.9611
1220.000000 120.446 -131.7234
1241.000000 120.629 -131.3354
1250.000000 120.708 -131.0823
1265.000000 120.816 -130.7668
1280.000000 120.970 -130.5734
1315.000000 121.238 -129.8149
1320.000000 121.279 -129.7380
1340.000000 121.426 -129.3240
1360.000000 121.579 -129.1504
1380.000000 121.753 -128.7154
1400.000000 121.905 -128.4824
1430.000000 122.152 -128.0086
1450.000000 122.303 -127.7388
1475.000000 122.480 -127.3793
1500.000000 122.689 -127.1433
1525.000000 122.910 -126.7564
1550.000000 123.102 -126.5217
1575.000000 123.317 -126.3994
1600.000000 123.535 -126.1286
1625.000000 123.750 -126.0174
1650.000000 123.981 -125.9041
1675.000000 124.203 -125.8331
1700.000000 124.428 -125.8352
1725.000000 124.659 -125.9044
1750.000000 124.886 -125.9900
1775.000000 125.130 -126.2348
1800.000000 125.360 -126.3900
1825.000000 125.619 -126.7226
1850.000000 125.862 -127.1397
1875.000000 126.101 -127.5793
1900.000000 126.343 -128.1430
1925.000000 126.577 -128.7887
1950.000000 126.816 -129.5546
1975.000000 127.060 -130.3683
2000.000000 127.264 -131.5343
2030.000000 127.552 -132.6396
2060.000000 127.805 -134.0757
2090.000000 128.053 -135.5964
2120.000000 128.274 -137.2741
2140.000000 128.413 -138.4511
2180.000000 128.660 -141.0286
2200.000000 128.775 -142.3022
2240.000000 128.943 -145.1111
2270.000000 129.048 -147.2710
2300.000000 129.111 -149.3593
2330.000000 129.155 -151.5251
2360.000000 129.167 -153.7023
2400.000000 129.141 -156.5087
2430.000000 129.094 -158.4532
2470.000000 128.996 -160.9151
2500.000000 128.899 -162.6455
2540.000000 128.751 -164.7534
2580.000000 128.574 -166.6493
2620.000000 128.385 -168.2742
2650.000000 128.243 -169.3860
2690.000000 128.030 -170.5888
2720.000000 127.879 -171.3639
2760.000000 127.687 -172.3456
2800.000000 127.477 -172.9973
2850.000000 127.240 -173.7277
2900.000000 127.008 -174.1156
2950.000000 126.798 -174.3837
3000.000000 126.594 -174.5039
3040.000000 126.463 -174.5011
3070.000000 126.348 -174.4319
3110.000000 126.232 -174.2781
3150.000000 126.134 -174.0479
3200.000000 126.005 -173.7126
3250.000000 125.904 -173.2993
3300.000000 125.825 -172.8633
3350.000000 125.758 -172.3203
3400.000000 125.711 -171.8168
3450.000000 125.683 -171.3269
3500.000000 125.673 -170.7389
3550.000000 125.690 -170.2774
3600.000000 125.714 -169.6423
3650.000000 125.784 -169.1258
3700.000000 125.841 -168.6645
3750.000000 125.932 -168.2794
3820.000000 126.091 -167.8412
3870.000000 126.208 -167.6021
3950.000000 126.442 -167.5806
4000.000000 126.630 -167.8219
4060.000000 126.814 -168.1526
4120.000000 127.032 -168.6550
4180.000000 127.255 -169.5514
4250.000000 127.522 -170.8545
4310.000000 127.750 -172.3925
4370.000000 127.956 -174.2354
4440.000000 128.159 -176.8533
4500.000000 128.297 -179.4407
4550.000000 128.383 178.1026
4620.000000 128.405 174.3874
4680.000000 128.324 170.8655
4750.000000 128.101 166.6714
4820.000000 127.681 162.3999
4870.000000 127.165 159.5810
4940.000000 125.925 158.6435
5000.000000 125.510 167.5983
5080.000000 126.757 165.5472
5150.000000 126.571 160.1353
5220.000000 126.127 156.9306
5300.000000 125.515 154.8523
5380.000000 124.899 153.8689
5450.000000 124.382 153.5512
5520.000000 123.910 153.6003
5600.000000 123.336 154.0457
5700.000000 122.725 155.2360
5800.000000 122.147 156.8053
5900.000000 121.633 159.2235
6000.000000 121.193 161.7505
