* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 12, 2025 8:00:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L MK12 SILVER 668
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.936 -154.8723
20.600000 85.946 -155.2741
20.900000 85.951 -155.6322
21.200001 85.958 -156.0025
21.400000 85.964 -156.2629
21.799999 85.980 -156.8112
22.000000 85.988 -157.0916
22.400000 86.005 -157.6404
22.700001 86.016 -158.0236
23.000000 86.026 -158.3753
23.299999 86.036 -158.7023
23.600000 86.044 -159.0146
24.000000 86.053 -159.4217
24.299999 86.058 -159.7251
24.700001 86.062 -160.1259
25.000000 86.066 -160.4229
25.400000 86.073 -160.8169
25.799999 86.084 -161.2115
26.200001 86.094 -161.5987
26.500000 86.101 -161.8728
26.900000 86.109 -162.2058
27.200001 86.115 -162.4343
27.600000 86.123 -162.7311
28.000000 86.130 -163.0484
28.500000 86.132 -163.4854
29.000000 86.124 -163.9169
29.500000 86.115 -164.2865
30.000000 86.115 -164.6089
30.400000 86.124 -164.8777
30.700001 86.132 -165.0988
31.100000 86.140 -165.4067
31.500000 86.143 -165.7000
32.000000 86.144 -166.0168
32.500000 86.149 -166.3012
33.000000 86.156 -166.6014
33.500000 86.162 -166.9219
34.000000 86.165 -167.2295
34.500000 86.169 -167.5123
35.000000 86.173 -167.7910
35.500000 86.174 -168.0749
36.000000 86.170 -168.3438
36.500000 86.167 -168.5903
37.000000 86.167 -168.8458
37.500000 86.169 -169.1338
38.200001 86.167 -169.5285
38.700001 86.166 -169.7498
39.500000 86.176 -170.0908
40.000000 86.179 -170.3631
40.599998 86.167 -170.6897
41.200001 86.150 -170.9245
41.799999 86.146 -171.1237
42.500000 86.152 -171.4442
43.099998 86.148 -171.7411
43.700001 86.143 -171.9602
44.400002 86.150 -172.2023
45.000000 86.157 -172.5165
45.500000 86.150 -172.8082
46.200001 86.132 -173.1035
46.799999 86.133 -173.2448
47.500000 86.155 -173.4451
48.200001 86.171 -173.7179
48.700001 86.169 -173.8831
49.400002 86.163 -174.0248
50.000000 86.163 -174.1358
50.799999 86.160 -174.3670
51.500000 86.140 -174.5854
52.200001 86.115 -174.7871
53.000000 86.100 -175.1346
53.799999 86.099 -175.5622
54.500000 86.113 -175.7813
55.200001 86.132 -175.8610
56.000000 86.114 -175.9193
57.000000 86.052 -176.0753
58.000000 86.038 -176.6559
59.000000 86.063 -177.0659
60.000000 86.097 -177.0889
60.799999 86.058 -177.2231
61.500000 86.013 -177.3543
62.200001 86.023 -177.6074
63.000000 86.064 -178.0055
64.000000 86.084 -178.0823
65.000000 86.052 -178.2614
66.000000 85.950 -178.6978
67.000000 85.957 -178.8752
68.000000 86.016 -179.1649
69.000000 85.972 -178.9993
70.000000 85.964 -178.8882
71.000000 85.987 -179.6384
72.000000 85.981 179.9969
73.000000 85.995 -179.8123
74.000000 85.974 179.8677
75.000000 85.914 179.3511
76.199997 85.937 179.2501
77.500000 85.939 178.9922
78.800003 85.866 178.8255
80.000000 85.888 178.6317
81.199997 85.873 178.3492
82.500000 85.829 178.1343
83.800003 85.842 178.0578
85.000000 85.846 177.7375
86.199997 85.803 177.5350
87.500000 85.809 177.5483
88.500000 85.809 177.4163
90.000000 85.775 177.0928
91.199997 85.737 177.0170
92.500000 85.718 176.9119
93.800003 85.700 176.6261
95.000000 85.688 176.2962
96.199997 85.671 176.2019
97.500000 85.672 176.0528
98.800003 85.660 175.9097
100.000000 85.648 175.7482
101.500000 85.613 175.5500
103.000000 85.589 175.2211
104.400002 85.575 175.1507
106.000000 85.566 175.1329
107.500000 85.536 174.9560
109.000000 85.504 174.6854
110.599998 85.516 174.5522
112.000000 85.497 174.5231
113.800003 85.445 174.0663
115.000000 85.437 173.8986
117.199997 85.415 173.9500
118.000000 85.402 173.7841
120.599998 85.367 173.2068
122.000000 85.352 173.5421
124.099998 85.295 173.3482
125.000000 85.290 172.9065
126.500000 85.325 172.9742
128.000000 85.276 172.6806
131.500000 85.214 172.7360
132.000000 85.179 172.5445
134.000000 85.181 172.6240
136.000000 85.147 172.5635
138.000000 85.126 171.9762
140.000000 85.082 172.1610
143.000000 85.090 172.1293
145.000000 85.007 171.7906
147.500000 84.925 171.6449
150.000000 84.943 171.4147
152.500000 84.918 171.4439
155.000000 84.833 171.3110
157.500000 84.849 170.5542
160.000000 84.788 171.2122
162.500000 84.765 170.4826
165.000000 84.688 170.8884
167.500000 84.702 170.3911
170.000000 84.633 170.2956
172.500000 84.618 170.4159
175.000000 84.598 170.2347
177.500000 84.540 170.2103
180.000000 84.484 170.2344
182.500000 84.477 169.9095
185.000000 84.443 169.8390
187.500000 84.414 169.9642
190.000000 84.369 169.8405
192.500000 84.338 169.7299
195.000000 84.301 169.7458
197.500000 84.261 169.7164
200.000000 84.234 169.6277
203.000000 84.186 169.7148
206.000000 84.131 169.6274
209.000000 84.110 169.5430
212.000000 84.055 169.4753
214.000000 84.031 169.4998
218.000000 83.975 169.4980
220.000000 83.942 169.4864
224.000000 83.884 169.4869
227.000000 83.848 169.5137
230.000000 83.808 169.5179
233.000000 83.769 169.4716
236.000000 83.722 169.4765
240.000000 83.661 169.6241
243.000000 83.634 169.5260
247.000000 83.571 169.5750
250.000000 83.534 169.5723
254.000000 83.478 169.7009
258.000000 83.414 169.7679
262.000000 83.366 169.9463
265.000000 83.353 169.7173
269.000000 83.266 169.6847
272.000000 83.222 170.2622
276.000000 83.197 170.2292
280.000000 83.124 170.3260
285.000000 83.047 170.4589
290.000000 83.023 170.7618
295.000000 82.994 171.0394
300.000000 82.907 171.0185
304.000000 82.912 171.5349
307.000000 82.872 171.4475
311.000000 82.854 171.3982
315.000000 82.793 171.9238
320.000000 82.710 171.9211
325.000000 82.765 172.3272
330.000000 82.557 172.2971
335.000000 82.608 172.1662
340.000000 82.506 172.4562
345.000000 82.497 172.8277
350.000000 82.430 173.0768
355.000000 82.368 173.1016
360.000000 82.342 173.4858
365.000000 82.285 173.7490
370.000000 82.247 173.9196
375.000000 82.193 174.2174
382.000000 82.145 174.4620
387.000000 82.070 174.7775
395.000000 82.011 175.0933
400.000000 81.986 175.4251
406.000000 81.928 175.7932
412.000000 81.902 176.2002
418.000000 81.808 176.6469
425.000000 81.736 176.7576
431.000000 81.706 177.3824
437.000000 81.707 177.5806
444.000000 81.608 178.4886
450.000000 81.522 178.1396
455.000000 81.601 178.4040
462.000000 81.426 179.2897
468.000000 81.521 -179.7488
475.000000 81.474 179.1743
482.000000 81.190 -179.0483
487.000000 81.610 -178.6577
494.000000 81.297 -179.0922
500.000000 81.192 -177.1918
508.000000 81.249 -177.5782
515.000000 81.198 -176.8699
522.000000 81.152 -176.3528
530.000000 81.171 -175.5575
538.000000 81.137 -175.1441
545.000000 81.073 -174.5452
552.000000 81.047 -174.3233
560.000000 81.035 -173.6590
570.000000 81.013 -172.6613
580.000000 80.985 -171.8409
590.000000 80.970 -171.0589
600.000000 80.957 -170.1893
608.000000 80.973 -169.6417
615.000000 80.907 -169.2288
622.000000 80.907 -168.4705
630.000000 80.918 -167.5659
640.000000 80.890 -166.6830
650.000000 80.860 -165.8473
660.000000 80.819 -165.6901
670.000000 80.973 -165.5116
680.000000 80.994 -163.1770
690.000000 80.966 -163.4245
700.000000 80.946 -162.4271
710.000000 80.979 -161.4914
720.000000 81.001 -160.7274
730.000000 81.025 -159.8651
740.000000 81.084 -159.1835
750.000000 81.121 -158.1702
762.000000 81.156 -157.5626
775.000000 81.213 -156.5013
788.000000 81.274 -155.4625
800.000000 81.311 -154.5692
812.000000 81.370 -153.7102
825.000000 81.437 -152.9350
838.000000 81.502 -151.9547
850.000000 81.584 -151.2206
862.000000 81.641 -150.4559
875.000000 81.716 -149.5729
885.000000 81.786 -148.8877
900.000000 81.891 -148.0852
912.000000 81.981 -147.3167
925.000000 82.063 -146.5417
938.000000 82.143 -145.8443
950.000000 82.246 -145.1789
962.000000 82.333 -144.5174
975.000000 82.434 -143.8551
988.000000 82.527 -143.3576
1000.000000 82.602 -142.3294
1015.000000 82.748 -142.0263
1030.000000 82.880 -141.3835
1044.000000 83.010 -140.8530
1060.000000 83.137 -140.1517
1075.000000 83.262 -139.6785
1090.000000 83.407 -139.0293
1106.000000 83.539 -138.6743
1120.000000 83.651 -138.3588
1138.000000 83.809 -137.7973
1150.000000 83.891 -137.4489
1172.000000 84.092 -136.9278
1180.000000 84.144 -136.6800
1206.000000 84.371 -136.2424
1220.000000 84.480 -135.8458
1241.000000 84.637 -135.6028
1250.000000 84.710 -135.4166
1265.000000 84.832 -135.0920
1280.000000 84.956 -134.9013
1315.000000 85.218 -134.3317
1320.000000 85.254 -134.2756
1340.000000 85.403 -133.9506
1360.000000 85.550 -133.6700
1380.000000 85.716 -133.4562
1400.000000 85.852 -133.1127
1430.000000 86.094 -132.7354
1450.000000 86.244 -132.5025
1475.000000 86.443 -132.2675
1500.000000 86.641 -131.9524
1525.000000 86.844 -131.7542
1550.000000 87.060 -131.5756
1575.000000 87.265 -131.3933
1600.000000 87.482 -131.2162
1625.000000 87.703 -131.1472
1650.000000 87.929 -131.0489
1675.000000 88.158 -131.0176
1700.000000 88.397 -131.0631
1725.000000 88.644 -131.1488
1750.000000 88.892 -131.3627
1775.000000 89.128 -131.5773
1800.000000 89.396 -131.9028
1825.000000 89.647 -132.3019
1850.000000 89.908 -132.8398
1875.000000 90.182 -133.4447
1900.000000 90.444 -134.2196
1925.000000 90.708 -135.0043
1950.000000 90.966 -135.9146
1975.000000 91.229 -137.0345
2000.000000 91.470 -138.0915
2030.000000 91.781 -139.8939
2060.000000 92.055 -141.7257
2090.000000 92.320 -143.8120
2120.000000 92.561 -146.0516
2140.000000 92.703 -147.6787
2180.000000 92.951 -151.0693
2200.000000 93.046 -152.9067
2240.000000 93.197 -156.6005
2270.000000 93.253 -159.4597
2300.000000 93.261 -162.3115
2330.000000 93.248 -165.1682
2360.000000 93.184 -167.9015
2400.000000 93.040 -171.3348
2430.000000 92.908 -173.7695
2470.000000 92.689 -176.7074
2500.000000 92.500 -178.6568
2540.000000 92.225 179.0353
2580.000000 91.937 177.0318
2620.000000 91.643 175.3803
2650.000000 91.420 174.3483
2690.000000 91.125 173.2160
2720.000000 90.908 172.4780
2760.000000 90.620 171.7292
2800.000000 90.348 171.1931
2850.000000 90.024 170.7693
2900.000000 89.730 170.6511
2950.000000 89.462 170.6933
3000.000000 89.181 170.8494
3040.000000 89.024 171.1329
3070.000000 88.914 171.3276
3110.000000 88.771 171.7141
3150.000000 88.630 172.1765
3200.000000 88.485 172.8622
3250.000000 88.365 173.5284
3300.000000 88.266 174.2476
3350.000000 88.196 174.9889
3400.000000 88.173 175.8217
3450.000000 88.157 176.6241
3500.000000 88.172 177.4034
3550.000000 88.195 178.0994
3600.000000 88.264 178.7999
3650.000000 88.348 179.3876
3700.000000 88.460 179.9706
3750.000000 88.602 -179.4985
3820.000000 88.826 -179.1017
3870.000000 89.021 -178.8266
3950.000000 89.377 -178.9847
4000.000000 89.625 -179.0842
4060.000000 89.962 179.9698
4120.000000 90.317 178.7849
4180.000000 90.685 177.1730
4250.000000 91.121 174.4280
4310.000000 91.477 171.4418
4370.000000 91.796 167.6366
4440.000000 92.055 162.2163
4500.000000 92.160 156.9554
4550.000000 92.131 152.2314
4620.000000 91.902 145.5573
4680.000000 91.533 140.1577
4750.000000 90.937 134.4863
4820.000000 90.207 129.9097
4870.000000 89.637 127.2546
4940.000000 88.804 124.4521
5000.000000 88.097 122.8200
5080.000000 87.139 121.4702
5150.000000 86.332 121.0372
5220.000000 85.583 121.1671
5300.000000 84.748 121.8898
5380.000000 83.985 123.1240
5450.000000 83.355 124.2264
5520.000000 82.759 125.7899
5600.000000 82.112 127.7856
5700.000000 81.413 130.4490
5800.000000 80.733 133.2171
5900.000000 80.135 136.7405
