* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 12, 2025 7:59:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MK12 SILVER 667
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.987 -155.6027
20.600000 86.995 -156.0336
20.900000 86.999 -156.4094
21.200001 87.005 -156.7839
21.400000 87.012 -157.0395
21.799999 87.027 -157.5649
22.000000 87.036 -157.8312
22.400000 87.053 -158.3554
22.700001 87.063 -158.7272
23.000000 87.072 -159.0737
23.299999 87.080 -159.3995
23.600000 87.087 -159.7141
24.000000 87.095 -160.1320
24.299999 87.100 -160.4518
24.700001 87.103 -160.8836
25.000000 87.105 -161.2032
25.400000 87.110 -161.6126
25.799999 87.117 -161.9992
26.200001 87.128 -162.3694
26.500000 87.137 -162.6411
26.900000 87.147 -162.9968
27.200001 87.152 -163.2558
27.600000 87.154 -163.5859
28.000000 87.153 -163.8981
28.500000 87.152 -164.2763
29.000000 87.154 -164.6629
29.500000 87.159 -165.0667
30.000000 87.167 -165.4793
30.400000 87.173 -165.8058
30.700001 87.177 -166.0446
31.100000 87.180 -166.3511
31.500000 87.182 -166.6410
32.000000 87.183 -166.9800
32.500000 87.184 -167.3020
33.000000 87.185 -167.6204
33.500000 87.186 -167.9368
34.000000 87.186 -168.2419
34.500000 87.187 -168.5324
35.000000 87.189 -168.8202
35.500000 87.189 -169.1138
36.000000 87.188 -169.4005
36.500000 87.185 -169.6626
37.000000 87.186 -169.9100
37.500000 87.190 -170.1763
38.200001 87.190 -170.6002
38.700001 87.183 -170.8949
39.500000 87.169 -171.2722
40.000000 87.168 -171.4785
40.599998 87.171 -171.7399
41.200001 87.172 -172.0110
41.799999 87.171 -172.2742
42.500000 87.168 -172.5756
43.099998 87.165 -172.8297
43.700001 87.165 -173.0795
44.400002 87.166 -173.3940
45.000000 87.159 -173.6819
45.500000 87.145 -173.8902
46.200001 87.126 -174.0949
46.799999 87.125 -174.2522
47.500000 87.137 -174.5242
48.200001 87.146 -174.8635
48.700001 87.146 -175.0990
49.400002 87.139 -175.4033
50.000000 87.126 -175.6234
50.799999 87.111 -175.8037
51.500000 87.115 -175.9486
52.200001 87.118 -176.2090
53.000000 87.098 -176.5308
53.799999 87.084 -176.7863
54.500000 87.081 -177.0410
55.200001 87.074 -177.2255
56.000000 87.076 -177.3314
57.000000 87.060 -177.7829
58.000000 86.985 -178.1417
59.000000 87.005 -178.2077
60.000000 87.053 -178.6161
60.799999 87.038 -178.8230
61.500000 87.023 -178.9000
62.200001 87.016 -179.0670
63.000000 87.009 -179.3343
64.000000 87.003 -179.6288
65.000000 86.990 -179.8857
66.000000 86.971 179.8964
67.000000 86.964 179.6786
68.000000 86.955 179.4068
69.000000 86.938 179.1850
70.000000 86.929 178.9551
71.000000 86.916 178.7225
72.000000 86.906 178.5318
73.000000 86.897 178.3019
74.000000 86.886 178.0993
75.000000 86.877 177.9159
76.199997 86.860 177.6597
77.500000 86.835 177.4018
78.800003 86.824 177.1506
80.000000 86.813 176.9370
81.199997 86.799 176.7069
82.500000 86.777 176.4486
83.800003 86.765 176.1905
85.000000 86.742 175.9623
86.199997 86.719 175.7965
87.500000 86.702 175.5379
88.500000 86.690 175.4025
90.000000 86.676 175.1260
91.199997 86.660 175.0067
92.500000 86.638 174.8100
93.800003 86.620 174.6468
95.000000 86.609 174.4125
96.199997 86.585 174.2594
97.500000 86.561 174.0653
98.800003 86.546 173.8684
100.000000 86.535 173.7035
101.500000 86.509 173.5076
103.000000 86.489 173.2820
104.400002 86.468 173.0938
106.000000 86.440 172.9272
107.500000 86.415 172.7732
109.000000 86.394 172.5414
110.599998 86.369 172.3483
112.000000 86.352 172.1729
113.800003 86.324 171.9585
115.000000 86.301 171.8417
117.199997 86.272 171.5858
118.000000 86.264 171.4784
120.599998 86.236 171.2874
122.000000 86.191 171.0418
124.099998 86.175 170.8566
125.000000 86.147 170.7491
126.500000 86.123 170.7081
128.000000 86.104 170.5312
131.500000 86.051 170.2079
132.000000 86.038 170.1294
134.000000 86.001 169.9972
136.000000 85.972 169.8535
138.000000 85.948 169.6478
140.000000 85.907 169.5524
143.000000 85.857 169.3643
145.000000 85.829 169.1304
147.500000 85.774 169.0163
150.000000 85.734 168.9713
152.500000 85.719 168.7197
155.000000 85.680 168.3577
157.500000 85.607 168.2206
160.000000 85.596 168.2166
162.500000 85.537 168.4687
165.000000 85.471 168.2740
167.500000 85.375 167.7552
170.000000 85.419 167.5843
172.500000 85.413 167.4319
175.000000 85.322 167.6244
177.500000 85.318 167.4880
180.000000 85.259 167.0780
182.500000 85.241 167.2138
185.000000 85.184 167.2742
187.500000 85.139 167.0587
190.000000 85.110 167.0664
192.500000 85.060 167.0262
195.000000 85.022 166.9344
197.500000 84.975 166.8046
200.000000 84.944 166.7413
203.000000 84.895 166.7866
206.000000 84.839 166.6775
209.000000 84.801 166.6619
212.000000 84.749 166.6117
214.000000 84.715 166.6087
218.000000 84.656 166.5374
220.000000 84.626 166.5309
224.000000 84.575 166.5182
227.000000 84.522 166.6013
230.000000 84.474 166.4723
233.000000 84.441 166.5115
236.000000 84.390 166.4847
240.000000 84.318 166.5552
243.000000 84.289 166.5051
247.000000 84.234 166.5189
250.000000 84.173 166.5419
254.000000 84.120 166.5060
258.000000 84.081 166.6621
262.000000 83.997 166.7343
265.000000 83.980 166.7965
269.000000 83.898 167.0154
272.000000 83.867 166.6074
276.000000 83.830 167.0352
280.000000 83.736 166.9216
285.000000 83.710 166.9634
290.000000 83.639 167.3705
295.000000 83.581 167.7061
300.000000 83.449 167.7540
304.000000 83.427 167.6445
307.000000 83.386 167.9172
311.000000 83.342 167.7819
315.000000 83.264 168.1360
320.000000 83.201 168.3492
325.000000 83.140 168.5864
330.000000 83.072 168.8086
335.000000 83.021 169.3726
340.000000 82.957 169.6735
345.000000 82.949 169.8693
350.000000 82.909 170.1879
355.000000 82.844 170.1778
360.000000 82.823 170.4309
365.000000 82.797 170.5824
370.000000 82.748 171.2752
375.000000 82.650 171.1971
382.000000 82.562 171.3929
387.000000 82.610 171.4058
395.000000 82.616 171.8676
400.000000 82.307 173.9044
406.000000 82.306 171.2513
412.000000 82.538 173.1181
418.000000 82.226 173.6099
425.000000 82.183 173.5690
431.000000 82.303 174.1708
437.000000 82.163 174.6762
444.000000 82.121 174.9059
450.000000 82.002 175.2615
455.000000 82.069 176.0034
462.000000 81.927 175.9743
468.000000 82.056 176.3378
475.000000 81.899 177.2739
482.000000 81.917 175.8138
487.000000 81.768 176.7077
494.000000 81.716 178.1428
500.000000 81.749 178.3254
508.000000 81.715 178.9987
515.000000 81.664 179.4222
522.000000 81.618 179.7335
530.000000 81.570 -179.5687
538.000000 81.527 -179.0343
545.000000 81.515 -178.5073
552.000000 81.471 -178.0000
560.000000 81.426 -177.6095
570.000000 81.395 -176.5691
580.000000 81.315 -176.0081
590.000000 81.319 -175.4471
600.000000 81.285 -174.4091
608.000000 81.275 -173.9818
615.000000 81.225 -173.4073
622.000000 81.194 -172.7041
630.000000 81.149 -172.2253
640.000000 81.162 -171.5617
650.000000 81.119 -170.5626
660.000000 81.122 -169.9931
670.000000 81.088 -169.0490
680.000000 81.081 -168.1217
690.000000 81.056 -167.4911
700.000000 81.044 -166.5491
710.000000 81.063 -165.7218
720.000000 81.071 -164.9102
730.000000 81.044 -164.0363
740.000000 81.056 -163.1636
750.000000 81.069 -162.3361
762.000000 81.092 -161.1354
775.000000 81.122 -160.1207
788.000000 81.146 -159.0226
800.000000 81.188 -158.0014
812.000000 81.246 -156.9855
825.000000 81.302 -155.8192
838.000000 81.345 -154.7942
850.000000 81.403 -153.6779
862.000000 81.488 -152.7413
875.000000 81.578 -151.6592
885.000000 81.648 -151.0273
900.000000 81.735 -149.8245
912.000000 81.843 -148.8119
925.000000 81.955 -147.9104
938.000000 82.057 -147.0636
950.000000 82.160 -146.3708
962.000000 82.274 -145.5728
975.000000 82.408 -144.7815
988.000000 82.527 -144.2155
1000.000000 82.692 -143.5209
1015.000000 82.799 -142.6426
1030.000000 82.944 -142.2000
1044.000000 83.069 -141.7089
1060.000000 83.208 -141.0324
1075.000000 83.368 -140.5604
1090.000000 83.507 -140.0147
1106.000000 83.653 -139.6105
1120.000000 83.791 -139.2786
1138.000000 83.945 -138.8728
1150.000000 84.047 -138.5105
1172.000000 84.245 -138.1363
1180.000000 84.307 -137.9420
1206.000000 84.538 -137.5736
1220.000000 84.644 -137.3657
1241.000000 84.815 -137.0798
1250.000000 84.893 -136.8154
1265.000000 85.007 -136.7654
1280.000000 85.117 -136.5003
1315.000000 85.380 -136.0244
1320.000000 85.429 -135.9122
1340.000000 85.567 -135.7678
1360.000000 85.730 -135.4437
1380.000000 85.852 -135.2439
1400.000000 86.019 -135.1063
1430.000000 86.247 -134.7043
1450.000000 86.392 -134.5677
1475.000000 86.598 -134.2691
1500.000000 86.780 -134.0541
1525.000000 86.981 -133.9424
1550.000000 87.173 -133.7324
1575.000000 87.388 -133.5875
1600.000000 87.586 -133.5014
1625.000000 87.805 -133.4495
1650.000000 88.024 -133.4158
1675.000000 88.258 -133.4224
1700.000000 88.487 -133.4694
1725.000000 88.704 -133.6316
1750.000000 88.948 -133.8267
1775.000000 89.186 -134.1200
1800.000000 89.440 -134.5526
1825.000000 89.684 -134.9110
1850.000000 89.932 -135.4359
1875.000000 90.184 -136.0751
1900.000000 90.436 -136.7907
1925.000000 90.692 -137.6039
1950.000000 90.941 -138.6261
1975.000000 91.178 -139.7139
2000.000000 91.402 -141.1060
2030.000000 91.693 -142.5533
2060.000000 91.956 -144.4023
2090.000000 92.199 -146.3598
2120.000000 92.410 -148.5434
2140.000000 92.547 -150.0598
2180.000000 92.768 -153.3404
2200.000000 92.851 -155.0501
2240.000000 92.981 -158.5838
2270.000000 93.031 -161.2239
2300.000000 93.048 -163.9319
2330.000000 93.025 -166.5582
2360.000000 92.972 -169.1069
2400.000000 92.842 -172.3427
2430.000000 92.711 -174.6063
2470.000000 92.510 -177.3550
2500.000000 92.337 -179.2270
2540.000000 92.086 178.5873
2580.000000 91.817 176.6399
2620.000000 91.538 175.0309
2650.000000 91.336 174.0216
2690.000000 91.051 172.8475
2720.000000 90.852 172.1955
2760.000000 90.578 171.4461
2800.000000 90.335 170.9725
2850.000000 90.028 170.4464
2900.000000 89.750 170.2826
2950.000000 89.489 170.2602
3000.000000 89.228 170.4396
3040.000000 89.094 170.5412
3070.000000 88.986 170.7684
3110.000000 88.838 171.1573
3150.000000 88.715 171.5084
3200.000000 88.574 172.1081
3250.000000 88.473 172.7291
3300.000000 88.384 173.3598
3350.000000 88.320 174.0398
3400.000000 88.292 174.7304
3450.000000 88.254 175.4424
3500.000000 88.286 176.1425
3550.000000 88.317 176.7702
3600.000000 88.394 177.4693
3650.000000 88.493 178.1171
3700.000000 88.615 178.6146
3750.000000 88.794 178.9267
3820.000000 89.038 179.0717
3870.000000 89.230 179.0385
3950.000000 89.599 178.5338
4000.000000 89.896 177.9858
4060.000000 90.176 176.8441
4120.000000 90.527 175.2675
4180.000000 90.868 173.0400
4250.000000 91.256 169.7942
4310.000000 91.551 166.1570
4370.000000 91.780 161.9173
4440.000000 91.915 156.1588
4500.000000 91.885 150.7935
4550.000000 91.734 146.2582
4620.000000 91.363 140.0788
4680.000000 90.895 135.1964
4750.000000 90.219 130.4081
4820.000000 89.451 126.6422
4870.000000 88.864 124.5020
4940.000000 88.053 122.3949
5000.000000 87.329 121.3656
5080.000000 86.414 120.4296
5150.000000 85.654 120.2830
5220.000000 84.894 120.7849
5300.000000 84.143 121.7519
5380.000000 83.377 123.1703
5450.000000 82.763 124.4426
5520.000000 82.203 126.1512
5600.000000 81.605 128.1718
5700.000000 80.912 131.0829
5800.000000 80.245 134.3533
5900.000000 79.680 137.4910
6000.000000 79.209 141.1353
