* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 1, 2025 11:38:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MK4 2 780
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.815 11.5662
20.600000 88.817 10.9696
20.900000 88.813 10.4370
21.200001 88.809 9.9039
21.400000 88.808 9.5436
21.799999 88.806 8.8144
22.000000 88.806 8.4498
22.400000 88.804 7.7357
22.700001 88.801 7.2240
23.000000 88.798 6.7367
23.299999 88.796 6.2685
23.600000 88.793 5.8111
24.000000 88.790 5.2037
24.299999 88.787 4.7428
24.700001 88.780 4.1210
25.000000 88.773 3.6564
25.400000 88.760 3.0526
25.799999 88.745 2.4798
26.200001 88.731 1.9398
26.500000 88.723 1.5484
26.900000 88.714 1.0290
27.200001 88.709 0.6319
27.600000 88.702 0.0893
28.000000 88.692 -0.4571
28.500000 88.674 -1.1170
29.000000 88.652 -1.7333
29.500000 88.627 -2.3157
30.000000 88.601 -2.8847
30.400000 88.581 -3.3398
30.700001 88.568 -3.6855
31.100000 88.554 -4.1611
31.500000 88.542 -4.6579
32.000000 88.527 -5.2897
32.500000 88.506 -5.8773
33.000000 88.481 -6.3781
33.500000 88.458 -6.8275
34.000000 88.435 -7.3080
34.500000 88.403 -7.8418
35.000000 88.361 -8.3646
35.500000 88.323 -8.8169
36.000000 88.302 -9.2380
36.500000 88.291 -9.7098
37.000000 88.273 -10.2386
37.500000 88.238 -10.7447
38.200001 88.183 -11.3299
38.700001 88.152 -11.7227
39.500000 88.108 -12.3994
40.000000 88.081 -12.8018
40.599998 88.054 -13.2743
41.200001 88.024 -13.7992
41.799999 87.979 -14.3040
42.500000 87.931 -14.7657
43.099998 87.904 -15.2219
43.700001 87.856 -15.8101
44.400002 87.762 -16.2980
45.000000 87.719 -16.4246
45.500000 87.734 -16.6505
46.200001 87.748 -17.3851
46.799999 87.694 -17.9326
47.500000 87.629 -18.1475
48.200001 87.596 -18.7184
48.700001 87.527 -19.4518
49.400002 87.375 -19.9945
50.000000 87.342 -19.7889
50.799999 87.435 -20.1124
51.500000 87.357 -20.9932
52.200001 87.156 -20.9279
53.000000 87.135 -20.4853
53.799999 87.224 -21.7424
54.500000 87.157 -22.9792
55.200001 87.064 -23.0826
56.000000 87.053 -22.9839
57.000000 86.976 -23.7584
58.000000 86.858 -24.3424
59.000000 86.801 -24.8412
60.000000 86.718 -25.2672
60.799999 86.657 -25.5246
61.500000 86.618 -25.8494
62.200001 86.569 -26.2273
63.000000 86.497 -26.5332
64.000000 86.421 -26.8272
65.000000 86.346 -27.2831
66.000000 86.269 -27.6143
67.000000 86.211 -28.0104
68.000000 86.124 -28.4957
69.000000 86.035 -28.7542
70.000000 85.973 -29.0192
71.000000 85.906 -29.3869
72.000000 85.830 -29.7417
73.000000 85.747 -29.9930
74.000000 85.677 -30.1928
75.000000 85.611 -30.5149
76.199997 85.509 -30.8380
77.500000 85.416 -31.1047
78.800003 85.320 -31.5274
80.000000 85.238 -31.8170
81.199997 85.152 -32.0587
82.500000 85.047 -32.1651
83.800003 84.947 -32.3931
85.000000 84.872 -32.5887
86.199997 84.796 -32.8632
87.500000 84.684 -33.1074
88.500000 84.625 -33.2319
90.000000 84.509 -33.2895
91.199997 84.393 -33.3195
92.500000 84.301 -33.7071
93.800003 84.256 -33.8418
95.000000 84.176 -33.8374
96.199997 84.094 -33.8925
97.500000 84.008 -34.0772
98.800003 83.911 -34.1475
100.000000 83.832 -34.1991
101.500000 83.737 -34.4114
103.000000 83.636 -34.3750
104.400002 83.537 -34.4413
106.000000 83.440 -34.4475
107.500000 83.380 -34.4129
109.000000 83.259 -34.5405
110.599998 83.158 -34.5914
112.000000 83.076 -34.4632
113.800003 82.997 -34.2672
115.000000 82.919 -34.3818
117.199997 82.818 -34.1744
118.000000 82.746 -33.6669
120.599998 82.386 -33.9978
122.000000 82.574 -34.1769
124.099998 82.442 -33.9351
125.000000 82.399 -33.9883
126.500000 82.364 -33.7050
128.000000 82.247 -33.5631
131.500000 82.061 -33.1699
132.000000 82.042 -33.1294
134.000000 81.990 -32.9010
136.000000 81.869 -32.7860
138.000000 81.761 -32.6702
140.000000 81.723 -32.6869
143.000000 81.575 -32.0223
145.000000 81.521 -31.8355
147.500000 81.399 -31.6367
150.000000 81.341 -31.1942
152.500000 81.240 -30.9846
155.000000 81.155 -30.4956
157.500000 81.105 -30.5234
160.000000 81.004 -29.8573
162.500000 80.981 -29.5482
165.000000 80.861 -29.2438
167.500000 80.817 -28.5862
170.000000 80.733 -28.5750
172.500000 80.663 -28.0150
175.000000 80.655 -27.7864
177.500000 80.594 -27.4948
180.000000 80.534 -27.0234
182.500000 80.468 -26.8223
185.000000 80.427 -26.6601
187.500000 80.377 -26.3779
190.000000 80.306 -25.8822
192.500000 80.264 -25.6790
195.000000 80.231 -25.4925
197.500000 80.182 -25.0689
200.000000 80.165 -24.7436
203.000000 80.116 -24.5678
206.000000 80.076 -24.0510
209.000000 80.035 -23.8223
212.000000 80.024 -23.4510
214.000000 79.963 -23.2755
218.000000 79.921 -22.7970
220.000000 79.913 -22.6193
224.000000 79.875 -22.2413
227.000000 79.840 -21.9687
230.000000 79.808 -21.6339
233.000000 79.783 -21.5062
236.000000 79.759 -21.0380
240.000000 79.725 -20.7315
243.000000 79.699 -20.4980
247.000000 79.664 -20.2096
250.000000 79.642 -19.8875
254.000000 79.609 -19.6764
258.000000 79.582 -19.2403
262.000000 79.546 -18.8319
265.000000 79.546 -18.5474
269.000000 79.534 -18.2727
272.000000 79.520 -18.1615
276.000000 79.494 -17.8391
280.000000 79.448 -17.6840
285.000000 79.436 -17.2806
290.000000 79.411 -16.7852
295.000000 79.395 -16.4014
300.000000 79.386 -16.0265
304.000000 79.364 -15.8017
307.000000 79.383 -15.6419
311.000000 79.403 -15.4398
315.000000 79.388 -15.3097
320.000000 79.387 -15.0824
325.000000 79.371 -15.0577
330.000000 79.366 -14.7223
335.000000 79.327 -14.5874
340.000000 79.305 -14.5866
345.000000 79.303 -14.4607
350.000000 79.290 -14.2185
355.000000 79.284 -13.9374
360.000000 79.262 -13.7613
365.000000 79.215 -13.7119
370.000000 79.200 -13.5169
375.000000 79.168 -13.3213
382.000000 79.173 -13.1425
387.000000 79.139 -13.0104
395.000000 79.102 -12.7883
400.000000 79.086 -12.6651
406.000000 79.059 -12.3941
412.000000 79.042 -12.3174
418.000000 79.026 -12.0845
425.000000 78.981 -11.9617
431.000000 78.972 -11.7451
437.000000 78.956 -11.8192
444.000000 78.903 -11.4374
450.000000 78.885 -11.1814
455.000000 78.868 -10.9259
462.000000 78.829 -10.8542
468.000000 78.814 -10.7468
475.000000 78.781 -10.6192
482.000000 78.761 -10.1378
487.000000 78.722 -10.1144
494.000000 78.692 -9.8647
500.000000 78.707 -9.8175
508.000000 78.644 -9.4433
515.000000 78.634 -9.2745
522.000000 78.573 -9.0232
530.000000 78.602 -8.8064
538.000000 78.517 -8.3526
545.000000 78.543 -8.1440
552.000000 78.443 -7.4105
560.000000 78.413 -8.0570
570.000000 78.401 -7.2416
580.000000 78.383 -6.8619
590.000000 78.348 -6.3988
600.000000 78.314 -6.2236
608.000000 78.279 -5.8032
615.000000 78.319 -5.7554
622.000000 78.272 -5.1412
630.000000 78.214 -5.1696
640.000000 78.201 -4.7087
650.000000 78.165 -4.4328
660.000000 78.121 -3.9077
670.000000 78.091 -3.4881
680.000000 78.099 -3.1301
690.000000 78.047 -2.7757
700.000000 78.040 -2.3193
710.000000 77.999 -1.7416
720.000000 77.990 -1.2201
730.000000 77.991 -0.7971
740.000000 77.966 -0.2770
750.000000 77.980 0.0335
762.000000 77.947 0.6807
775.000000 77.916 1.3019
788.000000 77.901 2.1502
800.000000 77.904 2.5509
812.000000 77.904 3.2143
825.000000 77.909 3.7865
838.000000 77.929 4.5585
850.000000 77.938 5.0521
862.000000 77.951 5.7246
875.000000 77.973 6.3326
885.000000 78.004 6.8330
900.000000 78.055 7.5936
912.000000 78.063 8.1835
925.000000 78.141 8.6987
938.000000 78.173 9.3850
950.000000 78.181 9.8577
962.000000 78.235 10.2980
975.000000 78.291 10.7870
988.000000 78.376 11.3196
1000.000000 78.410 11.2134
1015.000000 78.479 12.2736
1030.000000 78.544 12.7478
1044.000000 78.624 13.0409
1060.000000 78.704 13.3952
1075.000000 78.789 13.8003
1090.000000 78.853 14.1251
1106.000000 78.960 14.5366
1120.000000 79.031 14.8657
1138.000000 79.095 15.0427
1150.000000 79.156 15.1523
1172.000000 79.258 15.4723
1180.000000 79.292 15.6427
1206.000000 79.415 15.7724
1220.000000 79.446 15.9195
1241.000000 79.552 16.2728
1250.000000 79.572 16.3519
1265.000000 79.635 16.3234
1280.000000 79.687 16.5139
1315.000000 79.828 16.7105
1320.000000 79.827 16.8570
1340.000000 79.881 16.8439
1360.000000 79.955 17.0806
1380.000000 80.022 17.4121
1400.000000 80.092 17.3296
1430.000000 80.180 17.6202
1450.000000 80.242 17.8663
1475.000000 80.310 18.1153
1500.000000 80.394 18.2710
1525.000000 80.481 18.5173
1550.000000 80.558 18.8009
1575.000000 80.645 19.0146
1600.000000 80.741 19.2827
1625.000000 80.838 19.5166
1650.000000 80.928 19.7306
1675.000000 81.021 19.9863
1700.000000 81.129 20.1198
1725.000000 81.250 20.3250
1750.000000 81.359 20.4793
1775.000000 81.486 20.6005
1800.000000 81.599 20.7111
1825.000000 81.719 20.8803
1850.000000 81.840 20.8891
1875.000000 81.996 20.9817
1900.000000 82.125 20.7917
1925.000000 82.247 20.9568
1950.000000 82.405 20.8847
1975.000000 82.537 20.6667
2000.000000 82.670 20.4526
2030.000000 82.853 20.3273
2060.000000 83.031 19.9785
2090.000000 83.211 19.6396
2120.000000 83.381 19.1538
2140.000000 83.502 18.8025
2180.000000 83.726 17.9969
2200.000000 83.841 17.5430
2240.000000 84.068 16.5890
2270.000000 84.214 15.6773
2300.000000 84.357 14.8350
2330.000000 84.516 13.7758
2360.000000 84.628 12.7596
2400.000000 84.807 11.3346
2430.000000 84.924 10.1799
2470.000000 85.051 8.5227
2500.000000 85.123 7.3099
2540.000000 85.214 5.5707
2580.000000 85.288 3.8598
2620.000000 85.341 2.1187
2650.000000 85.359 0.8749
2690.000000 85.354 -0.7710
2720.000000 85.347 -1.9743
2760.000000 85.337 -3.5823
2800.000000 85.287 -5.1699
2850.000000 85.215 -6.8840
2900.000000 85.141 -8.5331
2950.000000 85.037 -9.9358
3000.000000 84.930 -11.5211
3040.000000 84.821 -12.3470
3070.000000 84.742 -12.9347
3110.000000 84.660 -13.7837
3150.000000 84.556 -14.4398
3200.000000 84.438 -15.3832
3250.000000 84.317 -16.0108
3300.000000 84.188 -16.7180
3350.000000 84.084 -17.3216
3400.000000 83.977 -17.8276
3450.000000 83.893 -18.1921
3500.000000 83.827 -18.5730
3550.000000 83.739 -18.9152
3600.000000 83.685 -19.2560
3650.000000 83.619 -19.7191
3700.000000 83.577 -20.0224
3750.000000 83.517 -20.4349
3820.000000 83.453 -21.2215
3870.000000 83.416 -21.7078
3950.000000 83.327 -22.7587
4000.000000 83.210 -23.7371
4060.000000 83.179 -24.1740
4120.000000 83.084 -25.0442
4180.000000 82.956 -25.7410
4250.000000 82.773 -26.6344
4310.000000 82.596 -26.9546
4370.000000 82.410 -27.1562
4440.000000 82.226 -27.2765
4500.000000 82.051 -26.9553
4550.000000 81.961 -26.7406
4620.000000 81.849 -25.9924
4680.000000 81.797 -25.4548
4750.000000 81.774 -25.1211
4820.000000 81.772 -24.9413
4870.000000 81.797 -25.0142
4940.000000 81.807 -24.8705
5000.000000 81.817 -25.0866
5080.000000 81.811 -25.6221
5150.000000 81.830 -26.2027
5220.000000 81.749 -26.7377
5300.000000 81.722 -27.4768
5380.000000 81.622 -28.1272
5450.000000 81.492 -28.6998
