* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 12:34:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MOONDROP SPRING 1038
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 134.283 35.4296
20.600000 134.297 34.6197
20.900000 134.304 33.9133
21.200001 134.309 33.2031
21.400000 134.311 32.7156
21.799999 134.307 31.7142
22.000000 134.300 31.2102
22.400000 134.276 30.2289
22.700001 134.254 29.5365
23.000000 134.233 28.8868
23.299999 134.217 28.2691
23.600000 134.207 27.6691
24.000000 134.208 26.8705
24.299999 134.218 26.2509
24.700001 134.241 25.3723
25.000000 134.259 24.6656
25.400000 134.275 23.6744
25.799999 134.271 22.6907
26.200001 134.246 21.8068
26.500000 134.222 21.2473
26.900000 134.197 20.6287
27.200001 134.193 20.2047
27.600000 134.206 19.5886
28.000000 134.231 18.8238
28.500000 134.242 17.6776
29.000000 134.207 16.5482
29.500000 134.134 15.6944
30.000000 134.068 15.1751
30.400000 134.046 14.8443
30.700001 134.051 14.5235
31.100000 134.073 13.8803
31.500000 134.092 12.9848
32.000000 134.081 11.7000
32.500000 134.036 10.5552
33.000000 133.989 9.7334
33.500000 133.972 9.1219
34.000000 133.978 8.5134
34.500000 133.984 7.8819
35.000000 133.984 7.3452
35.500000 133.991 6.9116
36.000000 134.002 6.3964
36.500000 133.983 5.6635
37.000000 133.907 4.8193
37.500000 133.798 4.0655
38.200001 133.696 3.1394
38.700001 133.692 2.3225
39.500000 133.705 0.8776
40.000000 133.687 0.3081
40.599998 133.652 0.0425
41.200001 133.606 -0.1854
41.799999 133.538 -0.6483
42.500000 133.462 -1.4013
43.099998 133.446 -2.1645
43.700001 133.454 -3.0159
44.400002 133.433 -3.8886
45.000000 133.383 -4.4190
45.500000 133.333 -4.8409
46.200001 133.262 -5.5593
46.799999 133.208 -6.1874
47.500000 133.178 -6.8114
48.200001 133.154 -7.4187
48.700001 133.111 -7.8129
49.400002 133.029 -8.1598
50.000000 132.986 -8.3637
50.799999 132.983 -8.9351
51.500000 132.978 -9.7620
52.200001 132.938 -10.5668
53.000000 132.878 -11.2310
53.799999 132.832 -11.7977
54.500000 132.784 -12.3445
55.200001 132.727 -12.8802
56.000000 132.673 -13.5255
57.000000 132.603 -14.3768
58.000000 132.539 -14.7978
59.000000 132.502 -15.4910
60.000000 132.390 -16.4900
60.799999 132.332 -16.9145
61.500000 132.327 -17.2691
62.200001 132.297 -17.6340
63.000000 132.231 -17.8241
64.000000 132.169 -18.1254
65.000000 132.092 -18.6774
66.000000 132.019 -19.0429
67.000000 131.974 -19.5659
68.000000 131.912 -20.2347
69.000000 131.842 -20.8709
70.000000 131.760 -21.4243
71.000000 131.721 -21.8681
72.000000 131.696 -22.6371
73.000000 131.607 -23.1724
74.000000 131.555 -23.2820
75.000000 131.524 -23.5986
76.199997 131.452 -24.0530
77.500000 131.392 -24.6441
78.800003 131.331 -25.0933
80.000000 131.238 -25.3952
81.199997 131.130 -25.8092
82.500000 131.055 -26.1064
83.800003 130.972 -26.2483
85.000000 130.898 -26.6547
86.199997 130.809 -27.2732
87.500000 130.758 -27.5639
88.500000 130.741 -28.0125
90.000000 130.673 -28.5193
91.199997 130.640 -28.7784
92.500000 130.601 -29.2556
93.800003 130.504 -29.5984
95.000000 130.404 -29.8066
96.199997 130.310 -30.1646
97.500000 130.256 -30.3579
98.800003 130.198 -30.6773
100.000000 130.119 -30.7018
101.500000 130.045 -30.8427
103.000000 129.971 -30.8830
104.400002 129.870 -31.1019
106.000000 129.780 -31.1577
107.500000 129.695 -31.2299
109.000000 129.584 -31.7063
110.599998 129.530 -32.0079
112.000000 129.455 -32.2488
113.800003 129.380 -32.8324
115.000000 129.340 -32.8602
117.199997 129.236 -33.2006
118.000000 129.198 -33.3673
120.599998 129.070 -33.0804
122.000000 128.998 -33.0724
124.099998 128.898 -33.0053
125.000000 128.856 -33.1552
126.500000 128.789 -33.3635
128.000000 128.713 -33.3346
131.500000 128.574 -33.7437
132.000000 128.545 -33.7908
134.000000 128.456 -33.7338
136.000000 128.364 -33.9768
138.000000 128.261 -34.0170
140.000000 128.194 -34.0406
143.000000 128.067 -33.8396
145.000000 127.961 -33.7802
147.500000 127.847 -33.6299
150.000000 127.699 -33.6254
152.500000 127.572 -33.6147
155.000000 127.457 -33.5406
157.500000 127.384 -33.6124
160.000000 127.299 -33.3244
162.500000 127.197 -33.2680
165.000000 127.118 -33.2254
167.500000 127.043 -33.2283
170.000000 126.962 -33.1909
172.500000 126.882 -33.0372
175.000000 126.813 -32.9017
177.500000 126.735 -32.7708
180.000000 126.660 -32.5040
182.500000 126.581 -32.2515
185.000000 126.520 -31.9527
187.500000 126.434 -31.9020
190.000000 126.384 -31.7925
192.500000 126.306 -31.5995
195.000000 126.251 -31.5197
197.500000 126.220 -31.2373
200.000000 126.164 -31.1623
203.000000 126.125 -31.0369
206.000000 126.075 -30.6740
209.000000 126.011 -30.5128
212.000000 125.959 -30.2384
214.000000 125.906 -30.1626
218.000000 125.827 -29.8647
220.000000 125.797 -29.7797
224.000000 125.682 -29.4108
227.000000 125.612 -29.0833
230.000000 125.516 -28.6384
233.000000 125.438 -28.2873
236.000000 125.349 -28.0177
240.000000 125.285 -27.4982
243.000000 125.238 -27.2040
247.000000 125.177 -26.8652
250.000000 125.154 -26.9635
254.000000 125.110 -26.7475
258.000000 125.084 -26.4844
262.000000 125.020 -26.1113
265.000000 124.986 -25.7626
269.000000 124.921 -25.2112
272.000000 124.875 -24.8211
276.000000 124.829 -24.4053
280.000000 124.777 -24.2417
285.000000 124.665 -24.0343
290.000000 124.593 -23.6290
295.000000 124.517 -22.9304
300.000000 124.441 -22.3913
304.000000 124.368 -21.9406
307.000000 124.337 -21.5476
311.000000 124.268 -21.3313
315.000000 124.222 -21.1526
320.000000 124.198 -20.8578
325.000000 124.206 -20.4075
330.000000 124.161 -19.8842
335.000000 124.108 -19.5322
340.000000 124.090 -19.2089
345.000000 124.055 -18.8682
350.000000 124.007 -18.3778
355.000000 123.942 -17.9206
360.000000 123.939 -17.4503
365.000000 123.896 -16.9521
370.000000 123.867 -16.5432
375.000000 123.856 -16.1758
382.000000 123.831 -15.7605
387.000000 123.807 -15.4667
395.000000 123.777 -14.7590
400.000000 123.745 -14.3853
406.000000 123.696 -13.9498
412.000000 123.651 -13.2968
418.000000 123.620 -12.8601
425.000000 123.593 -12.2977
431.000000 123.575 -11.9734
437.000000 123.560 -11.5302
444.000000 123.545 -11.1465
450.000000 123.534 -10.6322
455.000000 123.548 -10.2668
462.000000 123.509 -9.8358
468.000000 123.474 -9.4124
475.000000 123.445 -9.0299
482.000000 123.394 -8.2629
487.000000 123.364 -7.7845
494.000000 123.348 -7.3452
500.000000 123.311 -6.8049
508.000000 123.283 -6.3472
515.000000 123.286 -5.8715
522.000000 123.306 -5.2580
530.000000 123.307 -4.6182
538.000000 123.339 -4.1780
545.000000 123.369 -3.8235
552.000000 123.356 -3.5946
560.000000 123.353 -2.9248
570.000000 123.307 -2.5796
580.000000 123.229 -1.9494
590.000000 123.162 -1.2682
600.000000 123.124 -0.4936
608.000000 123.115 0.0621
615.000000 123.095 0.6571
622.000000 123.089 1.1805
630.000000 123.104 1.6934
640.000000 123.119 2.4556
650.000000 123.135 3.0258
660.000000 123.168 3.7807
670.000000 123.199 4.3358
680.000000 123.222 4.9498
690.000000 123.245 5.5053
700.000000 123.253 6.2131
710.000000 123.276 6.8604
720.000000 123.273 7.4849
730.000000 123.265 8.1540
740.000000 123.264 8.8413
750.000000 123.254 9.5875
762.000000 123.256 10.4141
775.000000 123.275 11.2449
788.000000 123.337 11.9692
800.000000 123.405 12.7487
812.000000 123.467 13.4091
825.000000 123.541 14.2831
838.000000 123.585 15.0021
850.000000 123.617 15.7877
862.000000 123.665 16.6564
875.000000 123.662 17.5448
885.000000 123.746 18.0374
900.000000 123.827 18.8555
912.000000 123.899 19.4716
925.000000 123.981 20.2606
938.000000 124.108 20.8144
950.000000 124.199 21.3688
962.000000 124.280 21.9255
975.000000 124.362 22.5356
988.000000 124.459 23.1598
1000.000000 124.550 23.6260
1015.000000 124.639 24.0941
1030.000000 124.778 24.6563
1044.000000 124.903 25.0582
1060.000000 125.056 25.4470
1075.000000 125.188 25.7008
1090.000000 125.307 26.1173
1106.000000 125.435 26.4594
1120.000000 125.532 26.6711
1138.000000 125.662 26.9878
1150.000000 125.777 27.1840
1172.000000 125.952 27.2117
1180.000000 126.009 27.2839
1206.000000 126.198 27.4684
1220.000000 126.270 27.5628
1241.000000 126.385 27.5197
1250.000000 126.419 27.5703
1265.000000 126.485 27.6465
1280.000000 126.538 27.6310
1315.000000 126.685 27.6966
1320.000000 126.715 27.6980
1340.000000 126.809 27.6618
1360.000000 126.926 27.6012
1380.000000 127.035 27.6136
1400.000000 127.144 27.5392
1430.000000 127.256 27.3483
1450.000000 127.317 27.4151
1475.000000 127.390 27.4429
1500.000000 127.454 27.3961
1525.000000 127.556 27.3566
1550.000000 127.672 27.2789
1575.000000 127.792 27.1342
1600.000000 127.886 27.1329
1625.000000 128.007 27.0454
1650.000000 128.098 26.8940
1675.000000 128.189 26.8455
1700.000000 128.285 26.7091
1725.000000 128.361 26.5088
1750.000000 128.440 26.3972
1775.000000 128.494 26.2971
1800.000000 128.565 26.0617
1825.000000 128.647 25.9667
1850.000000 128.744 25.6483
1875.000000 128.839 25.5716
1900.000000 128.961 25.1478
1925.000000 129.052 24.9213
1950.000000 129.154 24.6072
1975.000000 129.246 24.2220
2000.000000 129.329 23.8942
2030.000000 129.380 23.6754
2060.000000 129.460 23.1343
2090.000000 129.556 22.7033
2120.000000 129.650 22.2287
2140.000000 129.713 21.8393
2180.000000 129.802 21.0534
2200.000000 129.830 20.7869
2240.000000 129.875 20.0431
2270.000000 129.915 19.5374
2300.000000 129.968 18.9756
2330.000000 130.037 18.4547
2360.000000 130.145 17.7141
2400.000000 130.222 16.8008
2430.000000 130.237 16.4182
2470.000000 130.266 15.6325
2500.000000 130.306 15.0202
2540.000000 130.376 14.1264
2580.000000 130.421 13.3184
2620.000000 130.475 12.4884
2650.000000 130.511 11.7035
2690.000000 130.555 10.6569
2720.000000 130.582 9.8249
2760.000000 130.633 8.6013
2800.000000 130.612 7.3192
2850.000000 130.534 5.9773
2900.000000 130.434 4.6400
2950.000000 130.327 3.6707
3000.000000 130.249 2.8230
3040.000000 130.164 2.3644
3070.000000 130.131 2.1089
3110.000000 130.089 1.6861
3150.000000 130.043 1.5187
3200.000000 129.995 1.2965
3250.000000 129.975 1.0602
3300.000000 129.940 0.8163
3350.000000 129.907 0.6590
3400.000000 129.901 0.4557
3450.000000 129.892 0.2222
3500.000000 129.913 -0.1409
3550.000000 129.919 -0.5287
3600.000000 129.940 -0.9363
3650.000000 129.981 -1.4858
3700.000000 130.017 -2.0202
3750.000000 130.059 -2.7782
3820.000000 130.096 -3.7846
3870.000000 130.112 -4.6055
3950.000000 130.110 -5.9938
4000.000000 130.103 -6.9133
4060.000000 130.079 -7.9624
4120.000000 130.051 -9.0989
4180.000000 130.028 -10.1526
4250.000000 130.100 -11.4551
4310.000000 130.089 -13.3198
4370.000000 130.010 -14.9031
4440.000000 129.885 -16.8203
4500.000000 129.742 -18.3405
4550.000000 129.608 -19.6489
4620.000000 129.372 -21.4598
4680.000000 129.133 -22.7460
4750.000000 128.818 -24.1656
4820.000000 128.475 -25.3197
4870.000000 128.233 -25.9612
4940.000000 127.858 -26.6103
5000.000000 127.526 -26.7592
5080.000000 127.122 -26.8279
5150.000000 126.754 -26.5904
5220.000000 126.382 -25.9752
5300.000000 125.974 -25.1046
5380.000000 125.603 -23.8298
5450.000000 125.287 -22.6145
5520.000000 124.996 -20.9609
5600.000000 124.705 -19.1401
5700.000000 124.359 -16.4822
5800.000000 124.066 -13.9232
