* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Meaoes Eagle Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 1, 2023 5:25:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Meaoes Eagle Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Meaoes Eagle Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	68.421	-59.3196
1.015000	68.251	-60.1750
1.030000	68.074	-61.0255
1.044000	67.903	-61.8143
1.060000	67.701	-62.7098
1.075000	67.503	-63.5429
1.090000	67.299	-64.3694
1.106000	67.073	-65.2642
1.120000	66.881	-66.1698
1.138000	66.642	-67.5089
1.150000	66.485	-68.4943
1.172000	66.203	-70.4527
1.180000	66.101	-71.2030
1.206000	65.765	-73.7300
1.220000	65.581	-75.1186
1.241000	65.295	-77.1912
1.250000	65.167	-78.0632
1.265000	64.948	-79.4779
1.280000	64.719	-80.8258
1.315000	64.132	-83.5923
1.320000	64.041	-83.9327
1.340000	63.659	-85.1258
1.360000	63.243	-86.0115
1.380000	62.788	-86.5396
1.400000	62.291	-86.6598
1.430000	61.456	-85.9650
1.450000	60.834	-84.8450
1.475000	59.962	-82.6002
1.500000	58.871	-79.2505
1.525000	57.571	-74.8927
1.550000	56.107	-69.6754
1.575000	54.524	-63.7474
1.600000	52.865	-57.2574
1.625000	51.174	-50.3542
1.650000	49.496	-43.1865
1.675000	47.876	-35.9029
1.700000	46.357	-28.6522
1.725000	44.983	-21.5832
1.750000	43.800	-14.8446
1.775000	42.850	-8.5851
1.800000	42.179	-2.9534
1.825000	41.831	1.9018
1.850000	41.845	6.0566
1.875000	42.209	9.9724
1.900000	42.877	13.6665
1.925000	43.804	17.1345
1.950000	44.943	20.3723
1.975000	46.250	23.3755
2.000000	47.679	26.1398
2.030000	49.489	29.1358
2.060000	51.330	31.7743
2.090000	53.122	34.0480
2.120000	54.786	35.9494
2.140000	55.785	37.0066
2.180000	57.414	38.6061
2.200000	57.998	39.1426
2.240000	58.888	39.3956
2.270000	59.400	38.8698
2.300000	59.796	37.8295
2.330000	60.093	36.3634
2.360000	60.307	34.5603
2.400000	60.490	31.7853
2.430000	60.574	29.5410
2.470000	60.642	26.5001
2.500000	60.683	24.2981
2.540000	60.755	21.6358
2.580000	60.870	19.4185
2.620000	60.956	17.2632
2.650000	60.991	15.6227
2.690000	60.999	13.4144
2.720000	60.978	11.7499
2.760000	60.919	9.5304
2.800000	60.825	7.3234
2.850000	60.666	4.6031
2.900000	60.466	1.9503
2.950000	60.232	-0.6289
3.000000	59.958	-3.2771
3.040000	59.709	-5.4261
3.070000	59.503	-7.0291
3.110000	59.201	-9.1221
3.150000	58.867	-11.1272
3.200000	58.402	-13.4483
3.250000	57.881	-15.4895
3.300000	57.300	-17.1743
3.350000	56.615	-18.8716
3.400000	55.825	-20.6950
3.450000	54.966	-22.3763
3.500000	54.077	-23.6474
3.550000	53.196	-24.2402
3.600000	52.361	-23.8865
3.650000	51.610	-22.3182
3.700000	50.922	-19.0809
3.750000	50.198	-13.9236
