* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.760. Timing signal peak level -18.5 dBFS, measurement signal peak level -12.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 29, 2023 11:22:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0224 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: R ARIA SE Dec 29
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 134.170 -124.0148
20.600000 134.224 -124.7261
20.900000 134.270 -125.3747
21.200001 134.317 -126.0217
21.400000 134.350 -126.4506
21.799999 134.419 -127.2950
22.000000 134.454 -127.7057
22.400000 134.526 -128.4960
22.700001 134.578 -129.0595
23.000000 134.627 -129.6005
23.299999 134.672 -130.1235
23.600000 134.714 -130.6325
24.000000 134.764 -131.2964
24.299999 134.802 -131.7902
24.700001 134.852 -132.4531
25.000000 134.890 -132.9586
25.400000 134.940 -133.6407
25.799999 134.987 -134.3098
26.200001 135.029 -134.9333
26.500000 135.059 -135.3597
26.900000 135.102 -135.8837
27.200001 135.137 -136.2677
27.600000 135.188 -136.8060
28.000000 135.237 -137.3973
28.500000 135.286 -138.1766
29.000000 135.319 -138.9019
29.500000 135.347 -139.5117
30.000000 135.381 -140.0461
30.400000 135.415 -140.4803
30.700001 135.441 -140.8288
31.100000 135.473 -141.3176
31.500000 135.500 -141.8087
32.000000 135.530 -142.3887
32.500000 135.562 -142.9264
33.000000 135.596 -143.4471
33.500000 135.628 -143.9649
34.000000 135.654 -144.4674
34.500000 135.676 -144.9390
35.000000 135.698 -145.3851
35.500000 135.724 -145.8298
36.000000 135.752 -146.2924
36.500000 135.779 -146.7695
37.000000 135.802 -147.2345
37.500000 135.821 -147.6593
38.200001 135.850 -148.1837
38.700001 135.873 -148.5476
39.500000 135.904 -149.1723
40.000000 135.917 -149.5621
40.599998 135.931 -149.9948
41.200001 135.950 -150.4187
41.799999 135.972 -150.8747
42.500000 135.991 -151.4133
43.099998 136.008 -151.8254
43.700001 136.031 -152.2105
44.400002 136.057 -152.6685
45.000000 136.073 -153.0460
45.500000 136.082 -153.3334
46.200001 136.094 -153.7292
46.799999 136.104 -154.0874
47.500000 136.118 -154.4984
48.200001 136.140 -154.9016
48.700001 136.155 -155.2007
49.400002 136.166 -155.5991
50.000000 136.171 -155.8799
50.799999 136.190 -156.2452
51.500000 136.207 -156.6351
52.200001 136.211 -156.9976
53.000000 136.215 -157.3048
53.799999 136.230 -157.6738
54.500000 136.235 -158.0751
55.200001 136.236 -158.3839
56.000000 136.257 -158.6277
57.000000 136.286 -159.0718
58.000000 136.278 -159.5057
59.000000 136.284 -159.8156
60.000000 136.303 -160.2449
60.799999 136.303 -160.5933
61.500000 136.305 -160.8143
62.200001 136.321 -161.0382
63.000000 136.333 -161.4085
64.000000 136.308 -161.7250
65.000000 136.320 -161.8730
66.000000 136.348 -162.3608
67.000000 136.348 -162.6954
68.000000 136.365 -162.9354
69.000000 136.361 -163.2671
70.000000 136.362 -163.5562
71.000000 136.372 -163.8797
72.000000 136.375 -164.1464
73.000000 136.375 -164.4005
74.000000 136.373 -164.6661
75.000000 136.372 -164.9192
76.199997 136.378 -165.1869
77.500000 136.380 -165.5540
78.800003 136.377 -165.8621
80.000000 136.386 -166.1136
81.199997 136.388 -166.3986
82.500000 136.384 -166.6795
83.800003 136.386 -166.9590
85.000000 136.389 -167.2037
86.199997 136.387 -167.4310
87.500000 136.384 -167.6330
88.500000 136.388 -167.8267
90.000000 136.387 -168.1345
91.199997 136.391 -168.3445
92.500000 136.388 -168.5936
93.800003 136.382 -168.8507
95.000000 136.370 -169.0793
96.199997 136.366 -169.2199
97.500000 136.368 -169.3737
98.800003 136.369 -169.6139
100.000000 136.357 -169.8352
101.500000 136.372 -170.0305
103.000000 136.361 -170.2712
104.400002 136.350 -170.4737
106.000000 136.348 -170.6261
107.500000 136.348 -170.8276
109.000000 136.346 -171.0688
110.599998 136.339 -171.2607
112.000000 136.331 -171.3791
113.800003 136.325 -171.6165
115.000000 136.323 -171.7248
117.199997 136.307 -172.0339
118.000000 136.308 -172.0852
120.599998 136.299 -172.3404
122.000000 136.296 -172.5224
124.099998 136.283 -172.7215
125.000000 136.276 -172.7801
126.500000 136.273 -172.9536
128.000000 136.265 -173.0717
131.500000 136.248 -173.3972
132.000000 136.248 -173.4264
134.000000 136.239 -173.6220
136.000000 136.230 -173.7595
138.000000 136.218 -173.9392
140.000000 136.215 -174.0868
143.000000 136.195 -174.3094
145.000000 136.184 -174.4279
147.500000 136.173 -174.5894
150.000000 136.158 -174.7746
152.500000 136.146 -174.9020
155.000000 136.137 -175.0381
157.500000 136.118 -175.1734
160.000000 136.103 -175.3292
162.500000 136.092 -175.4540
165.000000 136.078 -175.5822
167.500000 136.071 -175.6910
170.000000 136.054 -175.7774
172.500000 136.039 -175.9029
175.000000 136.022 -175.9980
177.500000 136.011 -176.1113
180.000000 135.993 -176.1849
182.500000 135.991 -176.2890
185.000000 135.967 -176.3252
187.500000 135.955 -176.5107
190.000000 135.946 -176.3762
192.500000 135.917 -176.6456
195.000000 135.914 -176.6234
197.500000 135.902 -176.7093
200.000000 135.887 -176.7834
203.000000 135.873 -176.8506
206.000000 135.832 -176.9115
209.000000 135.842 -176.8090
212.000000 135.843 -177.0491
214.000000 135.773 -177.0732
218.000000 135.780 -177.1896
220.000000 135.707 -177.4446
224.000000 135.832 -177.5099
227.000000 135.840 -177.8946
230.000000 135.620 -177.8523
233.000000 135.586 -177.3728
236.000000 135.654 -177.1276
240.000000 135.663 -177.3613
243.000000 135.662 -177.2984
247.000000 135.642 -177.3730
250.000000 135.629 -177.3712
254.000000 135.581 -177.4943
258.000000 135.597 -177.2624
262.000000 135.551 -177.2697
265.000000 135.558 -177.3066
269.000000 135.511 -177.5470
272.000000 135.508 -177.3981
276.000000 135.514 -177.2976
280.000000 135.459 -177.2626
285.000000 135.456 -177.2969
290.000000 135.426 -177.2608
295.000000 135.416 -177.1748
300.000000 135.384 -177.1210
304.000000 135.366 -177.0817
307.000000 135.353 -177.0523
311.000000 135.341 -176.8899
315.000000 135.322 -176.9279
320.000000 135.296 -176.8607
325.000000 135.281 -176.8062
330.000000 135.260 -176.6933
335.000000 135.239 -176.6156
340.000000 135.216 -176.5089
345.000000 135.199 -176.4460
350.000000 135.182 -176.3322
355.000000 135.162 -176.2568
360.000000 135.138 -176.1436
365.000000 135.121 -176.0351
370.000000 135.103 -175.9115
375.000000 135.088 -175.7775
382.000000 135.065 -175.6704
387.000000 135.046 -175.5239
395.000000 135.017 -175.3028
400.000000 135.006 -175.1993
406.000000 134.981 -175.0407
412.000000 134.962 -174.8915
418.000000 134.945 -174.7141
425.000000 134.910 -174.5938
431.000000 134.910 -174.1460
437.000000 134.904 -174.1283
444.000000 134.811 -173.7265
450.000000 134.840 -173.7933
455.000000 134.867 -173.6798
462.000000 134.808 -173.3069
468.000000 134.814 -173.2146
475.000000 134.783 -173.0164
482.000000 134.768 -172.7547
487.000000 134.754 -172.5348
494.000000 134.745 -172.3288
500.000000 134.745 -172.1851
508.000000 134.685 -171.7044
515.000000 134.703 -171.5048
522.000000 134.667 -171.3240
530.000000 134.670 -171.0689
538.000000 134.658 -170.7812
545.000000 134.635 -170.5281
552.000000 134.626 -170.1997
560.000000 134.613 -169.9076
570.000000 134.596 -169.5097
580.000000 134.581 -169.0749
590.000000 134.572 -168.6706
600.000000 134.556 -168.2375
608.000000 134.549 -167.8615
615.000000 134.543 -167.5872
622.000000 134.545 -167.2991
630.000000 134.530 -166.9658
640.000000 134.536 -166.4115
650.000000 134.522 -166.2885
660.000000 134.486 -165.6329
670.000000 134.504 -165.0541
680.000000 134.506 -164.5912
690.000000 134.510 -164.1059
700.000000 134.527 -163.5298
710.000000 134.522 -163.1175
720.000000 134.530 -162.5574
730.000000 134.539 -162.0598
740.000000 134.558 -161.5203
750.000000 134.568 -160.9906
762.000000 134.587 -160.3299
775.000000 134.617 -159.6374
788.000000 134.654 -158.9342
800.000000 134.673 -158.2672
812.000000 134.713 -157.6860
825.000000 134.752 -156.9077
838.000000 134.796 -156.2274
850.000000 134.850 -155.4962
862.000000 134.924 -154.9329
875.000000 134.968 -154.2607
885.000000 135.022 -153.7579
900.000000 135.116 -152.9687
912.000000 135.184 -152.4432
925.000000 135.280 -151.8989
938.000000 135.370 -151.4425
950.000000 135.450 -151.1827
962.000000 135.515 -151.1731
975.000000 135.440 -150.8865
988.000000 135.453 -149.5060
1000.000000 135.535 -148.1891
1015.000000 135.747 -146.9851
1030.000000 135.957 -146.4787
1044.000000 136.122 -146.1139
1060.000000 136.305 -145.7742
1075.000000 136.480 -145.6183
1090.000000 136.628 -145.4237
1106.000000 136.781 -145.3048
1120.000000 136.920 -145.3123
1138.000000 137.087 -145.3076
1150.000000 137.179 -145.3888
1172.000000 137.372 -145.4971
1180.000000 137.434 -145.5582
1206.000000 137.620 -145.7955
1220.000000 137.712 -145.9461
1241.000000 137.856 -146.1419
1250.000000 137.906 -146.2606
1265.000000 137.991 -146.4227
1280.000000 138.076 -146.5807
1315.000000 138.262 -146.9472
1320.000000 138.288 -147.0351
1340.000000 138.388 -147.2169
1360.000000 138.478 -147.4313
1380.000000 138.568 -147.6271
1400.000000 138.656 -147.8258
1430.000000 138.783 -148.0809
1450.000000 138.867 -148.2671
1475.000000 138.966 -148.4811
1500.000000 139.066 -148.6748
1525.000000 139.167 -148.8723
1550.000000 139.263 -149.1026
1575.000000 139.357 -149.2905
1600.000000 139.453 -149.5091
1625.000000 139.547 -149.7054
1650.000000 139.643 -149.8965
1675.000000 139.736 -150.1212
1700.000000 139.831 -150.3290
1725.000000 139.928 -150.5599
1750.000000 140.020 -150.7820
1775.000000 140.113 -151.0168
1800.000000 140.212 -151.2901
1825.000000 140.306 -151.5440
1850.000000 140.404 -151.8568
1875.000000 140.499 -152.1430
1900.000000 140.591 -152.4382
1925.000000 140.686 -152.7726
1950.000000 140.781 -153.1156
1975.000000 140.875 -153.4888
2000.000000 140.963 -153.8749
2030.000000 141.081 -154.3519
2060.000000 141.188 -154.8455
2090.000000 141.295 -155.3863
2120.000000 141.404 -155.9479
2140.000000 141.474 -156.3287
2180.000000 141.609 -157.1650
2200.000000 141.674 -157.5880
2240.000000 141.806 -158.4653
2270.000000 141.900 -159.1584
2300.000000 141.988 -159.8918
2330.000000 142.075 -160.6380
2360.000000 142.158 -161.3934
2400.000000 142.263 -162.4362
2430.000000 142.337 -163.2743
2470.000000 142.427 -164.3778
2500.000000 142.490 -165.2167
2540.000000 142.571 -166.3749
2580.000000 142.637 -167.5570
2620.000000 142.701 -168.7376
2650.000000 142.741 -169.6359
2690.000000 142.788 -170.8413
2720.000000 142.817 -171.7401
2760.000000 142.852 -172.9613
2800.000000 142.877 -174.1861
2850.000000 142.899 -175.6846
2900.000000 142.908 -177.1754
2950.000000 142.911 -178.6170
3000.000000 142.905 179.9441
3040.000000 142.891 178.7937
3070.000000 142.879 177.9651
3110.000000 142.856 176.8502
3150.000000 142.830 175.7592
3200.000000 142.793 174.4308
3250.000000 142.748 173.1285
3300.000000 142.698 171.8549
3350.000000 142.646 170.6013
3400.000000 142.586 169.3911
3450.000000 142.523 168.2199
3500.000000 142.456 167.0558
3550.000000 142.384 165.9163
3600.000000 142.311 164.8118
3650.000000 142.237 163.7690
3700.000000 142.163 162.6628
3750.000000 142.076 161.6194
3820.000000 141.961 160.1993
3870.000000 141.869 159.1847
3950.000000 141.721 157.5603
4000.000000 141.624 156.6396
4060.000000 141.506 155.4424
4120.000000 141.374 154.2971
4180.000000 141.241 153.1779
4250.000000 141.070 151.9261
4310.000000 140.917 150.8324
4370.000000 140.760 149.8262
4440.000000 140.567 148.6865
4500.000000 140.380 147.7766
4550.000000 140.233 147.0361
4620.000000 140.009 146.1011
4680.000000 139.812 145.3448
