* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 9, 2024 12:40:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R chu 2 dsp Feb 9
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 141.325 -148.4265
20.600000 141.344 -149.1860
20.900000 141.357 -149.8629
21.200001 141.373 -150.5348
21.400000 141.385 -150.9855
21.799999 141.413 -151.8919
22.000000 141.427 -152.3431
22.400000 141.454 -153.2236
22.700001 141.471 -153.8493
23.000000 141.486 -154.4376
23.299999 141.500 -154.9948
23.600000 141.512 -155.5334
24.000000 141.528 -156.2456
24.299999 141.538 -156.7881
24.700001 141.549 -157.5232
25.000000 141.556 -158.0742
25.400000 141.564 -158.7928
25.799999 141.575 -159.4819
26.200001 141.588 -160.1409
26.500000 141.599 -160.6184
26.900000 141.611 -161.2369
27.200001 141.618 -161.6921
27.600000 141.625 -162.2983
28.000000 141.626 -162.9221
28.500000 141.618 -163.7404
29.000000 141.600 -164.5649
29.500000 141.578 -165.3207
30.000000 141.568 -165.9726
30.400000 141.575 -166.4562
30.700001 141.586 -166.8261
31.100000 141.601 -167.3425
31.500000 141.606 -167.8599
32.000000 141.599 -168.4395
32.500000 141.589 -168.9309
33.000000 141.591 -169.4447
33.500000 141.600 -170.0984
34.000000 141.595 -170.8702
34.500000 141.573 -171.6051
35.000000 141.544 -172.1905
35.500000 141.526 -172.6569
36.000000 141.519 -173.1132
36.500000 141.510 -173.6052
37.000000 141.496 -174.0982
37.500000 141.485 -174.5676
38.200001 141.481 -175.2510
38.700001 141.476 -175.7825
39.500000 141.445 -176.5666
40.000000 141.422 -176.9794
40.599998 141.400 -177.4753
41.200001 141.377 -178.0155
41.799999 141.352 -178.5305
42.500000 141.333 -179.0579
43.099998 141.324 -179.5358
43.700001 141.305 179.9368
44.400002 141.265 179.3744
45.000000 141.234 178.9832
45.500000 141.218 178.6615
46.200001 141.199 178.1516
46.799999 141.172 177.7014
47.500000 141.137 177.2252
48.200001 141.108 176.7446
48.700001 141.090 176.3640
49.400002 141.062 175.8246
50.000000 141.034 175.4186
50.799999 140.998 174.9498
51.500000 140.964 174.5557
52.200001 140.930 174.1749
53.000000 140.902 173.7475
53.799999 140.880 173.3013
54.500000 140.857 172.9131
55.200001 140.826 172.5319
56.000000 140.785 172.0940
57.000000 140.736 171.5486
58.000000 140.689 170.9982
59.000000 140.640 170.5374
60.000000 140.604 170.0823
60.799999 140.570 169.6891
61.500000 140.536 169.3745
62.200001 140.502 169.0544
63.000000 140.456 168.6851
64.000000 140.407 168.2912
65.000000 140.370 167.8958
66.000000 140.324 167.5110
67.000000 140.274 167.1188
68.000000 140.226 166.7166
69.000000 140.182 166.3461
70.000000 140.135 166.0404
71.000000 140.091 165.6851
72.000000 140.036 165.2727
73.000000 139.988 164.9959
74.000000 139.948 164.7086
75.000000 139.896 164.4248
76.199997 139.840 164.0281
77.500000 139.777 163.6595
78.800003 139.726 163.3105
80.000000 139.668 162.9594
81.199997 139.614 162.6633
82.500000 139.553 162.3448
83.800003 139.492 161.9913
85.000000 139.441 161.7245
86.199997 139.387 161.4739
87.500000 139.310 161.1449
88.500000 139.276 160.9537
90.000000 139.215 160.6741
91.199997 139.151 160.4953
92.500000 139.094 160.1951
93.800003 139.046 159.9515
95.000000 138.983 159.7744
96.199997 138.935 159.5740
97.500000 138.885 159.2726
98.800003 138.820 159.1602
100.000000 138.775 159.0171
101.500000 138.707 158.7535
103.000000 138.652 158.5455
104.400002 138.583 158.3730
106.000000 138.513 158.2740
107.500000 138.456 158.0197
109.000000 138.393 157.8074
110.599998 138.326 157.6644
112.000000 138.270 157.5320
113.800003 138.200 157.3257
115.000000 138.151 157.2241
117.199997 138.062 157.0466
118.000000 138.033 156.9609
120.599998 137.916 156.8481
122.000000 137.884 156.6861
124.099998 137.796 156.5427
125.000000 137.770 156.4830
126.500000 137.721 156.4298
128.000000 137.655 156.3210
131.500000 137.537 156.1788
132.000000 137.518 156.1722
134.000000 137.445 156.0103
136.000000 137.378 156.0075
138.000000 137.304 155.9236
140.000000 137.238 155.9033
143.000000 137.130 155.8121
145.000000 137.069 155.7609
147.500000 136.984 155.7300
150.000000 136.899 155.7211
152.500000 136.828 155.6783
155.000000 136.744 155.6701
157.500000 136.673 155.6695
160.000000 136.592 155.7238
162.500000 136.522 155.6893
165.000000 136.440 155.7375
167.500000 136.378 155.7578
170.000000 136.309 155.8550
172.500000 136.236 155.8752
175.000000 136.169 155.9187
177.500000 136.099 155.9633
180.000000 136.036 156.0522
182.500000 135.972 156.0972
185.000000 135.912 156.1863
187.500000 135.844 156.2843
190.000000 135.777 156.3572
192.500000 135.724 156.4615
195.000000 135.656 156.6027
197.500000 135.605 156.6501
200.000000 135.550 156.7341
203.000000 135.475 156.8685
206.000000 135.413 157.0324
209.000000 135.346 157.1901
212.000000 135.281 157.3166
214.000000 135.237 157.3876
218.000000 135.155 157.6194
220.000000 135.114 157.6942
224.000000 135.037 157.9330
227.000000 134.979 158.0605
230.000000 134.920 158.2672
233.000000 134.863 158.4573
236.000000 134.810 158.5822
240.000000 134.733 158.8422
243.000000 134.686 159.0380
247.000000 134.612 159.2537
250.000000 134.566 159.4062
254.000000 134.498 159.7082
258.000000 134.436 159.9381
262.000000 134.372 160.2087
265.000000 134.331 160.4489
269.000000 134.265 160.6688
272.000000 134.216 160.8409
276.000000 134.158 161.1281
280.000000 134.106 161.4051
285.000000 134.031 161.7500
290.000000 133.969 162.1169
295.000000 133.898 162.4458
300.000000 133.844 162.7542
304.000000 133.791 163.0394
307.000000 133.756 163.2525
311.000000 133.709 163.5443
315.000000 133.665 163.8091
320.000000 133.612 164.1687
325.000000 133.555 164.4713
330.000000 133.505 164.8611
335.000000 133.446 165.1935
340.000000 133.401 165.5331
345.000000 133.346 165.9263
350.000000 133.303 166.3260
355.000000 133.259 166.6225
360.000000 133.208 166.9584
365.000000 133.160 167.3545
370.000000 133.124 167.7262
375.000000 133.086 168.0713
382.000000 133.025 168.5371
387.000000 132.988 168.9471
395.000000 132.935 169.4485
400.000000 132.894 169.8289
406.000000 132.853 170.2914
412.000000 132.820 170.6513
418.000000 132.779 171.1246
425.000000 132.732 171.6552
431.000000 132.697 172.0452
437.000000 132.660 172.4750
444.000000 132.623 172.9907
450.000000 132.576 173.3604
455.000000 132.554 173.6882
462.000000 132.518 174.1743
468.000000 132.492 174.6324
475.000000 132.462 175.0896
482.000000 132.418 175.6608
487.000000 132.407 176.0117
494.000000 132.380 176.4481
500.000000 132.337 176.8927
508.000000 132.319 177.5066
515.000000 132.296 177.9693
522.000000 132.265 178.4146
530.000000 132.236 179.0217
538.000000 132.214 179.5931
545.000000 132.187 -179.9056
552.000000 132.163 -179.4602
560.000000 132.135 -178.9111
570.000000 132.116 -178.1202
580.000000 132.081 -177.4484
590.000000 132.069 -176.7058
600.000000 132.043 -176.0153
608.000000 132.034 -175.4274
615.000000 132.029 -174.9418
622.000000 132.019 -174.3869
630.000000 132.018 -173.8057
640.000000 131.992 -173.1343
650.000000 132.001 -172.3547
660.000000 131.999 -171.6215
670.000000 131.998 -170.9258
680.000000 131.993 -170.2043
690.000000 131.999 -169.4920
700.000000 131.999 -168.8069
710.000000 132.017 -168.0851
720.000000 132.027 -167.4429
730.000000 132.047 -166.7890
740.000000 132.047 -166.0016
750.000000 132.069 -165.4021
762.000000 132.084 -164.5032
775.000000 132.113 -163.6194
788.000000 132.144 -162.7164
800.000000 132.178 -161.8653
812.000000 132.213 -161.1244
825.000000 132.260 -160.2488
838.000000 132.294 -159.3860
850.000000 132.349 -158.5764
862.000000 132.407 -157.7311
875.000000 132.468 -156.9511
885.000000 132.522 -156.2824
900.000000 132.598 -155.3363
912.000000 132.665 -154.6706
925.000000 132.752 -153.8831
938.000000 132.826 -153.1474
950.000000 132.911 -152.4841
962.000000 132.998 -151.8762
975.000000 133.090 -151.1956
988.000000 133.184 -150.6821
1000.000000 133.264 -150.1937
1015.000000 133.383 -149.4132
1030.000000 133.503 -148.9192
1044.000000 133.621 -148.4163
1060.000000 133.739 -147.8594
1075.000000 133.858 -147.4369
1090.000000 133.977 -147.0513
1106.000000 134.092 -146.6524
1120.000000 134.201 -146.3124
1138.000000 134.324 -145.9542
1150.000000 134.409 -145.7791
1172.000000 134.561 -145.3797
1180.000000 134.621 -145.3152
1206.000000 134.787 -145.0207
1220.000000 134.879 -144.8179
1241.000000 135.007 -144.5873
1250.000000 135.056 -144.5430
1265.000000 135.133 -144.3451
1280.000000 135.221 -144.2384
1315.000000 135.412 -143.9547
1320.000000 135.438 -143.8902
1340.000000 135.537 -143.7513
1360.000000 135.635 -143.6029
1380.000000 135.740 -143.4056
1400.000000 135.828 -143.1989
1430.000000 135.977 -143.0534
1450.000000 136.060 -142.9422
1475.000000 136.179 -142.7034
1500.000000 136.282 -142.4944
1525.000000 136.409 -142.2829
1550.000000 136.519 -142.0482
1575.000000 136.631 -141.8623
1600.000000 136.752 -141.6627
1625.000000 136.866 -141.5222
1650.000000 136.989 -141.3431
1675.000000 137.108 -141.1230
1700.000000 137.236 -141.0237
1725.000000 137.357 -140.9037
1750.000000 137.479 -140.8070
1775.000000 137.606 -140.6941
1800.000000 137.729 -140.6497
1825.000000 137.863 -140.5980
1850.000000 137.992 -140.5499
1875.000000 138.111 -140.4890
1900.000000 138.243 -140.5396
1925.000000 138.379 -140.5377
1950.000000 138.509 -140.5443
1975.000000 138.644 -140.6690
2000.000000 138.779 -140.6913
2030.000000 138.943 -140.9064
2060.000000 139.105 -141.0681
2090.000000 139.264 -141.2911
2120.000000 139.435 -141.5422
2140.000000 139.543 -141.7637
2180.000000 139.768 -142.2025
2200.000000 139.877 -142.5125
2240.000000 140.091 -143.0103
2270.000000 140.257 -143.4841
2300.000000 140.420 -144.0165
2330.000000 140.578 -144.5876
2360.000000 140.737 -145.2627
2400.000000 140.941 -146.1677
2430.000000 141.098 -146.9287
2470.000000 141.289 -148.0116
2500.000000 141.423 -148.8569
2540.000000 141.602 -150.0752
2580.000000 141.769 -151.3651
2620.000000 141.926 -152.7143
2650.000000 142.035 -153.7617
2690.000000 142.171 -155.2845
2720.000000 142.263 -156.4026
2760.000000 142.366 -157.9789
2800.000000 142.461 -159.5944
2850.000000 142.557 -161.6533
2900.000000 142.622 -163.7358
2950.000000 142.665 -165.7701
3000.000000 142.683 -167.8938
3040.000000 142.676 -169.4966
3070.000000 142.663 -170.6928
3110.000000 142.638 -172.2590
3150.000000 142.596 -173.7460
3200.000000 142.530 -175.6079
3250.000000 142.455 -177.3209
3300.000000 142.352 -178.9934
3350.000000 142.245 179.4456
3400.000000 142.133 178.0083
3450.000000 142.003 176.5740
3500.000000 141.870 175.2914
3550.000000 141.738 174.1654
3600.000000 141.599 173.0184
3650.000000 141.463 171.9846
3700.000000 141.317 171.0409
3750.000000 141.171 170.1323
3820.000000 140.972 169.0166
3870.000000 140.824 168.2729
3950.000000 140.592 167.1600
4000.000000 140.466 166.5541
4060.000000 140.289 165.8848
4120.000000 140.115 165.2871
4180.000000 139.951 164.7123
4250.000000 139.759 164.1451
4310.000000 139.599 163.6475
4370.000000 139.433 163.2435
4440.000000 139.249 162.8424
4500.000000 139.093 162.4869
4550.000000 138.948 162.2547
4620.000000 138.758 161.9212
4680.000000 138.599 161.7448
4750.000000 138.412 161.4731
4820.000000 138.216 161.3241
4870.000000 138.087 161.2255
4940.000000 137.889 161.2666
5000.000000 137.742 161.2153
5080.000000 137.518 161.3554
5150.000000 137.329 161.5079
5220.000000 137.137 161.7652
5300.000000 136.928 161.9204
5380.000000 136.707 162.3860
5450.000000 136.515 162.7833
5520.000000 136.330 163.1504
5600.000000 136.116 163.8431
5700.000000 135.864 164.7496
5800.000000 135.620 165.8168
5900.000000 135.381 166.9194
6000.000000 135.150 168.2120
6080.000000 134.986 169.2681
