* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.760. Timing signal peak level -15.4 dBFS, measurement signal peak level -9.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 28, 2023 8:37:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0193 ms (-6.6 mm, -0.26 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L MAY Dec 28
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 146.634 -167.4581
20.600000 146.623 -168.1345
20.900000 146.606 -168.7402
21.200001 146.590 -169.3435
21.400000 146.581 -169.7486
21.799999 146.565 -170.5649
22.000000 146.557 -170.9728
22.400000 146.543 -171.7758
22.700001 146.531 -172.3558
23.000000 146.519 -172.9104
23.299999 146.506 -173.4417
23.600000 146.492 -173.9559
24.000000 146.472 -174.6270
24.299999 146.457 -175.1270
24.700001 146.434 -175.7918
25.000000 146.416 -176.2858
25.400000 146.391 -176.9317
25.799999 146.367 -177.5590
26.200001 146.344 -178.1696
26.500000 146.327 -178.6196
26.900000 146.303 -179.2111
27.200001 146.284 -179.6466
27.600000 146.255 179.7883
28.000000 146.225 179.2458
28.500000 146.189 178.5971
29.000000 146.155 177.9642
29.500000 146.124 177.3300
30.000000 146.092 176.6935
30.400000 146.064 176.1937
30.700001 146.042 175.8307
31.100000 146.012 175.3656
31.500000 145.982 174.9180
32.000000 145.946 174.3688
32.500000 145.910 173.8193
33.000000 145.873 173.2740
33.500000 145.832 172.7489
34.000000 145.792 172.2523
34.500000 145.753 171.7724
35.000000 145.717 171.2914
35.500000 145.680 170.8050
36.000000 145.641 170.3277
36.500000 145.602 169.8732
37.000000 145.564 169.4387
37.500000 145.526 169.0107
38.200001 145.472 168.4167
38.700001 145.431 168.0085
39.500000 145.365 167.3884
40.000000 145.327 167.0037
40.599998 145.281 166.5370
41.200001 145.233 166.0791
41.799999 145.185 165.6422
42.500000 145.128 165.1599
43.099998 145.080 164.7626
43.700001 145.033 164.3676
44.400002 144.979 163.9028
45.000000 144.932 163.5166
45.500000 144.892 163.2138
46.200001 144.837 162.8040
46.799999 144.789 162.4503
47.500000 144.730 162.0519
48.200001 144.675 161.6783
48.700001 144.639 161.4082
49.400002 144.588 161.0170
50.000000 144.541 160.7004
50.799999 144.477 160.3278
51.500000 144.424 160.0042
52.200001 144.371 159.6625
53.000000 144.308 159.2924
53.799999 144.245 158.9621
54.500000 144.193 158.6758
55.200001 144.141 158.3782
56.000000 144.079 158.0400
57.000000 144.003 157.6372
58.000000 143.928 157.2656
59.000000 143.855 156.9188
60.000000 143.783 156.5715
60.799999 143.724 156.3136
61.500000 143.674 156.0925
62.200001 143.624 155.8609
63.000000 143.566 155.6058
64.000000 143.497 155.3157
65.000000 143.428 155.0308
66.000000 143.357 154.7626
67.000000 143.286 154.4894
68.000000 143.216 154.2330
69.000000 143.149 154.0089
70.000000 143.082 153.7900
71.000000 143.016 153.5735
72.000000 142.950 153.3400
73.000000 142.883 153.1376
74.000000 142.819 152.9599
75.000000 142.754 152.7688
76.199997 142.676 152.5544
77.500000 142.594 152.3202
78.800003 142.511 152.1225
80.000000 142.436 151.9452
81.199997 142.365 151.7737
82.500000 142.286 151.5819
83.800003 142.207 151.4327
85.000000 142.136 151.2818
86.199997 142.066 151.1600
87.500000 141.992 151.0251
88.500000 141.934 150.9116
90.000000 141.849 150.7759
91.199997 141.783 150.6838
92.500000 141.710 150.5805
93.800003 141.641 150.4753
95.000000 141.573 150.3947
96.199997 141.510 150.3335
97.500000 141.443 150.2442
98.800003 141.376 150.1774
100.000000 141.313 150.1270
101.500000 141.237 150.0513
103.000000 141.163 150.0125
104.400002 141.093 149.9600
106.000000 141.015 149.8939
107.500000 140.941 149.8903
109.000000 140.871 149.8464
110.599998 140.797 149.8449
112.000000 140.731 149.7865
113.800003 140.654 149.8171
115.000000 140.593 149.7748
117.199997 140.508 149.7755
118.000000 140.462 149.7549
120.599998 140.359 149.7683
122.000000 140.290 149.8874
124.099998 140.209 149.8427
125.000000 140.166 149.8894
126.500000 140.115 149.9668
128.000000 140.054 149.9386
131.500000 139.921 150.0611
132.000000 139.898 150.0765
134.000000 139.820 150.1631
136.000000 139.753 150.2204
138.000000 139.674 150.3150
140.000000 139.604 150.4014
143.000000 139.497 150.5335
145.000000 139.431 150.6261
147.500000 139.347 150.7518
150.000000 139.266 150.8929
152.500000 139.186 151.0286
155.000000 139.106 151.1542
157.500000 139.033 151.3025
160.000000 138.957 151.4761
162.500000 138.883 151.6219
165.000000 138.811 151.7801
167.500000 138.742 151.9574
170.000000 138.672 152.1253
172.500000 138.605 152.3083
175.000000 138.540 152.4644
177.500000 138.475 152.6555
180.000000 138.411 152.8335
182.500000 138.349 153.0079
185.000000 138.289 153.2128
187.500000 138.230 153.4036
190.000000 138.171 153.5901
192.500000 138.114 153.7821
195.000000 138.060 153.9714
197.500000 138.004 154.1627
200.000000 137.952 154.3451
203.000000 137.888 154.6041
206.000000 137.828 154.8162
209.000000 137.769 155.1099
212.000000 137.712 155.3391
214.000000 137.669 155.5026
218.000000 137.598 155.8154
220.000000 137.563 156.0157
224.000000 137.488 156.3260
227.000000 137.436 156.5428
230.000000 137.385 156.8051
233.000000 137.338 157.0659
236.000000 137.287 157.3202
240.000000 137.226 157.6450
243.000000 137.177 157.9203
247.000000 137.121 158.2310
250.000000 137.078 158.4787
254.000000 137.019 158.8198
258.000000 136.965 159.1469
262.000000 136.914 159.5025
265.000000 136.871 159.7510
269.000000 136.821 160.0713
272.000000 136.785 160.3222
276.000000 136.738 160.6612
280.000000 136.688 161.0057
285.000000 136.631 161.3874
290.000000 136.578 161.8076
295.000000 136.525 162.2303
300.000000 136.471 162.6110
304.000000 136.431 162.9257
307.000000 136.405 163.1716
311.000000 136.369 163.5230
315.000000 136.329 163.8527
320.000000 136.284 164.2303
325.000000 136.246 164.6500
330.000000 136.204 165.0254
335.000000 136.159 165.4215
340.000000 136.122 165.8155
345.000000 136.092 166.2303
350.000000 136.048 166.6147
355.000000 136.013 167.0138
360.000000 135.980 167.3914
365.000000 135.945 167.7550
370.000000 135.913 168.1302
375.000000 135.884 168.5300
382.000000 135.846 169.0353
387.000000 135.814 169.4095
395.000000 135.772 170.0135
400.000000 135.747 170.3679
406.000000 135.716 170.8343
412.000000 135.690 171.2548
418.000000 135.659 171.6965
425.000000 135.628 172.1967
431.000000 135.604 172.6679
437.000000 135.583 173.0782
444.000000 135.555 173.5822
450.000000 135.531 173.9803
455.000000 135.517 174.3236
462.000000 135.490 174.8391
468.000000 135.473 175.2426
475.000000 135.451 175.7764
482.000000 135.435 176.2135
487.000000 135.418 176.5483
494.000000 135.398 177.0751
500.000000 135.387 177.4241
508.000000 135.365 177.9714
515.000000 135.350 178.4343
522.000000 135.336 178.9394
530.000000 135.318 179.4467
538.000000 135.306 179.9903
545.000000 135.299 -179.5258
552.000000 135.286 -179.0569
560.000000 135.281 -178.5306
570.000000 135.263 -177.8794
580.000000 135.256 -177.2077
590.000000 135.246 -176.5468
600.000000 135.241 -175.9150
608.000000 135.237 -175.3810
615.000000 135.240 -174.9371
622.000000 135.231 -174.4605
630.000000 135.236 -173.9442
640.000000 135.236 -173.3302
650.000000 135.240 -172.6310
660.000000 135.243 -171.9793
670.000000 135.248 -171.3429
680.000000 135.264 -170.7010
690.000000 135.274 -170.0554
700.000000 135.283 -169.3588
710.000000 135.297 -168.7645
720.000000 135.311 -168.1029
730.000000 135.328 -167.4736
740.000000 135.355 -166.8315
750.000000 135.379 -166.1544
762.000000 135.406 -165.4193
775.000000 135.444 -164.5943
788.000000 135.484 -163.7959
800.000000 135.527 -163.0316
812.000000 135.570 -162.2892
825.000000 135.622 -161.5119
838.000000 135.686 -160.7222
850.000000 135.737 -160.0330
862.000000 135.795 -159.2971
875.000000 135.866 -158.5807
885.000000 135.931 -158.0078
900.000000 136.015 -157.2179
912.000000 136.085 -156.6065
925.000000 136.172 -155.9652
938.000000 136.255 -155.3356
950.000000 136.337 -154.7854
962.000000 136.415 -154.2287
975.000000 136.515 -153.6880
988.000000 136.608 -153.1736
1000.000000 136.689 -152.6888
1015.000000 136.806 -152.1876
1030.000000 136.925 -151.7128
1044.000000 137.030 -151.2676
1060.000000 137.150 -150.8214
1075.000000 137.271 -150.4611
1090.000000 137.390 -150.0773
1106.000000 137.504 -149.7626
1120.000000 137.604 -149.4945
1138.000000 137.739 -149.1581
1150.000000 137.825 -148.9985
1172.000000 137.979 -148.6788
1180.000000 138.035 -148.5845
1206.000000 138.207 -148.3611
1220.000000 138.304 -148.2178
1241.000000 138.434 -147.9740
1250.000000 138.497 -147.8963
1265.000000 138.585 -147.8291
1280.000000 138.679 -147.7074
1315.000000 138.884 -147.4684
1320.000000 138.917 -147.4465
1340.000000 139.040 -147.3035
1360.000000 139.158 -147.2165
1380.000000 139.264 -147.0867
1400.000000 139.381 -147.0137
1430.000000 139.555 -146.8711
1450.000000 139.674 -146.7901
1475.000000 139.818 -146.7277
1500.000000 139.966 -146.6736
1525.000000 140.117 -146.6946
1550.000000 140.269 -146.7247
1575.000000 140.419 -146.7728
1600.000000 140.570 -146.8912
1625.000000 140.718 -147.0614
1650.000000 140.863 -147.2134
1675.000000 141.007 -147.4268
1700.000000 141.148 -147.6627
1725.000000 141.288 -147.9344
1750.000000 141.422 -148.2081
1775.000000 141.559 -148.4790
1800.000000 141.692 -148.7829
1825.000000 141.825 -149.1350
1850.000000 141.957 -149.4845
1875.000000 142.087 -149.8671
1900.000000 142.219 -150.2757
1925.000000 142.347 -150.7065
1950.000000 142.477 -151.1540
1975.000000 142.603 -151.6434
2000.000000 142.726 -152.1640
2030.000000 142.877 -152.8280
2060.000000 143.021 -153.5270
2090.000000 143.164 -154.2811
2120.000000 143.302 -155.0674
2140.000000 143.391 -155.6095
2180.000000 143.568 -156.7875
2200.000000 143.650 -157.3897
2240.000000 143.808 -158.6761
2270.000000 143.919 -159.6616
2300.000000 144.026 -160.7062
2330.000000 144.126 -161.7626
2360.000000 144.219 -162.8425
2400.000000 144.328 -164.3372
2430.000000 144.404 -165.4870
2470.000000 144.493 -167.0356
2500.000000 144.552 -168.1933
2540.000000 144.615 -169.7854
2580.000000 144.665 -171.3583
2620.000000 144.703 -172.9201
2650.000000 144.724 -174.1184
2690.000000 144.743 -175.6690
2720.000000 144.748 -176.8391
2760.000000 144.748 -178.3713
2800.000000 144.736 -179.8524
2850.000000 144.711 178.3247
2900.000000 144.673 176.5405
2950.000000 144.627 174.7999
3000.000000 144.563 173.1088
3040.000000 144.514 171.8200
3070.000000 144.472 170.8627
3110.000000 144.411 169.6162
3150.000000 144.346 168.4124
3200.000000 144.262 166.9045
3250.000000 144.166 165.4406
3300.000000 144.071 164.0229
3350.000000 143.970 162.6467
3400.000000 143.863 161.3023
3450.000000 143.755 159.9708
3500.000000 143.639 158.6661
3550.000000 143.517 157.3868
3600.000000 143.390 156.1509
3650.000000 143.259 154.9134
3700.000000 143.119 153.6956
3750.000000 142.971 152.5136
3820.000000 142.758 150.9127
3870.000000 142.594 149.8175
3950.000000 142.314 148.0963
4000.000000 142.125 147.0688
4060.000000 141.895 145.9671
4120.000000 141.657 144.9199
4180.000000 141.404 143.9610
4250.000000 141.098 142.9490
4310.000000 140.821 142.2232
4370.000000 140.546 141.5590
4440.000000 140.218 140.9975
4500.000000 139.925 140.6180
4550.000000 139.680 140.3732
4620.000000 139.334 140.1876
4680.000000 139.034 140.1960
4750.000000 138.697 140.3592
4820.000000 138.365 140.6379
4870.000000 138.120 140.9567
4940.000000 137.793 141.5353
5000.000000 137.517 142.1408
5080.000000 137.158 143.1362
5150.000000 136.863 144.0839
5220.000000 136.581 145.2342
5300.000000 136.274 146.6232
5380.000000 135.985 148.1835
5450.000000 135.748 149.6530
5520.000000 135.535 151.1741
5600.000000 135.308 153.0442
5700.000000 135.051 155.4679
