* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 3:46:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L NH C03 1617
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.923 33.9014
20.600000 93.920 33.0203
20.900000 93.911 32.2143
21.200001 93.902 31.3984
21.400000 93.895 30.8475
21.799999 93.884 29.7381
22.000000 93.879 29.1871
22.400000 93.871 28.1112
22.700001 93.866 27.3375
23.000000 93.863 26.5953
23.299999 93.862 25.8796
23.600000 93.861 25.1839
24.000000 93.859 24.2768
24.299999 93.856 23.6058
24.700001 93.848 22.7201
25.000000 93.840 22.0625
25.400000 93.827 21.1958
25.799999 93.813 20.3421
26.200001 93.800 19.5013
26.500000 93.792 18.8777
26.900000 93.780 18.0531
27.200001 93.771 17.4405
27.600000 93.755 16.6367
28.000000 93.734 15.8595
28.500000 93.703 14.9389
29.000000 93.672 14.0642
29.500000 93.645 13.1996
30.000000 93.622 12.3165
30.400000 93.604 11.6033
30.700001 93.590 11.0768
31.100000 93.573 10.4012
31.500000 93.556 9.7610
32.000000 93.534 9.0006
32.500000 93.510 8.2631
33.000000 93.481 7.5296
33.500000 93.446 6.7886
34.000000 93.409 6.0313
34.500000 93.372 5.2607
35.000000 93.338 4.4982
35.500000 93.308 3.7747
36.000000 93.281 3.1048
36.500000 93.257 2.4773
37.000000 93.234 1.8638
37.500000 93.208 1.2418
38.200001 93.166 0.3501
38.700001 93.133 -0.2835
39.500000 93.083 -1.2509
40.000000 93.055 -1.8277
40.599998 93.024 -2.5100
41.200001 92.992 -3.1917
41.799999 92.957 -3.8633
42.500000 92.913 -4.6124
43.099998 92.874 -5.2226
43.700001 92.834 -5.8212
44.400002 92.782 -6.5233
45.000000 92.736 -7.1192
45.500000 92.700 -7.6000
46.200001 92.659 -8.2591
46.799999 92.627 -8.8327
47.500000 92.585 -9.5021
48.200001 92.536 -10.1238
48.700001 92.503 -10.5321
49.400002 92.462 -11.0944
50.000000 92.428 -11.5936
50.799999 92.367 -12.2280
51.500000 92.308 -12.7024
52.200001 92.259 -13.1742
53.000000 92.209 -13.7968
53.799999 92.159 -14.4132
54.500000 92.120 -14.9093
55.200001 92.081 -15.4319
56.000000 92.025 -16.0331
57.000000 91.956 -16.6865
58.000000 91.899 -17.3495
59.000000 91.829 -18.0009
60.000000 91.756 -18.5776
60.799999 91.700 -19.0196
61.500000 91.652 -19.3908
62.200001 91.604 -19.7421
63.000000 91.553 -20.1377
64.000000 91.491 -20.6673
65.000000 91.427 -21.1898
66.000000 91.366 -21.6459
67.000000 91.307 -22.1036
68.000000 91.239 -22.5743
69.000000 91.166 -23.0104
70.000000 91.093 -23.4337
71.000000 91.023 -23.8576
72.000000 90.959 -24.2870
73.000000 90.894 -24.7346
74.000000 90.825 -25.1334
75.000000 90.768 -25.4849
76.199997 90.702 -25.9444
77.500000 90.615 -26.2953
78.800003 90.535 -26.6648
80.000000 90.457 -27.0047
81.199997 90.381 -27.3406
82.500000 90.284 -27.7029
83.800003 90.202 -28.0443
85.000000 90.130 -28.3620
86.199997 90.063 -28.6655
87.500000 89.990 -29.0110
88.500000 89.938 -29.2196
90.000000 89.853 -29.5514
91.199997 89.779 -29.7921
92.500000 89.709 -30.0719
93.800003 89.640 -30.3087
95.000000 89.569 -30.5040
96.199997 89.501 -30.7233
97.500000 89.429 -30.9192
98.800003 89.353 -31.0836
100.000000 89.274 -31.2056
101.500000 89.191 -31.3822
103.000000 89.111 -31.4778
104.400002 89.033 -31.6313
106.000000 88.950 -31.7432
107.500000 88.864 -31.8384
109.000000 88.783 -31.9796
110.599998 88.699 -32.1215
112.000000 88.632 -32.2154
113.800003 88.552 -32.3661
115.000000 88.489 -32.4396
117.199997 88.390 -32.5188
118.000000 88.351 -32.5828
120.599998 88.231 -32.6467
122.000000 88.165 -32.6874
124.099998 88.068 -32.6725
125.000000 88.026 -32.6198
126.500000 87.969 -32.6135
128.000000 87.892 -32.5793
131.500000 87.739 -32.5437
132.000000 87.715 -32.5344
134.000000 87.634 -32.5489
136.000000 87.553 -32.4404
138.000000 87.479 -32.4679
140.000000 87.396 -32.3149
143.000000 87.288 -32.2781
145.000000 87.209 -32.1625
147.500000 87.122 -32.0074
150.000000 87.034 -31.8463
152.500000 86.951 -31.7426
155.000000 86.859 -31.5551
157.500000 86.779 -31.3598
160.000000 86.699 -31.1683
162.500000 86.615 -30.9591
165.000000 86.541 -30.7284
167.500000 86.461 -30.5581
170.000000 86.397 -30.4067
172.500000 86.319 -30.1442
175.000000 86.253 -29.9446
177.500000 86.182 -29.7519
180.000000 86.117 -29.4561
182.500000 86.045 -29.2171
185.000000 85.984 -28.9339
187.500000 85.924 -28.7445
190.000000 85.859 -28.3703
192.500000 85.798 -28.2553
195.000000 85.745 -27.8447
197.500000 85.680 -27.7824
200.000000 85.638 -27.3975
203.000000 85.589 -27.2035
206.000000 85.502 -26.7740
209.000000 85.473 -26.4489
212.000000 85.408 -26.1834
214.000000 85.378 -25.8641
218.000000 85.303 -25.4525
220.000000 85.256 -25.2985
224.000000 85.191 -24.9027
227.000000 85.150 -24.5031
230.000000 85.103 -24.1116
233.000000 85.054 -23.7753
236.000000 85.015 -23.4226
240.000000 84.955 -23.0265
243.000000 84.922 -22.5842
247.000000 84.880 -22.1829
250.000000 84.848 -21.8589
254.000000 84.823 -21.4146
258.000000 84.782 -21.0551
262.000000 84.747 -20.6178
265.000000 84.714 -20.4099
269.000000 84.681 -20.0193
272.000000 84.662 -19.6945
276.000000 84.628 -19.3937
280.000000 84.593 -19.0520
285.000000 84.555 -18.6450
290.000000 84.533 -18.2049
295.000000 84.485 -17.7075
300.000000 84.432 -17.2545
304.000000 84.393 -16.9011
307.000000 84.371 -16.7136
311.000000 84.335 -16.3914
315.000000 84.305 -16.0129
320.000000 84.271 -15.6493
325.000000 84.239 -15.2238
330.000000 84.204 -14.8506
335.000000 84.176 -14.3813
340.000000 84.139 -14.0142
345.000000 84.114 -13.5614
350.000000 84.087 -13.1142
355.000000 84.052 -12.6697
360.000000 84.032 -12.2422
365.000000 84.006 -11.8219
370.000000 83.984 -11.3609
375.000000 83.986 -10.9572
382.000000 83.956 -10.5319
387.000000 83.941 -10.1776
395.000000 83.917 -9.6443
400.000000 83.895 -9.2162
406.000000 83.883 -8.8723
412.000000 83.850 -8.3856
418.000000 83.832 -7.9085
425.000000 83.805 -7.4928
431.000000 83.773 -6.9648
437.000000 83.762 -6.6142
444.000000 83.746 -6.0891
450.000000 83.733 -5.6637
455.000000 83.723 -5.3451
462.000000 83.706 -4.8229
468.000000 83.685 -4.3684
475.000000 83.671 -3.8757
482.000000 83.646 -3.3055
487.000000 83.643 -2.9110
494.000000 83.625 -2.3777
500.000000 83.628 -1.9151
508.000000 83.628 -1.2317
515.000000 83.626 -0.7584
522.000000 83.638 -0.2835
530.000000 83.648 0.0978
538.000000 83.665 0.5611
545.000000 83.684 0.9147
552.000000 83.676 1.1457
560.000000 83.668 1.4174
570.000000 83.643 2.0317
580.000000 83.624 2.4935
590.000000 83.602 3.1909
600.000000 83.583 3.8398
608.000000 83.561 4.4168
615.000000 83.554 4.9356
622.000000 83.557 5.4297
630.000000 83.550 5.8918
640.000000 83.574 6.5906
650.000000 83.572 7.2492
660.000000 83.591 7.9213
670.000000 83.613 8.5531
680.000000 83.611 9.1229
690.000000 83.633 9.7508
700.000000 83.640 10.3170
710.000000 83.661 10.9563
720.000000 83.670 11.4994
730.000000 83.695 12.2446
740.000000 83.711 12.8433
750.000000 83.740 13.4287
762.000000 83.759 14.2305
775.000000 83.790 14.9685
788.000000 83.829 15.7982
800.000000 83.865 16.5557
812.000000 83.902 17.2533
825.000000 83.953 18.0445
838.000000 84.003 18.8172
850.000000 84.059 19.5166
862.000000 84.110 20.1704
875.000000 84.180 20.9256
885.000000 84.231 21.4684
900.000000 84.314 22.2435
912.000000 84.391 22.8707
925.000000 84.470 23.6467
938.000000 84.555 24.1900
950.000000 84.641 24.7710
962.000000 84.716 25.2297
975.000000 84.808 25.8244
988.000000 84.897 26.4662
1000.000000 84.968 27.1449
1015.000000 85.084 27.3442
1030.000000 85.207 27.8053
1044.000000 85.303 28.2501
1060.000000 85.432 28.6564
1075.000000 85.538 29.0982
1090.000000 85.645 29.4627
1106.000000 85.765 29.6624
1120.000000 85.870 29.9703
1138.000000 86.003 30.2174
1150.000000 86.092 30.2552
1172.000000 86.242 30.5759
1180.000000 86.292 30.6349
1206.000000 86.456 30.8589
1220.000000 86.545 30.9198
1241.000000 86.658 31.0152
1250.000000 86.714 31.0587
1265.000000 86.802 31.1178
1280.000000 86.885 31.1277
1315.000000 87.072 31.1444
1320.000000 87.093 31.1969
1340.000000 87.191 31.1014
1360.000000 87.281 31.1692
1380.000000 87.382 31.1810
1400.000000 87.465 31.1954
1430.000000 87.586 31.1596
1450.000000 87.671 31.1496
1475.000000 87.759 31.1605
1500.000000 87.859 31.0767
1525.000000 87.962 31.0770
1550.000000 88.060 31.0249
1575.000000 88.151 31.0087
1600.000000 88.250 30.9114
1625.000000 88.335 30.8934
1650.000000 88.424 30.7935
1675.000000 88.520 30.6403
1700.000000 88.611 30.5779
1725.000000 88.699 30.4637
1750.000000 88.787 30.4019
1775.000000 88.883 30.2200
1800.000000 88.966 30.0574
1825.000000 89.047 29.8472
1850.000000 89.135 29.6864
1875.000000 89.213 29.4769
1900.000000 89.304 29.2203
1925.000000 89.393 28.9703
1950.000000 89.458 28.6868
1975.000000 89.539 28.4420
2000.000000 89.627 27.9709
2030.000000 89.704 27.7065
2060.000000 89.789 27.3364
2090.000000 89.872 26.8614
2120.000000 89.953 26.4340
2140.000000 89.999 26.1650
2180.000000 90.081 25.5030
2200.000000 90.132 25.1602
2240.000000 90.201 24.5283
2270.000000 90.254 23.9908
2300.000000 90.303 23.4862
2330.000000 90.348 23.0062
2360.000000 90.395 22.5016
2400.000000 90.447 21.7824
2430.000000 90.492 21.2811
2470.000000 90.537 20.6390
2500.000000 90.579 20.1190
2540.000000 90.639 19.4287
2580.000000 90.690 18.6842
2620.000000 90.746 17.8651
2650.000000 90.776 17.2033
2690.000000 90.804 16.2603
2720.000000 90.826 15.4535
2760.000000 90.827 14.3031
2800.000000 90.796 13.2755
2850.000000 90.723 12.0807
2900.000000 90.619 11.1814
2950.000000 90.525 10.4850
3000.000000 90.433 10.2790
3040.000000 90.363 9.9565
3070.000000 90.324 9.8957
3110.000000 90.280 9.8339
3150.000000 90.247 9.7967
3200.000000 90.224 9.8851
3250.000000 90.223 9.9541
3300.000000 90.232 9.9770
3350.000000 90.262 9.9928
3400.000000 90.314 9.9990
3450.000000 90.355 9.9390
3500.000000 90.440 9.7486
3550.000000 90.519 9.4451
3600.000000 90.605 9.0423
3650.000000 90.692 8.5061
3700.000000 90.779 7.8006
3750.000000 90.838 6.9922
3820.000000 90.908 5.7604
3870.000000 90.933 4.8793
3950.000000 90.940 3.4759
4000.000000 90.916 2.5937
4060.000000 90.882 1.9912
4120.000000 90.956 2.6013
4180.000000 91.234 0.7401
4250.000000 91.218 -1.9628
4310.000000 91.189 -3.6497
4370.000000 91.139 -5.3024
4440.000000 91.052 -7.2578
4500.000000 90.945 -8.9121
4550.000000 90.836 -10.3375
4620.000000 90.641 -12.1465
4680.000000 90.453 -13.5741
4750.000000 90.178 -15.0880
4820.000000 89.869 -16.2517
4870.000000 89.647 -16.9153
4940.000000 89.319 -17.6518
5000.000000 88.992 -18.0430
5080.000000 88.621 -18.2149
5150.000000 88.304 -17.9571
5220.000000 87.963 -17.5582
5300.000000 87.601 -16.5605
5380.000000 87.256 -15.2415
5450.000000 86.993 -13.9087
5520.000000 86.763 -12.3060
5600.000000 86.556 -10.3999
5700.000000 86.364 -7.9381
5800.000000 86.235 -5.3608
5900.000000 86.165 -2.7537
