* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 3:46:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R NH C03 1618
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.192 34.7481
20.600000 94.189 33.8876
20.900000 94.181 33.0911
21.200001 94.173 32.2810
21.400000 94.167 31.7331
21.799999 94.155 30.6288
22.000000 94.149 30.0796
22.400000 94.134 29.0059
22.700001 94.123 28.2335
23.000000 94.112 27.4934
23.299999 94.102 26.7805
23.600000 94.094 26.0867
24.000000 94.085 25.1766
24.299999 94.079 24.4968
24.700001 94.070 23.5922
25.000000 94.062 22.9198
25.400000 94.049 22.0423
25.799999 94.036 21.1974
26.200001 94.021 20.3881
26.500000 94.012 19.8000
26.900000 94.000 19.0305
27.200001 93.991 18.4566
27.600000 93.979 17.6897
28.000000 93.964 16.9227
28.500000 93.943 15.9778
29.000000 93.919 15.0654
29.500000 93.896 14.1880
30.000000 93.874 13.3327
30.400000 93.857 12.6553
30.700001 93.843 12.1502
31.100000 93.822 11.4837
31.500000 93.800 10.8300
32.000000 93.773 10.0353
32.500000 93.746 9.2639
33.000000 93.722 8.5091
33.500000 93.700 7.7646
34.000000 93.678 7.0260
34.500000 93.655 6.2930
35.000000 93.630 5.5718
35.500000 93.603 4.8739
36.000000 93.577 4.2054
36.500000 93.552 3.5610
37.000000 93.528 2.9286
37.500000 93.503 2.3035
38.200001 93.464 1.4522
38.700001 93.434 0.8630
39.500000 93.385 -0.0880
40.000000 93.352 -0.7043
40.599998 93.311 -1.4486
41.200001 93.271 -2.1655
41.799999 93.237 -2.8439
42.500000 93.200 -3.5936
43.099998 93.167 -4.1988
43.700001 93.130 -4.7694
44.400002 93.084 -5.4146
45.000000 93.045 -5.9742
45.500000 93.015 -6.4526
46.200001 92.977 -7.1405
46.799999 92.944 -7.7371
47.500000 92.902 -8.4062
48.200001 92.856 -9.0142
48.700001 92.825 -9.4234
49.400002 92.783 -10.0061
50.000000 92.744 -10.5260
50.799999 92.689 -11.2108
51.500000 92.644 -11.7874
52.200001 92.602 -12.3554
53.000000 92.554 -12.9812
53.799999 92.505 -13.5681
54.500000 92.462 -14.0596
55.200001 92.418 -14.5307
56.000000 92.372 -15.0529
57.000000 92.320 -15.7176
58.000000 92.266 -16.4049
59.000000 92.201 -17.0823
60.000000 92.132 -17.6739
60.799999 92.081 -18.1419
61.500000 92.034 -18.5752
62.200001 91.983 -18.9883
63.000000 91.930 -19.4432
64.000000 91.867 -20.0508
65.000000 91.802 -20.6064
66.000000 91.744 -21.0791
67.000000 91.683 -21.5253
68.000000 91.617 -21.9257
69.000000 91.555 -22.3205
70.000000 91.496 -22.7480
71.000000 91.439 -23.1781
72.000000 91.382 -23.6232
73.000000 91.322 -24.0720
74.000000 91.265 -24.5221
75.000000 91.209 -24.9844
76.199997 91.139 -25.5072
77.500000 91.060 -26.0436
78.800003 90.983 -26.5319
80.000000 90.912 -26.8965
81.199997 90.842 -27.2229
82.500000 90.758 -27.5860
83.800003 90.682 -27.8857
85.000000 90.612 -28.2218
86.199997 90.538 -28.5024
87.500000 90.468 -28.8288
88.500000 90.409 -29.0441
90.000000 90.315 -29.3600
91.199997 90.235 -29.6549
92.500000 90.162 -30.0177
93.800003 90.096 -30.3752
95.000000 90.037 -30.6454
96.199997 89.978 -30.9383
97.500000 89.916 -31.2030
98.800003 89.859 -31.3842
100.000000 89.795 -31.5019
101.500000 89.707 -31.6985
103.000000 89.631 -31.9159
104.400002 89.556 -32.0666
106.000000 89.460 -32.2814
107.500000 89.389 -32.4735
109.000000 89.314 -32.6227
110.599998 89.239 -32.7851
112.000000 89.165 -32.9554
113.800003 89.078 -33.0685
115.000000 89.018 -33.1840
117.199997 88.917 -33.3635
118.000000 88.878 -33.4229
120.599998 88.762 -33.6375
122.000000 88.705 -33.6867
124.099998 88.604 -33.7414
125.000000 88.569 -33.8082
126.500000 88.492 -33.8379
128.000000 88.428 -33.8765
131.500000 88.272 -33.9342
132.000000 88.249 -33.9402
134.000000 88.162 -33.9328
136.000000 88.080 -33.9491
138.000000 87.996 -33.9298
140.000000 87.920 -33.8731
143.000000 87.796 -33.8721
145.000000 87.715 -33.8279
147.500000 87.629 -33.8179
150.000000 87.544 -33.7678
152.500000 87.460 -33.6386
155.000000 87.371 -33.6109
157.500000 87.284 -33.4989
160.000000 87.194 -33.3411
162.500000 87.116 -33.2395
165.000000 87.033 -33.0395
167.500000 86.953 -32.9128
170.000000 86.877 -32.7064
172.500000 86.787 -32.5602
175.000000 86.716 -32.4168
177.500000 86.641 -32.1766
180.000000 86.566 -32.0422
182.500000 86.499 -31.8773
185.000000 86.443 -31.7135
187.500000 86.370 -31.4960
190.000000 86.305 -31.2961
192.500000 86.243 -31.0885
195.000000 86.189 -30.8871
197.500000 86.127 -30.6156
200.000000 86.065 -30.4620
203.000000 85.993 -30.1652
206.000000 85.928 -29.8605
209.000000 85.861 -29.6608
212.000000 85.799 -29.2848
214.000000 85.752 -29.1352
218.000000 85.674 -28.7879
220.000000 85.634 -28.6514
224.000000 85.559 -28.2181
227.000000 85.485 -27.9892
230.000000 85.424 -27.5809
233.000000 85.380 -27.2687
236.000000 85.309 -27.0742
240.000000 85.241 -26.4001
243.000000 85.185 -26.1849
247.000000 85.119 -25.7687
250.000000 85.069 -25.4104
254.000000 85.018 -25.0854
258.000000 84.963 -24.6299
262.000000 84.898 -24.1931
265.000000 84.878 -23.8688
269.000000 84.825 -23.3961
272.000000 84.788 -23.0760
276.000000 84.751 -22.6440
280.000000 84.699 -22.2679
285.000000 84.656 -21.7345
290.000000 84.622 -21.1045
295.000000 84.575 -20.5587
300.000000 84.550 -20.1431
304.000000 84.525 -19.7100
307.000000 84.519 -19.4652
311.000000 84.481 -19.1566
315.000000 84.452 -18.9622
320.000000 84.431 -18.5516
325.000000 84.383 -18.1204
330.000000 84.344 -17.8183
335.000000 84.297 -17.4173
340.000000 84.257 -16.9973
345.000000 84.217 -16.5696
350.000000 84.184 -16.1974
355.000000 84.148 -15.7662
360.000000 84.132 -15.2800
365.000000 84.087 -14.8780
370.000000 84.058 -14.4916
375.000000 84.038 -14.1079
382.000000 84.005 -13.5506
387.000000 83.982 -13.1587
395.000000 83.935 -12.5356
400.000000 83.908 -12.1414
406.000000 83.876 -11.6737
412.000000 83.844 -11.2245
418.000000 83.810 -10.6882
425.000000 83.773 -10.1369
431.000000 83.748 -9.6410
437.000000 83.718 -9.2065
444.000000 83.697 -8.6575
450.000000 83.685 -8.1303
455.000000 83.663 -7.7694
462.000000 83.658 -7.1984
468.000000 83.646 -6.8239
475.000000 83.644 -6.3088
482.000000 83.609 -5.7798
487.000000 83.611 -5.4086
494.000000 83.594 -4.8818
500.000000 83.579 -4.4376
508.000000 83.562 -3.8746
515.000000 83.553 -3.3579
522.000000 83.551 -2.8748
530.000000 83.553 -2.3217
538.000000 83.563 -1.7930
545.000000 83.571 -1.5702
552.000000 83.560 -1.3254
560.000000 83.515 -0.9568
570.000000 83.435 -0.2786
580.000000 83.403 0.6755
590.000000 83.394 1.6069
600.000000 83.421 2.5408
608.000000 83.436 3.1353
615.000000 83.447 3.6105
622.000000 83.456 3.9421
630.000000 83.479 4.3912
640.000000 83.467 4.9511
650.000000 83.482 5.6161
660.000000 83.472 6.1678
670.000000 83.479 6.7853
680.000000 83.481 7.3321
690.000000 83.495 8.0672
700.000000 83.503 8.6568
710.000000 83.517 9.3483
720.000000 83.525 10.0621
730.000000 83.549 10.5655
740.000000 83.571 11.2834
750.000000 83.575 11.8785
762.000000 83.611 12.7018
775.000000 83.641 13.5634
788.000000 83.658 14.3919
800.000000 83.698 15.2136
812.000000 83.730 15.8991
825.000000 83.780 16.8077
838.000000 83.830 17.6048
850.000000 83.879 18.3676
862.000000 83.950 19.0795
875.000000 84.000 19.7922
885.000000 84.056 20.3875
900.000000 84.137 21.3063
912.000000 84.219 21.9042
925.000000 84.296 22.5616
938.000000 84.355 23.2950
950.000000 84.442 23.8446
962.000000 84.519 24.5061
975.000000 84.599 25.0246
988.000000 84.682 25.5546
1000.000000 84.741 25.8426
1015.000000 84.887 26.7058
1030.000000 85.011 27.1666
1044.000000 85.105 27.5451
1060.000000 85.237 28.1129
1075.000000 85.356 28.5275
1090.000000 85.466 28.8969
1106.000000 85.575 29.2323
1120.000000 85.685 29.5345
1138.000000 85.800 29.8415
1150.000000 85.885 29.9124
1172.000000 86.027 30.2519
1180.000000 86.086 30.3231
1206.000000 86.243 30.6204
1220.000000 86.347 30.7223
1241.000000 86.459 30.8588
1250.000000 86.518 30.8875
1265.000000 86.607 30.9322
1280.000000 86.704 31.0898
1315.000000 86.877 31.1302
1320.000000 86.910 31.1132
1340.000000 86.996 31.1748
1360.000000 87.088 31.2616
1380.000000 87.169 31.2921
1400.000000 87.264 31.3034
1430.000000 87.397 31.3604
1450.000000 87.474 31.3849
1475.000000 87.582 31.3864
1500.000000 87.678 31.3909
1525.000000 87.774 31.4403
1550.000000 87.886 31.4610
1575.000000 87.986 31.4173
1600.000000 88.084 31.4305
1625.000000 88.182 31.3820
1650.000000 88.296 31.3800
1675.000000 88.374 31.3060
1700.000000 88.462 31.2562
1725.000000 88.548 31.1250
1750.000000 88.639 31.0115
1775.000000 88.731 30.9623
1800.000000 88.827 30.7367
1825.000000 88.922 30.6618
1850.000000 89.006 30.5177
1875.000000 89.108 30.3098
1900.000000 89.190 30.1042
1925.000000 89.279 29.8995
1950.000000 89.372 29.5945
1975.000000 89.446 29.3995
2000.000000 89.506 29.1367
2030.000000 89.603 28.7855
2060.000000 89.696 28.3831
2090.000000 89.778 27.9582
2120.000000 89.863 27.5097
2140.000000 89.917 27.2885
2180.000000 90.017 26.6227
2200.000000 90.059 26.3136
2240.000000 90.152 25.6842
2270.000000 90.212 25.1400
2300.000000 90.273 24.6961
2330.000000 90.322 24.1297
2360.000000 90.381 23.6272
2400.000000 90.440 22.9713
2430.000000 90.484 22.4348
2470.000000 90.540 21.7431
2500.000000 90.579 21.2234
2540.000000 90.631 20.5105
2580.000000 90.684 19.8016
2620.000000 90.740 19.0029
2650.000000 90.783 18.3311
2690.000000 90.815 17.3555
2720.000000 90.840 16.6105
2760.000000 90.852 15.5502
2800.000000 90.839 14.3753
2850.000000 90.779 13.1777
2900.000000 90.688 12.2174
2950.000000 90.581 11.4604
3000.000000 90.480 11.1128
3040.000000 90.406 10.7472
3070.000000 90.356 10.7211
3110.000000 90.316 10.5796
3150.000000 90.280 10.5739
3200.000000 90.266 10.5424
3250.000000 90.255 10.5671
3300.000000 90.265 10.6295
3350.000000 90.281 10.6104
3400.000000 90.309 10.5887
3450.000000 90.346 10.5454
3500.000000 90.400 10.4322
3550.000000 90.468 10.2494
3600.000000 90.540 9.9897
3650.000000 90.629 9.5620
3700.000000 90.705 9.0502
3750.000000 90.791 8.4353
3820.000000 90.884 7.3958
3870.000000 90.945 6.6377
3950.000000 91.008 5.2061
4000.000000 91.047 4.2208
4060.000000 91.064 3.2852
4120.000000 91.078 2.1662
4180.000000 91.096 1.5610
4250.000000 91.244 -0.3624
4310.000000 91.226 -2.2533
4370.000000 91.192 -4.0083
4440.000000 91.106 -5.9094
4500.000000 91.008 -7.7253
4550.000000 90.897 -8.9685
4620.000000 90.696 -10.8458
4680.000000 90.497 -12.2782
4750.000000 90.226 -13.7175
4820.000000 89.947 -14.8629
4870.000000 89.716 -15.4638
4940.000000 89.396 -16.1803
5000.000000 89.146 -16.3551
5080.000000 88.773 -16.5828
5150.000000 88.444 -16.2683
5220.000000 88.137 -15.8733
5300.000000 87.800 -15.0052
5380.000000 87.481 -13.8717
5450.000000 87.227 -12.4036
5520.000000 86.987 -11.1233
5600.000000 86.791 -9.3588
5700.000000 86.583 -7.0041
5800.000000 86.430 -4.6415
5900.000000 86.359 -2.1191
