* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 4, 2025 1:53:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Nicehck Black Silicone 1152
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.677 34.5320
20.600000 133.673 33.6421
20.900000 133.664 32.8364
21.200001 133.656 32.0336
21.400000 133.652 31.4969
21.799999 133.650 30.4226
22.000000 133.650 29.8881
22.400000 133.651 28.8351
22.700001 133.652 28.0663
23.000000 133.651 27.3171
23.299999 133.649 26.5833
23.600000 133.645 25.8590
24.000000 133.638 24.9006
24.299999 133.631 24.1867
24.700001 133.620 23.2494
25.000000 133.610 22.5673
25.400000 133.597 21.6975
25.799999 133.585 20.8760
26.200001 133.573 20.0903
26.500000 133.565 19.5103
26.900000 133.552 18.7335
27.200001 133.540 18.1433
27.600000 133.519 17.3513
28.000000 133.495 16.5702
28.500000 133.466 15.6301
29.000000 133.446 14.7251
29.500000 133.431 13.8292
30.000000 133.412 12.9353
30.400000 133.391 12.2411
30.700001 133.370 11.7442
31.100000 133.342 11.1132
31.500000 133.316 10.4999
32.000000 133.287 9.7173
32.500000 133.259 8.9036
33.000000 133.226 8.1022
33.500000 133.191 7.3611
34.000000 133.161 6.6717
34.500000 133.136 5.9760
35.000000 133.108 5.2457
35.500000 133.072 4.5220
36.000000 133.032 3.8695
36.500000 132.998 3.2963
37.000000 132.973 2.7422
37.500000 132.951 2.1489
38.200001 132.906 1.2694
38.700001 132.862 0.6736
39.500000 132.795 -0.1739
40.000000 132.762 -0.6754
40.599998 132.729 -1.2788
41.200001 132.698 -1.8850
41.799999 132.665 -2.4918
42.500000 132.621 -3.1845
43.099998 132.583 -3.7402
43.700001 132.554 -4.2767
44.400002 132.527 -4.9296
45.000000 132.500 -5.5006
45.500000 132.474 -5.9460
46.200001 132.440 -6.5344
46.799999 132.415 -7.0788
47.500000 132.380 -7.7833
48.200001 132.337 -8.4608
48.700001 132.307 -8.8930
49.400002 132.274 -9.4728
50.000000 132.246 -9.9924
50.799999 132.193 -10.6849
51.500000 132.139 -11.2327
52.200001 132.091 -11.7507
53.000000 132.047 -12.3844
53.799999 132.006 -13.0605
54.500000 131.967 -13.6351
55.200001 131.924 -14.1722
56.000000 131.871 -14.7475
57.000000 131.799 -15.4431
58.000000 131.723 -16.1310
59.000000 131.646 -16.7814
60.000000 131.575 -17.3817
60.799999 131.525 -17.8444
61.500000 131.483 -18.2619
62.200001 131.437 -18.6821
63.000000 131.380 -19.1271
64.000000 131.314 -19.6426
65.000000 131.250 -20.1515
66.000000 131.181 -20.6235
67.000000 131.112 -21.1059
68.000000 131.043 -21.6539
69.000000 130.975 -22.1946
70.000000 130.912 -22.6675
71.000000 130.852 -23.1088
72.000000 130.789 -23.5542
73.000000 130.725 -23.9681
74.000000 130.661 -24.3753
75.000000 130.592 -24.7786
76.199997 130.514 -25.2041
77.500000 130.431 -25.5932
78.800003 130.342 -25.9590
80.000000 130.249 -26.3332
81.199997 130.168 -26.7038
82.500000 130.081 -27.1371
83.800003 129.999 -27.5121
85.000000 129.925 -27.8415
86.199997 129.851 -28.1261
87.500000 129.768 -28.4415
88.500000 129.703 -28.6643
90.000000 129.597 -29.0155
91.199997 129.523 -29.3189
92.500000 129.445 -29.6280
93.800003 129.369 -29.8236
95.000000 129.296 -30.0330
96.199997 129.223 -30.2374
97.500000 129.138 -30.4201
98.800003 129.056 -30.5706
100.000000 128.980 -30.7321
101.500000 128.889 -30.8500
103.000000 128.795 -30.9583
104.400002 128.708 -31.1108
106.000000 128.609 -31.2690
107.500000 128.526 -31.3711
109.000000 128.441 -31.4471
110.599998 128.350 -31.4764
112.000000 128.262 -31.4924
113.800003 128.154 -31.5104
115.000000 128.086 -31.4968
117.199997 127.964 -31.2953
118.000000 127.924 -31.2081
120.599998 127.797 -30.9428
122.000000 127.746 -30.7412
124.099998 127.673 -30.4162
125.000000 127.660 -30.3333
126.500000 127.638 -30.0432
128.000000 127.615 -30.0363
131.500000 127.564 -30.1475
132.000000 127.551 -30.2264
134.000000 127.502 -30.4849
136.000000 127.430 -30.6895
138.000000 127.364 -30.7875
140.000000 127.275 -30.9029
143.000000 127.159 -30.9874
145.000000 127.081 -30.9789
147.500000 126.988 -31.0099
150.000000 126.891 -30.9428
152.500000 126.795 -30.8707
155.000000 126.706 -30.7424
157.500000 126.615 -30.6030
160.000000 126.532 -30.4578
162.500000 126.442 -30.3666
165.000000 126.360 -30.1666
167.500000 126.276 -30.0239
170.000000 126.198 -29.7291
172.500000 126.122 -29.5063
175.000000 126.044 -29.2447
177.500000 125.976 -29.0383
180.000000 125.903 -28.7396
182.500000 125.836 -28.4870
185.000000 125.774 -28.2146
187.500000 125.710 -27.9512
190.000000 125.653 -27.6568
192.500000 125.606 -27.3200
195.000000 125.564 -27.0425
197.500000 125.510 -26.7359
200.000000 125.469 -26.5218
203.000000 125.412 -26.1925
206.000000 125.355 -25.8743
209.000000 125.298 -25.5630
212.000000 125.246 -25.2215
214.000000 125.219 -24.9302
218.000000 125.168 -24.5433
220.000000 125.136 -24.3046
224.000000 125.087 -23.9862
227.000000 125.059 -23.6372
230.000000 125.032 -23.2846
233.000000 125.000 -22.9875
236.000000 124.975 -22.7878
240.000000 124.937 -22.5307
243.000000 124.904 -22.2698
247.000000 124.859 -22.1073
250.000000 124.815 -21.8733
254.000000 124.767 -21.6485
258.000000 124.722 -21.3641
262.000000 124.677 -21.0377
265.000000 124.636 -20.7977
269.000000 124.583 -20.4944
272.000000 124.544 -20.2569
276.000000 124.497 -19.9345
280.000000 124.447 -19.5435
285.000000 124.396 -19.1702
290.000000 124.350 -18.6822
295.000000 124.308 -18.2738
300.000000 124.279 -17.9126
304.000000 124.237 -17.6386
307.000000 124.226 -17.3703
311.000000 124.187 -17.0843
315.000000 124.159 -16.6944
320.000000 124.125 -16.2161
325.000000 124.089 -15.7654
330.000000 124.041 -15.3377
335.000000 124.006 -14.9590
340.000000 123.977 -14.5545
345.000000 123.953 -14.2051
350.000000 123.917 -13.8062
355.000000 123.893 -13.4143
360.000000 123.862 -13.0158
365.000000 123.829 -12.5786
370.000000 123.818 -12.2209
375.000000 123.779 -11.8449
382.000000 123.749 -11.3189
387.000000 123.732 -10.9435
395.000000 123.699 -10.3641
400.000000 123.682 -9.9877
406.000000 123.660 -9.5560
412.000000 123.643 -9.0980
418.000000 123.615 -8.7011
425.000000 123.597 -8.1893
431.000000 123.571 -7.7675
437.000000 123.555 -7.3416
444.000000 123.528 -6.8573
450.000000 123.517 -6.4442
455.000000 123.504 -6.1008
462.000000 123.482 -5.6338
468.000000 123.469 -5.2412
475.000000 123.456 -4.7421
482.000000 123.432 -4.3265
487.000000 123.422 -4.0026
494.000000 123.413 -3.5247
500.000000 123.398 -3.0835
508.000000 123.380 -2.5465
515.000000 123.371 -2.1430
522.000000 123.364 -1.7737
530.000000 123.351 -1.2430
538.000000 123.333 -0.6892
545.000000 123.318 -0.2429
552.000000 123.305 0.2193
560.000000 123.277 0.8031
570.000000 123.280 1.3738
580.000000 123.281 2.0042
590.000000 123.266 2.6041
600.000000 123.246 3.3163
608.000000 123.236 3.8674
615.000000 123.223 4.3577
622.000000 123.219 4.8892
630.000000 123.218 5.3814
640.000000 123.223 6.2186
650.000000 123.237 6.8226
660.000000 123.256 7.5783
670.000000 123.264 8.1700
680.000000 123.271 8.7446
690.000000 123.303 9.4189
700.000000 123.319 10.0404
710.000000 123.333 10.7555
720.000000 123.350 11.2760
730.000000 123.362 12.0083
740.000000 123.390 12.6233
750.000000 123.400 13.2551
762.000000 123.431 14.0380
775.000000 123.480 14.7618
788.000000 123.501 15.5704
800.000000 123.543 16.4374
812.000000 123.584 17.0948
825.000000 123.635 17.9101
838.000000 123.698 18.7079
850.000000 123.746 19.5288
862.000000 123.804 20.1299
875.000000 123.880 20.8660
885.000000 123.924 21.4621
900.000000 124.015 22.3047
912.000000 124.084 22.9191
925.000000 124.172 23.6340
938.000000 124.251 24.2750
950.000000 124.321 24.7797
962.000000 124.407 25.3992
975.000000 124.500 25.9058
988.000000 124.601 26.4084
1000.000000 124.677 26.7618
1015.000000 124.798 27.4712
1030.000000 124.914 27.9474
1044.000000 125.014 28.3740
1060.000000 125.139 28.8531
1075.000000 125.252 29.2449
1090.000000 125.368 29.6065
1106.000000 125.498 29.8514
1120.000000 125.599 30.0934
1138.000000 125.723 30.3878
1150.000000 125.805 30.5314
1172.000000 125.970 30.7506
1180.000000 126.021 30.8094
1206.000000 126.177 30.9865
1220.000000 126.261 31.1033
1241.000000 126.384 31.1524
1250.000000 126.430 31.2091
1265.000000 126.523 31.2566
1280.000000 126.594 31.2814
1315.000000 126.777 31.3216
1320.000000 126.801 31.3563
1340.000000 126.901 31.3909
1360.000000 127.004 31.3506
1380.000000 127.100 31.3449
1400.000000 127.190 31.3716
1430.000000 127.319 31.3661
1450.000000 127.386 31.3327
1475.000000 127.485 31.2922
1500.000000 127.588 31.3332
1525.000000 127.684 31.2982
1550.000000 127.775 31.1787
1575.000000 127.868 31.2070
1600.000000 127.961 31.1956
1625.000000 128.046 31.1379
1650.000000 128.135 31.1040
1675.000000 128.220 31.0101
1700.000000 128.300 30.9344
1725.000000 128.395 30.8643
1750.000000 128.475 30.8112
1775.000000 128.559 30.7414
1800.000000 128.642 30.6956
1825.000000 128.731 30.6131
1850.000000 128.828 30.5713
1875.000000 128.930 30.4863
1900.000000 129.029 30.3791
1925.000000 129.143 30.0816
1950.000000 129.242 29.7651
1975.000000 129.333 29.3993
2000.000000 129.419 29.0126
2030.000000 129.506 28.5006
2060.000000 129.576 28.0318
2090.000000 129.656 27.5571
2120.000000 129.726 27.0396
2140.000000 129.771 26.7624
2180.000000 129.853 26.1123
2200.000000 129.897 25.7766
2240.000000 129.982 25.0878
2270.000000 130.034 24.5383
2300.000000 130.080 23.9682
2330.000000 130.125 23.4321
2360.000000 130.156 22.8657
2400.000000 130.198 22.1849
2430.000000 130.219 21.7043
2470.000000 130.256 21.0596
2500.000000 130.279 20.6017
2540.000000 130.310 19.9215
2580.000000 130.340 19.2299
2620.000000 130.366 18.6587
2650.000000 130.382 18.1530
2690.000000 130.399 17.4615
2720.000000 130.404 16.9012
2760.000000 130.390 16.1590
2800.000000 130.381 15.5622
2850.000000 130.357 14.9891
2900.000000 130.344 14.4491
2950.000000 130.345 13.9725
3000.000000 130.320 13.3589
3040.000000 130.299 12.9088
3070.000000 130.273 12.7106
3110.000000 130.248 12.5193
3150.000000 130.224 12.3502
3200.000000 130.224 12.3019
3250.000000 130.227 12.2372
3300.000000 130.262 12.1633
3350.000000 130.302 12.1582
3400.000000 130.356 12.0460
3450.000000 130.422 11.9269
3500.000000 130.507 11.7011
3550.000000 130.601 11.3319
3600.000000 130.704 10.7806
3650.000000 130.805 10.0774
3700.000000 130.895 9.2921
3750.000000 130.956 8.4535
3820.000000 131.035 7.0860
3870.000000 131.068 6.1749
3950.000000 131.121 4.6770
4000.000000 131.137 3.7566
4060.000000 131.131 2.8045
4120.000000 131.197 2.8841
4180.000000 131.486 0.8527
4250.000000 131.501 -2.2259
4310.000000 131.452 -4.2764
4370.000000 131.385 -6.2769
4440.000000 131.275 -8.6439
4500.000000 131.159 -10.6977
4550.000000 131.015 -12.3384
4620.000000 130.790 -14.4897
4680.000000 130.546 -16.1256
4750.000000 130.221 -17.8438
4820.000000 129.879 -19.1966
4870.000000 129.617 -20.0028
4940.000000 129.236 -20.7007
5000.000000 128.912 -21.0817
5080.000000 128.479 -21.0862
5150.000000 128.110 -20.8347
5220.000000 127.753 -20.3289
5300.000000 127.373 -19.3054
5380.000000 127.031 -17.9657
5450.000000 126.748 -16.8062
5520.000000 126.516 -15.4191
5600.000000 126.279 -13.8224
5700.000000 126.037 -11.6146
5800.000000 125.837 -9.4586
5900.000000 125.697 -7.3807
