* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 1:50:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L nicehck C04 1079
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.502 34.6375
20.600000 133.495 34.4575
20.900000 133.578 34.1882
21.200001 133.714 33.5714
21.400000 133.808 32.9520
21.799999 133.968 31.3776
22.000000 134.017 30.5372
22.400000 134.049 29.0195
22.700001 134.029 28.1567
23.000000 133.992 27.5494
23.299999 133.956 27.1025
23.600000 133.925 26.7101
24.000000 133.894 26.1362
24.299999 133.874 25.6272
24.700001 133.855 24.8653
25.000000 133.851 24.2512
25.400000 133.867 23.3625
25.799999 133.901 22.3424
26.200001 133.930 21.1807
26.500000 133.932 20.2712
26.900000 133.896 19.1289
27.200001 133.842 18.4149
27.600000 133.749 17.7179
28.000000 133.657 17.2693
28.500000 133.576 16.8244
29.000000 133.540 16.2074
29.500000 133.540 15.2971
30.000000 133.567 14.1640
30.400000 133.603 13.1802
30.700001 133.632 12.4282
31.100000 133.661 11.4479
31.500000 133.662 10.5531
32.000000 133.609 9.6634
32.500000 133.510 9.0665
33.000000 133.404 8.6098
33.500000 133.321 8.0586
34.000000 133.270 7.3237
34.500000 133.256 6.5412
35.000000 133.283 5.8493
35.500000 133.329 5.2202
36.000000 133.343 4.5700
36.500000 133.285 3.9637
37.000000 133.172 3.5538
37.500000 133.076 3.2886
38.200001 133.071 2.5182
38.700001 133.124 1.4546
39.500000 133.157 -0.1779
40.000000 133.147 -0.6382
40.599998 133.139 -0.8790
41.200001 133.118 -1.3912
41.799999 133.056 -2.2486
42.500000 132.974 -3.2701
43.099998 132.949 -3.9721
43.700001 132.959 -4.4708
44.400002 132.988 -4.7931
45.000000 133.013 -5.1040
45.500000 133.007 -5.5885
46.200001 132.938 -6.4796
46.799999 132.872 -7.1943
47.500000 132.864 -8.0917
48.200001 132.899 -9.2431
48.700001 132.901 -10.0469
49.400002 132.833 -10.7896
50.000000 132.718 -10.9771
50.799999 132.571 -10.9655
51.500000 132.516 -11.5097
52.200001 132.484 -12.7203
53.000000 132.432 -13.6711
53.799999 132.431 -13.6713
54.500000 132.409 -13.7305
55.200001 132.290 -13.9328
56.000000 132.172 -14.1097
57.000000 132.169 -14.8439
58.000000 132.152 -15.3774
59.000000 132.052 -15.9042
60.000000 131.801 -16.7384
60.799999 131.696 -17.0548
61.500000 131.720 -17.6117
62.200001 131.706 -18.3345
63.000000 131.619 -18.7285
64.000000 131.553 -19.2670
65.000000 131.535 -20.3257
66.000000 131.590 -21.1071
67.000000 131.617 -21.6747
68.000000 131.561 -21.8472
69.000000 131.501 -22.2604
70.000000 131.371 -22.9350
71.000000 131.203 -23.1246
72.000000 131.095 -23.2506
73.000000 131.019 -23.7469
74.000000 130.931 -24.3263
75.000000 130.833 -24.6140
76.199997 130.792 -24.6152
77.500000 130.752 -24.9163
78.800003 130.696 -25.0277
80.000000 130.646 -25.7079
81.199997 130.565 -25.8965
82.500000 130.437 -26.8399
83.800003 130.271 -27.7534
85.000000 130.161 -28.1686
86.199997 130.100 -28.4662
87.500000 129.931 -28.8993
88.500000 129.956 -28.9944
90.000000 129.867 -29.1982
91.199997 129.835 -28.7659
92.500000 129.742 -28.2466
93.800003 129.664 -28.3835
95.000000 129.606 -27.9795
96.199997 129.503 -28.9462
97.500000 129.328 -28.8973
98.800003 129.354 -30.2412
100.000000 129.252 -30.8817
101.500000 129.228 -31.6963
103.000000 129.240 -31.7658
104.400002 129.211 -32.6181
106.000000 129.177 -32.0241
107.500000 129.108 -32.2437
109.000000 128.962 -31.7392
110.599998 128.902 -31.5731
112.000000 128.774 -31.1090
113.800003 128.655 -31.5404
115.000000 128.511 -31.4006
117.199997 128.443 -31.5418
118.000000 128.367 -31.7251
120.599998 128.314 -32.7411
122.000000 128.217 -33.0537
124.099998 128.161 -32.8923
125.000000 128.097 -33.2408
126.500000 128.078 -33.3007
128.000000 128.014 -32.9387
131.500000 127.649 -32.8079
132.000000 127.625 -32.5842
134.000000 127.523 -32.2675
136.000000 127.470 -31.7385
138.000000 127.372 -31.2291
140.000000 127.269 -31.2923
143.000000 127.159 -31.8900
145.000000 127.143 -32.0652
147.500000 127.075 -32.8951
150.000000 127.050 -32.9716
152.500000 126.992 -33.1591
155.000000 126.909 -32.6489
157.500000 126.821 -32.2139
160.000000 126.733 -30.9620
162.500000 126.649 -30.3108
165.000000 126.474 -30.0514
167.500000 126.397 -30.0065
170.000000 126.314 -30.3729
172.500000 126.378 -30.9583
175.000000 126.401 -30.5902
177.500000 126.284 -30.4312
180.000000 126.287 -31.0460
182.500000 126.291 -30.8532
185.000000 126.242 -29.8142
187.500000 126.016 -29.4223
190.000000 125.989 -29.5984
192.500000 125.900 -28.1913
195.000000 125.707 -28.2700
197.500000 125.696 -28.1281
200.000000 125.486 -27.6549
203.000000 125.463 -27.7434
206.000000 125.451 -26.9314
209.000000 125.350 -27.2797
212.000000 125.431 -27.4108
214.000000 125.270 -27.4436
218.000000 125.312 -27.1316
220.000000 125.140 -26.9309
224.000000 125.148 -26.3868
227.000000 124.947 -25.8249
230.000000 124.943 -25.0589
233.000000 124.780 -24.8110
236.000000 124.817 -23.3902
240.000000 124.741 -24.2028
243.000000 124.607 -23.7039
247.000000 124.686 -23.6015
250.000000 124.671 -23.7736
254.000000 124.654 -22.9278
258.000000 124.732 -22.8033
262.000000 124.628 -23.3462
265.000000 124.496 -22.5427
269.000000 124.390 -21.0936
272.000000 124.349 -20.6401
276.000000 124.340 -20.5371
280.000000 124.301 -20.0920
285.000000 124.263 -19.4211
290.000000 124.174 -19.2818
295.000000 124.184 -19.7642
300.000000 124.169 -19.0619
304.000000 124.104 -18.0712
307.000000 123.993 -17.7213
311.000000 123.905 -17.4405
315.000000 123.916 -17.0688
320.000000 123.948 -16.6400
325.000000 123.957 -15.8222
330.000000 123.859 -15.9602
335.000000 123.948 -16.2998
340.000000 123.962 -15.2271
345.000000 123.933 -15.3340
350.000000 123.911 -14.1662
355.000000 123.895 -14.2819
360.000000 123.768 -13.4003
365.000000 123.832 -12.8914
370.000000 123.774 -13.3451
375.000000 123.686 -12.7895
382.000000 123.686 -12.4042
387.000000 123.634 -11.6479
395.000000 123.681 -10.9581
400.000000 123.650 -10.8688
406.000000 123.642 -10.0708
412.000000 123.547 -9.7682
418.000000 123.520 -9.4725
425.000000 123.518 -8.6928
431.000000 123.468 -8.2698
437.000000 123.467 -8.0421
444.000000 123.394 -7.5916
450.000000 123.417 -7.3633
455.000000 123.378 -6.8189
462.000000 123.371 -6.3481
468.000000 123.383 -5.8822
475.000000 123.326 -5.3374
482.000000 123.326 -4.9088
487.000000 123.350 -4.6445
494.000000 123.359 -4.3291
500.000000 123.343 -3.8904
508.000000 123.409 -3.4062
515.000000 123.390 -3.0979
522.000000 123.396 -2.6915
530.000000 123.342 -2.0877
538.000000 123.317 -1.3502
545.000000 123.306 -0.9081
552.000000 123.292 -0.4260
560.000000 123.252 -0.0734
570.000000 123.242 0.5766
580.000000 123.284 1.4445
590.000000 123.295 1.8413
600.000000 123.278 2.2183
608.000000 123.300 2.7481
615.000000 123.295 3.2963
622.000000 123.283 3.9424
630.000000 123.243 4.3385
640.000000 123.225 5.0751
650.000000 123.250 5.8720
660.000000 123.246 6.5243
670.000000 123.255 6.9897
680.000000 123.228 7.5428
690.000000 123.212 8.3447
700.000000 123.167 9.2022
710.000000 123.131 10.0158
720.000000 123.167 10.5734
730.000000 123.242 11.0961
740.000000 123.338 11.4647
750.000000 123.441 11.9909
762.000000 123.588 12.6290
775.000000 123.663 13.5494
788.000000 123.731 14.3864
800.000000 123.784 15.1953
812.000000 123.845 15.7464
825.000000 123.853 16.4327
838.000000 123.850 17.2985
850.000000 123.861 18.1295
862.000000 123.847 18.9415
875.000000 123.860 19.6740
885.000000 123.925 20.2243
900.000000 124.045 20.9548
912.000000 124.141 21.4677
925.000000 124.255 22.0620
938.000000 124.359 22.8299
950.000000 124.436 23.3401
962.000000 124.529 23.7919
975.000000 124.638 24.3550
988.000000 124.716 24.8717
1000.000000 124.814 25.3859
1015.000000 124.865 25.8433
1030.000000 124.913 26.3563
1044.000000 124.939 26.8338
1060.000000 125.027 27.3327
1075.000000 125.122 27.7576
1090.000000 125.229 27.9383
1106.000000 125.377 28.1797
1120.000000 125.520 28.4124
1138.000000 125.684 28.7329
1150.000000 125.821 28.8390
1172.000000 126.024 28.8571
1180.000000 126.091 28.8795
1206.000000 126.283 29.1238
1220.000000 126.368 29.2239
1241.000000 126.491 29.1938
1250.000000 126.528 29.0852
1265.000000 126.577 29.1218
1280.000000 126.600 29.3398
1315.000000 126.706 29.4025
1320.000000 126.735 29.3039
1340.000000 126.842 29.1786
1360.000000 126.933 29.2132
1380.000000 126.991 29.2323
1400.000000 127.054 29.2326
1430.000000 127.207 29.2262
1450.000000 127.354 29.0367
1475.000000 127.512 29.0062
1500.000000 127.641 28.9870
1525.000000 127.782 28.8088
1550.000000 127.944 28.7993
1575.000000 128.063 28.4590
1600.000000 128.091 28.3357
1625.000000 127.995 28.6038
1650.000000 127.878 28.6823
1675.000000 127.876 28.5144
1700.000000 127.926 28.3369
1725.000000 128.042 28.3042
1750.000000 128.178 27.9403
1775.000000 128.362 27.7843
1800.000000 128.536 27.6093
1825.000000 128.687 27.3276
1850.000000 128.842 27.1386
1875.000000 128.951 26.9347
1900.000000 129.065 26.6966
1925.000000 129.153 26.4468
1950.000000 129.221 26.0897
1975.000000 129.255 25.8577
2000.000000 129.291 25.3972
2030.000000 129.261 25.2212
2060.000000 129.305 24.9034
2090.000000 129.392 24.3339
2120.000000 129.537 23.8653
2140.000000 129.621 23.4610
2180.000000 129.793 22.7488
2200.000000 129.857 22.4692
2240.000000 129.980 21.7077
2270.000000 130.055 21.1901
2300.000000 130.116 20.6882
2330.000000 130.157 20.1325
2360.000000 130.210 19.5962
2400.000000 130.284 18.8974
2430.000000 130.337 18.2653
2470.000000 130.417 17.5506
2500.000000 130.447 16.9903
2540.000000 130.498 16.1853
2580.000000 130.535 15.4303
2620.000000 130.564 14.4396
2650.000000 130.595 13.8110
2690.000000 130.625 12.8254
2720.000000 130.627 11.9291
2760.000000 130.674 10.7400
2800.000000 130.663 9.5991
2850.000000 130.597 8.4054
2900.000000 130.543 7.2737
2950.000000 130.431 6.3742
3000.000000 130.303 5.9031
3040.000000 130.219 5.5824
3070.000000 130.180 5.4267
3110.000000 130.136 5.1500
3150.000000 130.083 5.1059
3200.000000 130.009 5.0439
3250.000000 129.996 4.8839
3300.000000 129.997 4.7858
3350.000000 130.004 4.6429
3400.000000 130.028 4.4534
3450.000000 130.060 4.2784
3500.000000 130.114 3.9296
3550.000000 130.170 3.5953
3600.000000 130.265 3.0061
3650.000000 130.326 2.3814
3700.000000 130.385 1.5607
3750.000000 130.397 0.7305
3820.000000 130.375 -0.4090
3870.000000 130.361 -1.2720
3950.000000 130.363 -2.7805
4000.000000 130.336 -3.4420
4060.000000 130.283 -4.3555
4120.000000 130.210 -4.0147
4180.000000 130.377 -5.4477
4250.000000 130.332 -8.0328
4310.000000 130.254 -9.7045
4370.000000 130.231 -11.3272
4440.000000 130.223 -13.2624
4500.000000 130.142 -14.8544
4550.000000 130.025 -16.1482
4620.000000 129.867 -17.9237
4680.000000 129.665 -19.4304
4750.000000 129.350 -20.7392
4820.000000 129.011 -21.9951
4870.000000 128.734 -22.5420
4940.000000 128.334 -23.1456
5000.000000 127.983 -23.3790
5080.000000 127.565 -23.4100
5150.000000 127.235 -23.1163
5220.000000 126.944 -22.4228
5300.000000 126.637 -21.7014
5380.000000 126.330 -20.3631
5450.000000 126.067 -19.1658
5520.000000 125.796 -17.6817
5600.000000 125.454 -15.8500
5700.000000 125.162 -13.5315
5800.000000 124.926 -10.8976
