* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 1:50:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R nicehck C04 1080
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.897 35.6092
20.600000 133.883 34.8623
20.900000 133.873 34.0639
21.200001 133.870 33.1131
21.400000 133.871 32.4094
21.799999 133.880 30.9297
22.000000 133.889 30.2143
22.400000 133.923 28.9614
22.700001 133.968 28.2291
23.000000 134.030 27.6615
23.299999 134.103 27.1866
23.600000 134.174 26.7308
24.000000 134.243 26.0608
24.299999 134.259 25.4872
24.700001 134.223 24.6592
25.000000 134.161 24.0336
25.400000 134.058 23.2320
25.799999 133.965 22.4551
26.200001 133.909 21.6429
26.500000 133.895 20.9806
26.900000 133.905 20.0332
27.200001 133.923 19.3153
27.600000 133.946 18.4237
28.000000 133.963 17.6732
28.500000 133.976 16.9243
29.000000 133.985 16.2288
29.500000 133.986 15.4123
30.000000 133.967 14.4357
30.400000 133.936 13.6222
30.700001 133.907 13.0515
31.100000 133.872 12.3912
31.500000 133.851 11.8411
32.000000 133.850 11.2212
32.500000 133.868 10.5531
33.000000 133.879 9.7821
33.500000 133.866 8.9571
34.000000 133.826 8.1609
34.500000 133.769 7.4272
35.000000 133.708 6.7301
35.500000 133.651 6.0398
36.000000 133.600 5.3761
36.500000 133.561 4.7836
37.000000 133.537 4.2608
37.500000 133.527 3.7417
38.200001 133.507 2.9250
38.700001 133.479 2.3192
39.500000 133.439 1.4039
40.000000 133.427 0.7674
40.599998 133.400 -0.1243
41.200001 133.331 -0.9661
41.799999 133.251 -1.5873
42.500000 133.212 -2.2748
43.099998 133.219 -3.1426
43.700001 133.217 -4.0979
44.400002 133.189 -4.8764
45.000000 133.157 -5.2554
45.500000 133.119 -5.5782
46.200001 133.030 -6.1434
46.799999 132.945 -6.6367
47.500000 132.883 -7.2227
48.200001 132.849 -7.9038
48.700001 132.817 -8.3790
49.400002 132.758 -8.8847
50.000000 132.720 -9.1965
50.799999 132.710 -9.6128
51.500000 132.724 -10.0551
52.200001 132.724 -10.5779
53.000000 132.677 -11.2605
53.799999 132.592 -12.0142
54.500000 132.519 -12.7229
55.200001 132.458 -13.4380
56.000000 132.393 -14.2011
57.000000 132.301 -14.9510
58.000000 132.241 -15.5515
59.000000 132.193 -16.3256
60.000000 132.118 -16.7119
60.799999 132.102 -16.8548
61.500000 132.086 -17.1750
62.200001 132.048 -17.4441
63.000000 132.031 -17.6910
64.000000 132.000 -18.3841
65.000000 131.911 -18.8260
66.000000 131.851 -19.3533
67.000000 131.711 -20.1415
68.000000 131.603 -20.5414
69.000000 131.557 -21.4949
70.000000 131.456 -22.3357
71.000000 131.424 -22.8043
72.000000 131.391 -23.3896
73.000000 131.345 -23.3541
74.000000 131.347 -23.2893
75.000000 131.300 -23.4870
76.199997 131.258 -23.6683
77.500000 131.194 -24.2189
78.800003 131.029 -24.7562
80.000000 130.956 -25.3922
81.199997 130.927 -26.4762
82.500000 130.825 -27.1245
83.800003 130.722 -27.6713
85.000000 130.645 -28.1065
86.199997 130.618 -28.2465
87.500000 130.571 -28.3467
88.500000 130.509 -28.1832
90.000000 130.433 -28.0927
91.199997 130.355 -28.2796
92.500000 130.238 -28.5000
93.800003 130.140 -28.7797
95.000000 130.085 -29.1533
96.199997 130.045 -29.7740
97.500000 129.975 -30.5462
98.800003 129.906 -30.9165
100.000000 129.879 -31.1201
101.500000 129.847 -31.4118
103.000000 129.795 -31.9747
104.400002 129.706 -32.0845
106.000000 129.570 -32.3612
107.500000 129.448 -32.3071
109.000000 129.362 -31.9418
110.599998 129.207 -31.8611
112.000000 129.123 -31.9740
113.800003 129.016 -31.9851
115.000000 128.930 -32.0934
117.199997 128.827 -32.5201
118.000000 128.798 -32.6731
120.599998 128.639 -32.9200
122.000000 128.551 -33.2143
124.099998 128.447 -33.8973
125.000000 128.406 -34.0415
126.500000 128.383 -34.3238
128.000000 128.315 -34.1251
131.500000 128.120 -33.8355
132.000000 128.103 -33.7696
134.000000 128.059 -33.2566
136.000000 127.944 -33.1589
138.000000 127.796 -33.3450
140.000000 127.690 -33.7820
143.000000 127.599 -33.9547
145.000000 127.514 -33.8912
147.500000 127.473 -34.1204
150.000000 127.356 -33.4708
152.500000 127.276 -33.7458
155.000000 127.244 -33.5484
157.500000 127.145 -33.1275
160.000000 127.031 -33.0918
162.500000 126.983 -33.4274
165.000000 126.898 -33.4953
167.500000 126.807 -33.6278
170.000000 126.784 -33.1931
172.500000 126.687 -32.6250
175.000000 126.605 -32.4196
177.500000 126.532 -32.4270
180.000000 126.459 -32.3186
182.500000 126.342 -32.1301
185.000000 126.256 -32.0011
187.500000 126.167 -31.8190
190.000000 126.107 -31.4898
192.500000 126.065 -31.3701
195.000000 126.034 -31.2196
197.500000 125.967 -30.7688
200.000000 125.930 -30.6054
203.000000 125.862 -30.5828
206.000000 125.766 -30.5459
209.000000 125.706 -30.3833
212.000000 125.705 -29.9731
214.000000 125.707 -29.6841
218.000000 125.655 -29.1525
220.000000 125.601 -28.9952
224.000000 125.503 -29.2022
227.000000 125.422 -28.8087
230.000000 125.354 -28.5004
233.000000 125.276 -28.3936
236.000000 125.193 -27.7500
240.000000 125.107 -27.0261
243.000000 125.037 -26.4789
247.000000 124.950 -26.0703
250.000000 124.885 -25.9824
254.000000 124.905 -26.0020
258.000000 124.906 -26.0900
262.000000 124.886 -25.6723
265.000000 124.841 -25.3769
269.000000 124.794 -25.0170
272.000000 124.792 -24.6123
276.000000 124.700 -23.8501
280.000000 124.627 -23.5497
285.000000 124.554 -23.0186
290.000000 124.467 -22.8130
295.000000 124.392 -22.2752
300.000000 124.362 -21.8269
304.000000 124.335 -21.4558
307.000000 124.284 -21.0413
311.000000 124.259 -20.7327
315.000000 124.214 -20.6252
320.000000 124.188 -20.1180
325.000000 124.143 -19.8106
330.000000 124.109 -19.3529
335.000000 124.081 -18.7610
340.000000 124.018 -18.4046
345.000000 123.970 -18.3445
350.000000 123.912 -17.7086
355.000000 123.803 -17.3182
360.000000 123.736 -16.6722
365.000000 123.705 -16.1345
370.000000 123.625 -15.5567
375.000000 123.585 -15.1168
382.000000 123.592 -14.6919
387.000000 123.637 -14.4576
395.000000 123.680 -14.3150
400.000000 123.657 -13.9508
406.000000 123.643 -13.4069
412.000000 123.638 -12.8578
418.000000 123.572 -12.1827
425.000000 123.481 -11.5947
431.000000 123.402 -11.0853
437.000000 123.380 -10.6634
444.000000 123.361 -10.0646
450.000000 123.349 -9.5343
455.000000 123.346 -9.3062
462.000000 123.379 -9.0256
468.000000 123.412 -8.6431
475.000000 123.428 -8.1026
482.000000 123.430 -7.5480
487.000000 123.450 -7.1747
494.000000 123.424 -6.6422
500.000000 123.411 -6.1537
508.000000 123.401 -5.5847
515.000000 123.391 -5.1799
522.000000 123.325 -4.7402
530.000000 123.257 -4.0065
538.000000 123.210 -3.2742
545.000000 123.189 -2.5909
552.000000 123.167 -2.1586
560.000000 123.128 -1.9948
570.000000 123.122 -1.6611
580.000000 123.136 -1.1058
590.000000 123.102 -0.4200
600.000000 123.123 0.3801
608.000000 123.145 0.9680
615.000000 123.148 1.5309
622.000000 123.179 2.1312
630.000000 123.176 2.4810
640.000000 123.179 3.1511
650.000000 123.156 3.8858
660.000000 123.119 4.5573
670.000000 123.094 5.4006
680.000000 123.045 6.0745
690.000000 123.077 6.5636
700.000000 123.096 7.2068
710.000000 123.129 7.7770
720.000000 123.185 8.4496
730.000000 123.209 9.2370
740.000000 123.243 9.7481
750.000000 123.271 10.4769
762.000000 123.326 11.2015
775.000000 123.339 11.9738
788.000000 123.348 12.8882
800.000000 123.371 13.7963
812.000000 123.405 14.4659
825.000000 123.438 15.3185
838.000000 123.507 16.0810
850.000000 123.572 16.8524
862.000000 123.631 17.5760
875.000000 123.711 18.2898
885.000000 123.760 19.1218
900.000000 123.846 19.7486
912.000000 123.928 20.3363
925.000000 123.985 21.0952
938.000000 124.069 21.8489
950.000000 124.122 22.3186
962.000000 124.204 22.9002
975.000000 124.305 23.5426
988.000000 124.384 24.2133
1000.000000 124.502 24.6618
1015.000000 124.629 25.0274
1030.000000 124.755 25.5504
1044.000000 124.877 26.0068
1060.000000 124.972 26.4640
1075.000000 125.076 26.9483
1090.000000 125.191 27.3416
1106.000000 125.300 27.5945
1120.000000 125.383 27.7745
1138.000000 125.519 28.1326
1150.000000 125.573 28.2858
1172.000000 125.693 28.4104
1180.000000 125.740 28.6331
1206.000000 125.892 28.9365
1220.000000 125.969 28.8543
1241.000000 126.098 28.9537
1250.000000 126.169 28.9620
1265.000000 126.221 29.0923
1280.000000 126.308 29.1664
1315.000000 126.479 29.1350
1320.000000 126.503 29.0855
1340.000000 126.623 29.2122
1360.000000 126.755 29.1698
1380.000000 126.865 29.0563
1400.000000 126.984 29.0275
1430.000000 127.097 29.1308
1450.000000 127.213 29.2303
1475.000000 127.340 28.9662
1500.000000 127.494 28.9531
1525.000000 127.621 28.9655
1550.000000 127.707 28.8375
1575.000000 127.767 28.7941
1600.000000 127.792 28.8115
1625.000000 127.811 28.7642
1650.000000 127.852 28.7714
1675.000000 127.932 28.7445
1700.000000 128.086 28.5665
1725.000000 128.222 28.2703
1750.000000 128.369 28.2053
1775.000000 128.482 28.1902
1800.000000 128.604 27.8436
1825.000000 128.733 27.8041
1850.000000 128.840 27.4562
1875.000000 128.931 27.2538
1900.000000 129.006 27.0311
1925.000000 129.089 26.8697
1950.000000 129.142 26.5840
1975.000000 129.201 26.2719
2000.000000 129.295 26.0307
2030.000000 129.329 25.5107
2060.000000 129.396 25.1943
2090.000000 129.449 24.8225
2120.000000 129.531 24.1915
2140.000000 129.599 23.9120
2180.000000 129.728 23.3300
2200.000000 129.797 22.9686
2240.000000 129.917 22.1576
2270.000000 129.993 21.6365
2300.000000 130.061 21.1748
2330.000000 130.103 20.4987
2360.000000 130.128 19.9720
2400.000000 130.135 19.3028
2430.000000 130.156 18.7424
2470.000000 130.209 17.9550
2500.000000 130.278 17.3703
2540.000000 130.366 16.5876
2580.000000 130.462 15.7438
2620.000000 130.557 14.8546
2650.000000 130.621 14.1342
2690.000000 130.685 13.1701
2720.000000 130.702 12.3140
2760.000000 130.708 11.1950
2800.000000 130.662 10.0265
2850.000000 130.561 8.7059
2900.000000 130.476 7.4833
2950.000000 130.380 6.5564
3000.000000 130.312 5.9062
3040.000000 130.242 5.5752
3070.000000 130.206 5.3223
3110.000000 130.127 5.1419
3150.000000 130.076 4.9556
3200.000000 130.036 4.7690
3250.000000 129.988 4.6764
3300.000000 129.955 4.5536
3350.000000 129.949 4.4071
3400.000000 129.948 4.2672
3450.000000 129.967 4.0401
3500.000000 130.000 3.7104
3550.000000 130.028 3.4972
3600.000000 130.083 2.9740
3650.000000 130.161 2.5201
3700.000000 130.226 1.9002
3750.000000 130.299 1.2881
3820.000000 130.371 0.1620
3870.000000 130.382 -0.6219
3950.000000 130.386 -2.0288
4000.000000 130.403 -2.8128
4060.000000 130.331 -3.9889
4120.000000 130.293 -5.2202
4180.000000 130.275 -6.2796
4250.000000 130.352 -7.7865
4310.000000 130.318 -9.5937
4370.000000 130.274 -11.3583
4440.000000 130.151 -13.2380
4500.000000 130.035 -14.9459
4550.000000 129.887 -16.3301
4620.000000 129.592 -17.9648
4680.000000 129.346 -19.3499
4750.000000 129.042 -20.7506
4820.000000 128.738 -21.8633
4870.000000 128.504 -22.5760
4940.000000 128.127 -23.0265
5000.000000 127.775 -23.3434
5080.000000 127.424 -23.2659
5150.000000 127.129 -22.9194
5220.000000 126.813 -22.2791
5300.000000 126.439 -21.3692
5380.000000 126.133 -20.0627
5450.000000 125.858 -18.8115
5520.000000 125.618 -17.4630
5600.000000 125.352 -15.5918
5700.000000 125.026 -13.0939
5800.000000 124.802 -10.6537
