* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 15, 2025 4:25:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R sivga nightingale pro black 1316
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 110.485 -86.7364
20.600000 110.625 -87.3882
20.900000 110.783 -87.7793
21.200001 110.960 -88.1254
21.400000 111.079 -88.4232
21.799999 111.284 -89.2258
22.000000 111.355 -89.7077
22.400000 111.420 -90.6594
22.700001 111.423 -91.2002
23.000000 111.431 -91.5568
23.299999 111.485 -91.9296
23.600000 111.588 -92.5732
24.000000 111.757 -94.1074
24.299999 111.845 -95.6295
24.700001 111.850 -97.4762
25.000000 111.788 -98.0763
25.400000 111.736 -97.2979
25.799999 111.911 -95.3066
26.200001 112.357 -93.8873
26.500000 112.755 -94.0641
26.900000 113.180 -96.0026
27.200001 113.335 -98.1665
27.600000 113.317 -100.9886
28.000000 113.163 -102.7748
28.500000 113.058 -103.2956
29.000000 113.223 -103.3857
29.500000 113.503 -104.3520
30.000000 113.675 -105.7903
30.400000 113.720 -106.5516
30.700001 113.744 -106.7573
31.100000 113.817 -106.8257
31.500000 113.941 -107.0978
32.000000 114.097 -108.0521
32.500000 114.188 -109.3325
33.000000 114.229 -110.3328
33.500000 114.286 -110.9045
34.000000 114.383 -111.3260
34.500000 114.495 -111.8542
35.000000 114.591 -112.4989
35.500000 114.669 -113.1622
36.000000 114.746 -113.7946
36.500000 114.834 -114.4212
37.000000 114.931 -115.0914
37.500000 115.018 -115.7946
38.200001 115.100 -116.6277
38.700001 115.148 -117.0188
39.500000 115.262 -117.6811
40.000000 115.336 -118.3511
40.599998 115.397 -119.2603
41.200001 115.444 -119.9855
41.799999 115.505 -120.5513
42.500000 115.584 -121.2164
43.099998 115.643 -121.7589
43.700001 115.706 -122.2480
44.400002 115.787 -122.8503
45.000000 115.847 -123.3666
45.500000 115.892 -123.7589
46.200001 115.950 -124.3567
46.799999 115.985 -124.9500
47.500000 116.027 -125.5726
48.200001 116.103 -126.1785
48.700001 116.162 -126.6956
49.400002 116.209 -127.3502
50.000000 116.236 -127.6525
50.799999 116.313 -128.0618
51.500000 116.382 -128.7955
52.200001 116.418 -129.5509
53.000000 116.466 -130.0542
53.799999 116.542 -130.4582
54.500000 116.583 -130.9008
55.200001 116.592 -131.3109
56.000000 116.614 -131.7856
57.000000 116.676 -132.6851
58.000000 116.748 -133.4266
59.000000 116.876 -133.9909
60.000000 116.932 -134.8707
60.799999 116.911 -135.2523
61.500000 116.932 -135.4910
62.200001 116.982 -135.9894
63.000000 117.028 -136.5978
64.000000 117.084 -136.9612
65.000000 117.120 -137.1849
66.000000 117.149 -137.5636
67.000000 117.190 -138.3723
68.000000 117.202 -139.0098
69.000000 117.229 -139.2966
70.000000 117.252 -139.8206
71.000000 117.277 -140.3115
72.000000 117.341 -140.7099
73.000000 117.373 -141.1841
74.000000 117.376 -141.6180
75.000000 117.408 -142.0431
76.199997 117.454 -142.5565
77.500000 117.473 -142.9829
78.800003 117.512 -143.5535
80.000000 117.534 -143.9001
81.199997 117.569 -144.3017
82.500000 117.591 -144.7442
83.800003 117.632 -145.2713
85.000000 117.649 -145.5482
86.199997 117.681 -146.0211
87.500000 117.699 -146.3369
88.500000 117.737 -146.7379
90.000000 117.735 -147.0817
91.199997 117.767 -147.4590
92.500000 117.777 -147.8488
93.800003 117.815 -148.0970
95.000000 117.823 -148.4837
96.199997 117.860 -148.7095
97.500000 117.880 -149.1088
98.800003 117.887 -149.4277
100.000000 117.909 -149.8490
101.500000 117.929 -150.0286
103.000000 117.937 -150.4409
104.400002 117.965 -150.7446
106.000000 117.969 -151.0919
107.500000 117.997 -151.3704
109.000000 118.022 -151.6804
110.599998 118.056 -151.8156
112.000000 118.060 -152.3070
113.800003 118.078 -152.7357
115.000000 118.078 -152.8887
117.199997 118.122 -153.2907
118.000000 118.122 -153.3060
120.599998 118.144 -153.7249
122.000000 118.179 -153.8626
124.099998 118.175 -154.7658
125.000000 118.203 -154.7095
126.500000 118.143 -154.5317
128.000000 118.276 -155.6085
131.500000 117.993 -155.1863
132.000000 118.050 -155.3927
134.000000 118.382 -155.2425
136.000000 118.237 -155.6463
138.000000 118.220 -156.0287
140.000000 118.278 -156.8274
143.000000 118.297 -156.6266
145.000000 118.346 -157.3263
147.500000 118.324 -157.5900
150.000000 118.331 -157.5815
152.500000 118.421 -158.2081
155.000000 118.343 -158.3602
157.500000 118.379 -158.3741
160.000000 118.453 -159.0459
162.500000 118.381 -158.9855
165.000000 118.430 -159.1315
167.500000 118.413 -159.3423
170.000000 118.433 -159.6320
172.500000 118.435 -159.6420
175.000000 118.450 -159.9689
177.500000 118.470 -160.1654
180.000000 118.497 -160.4040
182.500000 118.483 -160.5865
185.000000 118.515 -160.8004
187.500000 118.484 -160.8584
190.000000 118.527 -161.4760
192.500000 118.532 -161.1701
195.000000 118.546 -161.6466
197.500000 118.540 -161.4184
200.000000 118.537 -161.7661
203.000000 118.510 -161.9144
206.000000 118.609 -162.1665
209.000000 118.522 -162.4325
212.000000 118.661 -162.4068
214.000000 118.633 -162.2683
218.000000 118.542 -162.9329
220.000000 118.578 -162.8643
224.000000 118.634 -162.6948
227.000000 118.712 -162.9066
230.000000 118.683 -163.7532
233.000000 118.640 -163.5277
236.000000 118.675 -164.0846
240.000000 118.689 -163.9883
243.000000 118.659 -164.1101
247.000000 118.668 -164.2304
250.000000 118.701 -163.6725
254.000000 118.692 -164.0028
258.000000 118.631 -164.2757
262.000000 118.678 -164.6626
265.000000 118.674 -164.4384
269.000000 118.680 -164.4948
272.000000 118.708 -164.7050
276.000000 118.711 -165.0365
280.000000 118.743 -164.8029
285.000000 118.768 -165.1913
290.000000 118.700 -164.8813
295.000000 118.576 -165.1197
300.000000 118.699 -166.4113
304.000000 118.710 -166.0687
307.000000 118.691 -165.4822
311.000000 118.737 -165.7391
315.000000 118.738 -165.9953
320.000000 118.800 -166.2050
325.000000 118.790 -165.9313
330.000000 118.760 -166.1251
335.000000 118.776 -166.1197
340.000000 118.791 -166.2644
345.000000 118.791 -166.2459
350.000000 118.802 -166.4389
355.000000 118.791 -166.6175
360.000000 118.789 -166.8893
365.000000 118.813 -166.8271
370.000000 118.828 -166.8837
375.000000 118.806 -166.9849
382.000000 118.827 -167.0687
387.000000 118.838 -167.2569
395.000000 118.820 -167.2538
400.000000 118.843 -167.2911
406.000000 118.833 -167.4595
412.000000 118.837 -167.6043
418.000000 118.834 -167.5950
425.000000 118.835 -167.7245
431.000000 118.806 -167.8264
437.000000 118.830 -167.9580
444.000000 118.808 -168.1308
450.000000 118.822 -168.0824
455.000000 118.796 -168.0150
462.000000 118.776 -168.0912
468.000000 118.783 -168.3186
475.000000 118.762 -168.2949
482.000000 118.758 -168.2776
487.000000 118.750 -168.3896
494.000000 118.728 -168.2845
500.000000 118.701 -168.3742
508.000000 118.695 -168.3609
515.000000 118.679 -168.4656
522.000000 118.657 -168.4555
530.000000 118.632 -168.5224
538.000000 118.622 -168.4121
545.000000 118.602 -168.4504
552.000000 118.592 -168.4300
560.000000 118.573 -168.3088
570.000000 118.552 -168.2331
580.000000 118.523 -168.0340
590.000000 118.467 -168.0115
600.000000 118.461 -167.8108
608.000000 118.413 -167.5769
615.000000 118.418 -167.4872
622.000000 118.383 -167.3406
630.000000 118.367 -167.1026
640.000000 118.338 -166.9381
650.000000 118.332 -166.8045
660.000000 118.295 -166.3865
670.000000 118.285 -166.2118
680.000000 118.241 -165.7279
690.000000 118.217 -165.4911
700.000000 118.226 -165.1230
710.000000 118.188 -164.7316
720.000000 118.195 -164.3635
730.000000 118.163 -163.8045
740.000000 118.165 -163.5339
750.000000 118.171 -163.0397
762.000000 118.166 -162.4906
775.000000 118.156 -161.8013
788.000000 118.157 -161.4395
800.000000 118.182 -160.5519
812.000000 118.195 -160.2437
825.000000 118.226 -159.5618
838.000000 118.260 -158.8335
850.000000 118.291 -158.1791
862.000000 118.345 -157.7304
875.000000 118.374 -157.1425
885.000000 118.443 -156.4455
900.000000 118.494 -155.8368
912.000000 118.564 -155.4543
925.000000 118.628 -154.7531
938.000000 118.701 -154.3523
950.000000 118.783 -153.8312
962.000000 118.857 -153.4208
975.000000 118.928 -153.2404
988.000000 118.990 -152.8071
1000.000000 119.123 -152.2610
1015.000000 119.133 -151.9390
1030.000000 119.245 -151.3990
1044.000000 119.311 -150.9647
1060.000000 119.450 -150.4108
1075.000000 119.532 -150.0353
1090.000000 119.651 -149.5992
1106.000000 119.764 -149.2796
1120.000000 119.913 -149.0189
1138.000000 120.042 -148.7053
1150.000000 120.146 -148.4901
1172.000000 120.312 -148.1703
1180.000000 120.373 -148.1355
1206.000000 120.600 -147.8871
1220.000000 120.707 -147.7800
1241.000000 120.875 -147.9173
1250.000000 120.948 -147.8210
1265.000000 121.080 -147.8687
1280.000000 121.192 -147.7732
1315.000000 121.443 -148.0113
1320.000000 121.492 -147.9349
1340.000000 121.631 -148.1020
1360.000000 121.795 -148.2507
1380.000000 121.936 -148.5298
1400.000000 122.087 -148.6349
1430.000000 122.310 -148.9335
1450.000000 122.452 -149.2935
1475.000000 122.643 -149.6466
1500.000000 122.823 -150.1044
1525.000000 123.008 -150.7110
1550.000000 123.185 -151.2801
1575.000000 123.363 -152.0197
1600.000000 123.552 -152.6431
1625.000000 123.704 -153.4604
1650.000000 123.880 -154.3702
1675.000000 124.050 -155.2001
1700.000000 124.190 -156.3456
1725.000000 124.337 -157.4486
1750.000000 124.453 -158.5544
1775.000000 124.590 -159.7822
1800.000000 124.678 -161.0587
1825.000000 124.778 -162.5604
1850.000000 124.842 -163.9101
1875.000000 124.873 -165.3452
1900.000000 124.892 -166.7253
1925.000000 124.870 -168.1207
1950.000000 124.838 -169.1822
1975.000000 124.806 -170.0836
2000.000000 124.802 -171.0461
2030.000000 124.739 -171.4518
2060.000000 124.761 -171.9507
2090.000000 124.833 -172.4582
2120.000000 124.959 -173.2636
2140.000000 125.043 -174.0468
2180.000000 125.187 -176.0857
2200.000000 125.236 -177.3440
2240.000000 125.257 -179.7350
2270.000000 125.228 178.4653
2300.000000 125.178 176.6358
2330.000000 125.095 174.9058
2360.000000 124.981 173.4604
2400.000000 124.814 171.3983
2430.000000 124.671 170.2412
2470.000000 124.478 168.7278
2500.000000 124.323 167.7809
2540.000000 124.116 166.7003
2580.000000 123.914 165.7866
2620.000000 123.737 164.9370
2650.000000 123.608 164.3684
2690.000000 123.433 163.5683
2720.000000 123.310 163.1151
2760.000000 123.127 162.4625
2800.000000 122.965 161.8463
2850.000000 122.747 161.0517
2900.000000 122.527 160.4273
2950.000000 122.298 159.8158
3000.000000 122.013 159.0224
3040.000000 121.835 158.6470
3070.000000 121.682 158.4712
3110.000000 121.400 158.1985
3150.000000 121.129 158.5570
3200.000000 120.826 159.2740
3250.000000 120.568 160.3611
3300.000000 120.424 161.8995
3350.000000 120.335 162.7502
3400.000000 120.220 163.6180
3450.000000 120.161 164.3721
3500.000000 120.077 165.2112
3550.000000 120.026 166.1186
3600.000000 119.974 167.1165
3650.000000 119.976 167.8733
3700.000000 119.964 168.7004
3750.000000 119.965 169.4606
3820.000000 120.033 170.0668
3870.000000 120.067 170.6538
3950.000000 120.194 171.2492
4000.000000 120.244 171.5050
4060.000000 120.318 171.6018
4120.000000 120.393 171.3920
4180.000000 120.431 171.1567
4250.000000 120.489 170.6629
4310.000000 120.465 170.2381
4370.000000 120.393 170.2300
4440.000000 120.325 171.0248
4500.000000 120.331 171.7367
4550.000000 120.402 172.4116
4620.000000 120.628 172.9827
4680.000000 120.790 173.0698
4750.000000 121.001 172.3818
4820.000000 121.129 171.5529
4870.000000 121.228 170.9435
4940.000000 121.318 170.3030
5000.000000 121.484 169.7210
5080.000000 121.637 167.9229
5150.000000 121.769 166.1349
5220.000000 121.824 163.9645
