* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 15, 2025 4:28:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R sivga nightingale pro sw 1320
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 110.861 -87.3470
20.600000 110.982 -88.2773
20.900000 111.082 -89.1090
21.200001 111.174 -89.8740
21.400000 111.239 -90.3434
21.799999 111.387 -91.2225
22.000000 111.472 -91.6581
22.400000 111.659 -92.5784
22.700001 111.802 -93.3169
23.000000 111.934 -94.0538
23.299999 112.050 -94.7145
23.600000 112.151 -95.2445
24.000000 112.278 -95.7237
24.299999 112.377 -95.9779
24.700001 112.522 -96.3501
25.000000 112.636 -96.7839
25.400000 112.775 -97.6591
25.799999 112.884 -98.8192
26.200001 112.960 -100.0811
26.500000 113.004 -100.9632
26.900000 113.065 -101.9339
27.200001 113.127 -102.4763
27.600000 113.242 -102.9864
28.000000 113.393 -103.3705
28.500000 113.607 -103.8941
29.000000 113.801 -104.6373
29.500000 113.940 -105.5856
30.000000 114.021 -106.5626
30.400000 114.067 -107.2447
30.700001 114.105 -107.6782
31.100000 114.174 -108.1917
31.500000 114.266 -108.7051
32.000000 114.393 -109.4448
32.500000 114.501 -110.3033
33.000000 114.568 -111.1711
33.500000 114.602 -111.9068
34.000000 114.640 -112.4539
34.500000 114.715 -112.9383
35.000000 114.827 -113.5585
35.500000 114.938 -114.3586
36.000000 115.019 -115.1292
36.500000 115.086 -115.6629
37.000000 115.177 -116.0663
37.500000 115.293 -116.6857
38.200001 115.393 -118.0837
38.700001 115.381 -118.9790
39.500000 115.365 -119.4221
40.000000 115.450 -119.5464
40.599998 115.604 -120.1910
41.200001 115.712 -121.1775
41.799999 115.761 -121.9107
42.500000 115.812 -122.3081
43.099998 115.874 -122.7064
43.700001 115.926 -123.4202
44.400002 115.961 -124.4921
45.000000 115.988 -125.3209
45.500000 116.026 -125.8219
46.200001 116.104 -126.2950
46.799999 116.170 -126.6342
47.500000 116.228 -127.0258
48.200001 116.287 -127.4590
48.700001 116.340 -127.8558
49.400002 116.419 -128.5108
50.000000 116.479 -129.0553
50.799999 116.549 -129.7596
51.500000 116.591 -130.4002
52.200001 116.624 -130.9331
53.000000 116.681 -131.4337
53.799999 116.723 -131.9996
54.500000 116.725 -132.3724
55.200001 116.748 -132.6081
56.000000 116.821 -133.1565
57.000000 116.877 -134.1151
58.000000 116.927 -134.6622
59.000000 117.002 -135.3788
60.000000 117.036 -135.9721
60.799999 117.094 -136.2280
61.500000 117.151 -136.6769
62.200001 117.162 -137.2614
63.000000 117.145 -137.7126
64.000000 117.178 -138.0693
65.000000 117.243 -138.6190
66.000000 117.292 -139.2056
67.000000 117.323 -139.8240
68.000000 117.338 -140.2171
69.000000 117.378 -140.5750
70.000000 117.396 -141.0984
71.000000 117.422 -141.5827
72.000000 117.446 -142.1516
73.000000 117.461 -142.5120
74.000000 117.497 -142.9234
75.000000 117.529 -143.3937
76.199997 117.571 -143.8023
77.500000 117.599 -144.2744
78.800003 117.609 -144.8924
80.000000 117.665 -145.2956
81.199997 117.693 -145.7557
82.500000 117.706 -146.1564
83.800003 117.715 -146.6570
85.000000 117.744 -146.9662
86.199997 117.760 -147.3387
87.500000 117.814 -147.7267
88.500000 117.823 -148.1004
90.000000 117.831 -148.5417
91.199997 117.855 -148.8961
92.500000 117.885 -149.2914
93.800003 117.887 -149.5912
95.000000 117.896 -149.9683
96.199997 117.915 -150.1383
97.500000 117.946 -150.5161
98.800003 117.949 -150.7706
100.000000 117.984 -151.2155
101.500000 117.990 -151.5554
103.000000 118.009 -151.9089
104.400002 118.010 -152.2702
106.000000 118.028 -152.6449
107.500000 118.061 -152.9388
109.000000 118.067 -153.3306
110.599998 118.053 -153.8042
112.000000 118.075 -153.9893
113.800003 118.082 -154.2785
115.000000 118.076 -154.3740
117.199997 118.100 -154.8436
118.000000 118.080 -154.9913
120.599998 118.142 -155.7015
122.000000 118.105 -155.6343
124.099998 118.039 -155.8902
125.000000 118.043 -156.1930
126.500000 118.074 -155.9784
128.000000 117.958 -155.9481
131.500000 117.875 -156.7746
132.000000 117.869 -156.6413
134.000000 118.200 -157.0344
136.000000 118.207 -156.0938
138.000000 118.219 -156.6053
140.000000 118.200 -156.6267
143.000000 118.289 -157.0722
145.000000 118.272 -157.5175
147.500000 118.318 -158.1401
150.000000 118.342 -158.2345
152.500000 118.348 -158.3259
155.000000 118.382 -158.6650
157.500000 118.392 -159.1218
160.000000 118.419 -159.3785
162.500000 118.436 -159.6776
165.000000 118.423 -159.8391
167.500000 118.467 -160.0731
170.000000 118.465 -160.3594
172.500000 118.493 -160.7850
175.000000 118.501 -160.9494
177.500000 118.507 -161.1901
180.000000 118.506 -161.5164
182.500000 118.539 -161.3792
185.000000 118.531 -161.4612
187.500000 118.525 -161.4094
190.000000 118.515 -161.5614
192.500000 118.512 -161.8761
195.000000 118.513 -161.9068
197.500000 118.539 -162.1525
200.000000 118.516 -162.1628
203.000000 118.557 -162.4253
206.000000 118.572 -162.5747
209.000000 118.578 -162.8045
212.000000 118.580 -162.9751
214.000000 118.593 -163.1465
218.000000 118.611 -163.0540
220.000000 118.622 -163.1698
224.000000 118.659 -163.7993
227.000000 118.672 -163.5866
230.000000 118.621 -163.9436
233.000000 118.702 -163.9550
236.000000 118.665 -164.0096
240.000000 118.698 -164.3673
243.000000 118.682 -164.4240
247.000000 118.695 -164.4854
250.000000 118.722 -164.5873
254.000000 118.713 -164.9199
258.000000 118.698 -165.0088
262.000000 118.731 -165.2515
265.000000 118.712 -165.1930
269.000000 118.725 -165.4476
272.000000 118.740 -165.3407
276.000000 118.756 -165.6961
280.000000 118.761 -165.6783
285.000000 118.753 -165.8539
290.000000 118.770 -166.1885
295.000000 118.774 -166.1851
300.000000 118.784 -166.3803
304.000000 118.799 -166.4279
307.000000 118.787 -166.5308
311.000000 118.802 -166.7976
315.000000 118.791 -166.7209
320.000000 118.797 -166.7810
325.000000 118.809 -166.8378
330.000000 118.811 -166.9114
335.000000 118.801 -167.4640
340.000000 118.927 -167.5790
345.000000 118.356 -168.1999
350.000000 118.950 -165.2476
355.000000 118.812 -167.1447
360.000000 118.837 -167.2976
365.000000 118.788 -167.8610
370.000000 118.802 -167.8857
375.000000 118.822 -168.1824
382.000000 118.820 -168.3260
387.000000 118.812 -168.3684
395.000000 118.805 -168.5079
400.000000 118.813 -168.6910
406.000000 118.793 -168.7292
412.000000 118.781 -168.7640
418.000000 118.803 -168.8921
425.000000 118.777 -168.9878
431.000000 118.775 -169.0200
437.000000 118.765 -169.3313
444.000000 118.756 -169.3393
450.000000 118.739 -169.2194
455.000000 118.724 -169.3239
462.000000 118.716 -169.4849
468.000000 118.694 -169.5869
475.000000 118.666 -169.4995
482.000000 118.679 -169.5485
487.000000 118.667 -169.6895
494.000000 118.639 -169.6173
500.000000 118.639 -169.7134
508.000000 118.578 -169.7149
515.000000 118.569 -169.6156
522.000000 118.564 -169.6642
530.000000 118.532 -169.5963
538.000000 118.508 -169.5432
545.000000 118.484 -169.4905
552.000000 118.458 -169.4873
560.000000 118.459 -169.4093
570.000000 118.407 -169.4006
580.000000 118.383 -169.1140
590.000000 118.349 -169.0685
600.000000 118.303 -168.8727
608.000000 118.287 -168.6522
615.000000 118.262 -168.5344
622.000000 118.255 -168.3424
630.000000 118.224 -168.1089
640.000000 118.198 -168.0544
650.000000 118.150 -167.6559
660.000000 118.115 -167.2613
670.000000 118.088 -166.8849
680.000000 118.061 -166.5179
690.000000 118.058 -166.2018
700.000000 118.050 -165.8289
710.000000 118.038 -165.4191
720.000000 118.010 -165.0802
730.000000 118.029 -164.5431
740.000000 118.018 -164.2168
750.000000 118.002 -163.6713
762.000000 117.995 -163.2184
775.000000 118.002 -162.6425
788.000000 118.014 -161.8112
800.000000 118.035 -161.4125
812.000000 118.039 -160.7702
825.000000 118.058 -160.0159
838.000000 118.095 -159.2897
850.000000 118.140 -158.9119
862.000000 118.193 -158.1315
875.000000 118.228 -157.6640
885.000000 118.275 -157.2005
900.000000 118.370 -156.5352
912.000000 118.396 -156.1340
925.000000 118.475 -155.5776
938.000000 118.520 -155.1710
950.000000 118.590 -154.6566
962.000000 118.649 -154.1502
975.000000 118.699 -153.7798
988.000000 118.778 -153.2823
1000.000000 118.875 -152.5634
1015.000000 118.951 -152.1461
1030.000000 119.021 -151.5933
1044.000000 119.112 -150.9268
1060.000000 119.239 -150.5031
1075.000000 119.374 -150.1775
1090.000000 119.496 -149.5277
1106.000000 119.618 -149.2621
1120.000000 119.749 -148.9948
1138.000000 119.874 -148.7881
1150.000000 119.982 -148.3802
1172.000000 120.176 -148.2498
1180.000000 120.241 -148.1234
1206.000000 120.452 -148.0381
1220.000000 120.571 -147.9723
1241.000000 120.746 -147.7069
1250.000000 120.833 -147.7636
1265.000000 120.942 -147.6978
1280.000000 121.065 -147.7703
1315.000000 121.354 -147.9131
1320.000000 121.407 -147.8477
1340.000000 121.554 -148.0189
1360.000000 121.724 -148.2635
1380.000000 121.882 -148.3149
1400.000000 122.052 -148.6602
1430.000000 122.289 -149.1849
1450.000000 122.438 -149.2784
1475.000000 122.634 -149.8445
1500.000000 122.815 -150.4967
1525.000000 123.039 -151.0128
1550.000000 123.210 -151.7195
1575.000000 123.388 -152.5216
1600.000000 123.572 -153.3658
1625.000000 123.741 -154.3193
1650.000000 123.909 -155.4585
1675.000000 124.067 -156.4688
1700.000000 124.212 -157.7250
1725.000000 124.348 -158.9791
1750.000000 124.462 -160.4299
1775.000000 124.557 -161.8676
1800.000000 124.620 -163.3190
1825.000000 124.660 -164.8366
1850.000000 124.665 -166.2341
1875.000000 124.676 -167.4715
1900.000000 124.647 -168.5727
1925.000000 124.609 -169.5561
1950.000000 124.591 -170.1798
1975.000000 124.591 -170.7487
2000.000000 124.642 -171.4452
2030.000000 124.716 -172.1508
2060.000000 124.827 -173.1936
2090.000000 124.927 -174.7658
2120.000000 124.995 -176.5173
2140.000000 125.016 -177.8427
2180.000000 125.009 179.7411
2200.000000 124.960 178.5159
2240.000000 124.855 176.2042
2270.000000 124.742 174.6483
2300.000000 124.624 173.1275
2330.000000 124.463 171.7877
2360.000000 124.319 170.6804
2400.000000 124.095 169.3827
2430.000000 123.948 168.4999
2470.000000 123.742 167.5612
2500.000000 123.583 167.0117
2540.000000 123.416 166.2088
2580.000000 123.241 165.4243
2620.000000 123.090 164.7314
2650.000000 122.974 164.2139
2690.000000 122.780 163.5759
2720.000000 122.653 163.2350
2760.000000 122.468 162.6816
2800.000000 122.300 162.2202
2850.000000 122.066 161.6421
2900.000000 121.840 161.0460
2950.000000 121.611 160.8035
3000.000000 121.319 160.3884
3040.000000 121.115 160.3719
3070.000000 120.921 160.4220
3110.000000 120.689 160.8586
3150.000000 120.465 161.4396
3200.000000 120.232 162.6883
3250.000000 120.084 163.8215
3300.000000 119.966 164.8318
3350.000000 119.869 166.1005
3400.000000 119.802 167.2697
3450.000000 119.737 168.0636
3500.000000 119.705 169.2425
3550.000000 119.718 170.0695
3600.000000 119.743 170.9244
3650.000000 119.801 171.6505
3700.000000 119.818 172.1484
3750.000000 119.874 172.7729
3820.000000 119.930 173.4810
3870.000000 120.015 173.7397
3950.000000 120.151 174.0434
4000.000000 120.214 174.3323
4060.000000 120.265 173.8984
4120.000000 120.299 173.9495
4180.000000 120.350 173.7188
4250.000000 120.340 173.6806
4310.000000 120.358 174.3605
4370.000000 120.410 174.7112
4440.000000 120.619 174.9827
4500.000000 120.751 174.8364
4550.000000 120.878 174.3619
4620.000000 120.971 173.4962
4680.000000 121.081 173.0465
4750.000000 121.165 172.4861
4820.000000 121.277 171.7100
4870.000000 121.384 171.1135
4940.000000 121.497 169.8033
5000.000000 121.540 168.6762
5080.000000 121.641 166.2885
5150.000000 121.581 164.2185
5220.000000 121.498 162.4759
