* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Night Oblivion Butastur s.DD Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 22, 2023 8:04:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Night Oblivion Butastur s.DD Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Right Oblivion Butastur s.DD Fo
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.223	-82.5799
1.015000	60.055	-84.1643
1.030000	59.885	-85.7870
1.044000	59.726	-87.3382
1.060000	59.541	-89.1572
1.075000	59.366	-90.9101
1.090000	59.190	-92.7116
1.106000	58.999	-94.6873
1.120000	58.825	-96.4492
1.138000	58.589	-98.7560
1.150000	58.426	-100.3196
1.172000	58.115	-103.2396
1.180000	57.999	-104.3184
1.206000	57.614	-107.8872
1.220000	57.402	-109.8482
1.241000	57.081	-112.8412
1.250000	56.943	-114.1427
1.265000	56.713	-116.3368
1.280000	56.484	-118.5621
1.315000	55.958	-123.8746
1.320000	55.884	-124.6472
1.340000	55.596	-127.7716
1.360000	55.318	-130.9500
1.380000	55.052	-134.1823
1.400000	54.803	-137.4681
1.430000	54.462	-142.4965
1.450000	54.261	-145.9146
1.475000	54.042	-150.2780
1.500000	53.850	-154.8780
1.525000	53.679	-159.7107
1.550000	53.530	-164.7335
1.575000	53.400	-169.9037
1.600000	53.288	-175.1788
1.625000	53.192	179.4840
1.650000	53.111	174.1272
1.675000	53.043	168.7935
1.700000	52.986	163.5254
1.725000	52.939	158.3657
1.750000	52.901	153.3570
1.775000	52.869	148.5418
1.800000	52.843	143.9629
1.825000	52.821	139.6627
1.850000	52.810	135.6280
1.875000	52.828	131.7430
1.900000	52.871	127.9976
1.925000	52.935	124.3866
1.950000	53.013	120.9050
1.975000	53.102	117.5476
2.000000	53.195	114.3094
2.030000	53.307	110.5739
2.060000	53.410	106.9939
2.090000	53.496	103.5607
2.120000	53.555	100.2656
2.140000	53.576	98.1412
2.180000	53.561	94.0544
2.200000	53.520	92.0860
2.240000	53.419	88.1116
2.270000	53.335	85.1037
2.300000	53.239	82.1394
2.330000	53.125	79.2787
2.360000	52.987	76.5818
2.400000	52.757	73.3444
2.430000	52.541	71.2632
2.470000	52.187	69.0649
2.500000	51.863	67.9266
2.540000	51.343	67.2036
2.580000	50.688	67.5062
2.620000	49.736	68.7798
2.650000	48.853	70.3022
2.690000	47.535	73.0061
2.720000	46.496	75.4835
2.760000	45.125	79.3038
2.800000	43.865	83.6211
2.850000	42.600	89.5603
2.900000	41.866	95.9157
2.950000	41.855	102.6834
3.000000	42.569	111.2268
3.040000	43.545	119.1248
3.070000	44.452	125.3967
3.110000	45.821	133.8921
3.150000	47.286	142.1597
3.200000	49.111	151.5433
3.250000	50.761	159.1158
3.300000	52.055	164.0710
3.350000	53.094	166.2579
3.400000	54.040	166.3183
3.450000	54.903	164.7955
3.500000	55.690	162.2328
3.550000	56.411	159.1736
3.600000	57.074	156.1613
3.650000	57.689	153.7390
3.700000	58.249	152.0006
3.750000	58.732	150.1633
3.820000	59.297	147.4446
3.870000	59.638	145.4617
3.950000	60.106	142.3472
4.000000	60.370	140.5097
4.060000	60.668	138.4597
4.120000	60.912	136.4577
4.180000	61.108	134.5134
4.250000	61.288	132.3651
4.310000	61.412	130.6666
4.370000	61.519	129.1374
4.440000	61.625	127.5865
4.500000	61.677	126.4104
4.550000	61.700	125.5404
4.620000	61.714	124.5010
4.680000	61.721	123.7851
4.750000	61.740	123.1664
4.820000	61.767	122.8286
4.870000	61.778	122.7754
4.940000	61.792	122.8995
5.000000	61.812	123.1323
5.080000	61.869	123.5263
5.150000	61.960	123.8764
5.220000	62.085	124.3781
5.300000	62.260	125.0926
5.380000	62.464	125.8025
5.450000	62.659	126.2929
5.520000	62.867	126.5636
5.600000	63.138	126.7087
5.700000	63.510	126.6836
5.800000	63.884	126.4042
5.900000	64.229	125.8349
6.000000	64.565	124.9211
6.080000	64.824	124.0112
6.150000	65.038	123.1431
6.220000	65.233	122.2559
6.300000	65.433	121.1902
6.400000	65.655	119.7228
6.500000	65.849	118.2178
6.600000	66.019	116.7959
6.700000	66.160	115.4412
6.800000	66.275	114.1260
6.900000	66.377	112.9041
7.000000	66.476	111.8255
7.100000	66.561	110.8840
7.200000	66.641	110.0497
7.300000	66.727	109.2957
7.400000	66.826	108.6256
7.500000	66.932	108.0638
7.620000	67.070	107.4394
7.750000	67.240	106.7176
7.880000	67.432	105.9984
8.000000	67.619	105.2879
8.120000	67.807	104.4697
8.250000	68.019	103.4790
8.380000	68.227	102.4115
8.500000	68.406	101.3662
8.620000	68.578	100.2472
8.750000	68.752	99.0179
8.850000	68.875	98.0947
9.000000	69.042	96.7075
9.120000	69.166	95.6383
9.250000	69.294	94.5578
9.380000	69.413	93.5397
9.500000	69.521	92.6522
9.620000	69.631	91.8215
9.750000	69.749	90.9830
9.880000	69.870	90.1716
10.000000	69.985	89.4385
10.150000	70.132	88.5490
10.300000	70.278	87.6483
10.440000	70.414	86.7943
10.600000	70.566	85.8110
10.750000	70.702	84.8773
10.900000	70.833	83.9388
11.060000	70.962	82.9601
11.200000	71.068	82.1188
11.380000	71.197	81.0747
11.500000	71.279	80.4088
11.720000	71.423	79.2342
11.800000	71.474	78.8207
12.060000	71.637	77.5180
12.200000	71.722	76.8225
12.410000	71.846	75.7871
12.500000	71.896	75.3408
12.650000	71.978	74.5932
12.800000	72.054	73.8479
13.150000	72.214	72.1302
13.200000	72.235	71.8909
13.400000	72.313	70.9510
13.600000	72.386	70.0375
13.800000	72.457	69.1537
14.000000	72.526	68.2791
14.300000	72.627	66.9718
14.500000	72.692	66.0828
14.750000	72.766	64.9537
15.000000	72.833	63.8086
15.250000	72.891	62.6713
15.500000	72.943	61.5602
15.750000	72.991	60.4825
16.000000	73.038	59.4391
16.250000	73.085	58.4102
16.500000	73.134	57.3858
16.750000	73.184	56.3513
17.000000	73.230	55.3106
17.250000	73.273	54.2721
17.500000	73.311	53.2487
17.750000	73.346	52.2547
18.000000	73.379	51.2910
18.250000	73.412	50.3579
18.500000	73.445	49.4446
18.750000	73.477	48.5461
19.000000	73.509	47.6583
19.250000	73.537	46.7833
19.500000	73.563	45.9258
19.750000	73.586	45.0893
20.000000	73.606	44.2761
20.299999	73.629	43.3256
20.600000	73.649	42.3957
20.900000	73.667	41.4790
21.200001	73.682	40.5725
21.400000	73.690	39.9756
21.799999	73.701	38.8012
22.000000	73.706	38.2232
22.400000	73.711	37.0801
22.700001	73.713	36.2274
23.000000	73.713	35.3759
23.299999	73.709	34.5298
23.600000	73.704	33.6947
24.000000	73.696	32.6031
24.299999	73.689	31.7990
24.700001	73.681	30.7385
25.000000	73.675	29.9492
25.400000	73.667	28.9087
25.799999	73.659	27.8909
26.200001	73.652	26.8985
26.500000	73.647	26.1659
26.900000	73.642	25.1987
27.200001	73.636	24.4816
27.600000	73.625	23.5449
28.000000	73.614	22.6414
28.500000	73.597	21.5592
29.000000	73.579	20.5121
29.500000	73.559	19.4893
30.000000	73.536	18.4940
30.400000	73.517	17.7168
30.700001	73.501	17.1411
31.100000	73.480	16.3794
31.500000	73.456	15.6266
32.000000	73.424	14.7059
32.500000	73.393	13.8071
33.000000	73.365	12.9161
33.500000	73.335	12.0282
34.000000	73.304	11.1562
34.500000	73.273	10.3109
35.000000	73.244	9.4861
35.500000	73.215	8.6719
36.000000	73.185	7.8718
36.500000	73.153	7.0991
37.000000	73.119	6.3634
37.500000	73.085	5.6622
38.200001	73.041	4.7163
38.700001	73.011	4.0475
39.500000	72.958	2.9835
40.000000	72.922	2.3378
40.599998	72.880	1.5894
41.200001	72.837	0.8591
41.799999	72.796	0.1394
42.500000	72.750	-0.6904
43.099998	72.709	-1.3954
43.700001	72.666	-2.0847
44.400002	72.616	-2.8537
45.000000	72.574	-3.4901
45.500000	72.538	-4.0100
46.200001	72.488	-4.7124
46.799999	72.446	-5.2916
47.500000	72.398	-5.9661
48.200001	72.347	-6.6339
48.700001	72.309	-7.0878
49.400002	72.260	-7.6935
50.000000	72.219	-8.2120
50.799999	72.163	-8.9061
51.500000	72.111	-9.4772
52.200001	72.062	-10.0168
53.000000	72.009	-10.6438
53.799999	71.950	-11.2535
54.500000	71.901	-11.7400
55.200001	71.854	-12.2256
56.000000	71.798	-12.7793
57.000000	71.731	-13.3966
58.000000	71.670	-14.0668
59.000000	71.592	-14.7015
60.000000	71.527	-15.2401
60.799999	71.479	-15.7549
61.500000	71.425	-16.1893
62.200001	71.373	-16.5414
63.000000	71.327	-16.9456
64.000000	71.269	-17.5341
65.000000	71.201	-18.0718
66.000000	71.141	-18.5692
67.000000	71.077	-19.0594
68.000000	71.010	-19.4902
69.000000	70.949	-19.8817
70.000000	70.889	-20.2875
71.000000	70.826	-20.6949
72.000000	70.763	-21.0998
73.000000	70.698	-21.4930
74.000000	70.638	-21.8555
75.000000	70.582	-22.2189
76.199997	70.514	-22.6742
77.500000	70.436	-23.1028
78.800003	70.364	-23.4938
80.000000	70.298	-23.8657
81.199997	70.231	-24.2286
82.500000	70.157	-24.5911
83.800003	70.089	-24.9470
85.000000	70.024	-25.2773
86.199997	69.959	-25.5676
87.500000	69.895	-25.8751
88.500000	69.845	-26.1227
90.000000	69.771	-26.4651
91.199997	69.713	-26.7332
92.500000	69.651	-27.0013
93.800003	69.590	-27.2570
95.000000	69.534	-27.4880
96.199997	69.477	-27.7092
97.500000	69.416	-27.9495
98.800003	69.354	-28.1730
