* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Night Oblivion Butastur s.UD Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 22, 2023 8:04:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Night Oblivion Butastur s.UD Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Right Oblivion Butastur s.UD Fo
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.376	-83.9069
1.015000	60.209	-85.5165
1.030000	60.040	-87.1641
1.044000	59.881	-88.7386
1.060000	59.697	-90.5840
1.075000	59.523	-92.3615
1.090000	59.348	-94.1873
1.106000	59.159	-96.1888
1.120000	58.986	-97.9740
1.138000	58.753	-100.3117
1.150000	58.591	-101.8965
1.172000	58.284	-104.8562
1.180000	58.169	-105.9497
1.206000	57.788	-109.5666
1.220000	57.579	-111.5538
1.241000	57.262	-114.5858
1.250000	57.126	-115.9039
1.265000	56.899	-118.1256
1.280000	56.673	-120.3779
1.315000	56.154	-125.7514
1.320000	56.081	-126.5324
1.340000	55.797	-129.6893
1.360000	55.522	-132.8985
1.380000	55.260	-136.1595
1.400000	55.013	-139.4715
1.430000	54.676	-144.5340
1.450000	54.477	-147.9711
1.475000	54.260	-152.3528
1.500000	54.068	-156.9618
1.525000	53.899	-161.7948
1.550000	53.751	-166.8108
1.575000	53.622	-171.9688
1.600000	53.510	-177.2280
1.625000	53.414	177.4526
1.650000	53.332	172.1140
1.675000	53.262	166.7972
1.700000	53.204	161.5430
1.725000	53.155	156.3925
1.750000	53.114	151.3867
1.775000	53.079	146.5663
1.800000	53.048	141.9725
1.825000	53.020	137.6461
1.850000	53.003	133.5757
1.875000	53.015	129.6533
1.900000	53.051	125.8680
1.925000	53.106	122.2138
1.950000	53.177	118.6848
1.975000	53.256	115.2748
2.000000	53.340	111.9780
2.030000	53.439	108.1627
2.060000	53.529	104.4912
2.090000	53.599	100.9533
2.120000	53.643	97.5385
2.140000	53.652	95.3253
2.180000	53.612	91.0371
2.200000	53.558	88.9547
2.240000	53.452	84.6727
2.270000	53.384	81.3646
2.300000	53.313	78.0591
2.330000	53.226	74.8325
2.360000	53.112	71.7613
2.400000	52.897	68.0406
2.430000	52.673	65.6299
2.470000	52.266	63.0676
2.500000	51.865	61.7340
2.540000	51.179	60.8857
2.580000	50.264	61.2443
2.620000	48.887	62.7038
2.650000	47.595	64.4364
2.690000	45.653	67.5084
2.720000	44.114	70.3233
2.760000	42.078	74.6692
2.800000	40.200	79.5910
2.850000	38.310	86.3846
2.900000	37.208	93.6894
2.950000	37.186	101.5190
3.000000	38.269	111.4730
3.040000	39.748	120.7020
3.070000	41.118	128.0377
3.110000	43.174	137.9741
3.150000	45.356	147.6350
3.200000	48.038	158.5706
3.250000	50.400	167.3379
3.300000	52.155	172.9739
3.350000	53.428	175.2621
3.400000	54.472	174.9641
3.450000	55.331	172.7592
3.500000	56.048	169.3264
3.550000	56.668	165.3447
3.600000	57.236	161.4932
3.650000	57.795	158.4512
3.700000	58.348	156.3522
3.750000	58.822	154.2440
3.820000	59.371	151.2546
3.870000	59.698	149.1357
3.950000	60.144	145.8618
4.000000	60.393	143.9382
4.060000	60.674	141.7822
4.120000	60.901	139.7014
4.180000	61.078	137.7089
4.250000	61.236	135.5394
4.310000	61.342	133.8499
4.370000	61.433	132.3517
4.440000	61.520	130.8658
4.500000	61.555	129.7769
4.550000	61.565	128.9992
4.620000	61.562	128.1129
4.680000	61.558	127.5454
4.750000	61.569	127.1129
4.820000	61.596	126.9867
4.870000	61.609	127.1108
4.940000	61.632	127.5015
5.000000	61.663	127.9627
5.080000	61.739	128.6337
5.150000	61.853	129.1765
5.220000	62.009	129.8430
5.300000	62.228	130.7189
5.380000	62.478	131.5550
5.450000	62.712	132.1216
5.520000	62.953	132.4309
5.600000	63.261	132.5613
5.700000	63.675	132.4567
5.800000	64.086	132.0723
5.900000	64.459	131.4113
6.000000	64.814	130.3927
6.080000	65.084	129.3951
6.150000	65.305	128.4573
6.220000	65.506	127.5154
6.300000	65.710	126.4059
6.400000	65.933	124.9008
6.500000	66.127	123.3791
6.600000	66.297	121.9633
6.700000	66.438	120.6422
6.800000	66.553	119.3842
6.900000	66.655	118.2343
7.000000	66.758	117.2359
7.100000	66.850	116.3928
7.200000	66.938	115.6656
7.300000	67.035	115.0131
7.400000	67.148	114.4326
7.500000	67.270	113.9572
7.620000	67.430	113.4225
7.750000	67.623	112.7672
7.880000	67.840	112.0835
8.000000	68.049	111.3871
8.120000	68.257	110.5704
8.250000	68.486	109.5612
8.380000	68.709	108.4679
8.500000	68.900	107.4026
8.620000	69.081	106.2620
8.750000	69.264	105.0131
8.850000	69.394	104.0812
9.000000	69.569	102.6895
9.120000	69.700	101.6212
9.250000	69.835	100.5458
9.380000	69.961	99.5379
9.500000	70.076	98.6591
9.620000	70.194	97.8342
9.750000	70.321	97.0004
9.880000	70.450	96.1894
10.000000	70.573	95.4509
10.150000	70.729	94.5488
10.300000	70.883	93.6313
10.440000	71.028	92.7571
10.600000	71.189	91.7486
10.750000	71.331	90.7920
10.900000	71.466	89.8306
11.060000	71.602	88.8290
11.200000	71.713	87.9692
11.380000	71.848	86.9012
11.500000	71.934	86.2192
11.720000	72.085	85.0137
11.800000	72.139	84.5876
12.060000	72.308	83.2415
12.200000	72.397	82.5215
12.410000	72.525	81.4488
12.500000	72.577	80.9876
12.650000	72.661	80.2162
12.800000	72.739	79.4493
13.150000	72.902	77.6928
13.200000	72.923	77.4487
13.400000	73.004	76.4917
13.600000	73.080	75.5609
13.800000	73.153	74.6580
14.000000	73.224	73.7605
14.300000	73.327	72.4112
14.500000	73.393	71.4902
14.750000	73.468	70.3204
15.000000	73.533	69.1359
15.250000	73.589	67.9634
15.500000	73.638	66.8204
15.750000	73.683	65.7130
16.000000	73.726	64.6390
16.250000	73.771	63.5775
16.500000	73.817	62.5177
16.750000	73.862	61.4451
17.000000	73.905	60.3652
17.250000	73.944	59.2865
17.500000	73.978	58.2221
17.750000	74.009	57.1852
18.000000	74.038	56.1762
18.250000	74.067	55.1947
18.500000	74.096	54.2311
18.750000	74.124	53.2821
19.000000	74.151	52.3449
19.250000	74.174	51.4232
19.500000	74.196	50.5214
19.750000	74.215	49.6418
20.000000	74.233	48.7849
20.299999	74.253	47.7787
20.600000	74.271	46.7900
20.900000	74.286	45.8137
21.200001	74.298	44.8513
21.400000	74.303	44.2209
21.799999	74.311	42.9893
22.000000	74.314	42.3856
22.400000	74.321	41.1903
22.700001	74.324	40.2923
23.000000	74.325	39.3880
23.299999	74.323	38.4844
23.600000	74.318	37.5909
24.000000	74.309	36.4263
24.299999	74.302	35.5717
24.700001	74.295	34.4464
25.000000	74.290	33.6057
25.400000	74.283	32.4907
25.799999	74.274	31.3958
26.200001	74.266	30.3321
26.500000	74.261	29.5533
26.900000	74.255	28.5331
27.200001	74.250	27.7781
27.600000	74.243	26.7879
28.000000	74.234	25.8242
28.500000	74.222	24.6621
29.000000	74.208	23.5394
29.500000	74.194	22.4464
30.000000	74.177	21.3793
30.400000	74.162	20.5405
30.700001	74.151	19.9174
31.100000	74.132	19.0939
31.500000	74.113	18.2838
32.000000	74.087	17.2979
32.500000	74.061	16.3381
33.000000	74.036	15.3895
33.500000	74.012	14.4471
34.000000	73.986	13.5217
34.500000	73.960	12.6232
35.000000	73.936	11.7477
35.500000	73.912	10.8899
36.000000	73.887	10.0518
36.500000	73.861	9.2357
37.000000	73.834	8.4421
37.500000	73.807	7.6722
38.200001	73.765	6.6389
38.700001	73.737	5.9257
39.500000	73.691	4.8003
40.000000	73.660	4.1072
40.599998	73.621	3.2944
41.200001	73.583	2.5032
41.799999	73.544	1.7303
42.500000	73.499	0.8518
43.099998	73.459	0.1195
43.700001	73.420	-0.5886
44.400002	73.378	-1.3873
45.000000	73.342	-2.0647
45.500000	73.310	-2.6270
46.200001	73.263	-3.3885
46.799999	73.221	-4.0036
47.500000	73.174	-4.6940
48.200001	73.128	-5.3735
48.700001	73.095	-5.8528
49.400002	73.050	-6.5150
50.000000	73.008	-7.0706
50.799999	72.952	-7.7816
51.500000	72.903	-8.3732
52.200001	72.857	-8.9471
53.000000	72.805	-9.5939
53.799999	72.751	-10.2286
54.500000	72.704	-10.7666
55.200001	72.657	-11.2887
56.000000	72.603	-11.8676
57.000000	72.536	-12.5682
58.000000	72.471	-13.2494
59.000000	72.404	-13.8990
60.000000	72.339	-14.5167
60.799999	72.287	-14.9966
61.500000	72.242	-15.4099
62.200001	72.197	-15.8120
63.000000	72.145	-16.2576
64.000000	72.082	-16.8023
65.000000	72.018	-17.3253
66.000000	71.955	-17.8259
67.000000	71.894	-18.3151
68.000000	71.832	-18.7881
69.000000	71.771	-19.2355
70.000000	71.710	-19.6695
71.000000	71.650	-20.0903
72.000000	71.591	-20.5037
73.000000	71.531	-20.9057
74.000000	71.472	-21.2895
75.000000	71.413	-21.6621
76.199997	71.345	-22.0935
77.500000	71.272	-22.5480
78.800003	71.199	-22.9924
80.000000	71.129	-23.3698
81.199997	71.065	-23.7139
82.500000	70.998	-24.1003
83.800003	70.929	-24.4775
85.000000	70.866	-24.8037
86.199997	70.804	-25.1128
87.500000	70.738	-25.4481
88.500000	70.688	-25.6953
90.000000	70.613	-26.0581
91.199997	70.554	-26.3301
92.500000	70.491	-26.6202
93.800003	70.428	-26.8857
95.000000	70.371	-27.1178
96.199997	70.316	-27.3500
97.500000	70.257	-27.5937
98.800003	70.199	-27.8331
100.000000	70.147	-28.0448
101.500000	70.082	-28.2991
103.000000	70.018	-28.5450
104.400002	69.959	-28.7593
106.000000	69.891	-28.9984
107.500000	69.830	-29.2159
109.000000	69.769	-29.4282
110.599998	69.706	-29.6426
112.000000	69.652	-29.8206
113.800003	69.585	-30.0423
115.000000	69.540	-30.1869
117.199997	69.457	-30.4183
118.000000	69.428	-30.5016
120.599998	69.337	-30.7706
122.000000	69.290	-30.9076
124.099998	69.221	-31.1187
125.000000	69.191	-31.2062
126.500000	69.140	-31.3392
128.000000	69.091	-31.4617
131.500000	68.980	-31.7295
132.000000	68.965	-31.7655
134.000000	68.904	-31.8989
136.000000	68.846	-32.0422
138.000000	68.785	-32.1753
140.000000	68.728	-32.2984
143.000000	68.643	-32.4862
145.000000	68.588	-32.5961
147.500000	68.519	-32.7322
150.000000	68.455	-32.8577
152.500000	68.393	-32.9857
155.000000	68.331	-33.0974
157.500000	68.270	-33.1981
160.000000	68.210	-33.2935
162.500000	68.151	-33.3795
165.000000	68.096	-33.4686
167.500000	68.042	-33.5739
170.000000	67.989	-33.6769
172.500000	67.938	-33.7656
175.000000	67.884	-33.8307
177.500000	67.833	-33.8979
180.000000	67.783	-33.9708
182.500000	67.736	-34.0260
185.000000	67.690	-34.0786
187.500000	67.644	-34.1243
190.000000	67.600	-34.1821
192.500000	67.555	-34.2374
195.000000	67.512	-34.2904
197.500000	67.470	-34.3540
200.000000	67.427	-34.4221
203.000000	67.377	-34.4749
206.000000	67.330	-34.5253
209.000000	67.285	-34.5666
212.000000	67.242	-34.6082
214.000000	67.211	-34.6407
218.000000	67.150	-34.6909
220.000000	67.121	-34.7171
224.000000	67.063	-34.7707
227.000000	67.023	-34.8005
230.000000	66.985	-34.8347
233.000000	66.946	-34.8765
236.000000	66.908	-34.9201
240.000000	66.858	-34.9664
243.000000	66.820	-34.9913
247.000000	66.775	-35.0281
250.000000	66.741	-35.0699
254.000000	66.696	-35.1103
258.000000	66.653	-35.1323
262.000000	66.610	-35.1531
265.000000	66.576	-35.1772
269.000000	66.534	-35.2146
272.000000	66.506	-35.2365
276.000000	66.470	-35.2634
280.000000	66.432	-35.2921
285.000000	66.385	-35.3306
290.000000	66.338	-35.3772
295.000000	66.294	-35.4109
300.000000	66.254	-35.4304
304.000000	66.222	-35.4465
307.000000	66.196	-35.4580
311.000000	66.163	-35.4834
315.000000	66.131	-35.4984
320.000000	66.094	-35.5224
325.000000	66.061	-35.5525
330.000000	66.027	-35.5620
335.000000	65.992	-35.5695
340.000000	65.960	-35.5931
345.000000	65.930	-35.6253
350.000000	65.898	-35.6488
355.000000	65.869	-35.6577
360.000000	65.839	-35.6620
365.000000	65.811	-35.6768
370.000000	65.784	-35.6754
375.000000	65.758	-35.6797
382.000000	65.720	-35.6948
387.000000	65.694	-35.7003
395.000000	65.659	-35.6945
400.000000	65.639	-35.7125
406.000000	65.616	-35.7399
412.000000	65.589	-35.7327
418.000000	65.567	-35.7410
425.000000	65.542	-35.7468
431.000000	65.522	-35.7347
437.000000	65.502	-35.7263
444.000000	65.478	-35.7288
450.000000	65.459	-35.7349
455.000000	65.446	-35.7244
462.000000	65.428	-35.6962
468.000000	65.416	-35.6780
475.000000	65.400	-35.6911
482.000000	65.381	-35.6871
487.000000	65.372	-35.6596
494.000000	65.361	-35.6549
500.000000	65.350	-35.6399
508.000000	65.338	-35.6243
515.000000	65.328	-35.6102
522.000000	65.319	-35.5961
530.000000	65.310	-35.5803
538.000000	65.303	-35.5403
545.000000	65.300	-35.5011
552.000000	65.297	-35.4875
560.000000	65.297	-35.4752
570.000000	65.296	-35.4338
580.000000	65.299	-35.3770
590.000000	65.305	-35.3022
600.000000	65.310	-35.2495
608.000000	65.317	-35.2393
615.000000	65.324	-35.2084
622.000000	65.332	-35.1464
630.000000	65.344	-35.0820
640.000000	65.362	-35.0143
650.000000	65.378	-34.9564
660.000000	65.401	-34.8939
670.000000	65.429	-34.8223
680.000000	65.456	-34.7285
690.000000	65.486	-34.6421
700.000000	65.519	-34.5776
710.000000	65.557	-34.5143
720.000000	65.594	-34.4325
730.000000	65.636	-34.3300
740.000000	65.680	-34.2358
750.000000	65.729	-34.1727
762.000000	65.791	-34.0881
775.000000	65.869	-33.9928
788.000000	65.951	-33.9028
800.000000	66.029	-33.8232
812.000000	66.113	-33.7711
825.000000	66.209	-33.7228
838.000000	66.308	-33.6761
850.000000	66.405	-33.6448
862.000000	66.508	-33.6483
875.000000	66.622	-33.6689
885.000000	66.717	-33.7150
900.000000	66.863	-33.7949
912.000000	66.984	-33.8854
925.000000	67.121	-34.0333
938.000000	67.262	-34.2064
950.000000	67.396	-34.4053
962.000000	67.532	-34.6462
975.000000	67.682	-34.9459
988.000000	67.836	-35.2850
1000.000000	67.978	-35.6389
1015.000000	68.157	-36.1586
1030.000000	68.335	-36.7410
1044.000000	68.503	-37.3330
1060.000000	68.695	-38.0797
1075.000000	68.871	-38.8519
1090.000000	69.045	-39.6702
1106.000000	69.227	-40.6115
1120.000000	69.383	-41.4903
1138.000000	69.580	-42.6823
1150.000000	69.706	-43.5120
1172.000000	69.929	-45.1003
1180.000000	70.008	-45.6956
1206.000000	70.254	-47.7142
1220.000000	70.378	-48.8352
1241.000000	70.556	-50.5635
1250.000000	70.629	-51.3183
1265.000000	70.746	-52.5959
1280.000000	70.856	-53.8946
1315.000000	71.089	-56.9668
1320.000000	71.120	-57.4132
1340.000000	71.237	-59.2114
1360.000000	71.344	-61.0052
1380.000000	71.442	-62.8035
1400.000000	71.529	-64.6113
1430.000000	71.644	-67.3253
1450.000000	71.709	-69.1273
1475.000000	71.776	-71.3526
1500.000000	71.828	-73.5482
1525.000000	71.866	-75.7231
1550.000000	71.894	-77.8511
1575.000000	71.910	-79.9380
1600.000000	71.914	-81.9713
1625.000000	71.906	-83.9366
1650.000000	71.888	-85.8443
1675.000000	71.863	-87.7000
1700.000000	71.827	-89.4775
1725.000000	71.785	-91.1733
1750.000000	71.734	-92.7958
1775.000000	71.680	-94.3435
1800.000000	71.621	-95.8184
1825.000000	71.559	-97.2194
1850.000000	71.495	-98.5481
1875.000000	71.430	-99.8073
1900.000000	71.364	-100.9989
1925.000000	71.297	-102.1295
1950.000000	71.231	-103.1951
1975.000000	71.164	-104.2065
2000.000000	71.098	-105.1571
2030.000000	71.022	-106.2341
2060.000000	70.948	-107.2555
2090.000000	70.879	-108.2053
2120.000000	70.811	-109.0894
2140.000000	70.767	-109.6447
2180.000000	70.687	-110.7012
2200.000000	70.651	-111.2027
2240.000000	70.584	-112.1390
2270.000000	70.538	-112.8057
2300.000000	70.496	-113.4314
2330.000000	70.460	-114.0209
2360.000000	70.426	-114.5873
2400.000000	70.388	-115.2910
2430.000000	70.363	-115.7869
2470.000000	70.339	-116.3976
2500.000000	70.327	-116.8336
2540.000000	70.321	-117.3757
2580.000000	70.323	-117.8713
2620.000000	70.337	-118.3274
2650.000000	70.355	-118.6516
2690.000000	70.392	-119.0685
2720.000000	70.430	-119.3744
2760.000000	70.492	-119.7681
2800.000000	70.566	-120.1426
2850.000000	70.685	-120.6441
2900.000000	70.841	-121.2350
2950.000000	71.034	-121.9559
3000.000000	71.258	-122.9758
3040.000000	71.454	-124.0800
3070.000000	71.606	-125.1279
3110.000000	71.804	-126.8528
3150.000000	71.980	-128.9520
3200.000000	72.137	-132.0374
3250.000000	72.198	-135.4052
3300.000000	72.156	-138.7756
3350.000000	72.027	-141.8444
3400.000000	71.838	-144.4385
3450.000000	71.618	-146.4943
3500.000000	71.393	-148.0443
3550.000000	71.179	-149.1904
3600.000000	70.986	-149.9886
3650.000000	70.819	-150.5420
3700.000000	70.680	-150.9127
3750.000000	70.572	-151.1530
3820.000000	70.464	-151.3290
3870.000000	70.421	-151.4078
3950.000000	70.414	-151.5361
4000.000000	70.442	-151.6704
4060.000000	70.506	-151.9224
4120.000000	70.598	-152.3268
4180.000000	70.717	-152.9358
4250.000000	70.876	-153.9478
4310.000000	71.020	-155.1180
4370.000000	71.164	-156.5916
4440.000000	71.316	-158.6844
4500.000000	71.421	-160.7855
4550.000000	71.484	-162.7227
4620.000000	71.521	-165.6279
4680.000000	71.499	-168.1945
4750.000000	71.415	-171.1758
4820.000000	71.274	-174.0231
4870.000000	71.142	-175.9274
4940.000000	70.913	-178.3644
5000.000000	70.686	179.7897
5080.000000	70.338	177.7401
5150.000000	70.003	176.3878
5220.000000	69.657	175.4787
5300.000000	69.266	175.0274
5380.000000	68.909	175.1887
5450.000000	68.656	175.7676
5520.000000	68.497	176.6096
5600.000000	68.479	177.4040
5700.000000	68.676	176.5040
5800.000000	68.573	171.2589
5900.000000	67.645	168.9216
6000.000000	66.979	169.9069
