* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 4, 2024 11:23:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ODYSSEY 353
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 129.496 21.7607
20.600000 129.503 21.2154
20.900000 129.505 20.7288
21.200001 129.508 20.2385
21.400000 129.513 19.9026
21.799999 129.524 19.2095
22.000000 129.531 18.8570
22.400000 129.544 18.1600
22.700001 129.553 17.6622
23.000000 129.561 17.1963
23.299999 129.569 16.7587
23.600000 129.576 16.3393
24.000000 129.586 15.7895
24.299999 129.592 15.3742
24.700001 129.596 14.8167
25.000000 129.597 14.4036
25.400000 129.596 13.8716
25.799999 129.597 13.3654
26.200001 129.601 12.8766
26.500000 129.604 12.5126
26.900000 129.608 12.0230
27.200001 129.609 11.6528
27.600000 129.606 11.1626
28.000000 129.601 10.6891
28.500000 129.595 10.1317
29.000000 129.596 9.6012
29.500000 129.604 9.0707
30.000000 129.612 8.5269
30.400000 129.613 8.0945
30.700001 129.610 7.7830
31.100000 129.601 7.3927
31.500000 129.591 7.0256
32.000000 129.580 6.5717
32.500000 129.571 6.0957
33.000000 129.562 5.6033
33.500000 129.553 5.1262
34.000000 129.545 4.6849
34.500000 129.539 4.2684
35.000000 129.533 3.8558
35.500000 129.525 3.4411
36.000000 129.514 3.0336
36.500000 129.503 2.6370
37.000000 129.495 2.2421
37.500000 129.488 1.8415
38.200001 129.473 1.2871
38.700001 129.460 0.9145
39.500000 129.438 0.3537
40.000000 129.426 0.0024
40.599998 129.412 -0.4298
41.200001 129.396 -0.8609
41.799999 129.382 -1.2813
42.500000 129.366 -1.7634
43.099998 129.351 -2.1702
43.700001 129.334 -2.5576
44.400002 129.314 -2.9767
45.000000 129.298 -3.3235
45.500000 129.286 -3.6203
46.200001 129.266 -4.0500
46.799999 129.244 -4.4059
47.500000 129.220 -4.7808
48.200001 129.200 -5.1506
48.700001 129.188 -5.4410
49.400002 129.163 -5.8646
50.000000 129.139 -6.1955
50.799999 129.113 -6.5956
51.500000 129.094 -6.9610
52.200001 129.071 -7.3289
53.000000 129.042 -7.7151
53.799999 129.015 -8.0971
54.500000 128.992 -8.4455
55.200001 128.969 -8.7938
56.000000 128.942 -9.1746
57.000000 128.903 -9.5988
58.000000 128.865 -10.0295
59.000000 128.824 -10.5016
60.000000 128.787 -10.9131
60.799999 128.763 -11.2169
61.500000 128.741 -11.5007
62.200001 128.713 -11.7993
63.000000 128.676 -12.1228
64.000000 128.638 -12.4840
65.000000 128.606 -12.8932
66.000000 128.563 -13.3053
67.000000 128.520 -13.6433
68.000000 128.481 -13.9714
69.000000 128.442 -14.2881
70.000000 128.405 -14.6373
71.000000 128.361 -14.9600
72.000000 128.322 -15.2511
73.000000 128.278 -15.5821
74.000000 128.234 -15.8823
75.000000 128.198 -16.2047
76.199997 128.143 -16.5747
77.500000 128.092 -16.8670
78.800003 128.036 -17.2426
80.000000 127.987 -17.5949
81.199997 127.933 -17.9162
82.500000 127.879 -18.2341
83.800003 127.820 -18.5662
85.000000 127.775 -18.8296
86.199997 127.719 -19.0846
87.500000 127.662 -19.3592
88.500000 127.622 -19.5606
90.000000 127.553 -19.8818
91.199997 127.501 -20.1291
92.500000 127.445 -20.4167
93.800003 127.383 -20.6315
95.000000 127.330 -20.8811
96.199997 127.281 -21.0702
97.500000 127.229 -21.2665
98.800003 127.164 -21.4668
100.000000 127.115 -21.6738
101.500000 127.053 -21.9282
103.000000 126.984 -22.0623
104.400002 126.921 -22.2748
106.000000 126.854 -22.5188
107.500000 126.779 -22.6144
109.000000 126.722 -22.8681
110.599998 126.653 -23.0109
112.000000 126.570 -23.0176
113.800003 126.501 -23.3970
115.000000 126.470 -23.2945
117.199997 126.362 -23.2628
118.000000 126.363 -23.7515
120.599998 126.249 -24.2843
122.000000 126.122 -23.4418
124.099998 126.004 -23.8744
125.000000 126.105 -23.6589
126.500000 125.939 -24.4035
128.000000 125.969 -24.2772
131.500000 125.774 -24.0009
132.000000 125.769 -23.9850
134.000000 125.657 -24.1414
136.000000 125.592 -24.6623
138.000000 125.532 -24.3391
140.000000 125.414 -24.2702
143.000000 125.314 -24.1067
145.000000 125.227 -24.1531
147.500000 125.173 -24.2429
150.000000 125.107 -24.2322
152.500000 125.005 -24.0758
155.000000 124.922 -23.8496
157.500000 124.810 -23.6899
160.000000 124.721 -23.5773
162.500000 124.640 -23.4404
165.000000 124.573 -23.2005
167.500000 124.489 -23.0670
170.000000 124.390 -22.9684
172.500000 124.315 -22.6766
175.000000 124.283 -22.2355
177.500000 124.239 -22.0292
180.000000 124.159 -21.8792
182.500000 124.089 -21.8622
185.000000 124.038 -21.6890
187.500000 123.981 -21.3653
190.000000 123.907 -21.0689
192.500000 123.838 -20.8762
195.000000 123.796 -20.6070
197.500000 123.733 -20.3256
200.000000 123.690 -20.1670
203.000000 123.642 -19.6410
206.000000 123.575 -19.3501
209.000000 123.516 -18.9841
212.000000 123.466 -18.7734
214.000000 123.445 -18.5156
218.000000 123.393 -18.1076
220.000000 123.344 -17.8080
224.000000 123.291 -17.4908
227.000000 123.248 -17.0361
230.000000 123.175 -16.6819
233.000000 123.126 -16.3596
236.000000 123.092 -16.2177
240.000000 123.043 -16.2601
243.000000 123.076 -16.0319
247.000000 123.138 -15.4587
250.000000 123.084 -14.6925
254.000000 122.954 -14.2004
258.000000 123.008 -14.4373
262.000000 123.027 -13.1318
265.000000 122.899 -13.0978
269.000000 122.938 -12.6313
272.000000 122.834 -12.5078
276.000000 122.899 -12.3736
280.000000 122.862 -11.9440
285.000000 122.845 -11.5416
290.000000 122.788 -11.3057
295.000000 122.904 -11.0046
300.000000 122.778 -9.2096
304.000000 122.751 -9.7296
307.000000 122.847 -9.8963
311.000000 122.899 -9.5306
315.000000 122.780 -9.1783
320.000000 122.788 -8.7561
325.000000 122.784 -8.5986
330.000000 122.776 -8.3120
335.000000 122.772 -7.9313
340.000000 122.764 -7.7478
345.000000 122.768 -7.4669
350.000000 122.765 -7.1868
355.000000 122.769 -6.9713
360.000000 122.768 -6.7323
365.000000 122.756 -6.5453
370.000000 122.758 -6.3641
375.000000 122.764 -6.0678
382.000000 122.753 -5.8569
387.000000 122.757 -5.6333
395.000000 122.749 -5.3935
400.000000 122.743 -5.2405
406.000000 122.739 -4.9652
412.000000 122.743 -4.8268
418.000000 122.743 -4.6358
425.000000 122.737 -4.4713
431.000000 122.741 -4.1745
437.000000 122.725 -4.0173
444.000000 122.750 -3.8102
450.000000 122.721 -3.8534
455.000000 122.701 -3.5734
462.000000 122.718 -3.2876
468.000000 122.704 -3.2842
475.000000 122.686 -3.1103
482.000000 122.687 -2.7554
487.000000 122.683 -2.6737
494.000000 122.679 -2.6033
500.000000 122.664 -2.4678
508.000000 122.658 -2.3188
515.000000 122.652 -2.1558
522.000000 122.634 -2.0120
530.000000 122.627 -1.8074
538.000000 122.602 -1.6915
545.000000 122.601 -1.4435
552.000000 122.586 -1.4004
560.000000 122.569 -1.0694
570.000000 122.558 -0.9455
580.000000 122.529 -0.7448
590.000000 122.513 -0.4844
600.000000 122.490 -0.3074
608.000000 122.486 -0.0655
615.000000 122.467 0.0433
622.000000 122.455 0.2522
630.000000 122.425 0.3768
640.000000 122.411 0.6211
650.000000 122.378 0.9262
660.000000 122.370 1.1696
670.000000 122.343 1.3883
680.000000 122.304 1.7102
690.000000 122.282 1.9031
700.000000 122.241 2.2598
710.000000 122.220 2.4136
720.000000 122.188 2.8902
730.000000 122.143 3.1026
740.000000 122.129 3.7035
750.000000 122.092 3.8989
762.000000 122.065 4.4163
775.000000 122.028 4.9114
788.000000 121.998 5.4746
800.000000 121.982 6.0729
812.000000 121.963 6.6203
825.000000 121.936 7.3212
838.000000 121.924 7.9972
850.000000 121.924 8.5657
862.000000 121.914 9.2186
875.000000 121.939 9.8778
885.000000 121.937 10.3628
900.000000 121.951 11.0840
912.000000 121.963 11.8318
925.000000 122.011 12.2901
938.000000 122.033 13.0859
950.000000 122.083 13.6436
962.000000 122.121 14.1175
975.000000 122.156 14.7502
988.000000 122.205 15.1655
1000.000000 122.234 15.8015
1015.000000 122.325 16.2536
1030.000000 122.407 16.7913
1044.000000 122.457 17.0573
1060.000000 122.539 17.6316
1075.000000 122.617 17.9914
1090.000000 122.679 18.2684
1106.000000 122.766 18.6882
1120.000000 122.817 18.8642
1138.000000 122.898 19.0874
1150.000000 122.939 19.2732
1172.000000 123.026 19.5549
1180.000000 123.070 19.6143
1206.000000 123.132 19.8993
1220.000000 123.198 20.0500
1241.000000 123.257 20.2403
1250.000000 123.284 20.2791
1265.000000 123.324 20.3404
1280.000000 123.368 20.4528
1315.000000 123.445 20.6870
1320.000000 123.465 20.7671
1340.000000 123.502 20.9170
1360.000000 123.540 21.0585
1380.000000 123.588 21.2183
1400.000000 123.612 21.4430
1430.000000 123.665 21.6919
1450.000000 123.703 21.9353
1475.000000 123.746 22.2005
1500.000000 123.774 22.4532
1525.000000 123.824 22.7803
1550.000000 123.853 23.0765
1575.000000 123.901 23.4151
1600.000000 123.956 23.7799
1625.000000 124.004 24.1774
1650.000000 124.051 24.4583
1675.000000 124.105 24.8872
1700.000000 124.153 25.2854
1725.000000 124.223 25.6615
1750.000000 124.291 25.9950
1775.000000 124.358 26.3684
1800.000000 124.434 26.7653
1825.000000 124.493 27.0658
1850.000000 124.576 27.4124
1875.000000 124.658 27.7103
1900.000000 124.737 28.0107
1925.000000 124.832 28.3674
1950.000000 124.922 28.6885
1975.000000 125.005 28.8621
2000.000000 125.102 29.0289
2030.000000 125.229 29.4160
2060.000000 125.365 29.6188
2090.000000 125.490 29.7938
2120.000000 125.611 29.9817
2140.000000 125.701 30.0738
2180.000000 125.893 30.1957
2200.000000 125.990 30.1787
2240.000000 126.184 30.1880
2270.000000 126.325 30.0813
2300.000000 126.477 29.9583
2330.000000 126.632 29.7072
2360.000000 126.775 29.4821
2400.000000 126.970 28.9652
2430.000000 127.115 28.5524
2470.000000 127.298 27.8909
2500.000000 127.441 27.3621
2540.000000 127.609 26.4649
2580.000000 127.768 25.5193
2620.000000 127.918 24.4262
2650.000000 128.029 23.5970
2690.000000 128.149 22.4486
2720.000000 128.230 21.4940
2760.000000 128.319 20.1884
2800.000000 128.396 18.7990
2850.000000 128.458 17.0502
2900.000000 128.485 15.3417
2950.000000 128.476 13.6480
3000.000000 128.453 12.0768
3040.000000 128.397 10.7964
3070.000000 128.357 9.9168
3110.000000 128.280 8.8311
3150.000000 128.212 7.7685
3200.000000 128.087 6.7127
3250.000000 127.964 5.7084
3300.000000 127.833 4.9097
3350.000000 127.686 4.1886
3400.000000 127.561 3.7253
3450.000000 127.413 3.3676
3500.000000 127.286 3.1351
3550.000000 127.170 3.0184
3600.000000 127.063 3.0174
3650.000000 126.957 3.1448
3700.000000 126.869 3.3880
3750.000000 126.806 3.6565
3820.000000 126.734 4.2185
3870.000000 126.700 4.6005
3950.000000 126.708 5.3377
4000.000000 126.734 5.6013
4060.000000 126.820 6.1076
4120.000000 126.925 6.1488
4180.000000 127.035 6.0481
4250.000000 127.159 5.5869
4310.000000 127.250 4.9054
4370.000000 127.315 4.1298
4440.000000 127.364 3.2809
4500.000000 127.384 2.3406
4550.000000 127.381 1.6042
4620.000000 127.375 0.6737
4680.000000 127.342 -0.2179
4750.000000 127.310 -1.2074
4820.000000 127.245 -2.1405
4870.000000 127.188 -2.8740
4940.000000 127.100 -3.7934
5000.000000 126.993 -4.5240
5080.000000 126.855 -5.5615
5150.000000 126.695 -6.5004
5220.000000 126.513 -7.0827
5300.000000 126.282 -7.8437
5380.000000 126.040 -8.1049
5450.000000 125.805 -8.4032
5520.000000 125.554 -8.3181
5600.000000 125.266 -7.9104
5700.000000 124.913 -7.0068
5800.000000 124.618 -5.8323
5900.000000 124.336 -4.0948
