* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 8, 2026 11:43:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L OOPUS HOLLOW SMOOTH 1991
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.469 -165.8461
20.600000 83.442 -165.9837
20.900000 83.455 -166.0799
21.200001 83.502 -166.3780
21.400000 83.536 -166.7449
21.799999 83.580 -167.7955
22.000000 83.578 -168.3901
22.400000 83.518 -169.4471
22.700001 83.444 -169.9418
23.000000 83.377 -170.1222
23.299999 83.342 -170.1082
23.600000 83.344 -170.0928
24.000000 83.387 -170.2399
24.299999 83.423 -170.6072
24.700001 83.445 -171.3274
25.000000 83.436 -171.8970
25.400000 83.402 -172.5327
25.799999 83.370 -172.9799
26.200001 83.359 -173.3338
26.500000 83.361 -173.6184
26.900000 83.366 -174.0715
27.200001 83.361 -174.4501
27.600000 83.336 -174.9451
28.000000 83.298 -175.3636
28.500000 83.248 -175.7676
29.000000 83.211 -176.1365
29.500000 83.187 -176.5757
30.000000 83.163 -177.0958
30.400000 83.137 -177.5129
30.700001 83.114 -177.7928
31.100000 83.085 -178.1036
31.500000 83.063 -178.3601
32.000000 83.047 -178.6717
32.500000 83.037 -179.0400
33.000000 83.020 -179.4632
33.500000 82.993 -179.8786
34.000000 82.960 179.7744
34.500000 82.932 179.4983
35.000000 82.915 179.2446
35.500000 82.903 178.9595
36.000000 82.888 178.6353
36.500000 82.864 178.3131
37.000000 82.830 178.0445
37.500000 82.793 177.8411
38.200001 82.743 177.6047
38.700001 82.704 177.4287
39.500000 82.625 177.1449
40.000000 82.568 176.9741
40.599998 82.500 176.7234
41.200001 82.449 176.3352
41.799999 82.423 175.7995
42.500000 82.433 175.1597
43.099998 82.468 174.8177
43.700001 82.507 174.7563
44.400002 82.521 174.9189
45.000000 82.486 175.0376
45.500000 82.432 174.9731
46.200001 82.354 174.5670
46.799999 82.316 174.0670
47.500000 82.316 173.6393
48.200001 82.332 173.5421
48.700001 82.327 173.6013
49.400002 82.279 173.6471
50.000000 82.215 173.5123
50.799999 82.147 173.1105
51.500000 82.126 172.7776
52.200001 82.122 172.6206
53.000000 82.099 172.5849
53.799999 82.050 172.4848
54.500000 82.006 172.2560
55.200001 81.975 171.9970
56.000000 81.950 171.8156
57.000000 81.909 171.6514
58.000000 81.848 171.4590
59.000000 81.815 171.2838
60.000000 81.790 171.0997
60.799999 81.757 171.0427
61.500000 81.731 170.9801
62.200001 81.703 170.8591
63.000000 81.667 170.7484
64.000000 81.631 170.6443
65.000000 81.590 170.5010
66.000000 81.551 170.3883
67.000000 81.515 170.2393
68.000000 81.469 170.1165
69.000000 81.435 170.0136
70.000000 81.405 169.8637
71.000000 81.378 169.7748
72.000000 81.343 169.6177
73.000000 81.291 169.5695
74.000000 81.288 169.5093
75.000000 81.262 169.2257
76.199997 81.188 169.3630
77.500000 81.138 169.3319
78.800003 81.097 169.2578
80.000000 81.082 169.1952
81.199997 81.027 169.1592
82.500000 80.991 169.1639
83.800003 80.956 169.0130
85.000000 80.921 169.0021
86.199997 80.878 168.9083
87.500000 80.836 168.9171
88.500000 80.812 168.8406
90.000000 80.779 168.8102
91.199997 80.753 168.8120
92.500000 80.725 168.7873
93.800003 80.691 168.7570
95.000000 80.654 168.8052
96.199997 80.622 168.7799
97.500000 80.589 168.7819
98.800003 80.556 168.8138
100.000000 80.513 168.7466
101.500000 80.481 168.8858
103.000000 80.456 168.7738
104.400002 80.413 168.8325
106.000000 80.374 168.7487
107.500000 80.344 168.7744
109.000000 80.330 168.8558
110.599998 80.283 168.9586
112.000000 80.259 168.8820
113.800003 80.212 168.8967
115.000000 80.170 168.9005
117.199997 80.151 168.9842
118.000000 80.124 169.0782
120.599998 80.078 169.0818
122.000000 80.063 169.0267
124.099998 80.007 169.0833
125.000000 79.979 169.1791
126.500000 79.950 169.2672
128.000000 79.897 169.2439
131.500000 79.871 169.5037
132.000000 79.875 169.4183
134.000000 79.795 169.6161
136.000000 79.795 169.4398
138.000000 79.762 169.9232
140.000000 79.642 170.0042
143.000000 79.634 169.9490
145.000000 79.648 170.5824
147.500000 79.587 170.9125
150.000000 79.594 170.9991
152.500000 79.627 171.1110
155.000000 79.599 171.3663
157.500000 79.581 170.7064
160.000000 79.590 171.0689
162.500000 79.497 170.9941
165.000000 79.502 170.8491
167.500000 79.392 171.0561
170.000000 79.420 171.1859
172.500000 79.328 171.3299
175.000000 79.308 171.7024
177.500000 79.280 171.6102
180.000000 79.237 172.0889
182.500000 79.290 172.4117
185.000000 79.223 172.3816
187.500000 79.255 172.7997
190.000000 79.281 172.8874
192.500000 79.290 172.8284
195.000000 79.257 172.9717
197.500000 79.291 173.1086
200.000000 79.288 173.0565
203.000000 79.253 172.9579
206.000000 79.251 172.6251
209.000000 79.206 172.7382
212.000000 79.182 172.8155
214.000000 79.168 173.0336
218.000000 79.129 172.9788
220.000000 79.116 173.0939
224.000000 79.078 173.1087
227.000000 79.059 173.1849
230.000000 79.016 173.1657
233.000000 78.999 173.3306
236.000000 78.976 173.4133
240.000000 78.925 173.6428
243.000000 78.899 173.6484
247.000000 78.869 173.8504
250.000000 78.859 173.8011
254.000000 78.818 174.0780
258.000000 78.793 174.1632
262.000000 78.759 174.4485
265.000000 78.747 174.4276
269.000000 78.714 174.7386
272.000000 78.673 174.8412
276.000000 78.657 175.0342
280.000000 78.632 175.2857
285.000000 78.622 175.6563
290.000000 78.593 175.9329
295.000000 78.593 176.0683
300.000000 78.552 176.2198
304.000000 78.526 176.2124
307.000000 78.532 176.5155
311.000000 78.515 176.5941
315.000000 78.484 176.7736
320.000000 78.460 177.0096
325.000000 78.441 177.1855
330.000000 78.423 177.3652
335.000000 78.401 177.6164
340.000000 78.380 177.9543
345.000000 78.364 177.9595
350.000000 78.347 178.1117
355.000000 78.316 178.3707
360.000000 78.292 178.5538
365.000000 78.266 178.7410
370.000000 78.253 179.0579
375.000000 78.227 179.1581
382.000000 78.215 179.4091
387.000000 78.186 179.6065
395.000000 78.164 -179.9255
400.000000 78.132 -179.8433
406.000000 78.128 -179.5413
412.000000 78.125 -179.2689
418.000000 78.127 -179.1061
425.000000 78.069 -178.7300
431.000000 78.068 -178.4275
437.000000 78.048 -178.3918
444.000000 78.033 -177.9708
450.000000 78.018 -177.8409
455.000000 78.015 -177.7242
462.000000 77.976 -177.3680
468.000000 77.956 -177.1108
475.000000 77.949 -176.8207
482.000000 77.898 -176.5688
487.000000 77.904 -176.3388
494.000000 77.875 -176.1346
500.000000 77.851 -175.7759
508.000000 77.840 -175.4332
515.000000 77.839 -175.1551
522.000000 77.804 -174.8100
530.000000 77.795 -174.5147
538.000000 77.788 -174.2432
545.000000 77.759 -174.0428
552.000000 77.735 -173.5948
560.000000 77.717 -173.3715
570.000000 77.686 -172.8868
580.000000 77.670 -172.4465
590.000000 77.657 -172.0436
600.000000 77.626 -171.7097
608.000000 77.613 -171.3149
615.000000 77.559 -171.0935
622.000000 77.548 -170.7895
630.000000 77.519 -170.3165
640.000000 77.498 -169.8893
650.000000 77.426 -169.2112
660.000000 77.416 -168.6863
670.000000 77.403 -168.0058
680.000000 77.382 -167.1167
690.000000 77.370 -166.4761
700.000000 77.367 -165.7846
710.000000 77.379 -165.2643
720.000000 77.393 -164.5780
730.000000 77.408 -163.9465
740.000000 77.422 -163.2577
750.000000 77.421 -162.7173
762.000000 77.477 -161.8861
775.000000 77.454 -161.2190
788.000000 77.480 -160.3977
800.000000 77.518 -159.7627
812.000000 77.565 -159.0107
825.000000 77.585 -158.2841
838.000000 77.622 -157.4793
850.000000 77.688 -156.8850
862.000000 77.730 -156.1703
875.000000 77.790 -155.5231
885.000000 77.823 -155.0493
900.000000 77.925 -154.0749
912.000000 77.949 -153.6583
925.000000 78.039 -153.0883
938.000000 78.097 -152.4253
950.000000 78.154 -151.8496
962.000000 78.229 -151.5789
975.000000 78.323 -151.0689
988.000000 78.407 -150.4343
1000.000000 78.583 -149.5687
1015.000000 78.560 -149.5550
1030.000000 78.682 -149.0582
1044.000000 78.765 -148.8514
1060.000000 78.852 -148.2101
1075.000000 78.959 -147.8859
1090.000000 79.024 -147.7038
1106.000000 79.130 -147.4458
1120.000000 79.212 -147.1574
1138.000000 79.326 -146.9347
1150.000000 79.377 -146.7718
1172.000000 79.503 -146.7286
1180.000000 79.531 -146.5278
1206.000000 79.667 -146.5178
1220.000000 79.725 -146.4824
1241.000000 79.811 -146.3732
1250.000000 79.845 -146.4100
1265.000000 79.907 -146.2474
1280.000000 79.967 -146.2924
1315.000000 80.080 -146.3110
1320.000000 80.089 -146.1727
1340.000000 80.146 -146.1116
1360.000000 80.198 -146.0723
1380.000000 80.226 -145.7849
1400.000000 80.293 -145.9928
1430.000000 80.352 -145.7831
1450.000000 80.407 -145.8515
1475.000000 80.440 -145.6370
1500.000000 80.497 -145.5681
1525.000000 80.517 -145.4001
1550.000000 80.563 -145.2134
1575.000000 80.598 -144.9944
1600.000000 80.612 -144.7592
1625.000000 80.637 -144.6979
1650.000000 80.682 -144.3733
1675.000000 80.716 -144.1125
1700.000000 80.740 -143.8662
1725.000000 80.752 -143.7545
1750.000000 80.783 -143.3199
1775.000000 80.829 -143.0194
1800.000000 80.823 -142.6988
1825.000000 80.863 -142.3609
1850.000000 80.885 -141.9447
1875.000000 80.911 -141.6116
1900.000000 80.928 -141.1141
1925.000000 80.964 -140.7985
1950.000000 81.001 -140.4556
1975.000000 81.027 -140.0247
2000.000000 81.148 -139.8717
2030.000000 81.105 -138.9642
2060.000000 81.131 -138.3982
2090.000000 81.188 -137.6807
2120.000000 81.232 -136.7906
2140.000000 81.258 -136.3112
2180.000000 81.319 -135.2431
2200.000000 81.360 -134.5093
2240.000000 81.479 -133.0966
2270.000000 81.608 -131.8342
2300.000000 81.802 -130.5836
2330.000000 82.019 -129.6345
2360.000000 82.258 -128.8137
2400.000000 82.580 -128.4078
2430.000000 82.835 -128.2605
2470.000000 83.097 -128.2327
2500.000000 83.285 -128.1692
2540.000000 83.545 -128.2234
2580.000000 83.797 -128.3050
2620.000000 84.067 -128.3079
2650.000000 84.277 -128.5087
2690.000000 84.552 -128.7957
2720.000000 84.755 -129.0790
2760.000000 85.052 -129.6836
2800.000000 85.341 -130.6660
2850.000000 85.699 -131.9827
2900.000000 86.016 -133.7401
2950.000000 86.310 -135.7364
3000.000000 86.499 -138.4424
3040.000000 86.693 -140.0565
3070.000000 86.769 -141.6044
3110.000000 86.852 -143.6032
3150.000000 86.874 -145.7601
3200.000000 86.869 -148.1035
3250.000000 86.805 -150.4828
3300.000000 86.723 -152.4582
3350.000000 86.607 -154.2045
3400.000000 86.484 -155.6671
3450.000000 86.366 -157.0477
3500.000000 86.253 -158.2948
3550.000000 86.159 -159.5138
3600.000000 86.035 -160.6468
3650.000000 85.915 -161.7385
3700.000000 85.797 -162.6444
3750.000000 85.674 -163.6772
3820.000000 85.502 -164.8743
3870.000000 85.369 -165.6723
3950.000000 85.143 -167.1066
4000.000000 84.982 -167.4183
4060.000000 84.763 -168.5258
4120.000000 84.571 -168.8557
4180.000000 84.381 -169.5269
4250.000000 84.133 -170.1545
4310.000000 83.877 -170.3772
4370.000000 83.622 -170.2965
4440.000000 83.351 -169.8408
4500.000000 83.166 -169.0057
4550.000000 83.043 -168.4274
4620.000000 82.988 -167.5670
4680.000000 82.926 -166.9912
4750.000000 82.889 -166.9879
4820.000000 82.807 -166.8908
4870.000000 82.728 -167.1623
4940.000000 82.627 -167.1541
5000.000000 82.411 -167.2312
5080.000000 82.323 -167.3800
5150.000000 82.139 -167.3140
5220.000000 81.933 -167.0353
5300.000000 81.718 -166.7977
5380.000000 81.521 -166.0631
5450.000000 81.345 -165.4478
5520.000000 81.143 -164.6986
5600.000000 80.999 -163.9034
5700.000000 80.752 -162.7469
