* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 2, 2025 12:57:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L orch 2 wide black 1130
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 130.636 -166.7567
20.600000 130.660 -167.3618
20.900000 130.680 -167.9603
21.200001 130.693 -168.5509
21.400000 130.698 -168.9167
21.799999 130.704 -169.5661
22.000000 130.706 -169.8510
22.400000 130.707 -170.3690
22.700001 130.705 -170.7439
23.000000 130.698 -171.1293
23.299999 130.687 -171.5307
23.600000 130.673 -171.9484
24.000000 130.655 -172.5298
24.299999 130.645 -172.9836
24.700001 130.638 -173.6063
25.000000 130.637 -174.0735
25.400000 130.641 -174.6722
25.799999 130.646 -175.2225
26.200001 130.652 -175.7278
26.500000 130.654 -176.0916
26.900000 130.652 -176.5733
27.200001 130.645 -176.9365
27.600000 130.632 -177.4202
28.000000 130.618 -177.9027
28.500000 130.608 -178.5228
29.000000 130.604 -179.1817
29.500000 130.599 -179.8598
30.000000 130.588 179.4783
30.400000 130.576 178.9532
30.700001 130.564 178.5466
31.100000 130.540 177.9843
31.500000 130.506 177.4345
32.000000 130.457 176.8603
32.500000 130.423 176.4602
33.000000 130.418 176.1309
33.500000 130.432 175.7234
34.000000 130.435 175.2189
34.500000 130.414 174.7390
35.000000 130.384 174.3627
35.500000 130.364 174.0303
36.000000 130.355 173.6428
36.500000 130.346 173.2008
37.000000 130.333 172.7707
37.500000 130.321 172.3579
38.200001 130.295 171.7073
38.700001 130.256 171.2170
39.500000 130.177 170.6261
40.000000 130.151 170.3218
40.599998 130.139 169.8340
41.200001 130.117 169.2342
41.799999 130.080 168.6985
42.500000 130.045 168.1505
43.099998 130.019 167.5948
43.700001 129.978 167.0316
44.400002 129.927 166.5562
45.000000 129.903 166.2311
45.500000 129.885 165.8909
46.200001 129.841 165.3374
46.799999 129.793 164.9225
47.500000 129.758 164.4927
48.200001 129.740 163.9960
48.700001 129.719 163.6361
49.400002 129.669 163.2605
50.000000 129.625 163.0326
50.799999 129.585 162.5830
51.500000 129.551 161.9586
52.200001 129.503 161.3630
53.000000 129.444 160.9874
53.799999 129.396 160.7824
54.500000 129.355 160.4803
55.200001 129.313 160.0021
56.000000 129.265 159.3954
57.000000 129.205 158.8728
58.000000 129.147 158.5639
59.000000 129.089 158.0157
60.000000 129.020 157.3173
60.799999 128.970 156.9657
61.500000 128.932 156.7623
62.200001 128.888 156.5069
63.000000 128.827 156.1146
64.000000 128.760 155.5965
65.000000 128.705 155.1644
66.000000 128.637 154.8194
67.000000 128.563 154.4435
68.000000 128.496 154.0094
69.000000 128.437 153.6222
70.000000 128.372 153.2317
71.000000 128.295 152.8309
72.000000 128.223 152.4648
73.000000 128.157 152.1564
74.000000 128.099 151.8748
75.000000 128.037 151.5149
76.199997 127.951 151.1332
77.500000 127.875 150.7545
78.800003 127.787 150.3076
80.000000 127.698 150.0699
81.199997 127.620 149.7191
82.500000 127.520 149.3841
83.800003 127.437 149.0653
85.000000 127.345 148.7138
86.199997 127.280 148.4819
87.500000 127.199 148.1218
88.500000 127.119 147.9987
90.000000 127.011 147.6600
91.199997 126.926 147.3853
92.500000 126.847 147.1264
93.800003 126.764 146.9509
95.000000 126.671 146.8276
96.199997 126.594 146.6351
97.500000 126.504 146.3254
98.800003 126.428 146.2385
100.000000 126.348 146.0674
101.500000 126.229 145.8488
103.000000 126.149 145.6718
104.400002 126.048 145.5986
106.000000 125.945 145.3498
107.500000 125.845 145.2878
109.000000 125.738 145.1550
110.599998 125.643 144.9901
112.000000 125.556 144.9847
113.800003 125.435 144.8408
115.000000 125.363 144.7645
117.199997 125.210 144.6761
118.000000 125.164 144.6625
120.599998 124.992 144.6259
122.000000 124.908 144.5735
124.099998 124.772 144.5852
125.000000 124.719 144.6234
126.500000 124.621 144.6206
128.000000 124.531 144.6746
131.500000 124.316 144.7801
132.000000 124.282 144.8317
134.000000 124.167 144.9682
136.000000 124.036 145.0798
138.000000 123.927 145.1266
140.000000 123.819 145.3457
143.000000 123.646 145.5245
145.000000 123.539 145.7808
147.500000 123.397 146.1392
150.000000 123.256 146.4275
152.500000 123.104 146.7604
155.000000 122.974 147.1392
157.500000 122.839 147.5239
160.000000 122.698 147.9688
162.500000 122.573 148.4385
165.000000 122.447 148.9750
167.500000 122.310 149.6562
170.000000 122.201 150.3476
172.500000 122.077 151.0669
175.000000 121.986 152.0340
177.500000 121.928 153.1423
180.000000 121.867 154.0996
182.500000 121.888 154.8017
185.000000 121.959 155.5016
187.500000 121.952 155.7856
190.000000 122.001 155.7523
192.500000 121.931 155.9119
195.000000 121.884 155.7723
197.500000 121.825 156.0132
200.000000 121.734 156.1860
203.000000 121.667 156.5597
206.000000 121.556 156.9594
209.000000 121.485 157.3838
212.000000 121.393 158.0106
214.000000 121.344 158.3358
218.000000 121.248 159.0718
220.000000 121.213 159.4345
224.000000 121.135 160.1873
227.000000 121.088 160.8696
230.000000 121.035 161.3902
233.000000 120.984 161.9875
236.000000 120.937 162.6178
240.000000 120.883 163.4283
243.000000 120.859 164.0185
247.000000 120.818 164.7371
250.000000 120.785 165.3501
254.000000 120.761 166.1145
258.000000 120.736 166.8089
262.000000 120.707 167.5536
265.000000 120.693 168.1484
269.000000 120.697 168.7654
272.000000 120.683 169.3476
276.000000 120.675 170.0004
280.000000 120.654 170.5894
285.000000 120.655 171.3180
290.000000 120.671 172.0699
295.000000 120.671 172.8264
300.000000 120.680 173.6125
304.000000 120.688 174.1520
307.000000 120.688 174.5617
311.000000 120.706 175.0745
315.000000 120.709 175.6063
320.000000 120.738 176.1949
325.000000 120.743 176.7775
330.000000 120.761 177.3309
335.000000 120.773 177.9232
340.000000 120.798 178.3880
345.000000 120.810 178.9960
350.000000 120.832 179.5085
355.000000 120.844 -179.9138
360.000000 120.866 -179.4609
365.000000 120.893 -178.9120
370.000000 120.913 -178.3926
375.000000 120.929 -177.8851
382.000000 120.988 -177.0181
387.000000 121.033 -176.4431
395.000000 121.162 -175.6172
400.000000 121.229 -175.3150
406.000000 121.320 -175.2199
412.000000 121.372 -175.1198
418.000000 121.406 -175.0839
425.000000 121.433 -174.9745
431.000000 121.462 -174.6896
437.000000 121.475 -174.4820
444.000000 121.502 -174.2605
450.000000 121.508 -174.0079
455.000000 121.535 -173.7774
462.000000 121.548 -173.4676
468.000000 121.568 -173.2834
475.000000 121.598 -172.9543
482.000000 121.618 -172.7020
487.000000 121.641 -172.4497
494.000000 121.661 -172.1523
500.000000 121.678 -171.9655
508.000000 121.706 -171.6027
515.000000 121.726 -171.3640
522.000000 121.747 -171.1282
530.000000 121.773 -170.8187
538.000000 121.800 -170.5961
545.000000 121.813 -170.3336
552.000000 121.834 -170.0626
560.000000 121.873 -169.7801
570.000000 121.887 -169.3462
580.000000 121.922 -169.1627
590.000000 121.950 -168.7539
600.000000 121.977 -168.4601
608.000000 122.002 -168.1143
615.000000 122.022 -167.8795
622.000000 122.041 -167.6840
630.000000 122.060 -167.4403
640.000000 122.094 -167.1167
650.000000 122.128 -166.7982
660.000000 122.154 -166.4293
670.000000 122.170 -166.0838
680.000000 122.198 -165.7456
690.000000 122.225 -165.3626
700.000000 122.253 -165.0373
710.000000 122.275 -164.6765
720.000000 122.324 -164.3925
730.000000 122.330 -163.9256
740.000000 122.378 -163.6747
750.000000 122.409 -163.3153
762.000000 122.445 -162.9463
775.000000 122.495 -162.4403
788.000000 122.559 -161.9022
800.000000 122.603 -161.4486
812.000000 122.643 -161.0646
825.000000 122.708 -160.6279
838.000000 122.769 -160.1147
850.000000 122.832 -159.7994
862.000000 122.899 -159.4311
875.000000 122.953 -159.0441
885.000000 123.021 -158.6818
900.000000 123.100 -158.2557
912.000000 123.170 -157.9598
925.000000 123.264 -157.6368
938.000000 123.350 -157.2406
950.000000 123.413 -157.0464
962.000000 123.495 -156.6924
975.000000 123.580 -156.4814
988.000000 123.671 -156.2915
1000.000000 123.751 -156.2465
1015.000000 123.865 -155.9202
1030.000000 123.960 -155.7462
1044.000000 124.060 -155.6472
1060.000000 124.164 -155.6320
1075.000000 124.265 -155.5343
1090.000000 124.358 -155.5891
1106.000000 124.455 -155.6221
1120.000000 124.545 -155.6507
1138.000000 124.651 -155.6979
1150.000000 124.719 -155.8071
1172.000000 124.832 -155.9904
1180.000000 124.872 -156.0981
1206.000000 124.996 -156.3470
1220.000000 125.068 -156.5099
1241.000000 125.155 -156.6843
1250.000000 125.190 -156.7998
1265.000000 125.252 -156.9688
1280.000000 125.309 -157.1080
1315.000000 125.434 -157.4966
1320.000000 125.442 -157.5316
1340.000000 125.501 -157.7386
1360.000000 125.575 -157.9178
1380.000000 125.625 -158.1904
1400.000000 125.671 -158.3062
1430.000000 125.756 -158.5485
1450.000000 125.809 -158.7471
1475.000000 125.863 -158.9260
1500.000000 125.935 -159.0343
1525.000000 125.988 -159.2113
1550.000000 126.053 -159.3773
1575.000000 126.118 -159.4890
1600.000000 126.179 -159.6145
1625.000000 126.241 -159.7125
1650.000000 126.306 -159.8716
1675.000000 126.372 -159.9541
1700.000000 126.432 -160.0990
1725.000000 126.506 -160.2156
1750.000000 126.584 -160.3512
1775.000000 126.655 -160.4473
1800.000000 126.709 -160.6658
1825.000000 126.801 -160.7957
1850.000000 126.876 -160.9300
1875.000000 126.947 -161.1032
1900.000000 127.027 -161.3264
1925.000000 127.116 -161.5278
1950.000000 127.193 -161.7673
1975.000000 127.275 -161.9762
2000.000000 127.358 -162.1820
2030.000000 127.464 -162.6071
2060.000000 127.565 -162.9987
2090.000000 127.672 -163.3662
2120.000000 127.777 -163.7748
2140.000000 127.854 -164.0520
2180.000000 127.995 -164.7939
2200.000000 128.049 -165.0864
2240.000000 128.193 -165.9462
2270.000000 128.298 -166.5376
2300.000000 128.399 -167.2027
2330.000000 128.499 -167.8583
2360.000000 128.590 -168.5837
2400.000000 128.703 -169.6779
2430.000000 128.802 -170.4820
2470.000000 128.909 -171.6585
2500.000000 128.977 -172.4915
2540.000000 129.081 -173.8040
2580.000000 129.171 -175.1315
2620.000000 129.252 -176.5331
2650.000000 129.298 -177.5706
2690.000000 129.362 -179.0033
2720.000000 129.397 179.9018
2760.000000 129.435 178.3967
2800.000000 129.463 176.8633
2850.000000 129.485 174.9869
2900.000000 129.487 173.0399
2950.000000 129.475 171.1517
3000.000000 129.443 169.0156
3040.000000 129.408 167.6797
3070.000000 129.372 166.4460
3110.000000 129.327 164.8962
3150.000000 129.263 163.3339
3200.000000 129.163 161.3964
3250.000000 129.040 159.4396
3300.000000 128.883 157.4083
3350.000000 128.700 155.6140
3400.000000 128.461 153.8986
3450.000000 128.198 152.4965
3500.000000 127.909 151.6338
3550.000000 127.634 151.1682
3600.000000 127.402 150.9923
3650.000000 127.214 151.1411
3700.000000 127.083 151.2884
3750.000000 126.991 151.3123
3820.000000 126.889 151.3732
3870.000000 126.854 151.1909
3950.000000 126.813 150.7513
4000.000000 126.790 150.6135
4060.000000 126.783 150.0226
4120.000000 126.785 149.3369
4180.000000 126.788 148.6685
4250.000000 126.808 147.7408
4310.000000 126.836 146.7841
4370.000000 126.852 145.7843
4440.000000 126.887 144.3433
4500.000000 126.908 143.0131
4550.000000 126.941 141.8786
4620.000000 126.956 140.1088
4680.000000 126.967 138.3203
4750.000000 126.983 136.1571
4820.000000 126.966 133.7357
4870.000000 126.953 131.9996
4940.000000 126.917 129.2524
5000.000000 126.880 126.9850
5080.000000 126.772 123.5114
5150.000000 126.667 120.4632
5220.000000 126.543 117.2647
5300.000000 126.359 113.5887
5380.000000 126.173 109.7464
5450.000000 126.004 106.4846
5520.000000 125.847 102.9552
5600.000000 125.677 98.7751
5700.000000 125.489 92.9215
5800.000000 125.342 86.5902
5900.000000 125.304 79.2203
6000.000000 125.349 70.6566
6080.000000 125.491 62.3813
