* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 3, 2024 5:45:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Origin Sancai Regular 236
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.003 17.1869
20.600000 128.014 16.5282
20.900000 128.019 15.8816
21.200001 128.020 15.2013
21.400000 128.020 14.7426
21.799999 128.018 13.8447
22.000000 128.018 13.4194
22.400000 128.024 12.6313
22.700001 128.034 12.0846
23.000000 128.047 11.5553
23.299999 128.061 11.0281
23.600000 128.072 10.4998
24.000000 128.078 9.8021
24.299999 128.076 9.2953
24.700001 128.071 8.6462
25.000000 128.068 8.1689
25.400000 128.066 7.5240
25.799999 128.063 6.8584
26.200001 128.055 6.1909
26.500000 128.046 5.7104
26.900000 128.032 5.1134
27.200001 128.022 4.6945
27.600000 128.013 4.1532
28.000000 128.004 3.6068
28.500000 127.991 2.9154
29.000000 127.975 2.2489
29.500000 127.961 1.6142
30.000000 127.953 0.9662
30.400000 127.947 0.4180
30.700001 127.939 0.0001
31.100000 127.927 -0.5343
31.500000 127.914 -1.0227
32.000000 127.904 -1.5882
32.500000 127.896 -2.1642
33.000000 127.877 -2.7666
33.500000 127.841 -3.3368
34.000000 127.801 -3.8340
34.500000 127.772 -4.3153
35.000000 127.755 -4.8638
35.500000 127.738 -5.4741
36.000000 127.717 -6.0536
36.500000 127.698 -6.5496
37.000000 127.685 -7.0120
37.500000 127.671 -7.5086
38.200001 127.631 -8.2249
38.700001 127.596 -8.6773
39.500000 127.557 -9.3585
40.000000 127.538 -9.8312
40.599998 127.510 -10.4099
41.200001 127.479 -10.9432
41.799999 127.450 -11.4796
42.500000 127.410 -12.1657
43.099998 127.364 -12.7203
43.700001 127.322 -13.1690
44.400002 127.291 -13.6284
45.000000 127.274 -14.0661
45.500000 127.250 -14.4615
46.200001 127.198 -14.9667
46.799999 127.150 -15.3135
47.500000 127.110 -15.7652
48.200001 127.074 -16.3986
48.700001 127.037 -16.8572
49.400002 126.988 -17.3131
50.000000 126.969 -17.6440
50.799999 126.937 -18.2999
51.500000 126.863 -18.8653
52.200001 126.792 -19.1873
53.000000 126.761 -19.5878
53.799999 126.726 -20.1717
54.500000 126.680 -20.5701
55.200001 126.644 -20.9323
56.000000 126.596 -21.5055
57.000000 126.507 -22.1600
58.000000 126.442 -22.6770
59.000000 126.376 -23.2679
60.000000 126.295 -23.7109
60.799999 126.247 -24.0080
61.500000 126.210 -24.3820
62.200001 126.160 -24.7948
63.000000 126.102 -25.1347
64.000000 126.055 -25.5485
65.000000 125.988 -26.0831
66.000000 125.907 -26.5221
67.000000 125.840 -27.0269
68.000000 125.767 -27.5495
69.000000 125.695 -27.9239
70.000000 125.631 -28.2573
71.000000 125.554 -28.6512
72.000000 125.478 -29.0640
73.000000 125.409 -29.4810
74.000000 125.346 -29.7958
75.000000 125.274 -30.1648
76.199997 125.171 -30.6389
77.500000 125.075 -31.0866
78.800003 124.995 -31.4873
80.000000 124.896 -31.9169
81.199997 124.833 -32.1485
82.500000 124.720 -32.6400
83.800003 124.656 -32.7553
85.000000 124.648 -33.1557
86.199997 124.515 -33.5041
87.500000 124.355 -33.7124
88.500000 124.298 -34.1800
90.000000 124.184 -34.4385
91.199997 124.122 -34.6766
92.500000 124.002 -34.9486
93.800003 123.955 -35.1952
95.000000 123.829 -35.5175
96.199997 123.760 -35.5695
97.500000 123.678 -35.9077
98.800003 123.550 -35.9713
100.000000 123.520 -36.3438
101.500000 123.411 -36.8604
103.000000 123.319 -36.5337
104.400002 123.154 -36.8757
106.000000 123.107 -36.9009
107.500000 122.960 -37.3862
109.000000 122.886 -37.0198
110.599998 122.775 -37.3978
112.000000 122.674 -37.4664
113.800003 122.559 -37.5798
115.000000 122.489 -37.8501
117.199997 122.329 -37.6772
118.000000 122.255 -37.5678
120.599998 122.127 -38.1503
122.000000 122.007 -37.7043
124.099998 121.920 -38.0280
125.000000 121.862 -37.9859
126.500000 121.769 -37.9162
128.000000 121.648 -37.4498
131.500000 121.493 -37.8907
132.000000 121.442 -37.8794
134.000000 121.304 -37.7939
136.000000 121.219 -37.5797
138.000000 121.010 -37.4494
140.000000 121.045 -37.6367
143.000000 120.793 -37.3052
145.000000 120.730 -36.9820
147.500000 120.649 -36.7807
150.000000 120.523 -36.8804
152.500000 120.328 -36.3333
155.000000 120.195 -36.4330
157.500000 120.081 -36.7736
160.000000 120.047 -35.6264
162.500000 119.876 -35.5296
165.000000 119.792 -35.6144
167.500000 119.743 -35.0835
170.000000 119.702 -35.0801
172.500000 119.388 -34.3247
175.000000 119.301 -34.1683
177.500000 119.152 -34.5702
180.000000 119.048 -34.6767
182.500000 118.907 -34.3753
185.000000 118.936 -34.1500
187.500000 118.614 -34.0382
190.000000 118.515 -33.1491
192.500000 118.205 -33.3140
195.000000 118.094 -32.7032
197.500000 117.962 -33.5220
200.000000 117.951 -32.0922
203.000000 117.819 -30.7469
206.000000 117.321 -28.1974
209.000000 117.305 -27.2067
212.000000 117.052 -25.2972
214.000000 116.956 -25.1434
218.000000 117.036 -23.5792
220.000000 117.008 -22.8226
224.000000 116.757 -19.5279
227.000000 116.701 -18.4674
230.000000 116.575 -16.3169
233.000000 116.437 -14.9633
236.000000 116.300 -11.9112
240.000000 116.148 -7.0169
243.000000 116.123 -0.9444
247.000000 116.752 9.8427
250.000000 118.477 17.9904
254.000000 122.003 12.0636
258.000000 122.621 -8.8559
262.000000 121.484 -18.2751
265.000000 120.748 -20.6494
269.000000 120.094 -21.4442
272.000000 119.746 -21.5283
276.000000 119.411 -21.1263
280.000000 119.159 -20.5938
285.000000 118.942 -20.0016
290.000000 118.791 -19.3227
295.000000 118.662 -18.7940
300.000000 118.524 -18.1052
304.000000 118.439 -17.5763
307.000000 118.412 -17.1950
311.000000 118.350 -17.0799
315.000000 118.302 -16.8746
320.000000 118.103 -15.9320
325.000000 118.203 -14.4164
330.000000 118.291 -14.2211
335.000000 118.228 -14.2308
340.000000 118.229 -13.8303
345.000000 118.228 -13.7728
350.000000 118.194 -13.5182
355.000000 118.182 -13.1955
360.000000 118.161 -13.0749
365.000000 118.142 -12.7447
370.000000 118.121 -12.5306
375.000000 118.099 -12.2888
382.000000 118.062 -12.0961
387.000000 118.052 -11.9397
395.000000 118.001 -11.5881
400.000000 118.001 -11.4687
406.000000 117.954 -11.2461
412.000000 117.930 -11.1391
418.000000 117.859 -10.8568
425.000000 117.789 -10.5483
431.000000 117.742 -9.8966
437.000000 117.697 -9.3949
444.000000 117.677 -8.5628
450.000000 117.711 -8.0897
455.000000 117.714 -7.7014
462.000000 117.734 -7.2223
468.000000 117.760 -7.0503
475.000000 117.770 -6.6483
482.000000 117.785 -6.3942
487.000000 117.778 -6.5174
494.000000 117.757 -6.0406
500.000000 117.789 -5.8803
508.000000 117.805 -5.6629
515.000000 117.787 -5.4149
522.000000 117.793 -5.4179
530.000000 117.784 -4.9672
538.000000 117.771 -4.9296
545.000000 117.760 -4.6348
552.000000 117.761 -4.4590
560.000000 117.749 -4.2058
570.000000 117.733 -4.0049
580.000000 117.720 -3.7415
590.000000 117.703 -3.3687
600.000000 117.714 -3.2721
608.000000 117.693 -2.9221
615.000000 117.695 -2.7454
622.000000 117.675 -2.4515
630.000000 117.649 -2.1356
640.000000 117.641 -1.9533
650.000000 117.641 -1.5645
660.000000 117.614 -1.3969
670.000000 117.610 -1.0033
680.000000 117.612 -0.6846
690.000000 117.584 -0.3424
700.000000 117.573 -0.0223
710.000000 117.565 0.4333
720.000000 117.555 0.7775
730.000000 117.555 1.0918
740.000000 117.554 1.5870
750.000000 117.546 1.7734
762.000000 117.531 2.3836
775.000000 117.536 2.6737
788.000000 117.565 3.3836
800.000000 117.549 3.6066
812.000000 117.559 4.1912
825.000000 117.562 4.8259
838.000000 117.564 5.3034
850.000000 117.597 5.7783
862.000000 117.599 6.2943
875.000000 117.625 6.7276
885.000000 117.669 7.0927
900.000000 117.676 7.7939
912.000000 117.702 8.1051
925.000000 117.746 8.6345
938.000000 117.805 9.0284
950.000000 117.838 9.6133
962.000000 117.888 10.0618
975.000000 117.922 10.3926
988.000000 117.981 10.7781
1000.000000 117.983 11.5152
1015.000000 118.098 11.2808
1030.000000 118.164 11.7781
1044.000000 118.248 12.0598
1060.000000 118.296 12.3007
1075.000000 118.361 12.5676
1090.000000 118.449 12.8746
1106.000000 118.537 13.0950
1120.000000 118.589 13.2394
1138.000000 118.650 13.2742
1150.000000 118.692 13.4010
1172.000000 118.814 13.4808
1180.000000 118.793 13.4801
1206.000000 118.908 13.6538
1220.000000 118.951 13.7655
1241.000000 119.011 13.7748
1250.000000 119.037 13.9252
1265.000000 119.091 13.9208
1280.000000 119.139 13.8309
1315.000000 119.219 14.1630
1320.000000 119.223 13.9531
1340.000000 119.252 14.0356
1360.000000 119.289 14.1421
1380.000000 119.342 14.4456
1400.000000 119.386 14.4194
1430.000000 119.422 14.7062
1450.000000 119.460 14.6983
1475.000000 119.515 15.0932
1500.000000 119.539 15.1937
1525.000000 119.607 15.5776
1550.000000 119.665 15.7918
1575.000000 119.725 16.0742
1600.000000 119.771 16.3046
1625.000000 119.842 16.4344
1650.000000 119.900 16.9417
1675.000000 119.978 17.0406
1700.000000 120.038 17.4815
1725.000000 120.101 17.7917
1750.000000 120.194 18.1484
1775.000000 120.278 18.4468
1800.000000 120.353 18.6523
1825.000000 120.455 19.0406
1850.000000 120.542 19.2825
1875.000000 120.674 19.4265
1900.000000 120.749 19.7350
1925.000000 120.872 20.0298
1950.000000 120.995 20.0941
1975.000000 121.131 20.2703
2000.000000 121.252 20.3722
2030.000000 121.397 20.6464
2060.000000 121.564 20.7503
2090.000000 121.711 20.8078
2120.000000 121.889 20.8485
2140.000000 122.011 20.7527
2180.000000 122.254 20.5756
2200.000000 122.376 20.4498
2240.000000 122.638 20.0326
2270.000000 122.832 19.6323
2300.000000 123.023 19.1516
2330.000000 123.207 18.5911
2360.000000 123.405 17.9458
2400.000000 123.677 16.9908
2430.000000 123.858 16.0203
2470.000000 124.097 14.7128
2500.000000 124.280 13.5215
2540.000000 124.469 11.7769
2580.000000 124.645 10.0241
2620.000000 124.805 8.0873
2650.000000 124.888 6.5347
2690.000000 124.971 4.4833
2720.000000 125.010 2.7437
2760.000000 125.046 0.7303
2800.000000 125.028 -1.2720
2850.000000 124.973 -3.6905
2900.000000 124.858 -5.8231
2950.000000 124.742 -7.9665
3000.000000 124.580 -9.4376
3040.000000 124.462 -10.8560
3070.000000 124.363 -11.6911
3110.000000 124.238 -12.7205
3150.000000 124.095 -13.4984
3200.000000 123.947 -14.6912
3250.000000 123.786 -15.7031
3300.000000 123.616 -16.4057
3350.000000 123.441 -17.2965
3400.000000 123.274 -17.8533
3450.000000 123.127 -18.4807
3500.000000 122.966 -19.0757
3550.000000 122.800 -19.6426
3600.000000 122.633 -20.0834
3650.000000 122.475 -20.4290
3700.000000 122.286 -20.9327
3750.000000 122.095 -21.2676
3820.000000 121.849 -21.5904
3870.000000 121.607 -21.9062
3950.000000 121.211 -21.6778
4000.000000 120.918 -21.3369
4060.000000 120.664 -20.9386
4120.000000 120.340 -19.5068
4180.000000 120.008 -17.3836
4250.000000 119.745 -14.1212
4310.000000 119.705 -11.1139
4370.000000 119.820 -7.6840
4440.000000 120.119 -4.8900
4500.000000 120.498 -3.5748
4550.000000 120.798 -2.9118
4620.000000 121.169 -3.0700
4680.000000 121.463 -3.9855
4750.000000 121.669 -5.1324
4820.000000 121.786 -6.7882
4870.000000 121.789 -7.9593
4940.000000 121.735 -9.6441
5000.000000 121.605 -10.7712
5080.000000 121.374 -12.1590
5150.000000 121.120 -12.7404
5220.000000 120.775 -12.4623
5300.000000 120.445 -11.8740
5380.000000 120.182 -10.0004
5450.000000 120.010 -8.2687
5520.000000 119.926 -6.3901
