* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.760. Timing signal peak level -10.5 dBFS, measurement signal peak level -7.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 26, 2023 11:17:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0169 ms (-5.8 mm, -0.23 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L OH700VB Forward Positio
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 148.108 -157.3146
20.600000 148.108 -158.2381
20.900000 148.103 -159.0773
21.200001 148.098 -159.9208
21.400000 148.094 -160.4879
21.799999 148.088 -161.6263
22.000000 148.084 -162.1915
22.400000 148.078 -163.2978
22.700001 148.073 -164.0987
23.000000 148.068 -164.8750
23.299999 148.063 -165.6338
23.600000 148.056 -166.3807
24.000000 148.043 -167.3618
24.299999 148.030 -168.0826
24.700001 148.010 -169.0158
25.000000 147.994 -169.6933
25.400000 147.975 -170.5748
25.799999 147.958 -171.4484
26.200001 147.940 -172.3231
26.500000 147.925 -172.9739
26.900000 147.899 -173.8194
27.200001 147.878 -174.4287
27.600000 147.850 -175.2099
28.000000 147.823 -175.9754
28.500000 147.790 -176.9428
29.000000 147.753 -177.9202
29.500000 147.709 -178.8659
30.000000 147.665 -179.7499
30.400000 147.634 179.5742
30.700001 147.612 179.0705
31.100000 147.584 178.3912
31.500000 147.553 177.7072
32.000000 147.511 176.8705
32.500000 147.466 176.0744
33.000000 147.423 175.3110
33.500000 147.380 174.5598
34.000000 147.337 173.8145
34.500000 147.291 173.0831
35.000000 147.244 172.3692
35.500000 147.195 171.6682
36.000000 147.145 170.9785
36.500000 147.094 170.3057
37.000000 147.043 169.6537
37.500000 146.991 169.0185
38.200001 146.920 168.1490
38.700001 146.868 167.5446
39.500000 146.783 166.6130
40.000000 146.730 166.0474
40.599998 146.667 165.3797
41.200001 146.605 164.7219
41.799999 146.541 164.0746
42.500000 146.464 163.3436
43.099998 146.395 162.7498
43.700001 146.327 162.1778
44.400002 146.250 161.5117
45.000000 146.184 160.9384
45.500000 146.128 160.4717
46.200001 146.049 159.8466
46.799999 145.981 159.3346
47.500000 145.900 158.7572
48.200001 145.819 158.1927
48.700001 145.761 157.7936
49.400002 145.679 157.2472
50.000000 145.608 156.7999
50.799999 145.514 156.2254
51.500000 145.432 155.7303
52.200001 145.349 155.2486
53.000000 145.256 154.7184
53.799999 145.163 154.2058
54.500000 145.078 153.7851
55.200001 144.995 153.3912
56.000000 144.902 152.9465
57.000000 144.783 152.4023
58.000000 144.662 151.9111
59.000000 144.543 151.4206
60.000000 144.423 150.9252
60.799999 144.329 150.5742
61.500000 144.250 150.2892
62.200001 144.168 150.0115
63.000000 144.071 149.7126
64.000000 143.950 149.3540
65.000000 143.832 149.0034
66.000000 143.717 148.6835
67.000000 143.599 148.3975
68.000000 143.480 148.1364
69.000000 143.361 147.8763
70.000000 143.245 147.6531
71.000000 143.130 147.4442
72.000000 143.012 147.2673
73.000000 142.897 147.1102
74.000000 142.782 146.9586
75.000000 142.668 146.8438
76.199997 142.532 146.7089
77.500000 142.386 146.6047
78.800003 142.244 146.5329
80.000000 142.113 146.4698
81.199997 141.980 146.4596
82.500000 141.841 146.4879
83.800003 141.702 146.5097
85.000000 141.576 146.5759
86.199997 141.450 146.6616
87.500000 141.317 146.7748
88.500000 141.219 146.8696
90.000000 141.067 147.0829
91.199997 140.951 147.2684
92.500000 140.827 147.4452
93.800003 140.704 147.7084
95.000000 140.596 147.9209
96.199997 140.485 148.1742
97.500000 140.374 148.4677
98.800003 140.262 148.7863
100.000000 140.160 149.0633
101.500000 140.040 149.4895
103.000000 139.924 149.9015
104.400002 139.815 150.3289
106.000000 139.697 150.8122
107.500000 139.590 151.2903
109.000000 139.486 151.8149
110.599998 139.381 152.3559
112.000000 139.297 152.8646
113.800003 139.186 153.4968
115.000000 139.114 153.9398
117.199997 139.001 154.7615
118.000000 138.959 155.0606
120.599998 138.842 156.1035
122.000000 138.773 156.6381
124.099998 138.691 157.4478
125.000000 138.655 157.8075
126.500000 138.600 158.4111
128.000000 138.552 159.0036
131.500000 138.445 160.3773
132.000000 138.433 160.5787
134.000000 138.384 161.3369
136.000000 138.343 162.1428
138.000000 138.304 162.9034
140.000000 138.268 163.6529
143.000000 138.231 164.7280
145.000000 138.213 165.4982
147.500000 138.192 166.3656
150.000000 138.182 167.2261
152.500000 138.174 168.0470
155.000000 138.172 168.8552
157.500000 138.177 169.6009
160.000000 138.183 170.3647
162.500000 138.193 171.0725
165.000000 138.211 171.7445
167.500000 138.228 172.4178
170.000000 138.249 173.0309
172.500000 138.268 173.6478
175.000000 138.296 174.2258
177.500000 138.327 174.7865
180.000000 138.350 175.3142
182.500000 138.382 175.8123
185.000000 138.416 176.3056
187.500000 138.446 176.7819
190.000000 138.477 177.1924
192.500000 138.510 177.5908
195.000000 138.548 178.0050
197.500000 138.580 178.3595
200.000000 138.615 178.7275
203.000000 138.659 179.1269
206.000000 138.700 179.5313
209.000000 138.738 179.8925
212.000000 138.777 -179.7905
214.000000 138.810 -179.5657
218.000000 138.865 -179.1579
220.000000 138.891 -178.9723
224.000000 138.941 -178.6148
227.000000 138.983 -178.3705
230.000000 139.020 -178.1123
233.000000 139.057 -177.8932
236.000000 139.096 -177.6914
240.000000 139.145 -177.4020
243.000000 139.178 -177.1963
247.000000 139.222 -177.0149
250.000000 139.258 -176.8531
254.000000 139.302 -176.6656
258.000000 139.341 -176.4908
262.000000 139.382 -176.3229
265.000000 139.411 -176.2027
269.000000 139.449 -176.0554
272.000000 139.478 -175.9280
276.000000 139.512 -175.8526
280.000000 139.551 -175.7170
285.000000 139.590 -175.5859
290.000000 139.629 -175.4566
295.000000 139.665 -175.3408
300.000000 139.702 -175.2319
304.000000 139.729 -175.1635
307.000000 139.749 -175.1239
311.000000 139.776 -175.0614
315.000000 139.801 -174.9808
320.000000 139.829 -174.9084
325.000000 139.858 -174.8633
330.000000 139.882 -174.7915
335.000000 139.904 -174.7519
340.000000 139.930 -174.6915
345.000000 139.952 -174.6664
350.000000 139.970 -174.6328
355.000000 139.990 -174.5703
360.000000 140.007 -174.5491
365.000000 140.027 -174.5254
370.000000 140.039 -174.4855
375.000000 140.052 -174.4413
382.000000 140.075 -174.4134
387.000000 140.085 -174.3769
395.000000 140.102 -174.3169
400.000000 140.112 -174.2902
406.000000 140.124 -174.2574
412.000000 140.134 -174.2091
418.000000 140.140 -174.1788
425.000000 140.144 -174.1268
431.000000 140.145 -174.0739
437.000000 140.150 -174.0061
444.000000 140.149 -173.9474
450.000000 140.152 -173.8422
455.000000 140.154 -173.7840
462.000000 140.158 -173.6709
468.000000 140.159 -173.5769
475.000000 140.161 -173.4744
482.000000 140.163 -173.3430
487.000000 140.167 -173.2876
494.000000 140.167 -173.1331
500.000000 140.168 -173.0198
508.000000 140.171 -172.8750
515.000000 140.174 -172.7467
522.000000 140.178 -172.5899
530.000000 140.179 -172.4372
538.000000 140.182 -172.2833
545.000000 140.184 -172.1455
552.000000 140.186 -171.9999
560.000000 140.186 -171.8334
570.000000 140.190 -171.6011
580.000000 140.196 -171.3707
590.000000 140.202 -171.1641
600.000000 140.205 -170.9112
608.000000 140.207 -170.7198
615.000000 140.212 -170.5626
622.000000 140.213 -170.3946
630.000000 140.218 -170.1714
640.000000 140.225 -169.9130
650.000000 140.229 -169.6600
660.000000 140.236 -169.3730
670.000000 140.241 -169.1117
680.000000 140.254 -168.8317
690.000000 140.260 -168.5311
700.000000 140.268 -168.2234
710.000000 140.283 -167.9268
720.000000 140.293 -167.6308
730.000000 140.308 -167.3045
740.000000 140.322 -166.9877
750.000000 140.342 -166.6673
762.000000 140.362 -166.2586
775.000000 140.392 -165.8340
788.000000 140.422 -165.4031
800.000000 140.452 -165.0195
812.000000 140.482 -164.5807
825.000000 140.522 -164.1510
838.000000 140.567 -163.7074
850.000000 140.611 -163.3236
862.000000 140.653 -162.9109
875.000000 140.710 -162.5072
885.000000 140.750 -162.1703
900.000000 140.821 -161.7262
912.000000 140.877 -161.3926
925.000000 140.948 -161.0206
938.000000 141.019 -160.6716
950.000000 141.086 -160.3992
962.000000 141.155 -160.1086
975.000000 141.232 -159.8443
988.000000 141.311 -159.5801
1000.000000 141.387 -159.4430
1015.000000 141.479 -159.1767
1030.000000 141.573 -159.0015
1044.000000 141.661 -158.8757
1060.000000 141.764 -158.7417
1075.000000 141.856 -158.6936
1090.000000 141.949 -158.6507
1106.000000 142.045 -158.6510
1120.000000 142.131 -158.6900
1138.000000 142.232 -158.7711
1150.000000 142.298 -158.8584
1172.000000 142.414 -159.0196
1180.000000 142.455 -159.0830
1206.000000 142.579 -159.3613
1220.000000 142.641 -159.5311
1241.000000 142.728 -159.7714
1250.000000 142.767 -159.8932
1265.000000 142.822 -160.0907
1280.000000 142.879 -160.2848
1315.000000 142.993 -160.7568
1320.000000 143.011 -160.8080
1340.000000 143.067 -161.0950
1360.000000 143.124 -161.3421
1380.000000 143.175 -161.6031
1400.000000 143.224 -161.8494
1430.000000 143.293 -162.2233
1450.000000 143.334 -162.4336
1475.000000 143.384 -162.7059
1500.000000 143.432 -162.9453
1525.000000 143.479 -163.1832
1550.000000 143.523 -163.4222
1575.000000 143.566 -163.6410
1600.000000 143.609 -163.8317
1625.000000 143.652 -164.0336
1650.000000 143.694 -164.2055
1675.000000 143.738 -164.4106
1700.000000 143.781 -164.5714
1725.000000 143.824 -164.7450
1750.000000 143.869 -164.8949
1775.000000 143.913 -165.0715
1800.000000 143.957 -165.2241
1825.000000 144.004 -165.4056
1850.000000 144.052 -165.5526
1875.000000 144.098 -165.7295
1900.000000 144.147 -165.8958
1925.000000 144.197 -166.0672
1950.000000 144.248 -166.2482
1975.000000 144.301 -166.4468
2000.000000 144.350 -166.6024
2030.000000 144.412 -166.8811
2060.000000 144.481 -167.1553
2090.000000 144.544 -167.4392
2120.000000 144.608 -167.7439
2140.000000 144.651 -167.9585
2180.000000 144.739 -168.3868
2200.000000 144.780 -168.6320
2240.000000 144.868 -169.1410
2270.000000 144.930 -169.5363
2300.000000 144.991 -169.9561
2330.000000 145.052 -170.3840
2360.000000 145.113 -170.8436
2400.000000 145.192 -171.4834
2430.000000 145.250 -171.9807
2470.000000 145.321 -172.6925
2500.000000 145.374 -173.2230
2540.000000 145.441 -173.9782
2580.000000 145.500 -174.7728
2620.000000 145.557 -175.5744
2650.000000 145.599 -176.1843
2690.000000 145.647 -177.0438
2720.000000 145.680 -177.6852
2760.000000 145.720 -178.5747
2800.000000 145.752 -179.4666
2850.000000 145.787 179.3876
2900.000000 145.812 178.2485
2950.000000 145.827 177.0829
3000.000000 145.833 175.9070
3040.000000 145.834 175.0194
3070.000000 145.830 174.3366
3110.000000 145.820 173.4364
3150.000000 145.806 172.5542
3200.000000 145.783 171.4497
3250.000000 145.755 170.4011
3300.000000 145.720 169.3301
3350.000000 145.681 168.3193
3400.000000 145.638 167.3812
3450.000000 145.605 166.4044
3500.000000 145.562 165.4210
3550.000000 145.518 164.4161
3600.000000 145.466 163.4036
3650.000000 145.406 162.4095
3700.000000 145.345 161.4247
3750.000000 145.269 160.4432
3820.000000 145.162 159.0840
3870.000000 145.076 158.1242
3950.000000 144.921 156.6160
4000.000000 144.812 155.7211
4060.000000 144.671 154.6332
4120.000000 144.518 153.6282
4180.000000 144.349 152.6745
4250.000000 144.135 151.6345
4310.000000 143.934 150.8402
4370.000000 143.725 150.1796
4440.000000 143.458 149.5242
4500.000000 143.228 149.1246
4550.000000 143.019 148.8912
4620.000000 142.731 148.7883
4680.000000 142.476 148.8572
4750.000000 142.183 149.1411
4820.000000 141.890 149.6635
4870.000000 141.692 150.1931
4940.000000 141.420 151.0471
5000.000000 141.206 151.9779
5080.000000 140.932 153.3387
5150.000000 140.713 154.7034
5220.000000 140.514 156.1427
5300.000000 140.307 158.0054
