* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 24, 2025 3:19:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R P50 clear 528
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.709 -147.1293
20.600000 85.731 -147.8851
20.900000 85.742 -148.5270
21.200001 85.755 -149.1627
21.400000 85.766 -149.6122
21.799999 85.795 -150.6018
22.000000 85.809 -151.1440
22.400000 85.833 -152.2859
22.700001 85.844 -153.1287
23.000000 85.852 -153.8979
23.299999 85.863 -154.5689
23.600000 85.880 -155.1507
24.000000 85.916 -155.8360
24.299999 85.948 -156.3308
24.700001 85.990 -157.0048
25.000000 86.014 -157.5240
25.400000 86.034 -158.2200
25.799999 86.042 -158.9131
26.200001 86.045 -159.6217
26.500000 86.045 -160.1789
26.900000 86.041 -160.9588
27.200001 86.034 -161.5550
27.600000 86.022 -162.3288
28.000000 86.011 -163.0432
28.500000 86.008 -163.8452
29.000000 86.018 -164.5873
29.500000 86.034 -165.3063
30.000000 86.048 -166.0051
30.400000 86.057 -166.5467
30.700001 86.063 -166.9484
31.100000 86.071 -167.4959
31.500000 86.078 -168.0745
32.000000 86.082 -168.8521
32.500000 86.074 -169.6667
33.000000 86.054 -170.4643
33.500000 86.027 -171.1968
34.000000 85.999 -171.8508
34.500000 85.978 -172.4570
35.000000 85.962 -173.0598
35.500000 85.947 -173.6817
36.000000 85.927 -174.3083
36.500000 85.902 -174.9111
37.000000 85.876 -175.4753
37.500000 85.852 -176.0091
38.200001 85.824 -176.7437
38.700001 85.806 -177.2768
39.500000 85.775 -178.1266
40.000000 85.753 -178.6305
40.599998 85.727 -179.2069
41.200001 85.704 -179.7919
41.799999 85.678 179.5910
42.500000 85.644 178.8715
43.099998 85.618 178.3011
43.700001 85.599 177.7712
44.400002 85.578 177.1992
45.000000 85.556 176.7593
45.500000 85.537 176.4034
46.200001 85.502 175.8649
46.799999 85.459 175.4025
47.500000 85.407 174.9571
48.200001 85.367 174.5087
48.700001 85.333 174.1135
49.400002 85.266 173.5507
50.000000 85.223 173.0912
50.799999 85.208 172.1793
51.500000 85.169 171.2131
52.200001 85.106 170.7884
53.000000 85.107 170.8782
53.799999 85.128 170.5534
54.500000 85.054 170.0580
55.200001 84.940 169.7932
56.000000 84.846 169.4493
57.000000 84.759 168.7041
58.000000 84.719 167.9232
59.000000 84.676 167.3642
60.000000 84.634 167.2686
60.799999 84.585 166.9573
61.500000 84.507 166.5481
62.200001 84.437 166.1697
63.000000 84.383 165.7233
64.000000 84.322 165.3359
65.000000 84.278 164.9915
66.000000 84.209 164.4753
67.000000 84.133 164.1379
68.000000 84.070 163.7742
69.000000 83.988 163.3597
70.000000 83.912 163.0577
71.000000 83.850 162.7463
72.000000 83.780 162.4065
73.000000 83.716 162.0955
74.000000 83.651 161.8604
75.000000 83.592 161.7440
76.199997 83.509 161.2495
77.500000 83.403 160.9592
78.800003 83.338 160.7126
80.000000 83.231 160.5079
81.199997 83.144 160.2547
82.500000 83.081 160.0818
83.800003 83.008 159.8621
85.000000 82.907 159.6407
86.199997 82.825 159.5424
87.500000 82.766 159.3428
88.500000 82.686 159.2773
90.000000 82.601 159.1962
91.199997 82.503 159.0931
92.500000 82.444 159.0950
93.800003 82.359 158.9211
95.000000 82.285 158.9453
96.199997 82.203 158.8387
97.500000 82.130 158.8661
98.800003 82.061 158.7211
100.000000 82.008 158.8260
101.500000 81.893 158.8516
103.000000 81.807 159.0496
104.400002 81.765 158.9864
106.000000 81.704 158.9695
107.500000 81.616 158.9795
109.000000 81.517 158.9790
110.599998 81.415 159.1528
112.000000 81.337 159.2738
113.800003 81.258 159.3592
115.000000 81.224 159.3672
117.199997 81.132 159.6873
118.000000 81.097 159.7141
120.599998 80.981 160.0084
122.000000 80.924 160.2112
124.099998 80.854 160.3255
125.000000 80.825 160.5826
126.500000 80.740 160.6226
128.000000 80.712 160.8723
131.500000 80.577 161.2350
132.000000 80.564 161.3227
134.000000 80.505 161.6306
136.000000 80.454 161.9364
138.000000 80.378 162.2447
140.000000 80.334 162.4803
143.000000 80.260 162.9409
145.000000 80.202 163.2972
147.500000 80.154 163.5436
150.000000 80.091 163.8813
152.500000 80.060 164.3175
155.000000 79.993 164.7222
157.500000 79.973 165.0648
160.000000 79.914 165.4693
162.500000 79.885 165.6226
165.000000 79.845 166.1251
167.500000 79.822 166.4408
170.000000 79.792 166.7827
172.500000 79.757 167.1446
175.000000 79.744 167.4633
177.500000 79.706 167.8282
180.000000 79.699 168.0471
182.500000 79.675 168.3577
185.000000 79.656 168.7545
187.500000 79.656 168.8804
190.000000 79.631 169.3311
192.500000 79.621 169.4243
195.000000 79.605 169.8919
197.500000 79.590 169.9780
200.000000 79.588 170.3495
203.000000 79.581 170.6962
206.000000 79.581 170.9167
209.000000 79.549 171.0966
212.000000 79.539 171.5811
214.000000 79.537 171.5721
218.000000 79.563 171.8580
220.000000 79.566 172.1913
224.000000 79.554 172.2875
227.000000 79.529 172.6017
230.000000 79.570 172.6070
233.000000 79.520 172.9303
236.000000 79.592 173.3594
240.000000 79.564 173.1315
243.000000 79.554 174.0438
247.000000 79.556 174.0175
250.000000 79.530 173.8264
254.000000 79.526 174.2712
258.000000 79.554 174.7593
262.000000 79.557 174.8330
265.000000 79.562 174.8473
269.000000 79.549 175.0256
272.000000 79.541 175.1791
276.000000 79.570 175.2533
280.000000 79.538 175.4003
285.000000 79.572 175.7817
290.000000 79.529 175.8616
295.000000 79.586 176.0361
300.000000 79.533 175.9648
304.000000 79.536 176.1923
307.000000 79.558 176.1927
311.000000 79.570 176.4129
315.000000 79.549 176.6222
320.000000 79.577 176.7057
325.000000 79.564 176.8202
330.000000 79.557 176.9312
335.000000 79.541 177.0452
340.000000 79.516 177.2998
345.000000 79.540 177.4089
350.000000 79.534 177.2505
355.000000 79.481 177.3438
360.000000 79.508 177.8291
365.000000 79.506 177.8078
370.000000 79.438 177.8577
375.000000 79.424 177.7226
382.000000 79.444 177.8511
387.000000 79.489 177.9557
395.000000 79.468 178.2198
400.000000 79.424 178.5035
406.000000 79.451 178.4397
412.000000 79.386 178.6798
418.000000 79.417 178.7912
425.000000 79.360 178.8914
431.000000 79.357 179.0868
437.000000 79.341 179.0977
444.000000 79.321 179.2940
450.000000 79.306 179.4232
455.000000 79.312 179.6728
462.000000 79.300 179.7147
468.000000 79.242 179.7180
475.000000 79.290 179.8784
482.000000 79.150 -179.8859
487.000000 79.175 -179.5592
494.000000 79.220 -179.8501
500.000000 79.177 -179.5408
508.000000 79.123 -179.2139
515.000000 79.117 -178.9168
522.000000 79.100 -178.6976
530.000000 79.076 -178.5824
538.000000 79.041 -178.2883
545.000000 79.021 -177.9991
552.000000 79.011 -177.8003
560.000000 78.968 -177.6378
570.000000 78.905 -177.1848
580.000000 78.906 -176.8928
590.000000 78.854 -176.5264
600.000000 78.850 -176.2203
608.000000 78.850 -175.7912
615.000000 78.793 -175.5149
622.000000 78.777 -175.1019
630.000000 78.751 -174.7464
640.000000 78.701 -174.4769
650.000000 78.700 -173.7908
660.000000 78.691 -173.3963
670.000000 78.648 -172.9911
680.000000 78.659 -172.5762
690.000000 78.624 -172.0682
700.000000 78.616 -171.4350
710.000000 78.607 -171.0137
720.000000 78.605 -170.5272
730.000000 78.564 -169.7859
740.000000 78.552 -169.4130
750.000000 78.558 -168.7561
762.000000 78.568 -168.1312
775.000000 78.567 -167.3481
788.000000 78.584 -166.6963
800.000000 78.587 -166.0249
812.000000 78.591 -165.1804
825.000000 78.630 -164.4870
838.000000 78.658 -163.6526
850.000000 78.683 -162.9972
862.000000 78.699 -162.3177
875.000000 78.768 -161.5614
885.000000 78.810 -160.9656
900.000000 78.856 -160.2631
912.000000 78.933 -159.4756
925.000000 79.002 -158.8736
938.000000 79.074 -158.0418
950.000000 79.133 -157.6933
962.000000 79.208 -157.1255
975.000000 79.306 -156.5220
988.000000 79.391 -155.9756
1000.000000 79.506 -154.7861
1015.000000 79.574 -154.9672
1030.000000 79.693 -154.6639
1044.000000 79.799 -154.2797
1060.000000 79.902 -153.7350
1075.000000 80.016 -153.4550
1090.000000 80.131 -153.1056
1106.000000 80.238 -152.9522
1120.000000 80.326 -152.7428
1138.000000 80.448 -152.5664
1150.000000 80.539 -152.3665
1172.000000 80.668 -152.2415
1180.000000 80.712 -152.3657
1206.000000 80.864 -152.1373
1220.000000 80.940 -152.2897
1241.000000 81.054 -152.1113
1250.000000 81.089 -152.1117
1265.000000 81.156 -152.2337
1280.000000 81.227 -152.2001
1315.000000 81.381 -152.2405
1320.000000 81.388 -152.3174
1340.000000 81.451 -152.2835
1360.000000 81.556 -152.3650
1380.000000 81.604 -152.3931
1400.000000 81.673 -152.2919
1430.000000 81.763 -152.2869
1450.000000 81.816 -152.3423
1475.000000 81.883 -152.3329
1500.000000 81.980 -152.1975
1525.000000 82.048 -152.1397
1550.000000 82.104 -152.0281
1575.000000 82.183 -151.9502
1600.000000 82.234 -151.8303
1625.000000 82.312 -151.6454
1650.000000 82.389 -151.3654
1675.000000 82.468 -151.2305
1700.000000 82.541 -151.2002
1725.000000 82.603 -151.0464
1750.000000 82.702 -150.8617
1775.000000 82.789 -150.6612
1800.000000 82.873 -150.6148
1825.000000 82.966 -150.3878
1850.000000 83.051 -150.3539
1875.000000 83.150 -150.0911
1900.000000 83.253 -150.0336
1925.000000 83.356 -149.9351
1950.000000 83.458 -149.8195
1975.000000 83.578 -149.7790
2000.000000 83.755 -149.1177
2030.000000 83.813 -149.7210
2060.000000 83.973 -149.6520
2090.000000 84.093 -149.6834
2120.000000 84.241 -149.6924
2140.000000 84.372 -149.7672
2180.000000 84.573 -149.9185
2200.000000 84.668 -150.0128
2240.000000 84.886 -150.3314
2270.000000 85.055 -150.6133
2300.000000 85.226 -150.9801
2330.000000 85.383 -151.3716
2360.000000 85.557 -151.8580
2400.000000 85.779 -152.5001
2430.000000 85.943 -153.1517
2470.000000 86.156 -154.0701
2500.000000 86.318 -154.8941
2540.000000 86.528 -156.0331
2580.000000 86.727 -157.3414
2620.000000 86.921 -158.5811
2650.000000 87.055 -159.8320
2690.000000 87.221 -161.3857
2720.000000 87.331 -162.6285
2760.000000 87.462 -164.3941
2800.000000 87.583 -166.2640
2850.000000 87.677 -168.6033
2900.000000 87.747 -171.0618
2950.000000 87.767 -173.5583
3000.000000 87.815 -175.8208
3040.000000 87.706 -177.8971
3070.000000 87.678 -179.2550
3110.000000 87.594 178.9657
3150.000000 87.514 177.2652
3200.000000 87.366 175.3068
3250.000000 87.209 173.4442
3300.000000 87.025 171.8735
3350.000000 86.854 170.3793
3400.000000 86.660 169.1174
3450.000000 86.469 168.0994
3500.000000 86.300 167.2608
3550.000000 86.104 166.4470
3600.000000 85.935 165.7361
3650.000000 85.776 165.1541
3700.000000 85.624 164.7139
3750.000000 85.459 164.3853
3820.000000 85.264 163.9464
3870.000000 85.149 163.8014
3950.000000 84.961 163.6678
4000.000000 84.889 163.1501
4060.000000 84.752 163.4453
4120.000000 84.659 163.5250
4180.000000 84.590 163.5163
4250.000000 84.520 163.4243
4310.000000 84.487 163.3801
4370.000000 84.482 163.3405
4440.000000 84.454 163.1709
4500.000000 84.432 162.9468
4550.000000 84.460 162.6816
4620.000000 84.441 162.1791
4680.000000 84.456 161.5822
4750.000000 84.445 160.9495
4820.000000 84.470 159.9762
4870.000000 84.445 159.3640
4940.000000 84.399 158.1465
5000.000000 84.343 157.4945
5080.000000 84.236 155.5825
5150.000000 84.132 154.3019
5220.000000 83.990 153.0917
5300.000000 83.760 151.4606
5380.000000 83.498 150.3165
5450.000000 83.258 149.2505
5520.000000 82.949 148.4658
5600.000000 82.600 147.8864
5700.000000 82.130 147.4843
5800.000000 81.702 147.5093
5900.000000 81.225 148.2695
6000.000000 80.756 149.2111
6080.000000 80.498 150.0232
