* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 24, 2025 3:15:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L P50 524
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.800 -142.4200
20.600000 84.836 -143.1770
20.900000 84.867 -143.8746
21.200001 84.898 -144.5862
21.400000 84.920 -145.0691
21.799999 84.964 -146.0450
22.000000 84.986 -146.5303
22.400000 85.029 -147.4759
22.700001 85.059 -148.1503
23.000000 85.087 -148.7897
23.299999 85.113 -149.4003
23.600000 85.139 -149.9938
24.000000 85.172 -150.7812
24.299999 85.195 -151.3827
24.700001 85.221 -152.2025
25.000000 85.237 -152.8194
25.400000 85.255 -153.6210
25.799999 85.271 -154.3752
26.200001 85.289 -155.0787
26.500000 85.304 -155.5835
26.900000 85.324 -156.2436
27.200001 85.338 -156.7385
27.600000 85.355 -157.4040
28.000000 85.369 -158.0782
28.500000 85.384 -158.9354
29.000000 85.396 -159.7955
29.500000 85.403 -160.6153
30.000000 85.408 -161.3556
30.400000 85.415 -161.9095
30.700001 85.421 -162.3318
31.100000 85.426 -162.9371
31.500000 85.422 -163.5864
32.000000 85.401 -164.3852
32.500000 85.379 -165.0759
33.000000 85.379 -165.6704
33.500000 85.403 -166.2780
34.000000 85.432 -166.9603
34.500000 85.444 -167.6476
35.000000 85.438 -168.2500
35.500000 85.429 -168.7820
36.000000 85.424 -169.3453
36.500000 85.417 -169.9898
37.000000 85.402 -170.6558
37.500000 85.384 -171.2579
38.200001 85.371 -171.9787
38.700001 85.369 -172.4763
39.500000 85.357 -173.3176
40.000000 85.343 -173.8535
40.599998 85.324 -174.4902
41.200001 85.306 -175.1094
41.799999 85.288 -175.6921
42.500000 85.266 -176.3227
43.099998 85.247 -176.8585
43.700001 85.226 -177.4265
44.400002 85.195 -178.1056
45.000000 85.167 -178.6336
45.500000 85.148 -179.0206
46.200001 85.131 -179.5616
46.799999 85.113 179.9041
47.500000 85.074 179.2565
48.200001 85.030 178.7029
48.700001 85.009 178.3617
49.400002 84.994 177.8736
50.000000 84.978 177.4158
50.799999 84.932 176.8364
51.500000 84.881 176.4283
52.200001 84.845 176.0156
53.000000 84.817 175.3740
53.799999 84.772 174.6961
54.500000 84.728 174.2713
55.200001 84.695 173.9313
56.000000 84.660 173.4830
57.000000 84.604 172.8999
58.000000 84.556 172.3468
59.000000 84.506 171.7602
60.000000 84.438 171.1989
60.799999 84.387 170.8418
61.500000 84.358 170.5231
62.200001 84.329 170.1429
63.000000 84.284 169.7340
64.000000 84.226 169.2561
65.000000 84.150 168.7631
66.000000 84.082 168.4231
67.000000 84.029 167.9853
68.000000 83.965 167.6109
69.000000 83.923 167.2665
70.000000 83.865 166.8233
71.000000 83.800 166.4692
72.000000 83.740 166.0998
73.000000 83.680 165.8253
74.000000 83.625 165.5168
75.000000 83.552 165.2017
76.199997 83.481 164.8391
77.500000 83.408 164.4778
78.800003 83.334 164.1664
80.000000 83.249 163.9232
81.199997 83.180 163.6461
82.500000 83.101 163.2664
83.800003 83.016 163.0572
85.000000 82.959 162.8911
86.199997 82.879 162.6628
87.500000 82.811 162.4565
88.500000 82.757 162.2265
90.000000 82.661 162.0514
91.199997 82.601 161.8787
92.500000 82.527 161.7068
93.800003 82.466 161.6833
95.000000 82.389 161.5034
96.199997 82.320 161.3860
97.500000 82.249 161.3176
98.800003 82.183 161.2486
100.000000 82.114 161.1089
101.500000 82.045 161.1053
103.000000 81.960 161.0724
104.400002 81.891 161.0206
106.000000 81.814 160.9820
107.500000 81.742 160.9563
109.000000 81.674 160.8714
110.599998 81.592 160.9714
112.000000 81.537 161.0446
113.800003 81.441 161.0749
115.000000 81.385 161.0441
117.199997 81.315 161.2343
118.000000 81.277 161.2263
120.599998 81.152 161.3525
122.000000 81.117 161.4558
124.099998 81.020 161.6096
125.000000 80.987 161.7045
126.500000 80.938 161.7160
128.000000 80.896 161.9189
131.500000 80.764 162.2704
132.000000 80.751 162.2294
134.000000 80.668 162.4219
136.000000 80.607 162.4253
138.000000 80.545 162.6762
140.000000 80.499 163.0115
143.000000 80.416 163.2804
145.000000 80.344 163.5037
147.500000 80.318 163.7807
150.000000 80.244 164.1621
152.500000 80.171 164.2273
155.000000 80.162 164.6479
157.500000 80.076 164.8352
160.000000 80.058 165.2500
162.500000 79.993 165.5195
165.000000 79.971 165.8651
167.500000 79.914 165.8347
170.000000 79.876 166.4412
172.500000 79.863 166.4942
175.000000 79.806 166.8887
177.500000 79.785 167.1909
180.000000 79.767 167.4625
182.500000 79.734 167.7011
185.000000 79.708 167.9528
187.500000 79.688 168.2310
190.000000 79.673 168.4719
192.500000 79.645 168.6735
195.000000 79.644 168.9330
197.500000 79.609 169.1640
200.000000 79.608 169.4322
203.000000 79.571 169.6491
206.000000 79.562 169.9120
209.000000 79.541 170.2750
212.000000 79.533 170.4825
214.000000 79.533 170.6019
218.000000 79.510 170.9663
220.000000 79.510 171.0886
224.000000 79.486 171.4714
227.000000 79.481 171.5677
230.000000 79.478 171.7822
233.000000 79.483 172.0728
236.000000 79.449 172.2502
240.000000 79.434 172.4064
243.000000 79.438 172.5912
247.000000 79.433 172.8032
250.000000 79.424 172.9278
254.000000 79.433 173.0961
258.000000 79.413 173.3235
262.000000 79.412 173.6880
265.000000 79.419 173.8262
269.000000 79.402 173.7995
272.000000 79.383 174.1188
276.000000 79.397 174.3671
280.000000 79.403 174.3073
285.000000 79.359 174.5420
290.000000 79.378 174.8302
295.000000 79.359 174.8331
300.000000 79.366 175.0899
304.000000 79.355 175.1678
307.000000 79.335 175.2568
311.000000 79.358 175.4376
315.000000 79.342 175.6807
320.000000 79.333 175.6997
325.000000 79.284 175.8089
330.000000 79.315 175.9099
335.000000 79.308 176.2032
340.000000 79.294 176.2753
345.000000 79.291 176.3640
350.000000 79.277 176.4409
355.000000 79.270 176.5275
360.000000 79.258 176.6631
365.000000 79.246 176.8896
370.000000 79.222 176.9674
375.000000 79.222 177.1045
382.000000 79.181 177.3555
387.000000 79.190 177.3979
395.000000 79.173 177.6068
400.000000 79.154 177.7181
406.000000 79.147 177.9387
412.000000 79.117 177.9765
418.000000 79.122 178.1149
425.000000 79.071 178.4399
431.000000 79.060 178.5500
437.000000 79.047 178.6124
444.000000 79.025 178.6805
450.000000 78.990 178.9594
455.000000 78.986 179.0382
462.000000 78.942 179.1696
468.000000 78.922 179.3605
475.000000 78.903 179.2291
482.000000 78.938 179.7275
487.000000 78.790 179.9726
494.000000 78.865 -179.9028
500.000000 78.839 -179.7632
508.000000 78.798 -179.5982
515.000000 78.779 -179.2940
522.000000 78.743 -178.9847
530.000000 78.717 -178.8310
538.000000 78.691 -178.4778
545.000000 78.668 -178.3907
552.000000 78.637 -178.0175
560.000000 78.618 -177.8631
570.000000 78.592 -177.3013
580.000000 78.556 -177.0119
590.000000 78.527 -176.5613
600.000000 78.487 -176.1322
608.000000 78.446 -175.8076
615.000000 78.405 -175.5673
622.000000 78.409 -175.1790
630.000000 78.387 -174.8474
640.000000 78.343 -174.3920
650.000000 78.339 -173.9461
660.000000 78.301 -173.3601
670.000000 78.290 -172.9003
680.000000 78.265 -172.3215
690.000000 78.236 -171.8011
700.000000 78.196 -171.2112
710.000000 78.198 -170.6734
720.000000 78.199 -170.0802
730.000000 78.173 -169.4376
740.000000 78.200 -168.8678
750.000000 78.187 -168.1940
762.000000 78.192 -167.4293
775.000000 78.193 -166.7535
788.000000 78.205 -165.9794
800.000000 78.240 -165.1806
812.000000 78.259 -164.4461
825.000000 78.294 -163.6386
838.000000 78.322 -163.0359
850.000000 78.360 -162.0582
862.000000 78.396 -161.5247
875.000000 78.444 -160.7204
885.000000 78.467 -160.0861
900.000000 78.535 -159.4565
912.000000 78.614 -158.7226
925.000000 78.679 -158.0964
938.000000 78.753 -157.5075
950.000000 78.830 -156.8713
962.000000 78.883 -156.2234
975.000000 78.983 -155.6966
988.000000 79.079 -155.2384
1000.000000 79.218 -155.4236
1015.000000 79.274 -154.2587
1030.000000 79.376 -153.6669
1044.000000 79.493 -153.3136
1060.000000 79.604 -152.8459
1075.000000 79.703 -152.6014
1090.000000 79.817 -152.2378
1106.000000 79.932 -152.0298
1120.000000 80.026 -151.9050
1138.000000 80.146 -151.6543
1150.000000 80.223 -151.4552
1172.000000 80.355 -151.5485
1180.000000 80.392 -151.4478
1206.000000 80.566 -151.2924
1220.000000 80.628 -151.3750
1241.000000 80.721 -151.1999
1250.000000 80.773 -151.2349
1265.000000 80.848 -151.1017
1280.000000 80.925 -151.1976
1315.000000 81.050 -151.2358
1320.000000 81.067 -151.3243
1340.000000 81.151 -151.2435
1360.000000 81.213 -151.2066
1380.000000 81.286 -151.1430
1400.000000 81.336 -151.2572
1430.000000 81.444 -151.1195
1450.000000 81.508 -151.1283
1475.000000 81.570 -151.0832
1500.000000 81.633 -150.8974
1525.000000 81.710 -150.8455
1550.000000 81.781 -150.7438
1575.000000 81.847 -150.5719
1600.000000 81.921 -150.4234
1625.000000 81.991 -150.1855
1650.000000 82.062 -150.1063
1675.000000 82.158 -149.7784
1700.000000 82.215 -149.7133
1725.000000 82.295 -149.5212
1750.000000 82.385 -149.2388
1775.000000 82.451 -149.1248
1800.000000 82.577 -148.9862
1825.000000 82.638 -148.6725
1850.000000 82.744 -148.6016
1875.000000 82.834 -148.3788
1900.000000 82.922 -148.1517
1925.000000 83.041 -147.9747
1950.000000 83.149 -148.0404
1975.000000 83.256 -147.7991
2000.000000 83.329 -147.3378
2030.000000 83.505 -147.5983
2060.000000 83.657 -147.5954
2090.000000 83.781 -147.4746
2120.000000 83.933 -147.4708
2140.000000 84.049 -147.4377
2180.000000 84.256 -147.5327
2200.000000 84.353 -147.6711
2240.000000 84.575 -147.8675
2270.000000 84.732 -148.0433
2300.000000 84.915 -148.2589
2330.000000 85.098 -148.6956
2360.000000 85.262 -149.0215
2400.000000 85.477 -149.6871
2430.000000 85.659 -150.2166
2470.000000 85.873 -150.9265
2500.000000 86.044 -151.6315
2540.000000 86.271 -152.6446
2580.000000 86.477 -153.7098
2620.000000 86.680 -155.0181
2650.000000 86.825 -156.0436
2690.000000 87.016 -157.5709
2720.000000 87.131 -158.6981
2760.000000 87.287 -160.2911
2800.000000 87.424 -162.0995
2850.000000 87.554 -164.3467
2900.000000 87.651 -166.7494
2950.000000 87.710 -169.0829
3000.000000 87.792 -171.5515
3040.000000 87.732 -173.3625
3070.000000 87.714 -174.7721
3110.000000 87.671 -176.5398
3150.000000 87.596 -178.3420
3200.000000 87.495 179.7549
3250.000000 87.358 177.7839
3300.000000 87.216 176.1192
3350.000000 87.074 174.5930
3400.000000 86.906 173.1935
3450.000000 86.737 171.9031
3500.000000 86.566 170.8870
3550.000000 86.399 169.9401
3600.000000 86.228 169.1372
3650.000000 86.071 168.5197
3700.000000 85.931 168.0199
3750.000000 85.774 167.4450
3820.000000 85.582 167.0393
3870.000000 85.454 166.8158
3950.000000 85.274 166.6078
4000.000000 85.127 166.5142
4060.000000 85.085 166.5478
4120.000000 84.996 166.4238
4180.000000 84.934 166.3066
4250.000000 84.870 166.2888
4310.000000 84.839 166.2417
4370.000000 84.827 166.1143
4440.000000 84.815 165.8552
4500.000000 84.820 165.6616
4550.000000 84.836 165.3694
4620.000000 84.854 164.9073
4680.000000 84.879 164.5544
4750.000000 84.898 163.7372
4820.000000 84.934 162.8201
4870.000000 84.937 162.2134
4940.000000 84.934 160.9937
5000.000000 84.870 160.2322
5080.000000 84.892 158.4115
5150.000000 84.803 157.0364
5220.000000 84.709 155.3244
5300.000000 84.566 153.6614
5380.000000 84.340 151.8102
5450.000000 84.113 150.4288
5520.000000 83.858 149.1899
5600.000000 83.548 147.8971
5700.000000 83.095 146.6656
5800.000000 82.608 145.9405
5900.000000 82.083 145.9250
6000.000000 81.586 146.5769
