* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 24, 2025 3:17:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R P50 sancai wide 527
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.841 -141.9783
20.600000 83.880 -142.7850
20.900000 83.912 -143.5384
21.200001 83.940 -144.3018
21.400000 83.957 -144.8077
21.799999 83.990 -145.7916
22.000000 84.007 -146.2609
22.400000 84.044 -147.1465
22.700001 84.074 -147.7758
23.000000 84.107 -148.3951
23.299999 84.139 -149.0195
23.600000 84.166 -149.6516
24.000000 84.196 -150.4944
24.299999 84.212 -151.1084
24.700001 84.233 -151.8875
25.000000 84.250 -152.4484
25.400000 84.278 -153.1919
25.799999 84.307 -153.9588
26.200001 84.329 -154.7426
26.500000 84.339 -155.3169
26.900000 84.349 -156.0374
27.200001 84.358 -156.5480
27.600000 84.380 -157.2297
28.000000 84.410 -157.9714
28.500000 84.440 -158.9787
29.000000 84.441 -159.8841
29.500000 84.426 -160.4665
30.000000 84.434 -160.7553
30.400000 84.470 -160.9978
30.700001 84.507 -161.3116
31.100000 84.551 -161.9701
31.500000 84.570 -162.8409
32.000000 84.554 -164.0001
32.500000 84.515 -165.0083
33.000000 84.486 -165.8093
33.500000 84.474 -166.4875
34.000000 84.468 -167.1151
34.500000 84.458 -167.7050
35.000000 84.447 -168.2727
35.500000 84.438 -168.8654
36.000000 84.430 -169.5075
36.500000 84.420 -170.1639
37.000000 84.410 -170.7761
37.500000 84.402 -171.3280
38.200001 84.395 -172.0646
38.700001 84.386 -172.6051
39.500000 84.359 -173.4647
40.000000 84.341 -173.9743
40.599998 84.322 -174.5759
41.200001 84.305 -175.1924
41.799999 84.284 -175.8093
42.500000 84.258 -176.5017
43.099998 84.235 -177.0780
43.700001 84.210 -177.6282
44.400002 84.178 -178.2059
45.000000 84.154 -178.6821
45.500000 84.135 -179.1164
46.200001 84.103 -179.7639
46.799999 84.074 179.7146
47.500000 84.053 179.1303
48.200001 84.034 178.5000
48.700001 84.012 178.0555
49.400002 83.975 177.5151
50.000000 83.944 177.0904
50.799999 83.899 176.5031
51.500000 83.852 176.0231
52.200001 83.812 175.5753
53.000000 83.779 175.0095
53.799999 83.742 174.4404
54.500000 83.709 174.0022
55.200001 83.672 173.5692
56.000000 83.619 173.0549
57.000000 83.551 172.4633
58.000000 83.501 171.9006
59.000000 83.444 171.3683
60.000000 83.384 170.9338
60.799999 83.343 170.5240
61.500000 83.300 170.1188
62.200001 83.254 169.7604
63.000000 83.205 169.3825
64.000000 83.135 168.9181
65.000000 83.072 168.5207
66.000000 83.016 168.0518
67.000000 82.952 167.6235
68.000000 82.894 167.2159
69.000000 82.824 166.8445
70.000000 82.758 166.5251
71.000000 82.692 166.0962
72.000000 82.621 165.7332
73.000000 82.569 165.4545
74.000000 82.505 165.1163
75.000000 82.443 164.8683
76.199997 82.379 164.4782
77.500000 82.282 164.4392
78.800003 82.211 163.6382
80.000000 82.100 163.2276
81.199997 82.079 163.2493
82.500000 81.976 163.2581
83.800003 81.881 162.9081
85.000000 81.813 162.6275
86.199997 81.735 162.3099
87.500000 81.659 162.2595
88.500000 81.575 161.8960
90.000000 81.447 161.9995
91.199997 81.405 161.5752
92.500000 81.314 161.7428
93.800003 81.254 161.5079
95.000000 81.178 161.5117
96.199997 81.143 161.4842
97.500000 81.027 161.5366
98.800003 80.970 161.3799
100.000000 80.871 161.4282
101.500000 80.833 161.6346
103.000000 80.710 161.5057
104.400002 80.713 161.6316
106.000000 80.594 161.3856
107.500000 80.536 161.1150
109.000000 80.440 161.2318
110.599998 80.409 161.4830
112.000000 80.325 161.5566
113.800003 80.259 161.6021
115.000000 80.192 161.6487
117.199997 80.087 161.6698
118.000000 80.047 161.8303
120.599998 79.941 162.0663
122.000000 79.903 162.0189
124.099998 79.795 162.0139
125.000000 79.768 162.4051
126.500000 79.696 162.5967
128.000000 79.640 162.5829
131.500000 79.523 162.9238
132.000000 79.512 162.9827
134.000000 79.433 163.2720
136.000000 79.385 163.4729
138.000000 79.298 163.5977
140.000000 79.216 163.9275
143.000000 79.160 164.3708
145.000000 79.100 164.5405
147.500000 79.023 164.9312
150.000000 78.958 165.2569
152.500000 78.864 165.6577
155.000000 78.820 166.0709
157.500000 78.740 166.2560
160.000000 78.666 166.7874
162.500000 78.591 167.0913
165.000000 78.498 167.8024
167.500000 78.416 168.1486
170.000000 78.309 169.3194
172.500000 78.250 170.1658
175.000000 78.200 171.5677
177.500000 78.299 173.2871
180.000000 78.370 173.8754
182.500000 78.558 174.6291
185.000000 78.722 173.8227
187.500000 78.863 174.2643
190.000000 78.914 174.0189
192.500000 78.916 173.9796
195.000000 78.928 173.3801
197.500000 78.906 173.4303
200.000000 78.894 173.5290
203.000000 78.834 173.3632
206.000000 78.849 173.6747
209.000000 78.814 173.8161
212.000000 78.840 174.0123
214.000000 78.839 174.0049
218.000000 78.832 174.1358
220.000000 78.796 174.2675
224.000000 78.803 174.4858
227.000000 78.802 174.6068
230.000000 78.789 174.6488
233.000000 78.800 174.7810
236.000000 78.793 174.8087
240.000000 78.799 175.0638
243.000000 78.808 175.2495
247.000000 78.782 175.4555
250.000000 78.781 175.4355
254.000000 78.756 175.5153
258.000000 78.778 175.6561
262.000000 78.757 175.8029
265.000000 78.775 175.7968
269.000000 78.769 176.1955
272.000000 78.759 176.0860
276.000000 78.784 176.3261
280.000000 78.765 176.2882
285.000000 78.741 176.5013
290.000000 78.764 176.5474
295.000000 78.745 176.7515
300.000000 78.745 176.7170
304.000000 78.728 176.9178
307.000000 78.750 176.9797
311.000000 78.715 177.0801
315.000000 78.722 177.2044
320.000000 78.710 177.3805
325.000000 78.704 177.3330
330.000000 78.705 177.5127
335.000000 78.707 177.6302
340.000000 78.696 177.7364
345.000000 78.678 177.7239
350.000000 78.665 177.8427
355.000000 78.680 178.0911
360.000000 78.671 178.0942
365.000000 78.638 178.1921
370.000000 78.609 178.3587
375.000000 78.604 178.3831
382.000000 78.572 178.7075
387.000000 78.576 178.7762
395.000000 78.565 179.0481
400.000000 78.531 179.0233
406.000000 78.512 179.5904
412.000000 78.577 179.7655
418.000000 78.592 179.7946
425.000000 78.617 179.9067
431.000000 78.669 179.8263
437.000000 78.595 179.7877
444.000000 78.665 179.4253
450.000000 78.529 179.4047
455.000000 78.506 179.8491
462.000000 78.518 -179.9754
468.000000 78.472 179.5645
475.000000 78.476 179.7096
482.000000 78.400 179.9533
487.000000 78.318 179.9230
494.000000 78.400 -179.9517
500.000000 78.344 -179.2694
508.000000 78.294 -179.4179
515.000000 78.319 -178.9215
522.000000 78.247 -178.8152
530.000000 78.222 -178.7812
538.000000 78.219 -178.5407
545.000000 78.209 -178.3466
552.000000 78.172 -178.2107
560.000000 78.172 -178.0363
570.000000 78.125 -177.6594
580.000000 78.082 -177.3320
590.000000 78.053 -176.9330
600.000000 78.000 -176.6926
608.000000 77.974 -176.2840
615.000000 77.978 -176.1445
622.000000 77.962 -175.7722
630.000000 77.914 -175.5640
640.000000 77.892 -174.9548
650.000000 77.848 -174.5548
660.000000 77.847 -174.3788
670.000000 77.803 -173.7214
680.000000 77.788 -173.3309
690.000000 77.781 -172.9977
700.000000 77.767 -172.3102
710.000000 77.740 -171.7772
720.000000 77.735 -171.3797
730.000000 77.717 -170.8836
740.000000 77.703 -170.5033
750.000000 77.706 -169.9050
762.000000 77.690 -169.1896
775.000000 77.699 -168.3602
788.000000 77.700 -167.8146
800.000000 77.720 -167.1389
812.000000 77.745 -166.4381
825.000000 77.764 -165.6575
838.000000 77.781 -164.8795
850.000000 77.803 -164.3568
862.000000 77.865 -163.5802
875.000000 77.904 -162.9311
885.000000 77.917 -162.3822
900.000000 77.983 -161.7096
912.000000 78.044 -161.0113
925.000000 78.109 -160.3170
938.000000 78.149 -159.8856
950.000000 78.218 -159.3716
962.000000 78.302 -158.9328
975.000000 78.394 -158.1321
988.000000 78.467 -157.8345
1000.000000 78.601 -158.0360
1015.000000 78.632 -156.9847
1030.000000 78.742 -156.4579
1044.000000 78.824 -156.2055
1060.000000 78.917 -155.7910
1075.000000 79.040 -155.4323
1090.000000 79.124 -155.1811
1106.000000 79.242 -154.9597
1120.000000 79.297 -154.7048
1138.000000 79.432 -154.5729
1150.000000 79.486 -154.4853
1172.000000 79.610 -154.3463
1180.000000 79.638 -154.3407
1206.000000 79.795 -154.2402
1220.000000 79.849 -154.2353
1241.000000 79.936 -154.2043
1250.000000 79.996 -154.1673
1265.000000 80.064 -154.1003
1280.000000 80.123 -154.0791
1315.000000 80.242 -154.0721
1320.000000 80.260 -154.1274
1340.000000 80.317 -154.1047
1360.000000 80.405 -154.0394
1380.000000 80.468 -154.0374
1400.000000 80.513 -153.9554
1430.000000 80.595 -153.9216
1450.000000 80.651 -153.8468
1475.000000 80.727 -153.7827
1500.000000 80.785 -153.5958
1525.000000 80.858 -153.4564
1550.000000 80.933 -153.2455
1575.000000 81.003 -153.1626
1600.000000 81.079 -153.1033
1625.000000 81.153 -152.9167
1650.000000 81.224 -152.7285
1675.000000 81.317 -152.5129
1700.000000 81.375 -152.4306
1725.000000 81.466 -152.2650
1750.000000 81.524 -152.0556
1775.000000 81.613 -151.7949
1800.000000 81.688 -151.6437
1825.000000 81.793 -151.5403
1850.000000 81.888 -151.4008
1875.000000 82.002 -151.2397
1900.000000 82.097 -151.0175
1925.000000 82.200 -150.9632
1950.000000 82.299 -150.9570
1975.000000 82.394 -150.8040
2000.000000 82.451 -150.5177
2030.000000 82.663 -150.5936
2060.000000 82.806 -150.4951
2090.000000 82.941 -150.5573
2120.000000 83.084 -150.6938
2140.000000 83.202 -150.6695
2180.000000 83.416 -150.7924
2200.000000 83.515 -150.8534
2240.000000 83.710 -151.2010
2270.000000 83.885 -151.5104
2300.000000 84.060 -151.7305
2330.000000 84.226 -152.1492
2360.000000 84.391 -152.6149
2400.000000 84.632 -153.2964
2430.000000 84.781 -153.7827
2470.000000 85.011 -154.7308
2500.000000 85.161 -155.5013
2540.000000 85.386 -156.5688
2580.000000 85.580 -157.8198
2620.000000 85.775 -159.1311
2650.000000 85.922 -160.3299
2690.000000 86.080 -161.8529
2720.000000 86.211 -163.1414
2760.000000 86.344 -164.8566
2800.000000 86.474 -166.6042
2850.000000 86.582 -169.0348
2900.000000 86.639 -171.4650
2950.000000 86.690 -173.9452
3000.000000 86.739 -176.3245
3040.000000 86.651 -178.2386
3070.000000 86.607 -179.7848
3110.000000 86.544 178.4623
3150.000000 86.450 176.7005
3200.000000 86.308 174.6066
3250.000000 86.154 172.7890
3300.000000 85.974 171.2118
3350.000000 85.789 169.8061
3400.000000 85.602 168.4628
3450.000000 85.400 167.3450
3500.000000 85.208 166.5016
3550.000000 85.030 165.7813
3600.000000 84.833 165.0836
3650.000000 84.663 164.5155
3700.000000 84.502 164.0746
3750.000000 84.353 163.6980
3820.000000 84.143 163.3118
3870.000000 83.993 163.3542
3950.000000 83.792 163.3387
4000.000000 83.644 163.0230
4060.000000 83.583 163.4724
4120.000000 83.495 163.6161
4180.000000 83.411 163.9103
4250.000000 83.353 164.1737
4310.000000 83.286 164.4134
4370.000000 83.250 164.5313
4440.000000 83.243 164.6581
4500.000000 83.252 164.8174
4550.000000 83.236 164.8030
4620.000000 83.253 164.8657
4680.000000 83.287 164.7973
4750.000000 83.326 164.6444
4820.000000 83.363 164.2899
4870.000000 83.419 164.0845
4940.000000 83.454 163.5029
5000.000000 83.429 162.9229
5080.000000 83.524 162.2269
5150.000000 83.530 161.2909
5220.000000 83.517 160.1809
5300.000000 83.518 159.1607
5380.000000 83.429 157.9780
5450.000000 83.341 156.9186
5520.000000 83.236 156.0338
5600.000000 83.085 155.1437
5700.000000 82.869 154.3405
5800.000000 82.661 153.4349
5900.000000 82.411 153.2349
6000.000000 82.136 153.6177
