* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 5, 2026 4:43:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L p8s 1928
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 130.857 -163.3898
20.600000 130.865 -164.1879
20.900000 130.865 -164.9141
21.200001 130.862 -165.6408
21.400000 130.858 -166.1258
21.799999 130.849 -167.0885
22.000000 130.843 -167.5603
22.400000 130.832 -168.4723
22.700001 130.825 -169.1261
23.000000 130.820 -169.7597
23.299999 130.816 -170.3827
23.600000 130.812 -170.9991
24.000000 130.803 -171.8054
24.299999 130.793 -172.3854
24.700001 130.779 -173.1105
25.000000 130.770 -173.6221
25.400000 130.764 -174.2902
25.799999 130.763 -174.9907
26.200001 130.761 -175.7484
26.500000 130.754 -176.3390
26.900000 130.736 -177.1127
27.200001 130.719 -177.6529
27.600000 130.699 -178.3091
28.000000 130.688 -178.9270
28.500000 130.684 -179.7292
29.000000 130.675 179.4064
29.500000 130.649 178.5553
30.000000 130.611 177.8059
30.400000 130.582 177.2778
30.700001 130.563 176.9004
31.100000 130.539 176.4005
31.500000 130.515 175.9133
32.000000 130.488 175.3628
32.500000 130.474 174.8763
33.000000 130.480 174.3549
33.500000 130.493 173.7031
34.000000 130.490 172.9429
34.500000 130.467 172.1915
35.000000 130.435 171.5146
35.500000 130.407 170.8666
36.000000 130.380 170.1779
36.500000 130.346 169.4670
37.000000 130.304 168.8162
37.500000 130.267 168.2494
38.200001 130.234 167.4465
38.700001 130.213 166.7771
39.500000 130.161 165.6848
40.000000 130.129 165.1087
40.599998 130.104 164.5173
41.200001 130.088 163.9450
41.799999 130.062 163.3491
42.500000 130.012 162.6146
43.099998 129.963 161.9429
43.700001 129.925 161.2676
44.400002 129.905 160.5718
45.000000 129.899 160.0985
45.500000 129.885 159.7660
46.200001 129.834 159.3046
46.799999 129.767 158.8101
47.500000 129.692 158.0457
48.200001 129.647 157.1999
48.700001 129.636 156.6768
49.400002 129.634 156.1329
50.000000 129.619 155.7573
50.799999 129.561 155.2116
51.500000 129.496 154.6400
52.200001 129.450 154.0205
53.000000 129.421 153.3619
53.799999 129.385 152.8263
54.500000 129.341 152.3816
55.200001 129.295 151.8641
56.000000 129.255 151.2072
57.000000 129.213 150.4691
58.000000 129.158 149.8459
59.000000 129.093 149.1379
60.000000 129.033 148.3860
60.799999 128.994 147.8564
61.500000 128.960 147.4213
62.200001 128.921 146.9862
63.000000 128.876 146.4962
64.000000 128.823 145.9189
65.000000 128.775 145.3208
66.000000 128.719 144.6611
67.000000 128.664 144.0926
68.000000 128.620 143.5474
69.000000 128.564 142.9558
70.000000 128.511 142.4250
71.000000 128.470 141.8565
72.000000 128.415 141.2852
73.000000 128.359 140.8049
74.000000 128.312 140.2890
75.000000 128.262 139.7698
76.199997 128.207 139.1444
77.500000 128.140 138.5052
78.800003 128.083 137.9214
80.000000 128.025 137.3014
81.199997 127.965 136.7559
82.500000 127.909 136.2094
83.800003 127.845 135.6150
85.000000 127.784 135.0652
86.199997 127.735 134.5518
87.500000 127.669 133.9559
88.500000 127.624 133.6020
90.000000 127.568 132.9549
91.199997 127.514 132.5317
92.500000 127.455 131.9366
93.800003 127.398 131.4785
95.000000 127.358 130.9783
96.199997 127.308 130.5427
97.500000 127.250 130.0252
98.800003 127.193 129.5852
100.000000 127.149 129.0975
101.500000 127.089 128.5920
103.000000 127.029 128.0148
104.400002 126.972 127.5787
106.000000 126.914 127.0397
107.500000 126.853 126.5533
109.000000 126.792 126.0566
110.599998 126.741 125.4861
112.000000 126.689 125.0723
113.800003 126.626 124.5172
115.000000 126.592 124.0680
117.199997 126.504 123.4525
118.000000 126.477 123.1885
120.599998 126.405 122.4266
122.000000 126.339 122.0054
124.099998 126.277 121.4186
125.000000 126.249 121.1206
126.500000 126.192 120.7826
128.000000 126.155 120.2842
131.500000 126.043 119.3356
132.000000 126.022 119.1904
134.000000 125.960 118.7181
136.000000 125.905 118.2034
138.000000 125.830 117.7466
140.000000 125.802 117.0781
143.000000 125.696 116.6094
145.000000 125.627 115.9110
147.500000 125.593 115.4645
150.000000 125.493 114.9679
152.500000 125.426 114.4319
155.000000 125.365 113.9410
157.500000 125.297 113.6510
160.000000 125.212 112.9998
162.500000 125.181 112.8403
165.000000 125.125 112.5129
167.500000 125.107 112.4821
170.000000 125.096 112.1651
172.500000 125.035 111.5123
175.000000 125.154 110.8826
177.500000 125.149 110.2661
180.000000 125.146 109.4618
182.500000 125.109 108.6707
185.000000 125.076 108.0224
187.500000 125.018 107.2795
190.000000 124.985 106.6619
192.500000 124.938 106.0697
195.000000 124.897 105.5291
197.500000 124.850 104.9985
200.000000 124.805 104.4572
203.000000 124.760 103.7892
206.000000 124.723 103.1882
209.000000 124.676 102.5325
212.000000 124.631 101.9675
214.000000 124.604 101.6328
218.000000 124.563 100.8134
220.000000 124.528 100.4327
224.000000 124.480 99.7043
227.000000 124.451 99.1079
230.000000 124.407 98.5396
233.000000 124.370 98.0138
236.000000 124.343 97.4311
240.000000 124.301 96.7471
243.000000 124.269 96.1982
247.000000 124.237 95.5225
250.000000 124.198 95.0382
254.000000 124.158 94.2869
258.000000 124.126 93.6365
262.000000 124.088 93.0277
265.000000 124.061 92.5310
269.000000 124.029 91.8604
272.000000 124.009 91.3861
276.000000 123.974 90.6833
280.000000 123.941 90.0946
285.000000 123.899 89.3057
290.000000 123.872 88.5377
295.000000 123.833 87.7241
300.000000 123.789 87.0351
304.000000 123.759 86.4748
307.000000 123.729 86.0775
311.000000 123.713 85.4650
315.000000 123.679 84.9420
320.000000 123.635 84.2872
325.000000 123.602 83.6617
330.000000 123.563 82.9850
335.000000 123.530 82.3651
340.000000 123.499 81.8233
345.000000 123.453 81.2675
350.000000 123.417 80.7173
355.000000 123.377 80.2828
360.000000 123.357 79.8667
365.000000 123.320 79.5482
370.000000 123.324 79.2108
375.000000 123.343 79.0546
382.000000 123.378 78.3222
387.000000 123.395 77.8105
395.000000 123.394 76.7903
400.000000 123.396 76.2112
406.000000 123.376 75.4765
412.000000 123.367 74.9091
418.000000 123.348 74.3447
425.000000 123.327 73.7020
431.000000 123.323 73.1835
437.000000 123.309 72.7483
444.000000 123.296 72.2297
450.000000 123.290 71.8454
455.000000 123.286 71.5261
462.000000 123.294 71.1010
468.000000 123.302 70.8358
475.000000 123.322 70.3768
482.000000 123.323 69.8727
487.000000 123.325 69.6483
494.000000 123.354 69.3740
500.000000 123.359 69.1195
508.000000 123.395 68.6691
515.000000 123.425 68.3170
522.000000 123.445 67.9077
530.000000 123.507 67.5827
538.000000 123.543 67.1844
545.000000 123.599 66.8513
552.000000 123.642 66.5610
560.000000 123.707 66.1118
570.000000 123.789 65.5135
580.000000 123.868 65.0893
590.000000 123.956 64.4895
600.000000 124.057 63.8928
608.000000 124.132 63.4249
615.000000 124.207 62.9817
622.000000 124.278 62.5557
630.000000 124.366 61.9485
640.000000 124.457 61.1531
650.000000 124.565 60.3618
660.000000 124.675 59.5695
670.000000 124.767 58.7334
680.000000 124.864 57.7602
690.000000 124.963 56.7783
700.000000 125.042 55.7465
710.000000 125.133 54.7263
720.000000 125.197 53.6145
730.000000 125.251 52.5185
740.000000 125.311 51.3450
750.000000 125.346 50.2712
762.000000 125.388 48.9297
775.000000 125.419 47.5105
788.000000 125.420 46.1111
800.000000 125.419 44.9324
812.000000 125.395 43.8203
825.000000 125.373 42.7086
838.000000 125.349 41.6689
850.000000 125.313 40.8347
862.000000 125.284 40.0148
875.000000 125.254 39.2131
885.000000 125.232 38.6708
900.000000 125.189 37.8760
912.000000 125.170 37.3936
925.000000 125.165 36.8802
938.000000 125.155 36.4518
950.000000 125.145 35.9577
962.000000 125.144 35.6956
975.000000 125.162 35.2621
988.000000 125.179 34.8478
1000.000000 125.187 34.6748
1015.000000 125.222 34.0815
1030.000000 125.266 33.6762
1044.000000 125.312 33.2247
1060.000000 125.365 32.7206
1075.000000 125.415 32.2465
1090.000000 125.466 31.7826
1106.000000 125.545 31.1378
1120.000000 125.595 30.7006
1138.000000 125.661 29.9705
1150.000000 125.715 29.4607
1172.000000 125.801 28.5317
1180.000000 125.842 28.1891
1206.000000 125.948 27.0870
1220.000000 126.004 26.4773
1241.000000 126.086 25.5079
1250.000000 126.120 25.1038
1265.000000 126.167 24.4255
1280.000000 126.225 23.7252
1315.000000 126.335 22.1199
1320.000000 126.359 21.9236
1340.000000 126.421 20.9773
1360.000000 126.491 20.0258
1380.000000 126.555 19.0985
1400.000000 126.618 18.1923
1430.000000 126.716 16.8059
1450.000000 126.784 15.8578
1475.000000 126.861 14.6819
1500.000000 126.941 13.5035
1525.000000 127.035 12.3168
1550.000000 127.108 11.1061
1575.000000 127.188 9.8373
1600.000000 127.273 8.6518
1625.000000 127.371 7.4198
1650.000000 127.455 6.0995
1675.000000 127.545 4.7859
1700.000000 127.621 3.4590
1725.000000 127.713 2.0888
1750.000000 127.806 0.6809
1775.000000 127.906 -0.7303
1800.000000 127.992 -2.2328
1825.000000 128.089 -3.7327
1850.000000 128.175 -5.3925
1875.000000 128.257 -6.9980
1900.000000 128.358 -8.7293
1925.000000 128.437 -10.5205
1950.000000 128.513 -12.3589
1975.000000 128.582 -14.2410
2000.000000 128.655 -16.3044
2030.000000 128.702 -18.7208
2060.000000 128.753 -21.1371
2090.000000 128.778 -23.7488
2120.000000 128.792 -26.3419
2140.000000 128.781 -28.0560
2180.000000 128.753 -31.5432
2200.000000 128.720 -33.2294
2240.000000 128.640 -36.5181
2270.000000 128.560 -38.9142
2300.000000 128.471 -41.2072
2330.000000 128.381 -43.3937
2360.000000 128.288 -45.5039
2400.000000 128.149 -48.1933
2430.000000 128.060 -50.0313
2470.000000 127.931 -52.4926
2500.000000 127.837 -54.1091
2540.000000 127.737 -56.3265
2580.000000 127.645 -58.4054
2620.000000 127.580 -60.4832
2650.000000 127.536 -62.0588
2690.000000 127.496 -64.0716
2720.000000 127.462 -65.5328
2760.000000 127.449 -67.5710
2800.000000 127.446 -69.6522
2850.000000 127.454 -72.2158
2900.000000 127.497 -74.8210
2950.000000 127.574 -77.6146
3000.000000 127.637 -80.4991
3040.000000 127.719 -83.0239
3070.000000 127.781 -84.9034
3110.000000 127.867 -87.5508
3150.000000 127.943 -90.3717
3200.000000 128.040 -94.0876
3250.000000 128.113 -97.8858
3300.000000 128.170 -101.9068
3350.000000 128.187 -106.1083
3400.000000 128.170 -110.2355
3450.000000 128.111 -114.3468
3500.000000 128.022 -118.3958
3550.000000 127.879 -122.1832
3600.000000 127.720 -125.6471
3650.000000 127.548 -128.8234
3700.000000 127.377 -131.6801
3750.000000 127.224 -134.1395
3820.000000 127.042 -137.1718
3870.000000 126.957 -139.0498
3950.000000 126.893 -141.8380
4000.000000 126.906 -143.5280
4060.000000 126.947 -145.5328
4120.000000 127.021 -147.6967
4180.000000 127.120 -149.8513
4250.000000 127.262 -152.6492
4310.000000 127.391 -155.2481
4370.000000 127.502 -157.9126
4440.000000 127.623 -160.9928
4500.000000 127.713 -163.9095
4550.000000 127.758 -166.3585
4620.000000 127.798 -169.6843
4680.000000 127.789 -172.5085
4750.000000 127.749 -175.6633
4820.000000 127.682 -178.4470
4870.000000 127.604 179.6066
4940.000000 127.502 177.2703
5000.000000 127.425 175.5322
5080.000000 127.301 173.4324
5150.000000 127.227 171.9251
5220.000000 127.178 170.5508
5300.000000 127.155 169.0021
5380.000000 127.136 167.2529
5450.000000 127.109 165.8495
5520.000000 127.093 164.5926
5600.000000 127.049 163.1082
5700.000000 127.022 161.3558
5800.000000 126.990 159.5879
5900.000000 126.960 157.8410
6000.000000 126.947 155.7651
6080.000000 126.870 154.3081
6150.000000 126.788 153.0031
6220.000000 126.676 151.5783
6300.000000 126.511 150.1484
6400.000000 126.278 148.6500
6500.000000 125.986 147.6417
6600.000000 125.689 147.0243
