* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 9, 2025 2:31:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CLARION 801
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.275 -162.4514
20.600000 89.280 -163.2593
20.900000 89.258 -163.9161
21.200001 89.224 -164.5020
21.400000 89.199 -164.8694
21.799999 89.153 -165.5876
22.000000 89.133 -165.9564
22.400000 89.100 -166.7355
22.700001 89.081 -167.3453
23.000000 89.063 -167.9507
23.299999 89.048 -168.5282
23.600000 89.037 -169.0705
24.000000 89.029 -169.7501
24.299999 89.026 -170.2502
24.700001 89.022 -170.9276
25.000000 89.015 -171.4415
25.400000 89.001 -172.1084
25.799999 88.984 -172.7187
26.200001 88.970 -173.2615
26.500000 88.964 -173.6355
26.900000 88.957 -174.1073
27.200001 88.949 -174.4433
27.600000 88.931 -174.8548
28.000000 88.904 -175.2122
28.500000 88.867 -175.6163
29.000000 88.828 -176.0735
29.500000 88.778 -176.6350
30.000000 88.707 -177.2121
30.400000 88.642 -177.5952
30.700001 88.598 -177.8271
31.100000 88.555 -178.1248
31.500000 88.530 -178.5015
32.000000 88.506 -179.1567
32.500000 88.473 -179.9043
33.000000 88.431 179.4915
33.500000 88.403 179.1297
34.000000 88.396 178.8815
34.500000 88.387 178.5493
35.000000 88.346 178.0815
35.500000 88.266 177.5812
36.000000 88.180 177.1590
36.500000 88.127 176.8125
37.000000 88.124 176.4562
37.500000 88.145 176.0543
38.200001 88.144 175.5729
38.700001 88.101 175.4080
39.500000 88.003 175.2439
40.000000 87.950 174.9512
40.599998 87.907 174.3858
41.200001 87.888 173.8275
41.799999 87.884 173.4118
42.500000 87.851 173.0932
43.099998 87.782 172.9820
43.700001 87.723 172.8799
44.400002 87.695 172.3871
45.000000 87.662 171.7497
45.500000 87.617 171.4610
46.200001 87.578 171.5010
46.799999 87.572 171.4110
47.500000 87.522 170.9385
48.200001 87.449 170.6300
48.700001 87.431 170.5486
49.400002 87.427 170.3041
50.000000 87.378 170.0638
50.799999 87.284 169.8978
51.500000 87.223 169.4869
52.200001 87.145 168.9396
53.000000 87.076 168.8921
53.799999 87.092 169.0205
54.500000 87.094 168.7389
55.200001 87.049 168.4265
56.000000 87.014 168.3169
57.000000 87.018 168.1646
58.000000 86.969 167.8447
59.000000 86.874 167.5740
60.000000 86.823 167.3300
60.799999 86.800 167.0329
61.500000 86.764 166.7916
62.200001 86.716 166.6095
63.000000 86.659 166.4579
64.000000 86.601 166.3940
65.000000 86.554 166.3718
66.000000 86.503 166.3284
67.000000 86.463 166.0753
68.000000 86.399 165.8302
69.000000 86.362 165.8552
70.000000 86.334 165.6132
71.000000 86.275 165.3482
72.000000 86.238 165.1505
73.000000 86.208 165.0216
74.000000 86.181 164.8876
75.000000 86.112 164.8144
76.199997 86.045 164.8942
77.500000 86.000 164.7412
78.800003 85.982 164.4760
80.000000 85.905 164.3422
81.199997 85.866 164.2524
82.500000 85.833 164.1205
83.800003 85.782 164.1812
85.000000 85.727 164.0510
86.199997 85.693 163.8988
87.500000 85.682 163.9678
88.500000 85.643 163.9034
90.000000 85.569 163.8679
91.199997 85.544 163.8405
92.500000 85.497 163.7592
93.800003 85.446 163.6462
95.000000 85.405 163.5639
96.199997 85.368 163.6175
97.500000 85.338 163.6154
98.800003 85.302 163.5510
100.000000 85.266 163.5049
101.500000 85.214 163.5049
103.000000 85.182 163.4328
104.400002 85.141 163.4886
106.000000 85.102 163.4442
107.500000 85.061 163.3521
109.000000 85.052 163.6790
110.599998 84.996 163.4603
112.000000 84.963 163.4185
113.800003 84.905 163.4931
115.000000 84.890 163.2651
117.199997 84.828 163.4448
118.000000 84.777 163.4856
120.599998 84.780 162.2984
122.000000 84.750 163.6494
124.099998 84.687 163.3969
125.000000 84.682 163.3434
126.500000 84.638 163.5014
128.000000 84.608 163.4810
131.500000 84.542 163.3464
132.000000 84.528 163.3710
134.000000 84.477 163.5114
136.000000 84.467 163.5405
138.000000 84.404 163.5480
140.000000 84.367 163.6873
143.000000 84.324 163.5805
145.000000 84.304 163.5897
147.500000 84.244 163.5567
150.000000 84.211 163.7599
152.500000 84.168 163.6872
155.000000 84.126 163.7438
157.500000 84.082 163.8276
160.000000 84.048 163.8776
162.500000 84.016 163.8770
165.000000 83.972 163.9990
167.500000 83.938 163.9240
170.000000 83.889 164.1767
172.500000 83.836 164.2434
175.000000 83.827 164.3304
177.500000 83.822 164.3072
180.000000 83.763 164.4109
182.500000 83.711 164.5919
185.000000 83.719 164.6083
187.500000 83.657 164.9857
190.000000 83.658 164.9955
192.500000 83.629 164.8817
195.000000 83.591 165.0158
197.500000 83.564 164.9833
200.000000 83.540 164.9464
203.000000 83.540 164.8862
206.000000 83.442 165.4185
209.000000 83.412 165.6122
212.000000 83.373 165.8146
214.000000 83.365 166.0950
218.000000 83.363 166.3951
220.000000 83.347 166.7896
224.000000 83.403 166.7882
227.000000 83.406 166.7818
230.000000 83.424 166.6640
233.000000 83.429 166.5058
236.000000 83.414 166.5199
240.000000 83.385 166.3295
243.000000 83.357 166.2537
247.000000 83.318 166.2723
250.000000 83.289 166.2897
254.000000 83.262 166.1646
258.000000 83.221 166.3064
262.000000 83.190 166.2044
265.000000 83.163 166.2463
269.000000 83.129 166.2228
272.000000 83.100 166.3094
276.000000 83.064 166.3906
280.000000 83.040 166.4098
285.000000 83.000 166.4735
290.000000 82.957 166.4520
295.000000 82.914 166.6029
300.000000 82.884 166.6697
304.000000 82.865 166.7512
307.000000 82.837 166.8210
311.000000 82.803 166.8535
315.000000 82.774 166.9565
320.000000 82.734 167.0001
325.000000 82.712 167.0330
330.000000 82.673 167.1031
335.000000 82.647 167.2049
340.000000 82.605 167.3455
345.000000 82.566 167.4280
350.000000 82.534 167.5187
355.000000 82.502 167.6116
360.000000 82.460 167.6344
365.000000 82.433 167.7669
370.000000 82.401 167.9007
375.000000 82.378 168.0336
382.000000 82.340 168.1362
387.000000 82.291 168.1956
395.000000 82.248 168.4843
400.000000 82.208 168.5839
406.000000 82.185 168.6423
412.000000 82.159 168.8229
418.000000 82.109 168.9634
425.000000 82.069 169.0879
431.000000 82.029 169.3459
437.000000 81.988 169.4015
444.000000 81.965 169.6158
450.000000 81.923 169.7873
455.000000 81.898 169.9559
462.000000 81.866 170.0516
468.000000 81.839 170.2441
475.000000 81.783 170.4443
482.000000 81.765 170.5752
487.000000 81.732 170.6656
494.000000 81.702 170.8941
500.000000 81.672 171.0044
508.000000 81.628 171.1946
515.000000 81.591 171.4412
522.000000 81.555 171.5871
530.000000 81.505 171.8484
538.000000 81.466 172.0279
545.000000 81.418 172.3175
552.000000 81.392 172.4982
560.000000 81.354 172.7059
570.000000 81.305 173.0441
580.000000 81.260 173.4366
590.000000 81.183 173.7192
600.000000 81.140 174.1745
608.000000 81.092 174.5677
615.000000 81.062 174.7525
622.000000 81.039 175.0074
630.000000 80.999 175.3337
640.000000 80.963 175.7567
650.000000 80.921 176.1711
660.000000 80.872 176.6945
670.000000 80.843 177.1083
680.000000 80.799 177.4735
690.000000 80.786 177.9794
700.000000 80.738 178.4651
710.000000 80.710 178.9892
720.000000 80.678 179.4024
730.000000 80.656 179.9372
740.000000 80.631 -179.5702
750.000000 80.606 -178.8715
762.000000 80.595 -178.2611
775.000000 80.566 -177.7559
788.000000 80.562 -177.0456
800.000000 80.552 -176.3900
812.000000 80.527 -175.8164
825.000000 80.542 -175.0672
838.000000 80.534 -174.3672
850.000000 80.544 -173.7460
862.000000 80.567 -173.0944
875.000000 80.576 -172.3404
885.000000 80.580 -171.9003
900.000000 80.612 -170.9996
912.000000 80.644 -170.5592
925.000000 80.683 -169.8103
938.000000 80.704 -169.2882
950.000000 80.757 -168.6621
962.000000 80.803 -168.2020
975.000000 80.860 -167.5910
988.000000 80.891 -167.1816
1000.000000 80.951 -166.6109
1015.000000 81.026 -166.1892
1030.000000 81.083 -165.7791
1044.000000 81.154 -165.3532
1060.000000 81.241 -164.7928
1075.000000 81.269 -164.3771
1090.000000 81.371 -164.1454
1106.000000 81.445 -163.7738
1120.000000 81.493 -163.5925
1138.000000 81.580 -163.3765
1150.000000 81.632 -163.0399
1172.000000 81.710 -162.9055
1180.000000 81.753 -162.6935
1206.000000 81.840 -162.6130
1220.000000 81.897 -162.3858
1241.000000 81.953 -162.2717
1250.000000 81.975 -162.2228
1265.000000 82.012 -162.1363
1280.000000 82.051 -162.0413
1315.000000 82.135 -161.8917
1320.000000 82.153 -161.7691
1340.000000 82.188 -161.6508
1360.000000 82.222 -161.5073
1380.000000 82.275 -161.4410
1400.000000 82.301 -161.2265
1430.000000 82.358 -161.0564
1450.000000 82.389 -160.8658
1475.000000 82.422 -160.7399
1500.000000 82.442 -160.3844
1525.000000 82.488 -160.1181
1550.000000 82.528 -159.9296
1575.000000 82.567 -159.6233
1600.000000 82.613 -159.3384
1625.000000 82.654 -159.0742
1650.000000 82.694 -158.7369
1675.000000 82.742 -158.3981
1700.000000 82.793 -158.1499
1725.000000 82.850 -157.7345
1750.000000 82.899 -157.5329
1775.000000 82.963 -157.1401
1800.000000 82.998 -156.7630
1825.000000 83.068 -156.6213
1850.000000 83.148 -156.3166
1875.000000 83.215 -155.9700
1900.000000 83.286 -155.7921
1925.000000 83.342 -155.3206
1950.000000 83.440 -155.1956
1975.000000 83.510 -154.9635
2000.000000 83.567 -154.6931
2030.000000 83.683 -154.5077
2060.000000 83.798 -154.2283
2090.000000 83.918 -154.1680
2120.000000 84.011 -153.9530
2140.000000 84.097 -153.9301
2180.000000 84.258 -153.8045
2200.000000 84.333 -153.7539
2240.000000 84.484 -153.7352
2270.000000 84.617 -153.8273
2300.000000 84.733 -153.8920
2330.000000 84.860 -153.9980
2360.000000 84.990 -154.2766
2400.000000 85.163 -154.5525
2430.000000 85.277 -154.8369
2470.000000 85.445 -155.3191
2500.000000 85.555 -155.8115
2540.000000 85.712 -156.2781
2580.000000 85.831 -156.9949
2620.000000 85.974 -157.6182
2650.000000 86.075 -158.1644
2690.000000 86.195 -158.8526
2720.000000 86.279 -159.4147
2760.000000 86.430 -160.2146
2800.000000 86.564 -161.0660
2850.000000 86.745 -162.4327
2900.000000 86.912 -163.9983
2950.000000 87.038 -165.9784
3000.000000 87.088 -168.0677
3040.000000 87.110 -169.7223
3070.000000 87.097 -170.7891
3110.000000 87.060 -172.4154
3150.000000 87.012 -173.7869
3200.000000 86.924 -175.3943
3250.000000 86.827 -176.8237
3300.000000 86.734 -178.0355
3350.000000 86.623 -179.2014
3400.000000 86.525 179.6223
3450.000000 86.435 178.6520
3500.000000 86.324 177.6187
3550.000000 86.195 176.6684
3600.000000 86.063 175.7461
3650.000000 85.933 175.1057
3700.000000 85.812 174.1772
3750.000000 85.642 173.7240
3820.000000 85.458 173.0046
3870.000000 85.324 172.6304
3950.000000 85.106 172.0017
4000.000000 84.974 171.5656
4060.000000 84.832 171.3546
4120.000000 84.658 171.3416
4180.000000 84.510 171.1225
4250.000000 84.361 171.0287
4310.000000 84.208 171.2251
4370.000000 84.088 171.2993
4440.000000 83.940 171.6609
4500.000000 83.842 171.7382
4550.000000 83.776 171.8034
4620.000000 83.672 172.1251
4680.000000 83.598 172.1528
4750.000000 83.498 172.2756
4820.000000 83.365 172.4866
4870.000000 83.313 172.6558
4940.000000 83.182 172.8545
5000.000000 83.111 173.0917
5080.000000 83.004 173.2995
5150.000000 82.866 173.5927
5220.000000 82.769 173.9565
5300.000000 82.611 174.3911
5380.000000 82.524 175.1505
5450.000000 82.433 175.7646
5520.000000 82.358 176.6425
5600.000000 82.318 177.3063
5700.000000 82.284 177.9501
5800.000000 82.258 178.7269
5900.000000 82.223 179.0249
6000.000000 82.120 179.1523
6080.000000 82.070 179.4761
6150.000000 81.969 179.8994
6220.000000 81.827 -179.8103
