* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 24, 2026 12:07:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R purecaster silver stock 1971
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.090 -177.2281
20.600000 90.063 -177.8278
20.900000 90.029 -178.3560
21.200001 89.996 -178.8775
21.400000 89.975 -179.2290
21.799999 89.937 -179.9465
22.000000 89.919 179.6881
22.400000 89.884 178.9556
22.700001 89.856 178.4212
23.000000 89.829 177.9146
23.299999 89.802 177.4394
23.600000 89.776 176.9899
24.000000 89.742 176.4130
24.299999 89.715 175.9838
24.700001 89.675 175.4118
25.000000 89.640 174.9904
25.400000 89.591 174.4514
25.799999 89.544 173.9357
26.200001 89.503 173.4174
26.500000 89.476 173.0128
26.900000 89.440 172.4612
27.200001 89.409 172.0702
27.600000 89.363 171.6358
28.000000 89.318 171.3374
28.500000 89.279 171.0880
29.000000 89.256 170.7667
29.500000 89.227 170.2226
30.000000 89.166 169.5126
30.400000 89.097 168.9498
30.700001 89.043 168.5776
31.100000 88.980 168.1509
31.500000 88.932 167.7672
32.000000 88.888 167.2944
32.500000 88.847 166.8333
33.000000 88.801 166.4200
33.500000 88.751 166.0430
34.000000 88.697 165.6529
34.500000 88.638 165.2419
35.000000 88.576 164.8530
35.500000 88.519 164.5140
36.000000 88.473 164.1993
36.500000 88.430 163.8790
37.000000 88.384 163.5642
37.500000 88.335 163.2766
38.200001 88.268 162.8793
38.700001 88.219 162.5523
39.500000 88.126 162.0179
40.000000 88.066 161.7459
40.599998 88.004 161.4641
41.200001 87.949 161.1636
41.799999 87.891 160.8553
42.500000 87.819 160.5546
43.099998 87.761 160.3240
43.700001 87.705 160.0511
44.400002 87.630 159.6990
45.000000 87.563 159.4522
45.500000 87.513 159.3072
46.200001 87.460 159.1419
46.799999 87.422 158.9804
47.500000 87.376 158.7543
48.200001 87.323 158.4964
48.700001 87.280 158.3012
49.400002 87.216 158.0451
50.000000 87.162 157.8662
50.799999 87.094 157.6603
51.500000 87.035 157.4727
52.200001 86.974 157.2914
53.000000 86.906 157.1046
53.799999 86.845 156.8965
54.500000 86.789 156.6911
55.200001 86.730 156.5027
56.000000 86.663 156.3253
57.000000 86.583 156.1171
58.000000 86.501 155.9301
59.000000 86.421 155.7906
60.000000 86.348 155.6322
60.799999 86.289 155.5012
61.500000 86.239 155.4043
62.200001 86.192 155.3021
63.000000 86.135 155.1759
64.000000 86.060 155.0668
65.000000 85.990 154.9832
66.000000 85.914 154.8945
67.000000 85.844 154.7926
68.000000 85.778 154.6564
69.000000 85.706 154.6223
70.000000 85.636 154.6327
71.000000 85.566 154.5410
72.000000 85.500 154.5068
73.000000 85.448 154.5510
74.000000 85.368 154.5454
75.000000 85.298 154.5524
76.199997 85.269 154.2016
77.500000 85.195 154.2983
78.800003 85.138 154.6786
80.000000 85.074 154.7284
81.199997 85.024 154.5547
82.500000 84.954 154.4241
83.800003 84.885 154.3737
85.000000 84.831 154.5292
86.199997 84.774 154.2918
87.500000 84.694 154.2858
88.500000 84.671 154.3781
90.000000 84.583 154.4498
91.199997 84.524 154.4915
92.500000 84.465 154.5217
93.800003 84.408 154.4774
95.000000 84.348 154.4307
96.199997 84.297 154.5524
97.500000 84.244 154.6611
98.800003 84.181 154.7634
100.000000 84.132 154.7997
101.500000 84.088 154.6556
103.000000 84.009 154.9390
104.400002 83.981 154.7642
106.000000 83.866 155.1183
107.500000 83.863 154.8305
109.000000 83.750 155.1454
110.599998 83.727 155.2297
112.000000 83.681 155.3994
113.800003 83.597 155.6133
115.000000 83.560 155.5712
117.199997 83.481 155.7008
118.000000 83.448 155.6998
120.599998 83.389 156.0121
122.000000 83.342 156.0923
124.099998 83.261 156.1414
125.000000 83.240 156.2727
126.500000 83.201 156.3408
128.000000 83.158 156.4718
131.500000 83.050 156.7291
132.000000 83.032 156.7844
134.000000 82.982 156.9472
136.000000 82.933 157.1456
138.000000 82.888 157.3536
140.000000 82.827 157.3745
143.000000 82.752 157.6864
145.000000 82.699 157.8003
147.500000 82.630 158.0280
150.000000 82.592 158.2675
152.500000 82.516 158.5191
155.000000 82.471 158.7620
157.500000 82.410 158.9305
160.000000 82.359 159.1284
162.500000 82.306 159.4271
165.000000 82.235 159.6450
167.500000 82.169 159.9741
170.000000 82.122 160.0406
172.500000 82.062 160.3873
175.000000 82.038 160.6623
177.500000 81.980 161.3278
180.000000 81.924 161.5166
182.500000 81.920 162.0439
185.000000 81.970 162.8650
187.500000 81.906 162.8816
190.000000 81.942 163.1951
192.500000 81.925 162.8770
195.000000 81.897 163.0240
197.500000 81.905 163.1159
200.000000 81.883 163.1270
203.000000 81.783 163.0212
206.000000 81.726 162.9012
209.000000 81.739 163.2955
212.000000 81.677 163.7339
214.000000 81.636 163.9554
218.000000 81.584 164.1540
220.000000 81.556 164.2197
224.000000 81.484 164.7261
227.000000 81.475 164.9321
230.000000 81.419 165.2077
233.000000 81.379 165.6307
236.000000 81.353 165.8344
240.000000 81.295 166.3178
243.000000 81.304 166.7136
247.000000 81.323 167.1113
250.000000 81.296 167.5159
254.000000 81.295 167.7515
258.000000 81.311 167.8477
262.000000 81.290 168.0636
265.000000 81.258 168.0885
269.000000 81.259 168.2765
272.000000 81.230 168.4330
276.000000 81.208 168.6467
280.000000 81.168 168.6907
285.000000 81.139 169.0646
290.000000 81.101 169.3773
295.000000 81.102 169.5563
300.000000 81.054 169.8099
304.000000 81.000 170.0061
307.000000 80.996 170.4738
311.000000 80.972 170.5762
315.000000 80.953 170.8492
320.000000 80.932 170.9918
325.000000 80.923 171.3478
330.000000 80.889 171.6340
335.000000 80.855 171.8745
340.000000 80.846 172.0959
345.000000 80.815 172.3232
350.000000 80.793 172.6028
355.000000 80.784 172.9866
360.000000 80.758 173.2328
365.000000 80.745 173.4915
370.000000 80.738 173.6361
375.000000 80.727 174.0653
382.000000 80.693 174.1802
387.000000 80.690 174.6598
395.000000 80.639 174.8674
400.000000 80.620 175.2362
406.000000 80.608 175.5459
412.000000 80.579 175.8956
418.000000 80.566 176.1097
425.000000 80.552 176.4968
431.000000 80.533 176.6946
437.000000 80.521 177.0318
444.000000 80.502 177.2985
450.000000 80.477 177.6501
455.000000 80.476 177.8746
462.000000 80.457 178.2113
468.000000 80.464 178.5651
475.000000 80.436 178.9133
482.000000 80.417 179.1181
487.000000 80.398 179.4450
494.000000 80.399 179.8284
500.000000 80.377 -179.9544
508.000000 80.374 -179.4967
515.000000 80.366 -179.2180
522.000000 80.340 -178.9652
530.000000 80.326 -178.5517
538.000000 80.315 -178.1369
545.000000 80.319 -177.8418
552.000000 80.295 -177.5538
560.000000 80.293 -177.0999
570.000000 80.280 -176.6559
580.000000 80.262 -176.2064
590.000000 80.275 -175.8754
600.000000 80.240 -175.2535
608.000000 80.247 -174.9552
615.000000 80.240 -174.6582
622.000000 80.241 -174.3279
630.000000 80.230 -173.8092
640.000000 80.235 -173.4873
650.000000 80.241 -173.0153
660.000000 80.228 -172.5805
670.000000 80.236 -172.1158
680.000000 80.260 -171.6973
690.000000 80.252 -171.3029
700.000000 80.260 -170.8738
710.000000 80.243 -170.6880
720.000000 80.215 -170.2054
730.000000 80.165 -169.5992
740.000000 80.171 -168.9089
750.000000 80.194 -168.3348
762.000000 80.208 -167.8872
775.000000 80.214 -167.1827
788.000000 80.203 -166.2529
800.000000 80.257 -165.6122
812.000000 80.301 -165.0854
825.000000 80.314 -164.3614
838.000000 80.373 -163.7220
850.000000 80.406 -163.1929
862.000000 80.455 -162.6156
875.000000 80.491 -162.0649
885.000000 80.529 -161.5465
900.000000 80.593 -160.9430
912.000000 80.649 -160.3892
925.000000 80.707 -159.9354
938.000000 80.769 -159.3884
950.000000 80.831 -159.0603
962.000000 80.874 -158.4677
975.000000 80.951 -158.0217
988.000000 81.017 -157.6778
1000.000000 81.175 -156.9780
1015.000000 81.167 -156.9826
1030.000000 81.249 -156.5257
1044.000000 81.319 -156.2069
1060.000000 81.410 -155.9821
1075.000000 81.493 -155.5229
1090.000000 81.565 -155.4220
1106.000000 81.647 -155.0777
1120.000000 81.729 -154.8500
1138.000000 81.803 -154.7995
1150.000000 81.858 -154.6534
1172.000000 81.971 -154.5554
1180.000000 81.983 -154.4059
1206.000000 82.110 -154.2379
1220.000000 82.156 -154.2437
1241.000000 82.255 -154.2257
1250.000000 82.282 -154.1068
1265.000000 82.329 -154.0429
1280.000000 82.376 -154.0041
1315.000000 82.481 -154.0404
1320.000000 82.489 -154.0336
1340.000000 82.545 -153.8748
1360.000000 82.585 -153.9269
1380.000000 82.652 -153.8902
1400.000000 82.684 -153.8721
1430.000000 82.757 -153.7632
1450.000000 82.792 -153.8008
1475.000000 82.832 -153.6372
1500.000000 82.876 -153.6663
1525.000000 82.924 -153.5545
1550.000000 82.964 -153.4128
1575.000000 82.989 -153.3993
1600.000000 83.027 -153.1989
1625.000000 83.077 -153.1488
1650.000000 83.108 -153.0345
1675.000000 83.147 -152.8820
1700.000000 83.189 -152.6566
1725.000000 83.218 -152.6563
1750.000000 83.257 -152.4002
1775.000000 83.291 -152.2223
1800.000000 83.326 -152.1215
1825.000000 83.355 -151.9921
1850.000000 83.401 -151.9832
1875.000000 83.455 -151.6078
1900.000000 83.486 -151.4091
1925.000000 83.501 -151.3993
1950.000000 83.550 -151.1831
1975.000000 83.593 -151.0876
2000.000000 83.671 -151.3518
2030.000000 83.686 -150.7323
2060.000000 83.723 -150.4996
2090.000000 83.778 -150.3650
2120.000000 83.825 -150.0477
2140.000000 83.860 -149.9922
2180.000000 83.920 -149.9230
2200.000000 83.964 -149.7358
2240.000000 84.036 -149.4552
2270.000000 84.096 -149.3537
2300.000000 84.163 -149.1547
2330.000000 84.206 -149.0552
2360.000000 84.266 -148.9727
2400.000000 84.337 -148.7619
2430.000000 84.398 -148.7142
2470.000000 84.481 -148.5174
2500.000000 84.545 -148.4073
2540.000000 84.610 -148.3422
2580.000000 84.705 -148.3413
2620.000000 84.801 -148.0620
2650.000000 84.846 -148.1470
2690.000000 84.948 -148.0986
2720.000000 85.015 -148.0025
2760.000000 85.092 -148.0246
2800.000000 85.180 -148.0654
2850.000000 85.304 -148.1426
2900.000000 85.410 -148.1801
2950.000000 85.511 -148.3892
3000.000000 85.576 -148.6791
3040.000000 85.716 -148.7552
3070.000000 85.788 -148.8439
3110.000000 85.867 -149.0860
3150.000000 85.962 -149.2758
3200.000000 86.054 -149.5378
3250.000000 86.168 -149.9818
3300.000000 86.250 -150.2227
3350.000000 86.343 -150.6518
3400.000000 86.435 -150.8925
3450.000000 86.537 -151.1988
3500.000000 86.644 -151.5467
3550.000000 86.765 -151.9812
3600.000000 86.894 -152.7000
3650.000000 86.998 -153.5747
3700.000000 87.066 -154.5480
3750.000000 87.071 -154.7909
3820.000000 87.264 -155.7711
3870.000000 87.339 -156.7764
3950.000000 87.402 -158.4054
4000.000000 87.454 -159.0908
4060.000000 87.448 -160.4248
4120.000000 87.468 -161.5354
4180.000000 87.461 -162.7626
4250.000000 87.436 -163.9716
4310.000000 87.406 -165.0355
4370.000000 87.348 -166.1191
4440.000000 87.269 -167.2225
4500.000000 87.189 -168.1985
4550.000000 87.114 -168.9456
4620.000000 86.989 -169.9257
4680.000000 86.860 -170.6628
4750.000000 86.686 -171.3701
4820.000000 86.494 -171.8340
4870.000000 86.369 -171.9406
4940.000000 86.186 -172.0416
5000.000000 86.022 -171.8048
5080.000000 85.886 -171.9444
5150.000000 85.751 -171.7122
5220.000000 85.616 -171.3848
5300.000000 85.467 -171.0076
5380.000000 85.339 -170.5500
5450.000000 85.217 -170.1184
5520.000000 85.092 -169.5226
5600.000000 84.964 -168.7701
5700.000000 84.854 -167.6846
5800.000000 84.722 -166.5953
5900.000000 84.648 -165.1086
6000.000000 84.501 -163.8203
6080.000000 84.485 -162.7286
