* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Penon Fan 2 - S2 - Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jun 2, 2023 7:44:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Penon Fan 2 - S2 - Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Penon Fan 2 - S2 - Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.133	-61.9892
1.015000	59.951	-62.8599
1.030000	59.761	-63.7207
1.044000	59.577	-64.5145
1.060000	59.357	-65.4096
1.075000	59.142	-66.2362
1.090000	58.917	-67.0498
1.106000	58.666	-67.9286
1.120000	58.437	-68.8470
1.138000	58.129	-70.2418
1.150000	57.917	-71.2847
1.172000	57.512	-73.3809
1.180000	57.360	-74.1890
1.206000	56.851	-76.9203
1.220000	56.568	-78.4221
1.241000	56.133	-80.6574
1.250000	55.943	-81.5935
1.265000	55.622	-83.1033
1.280000	55.296	-84.5271
1.315000	54.518	-87.3674
1.320000	54.405	-87.7036
1.340000	53.951	-88.8360
1.360000	53.492	-89.5810
1.380000	53.031	-89.8759
1.400000	52.567	-89.6582
1.430000	51.872	-88.2336
1.450000	51.409	-86.4604
1.475000	50.826	-83.1653
1.500000	50.166	-78.3005
1.525000	49.428	-71.9918
1.550000	48.634	-64.4765
1.575000	47.803	-55.9919
1.600000	46.955	-46.7754
1.625000	46.112	-37.0641
1.650000	45.294	-27.0955
1.675000	44.521	-17.1069
1.700000	43.813	-7.3355
1.725000	43.191	1.9813
1.750000	42.675	10.6062
1.775000	42.286	18.3020
1.800000	42.044	24.8312
1.825000	41.970	29.9567
1.850000	42.088	33.6683
1.875000	42.410	36.4397
1.900000	42.909	38.3830
1.925000	43.558	39.5904
1.950000	44.330	40.1542
1.975000	45.199	40.1667
2.000000	46.138	39.7200
2.030000	47.318	38.7077
2.060000	48.514	37.3265
2.090000	49.679	35.7356
2.120000	50.767	34.0944
2.140000	51.426	33.0511
2.180000	52.525	31.2988
2.200000	52.938	30.6811
2.240000	53.598	29.3633
2.270000	54.000	28.1216
2.300000	54.332	26.6984
2.330000	54.604	25.1257
2.360000	54.824	23.4354
2.400000	55.055	21.0542
2.430000	55.192	19.2142
2.470000	55.344	16.7496
2.500000	55.448	14.9341
2.540000	55.589	12.6184
2.580000	55.747	10.4675
2.620000	55.878	8.3231
2.650000	55.951	6.6984
2.690000	56.020	4.5230
2.720000	56.052	2.8933
2.760000	56.072	0.7357
2.800000	56.068	-1.3899
2.850000	56.038	-3.9776
2.900000	55.985	-6.4591
2.950000	55.916	-8.8189
3.000000	55.812	-11.1602
3.040000	55.703	-13.0130
3.070000	55.609	-14.3750
3.110000	55.469	-16.1351
3.150000	55.315	-17.8092
3.200000	55.109	-19.7446
3.250000	54.892	-21.4614
3.300000	54.672	-22.9135
3.350000	54.424	-24.1518
3.400000	54.140	-25.2214
3.450000	53.837	-26.1037
3.500000	53.531	-26.7801
3.550000	53.239	-27.2319
3.600000	52.977	-27.4406
3.650000	52.762	-27.3875
3.700000	52.593	-26.9861
3.750000	52.438	-26.1328
3.820000	52.259	-24.4147
3.870000	52.169	-22.9920
3.950000	52.115	-20.7402
4.000000	52.149	-19.5529
4.060000	52.277	-18.4784
4.120000	52.513	-17.4572
4.180000	52.831	-16.5079
4.250000	53.268	-15.6080
4.310000	53.666	-15.1145
4.370000	54.054	-14.9696
4.440000	54.482	-15.3467
4.500000	54.871	-16.1172
4.550000	55.205	-17.0068
4.620000	55.673	-18.5246
4.680000	56.059	-19.9800
4.750000	56.475	-21.7307
4.820000	56.847	-23.5600
4.870000	57.098	-25.0172
4.940000	57.428	-27.1925
5.000000	57.690	-29.1119
5.080000	58.013	-31.6313
5.150000	58.268	-33.7024
5.220000	58.493	-35.7575
5.300000	58.718	-38.0907
5.380000	58.916	-40.3311
5.450000	59.074	-42.1528
5.520000	59.222	-43.7977
5.600000	59.365	-45.5179
5.700000	59.515	-47.4404
5.800000	59.655	-49.0837
5.900000	59.806	-50.4125
6.000000	59.952	-51.3815
6.080000	60.069	-51.9580
6.150000	60.181	-52.3682
6.220000	60.308	-52.7318
6.300000	60.473	-53.0529
6.400000	60.701	-53.2644
6.500000	60.948	-53.4078
6.600000	61.211	-53.6359
6.700000	61.498	-53.9385
6.800000	61.804	-54.2736
6.900000	62.113	-54.6889
7.000000	62.410	-55.2309
7.100000	62.706	-55.9048
7.200000	62.996	-56.6669
7.300000	63.270	-57.4709
7.400000	63.522	-58.3071
7.500000	63.758	-59.2083
7.620000	64.019	-60.2958
7.750000	64.274	-61.3873
7.880000	64.498	-62.4274
8.000000	64.687	-63.3134
8.120000	64.868	-64.0856
8.250000	65.048	-64.8014
8.380000	65.222	-65.4283
8.500000	65.386	-65.9425
8.620000	65.550	-66.3764
8.750000	65.729	-66.8207
8.850000	65.870	-67.1791
9.000000	66.087	-67.7069
9.120000	66.259	-68.1556
9.250000	66.442	-68.7008
9.380000	66.623	-69.2920
9.500000	66.782	-69.8685
9.620000	66.935	-70.4765
9.750000	67.093	-71.1713
9.880000	67.233	-71.8704
10.000000	67.342	-72.5103
10.150000	67.455	-73.3101
10.300000	67.557	-74.0819
