* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 21, 2024 5:06:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L UNITY Feb 21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 141.247 -138.1609
20.600000 141.286 -138.7269
20.900000 141.319 -139.2218
21.200001 141.351 -139.7115
21.400000 141.373 -140.0421
21.799999 141.417 -140.7143
22.000000 141.439 -141.0532
22.400000 141.481 -141.7228
22.700001 141.511 -142.2043
23.000000 141.539 -142.6601
23.299999 141.565 -143.0923
23.600000 141.592 -143.5081
24.000000 141.626 -144.0512
24.299999 141.650 -144.4591
24.700001 141.679 -145.0058
25.000000 141.699 -145.4136
25.400000 141.724 -145.9457
25.799999 141.749 -146.4582
26.200001 141.775 -146.9521
26.500000 141.795 -147.3142
26.900000 141.822 -147.7896
27.200001 141.842 -148.1411
27.600000 141.866 -148.6007
28.000000 141.889 -149.0461
28.500000 141.916 -149.5811
29.000000 141.943 -150.0966
29.500000 141.967 -150.5966
30.000000 141.991 -151.0801
30.400000 142.008 -151.4539
30.700001 142.021 -151.7280
31.100000 142.039 -152.0894
31.500000 142.057 -152.4505
32.000000 142.078 -152.9028
32.500000 142.098 -153.3479
33.000000 142.116 -153.7741
33.500000 142.133 -154.1777
34.000000 142.150 -154.5644
34.500000 142.167 -154.9420
35.000000 142.184 -155.3134
35.500000 142.199 -155.6781
36.000000 142.213 -156.0343
36.500000 142.228 -156.3816
37.000000 142.242 -156.7194
37.500000 142.256 -157.0475
38.200001 142.274 -157.4926
38.700001 142.286 -157.8027
39.500000 142.305 -158.2904
40.000000 142.316 -158.5899
40.599998 142.329 -158.9417
41.200001 142.342 -159.2835
41.799999 142.354 -159.6154
42.500000 142.366 -159.9888
43.099998 142.376 -160.2954
43.700001 142.387 -160.5955
44.400002 142.400 -160.9469
45.000000 142.411 -161.2451
45.500000 142.418 -161.4830
46.200001 142.428 -161.7993
46.799999 142.437 -162.0656
47.500000 142.448 -162.3779
48.200001 142.457 -162.6844
48.700001 142.464 -162.8959
49.400002 142.472 -163.1815
50.000000 142.479 -163.4190
50.799999 142.487 -163.7281
51.500000 142.494 -163.9928
52.200001 142.503 -164.2558
53.000000 142.512 -164.5558
53.799999 142.520 -164.8392
54.500000 142.526 -165.0694
55.200001 142.533 -165.2981
56.000000 142.540 -165.5597
57.000000 142.548 -165.8842
58.000000 142.555 -166.2159
59.000000 142.561 -166.5167
60.000000 142.571 -166.8060
60.799999 142.576 -167.0269
61.500000 142.580 -167.2089
62.200001 142.586 -167.4031
63.000000 142.590 -167.6331
64.000000 142.595 -167.8912
65.000000 142.602 -168.1429
66.000000 142.605 -168.3950
67.000000 142.607 -168.6208
68.000000 142.614 -168.8556
69.000000 142.618 -169.0926
70.000000 142.621 -169.3096
71.000000 142.624 -169.5422
72.000000 142.626 -169.7516
73.000000 142.633 -169.9698
74.000000 142.635 -170.1881
75.000000 142.639 -170.3646
76.199997 142.642 -170.6008
77.500000 142.640 -170.8449
78.800003 142.646 -171.0777
80.000000 142.649 -171.2951
81.199997 142.651 -171.5088
82.500000 142.654 -171.7451
83.800003 142.656 -171.9507
85.000000 142.659 -172.1275
86.199997 142.658 -172.3323
87.500000 142.660 -172.5274
88.500000 142.663 -172.6817
90.000000 142.662 -172.8959
91.199997 142.663 -173.0668
92.500000 142.664 -173.2424
93.800003 142.666 -173.4165
95.000000 142.665 -173.5947
96.199997 142.666 -173.7395
97.500000 142.669 -173.8980
98.800003 142.670 -174.0606
100.000000 142.668 -174.2177
101.500000 142.670 -174.4068
103.000000 142.669 -174.5623
104.400002 142.671 -174.7190
106.000000 142.665 -174.9025
107.500000 142.668 -175.0667
109.000000 142.670 -175.2110
110.599998 142.666 -175.3801
112.000000 142.667 -175.5459
113.800003 142.665 -175.6970
115.000000 142.668 -175.8274
117.199997 142.666 -176.0479
118.000000 142.664 -176.1231
120.599998 142.663 -176.3351
122.000000 142.660 -176.4611
124.099998 142.660 -176.6530
125.000000 142.659 -176.7258
126.500000 142.658 -176.8549
128.000000 142.653 -176.9841
131.500000 142.654 -177.2398
132.000000 142.654 -177.2784
134.000000 142.651 -177.4553
136.000000 142.651 -177.5881
138.000000 142.646 -177.7359
140.000000 142.648 -177.8848
143.000000 142.641 -178.0914
145.000000 142.642 -178.2090
147.500000 142.635 -178.3892
150.000000 142.633 -178.5388
152.500000 142.630 -178.6915
155.000000 142.630 -178.8637
157.500000 142.623 -179.0098
160.000000 142.620 -179.1607
162.500000 142.619 -179.2938
165.000000 142.612 -179.4498
167.500000 142.609 -179.5855
170.000000 142.606 -179.7126
172.500000 142.603 -179.8199
175.000000 142.599 -179.9815
177.500000 142.595 179.9152
180.000000 142.592 179.7876
182.500000 142.587 179.6543
185.000000 142.586 179.5637
187.500000 142.579 179.4266
190.000000 142.579 179.3248
192.500000 142.576 179.2139
195.000000 142.568 179.1235
197.500000 142.567 178.9892
200.000000 142.560 178.8925
203.000000 142.556 178.7673
206.000000 142.549 178.6488
209.000000 142.546 178.5223
212.000000 142.540 178.4003
214.000000 142.538 178.3384
218.000000 142.529 178.1841
220.000000 142.527 178.1243
224.000000 142.517 177.9745
227.000000 142.515 177.8634
230.000000 142.511 177.7844
233.000000 142.503 177.6598
236.000000 142.498 177.5665
240.000000 142.494 177.4382
243.000000 142.488 177.3495
247.000000 142.480 177.2195
250.000000 142.474 177.1201
254.000000 142.470 177.0110
258.000000 142.460 176.8859
262.000000 142.455 176.7668
265.000000 142.449 176.6884
269.000000 142.443 176.5723
272.000000 142.437 176.5010
276.000000 142.429 176.3851
280.000000 142.424 176.2993
285.000000 142.414 176.1649
290.000000 142.403 176.0352
295.000000 142.393 175.9191
300.000000 142.385 175.8027
304.000000 142.378 175.7306
307.000000 142.373 175.6443
311.000000 142.365 175.5440
315.000000 142.358 175.4629
320.000000 142.349 175.3597
325.000000 142.338 175.2543
330.000000 142.329 175.1537
335.000000 142.320 175.0643
340.000000 142.312 174.9757
345.000000 142.303 174.8741
350.000000 142.290 174.7766
355.000000 142.282 174.6785
360.000000 142.273 174.5992
365.000000 142.266 174.5087
370.000000 142.256 174.4348
375.000000 142.244 174.3735
382.000000 142.235 174.2530
387.000000 142.223 174.1944
395.000000 142.206 174.0551
400.000000 142.201 173.9901
406.000000 142.187 173.8988
412.000000 142.173 173.8459
418.000000 142.164 173.7585
425.000000 142.154 173.6868
431.000000 142.139 173.6208
437.000000 142.129 173.5634
444.000000 142.113 173.4730
450.000000 142.104 173.4268
455.000000 142.094 173.3575
462.000000 142.082 173.3198
468.000000 142.069 173.2559
475.000000 142.059 173.2146
482.000000 142.045 173.1507
487.000000 142.038 173.1169
494.000000 142.019 173.1033
500.000000 142.010 173.0443
508.000000 141.997 173.0103
515.000000 141.985 172.9648
522.000000 141.974 172.9475
530.000000 141.956 172.9237
538.000000 141.944 172.9050
545.000000 141.930 172.8646
552.000000 141.920 172.8808
560.000000 141.910 172.8633
570.000000 141.893 172.8555
580.000000 141.875 172.8595
590.000000 141.861 172.8921
600.000000 141.851 172.9019
608.000000 141.841 172.9396
615.000000 141.829 172.9832
622.000000 141.820 173.0116
630.000000 141.812 173.0389
640.000000 141.800 173.0966
650.000000 141.790 173.1687
660.000000 141.781 173.2313
670.000000 141.774 173.3334
680.000000 141.769 173.4304
690.000000 141.765 173.5392
700.000000 141.760 173.6490
710.000000 141.753 173.7573
720.000000 141.759 173.8896
730.000000 141.754 173.9979
740.000000 141.759 174.1546
750.000000 141.764 174.2788
762.000000 141.770 174.4805
775.000000 141.779 174.6956
788.000000 141.802 174.8975
800.000000 141.817 175.0881
812.000000 141.841 175.2849
825.000000 141.868 175.4810
838.000000 141.891 175.7046
850.000000 141.924 175.9050
862.000000 141.961 176.1060
875.000000 142.002 176.3093
885.000000 142.033 176.4419
900.000000 142.091 176.6763
912.000000 142.139 176.8028
925.000000 142.196 176.9566
938.000000 142.248 177.1054
950.000000 142.308 177.1779
962.000000 142.372 177.3144
975.000000 142.438 177.3929
988.000000 142.503 177.4219
1000.000000 142.569 177.4960
1015.000000 142.651 177.4608
1030.000000 142.736 177.4345
1044.000000 142.813 177.3596
1060.000000 142.905 177.2879
1075.000000 142.991 177.1799
1090.000000 143.071 177.0172
1106.000000 143.163 176.8352
1120.000000 143.235 176.6790
1138.000000 143.332 176.4226
1150.000000 143.392 176.2244
1172.000000 143.506 175.8749
1180.000000 143.543 175.7710
1206.000000 143.672 175.2504
1220.000000 143.737 175.0261
1241.000000 143.839 174.6438
1250.000000 143.876 174.4666
1265.000000 143.945 174.2034
1280.000000 144.015 173.9146
1315.000000 144.174 173.2336
1320.000000 144.199 173.1382
1340.000000 144.287 172.7581
1360.000000 144.384 172.3525
1380.000000 144.479 171.9752
1400.000000 144.582 171.5644
1430.000000 144.737 170.9346
1450.000000 144.846 170.4556
1475.000000 144.987 169.8410
1500.000000 145.140 169.1669
1525.000000 145.295 168.4047
1550.000000 145.456 167.5722
1575.000000 145.625 166.6221
1600.000000 145.792 165.5381
1625.000000 145.963 164.3042
1650.000000 146.135 162.9066
1675.000000 146.298 161.2794
1700.000000 146.446 159.4800
1725.000000 146.576 157.4893
1750.000000 146.675 155.2892
1775.000000 146.735 152.9008
1800.000000 146.747 150.3640
1825.000000 146.706 147.7602
1850.000000 146.606 145.1685
1875.000000 146.440 142.6895
1900.000000 146.217 140.3969
1925.000000 145.945 138.4215
1950.000000 145.631 136.7906
1975.000000 145.291 135.5879
2000.000000 144.942 134.8927
2030.000000 144.527 134.4689
2060.000000 144.134 134.7246
2090.000000 143.790 135.4460
2120.000000 143.502 136.6106
2140.000000 143.348 137.5376
2180.000000 143.120 139.6495
2200.000000 143.052 140.7709
2240.000000 142.995 143.0552
2270.000000 143.035 144.6959
2300.000000 143.114 146.2281
2330.000000 143.250 147.5524
2360.000000 143.421 148.6810
2400.000000 143.701 149.8120
2430.000000 143.935 150.4343
2470.000000 144.281 150.7790
2500.000000 144.547 150.7513
2540.000000 144.918 150.2733
2580.000000 145.280 149.3234
2620.000000 145.620 147.9416
2650.000000 145.859 146.6168
2690.000000 146.140 144.5774
2720.000000 146.315 142.8174
2760.000000 146.498 140.2851
2800.000000 146.622 137.5810
2850.000000 146.685 134.1099
2900.000000 146.657 130.7621
2950.000000 146.545 127.5966
3000.000000 146.366 124.7725
3040.000000 146.175 122.7729
3070.000000 146.020 121.4220
3110.000000 145.800 119.8641
3150.000000 145.573 118.5882
3200.000000 145.281 117.3058
3250.000000 144.994 116.3707
3300.000000 144.721 115.7482
3350.000000 144.469 115.3304
3400.000000 144.245 115.1245
3450.000000 144.056 115.0757
3500.000000 143.893 115.0394
3550.000000 143.773 115.1000
3600.000000 143.688 115.1003
3650.000000 143.645 115.0048
3700.000000 143.630 114.6255
3750.000000 143.642 114.0354
3820.000000 143.686 112.6053
3870.000000 143.710 110.9462
3950.000000 143.671 107.2426
4000.000000 143.541 104.2341
4060.000000 143.217 100.3601
4120.000000 142.665 96.5103
4180.000000 141.900 93.3784
4250.000000 140.807 91.3086
4310.000000 139.787 91.2173
4370.000000 138.779 92.6662
4440.000000 137.705 96.0505
4500.000000 136.900 100.0878
4550.000000 136.348 104.0701
4620.000000 135.739 110.3156
4680.000000 135.375 115.7815
4750.000000 135.128 122.3410
4820.000000 135.044 128.6157
4870.000000 135.065 133.0480
4940.000000 135.208 138.9445
5000.000000 135.450 143.3612
5080.000000 135.831 149.2569
5150.000000 136.272 153.5903
5220.000000 136.807 157.4471
5300.000000 137.513 161.0690
5380.000000 138.337 163.6074
5450.000000 139.134 164.5994
5520.000000 139.978 164.1221
5600.000000 140.916 161.1380
5700.000000 141.734 153.0495
5800.000000 141.523 141.9013
5900.000000 140.092 133.7461
6000.000000 138.109 133.2807
6080.000000 136.696 138.6861
6150.000000 135.893 145.7722
6220.000000 135.503 153.7469
