* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 23, 2025 1:52:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R QUANTUM clarion blue 713
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.566 -169.3180
20.600000 80.553 -170.0892
20.900000 80.542 -170.8602
21.200001 80.532 -171.6482
21.400000 80.525 -172.1494
21.799999 80.513 -173.0506
22.000000 80.508 -173.4398
22.400000 80.504 -174.1124
22.700001 80.502 -174.5699
23.000000 80.498 -175.0305
23.299999 80.485 -175.5098
23.600000 80.465 -176.0038
24.000000 80.428 -176.6669
24.299999 80.401 -177.1561
24.700001 80.372 -177.8008
25.000000 80.358 -178.2910
25.400000 80.349 -178.9662
25.799999 80.343 -179.6601
26.200001 80.331 179.6487
26.500000 80.317 179.1441
26.900000 80.289 178.4966
27.200001 80.262 178.0327
27.600000 80.222 177.4478
28.000000 80.183 176.9077
28.500000 80.145 176.2841
29.000000 80.124 175.6609
29.500000 80.109 174.9843
30.000000 80.081 174.2799
30.400000 80.045 173.7592
30.700001 80.013 173.4173
31.100000 79.973 173.0125
31.500000 79.942 172.6142
32.000000 79.912 172.0445
32.500000 79.879 171.4024
33.000000 79.837 170.8027
33.500000 79.794 170.3193
34.000000 79.759 169.8882
34.500000 79.726 169.3944
35.000000 79.679 168.8350
35.500000 79.619 168.3239
36.000000 79.568 167.9319
36.500000 79.542 167.5893
37.000000 79.531 167.1827
37.500000 79.506 166.7140
38.200001 79.429 166.1345
38.700001 79.363 165.7894
39.500000 79.278 165.0226
40.000000 79.234 164.3602
40.599998 79.184 163.5938
41.200001 79.148 163.0673
41.799999 79.120 162.7568
42.500000 79.066 162.4988
43.099998 78.994 162.2668
43.700001 78.924 161.9077
44.400002 78.864 161.2375
45.000000 78.820 160.6444
45.500000 78.788 160.3649
46.200001 78.759 160.2606
46.799999 78.723 160.0886
47.500000 78.621 159.6371
48.200001 78.496 159.1514
48.700001 78.437 158.7852
49.400002 78.383 158.2507
50.000000 78.338 158.0746
50.799999 78.323 158.1355
51.500000 78.316 157.7147
52.200001 78.241 157.2622
53.000000 78.212 157.3698
53.799999 78.192 156.6220
54.500000 77.871 155.5640
55.200001 77.441 156.0317
56.000000 77.418 156.8553
57.000000 77.712 154.7411
58.000000 77.728 154.1491
59.000000 77.721 154.9938
60.000000 77.545 154.6274
60.799999 77.425 154.4188
61.500000 77.422 154.1666
62.200001 77.409 153.7683
63.000000 77.335 153.4979
64.000000 77.277 153.2163
65.000000 77.209 152.6906
66.000000 77.099 152.6697
67.000000 77.009 152.1883
68.000000 76.877 151.8580
69.000000 76.895 152.1695
70.000000 76.858 151.7018
71.000000 76.705 151.5971
72.000000 76.668 151.2777
73.000000 76.573 150.6587
74.000000 76.487 150.6512
75.000000 76.447 150.4402
76.199997 76.338 151.1463
77.500000 76.324 151.1148
78.800003 76.168 150.3525
80.000000 76.144 150.1817
81.199997 76.062 150.1631
82.500000 75.974 148.9028
83.800003 75.844 149.3384
85.000000 75.829 149.6436
86.199997 75.681 149.6619
87.500000 75.645 149.4353
88.500000 75.593 149.2752
90.000000 75.462 149.1365
91.199997 75.412 148.9050
92.500000 75.304 148.9283
93.800003 75.218 148.9368
95.000000 75.178 148.6255
96.199997 75.154 148.4975
97.500000 75.076 148.7087
98.800003 74.975 148.7602
100.000000 74.909 148.7147
101.500000 74.837 148.6138
103.000000 74.740 148.7191
104.400002 74.669 148.6595
106.000000 74.566 148.7548
107.500000 74.383 148.5157
109.000000 74.435 148.7688
110.599998 74.324 148.7226
112.000000 74.266 148.6754
113.800003 74.185 148.7900
115.000000 74.119 148.8204
117.199997 74.024 148.9164
118.000000 73.988 149.1824
120.599998 73.868 148.7094
122.000000 73.799 149.0866
124.099998 73.672 149.0735
125.000000 73.629 149.0647
126.500000 73.609 149.3174
128.000000 73.513 149.4042
131.500000 73.399 149.6534
132.000000 73.367 149.6866
134.000000 73.254 149.7953
136.000000 73.158 149.7484
138.000000 73.145 149.8976
140.000000 72.991 150.1404
143.000000 72.855 150.4047
145.000000 72.808 150.7271
147.500000 72.719 150.9871
150.000000 72.619 151.4716
152.500000 72.475 152.5132
155.000000 72.408 152.6526
157.500000 72.371 153.2479
160.000000 72.385 153.9934
162.500000 72.196 154.3995
165.000000 72.263 154.5257
167.500000 72.347 154.1508
170.000000 72.383 153.7419
172.500000 72.271 154.0164
175.000000 72.182 154.1649
177.500000 72.119 154.2582
180.000000 72.084 154.5027
182.500000 72.069 154.1900
185.000000 71.964 154.6533
187.500000 71.866 154.1016
190.000000 71.751 154.6055
192.500000 71.684 154.6855
195.000000 71.608 155.5545
197.500000 71.595 155.4988
200.000000 71.475 154.8059
203.000000 71.510 155.4324
206.000000 71.404 154.7939
209.000000 71.460 156.6696
212.000000 71.494 157.2977
214.000000 71.359 157.6360
218.000000 71.185 155.8336
220.000000 71.359 157.1051
224.000000 71.102 158.1010
227.000000 71.074 157.5351
230.000000 71.111 157.7556
233.000000 71.127 157.5425
236.000000 71.087 159.8300
240.000000 70.782 159.4166
243.000000 71.062 157.0684
247.000000 71.038 160.8914
250.000000 71.001 160.6414
254.000000 70.542 160.8406
258.000000 70.645 161.1164
262.000000 70.631 161.2717
265.000000 70.558 161.1235
269.000000 70.554 161.8600
272.000000 70.473 162.0876
276.000000 70.424 162.4808
280.000000 70.366 162.9264
285.000000 70.317 163.5018
290.000000 70.268 163.5192
295.000000 70.277 164.2283
300.000000 70.174 164.6263
304.000000 70.140 164.9878
307.000000 70.120 165.1345
311.000000 70.039 165.6525
315.000000 70.077 166.0309
320.000000 70.018 166.4852
325.000000 69.975 166.7945
330.000000 69.882 167.3425
335.000000 69.878 167.7156
340.000000 69.864 168.2786
345.000000 69.806 168.8495
350.000000 69.813 168.8777
355.000000 69.768 169.2656
360.000000 69.719 169.8489
365.000000 69.710 170.3530
370.000000 69.657 170.7690
375.000000 69.619 171.0417
382.000000 69.633 171.6808
387.000000 69.601 172.0411
395.000000 69.588 172.4520
400.000000 69.565 173.0658
406.000000 69.534 173.4255
412.000000 69.544 173.8302
418.000000 69.526 174.4430
425.000000 69.465 174.5945
431.000000 69.481 175.7763
437.000000 69.387 176.3499
444.000000 69.369 175.7681
450.000000 69.419 177.3520
455.000000 69.288 176.6736
462.000000 69.257 178.2227
468.000000 69.310 179.2538
475.000000 69.363 178.2848
482.000000 69.508 -179.8851
487.000000 69.262 178.9922
494.000000 69.334 -179.0448
500.000000 69.254 -179.8785
508.000000 69.303 -178.2582
515.000000 69.173 -178.7912
522.000000 69.235 -177.6367
530.000000 69.238 -176.9757
538.000000 69.264 -176.8684
545.000000 69.278 -176.2264
552.000000 69.212 -176.0571
560.000000 69.185 -175.1183
570.000000 69.225 -174.9572
580.000000 69.271 -174.0074
590.000000 69.227 -173.4136
600.000000 69.284 -172.6223
608.000000 69.257 -172.1169
615.000000 69.306 -171.6214
622.000000 69.382 -171.6373
630.000000 69.348 -170.9980
640.000000 69.318 -169.5936
650.000000 69.254 -169.2999
660.000000 69.330 -168.8278
670.000000 69.380 -168.0108
680.000000 69.366 -167.9754
690.000000 69.386 -166.9204
700.000000 69.452 -165.9801
710.000000 69.497 -165.2823
720.000000 69.513 -164.9553
730.000000 69.487 -164.9122
740.000000 69.518 -163.4738
750.000000 69.561 -162.9751
762.000000 69.590 -162.1841
775.000000 69.691 -161.6629
788.000000 69.706 -160.6212
800.000000 69.741 -160.5153
812.000000 69.852 -159.3086
825.000000 69.846 -158.8978
838.000000 69.896 -158.2677
850.000000 70.000 -157.7625
862.000000 70.056 -156.9017
875.000000 70.179 -155.8440
885.000000 70.199 -155.7284
900.000000 70.322 -154.6621
912.000000 70.425 -154.0334
925.000000 70.454 -153.7509
938.000000 70.554 -153.3120
950.000000 70.650 -152.5497
962.000000 70.696 -151.9886
975.000000 70.801 -151.4980
988.000000 70.942 -151.1935
1000.000000 71.193 -149.4432
1015.000000 71.091 -150.5000
1030.000000 71.231 -150.0726
1044.000000 71.333 -150.1248
1060.000000 71.515 -149.1088
1075.000000 71.584 -148.7909
1090.000000 71.687 -148.6522
1106.000000 71.811 -148.5887
1120.000000 71.944 -147.8986
1138.000000 72.020 -147.7195
1150.000000 72.121 -147.7824
1172.000000 72.286 -147.3370
1180.000000 72.381 -147.2881
1206.000000 72.570 -147.0382
1220.000000 72.660 -147.1518
1241.000000 72.798 -146.9805
1250.000000 72.852 -146.8469
1265.000000 72.929 -146.7801
1280.000000 73.045 -146.8412
1315.000000 73.297 -146.7084
1320.000000 73.327 -146.8261
1340.000000 73.455 -146.3411
1360.000000 73.571 -146.6781
1380.000000 73.716 -146.8294
1400.000000 73.857 -146.4306
1430.000000 74.035 -146.8955
1450.000000 74.116 -146.9899
1475.000000 74.315 -147.3717
1500.000000 74.460 -147.3097
1525.000000 74.620 -147.7961
1550.000000 74.769 -147.7349
1575.000000 74.936 -148.3497
1600.000000 75.037 -148.6744
1625.000000 75.245 -148.7884
1650.000000 75.408 -149.4961
1675.000000 75.477 -150.0960
1700.000000 75.622 -150.5832
1725.000000 75.782 -151.2194
1750.000000 75.904 -152.0060
1775.000000 76.013 -152.8470
1800.000000 76.140 -153.5963
1825.000000 76.234 -154.4327
1850.000000 76.346 -155.4473
1875.000000 76.368 -156.6933
1900.000000 76.408 -157.3707
1925.000000 76.431 -158.4299
1950.000000 76.440 -159.0958
1975.000000 76.443 -160.1125
2000.000000 76.575 -160.0697
2030.000000 76.476 -161.4911
2060.000000 76.466 -161.8312
2090.000000 76.475 -162.2823
2120.000000 76.537 -162.6973
2140.000000 76.558 -163.2961
2180.000000 76.623 -163.8580
2200.000000 76.698 -164.6082
2240.000000 76.769 -165.2714
2270.000000 76.818 -166.3760
2300.000000 76.811 -167.1666
2330.000000 76.864 -168.3593
2360.000000 76.876 -169.2373
2400.000000 76.881 -170.7171
2430.000000 76.853 -171.7026
2470.000000 76.802 -173.0615
2500.000000 76.735 -173.9137
2540.000000 76.631 -175.2917
2580.000000 76.476 -176.6328
2620.000000 76.399 -177.4062
2650.000000 76.307 -178.4555
2690.000000 76.168 -178.9945
2720.000000 76.012 -179.6961
2760.000000 75.912 179.7649
2800.000000 75.657 179.0330
2850.000000 75.444 178.6523
2900.000000 75.209 179.0688
2950.000000 74.922 179.7205
3000.000000 74.932 -179.5468
3040.000000 74.711 -178.8604
3070.000000 74.723 -178.1234
3110.000000 74.682 -178.0127
3150.000000 74.720 -177.7734
3200.000000 74.704 -177.4906
3250.000000 74.702 -177.2612
3300.000000 74.740 -177.2094
3350.000000 74.687 -176.6238
3400.000000 74.730 -176.6504
3450.000000 74.729 -176.9260
3500.000000 74.736 -176.7436
3550.000000 74.691 -176.9278
3600.000000 74.638 -176.9776
3650.000000 74.609 -176.5633
3700.000000 74.680 -176.4575
3750.000000 74.731 -176.2642
3820.000000 74.814 -176.4818
3870.000000 74.904 -176.7427
3950.000000 75.042 -177.6980
4000.000000 75.070 -179.2021
4060.000000 75.007 179.7462
4120.000000 74.889 178.5001
4180.000000 74.723 177.4664
4250.000000 74.396 177.7925
4310.000000 74.164 177.9873
4370.000000 74.019 179.3715
4440.000000 74.083 -178.9871
4500.000000 74.194 -178.0697
4550.000000 74.317 -177.9132
4620.000000 74.494 -178.5430
4680.000000 74.533 -179.2792
4750.000000 74.703 179.1427
4820.000000 74.614 177.5642
4870.000000 74.525 176.2427
4940.000000 74.303 174.9177
5000.000000 74.333 174.8146
5080.000000 73.775 172.9085
5150.000000 73.422 171.7734
5220.000000 72.992 171.2552
5300.000000 72.308 172.0929
5380.000000 71.552 175.9863
5450.000000 71.394 -177.6510
5520.000000 71.771 -173.5186
5600.000000 72.231 -172.2465
5700.000000 72.445 -171.8531
5800.000000 72.500 -172.3864
5900.000000 72.480 -172.7410
6000.000000 72.262 -171.1158
6080.000000 72.342 -170.4710
