* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 23, 2025 1:40:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R QUANTUM UC 702
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.533 177.0369
20.600000 80.520 176.6056
20.900000 80.521 176.1972
21.200001 80.529 175.7051
21.400000 80.532 175.3279
21.799999 80.521 174.5245
22.000000 80.505 174.1450
22.400000 80.453 173.5339
22.700001 80.412 173.2267
23.000000 80.383 172.9921
23.299999 80.367 172.7184
23.600000 80.357 172.3273
24.000000 80.334 171.5924
24.299999 80.297 170.9646
24.700001 80.227 170.2104
25.000000 80.176 169.7973
25.400000 80.140 169.4175
25.799999 80.148 169.0172
26.200001 80.169 168.4009
26.500000 80.164 167.8183
26.900000 80.113 167.0620
27.200001 80.049 166.6600
27.600000 79.967 166.4174
28.000000 79.930 166.3247
28.500000 79.951 165.9019
29.000000 79.961 164.8920
29.500000 79.885 163.7272
30.000000 79.747 163.0805
30.400000 79.661 163.0440
30.700001 79.641 163.1309
31.100000 79.668 163.0557
31.500000 79.716 162.5547
32.000000 79.721 161.4424
32.500000 79.618 160.3732
33.000000 79.447 159.9627
33.500000 79.306 160.2495
34.000000 79.260 160.6003
34.500000 79.276 160.2877
35.000000 79.266 159.1938
35.500000 79.179 157.8473
36.000000 79.049 156.9115
36.500000 78.951 156.6353
37.000000 78.932 156.7207
37.500000 78.963 156.7156
38.200001 78.969 156.2829
38.700001 78.909 155.8783
39.500000 78.776 155.4815
40.000000 78.724 155.3369
40.599998 78.704 155.0732
41.200001 78.693 154.5869
41.799999 78.651 153.9290
42.500000 78.555 153.1872
43.099998 78.476 152.7193
43.700001 78.436 152.2729
44.400002 78.396 151.5752
45.000000 78.299 151.0768
45.500000 78.182 151.0829
46.200001 78.071 151.6107
46.799999 78.066 151.7468
47.500000 78.049 151.1038
48.200001 77.958 150.4843
48.700001 77.899 150.3849
49.400002 77.862 150.2834
50.000000 77.814 149.9328
50.799999 77.690 149.4698
51.500000 77.599 149.2106
52.200001 77.541 148.9355
53.000000 77.488 148.7334
53.799999 77.437 148.5446
54.500000 77.360 148.3096
55.200001 77.279 148.1880
56.000000 77.227 147.9652
57.000000 77.134 147.5370
58.000000 77.047 147.4864
59.000000 76.991 147.0229
60.000000 76.893 146.7743
60.799999 76.856 146.7311
61.500000 76.803 146.3747
62.200001 76.702 146.0006
63.000000 76.608 145.8086
64.000000 76.557 145.5127
65.000000 76.480 145.3421
66.000000 76.397 145.3635
67.000000 76.303 145.1307
68.000000 76.201 144.9811
69.000000 76.138 144.8652
70.000000 76.059 144.6382
71.000000 75.962 144.6084
72.000000 75.900 144.6307
73.000000 75.854 144.3939
74.000000 75.779 144.1224
75.000000 75.702 144.0833
76.199997 75.612 143.9257
77.500000 75.494 143.7884
78.800003 75.406 143.7661
80.000000 75.333 143.7956
81.199997 75.242 143.6067
82.500000 75.158 143.6802
83.800003 75.080 143.5286
85.000000 74.993 143.4111
86.199997 74.900 143.3533
87.500000 74.807 143.5415
88.500000 74.723 143.3235
90.000000 74.658 143.3354
91.199997 74.608 143.3065
92.500000 74.508 143.4829
93.800003 74.426 143.1244
95.000000 74.328 143.2446
96.199997 74.269 143.3743
97.500000 74.166 143.4435
98.800003 74.185 143.3817
100.000000 74.081 143.1465
101.500000 74.011 143.6633
103.000000 73.931 143.4769
104.400002 73.855 143.2543
106.000000 73.734 143.3005
107.500000 73.617 143.4723
109.000000 73.590 144.0657
110.599998 73.501 143.8950
112.000000 73.476 143.7487
113.800003 73.387 144.0398
115.000000 73.297 143.7667
117.199997 73.185 144.1233
118.000000 73.074 144.4363
120.599998 73.028 141.9753
122.000000 73.073 144.8136
124.099998 72.884 144.7737
125.000000 72.869 144.7148
126.500000 72.810 145.0281
128.000000 72.779 144.8032
131.500000 72.504 145.3415
132.000000 72.511 145.3951
134.000000 72.496 145.1022
136.000000 72.390 145.6818
138.000000 72.332 145.6160
140.000000 72.306 145.8320
143.000000 72.170 146.1373
145.000000 72.073 146.1165
147.500000 71.981 146.7136
150.000000 71.881 146.6069
152.500000 71.818 146.7417
155.000000 71.726 147.2774
157.500000 71.672 147.3377
160.000000 71.601 147.6797
162.500000 71.527 148.0097
165.000000 71.416 148.0634
167.500000 71.357 148.3343
170.000000 71.266 148.4510
172.500000 71.226 148.9513
175.000000 71.147 149.2555
177.500000 71.110 149.4020
180.000000 71.034 149.9371
182.500000 70.980 150.0873
185.000000 70.867 150.0372
187.500000 70.845 150.2752
190.000000 70.850 150.7242
192.500000 70.747 151.6935
195.000000 70.631 151.3099
197.500000 70.626 151.3468
200.000000 70.586 152.0189
203.000000 70.500 152.2015
206.000000 70.386 152.7246
209.000000 70.374 152.6695
212.000000 70.315 153.3865
214.000000 70.257 153.5828
218.000000 70.210 153.7308
220.000000 70.180 154.1075
224.000000 70.084 154.7875
227.000000 70.100 154.5880
230.000000 70.035 155.2187
233.000000 69.973 155.3961
236.000000 69.879 155.6616
240.000000 69.873 156.3380
243.000000 69.820 156.1433
247.000000 69.726 157.0094
250.000000 69.699 157.3288
254.000000 69.620 157.7912
258.000000 69.594 157.8633
262.000000 69.533 158.3816
265.000000 69.498 158.6609
269.000000 69.462 159.0273
272.000000 69.385 159.5866
276.000000 69.368 159.9362
280.000000 69.328 160.5594
285.000000 69.269 160.8398
290.000000 69.206 161.3325
295.000000 69.142 161.6196
300.000000 69.131 162.4012
304.000000 69.109 163.0558
307.000000 69.075 162.8881
311.000000 69.069 163.6694
315.000000 69.016 163.6556
320.000000 68.984 164.6748
325.000000 68.917 164.8621
330.000000 68.918 165.3206
335.000000 68.916 165.7210
340.000000 68.820 166.6371
345.000000 68.809 166.6795
350.000000 68.779 167.2870
355.000000 68.754 167.8319
360.000000 68.694 168.3351
365.000000 68.767 168.8260
370.000000 68.757 168.9164
375.000000 68.694 169.3892
382.000000 68.712 170.3576
387.000000 68.681 170.2598
395.000000 68.620 171.0018
400.000000 68.549 171.5695
406.000000 68.486 171.7675
412.000000 68.565 172.3026
418.000000 68.513 173.0559
425.000000 68.494 173.3286
431.000000 68.458 173.8499
437.000000 68.430 174.0140
444.000000 68.412 174.9111
450.000000 68.432 175.4868
455.000000 68.377 175.3888
462.000000 68.340 176.0546
468.000000 68.308 176.4351
475.000000 68.267 177.0169
482.000000 68.299 177.2254
487.000000 68.301 177.9066
494.000000 68.281 178.6266
500.000000 68.277 179.3041
508.000000 68.227 179.5261
515.000000 68.258 179.9621
522.000000 68.249 -179.6422
530.000000 68.246 -178.7929
538.000000 68.210 -178.6813
545.000000 68.160 -177.7066
552.000000 68.192 -177.6240
560.000000 68.254 -177.0448
570.000000 68.230 -176.0700
580.000000 68.191 -175.3248
590.000000 68.181 -175.2411
600.000000 68.210 -174.6523
608.000000 68.179 -173.7084
615.000000 68.179 -173.3176
622.000000 68.128 -172.7735
630.000000 68.135 -172.0115
640.000000 68.172 -171.6149
650.000000 68.145 -170.6176
660.000000 68.156 -170.9250
670.000000 68.105 -169.6821
680.000000 68.189 -169.1361
690.000000 68.224 -168.4393
700.000000 68.180 -167.8667
710.000000 68.208 -167.6823
720.000000 68.191 -166.7662
730.000000 68.105 -165.7811
740.000000 68.185 -165.6829
750.000000 68.248 -165.3590
762.000000 68.173 -164.4130
775.000000 68.243 -163.1400
788.000000 68.189 -162.9695
800.000000 68.118 -161.7093
812.000000 68.218 -160.6579
825.000000 68.138 -159.7689
838.000000 68.129 -159.2660
850.000000 68.162 -158.3120
862.000000 68.147 -157.4105
875.000000 68.110 -156.0365
885.000000 68.142 -155.3578
900.000000 68.112 -153.9421
912.000000 68.111 -152.7067
925.000000 68.075 -151.3939
938.000000 68.107 -150.2622
950.000000 68.129 -148.8906
962.000000 68.149 -146.7849
975.000000 68.216 -145.0022
988.000000 68.384 -143.2339
1000.000000 68.686 -139.0872
1015.000000 68.654 -138.8817
1030.000000 68.941 -137.3543
1044.000000 69.242 -135.1717
1060.000000 69.599 -133.4667
1075.000000 69.965 -132.6168
1090.000000 70.333 -132.1808
1106.000000 70.688 -131.4243
1120.000000 70.983 -131.1248
1138.000000 71.351 -131.2230
1150.000000 71.679 -131.1855
1172.000000 72.053 -131.8607
1180.000000 72.182 -131.9638
1206.000000 72.518 -132.7831
1220.000000 72.690 -132.8770
1241.000000 72.943 -133.6091
1250.000000 73.065 -133.6945
1265.000000 73.247 -134.0918
1280.000000 73.392 -134.6649
1315.000000 73.724 -135.4742
1320.000000 73.752 -135.7558
1340.000000 73.960 -136.3588
1360.000000 74.105 -136.6949
1380.000000 74.257 -137.4885
1400.000000 74.409 -137.8831
1430.000000 74.654 -138.2061
1450.000000 74.806 -138.6883
1475.000000 75.003 -139.1078
1500.000000 75.160 -140.1935
1525.000000 75.353 -140.5162
1550.000000 75.542 -140.8755
1575.000000 75.723 -141.8397
1600.000000 75.892 -142.5963
1625.000000 76.101 -143.2911
1650.000000 76.269 -144.2460
1675.000000 76.416 -145.2041
1700.000000 76.592 -146.3583
1725.000000 76.709 -147.1776
1750.000000 76.849 -148.5742
1775.000000 76.973 -149.7708
1800.000000 77.133 -150.9898
1825.000000 77.225 -152.4195
1850.000000 77.301 -153.6476
1875.000000 77.367 -155.2329
1900.000000 77.389 -156.7230
1925.000000 77.414 -157.7535
1950.000000 77.456 -158.7655
1975.000000 77.461 -160.3534
2000.000000 77.566 -160.3730
2030.000000 77.469 -162.5193
2060.000000 77.455 -163.7576
2090.000000 77.436 -164.9477
2120.000000 77.426 -166.2728
2140.000000 77.425 -166.9213
2180.000000 77.365 -168.4673
2200.000000 77.349 -169.3321
2240.000000 77.256 -170.8521
2270.000000 77.220 -171.9176
2300.000000 77.180 -173.1643
2330.000000 77.069 -174.0134
2360.000000 77.002 -175.2343
2400.000000 76.866 -176.3008
2430.000000 76.770 -176.9076
2470.000000 76.605 -178.2579
2500.000000 76.469 -178.7527
2540.000000 76.363 -179.3716
2580.000000 76.139 179.5430
2620.000000 75.975 178.4080
2650.000000 75.870 178.3523
2690.000000 75.658 177.6550
2720.000000 75.495 177.4203
2760.000000 75.242 177.5851
2800.000000 75.036 177.6311
2850.000000 74.824 178.3207
2900.000000 74.656 179.1293
2950.000000 74.534 -179.9828
3000.000000 74.603 -179.0519
3040.000000 74.436 -178.7433
3070.000000 74.387 -178.5161
3110.000000 74.333 -178.5185
3150.000000 74.351 -177.8933
3200.000000 74.354 -177.6291
3250.000000 74.310 -176.9900
3300.000000 74.249 -176.8677
3350.000000 74.256 -177.0804
3400.000000 74.240 -177.1463
3450.000000 74.139 -176.6078
3500.000000 74.081 -176.3253
3550.000000 74.059 -175.5718
3600.000000 74.090 -175.0914
3650.000000 74.184 -174.4504
3700.000000 74.257 -174.1848
3750.000000 74.307 -173.6743
3820.000000 74.430 -173.3676
3870.000000 74.556 -173.3348
3950.000000 74.675 -173.5648
4000.000000 74.855 -174.2285
4060.000000 74.825 -174.8182
4120.000000 74.938 -175.5927
4180.000000 74.954 -177.0806
4250.000000 74.953 -177.6544
4310.000000 74.881 -178.2864
4370.000000 74.883 -179.2438
4440.000000 74.794 179.9209
4500.000000 74.768 179.5698
4550.000000 74.800 178.8295
4620.000000 74.693 178.0474
4680.000000 74.579 176.5355
4750.000000 74.456 175.4572
4820.000000 74.185 174.6622
4870.000000 73.997 173.9991
4940.000000 73.714 173.1154
5000.000000 73.343 174.1912
5080.000000 72.766 174.4934
5150.000000 72.398 175.8006
5220.000000 72.369 -179.9731
5300.000000 72.597 -178.4269
5380.000000 72.782 -178.1158
5450.000000 72.626 -178.5528
5520.000000 72.550 -179.1016
5600.000000 72.281 -179.3956
5700.000000 71.884 -177.7120
5800.000000 71.632 -174.5634
5900.000000 71.585 -172.8539
6000.000000 71.418 -170.4446
6080.000000 71.391 -170.0596
6150.000000 71.262 -167.8517
6220.000000 71.181 -166.3199
